安口窑,an'kou'yao
一道釉,yi'dao'you
异毫釉,yi'hao'you
宜钧釉,yi'jun'you
一色釉,yi'se'you
宜兴窑,yi'xing'yao
宜兴紫砂陶,yi'xing'zi'sha'tao
宜阳窑,yi'yang'yao
隐青,yin'qing
印纹软陶,yin'wen'ruan'tao
印纹硬陶,yin'wen'ying'tao
罂,ying
硬彩,ying'cai
硬瓷,ying'ci
莹光,ying'guang
影青,ying'qing
映青,ying'qing
影青镂雕人物高足杯,ying'qing'lou'diao'ren'wu'gao'zu'bei
影青青花釉里红塔式四灵盖罐,ying'qing'qing'hua'you'li'hong'ta'shi'si'ling'gai'guan
硬陶,ying'tao
婴戏纹,ying'xi'wen
硬质瓷,ying'zhi'ci
永福窑,yong'fu'yao
永和窑,yong'he'yao
永嘉窑,yong'jia'yao
永乐白瓷执壶,yong'le'bai'ci'zhi'hu
永乐鲜红釉,yong'le'xian'hong'you
永乐窑,yong'le'yao
雍正粉彩,yong'zheng'fen'cai
雍正粉彩团花蝴蝶纹碗,yong'zheng'fen'cai'tuan'hua'hu'die'wen'wan
釉,you
油滴釉,you'di'you
釉果,you'guo
釉灰,you'hui
釉浆,you'jiang
釉里红,you'li'hong
釉里青,you'li'qing
釉里三彩,you'li'san'cai
釉上彩,you'shang'cai
釉陶,you'tao
釉下彩,you'xia'cai
釉下堆花,you'xia'dui'hua
釉下粉彩,you'xia'fen'cai
釉下蓝,you'xia'lan
釉下五彩,you'xia'wu'cai
釉中彩,you'zhong'cai
雨过天青釉,yu'guo'tian'qing'you
玉毫釉,yu'hao'you
玉壶春瓶,yu'hu'chun'ping
雨淋墙,yu'lin'qiang
鱼篓形瓷尊,yu'lou'xing'ci'zun
御器厂,yu'qi'chang
玉溪窑,yu'xi'yao
盂县窑,yu'xian'yao
御窑厂,yu'yao'chang
鱼子绿釉,yu'zi'lv'you
鱼子纹,yu'zi'wen
原始瓷器,yuan'shi'ci'qi
原始青瓷,yuan'shi'qing'ci
原始素烧瓷,yuan'shi'su'shao'ci
月白釉,yue'bai'you
越窑,yue'yao
越窑金扣边秘色青瓷碗,yue'yao'jin'kou'bian'mi'se'qing'ci'wan
越窑青瓷带托碗,yue'yao'qing'ci'dai'tuo'wan
越窑青瓷海棠式碗,yue'yao'qing'ci'hai'tang'shi'wan
越窑青瓷鸟形杯,yue'yao'qing'ci'niao'xing'bei
杂色釉,za'se'you
臧窑,zang'yao
战国彩绘陶,zhan'guo'cai'hui'tao
毡泡青釉,zhan'pao'qing'you
盏窑,zhan'yao
蘸釉,zhan'you
鹧鸪斑釉,zhe'gu'ban'you
正德三彩,zheng'de'san'cai
正德窑,zheng'de'yao
支烧窑具,zhi'shao'yao'ju
周公窑,zhou'gong'yao
周窑,zhou'yao
珠明料,zhu'ming'liao
注子,zhu'zi
转心瓶,zhuan'xin'ping
装饰土,zhuang'shi'tu
淄博窑,zi'bo'yao
紫金釉,zi'jin'you
紫口铁足,zi'kou'tie'zu
紫砂陶,zi'sha'tao
紫釉,zi'you
