安家庄乡,an'jia'zhuang'xiang
裴介镇,pei'jie'zhen
裴社乡,pei'she'xiang
裴庄乡,pei'zhuang'xiang
偏关,pian'guan
偏关县,pian'guan'xian
平城镇,ping'cheng'zhen
平定,ping'ding
平定县,ping'ding'xian
平陆,ping'lu
平鲁,ping'lu
平鲁区,ping'lu'qu
平陆县,ping'lu'xian
平泉路街道,ping'quan'lu'jie'dao
平舒乡,ping'shu'xiang
平顺,ping'shun
平顺县,ping'shun'xian
平松乡,ping'song'xiang
平潭街道,ping'tan'jie'dao
平坦镇,ping'tan'zhen
坪头乡,ping'tou'xiang
平头镇,ping'tou'zhen
平旺乡,ping'wang'xiang
平阳街道,ping'yang'jie'dao
平遥,ping'yao
平遥县,ping'yao'xian
坡底街道,po'di'jie'dao
坡底乡,po'di'xiang
破鲁堡乡,po'lu'bao'xiang
坡头乡,po'tou'xiang
蒲城镇,pu'cheng'zhen
普明镇,pu'ming'zhen
蒲县,pu'xian
蒲掌乡,pu'zhang'xiang
蒲州镇,pu'zhou'zhen
奇村镇,qi'cun'zhen
七级镇,qi'ji'zhen
祁家河,qi'jia'he
麒绛镇,qi'jiang'zhen
碛口街道,qi'kou'jie'dao
碛口镇,qi'kou'zhen
祁县,qi'xian
前川乡,qian'chuan'xiang
千峰街道,qian'feng'jie'dao
千佛岭乡,qian'fo'ling'xiang
前山乡,qian'shan'xiang
前所乡,qian'suo'xiang
桥东街道,qiao'dong'jie'dao
乔家湾乡,qiao'jia'wan'xiang
乔李镇,qiao'li'zhen
桥上乡,qiao'shang'xiang
桥上镇,qiao'shang'zhen
桥头街道,qiao'tou'jie'dao
桥头镇,qiao'tou'zhen
秦城乡,qin'cheng'xiang
芹池镇,qin'chi'zhen
亲和乡,qin'he'xiang
沁河镇,qin'he'zhen
秦家庄镇,qin'jia'zhuang'zhen
芹泉镇,qin'quan'zhen
沁水,qin'shui
沁水县,qin'shui'xian
沁县,qin'xian
沁源,qin'yuan
沁源县,qin'yuan'xian
青城镇,qing'cheng'zhen
謦愁乡,qing'chou'xiang
青磁窑街道,qing'ci'yao'jie'dao
青磁窑乡,qing'ci'yao'xiang
清河镇,qing'he'zhen
清涧街道,qing'jian'jie'dao
青凉寺乡,qing'liang'si'xiang
卿头镇,qing'tou'zhen
勍香镇,qing'xiang'zhen
清徐,qing'xu
清徐县,qing'xu'xian
青羊镇,qing'yang'zhen
清源镇,qing'yuan'zhen
曲村镇,qu'cun'zhen
曲峨镇,qu'e'zhen
曲亭镇,qu'ting'zhen
曲沃,qu'wo
曲沃县,qu'wo'xian
曲峪镇,qu'yu'zhen
泉掌镇,quan'zhang'zhen
鹊儿山镇,que'er'shan'zhen
任村乡,ren'cun'xiang
荣河镇,rong'he'zhen
荣乡,rong'xiang
茹村乡,ru'cun'xiang
芮城,rui'cheng
芮城县,rui'cheng'xian
润城镇,run'cheng'zhen
赛鱼街道,sai'yu'jie'dao
三岔镇,san'cha'zhen
三都乡,san'du'xiang
三多乡,san'duo'xiang
三管镇,san'guan'zhen
三佳乡,san'jia'xiang
三甲镇,san'jia'zhen
三交街道,san'jiao'jie'dao
三教乡,san'jiao'xiang
三交镇,san'jiao'zhen
三井镇,san'jing'zhen
三路里镇,san'lu'li'zhen
三门镇,san'men'zhen
三桥街道,san'qiao'jie'dao
三泉镇,san'quan'zhen
三十里铺乡,san'shi'li'pu'xiang
三屯乡,san'tun'xiang
桑壁镇,sang'bi'zhen
色头镇,se'tou'zhen
僧楼镇,seng'lou'zhen
僧念镇,seng'nian'zhen
沙圪坨镇,sha'ge'tuo'zhen
砂河镇,sha'he'zhen
沙塄河乡,sha'leng'he'xiang
沙坪街道,sha'ping'jie'dao
沙坪乡,sha'ping'xiang
沙泉乡,sha'quan'xiang
善福乡,shan'fu'xiang
山河镇,shan'he'zhen
山头乡,shan'tou'xiang
山阴,shan'yin
山阴县,shan'yin'xian
山中乡,shan'zhong'xiang
上村镇,shang'cun'zhen
上馆镇,shang'guan'zhen
上郭乡,shang'guo'xiang
上湖乡,shang'hu'xiang
上兰街道,shang'lan'jie'dao
上马街道,shang'ma'jie'dao
上马乡,shang'ma'xiang
上明乡,shang'ming'xiang
上社镇,shang'she'zhen
上深涧乡,shang'shen'jian'xiang
上司乡,shang'si'xiang
上王乡,shang'wang'xiang
上遥镇,shang'yao'zhen
尚峪乡,shang'yu'xiang
上寨镇,shang'zhai'zhen
上站街道,shang'zhan'jie'dao
社城镇,she'cheng'zhen
社科乡,she'ke'xiang
社梁乡,she'liang'xiang
神柏乡,shen'bai'xiang
神池,shen'chi
神池县,shen'chi'xian
神农镇,shen'nong'zhen
神山乡,shen'shan'xiang
神堂堡乡,shen'tang'bao'xiang
神堂坪乡,shen'tang'ping'xiang
什贴镇,shen'tie'zhen
神头街道,shen'tou'jie'dao
神头镇,shen'tou'zhen
神西乡,shen'xi'xiang
神峪沟乡,shen'yu'gou'xiang
圣人涧镇,sheng'ren'jian'zhen
石白头乡,shi'bai'tou'xiang
石北乡,shi'bei'xiang
石壁乡,shi'bi'xiang
石城镇,shi'cheng'zhen
史村镇,shi'cun'zhen
石家乡,shi'jia'xiang
石家庄镇,shi'jia'zhuang'zhen
史迥乡,shi'jiong'xiang
石咀乡,shi'ju'xiang
石口乡,shi'kou'xiang
十里乡,shi'li'xiang
石楼,shi'lou
石楼县,shi'lou'xian
石门口乡,shi'men'kou'xiang
石门乡,shi'men'xiang
石末乡,shi'mo'xiang
石坡乡,shi'po'xiang
石西乡,shi'xi'xiang
石匣乡,shi'xia'xiang
石哲镇,shi'zhe'zhen
史庄乡,shi'zhuang'xiang
师庄乡,shi'zhuang'xiang
柿庄镇,shi'zhuang'zhen
石庄镇,shi'zhuang'zhen
狮子屯镇,shi'zi'tun'zhen
受录乡,shou'lu'xiang
寿阳,shou'yang
寿阳县,shou'yang'xian
树掌镇,shu'zhang'zhen
双池镇,shuang'chi'zhen
双鹤乡,shuang'he'xiang
双路乡,shuang'lu'xiang
双碾乡,shuang'nian'xiang
水泊寺乡,shui'po'si'xiang
水泉乡,shui'quan'xiang
水塔街街道,shui'ta'jie'jie'dao
水头镇,shui'tou'zhen
水秀乡,shui'xiu'xiang
水窑乡,shui'yao'xiang
水峪贯乡,shui'yu'guan'xiang
水峪贯镇,shui'yu'guan'zhen
顺会乡,shun'hui'xiang
朔城,shuo'cheng
朔城区,shuo'cheng'qu
朔州,shuo'zhou
朔州市,shuo'zhou'shi
泗交镇,si'jiao'zhen
四老沟街道,si'lao'gou'jie'dao
四台沟街道,si'tai'gou'jie'dao
虒亭镇,si'ting'zhen
寺头乡,si'tou'xiang
寺庄镇,si'zhuang'zhen
宋村乡,song'cun'xiang
松村乡,song'cun'xiang
宋古乡,song'gu'xiang
宋家沟乡,song'jia'gou'xiang
松塔镇,song'ta'zhen
松烟镇,song'yan'zhen
苏堡镇,su'bao'zhen
粟城乡,su'cheng'xiang
苏店镇,su'dian'zhen
苏龙口镇,su'long'kou'zhen
苏庄乡,su'zhuang'xiang
孙吉镇,sun'ji'zhen
孙家沟乡,sun'jia'gou'xiang
孙家坪乡,sun'jia'ping'xiang
孙家庄镇,sun'jia'zhuang'zhen
锁簧镇,suo'huang'zhen
娑婆乡,suo'po'xiang
梭峪乡,suo'yu'xiang
台城镇,tai'cheng'zhen
太德乡,tai'de'xiang
太谷,tai'gu
太谷县,tai'gu'xian
太古乡,tai'gu'xiang
太行东街街道,tai'hang'dong'jie'jie'dao
太行西街街道,tai'hang'xi'jie'jie'dao
太和桥街道,tai'he'qiao'jie'dao
台怀镇,tai'huai'zhen
太林乡,tai'lin'xiang
太平庄乡,tai'ping'zhuang'xiang
台头镇,tai'tou'zhen
太阳乡,tai'yang'xiang
太原,tai'yuan
太原市,tai'yuan'shi
滩上镇,tan'shang'zhen
坛镇乡,tan'zhen'xiang
唐城镇,tang'cheng'zhen
堂尔上乡,tang'er'shang'xiang
唐兴镇,tang'xing'zhen
陶村乡,tao'cun'xiang
陶村镇,tao'cun'zhen
桃红坡镇,tao'hong'po'zhen
陶寺乡,tao'si'xiang
陶唐峪乡,tao'tang'yu'xiang
桃园街道,tao'yuan'jie'dao
天池店乡,tian'chi'dian'xiang
天峰坪镇,tian'feng'ping'zhen
田家会街道,tian'jia'hui'jie'dao
天宁镇,tian'ning'zhen
天坛镇,tian'tan'zhen
天镇,tian'zhen
天镇县,tian'zhen'xian
铁路东街道,tie'lu'dong'jie'dao
停河铺乡,ting'he'pu'xiang
桐城镇,tong'cheng'zhen
通化镇,tong'hua'zhen
同家梁街道,tong'jia'liang'jie'dao
桐峪镇,tong'yu'zhen
兔板镇,tu'ban'zhen
土沟乡,tu'gou'xiang
土门镇,tu'men'zhen
土沃乡,tu'wo'xiang
土崖塔乡,tu'ya'ta'xiang
土峪乡,tu'yu'xiang
团柏乡,tuan'bai'xiang
湍水头镇,tuan'shui'tou'zhen
退沙街道,tui'sha'jie'dao
屯兰街道,tun'lan'jie'dao
屯里镇,tun'li'zhen
屯留,tun'liu
屯留县,tun'liu'xian
驼峰乡,tuo'feng'xiang
挖金湾街道,wa'jin'wan'jie'dao
瓦塘镇,wa'tang'zhen
万安镇,wan'an'zhen
万柏林,wan'bo'lin
万柏林街道,wan'bo'lin'jie'dao
万柏林区,wan'bo'lin'qu
万家寨镇,wan'jia'zhai'zhen
万荣,wan'rong
万荣县,wan'rong'xian
王村街道,wang'cun'jie'dao
王村乡,wang'cun'xiang
王村镇,wang'cun'zhen
王答乡,wang'da'xiang
王范乡,wang'fan'xiang
王封乡,wang'feng'xiang
王官屯镇,wang'guan'tun'zhen
王和镇,wang'he'zhen
望狐乡,wang'hu'xiang
王家岔乡,wang'jia'cha'xiang
王家沟乡,wang'jia'gou'xiang
王家庄乡,wang'jia'zhuang'xiang
王茅镇,wang'mao'zhen
王桥镇,wang'qiao'zhen
王狮乡,wang'shi'xiang
王陶乡,wang'tao'xiang
王禹乡,wang'yu'xiang
王庄堡镇,wang'zhuang'bao'zhen
王庄乡,wang'zhuang'xiang
魏村镇,wei'cun'zhen
蔚汾镇,wei'fen'zhen
尉郭乡,wei'guo'xiang
魏家滩镇,wei'jia'tan'zhen
喂马乡,wei'ma'xiang
威远镇,wei'yuan'zhen
尉庄乡,wei'zhuang'xiang
卫庄镇,wei'zhuang'zhen
微子镇,wei'zi'zhen
文笔镇,wen'bi'zhen
文城乡,wen'cheng'xiang
文峰街道,wen'feng'jie'dao
温家庄乡,wen'jia'zhuang'xiang
文庙街道,wen'miao'jie'dao
温泉乡,wen'quan'xiang
文水,wen'shui
文水县,wen'shui'xian
闻喜,wen'xi
闻喜县,wen'xi'xian
坞城街道,wu'cheng'jie'dao
吴城乡,wu'cheng'xiang
午城镇,wu'cheng'zhen
吴城镇,wu'cheng'zhen
吴村镇,wu'cun'zhen
吴家窑镇,wu'jia'yao'zhen
武家庄镇,wu'jia'zhuang'zhen
乌金山镇,wu'jin'shan'zhen
武灵镇,wu'ling'zhen
五龙山乡,wu'long'shan'xiang
五马街道,wu'ma'jie'dao
吴马营乡,wu'ma'ying'xiang
五台,wu'tai
五台县,wu'tai'xian
梧桐镇,wu'tong'zhen
武乡,wu'xiang
武乡县,wu'xiang'xian
五一路街道,wu'yi'lu'jie'dao
吾元镇,wu'yuan'zhen
五寨,wu'zhai
五寨县,wu'zhai'xian
西白兔乡,xi'bai'tu'xiang
西豹峪乡,xi'bao'yu'xiang
西槽头乡,xi'cao'tou'xiang
西城街道,xi'cheng'jie'dao
西城乡,xi'cheng'xiang
西池乡,xi'chi'xiang
西村乡,xi'cun'xiang
西坊城镇,xi'fang'cheng'zhen
西沟乡,xi'gou'xiang
西谷乡,xi'gu'xiang
西关街道,xi'guan'jie'dao
西韩岭乡,xi'han'ling'xiang
西河底镇,xi'he'di'zhen
西河乡,xi'he'xiang
西花园街道,xi'hua'yuan'jie'dao
西火镇,xi'huo'zhen
西贾乡,xi'jia'xiang
西交口乡,xi'jiao'kou'xiang
西街街道,xi'jie'jie'dao
西井镇,xi'jing'zhen
西凌井乡,xi'ling'jing'xiang
西留村乡,xi'liu'cun'xiang
西六支乡,xi'liu'zhi'xiang
西洛镇,xi'luo'zhen
西马坊乡,xi'ma'fang'xiang
西马乡,xi'ma'xiang
西铭乡,xi'ming'xiang
西陌镇,xi'mo'zhen
西南街道,xi'nan'jie'dao
西南街街道,xi'nan'jie'jie'dao
西南舁乡,xi'nan'yu'xiang
西潘乡,xi'pan'xiang
西坪镇,xi'ping'zhen
西坡镇,xi'po'zhen
西曲街道,xi'qu'jie'dao
西上庄街道,xi'shang'zhuang'jie'dao
西社镇,xi'she'zhen
西属巴街道,xi'shu'ba'jie'dao
西水界乡,xi'shui'jie'xiang
西温庄乡,xi'wen'zhuang'xiang
西仵乡,xi'wu'xiang
隰县,xi'xian
西辛庄镇,xi'xin'zhuang'zhen
西鄢乡,xi'yan'xiang
西闫镇,xi'yan'zhen
西烟镇,xi'yan'zhen
昔阳,xi'yang
昔阳县,xi'yang'xian
西营镇,xi'ying'zhen
西寨乡,xi'zhai'xiang
西张乡,xi'zhang'xiang
席张乡,xi'zhang'xiang
西镇乡,xi'zhen'xiang
下堡镇,xia'bao'zhen
下村镇,xia'cun'zhen
夏店镇,xia'dian'zhen
下关乡,xia'guan'xiang
下韩村乡,xia'han'cun'xiang
下化乡,xia'hua'xiang
夏家营镇,xia'jia'ying'zhen
下喇叭乡,xia'la'ba'xiang
下李乡,xia'li'xiang
下良镇,xia'liang'zhen
下马峪乡,xia'ma'yu'xiang
夏门镇,xia'men'zhen
下面高乡,xia'mian'gao'xiang
下木角乡,xia'mu'jiao'xiang
下曲镇,xia'qu'zhen
下茹越乡,xia'ru'yue'xiang
下栅乡,xia'shan'xiang
下社乡,xia'she'xiang
下社镇,xia'she'zhen
下深井乡,xia'shen'jing'xiang
下水头乡,xia'shui'tou'xiang
下团堡乡,xia'tuan'bao'xiang
夏县,xia'xian
下元街道,xia'yuan'jie'dao
下枣林乡,xia'zao'lin'xiang
下站街道,xia'zhan'jie'dao
县底镇,xian'di'zhen
仙人乡,xian'ren'xiang
襄汾,xiang'fen
襄汾县,xiang'fen'xian
香乐乡,xiang'le'xiang
襄陵镇,xiang'ling'zhen
乡宁,xiang'ning
乡宁县,xiang'ning'xian
响水河镇,xiang'shui'he'zhen
乡贤街街道,xiang'xian'jie'jie'dao
向阳堡乡,xiang'yang'bao'xiang
向阳里街道,xiang'yang'li'jie'dao
向阳镇,xiang'yang'zhen
襄垣,xiang'yuan
襄垣县,xiang'yuan'xian
襄垣乡,xiang'yuan'xiang
小白乡,xiao'bai'xiang
小店,xiao'dian
小店街道,xiao'dian'jie'dao
小店区,xiao'dian'qu
小返乡,xiao'fan'xiang
小河头镇,xiao'he'tou'zhen
肖家庄镇,xiao'jia'zhuang'zhen
小井峪乡,xiao'jing'yu'xiang
小京庄乡,xiao'jing'zhuang'xiang
枵栳镇,xiao'lao'zhen
小梁乡,xiao'liang'xiang
小平易乡,xiao'ping'yi'xiang
小蒜镇,xiao'suan'zhen
孝义,xiao'yi
孝义市,xiao'yi'shi
孝义镇,xiao'yi'zhen
辛安泉镇,xin'an'quan'zhen
新堡乡,xin'bao'xiang
新城街道,xin'cheng'jie'dao
新城镇,xin'cheng'zhen
辛村乡,xin'cun'xiang
新店镇,xin'dian'zhen
忻府区,xin'fu'qu
新高乡,xin'gao'xiang
新关镇,xin'guan'zhen
新华街街道,xin'hua'jie'jie'dao
新家园乡,xin'jia'yuan'xiang
新建北路街道,xin'jian'bei'lu'jie'dao
新建街街道,xin'jian'jie'jie'dao
新建路街道,xin'jian'lu'jie'dao
新建南路街道,xin'jian'nan'lu'jie'dao
新绛,xin'jiang
新绛县,xin'jiang'xian
新平堡镇,xin'ping'bao'zhen
新平旺街道,xin'ping'wang'jie'dao
新泉路街道,xin'quan'lu'jie'dao
新荣区,xin'rong'qu
新荣镇,xin'rong'zhen
新胜街道,xin'sheng'jie'dao
昕水镇,xin'shui'zhen
辛寺街街道,xin'si'jie'jie'dao
新田乡,xin'tian'xiang
新旺乡,xin'wang'xiang
新义街道,xin'yi'jie'dao
信义镇,xin'yi'zhen
新原乡,xin'yuan'xiang
新寨乡,xin'zhai'xiang
辛置镇,xin'zhi'zhen
忻州,xin'zhou
忻州市,xin'zhou'shi
忻州窑街道,xin'zhou'yao'jie'dao
杏城镇,xing'cheng'zhen
杏儿沟街道,xing'er'gou'jie'dao
杏花村镇,xing'hua'cun'zhen
兴华街道,xing'hua'jie'dao
杏花岭,xing'hua'ling
杏花岭街道,xing'hua'ling'jie'dao
杏花岭区,xing'hua'ling'qu
邢家社乡,xing'jia'she'xiang
邢家要乡,xing'jia'yao'xiang
杏岭子乡,xing'ling'zi'xiang
兴唐寺乡,xing'tang'si'xiang
兴县,xing'xian
杏园乡,xing'yuan'xiang
杏寨乡,xing'zhai'xiang
秀水镇,xiu'shui'zhen
修文镇,xiu'wen'zhen
许堡乡,xu'bao'xiang
徐沟镇,xu'gou'zhen
徐家垛乡,xu'jia'duo'xiang
轩岗镇,xuan'gang'zhen
薛村镇,xue'cun'zhen
薛店镇,xue'dian'zhen
薛关镇,xue'guan'zhen
薛家洼乡,xue'jia'wa'xiang
薛圐圙乡,xue'ku'lue'xiang
学张乡,xue'zhang'xiang
巡镇,xun'zhen
鸦儿崖乡,ya'er'ya'xiang
砚城镇,yan'cheng'zhen
淹底乡,yan'di'xiang
沿沟乡,yan'gou'xiang
盐湖,yan'hu
盐湖区,yan'hu'qu
闫家庄工贸区,yan'jia'zhuang'gong'mao'qu
演礼乡,yan'li'xiang
雁门关乡,yan'men'guan'xiang
岩头乡,yan'tou'xiang
演武镇,yan'wu'zhen
雁崖街道,yan'ya'jie'dao
闫庄乡,yan'zhuang'xiang
闫庄镇,yan'zhuang'zhen
燕子山街道,yan'zi'shan'jie'dao
杨安乡,yang'an'xiang
阳白乡,yang'bai'xiang
阳城,yang'cheng
阳城县,yang'cheng'xian
阳城乡,yang'cheng'xiang
阳城镇,yang'cheng'zhen
阳村乡,yang'cun'xiang
杨村镇,yang'cun'zhen
阳方口镇,yang'fang'kou'zhen
杨芳乡,yang'fang'xiang
阳高,yang'gao
阳高县,yang'gao'xian
阳高乡,yang'gao'xiang
阳光占乡,yang'guang'zhan'xiang
杨家湾镇,yang'jia'wan'zhen
杨家峪街道,yang'jia'yu'jie'dao
杨家庄乡,yang'jia'zhuang'xiang
杨家庄镇,yang'jia'zhuang'zhen
羊角乡,yang'jiao'xiang
阳明堡镇,yang'ming'bao'zhen
阳坪乡,yang'ping'xiang
阳坡乡,yang'po'xiang
杨千河乡,yang'qian'he'xiang
阳曲,yang'qu
阳曲县,yang'qu'xian
阳曲镇,yang'qu'zhen
阳泉,yang'quan
阳泉城区,yang'quan'cheng'qu
阳泉郊区,yang'quan'jiao'qu
阳泉矿区,yang'quan'kuang'qu
阳泉曲镇,yang'quan'qu'zhen
阳泉市,yang'quan'shi
杨谈乡,yang'tan'xiang
阳头升乡,yang'tou'sheng'xiang
羊头崖乡,yang'tou'ya'xiang
阳王镇,yang'wang'zhen
杨兴乡,yang'xing'xiang
阳邑乡,yang'yi'xiang
阳隅乡,yang'yu'xiang
姚村镇,yao'cun'zhen
尧都区,yao'du'qu
瑶峰镇,yao'feng'zhen
尧圪台乡,yao'ge'tai'xiang
姚孟街道,yao'meng'jie'dao
尧庙镇,yao'miao'zhen
窑头乡,yao'tou'xiang
腰庄乡,yao'zhuang'xiang
窑子头乡,yao'zi'tou'xiang
野川镇,ye'chuan'zhen
冶西镇,ye'xi'zhen
义安镇,yi'an'zhen
翼城,yi'cheng
翼城县,yi'cheng'xian
义牒镇,yi'die'zhen
一斗泉乡,yi'dou'quan'xiang
义井街道,yi'jing'jie'dao
义井乡,yi'jing'xiang
义井镇,yi'jing'zhen
驿马乡,yi'ma'xiang
义门镇,yi'men'zhen
一平垣乡,yi'ping'yuan'xiang
猗氏镇,yi'shi'zhen
义棠镇,yi'tang'zhen
宜兴乡,yi'xing'xiang
义兴镇,yi'xing'zhen
尹灵芝镇,yin'ling'zhi'zhen
荫营镇,yin'ying'zhen
营盘街道,ying'pan'jie'dao
英武乡,ying'wu'xiang
应县,ying'xian
迎新街街道,ying'xin'jie'jie'dao
英雄街道,ying'xiong'jie'dao
英言乡,ying'yan'xiang
迎泽,ying'ze
迎泽街道,ying'ze'jie'dao
迎泽区,ying'ze'qu
永安镇,yong'an'zhen
永定庄街道,yong'ding'zhuang'jie'dao
永固乡,yong'gu'xiang
永和,yong'he
永和县,yong'he'xian
永济,yong'ji
永济市,yong'ji'shi
永乐乡,yong'le'xiang
永乐镇,yong'le'zhen
永录乡,yong'lu'xiang
涌泉乡,yong'quan'xiang
右卫镇,you'wei'zhen
右玉,you'yu
右玉县,you'yu'xian
友宰镇,you'zai'zhen
榆次,yu'ci
榆次区,yu'ci'qu
峪道河镇,yu'dao'he'zhen
禹都经济技术开发区,yu'dou'jing'ji'ji'shu'kai'fa'qu
盂封镇,yu'feng'zhen
玉井镇,yu'jing'zhen
峪口乡,yu'kou'xiang
峪口镇,yu'kou'zhen
榆林乡,yu'lin'xiang
玉坪乡,yu'ping'xiang
玉泉镇,yu'quan'zhen
榆社,yu'she
榆社县,yu'she'xian
禹王乡,yu'wang'xiang
余吾镇,yu'wu'zhen
盂县,yu'xian
虞乡镇,yu'xiang'zhen
渔泽镇,yu'ze'zhen
余庄乡,yu'zhuang'xiang
元堡子镇,yuan'bu'zi'zhen
原村乡,yuan'cun'xiang
原平,yuan'ping
原平市,yuan'ping'shi
垣曲,yuan'qu
垣曲县,yuan'qu'xian
原相乡,yuan'xiang'xiang
岳壁乡,yue'bi'xiang
岳阳镇,yue'yang'zhen
运城,yun'cheng
运城市,yun'cheng'shi
云簇镇,yun'cu'zhen
云冈镇,yun'gang'zhen
云兴镇,yun'xing'zhen
云中镇,yun'zhong'zhen
臧寨乡,zang'zhai'xiang
枣林乡,zao'lin'xiang
枣林镇,zao'lin'zhen
枣岭乡,zao'ling'xiang
泽掌镇,ze'zhang'zhen
泽州,ze'zhou
泽州县,ze'zhou'xian
翟店镇,zhai'dian'zhen
寨圪塔乡,zhai'ge'ta'xiang
寨子乡,zhai'zi'xiang
沾尚镇,zhan'shang'zhen
张蔡庄乡,zhang'cai'zhuang'xiang
张村街道,zhang'cun'jie'dao
张村乡,zhang'cun'xiang
张村镇,zhang'cun'zhen
张店镇,zhang'dian'zhen
张家场乡,zhang'jia'chang'xiang
张家庄乡,zhang'jia'zhuang'xiang
张兰镇,zhang'lan'zhen
张庆乡,zhang'qing'xiang
张西河乡,zhang'xi'he'xiang
张营镇,zhang'ying'zhen
漳源镇,zhang'yuan'zhen
张庄镇,zhang'zhuang'zhen
长子,zhang'zi
长子县,zhang'zi'xian
赵北乡,zhao'bei'xiang
赵壁乡,zhao'bi'xiang
赵城镇,zhao'cheng'zhen
赵家沟乡,zhao'jia'gou'xiang
赵家坪乡,zhao'jia'ping'xiang
赵家庄乡,zhao'jia'zhuang'xiang
赵康镇,zhao'kang'zhen
招贤镇,zhao'xian'zhen
昭余镇,zhao'yu'zhen
镇城底镇,zhen'cheng'di'zhen
振华南街街道,zhen'hua'nan'jie'jie'dao
枕头乡,zhen'tou'xiang
振兴街道,zhen'xing'jie'dao
镇子梁乡,zhen'zi'liang'xiang
郑村镇,zheng'cun'zhen
郑庄镇,zheng'zhuang'zhen
职工新村街道,zhi'gong'xin'cun'jie'dao
芝河镇,zhi'he'zhen
枝柯镇,zhi'ke'zhen
中城街道,zhong'cheng'jie'dao
中村镇,zhong'cun'zhen
中都乡,zhong'du'xiang
中垛乡,zhong'duo'xiang
钟家庄街道,zhong'jia'zhuang'jie'dao
中涧河乡,zhong'jian'he'xiang
中卫乡,zhong'wei'xiang
中五井乡,zhong'wu'jing'xiang
中阳,zhong'yang
中阳楼街道,zhong'yang'lou'jie'dao
中阳县,zhong'yang'xian
中阳乡,zhong'yang'xiang
中峪乡,zhong'yu'xiang
中庄乡,zhong'zhuang'xiang
周村镇,zhou'cun'zhen
周士庄镇,zhou'shi'zhuang'zhen
周庄乡,zhou'zhuang'xiang
朱坑乡,zhu'keng'xiang
柱濮镇,zhu'pu'zhen
庄磨镇,zhuang'mo'zhen
庄上镇,zhuang'shang'zhen
庄子乡,zhuang'zi'xiang
卓里工贸区,zhuo'li'gong'mao'qu
子干乡,zi'gan'xiang
滋润乡,zi'run'xiang
紫岩乡,zi'yan'xiang
宗艾镇,zong'ai'zhen
阻虎乡,zu'hu'xiang
左木乡,zuo'mu'xiang
左权,zuo'quan
左权县,zuo'quan'xian
作疃乡,zuo'tuan'xiang
左云,zuo'yun
左云县,zuo'yun'xian
