矮胖型,ai'pang'xing
肱二头肌腱膜,gong'er'tou'ji'jian'mo
肱骨,gong'gu
肱骨干,gong'gu'gan
肱骨滑车,gong'gu'hua'che
肱骨内上踝,gong'gu'nei'shang'huai
肱骨上端,gong'gu'shang'duan
肱骨体,gong'gu'ti
肱骨头,gong'gu'tou
肱骨外上髁,gong'gu'wai'shang'ke
肱骨下端,gong'gu'xia'duan
肱骨小头,gong'gu'xiao'tou
肱肌,gong'ji
肱静脉,gong'jing'mai
巩膜,gong'mo
巩膜静脉窦,gong'mo'jing'mai'dou
功能及意义,gong'neng'ji'yi'yi
肱桡关节,gong'rao'guan'jie
肱桡肌,gong'rao'ji
肱三头肌,gong'san'tou'ji
共同管理,gong'tong'guan'li
宫外孕,gong'wai'yun
弓形长骨,gong'xing'chang'gu
弓状隆起,gong'zhuang'long'qi
弓状韧带,gong'zhuang'ren'dai
弓状线,gong'zhuang'xian
弓状纤维,gong'zhuang'xian'wei
钩骨,gou'gu
佝偻病,gou'lou'bing
钩状足,gou'zhuang'zu
钩椎关节,gou'zhui'guan'jie
骨半规管,gu'ban'gui'guan
股薄肌,gu'bo'ji
骨部,gu'bu
鼓部,gu'bu
股骶弓,gu'di'gong
股动脉,gu'dong'mai
骨腭,gu'e
股二头肌,gu'er'tou'ji
股二头肌腱,gu'er'tou'ji'jian
股方肌,gu'fang'ji
骨干,gu'gan
骨骼,gu'ge
骨骼肌,gu'ge'ji
股骨,gu'gu
股骨髌面,gu'gu'bin'mian
股骨大转子,gu'gu'da'zhuan'zi
股骨颈,gu'gu'jing
股骨内侧髁,gu'gu'nei'ce'ke
股骨内侧髁的外侧,gu'gu'nei'ce'ke'de'wai'ce
股骨内上髁,gu'gu'nei'shang'ke
股骨头,gu'gu'tou
股骨头凹,gu'gu'tou'ao
股骨头韧带,gu'gu'tou'ren'dai
股骨外侧髁,gu'gu'wai'ce'ke
股骨外侧髁的内侧,gu'gu'wai'ce'ke'de'nei'ce
股骨外上髁,gu'gu'wai'shang'ke
股骨下端,gu'gu'xia'duan
骨骺,gu'hou
股后皮神经,gu'hou'pi'shen'jing
骨化点,gu'hua'dian
骨化中心,gu'hua'zhong'xin
骨嵴,gu'ji
骨间关节,gu'jian'guan'jie
骨间膜,gu'jian'mo
骨间缘,gu'jian'yuan
骨间掌侧肌,gu'jian'zhang'ce'ji
骨胶原纤维,gu'jiao'yuan'xian'wei
骨胶原纤维束,gu'jiao'yuan'xian'wei'shu
股静脉,gu'jing'mai
孤立淋巴滤泡,gu'li'lin'ba'lv'pao
骨连结,gu'lian'jie
骨迷路,gu'mi'lu
骨密质,gu'mi'zhi
骨膜,gu'mo
鼓膜,gu'mo
鼓膜壁,gu'mo'bi
鼓膜脐,gu'mo'qi
鼓膜张肌,gu'mo'zhang'ji
股内侧肌,gu'nei'ce'ji
股内侧浅静脉,gu'nei'ce'qian'jing'mai
骨内膜,gu'nei'mo
骨盆,gu'pen
骨盆的组成,gu'pen'de'zu'cheng
骨盆腔,gu'pen'qiang
骨盆倾斜度,gu'pen'qing'xie'du
骨盆上口,gu'pen'shang'kou
骨盆下口,gu'pen'xia'kou
骨盆轴,gu'pen'zhou
古皮质,gu'pi'zhi
骨上血管,gu'shang'xue'guan
股深动脉,gu'shen'dong'mai
股神经,gu'shen'jing
鼓室,gu'shi
鼓室盖,gu'shi'gai
孤束,gu'shu
孤束核,gu'shu'he
股四头肌,gu'si'tou'ji
股四头肌腱,gu'si'tou'ji'jian
骨松质,gu'song'zhi
骨髓,gu'sui
鼓索,gu'suo
股外侧肌,gu'wai'ce'ji
股外侧皮神经,gu'wai'ce'pi'shen'jing
股外侧浅静脉,gu'wai'ce'qian'jing'mai
骨小梁,gu'xiao'liang
古小脑,gu'xiao'nao
骨性鼻腔,gu'xing'bi'qiang
骨性结合,gu'xing'jie'he
骨性口腔,gu'xing'kou'qiang
骨学,gu'xue
骨学及关节学,gu'xue'ji'guan'jie'xue
固有鼻腔,gu'you'bi'qiang
固有盆腔,gu'you'pen'qiang
骨折,gu'zhe
骨质,gu'zhi
股直肌,gu'zhi'ji
骨质疏松,gu'zhi'shu'song
骨质疏松症,gu'zhi'shu'song'zheng
股中间肌,gu'zhong'jian'ji
股中间皮神经,gu'zhong'jian'pi'shen'jing
骨组织,gu'zu'zhi
关节,guan'jie
关节半月板,guan'jie'ban'yue'ban
关节唇,guan'jie'chun
关节的辅助结构,guan'jie'de'fu'zhu'jie'gou
关节结节,guan'jie'jie'jie
关节面,guan'jie'mian
关节囊,guan'jie'nang
关节内侧,guan'jie'nei'ce
关节盘,guan'jie'pan
关节前方,guan'jie'qian'fang
关节腔,guan'jie'qiang
关节腔之外,guan'jie'qiang'zhi'wai
关节韧带,guan'jie'ren'dai
关节软骨,guan'jie'ruan'gu
关节上方,guan'jie'shang'fang
关节头,guan'jie'tou
关节突关节,guan'jie'tu'guan'jie
关节外侧,guan'jie'wai'ce
关节窝,guan'jie'wo
关节下方,guan'jie'xia'fang
关节学,guan'jie'xue
关节盂,guan'jie'yu
关节盂唇,guan'jie'yu'chun
冠突,guan'tu
冠突窝,guan'tu'wo
冠状,guan'zhuang
管状长骨,guan'zhuang'chang'gu
冠状动脉,guan'zhuang'dong'mai
冠状窦,guan'zhuang'dou
冠状窦口,guan'zhuang'dou'kou
冠状断层,guan'zhuang'duan'ceng
冠状断层常用基线,guan'zhuang'duan'ceng'chang'yong'ji'xian
冠状缝,guan'zhuang'feng
冠状沟,guan'zhuang'gou
冠状面,guan'zhuang'mian
冠状韧带,guan'zhuang'ren'dai
冠状位,guan'zhuang'wei
胱氨酸,guang'an'suan
广泛的交通,guang'fan'de'jiao'tong
光滑,guang'hua
光滑多乳头肾,guang'hua'duo'ru'tou'shen
贵要静脉,gui'yao'jing'mai
腘动脉,guo'dong'mai
过度后伸,guo'du'hou'shen
腘肌,guo'ji
国际饲料,guo'ji'si'liao
腘静脉,guo'jing'mai
过滤器,guo'lv'qi
腘窝,guo'wo
腘斜韧带,guo'xie'ren'dai
海马,hai'ma
海马沟,hai'ma'gou
海马旁回,hai'ma'pang'hui
海马旁回钩,hai'ma'pang'hui'gou
海马伞,hai'ma'san
海绵窦,hai'mian'dou
海绵体部,hai'mian'ti'bu
含气骨,han'qi'gu
汗腺,han'xian
含有少量浆液,han'you'shao'liang'jiang'ye
好发部位,hao'fa'bu'wei
核黄素,he'huang'su
颌下间隙,he'xia'jian'xi
颌下腺,he'xia'xian
颌下腺管,he'xia'xian'guan
黑质,hei'zhi
恒齿式,heng'chi'shi
恒定不变,heng'ding'bu'bian
横窦,heng'dou
横窦沟,heng'dou'gou
横断层,heng'duan'ceng
横断层常用基线,heng'duan'ceng'chang'yong'ji'xian
横断面,heng'duan'mian
横弓,heng'gong
横结肠,heng'jie'chang
横结肠系膜,heng'jie'chang'xi'mo
横切面,heng'qie'mian
横突,heng'tu
横突间,heng'tu'jian
横突间肌,heng'tu'jian'ji
横突间韧带,heng'tu'jian'ren'dai
横突孔,heng'tu'kong
横突肋凹,heng'tu'lei'ao
恒温,heng'wen
红骨髓,hong'gu'sui
红核,hong'he
红核脊髓束,hong'he'ji'sui'shu
虹膜,hong'mo
虹膜角膜角,hong'mo'jiao'mo'jiao
喉癌,hou'ai
后半规管,hou'ban'gui'guan
后穿质,hou'chuan'zhi
后床突,hou'chuang'tu
喉返神经,hou'fan'shen'jing
后腹壁的,hou'fu'bi'de
后根,hou'gen
后弓,hou'gong
喉肌,hou'ji
后角,hou'jiao
后角边缘核,hou'jiao'bian'yuan'he
后交叉韧带,hou'jiao'cha'ren'dai
后角固有核,hou'jiao'gu'you'he
后角球,hou'jiao'qiu
后交通动脉,hou'jiao'tong'dong'mai
喉结,hou'jie
喉结核,hou'jie'he
喉口,hou'kou
后内侧壁,hou'nei'ce'bi
后尿道,hou'niao'dao
后尿道包括,hou'niao'dao'bao'kuo
喉前庭,hou'qian'ting
喉腔,hou'qiang
后丘脑,hou'qiu'nao
后丘脑的,hou'qiu'nao'de
后乳头肌,hou'ru'tou'ji
骺软骨,hou'ruan'gu
喉上神经,hou'shang'shen'jing
喉上神经内外支,hou'shang'shen'jing'nei'wai'zhi
后伸,hou'shen
喉室,hou'shi
后室间支,hou'shi'jian'zhi
后束,hou'shu
后索,hou'suo
后外侧沟,hou'wai'ce'gou
后外侧核,hou'wai'ce'he
后外侧束,hou'wai'ce'shu
喉下神经,hou'xia'shen'jing
骺线,hou'xian
后囟,hou'xin
喉咽,hou'yan
喉咽部,hou'yan'bu
后叶,hou'ye
后缘,hou'yuan
后正中沟,hou'zheng'zhong'gou
喉中间腔,hou'zhong'jian'qiang
后纵隔,hou'zong'ge
后纵韧带,hou'zong'ren'dai
壶腹嵴,hu'fu'ji
胡萝卜素,hu'luo'bo'su
呼气,hu'qi
呼吸,hu'xi
呼吸部,hu'xi'bu
呼吸器,hu'xi'qi
呼吸系统,hu'xi'xi'tong
滑车关节,hua'che'guan'jie
滑车切迹,hua'che'qie'ji
滑车神经,hua'che'shen'jing
滑车神经核,hua'che'shen'jing'he
滑腱症,hua'jian'zheng
滑膜,hua'mo
滑膜襞,hua'mo'bi
滑膜襞的关节,hua'mo'bi'de'guan'jie
滑膜层,hua'mo'ceng
滑膜关节,hua'mo'guan'jie
滑膜囊,hua'mo'nang
滑膜绒毛,hua'mo'rong'mao
滑膜脂垫,hua'mo'zhi'dian
滑膜之外,hua'mo'zhi'wai
花生粕,hua'sheng'po
滑液,hua'ye
滑液囊,hua'ye'nang
滑液鞘,hua'ye'qiao
踝关节,huai'guan'jie
踝窝,huai'wo
坏血病,huai'xue'bing
环杓侧肌,huan'biao'ce'ji
环杓后肌,huan'biao'hou'ji
环池,huan'chi
环甲肌,huan'jia'ji
环甲正中韧带,huan'jia'zheng'zhong'ren'dai
寰枢关节,huan'shu'guan'jie
环枢关节,huan'shu'guan'jie
寰枢外侧关节,huan'shu'wai'ce'guan'jie
寰枢正中关节,huan'shu'zheng'zhong'guan'jie
环形肌,huan'xing'ji
寰枕关节,huan'zhen'guan'jie
寰枕后膜,huan'zhen'hou'mo
寰枕前膜,huan'zhen'qian'mo
环转,huan'zhuan
环状,huan'zhuang
环状襞,huan'zhuang'bi
环状关节面,huan'zhuang'guan'jie'mian
环状软骨,huan'zhuang'ruan'gu
环状软骨板,huan'zhuang'ruan'gu'ban
环状软骨弓,huan'zhuang'ruan'gu'gong
寰椎,huan'zhui
环椎,huan'zhui
寰椎横韧带,huan'zhui'heng'ren'dai
寰椎后弓,huan'zhui'hou'gong
寰椎十字韧带,huan'zhui'shi'zi'ren'dai
寰椎右侧块,huan'zhui'you'ce'kuai
寰椎左侧块,huan'zhui'zuo'ce'kuai
黄斑,huang'ban
黄斑位,huang'ban'wei
黄骨髓,huang'gu'sui
黄霉素,huang'mei'su
黄曲霉毒素,huang'qu'mei'du'su
黄曲霉素,huang'qu'mei'su
黄韧带,huang'ren'dai
回肠,hui'chang
回肠动脉,hui'chang'dong'mai
回肠末端,hui'chang'mo'duan
喙肱肌,hui'gong'ji
喙肱韧带,hui'gong'ren'dai
汇合而成,hui'he'er'cheng
喙肩弓,hui'jian'gong
喙肩韧带,hui'jian'ren'dai
回结肠动脉,hui'jie'chang'dong'mai
灰结节,hui'jie'jie
回盲瓣,hui'mang'ban
回盲口,hui'mang'kou
汇人静脉,hui'ren'jing'mai
喙锁韧带,hui'suo'ren'dai
喙突,hui'tu
会厌,hui'yan
会厌谷,hui'yan'gu
会厌结节,hui'yan'jie'jie
会厌软骨,hui'yan'ruan'gu
会厌上缘,hui'yan'shang'yuan
会阴,hui'yin
会阴动脉,hui'yin'dong'mai
会阴浅横肌,hui'yin'qian'heng'ji
会阴浅筋膜,hui'yin'qian'jin'mo
会阴浅深隙,hui'yin'qian'shen'xi
会阴区,hui'yin'qu
会阴曲,hui'yin'qu
会阴深横肌,hui'yin'shen'heng'ji
会阴神经,hui'yin'shen'jing
灰质,hui'zhi
灰质连合,hui'zhi'lian'he
混合性,hun'he'xing
混合性神经,hun'he'xing'shen'jing
基本结构,ji'ben'jie'gou
肌层,ji'ceng
基底动脉,ji'di'dong'mai
基底沟,ji'di'gou
基底核,ji'di'he
继发骨化点,ji'fa'gu'hua'dian
肌腹,ji'fu
鸡冠,ji'guan
集合淋巴滤泡,ji'he'lin'ba'lv'pao
肌腱,ji'jian
棘间韧带,ji'jian'ren'dai
棘孔,ji'kong
基膜,ji'mo
脊膜支,ji'mo'zhi
肌皮神经,ji'pi'shen'jing
肌肉组织,ji'rou'zu'zhi
棘上韧带,ji'shang'ren'dai
脊神经,ji'shen'jing
脊神经后根的,ji'shen'jing'hou'gen'de
脊神经节,ji'shen'jing'jie
脊神经节中枢突,ji'shen'jing'jie'zhong'shu'tu
脊神经节周围突,ji'shen'jing'jie'zhou'wei'tu
脊神经前根,ji'shen'jing'qian'gen
脊神经前支,ji'shen'jing'qian'zhi
寄生虫,ji'sheng'chong
肌束,ji'shu
脊髓,ji'sui
脊髓根,ji'sui'gen
脊髓固有束,ji'sui'gu'you'shu
脊髓前动脉,ji'sui'qian'dong'mai
脊髓丘脑侧束,ji'sui'qiu'nao'ce'shu
脊髓丘脑前束,ji'sui'qiu'nao'qian'shu
脊髓丘脑束,ji'sui'qiu'nao'shu
脊髓网状结构,ji'sui'wang'zhuang'jie'gou
脊髓下端,ji'sui'xia'duan
脊髓小脑后束,ji'sui'xiao'nao'hou'shu
脊髓小脑前束,ji'sui'xiao'nao'qian'shu
脊髓圆锥,ji'sui'yuan'zhui
棘突,ji'tu
棘突间,ji'tu'jian
肌胃,ji'wei
肌纤维,ji'xian'wei
畸形,ji'xing
肌性囊,ji'xing'nang
急性炎症,ji'xing'yan'zheng
鸡胸,ji'xiong
肌学,ji'xue
肌支,ji'zhi
脊柱,ji'zhu
脊柱变异,ji'zhu'bian'yi
脊柱侧屈,ji'zhu'ce'qu
脊柱过度后伸,ji'zhu'guo'du'hou'shen
脊柱裂,ji'zhu'lie
脊柱弯曲,ji'zhu'wan'qu
脊柱缘,ji'zhu'yuan
甲杓肌,jia'biao'ji
家畜,jia'chu
家畜体内,jia'chu'ti'nei
家畜中,jia'chu'zhong
假单极,jia'dan'ji
假单极神经元,jia'dan'ji'shen'jing'yuan
颊动脉,jia'dong'mai
加固,jia'gu
假骨盆,jia'gu'pen
颊肌,jia'ji
夹角处,jia'jiao'chu
假肋,jia'lei
颊粘膜,jia'nian'mo
家禽,jia'qin
颊神经,jia'shen'jing
颊支,jia'zhi
甲状骨上缘,jia'zhuang'gu'shang'yuan
甲状颈干,jia'zhuang'jing'gan
甲状旁腺,jia'zhuang'pang'xian
甲状软骨,jia'zhuang'ruan'gu
甲状软骨板,jia'zhuang'ruan'gu'ban
甲状舌骨肌,jia'zhuang'she'gu'ji
甲状舌骨韧带,jia'zhuang'she'gu'ren'dai
甲状腺,jia'zhuang'xian
甲状腺侧叶,jia'zhuang'xian'ce'ye
甲状腺滤泡,jia'zhuang'xian'lv'pao
甲状腺上动脉,jia'zhuang'xian'shang'dong'mai
甲状腺上下动脉,jia'zhuang'xian'shang'xia'dong'mai
甲状腺峡,jia'zhuang'xian'xia
甲状腺峡部,jia'zhuang'xian'xia'bu
甲状腺下动脉,jia'zhuang'xian'xia'dong'mai
睑板腺,jian'ban'xian
肩带,jian'dai
肩峰,jian'feng
肩峰端,jian'feng'duan
肩关节,jian'guan'jie
肩关节囊,jian'guan'jie'nang
肩关节脱位,jian'guan'jie'tuo'wei
肩关节外展,jian'guan'jie'wai'zhan
肩关节旋内,jian'guan'jie'xuan'nei
肩关节旋转,jian'guan'jie'xuan'zhuan
腱划,jian'hua
肩肌,jian'ji
肩胛冈,jian'jia'gang
肩胛骨,jian'jia'gu
肩岬骨喙突,jian'jia'gu'hui'tu
肩胛横韧带,jian'jia'heng'ren'dai
肩胛切迹,jian'jia'qie'ji
肩胛上动脉神经,jian'jia'shang'dong'mai'shen'jing
肩胛上横韧带,jian'jia'shang'heng'ren'dai
肩胛上群,jian'jia'shang'qun
肩胛舌骨肌,jian'jia'she'gu'ji
肩胛下肌,jian'jia'xia'ji
肩胛下窝,jian'jia'xia'wo
肩脚下窝,jian'jiao'xia'wo
间接连结,jian'jie'lian'jie
剑肋角,jian'lei'jiao
腱膜,jian'mo
腱膜下疏松组织,jian'mo'xia'shu'song'zu'zhi
腱膜在,jian'mo'zai
间脑,jian'nao
睑内侧韧带,jian'nei'ce'ren'dai
荐髂关节,jian'qia'guan'jie
腱鞘,jian'qiao
腱索,jian'suo
肩锁关节,jian'suo'guan'jie
肩锁韧带,jian'suo'ren'dai
剑突,jian'tu
间位帆池,jian'wei'fan'chi
碱性粒细胞,jian'xing'li'xi'bao
尖牙,jian'ya
尖牙窝,jian'ya'wo
剑状,jian'zhuang
剑状软骨部,jian'zhuang'ruan'gu'bu
荐椎,jian'zhui
降部,jiang'bu
降结肠,jiang'jie'chang
降口角肌,jiang'kou'jue'ji
浆膜,jiang'mo
浆膜层,jiang'mo'ceng
浆膜心包,jiang'mo'xin'bao
浆细胞,jiang'xi'bao
降下唇肌,jiang'xia'chun'ji
降主动脉,jiang'zhu'dong'mai
交叉池,jiao'cha'chi
交叉沟,jiao'cha'gou
交叉韧带,jiao'cha'ren'dai
交感干,jiao'gan'gan
交感神经,jiao'gan'shen'jing
交感神经的节后纤维,jiao'gan'shen'jing'de'jie'hou'xian'wei
交感神经的节前纤维,jiao'gan'shen'jing'de'jie'qian'xian'wei
交感神经节前纤维,jiao'gan'shen'jing'jie'qian'xian'wei
角回,jiao'hui
脚间池,jiao'jian'chi
脚间核,jiao'jian'he
脚间窝,jiao'jian'wo
角膜,jiao'mo
角切迹,jiao'qie'ji
交通支,jiao'tong'zhi
胶状质,jiao'zhuang'zhi
结肠,jie'chang
结肠带,jie'chang'dai
结肠袋,jie'chang'dai
结肠动脉,jie'chang'dong'mai
结肠旁沟,jie'chang'pang'gou
结肠系膜,jie'chang'xi'mo
结肠压迹,jie'chang'ya'ji
结肠右肝曲,jie'chang'you'gan'qu
结肠右曲,jie'chang'you'qu
结肠左曲,jie'chang'zuo'qu
结缔组织,jie'di'zu'zhi
结缔组织构成,jie'di'zu'zhi'gou'cheng
节段性,jie'duan'xing
界沟,jie'gou
结核好发部位,jie'he'hao'fa'bu'wei
结节,jie'jie
结节间沟,jie'jie'jian'gou
睫毛,jie'mao
睫毛腺,jie'mao'xian
结膜,jie'mo
解剖颈,jie'pou'jing
解剖学,jie'pou'xue
界线,jie'xian
节制索,jie'zhi'suo
睫状肌,jie'zhuang'ji
睫状神经节,jie'zhuang'shen'jing'jie
睫状体,jie'zhuang'ti
睫状体部,jie'zhuang'ti'bu
睫状体产生,jie'zhuang'ti'chan'sheng
近侧,jin'ce
近节指骨,jin'jie'zhi'gu
筋膜,jin'mo
紧张部,jin'zhang'bu
颈部,jing'bu
胫侧,jing'ce
胫侧副韧带,jing'ce'fu'ren'dai
颈丛,jing'cong
颈动脉壁,jing'dong'mai'bi
颈动脉窦,jing'dong'mai'dou
颈动脉沟,jing'dong'mai'gou
颈动脉管,jing'dong'mai'guan
颈动脉管内口,jing'dong'mai'guan'nei'kou
颈动脉管外口,jing'dong'mai'guan'wai'kou
颈动脉结节,jing'dong'mai'jie'jie
颈动脉鞘,jing'dong'mai'qiao
颈动脉小球,jing'dong'mai'xiao'qiu
胫腓,jing'fei
胫腓关节,jing'fei'guan'jie
胫腓后韧带,jing'fei'hou'ren'dai
胫腓连结,jing'fei'lian'jie
胫腓前韧带,jing'fei'qian'ren'dai
胫骨,jing'gu
胫骨粗隆,jing'gu'cu'long
胫骨后肌,jing'gu'hou'ji
胫骨髁间隆起,jing'gu'ke'jian'long'qi
胫骨内侧髁,jing'gu'nei'ce'ke
胫骨前肌,jing'gu'qian'ji
胫骨下端,jing'gu'xia'duan
颈横神经,jing'heng'shen'jing
胫后动脉,jing'hou'dong'mai
境界与区分,jing'jie'yu'qu'fen
颈静脉壁,jing'jing'mai'bi
颈静脉结节,jing'jing'mai'jie'jie
颈静脉孔,jing'jing'mai'kong
颈静脉切迹,jing'jing'mai'qie'ji
颈静脉窝,jing'jing'mai'wo
颈阔肌,jing'kuo'ji
精料预混料,jing'liao'yu'hun'liao
静脉,jing'mai
静脉瓣,jing'mai'ban
静脉角,jing'mai'jiao
静脉韧带,jing'mai'ren'dai
静脉韧带裂,jing'mai'ren'dai'lie
静脉血,jing'mai'xue
精囊,jing'nang
精囊腺,jing'nang'xian
精囊腺排泄管,jing'nang'xian'pai'xie'guan
颈内动静脉,jing'nei'dong'jing'mai
颈内动脉,jing'nei'dong'mai
颈内动脉的分支,jing'nei'dong'mai'de'fen'zhi
颈内静脉,jing'nei'jing'mai
颈彭大,jing'peng'da
颈膨大,jing'peng'da
胫前动脉,jing'qian'dong'mai
颈浅动脉,jing'qian'dong'mai
颈曲,jing'qu
精曲小管,jing'qu'xiao'guan
茎乳孔,jing'ru'kong
茎乳突,jing'ru'tu
颈上节发出,jing'shang'jie'fa'chu
颈深筋膜,jing'shen'jin'mo
颈深筋膜中层,jing'shen'jin'mo'zhong'ceng
胫神经,jing'shen'jing
颈神经,jing'shen'jing
颈神经前支,jing'shen'jing'qian'zhi
颈深淋巴结,jing'shen'lin'ba'jie
颈髓灰质,jing'sui'hui'zhi
精索,jing'suo
精索部,jing'suo'bu
精索的,jing'suo'de
精索内筋膜,jing'suo'nei'jin'mo
精索通过,jing'suo'tong'guo
精索外筋膜,jing'suo'wai'jin'mo
茎突,jing'tu
茎突舌骨肌,jing'tu'she'gu'ji
茎突舌肌,jing'tu'she'ji
颈外动静脉脉,jing'wai'dong'jing'mo'mo
颈外动脉,jing'wai'dong'mai
颈外静脉,jing'wai'jing'mai
精细触觉,jing'xi'chu'jue
精直小管,jing'zhi'xiao'guan
晶状体,jing'zhuang'ti
晶状体混浊,jing'zhuang'ti'hun'zhuo
颈椎,jing'zhui
颈椎棘突间韧带,jing'zhui'ji'tu'jian'ren'dai
颈椎间,jing'zhui'jian
精子的贮存器官,jing'zi'de'zhu'cun'qi'guan
颈总动脉,jing'zong'dong'mai
臼齿,jiu'chi
旧皮质,jiu'pi'zhi
旧纹状体,jiu'wen'zhuang'ti
旧纹状体的,jiu'wen'zhuang'ti'de
旧小脑,jiu'xiao'nao
距腓后韧带,ju'fei'hou'ren'dai
距腓前韧带,ju'fei'qian'ren'dai
距跟关节,ju'gen'guan'jie
距跟舟关节,ju'gen'zhou'guan'jie
距骨,ju'gu
距骨滑车,ju'gu'hua'che
局解,ju'jie
咀嚼肌,ju'jue'ji
距切牙,ju'qie'ya
巨上骨,ju'shang'gu
距下关节,ju'xia'guan'jie
距小腿关节,ju'xiao'tui'guan'jie
距舟关节,ju'zhou'guan'jie
距状沟,ju'zhuang'gou
距状裂,ju'zhuang'lie
距足舟关节,ju'zu'zhou'guan'jie
卷爪麻痹症,juan'zhao'ma'bi'zheng
绝育术,jue'yu'shu
菌状乳头,jun'zhuang'ru'tou
开口于,kai'kou'yu
开口于蝶筛隐窝,kai'kou'yu'die'shai'yin'wo
抗干眼病,kang'gan'yan'bing
抗利尿激素,kang'li'niao'ji'su
抗球虫,kang'qiu'chong
抗胰蛋白酶,kang'yi'dan'bai'mei
颏唇沟,ke'chun'gou
髁管,ke'guan
颏棘,ke'ji
髁间隆起,ke'jian'long'qi
髁间窝,ke'jian'wo
颏结节,ke'jie'jie
颏孔,ke'kong
颗粒小凹,ke'li'xiao'ao
颏隆凸,ke'long'tu
可区分为,ke'qu'fen'wei
颏舌骨肌,ke'she'gu'ji
颏舌肌,ke'she'ji
可塑性,ke'su'xing
髁突,ke'tu
可以人为改变,ke'yi'ren'wei'gai'bian
空肠,kong'chang
空肠动脉,kong'chang'dong'mai
空回肠动脉,kong'hui'chang'dong'mai
扣带,kou'dai
扣带沟,kou'dai'gou
扣带回,kou'dai'hui
口角,kou'jue
口裂,kou'lie
口轮匝肌,kou'lun'za'ji
口腔,kou'qiang
口腔前庭,kou'qiang'qian'ting
口咽,kou'yan
口咽部,kou'yan'bu
宽短直,kuan'duan'zhi
髋骨,kuan'gu
髋骨的固有韧带,kuan'gu'de'gu'you'ren'dai
髋关节,kuan'guan'jie
髋关节的韧带,kuan'guan'jie'de'ren'dai
髋臼,kuan'jiu
髋臼横韧带,kuan'jiu'heng'ren'dai
髋臼切迹,kuan'jiu'qie'ji
髋臼窝,kuan'jiu'wo
眶板,kuang'ban
眶回,kuang'hui
眶面,kuang'mian
眶上孔,kuang'shang'kong
眶上裂,kuang'shang'lie
眶上裂人眶,kuang'shang'lie'ren'kuang
眶上切迹,kuang'shang'qie'ji
眶上缘,kuang'shang'yuan
眶下壁,kuang'xia'bi
眶下沟,kuang'xia'gou
眶下管,kuang'xia'guan
眶下孔,kuang'xia'kong
眶下裂,kuang'xia'lie
眶下神经,kuang'xia'shen'jing
眶脂体,kuang'zhi'ti
阔筋膜张肌,kuo'jin'mo'zhang'ji
蓝斑,lan'ban
阑尾,lan'wei
阑尾动脉,lan'wei'dong'mai
阑尾口,lan'wei'kou
阑尾系膜,lan'wei'xi'mo
老年人膀胱,lao'nian'ren'pang'guang
肋凹,lei'ao
泪点,lei'dian
泪阜,lei'fu
肋膈隐窝,lei'ge'yin'wo
肋弓,lei'gong
肋沟,lei'gou
泪骨,lei'gu
肋骨,lei'gu
肋横突关节,lei'heng'tu'guan'jie
肋横突韧带,lei'heng'tu'ren'dai
肋横突上韧带,lei'heng'tu'shang'ren'dai
肋横突外侧韧带,lei'heng'tu'wai'ce'ren'dai
肋间后动脉,lei'jian'hou'dong'mai
肋间内肌,lei'jian'nei'ji
肋间外肌,lei'jian'wai'ji
肋间隙,lei'jian'xi
肋间血管,lei'jian'xue'guan
肋角,lei'jiao
肋结节,lei'jie'jie
肋颈,lei'jing
泪囊,lei'nang
泪囊窝,lei'nang'wo
肋切迹,lei'qie'ji
肋软骨,lei'ruan'gu
肋锁韧带,lei'suo'ren'dai
肋体,lei'ti
肋头,lei'tou
肋头关节,lei'tou'guan'jie
泪腺,lei'xian
泪腺窝,lei'xian'wo
泪小管,lei'xiao'guan
肋椎关节,lei'zhui'guan'jie
立方上皮,li'fang'shang'pi
犁骨,li'gu
粒细胞,li'xi'bao
梨状肌,li'zhuang'ji
犁状肌,li'zhuang'ji
梨状孔,li'zhuang'kong
梨状隐窝,li'zhuang'yin'wo
镰刀形,lian'dao'xing
联动关节,lian'dong'guan'jie
联合关节,lian'he'guan'jie
联合腱,lian'he'jian
连合纤维,lian'he'xian'wei
连结形式,lian'jie'xing'shi
联络神经元,lian'luo'shen'jing'yuan
连于肝门与胃之间,lian'yu'gan'men'yu'wei'zhi'jian
镰状韧带,lian'zhuang'ren'dai
两部分,liang'bu'fen
两侧椎弓骨化中心,liang'ce'zhui'gong'gu'hua'zhong'xin
两层之间,liang'ceng'zhi'jian
裂孔,lie'kong
裂孔疝,lie'kong'shan
淋巴导管,lin'ba'dao'guan
淋巴干,lin'ba'gan
淋巴管,lin'ba'guan
淋巴结,lin'ba'jie
淋巴滤泡,lin'ba'lv'pao
淋巴系,lin'ba'xi
淋巴细胞,lin'ba'xi'bao
淋巴系统,lin'ba'xi'tong
淋巴液,lin'ba'ye
淋巴组织,lin'ba'zu'zhi
鳞部,lin'bu
临床特点,lin'chuang'te'dian
硫胺素,liu'an'su
硫酸亚铁,liu'suan'ya'tie
瘤胃,liu'wei
隆起,long'qi
笼养鸡,long'yang'ji
隆椎,long'zhui
漏斗,lou'dou
漏斗隐窝,lou'dou'yin'wo
颅侧,lu'ce
颅盖,lu'gai
颅根,lu'gen
颅骨,lu'gu
颅骨的连结,lu'gu'de'lian'jie
颅骨间的缝,lu'gu'jian'de'feng
颅后窝,lu'hou'wo
颅面,lu'mian
