安身立本,an'shen'li'ben
杨东明,yang'dong'ming
杨简,yang'jian
杨爵,yang'jue
阳明洞,yang'ming'dong
阳明学派,yang'ming'xue'pai
杨起元,yang'qi'yuan
杨时,yang'shi
杨时乔,yang'shi'qiao
杨氏易传,yang'shi'yi'chuan
杨万里,yang'wan'li
杨应诏,yang'ying'zhao
杨豫孙,yang'yu'sun
姚江学派,yao'jiang'xue'pai
姚鼐,yao'nai
姚枢,yao'shu
姚学塽,yao'xue'shuang
叶茂才,ye'mao'cai
叶审言,ye'shen'yan
叶适,ye'shi
叶秀发,ye'xiu'fa
叶元老,ye'yuan'lao
遗安义学,yi'an'yi'xue
易本义附录纂疏,yi'ben'yi'fu'lu'zuan'shu
一草一木亦皆有理,yi'cao'yi'mu'yi'jie'you'li
伊川击壤集,yi'chuan'ji'rang'ji
伊川学派,yi'chuan'xue'pai
易简工夫,yi'jian'gong'fu
义利之辩,yi'li'zhi'bian
义理之性与气质之性,yi'li'zhi'xing'yu'qi'zhi'zhi'xing
伊洛渊源录,yi'luo'yuan'yuan'lu
易数钩隐图,yi'shu'gou'yin'tu
易堂九子,yi'tang'jiu'zi
一物两体,yi'wu'liang'ti
一物之理即万物之理,yi'wu'zhi'li'ji'wan'wu'zhi'li
易学启蒙翼传,yi'xue'qi'meng'yi'chuan
易学象数论,yi'xue'xiang'shu'lun
易原,yi'yuan
意者心之所存非所发,yi'zhe'xin'zhi'suo'cun'fei'suo'fa
尹焞,yin'tui
殷元福,yin'yuan'fu
应伪谦,ying'wei'qian
永嘉学派,yong'jia'xue'pai
永康学派,yong'kang'xue'pai
甬上四先生迂书,yong'shang'si'xian'sheng'yu'shu
由当然以即本然,you'dang'ran'yi'ji'ben'ran
尤时熙,you'shi'xi
游师雄,you'shi'xiong
游似,you'si
优游读书,you'you'du'shu
游廌山集,you'zhi'shan'ji
游酢,you'zuo
喻樗,yu'chu
余干学派,yu'gan'xue'pai
玉海,yu'hai
余焕文,yu'huan'wen
虞集,yu'ji
喻偘,yu'kan
语录,yu'lu
狱麓学派,yu'lu'xue'pai
喻南强,yu'nan'qiang
虞舜臣,yu'shun'chen
宇文绍节,yu'wen'shao'jie
余祐,yu'you
育欲,yu'yu
豫章学派,yu'zhang'xue'pai
原道,yuan'dao
鸢飞鱼跃匾,yuan'fei'yu'yue'bian
袁甫,yuan'fu
元晦,yuan'hui
袁桷,yuan'jue
元明善,yuan'ming'shan
原善,yuan'shan
袁燮,yuan'xie
原性,yuan'xing
渊颖集,yuan'ying'ji
岳麓书院,yue'lu'shu'yuan
粤闽学派,yue'min'xue'pai
筼穸集,yun'xi'ji
灾祥在人不在物,zai'xiang'zai'ren'bu'zai'wu
泽山书院,ze'shan'shu'yuan
曾国藩,zeng'guo'fan
曾文正公全集,zeng'wen'zheng'gong'quan'ji
曾子良,zeng'zi'liang
詹初,zhan'chu
詹明章,zhan'ming'zhang
湛若水,zhan'ruo'shui
张伯行,zhang'bo'xing
张淳,zhang'chun
张鼎,zhang'ding
张尔岐,zhang'er'qi
张珪,zhang'gui
张后觉,zhang'hou'jue
章璜,zhang'huang
张煇,zhang'hui
张戬,zhang'jian
张节,zhang'jie
张杰,zhang'jie
张九成,zhang'jiu'cheng
张烈,zhang'lie
张履祥,zhang'lv'xiang
章懋,zhang'mao
张沐,zhang'mu
张鹏翼,zhang'peng'yi
张栻,zhang'shi
张诩,zhang'xu
章学诚,zhang'xue'cheng
张元忭,zhang'yuan'bian
张载,zhang'zai
张载集,zhang'zai'ji
张贞生,zhang'zhen'sheng
张之洞,zhang'zhi'dong
张自超,zhang'zi'chao
张子正蒙注,zhang'zi'zheng'meng'zhu
赵秉文,zhao'bing'wen
赵蕃,zhao'bo
赵复,zhao'fu
赵汸,zhao'pang
赵霄,zhao'xiao
赵偕,zhao'xie
浙东学派,zhe'dong'xue'pai
真德秀,zhen'de'xiu
真我,zhen'wo
真西山全集,zhen'xi'shan'quan'ji
郑伯熊,zheng'bo'xiong
郑伯英,zheng'bo'ying
正躬行,zheng'gong'xing
郑觉民,zheng'jue'min
郑伉,zheng'kang
正蒙,zheng'meng
正蒙初义,zheng'meng'chu'yi
郑清之,zheng'qing'zhi
证人书院,zheng'ren'shu'yuan
证性篇,zheng'xing'pian
正谊堂全书,zheng'yi'tang'quan'shu
郑玉,zheng'yu
郑真,zheng'zhen
质测即藏通几者也,zhi'ce'ji'cang'tong'ji'zhe'ye
致良知,zhi'liang'zhi
廌山学派,zhi'shan'xue'pai
知是思与见闻之会,zhi'shi'si'yu'jian'wen'zhi'hui
知行常相须,zhi'xing'chang'xiang'xu
知行合一,zhi'xing'he'yi
知行合一并进,zhi'xing'he'yi'bing'jin
知行兼举,zhi'xing'jian'ju
知言,zhi'yan
止斋集,zhi'zhai'ji
致知,zhi'zhi
知至而行即次之,zhi'zhi'er'xing'ji'ci'zhi
中国理学,zhong'guo'li'xue
中国理学总词库,zhong'guo'li'xue'zong'ci'ku
钟师道,zhong'shi'dao
中无定体,zhong'wu'ding'ti
周敦颐,zhou'dun'yi
周蕙,zhou'hui
周南,zhou'nan
周汝登,zhou'ru'deng
周坦,zhou'tan
周卫,zhou'wei
周行己,zhou'xing'ji
周怡,zhou'yi
周易本义,zhou'yi'ben'yi
周易程氏传,zhou'yi'cheng'shi'chuan
周易大全,zhou'yi'da'quan
周易口义,zhou'yi'kou'yi
周易内传,zhou'yi'nei'zhuan
周易外传,zhou'yi'wai'zhuan
周子全书,zhou'zi'quan'shu
著变与渐化,zhu'bian'yu'jian'hua
祝蕃,zhu'bo
朱次琦,zhu'ci'qi
竺大年,zhu'da'nian
朱得之,zhu'dei'zhi
铢分毫析,zhu'fen'hao'xi
朱珪,zhu'gui
主静,zhu'jing
主敬,zhu'jing
朱陆异同,zhu'lu'yi'tong
朱陆之争,zhu'lu'zhi'zheng
祝世禄,zhu'shi'lu
朱恕,zhu'shu
朱舜水集,zhu'shun'shui'ji
朱松,zhu'song
朱文公文集,zhu'wen'gong'wen'ji
朱文炑,zhu'wen'mu
朱熹,zhu'xi
朱熹省墓,zhu'xi'xing'mu
朱熹坐沙画卦处,zhu'xi'zuo'sha'hua'gua'chu
主一箴,zhu'yi'zhen
朱用纯,zhu'yong'chun
朱泽沄,zhu'ze'yun
朱震,zhu'zhen
朱之瑜,zhu'zhi'yu
竹洲书院,zhu'zhou'shu'yuan
朱子大全,zhu'zi'da'quan
朱子全书,zhu'zi'quan'shu
朱子晚年定论,zhu'zi'wan'nian'ding'lun
朱子学,zhu'zi'xue
朱子遗书,zhu'zi'yi'shu
朱子语类,zhu'zi'yu'lei
紫微学派,zi'wei'xue'pai
自无极而为太极,zi'wu'ji'er'wei'tai'ji
自新,zi'xin
紫阳书堂匾,zi'yang'shu'tang'bian
紫阳书堂印章,zi'yang'shu'tang'yin'zhang
紫阳书院,zi'yang'shu'yuan
紫阳学派,zi'yang'xue'pai
资治通鉴纲目,zi'zhi'tong'jian'gang'mu
宗稷辰,zong'ji'chen
邹守益,zou'shou'yi
邹元标,zou'yuan'biao
邹智,zou'zhi
尊德性,zun'de'xing
