哀情吉语本难双,ai'qing'ji'yu'ben'nan'shuang
定非凡品,ding'fei'fan'pin
丁奉定计斩孙綝,ding'feng'ding'ji'zhan'sun'shen
丁奉雪中奋短兵,ding'feng'xue'zhong'fen'duan'bing
订鸥盟水上,ding'ou'meng'shui'shang
定三分隆中决策,ding'san'fen'long'zhong'jue'ce
东窗下夫妻设计,dong'chuang'xia'fu'qi'she'ji
东阁勋猷,dong'ge'xun'you
董国舅内阁受诏,dong'guo'jiu'nei'ge'shou'zhao
东接益阳故垒,dong'jie'yi'yang'gu'lei
东门遂援立子倭,dong'men'sui'yuan'li'zi'wo
东南山何立见佛,dong'nan'shan'he'li'jian'fo
东平府误陷九纹龙,dong'ping'fu'wu'xian'jiu'wen'long
董太师大闹凤仪亭,dong'tai'shi'da'nao'feng'yi'ting
洞庭毓秀,dong'ting'yu'xiu
东维子集,dong'wei'zi'ji
东西汉,dong'xi'han
东浙犹延汉历,dong'zhe'you'yan'han'li
都承清景,dou'cheng'qing'jing
兜洞如来暗示主人公,dou'dong'ru'lai'an'shi'zhu'ren'gong
窦建德折将丧师,dou'jian'de'zhe'jiang'sang'shi
都想要拜相封侯,dou'xiang'yao'bai'xiang'feng'hou
斗叶子敬济输金,dou'ye'zi'jing'ji'shu'jin
杜大夫化厉鸣冤,du'dai'fu'hua'li'ming'yuan
笃根本,du'gen'ben
度孤魂萧禹正空门,du'gu'hun'xiao'yu'zheng'kong'men
渡河声尚壮,du'he'sheng'shang'zhuang
渡泸水再缚番王,du'lu'shui'zai'fu'fan'wang
读评,du'ping
睹棋枰瓶儿输钞,du'qi'ping'ping'er'shu'chao
读赏,du'shang
读书深得古人心,du'shu'shen'de'gu'ren'xin
读书万卷,du'shu'wan'juan
读书先得古人心,du'shu'xian'de'gu'ren'xin
读书有味且从容,du'shu'you'wei'qie'cong'rong
独有千秋,du'you'qian'qiu
段家庄重招新女婿,duan'jia'zhuang'zhong'zhao'xin'nv'xu
断魔归本合元神,duan'mo'gui'ben'he'yuan'shen
对虎峪咬金说罗成,dui'hu'yu'yao'jin'shuo'luo'cheng
对月有怀,dui'yue'you'huai
多笔一用,duo'bi'yi'yong
夺冀州袁尚争锋,duo'ji'zhou'yuan'shang'zheng'feng
多情女情重愈斟情,duo'qing'nv'qing'zhong'yu'zhen'qing
堕三都闻人伏法,duo'san'du'wen'ren'fu'fa
多为教学场所,duo'wei'jiao'xue'chang'suo
夺先锋教场比武,duo'xian'feng'jiao'chang'bi'wu
夺状元枪挑小梁王,duo'zhuang'yuan'qiang'tiao'xiao'liang'wang
讹错,e'cuo
讹混,e'hun
讹误,e'wu
鄂渚一别即终古,e'zhu'yi'bie'ji'zhong'gu
二百余年遗直在,er'bai'yu'nian'yi'zhi'zai
而荒于嬉,er'huang'yu'xi
二佳人愤深同气苦,er'jia'ren'fen'shen'tong'qi'ku
二将军宫门镇鬼,er'jiang'jun'gong'men'zhen'gui
二门,er'men
而莫邃于地舆,er'mo'sui'yu'di'yu
而莫肖于诸葛,er'mo'xiao'yu'zhu'ge
而莫壮于戎疆,er'mo'zhuang'yu'rong'jiang
二僧荡怪闹龙宫,er'seng'dang'guai'nao'long'gong
二十八宿中的翼宿和轸宿,er'shi'ba'xiu'zhong'de'yi'su'he'zhen'su
二提刑庭参太尉,er'ti'xing'ting'can'tai'wei
二心搅乱大乾坤,er'xin'jiao'luan'da'qian'kun
发矫诏诸镇应曹公,fa'jiao'zhao'zhu'zhen'ying'cao'gong
法兰西,fa'lan'xi
法輪自转菩提海,fa'lun'zi'zhuan'pu'ti'hai
法律条文,fa'lv'tiao'wen
发上等愿,fa'shang'deng'yuan
法身元运逢车力,fa'shen'yuan'yun'feng'che'li
法王成正体天然,fa'wang'cheng'zheng'ti'tian'ran
法性西来逢女国,fa'xing'xi'lai'feng'nv'guo
伐中原武侯上表,fa'zhong'yuan'wu'hou'shang'biao
犯长安李傕听贾诩,fan'chang'an'li'jue'ting'jia'xu
藩臣多误国,fan'chen'duo'wu'guo
藩臣徒误国,fan'chen'tu'wu'guo
泛洪涛虬王报怨,fan'hong'tao'qiu'wang'bao'yuan
樊家庄争鹿招亲,fan'jia'zhuang'zheng'lu'zhao'qin
樊建威冒雪访良朋,fan'jian'wei'mao'xue'fang'liang'peng
范节级为表兄医脸,fan'jie'ji'wei'biao'xiong'yi'lian
凡例,fan'li
反认他乡是故乡,fan'ren'ta'xiang'shi'gu'xiang
凡堂属略同师弟,fan'tang'shu'lue'tong'shi'di
反天宫诸神捉怪,fan'tian'gong'zhu'shen'zhuo'guai
反武场放走岳鹏举,fan'wu'chang'fang'zou'yue'peng'ju
范希文十万甲兵,fan'xi'wen'shi'wan'jia'bing
反燕山罗艺兴兵,fan'yan'shan'luo'yi'xing'bing
樊於期传檄讨秦王,fan'yu'qi'chuan'xi'tao'qin'wang
泛指虞夏时期的蝌蚪文,fan'zhi'yu'xia'shi'qi'de'ke'dou'wen
芳草晴川,fang'cao'qing'chuan
方尽我心,fang'jin'wo'xin
放冷箭燕青救主,fang'leng'jian'yan'qing'jiu'zhu
访鹿友山中,fang'lu'you'shan'zhong
房山寨双并旧强人,fang'shan'zhai'shuang'bing'jiu'qiang'ren
飞彩凝辉,fei'cai'ning'hui
废曹芳魏家果报,fei'cao'fang'wei'jia'guo'bao
飞觥限斝,fei'gong'xian'jia
飞觥献斝,fei'gong'xian'jia
废汉帝陈留践位,fei'han'di'chen'liu'jian'wei
非是文公请退之,fei'shi'wen'gong'qing'tui'zhi
废学,fei'xue
绯衣坦腹旧有征,fei'yi'tan'fu'jiu'you'zheng
焚稿断痴情,fen'gao'duan'chi'qing
愤激千秋,fen'ji'qian'qiu
焚金阙董卓行凶,fen'jin'que'dong'zhuo'xing'xiong
分明窗纸两挡影,fen'ming'chuang'zhi'liang'dang'ying
汾阳福备乃克享,fen'yang'fu'bei'nai'ke'xiang
汾阳威望,fen'yang'wei'wang
愤冤情哭诉潮神庙,fen'yuan'qing'ku'su'chao'shen'miao
风波亭父子归神,feng'bo'ting'fu'zi'gui'shen
风尘怀闺秀,feng'chen'huai'gui'xiu
风尘碌碌,feng'chen'lu'lu
风晨月夕,feng'chen'yue'xi
风尘知己,feng'chen'zhi'ji
逢丑父易服免君,feng'chou'fu'yi'fu'mian'jun
峰从天外飞来,feng'cong'tian'wai'fei'lai
风静诸边,feng'jing'zhu'bian
冯廉使挽左宗棠,feng'lian'shi'wan'zuo'zong'tang
风流顿尽,feng'liu'dun'jin
冯妈妈说嫁韩爱姐,feng'ma'ma'shuo'jia'han'ai'jie
风凄雨泣,feng'qi'yu'qi
疯僧扫秦,feng'seng'sao'qin
丰神迥别,feng'shen'jiong'bie
凤仙郡冒天止雨,feng'xian'jun'mao'tian'zhi'yu
冯谖弹铗客孟尝,feng'xuan'dan'jia'ke'meng'chang
奉严词两番入家塾,feng'yan'ci'liang'fan'ru'jia'shu
蜂腰桥设言传心事,feng'yao'qiao'she'yan'chuan'xin'shi
冯友兰,feng'you'lan
风雨归舟,feng'yu'gui'zhou
风雨夕闷制风雨词,feng'yu'xi'men'zhi'feng'yu'ci
风月宝鉴,feng'yue'bao'jian
风月无边,feng'yue'wu'bian
风月之情,feng'yue'zhi'qing
风云秋气惨,feng'yun'qiu'qi'can
佛谪金翅鸟降凡,fo'zhe'jin'chi'niao'jiang'fan
阜财解愠,fu'cai'jie'yun
富察明义,fu'cha'ming'yi
副钗,fu'chai
夫差违谏释越,fu'chai'wei'jian'shi'yue
赋初值,fu'chu'zhi
父慈子孝,fu'ci'zi'xiao
附公者不皆君子,fu'gong'zhe'bu'jie'jun'zi
抚孤寡员外施恩,fu'gu'gua'yuan'wai'shi'en
伏皇后为国捐生,fu'huang'hou'wei'guo'juan'sheng
伏脉千里,fu'mai'qian'li
缚魔归正乃修身,fu'mo'gui'zheng'nai'xiu'shen
芙蓉吹断秋风狠,fu'rong'chui'duan'qiu'feng'hen
复三关叔宝扬威,fu'san'guan'shu'bao'yang'wei
复世职政老沐天恩,fu'shi'zhi'zheng'lao'mu'tian'en
浮屠山玄奘受心经,fu'tu'shan'xuan'zang'shou'xin'jing
父望子成龙,fu'wang'zi'cheng'long
赴巫山潘氏欢幽,fu'wu'shan'pan'shi'huan'you
伏线千里,fu'xian'qian'li
敷演,fu'yan
复州六城,fu'zhou'liu'cheng
盖代大名垂宇宙,gai'dai'da'ming'chui'yu'zhou
改赦书世民被释,gai'she'shu'shi'min'bei'shi
感恩知己,gan'en'zhi'ji
尴尬人难免尴尬事,gan'ga'ren'nan'mian'gan'ga'shi
甘或如醴,gan'huo'ru'li
甘罗童年取高位,gan'luo'tong'nian'qu'gao'wei
甘宁百骑劫魏营,gan'ning'bai'qi'jie'wei'ying
感秋深抚琴悲往事,gan'qiu'shen'fu'qin'bei'wang'shi
甘泉关众王聚会,gan'quan'guan'zhong'wang'ju'hui
感时同起舞,gan'shi'tong'qi'wu
甘肃省兰州左文襄公祠,gan'su'sheng'lan'zhou'zuo'wen'xiang'gong'ci
感召祥和,gan'zhao'xiang'he
高老庄行者降魔,gao'lao'zhuang'xing'zhe'xiang'mo
高楼遥吸海云来,gao'lou'yao'xi'hai'yun'lai
高渠弥乘间易君,gao'qu'mi'cheng'jian'yi'jun
高太尉大兴三路兵,gao'tai'wei'da'xing'san'lu'bing
高谈快论,gao'tan'kuai'lun
高唐草射破飞钹,gao'tang'cao'she'po'fei'bo
高祖庆功麒麟阁,gao'zu'qing'gong'qi'lin'ge
割离,ge'li
革新,ge'xin
歌扊扅百里认妻,ge'yan'yi'bai'li'ren'qi
葛忠武两朝开济,ge'zhong'wu'liang'chao'kai'ji
给孤园问古谈因,gei'gu'yuan'wen'gu'tan'yin
根由,gen'you
庚辰照相本,geng'chen'zhao'xiang'ben
庚回后,geng'hui'hou
耿明达兄弟投诚,geng'ming'da'xiong'di'tou'cheng
更谱虞琴,geng'pu'yu'qin
更谁杭手,geng'shui'hang'shou
耕田读书,geng'tian'du'shu
更无遗憾,geng'wu'yi'han
公曾期我作韩昌黎,gong'ceng'qi'wo'zuo'han'chang'li
功成行满见真如,gong'cheng'xing'man'jian'zhen'ru
攻错若石,gong'cuo'ruo'shi
龚端被打师军犯,gong'duan'bei'da'shi'jun'fan
公负我,gong'fu'wo
功高西域泽尤多,gong'gao'xi'yu'ze'you'duo
巩家庄岳云聘妇,gong'jia'zhuang'yue'yun'pin'fu
共怜宗泽是英雄,gong'lian'zong'ze'shi'ying'xiong
公品齐李郭范韩,gong'pin'qi'li'guo'fan'han
工善其事,gong'shan'qi'shi
共赏万余卷奇文,gong'shang'wan'yu'juan'qi'wen
公孙胜芒砀山降魔,gong'sun'sheng'mang'dang'shan'xiang'mo
公孙胜应七星聚义,gong'sun'sheng'ying'qi'xing'ju'yi
公孙阏争车射考叔,gong'sun'yan'zheng'che'she'kao'shu
公孙渊兵败死襄平,gong'sun'yuan'bing'bai'si'xiang'ping
公为府主我为客,gong'wei'fu'zhu'wo'wei'ke
公为诸葛上流,gong'wei'zhu'ge'shang'liu
公学备经济文章,gong'xue'bei'jing'ji'wen'zhang
公勋在闽杭关陇,gong'xun'zai'min'hang'guan'long
共仰大成,gong'yang'da'cheng
功昭昭在民,gong'zhao'zhao'zai'min
公忠天鉴老臣心,gong'zhong'tian'jian'lao'chen'xin
巩诸夏而独遇元良,gong'zhu'xia'er'du'yu'yuan'liang
公子鲍厚施买国,gong'zi'bao'hou'shi'mai'guo
公子翚献诌贼隐公,gong'zi'hui'xian'zhou'zei'yin'gong
公子宋尝鼋构逆,gong'zi'song'chang'yuan'gou'ni
公子友两定鲁君,gong'zi'you'liang'ding'lu'jun
勾践竭力事吴,gou'jian'jie'li'shi'wu
狗彘奴欺天招伙盗,gou'zhi'nu'qi'tian'zhao'huo'dao
古抄本,gu'chao'ben
姑从此地销魂,gu'cong'ci'di'xiao'hun
汩汩,gu'gu
古今将相在何方,gu'jin'jiang'xiang'zai'he'fang
古来征战几人还,gu'lai'zheng'zhan'ji'ren'hai
古例,gu'li
故连称,gu'lian'cheng
鼓琵琶冢畔,gu'pi'pa'zhong'pan
古人期许此群臣,gu'ren'qi'xu'ci'qun'chen
古写,gu'xie
古义,gu'yi
挂宝剑枝头,gua'bao'jian'zhi'tou
挂玉带秦王惹祸,gua'yu'dai'qin'wang're'huo
官封弼马心何足,guan'feng'bi'ma'xin'he'zu
关公赚城斩车胄,guan'gong'zhuan'cheng'zhan'che'zhou
观花修竹,guan'hua'xiu'zhu
管领重湖八百,guan'ling'zhong'hu'ba'bai
关胜降水火二将,guan'sheng'jiang'shui'huo'er'jiang
关胜义降三将,guan'sheng'yi'jiang'san'jiang
关胜议取梁山泊,guan'sheng'yi'qu'liang'shan'po
观世音甘泉活树,guan'shi'yin'gan'quan'huo'shu
观世音收伏熊罴怪,guan'shi'yin'shou'fu'xiong'pi'guai
关王庙伍云召寄子,guan'wang'miao'wu'yun'zhao'ji'zi
管夷吾病榻论相,guan'yi'wu'bing'ta'lun'xiang
管夷吾智辨俞儿,guan'yi'wu'zhi'bian'yu'er
观音慈善缚红孩,guan'yin'ci'shan'fu'hong'hai
观音奉旨上长安,guan'yin'feng'zhi'shang'chang'an
观音赴会问原因,guan'yin'fu'hui'wen'yuan'yin
观音救难现鱼篮,guan'yin'jiu'nan'xian'yu'lan
观音现象伏妖王,guan'yin'xian'xiang'fu'yao'wang
观音显象化金蝉,guan'yin'xian'xiang'hua'jin'chan
观音院僧谋宝贝,guan'yin'yuan'seng'mou'bao'bei
观音院唐僧脱难,guan'yin'yuan'tang'seng'tuo'nan
关云长败走麦城,guan'yun'chang'bai'zou'mai'cheng
关云长单刀赴会,guan'yun'chang'dan'dao'fu'hui
关云长放水淹七军,guan'yun'chang'fang'shui'yan'qi'jun
关云长刮骨疗毒,guan'yun'chang'gua'gu'liao'du
关云长挂印封金,guan'yun'chang'gua'yin'feng'jin
关云长义释曹操,guan'yun'chang'yi'shi'cao'cao
关云长义释黄汉升,guan'yun'chang'yi'shi'huang'han'sheng
关张共擒王刘二将,guan'zhang'gong'qin'wang'liu'er'jiang
归女乐黎弥阻孔子,gui'nv'yue'li'mi'zu'kong'zi
鬼王夜谒唐三藏,gui'wang'ye'ye'tang'san'zang
规训,gui'xun
闺友闺情,gui'you'gui'qing
规圆矩方,gui'yuan'ju'fang
规章,gui'zhang
闺中,gui'zhong
郭嘉遗计定辽东,guo'jia'yi'ji'ding'liao'dong
国能忠,guo'neng'zhong
果然逃墨归儒,guo'ran'tao'mo'gui'ru
郭嵩焘,guo'song'tao
郭嵩焘挽左宗棠,guo'song'tao'wan'zuo'zong'tang
国贼行凶杀贵妃,guo'zei'xing'xiong'sha'gui'fei
还把风流夺绮罗,hai'ba'feng'liu'duo'qi'luo
还道村受三卷天书,hai'dao'cun'shou'san'juan'tian'shu
海国旧传书,hai'guo'jiu'chuan'shu
海国仍持使者节,hai'guo'reng'chi'shi'zhe'jie
还孽债迎女返真元,hai'nie'zhai'ying'nv'fan'zhen'yuan
还凭忠荩作神明,hai'ping'zhong'jin'zuo'shen'ming
还是耕田,hai'shi'geng'tian
还受生唐王遵善果,hai'shou'sheng'tang'wang'zun'shan'guo
海天一揽,hai'tian'yi'lan
海外识中朝人物,hai'wai'shi'zhong'chao'ren'wu
韩爱姐翠馆遇情郎,han'ai'jie'cui'guan'yu'qing'lang
韩爱姐路遇二捣鬼,han'ai'jie'lu'yu'er'dao'gui
汉兵劫寨破曹真,han'bing'jie'zhai'po'cao'zhen
含耻辱情烈死金钏,han'chi'ru'qing'lie'si'jin'chuan
韩道国拐财远遁,han'dao'guo'guai'cai'yuan'dun
韩道国纵妇争锋,han'dao'guo'zong'fu'zheng'feng
韩画士传真作遗爱,han'hua'shi'chuan'zhen'zuo'yi'ai
韩家庄岳雷逢义友,han'jia'zhuang'yue'lei'feng'yi'you
韩擒虎调兵二路,han'qin'hu'diao'bing'er'lu
韩擒虎收兵复旨,han'qin'hu'shou'bing'fu'zhi
撼山易撼岳家军难,han'shan'yi'han'yue'jia'jun'nan
汉寿侯五关斩六将,han'shou'hou'wu'guan'zhan'liu'jiang
汉宋诸儒齐退听,han'song'zhu'ru'qi'tui'ting
汉王正位续大统,han'wang'zheng'wei'xu'da'tong
憨湘云醉眠芍药茵,han'xiang'yun'zui'mian'shao'yao'yin
涵咏,han'yong
罕有人知,han'you'ren'zhi
韩愈,han'yu
好货寻愁,hao'huo'xun'chou
好了歌,hao'le'ge
浩气长存,hao'qi'chang'cun
浩气壮山河,hao'qi'zhuang'shan'he
号始皇建立郡县,hao'shi'huang'jian'li'jun'xian
豪兴,hao'xing
好与圣贤论出处,hao'yu'sheng'xian'lun'chu'chu
合安利勉而为学,he'an'li'mian'er'wei'xue
和而不同,he'er'bu'tong
和风甘雨,he'feng'gan'yu
何光年,he'guang'nian
何国舅谋诛宦竖,he'guo'jiu'mou'zhu'huan'shu
河海泰山麟凤,he'hai'tai'shan'lin'feng
合衡峰鄂渚,he'heng'feng'e'zhu
何九受贿瞒天,he'jiu'shou'hui'man'tian
何期五载睽违,he'qi'wu'zai'kui'wei
河山同带砺,he'shan'tong'dai'li
何时重盼燕归来,he'shi'zhong'pan'yan'gui'lai
贺虒祁师旷辨新声,he'si'qi'shi'kuang'bian'xin'sheng
贺熙宁赠左宗棠,he'xi'ning'zeng'zuo'zong'tang
赫曦台,he'xi'tai
贺杨昌濬寿诞,he'yang'chang'jun'shou'dan
何元庆两番被获,he'yuan'qing'liang'fan'bei'huo
贺赠左宗棠联,he'zeng'zuo'zong'tang'lian
核正,he'zheng
黑地彩绘漆棺,hei'di'cai'hui'qi'guan
黑风山怪窃袈裟,hei'feng'shan'guai'qie'jia'sha
黑风珠四将丧命,hei'feng'zhu'si'jiang'sang'ming
黑河妖孽擒僧去,hei'he'yao'nie'qin'seng'qu
黑蛮龙提兵祭岳坟,hei'man'long'ti'bing'ji'yue'fen
黑松林三藏逢魔,hei'song'lin'san'zang'feng'mo
黑松林三众寻师,hei'song'lin'san'zhong'xun'shi
黑旋风扯诏谤徽宗,hei'xuan'feng'che'zhao'bang'hui'zong
黑旋风斗浪里白跳,hei'xuan'feng'dou'lang'li'bai'tiao
黑旋风乔捉鬼,hei'xuan'feng'qiao'zhuo'gui
黑旋风探穴救柴进,hei'xuan'feng'tan'xue'jiu'chai'jin
黑旋风沂岭杀四虎,hei'xuan'feng'yi'ling'sha'si'hu
横额,heng'e
横海郡柴进留宾,heng'hai'jun'chai'jin'liu'bin
蘅芜君兰言解疑癖,heng'wu'jun'lan'yan'jie'yi'pi
蘅芜院夜拟菊花题,heng'wu'yuan'ye'ni'ju'hua'ti
衡岳南来地脉长,heng'yue'nan'lai'di'mai'chang
衡云湘水,heng'yun'xiang'shui
红粉佳人未破瓜,hong'fen'jia'ren'wei'po'gua
红楼春梦好模糊,hong'lou'chun'meng'hao'mo'hu
红楼梦十二支,hong'lou'meng'shi'er'zhi
红罗绣缬束纤腰,hong'luo'xiu'xie'shu'xian'yao
鸿泥偶踏,hong'ni'ou'ta
红娘,hong'niang
红日三竿,hong'ri'san'gan
洪太尉误走妖魔,hong'tai'wei'wu'zou'yao'mo
洪先纠盗劫行装,hong'xian'jiu'dao'jie'xing'zhuang
红学,hong'xue
烘云托月,hong'yun'tuo'yue
洪蕴渊思,hong'yun'yuan'si
后出师表,hou'chu'shi'biao
候芳魂五儿承错爱,hou'fang'hun'wu'er'cheng'cuo'ai
后先媲美,hou'xian'pi'mei
后之三十回,hou'zhi'san'shi'hui
护法设庄留大圣,hu'fa'she'zhuang'liu'da'sheng
胡公文忠,hu'gong'wen'zhong
胡笳勿悲,hu'jia'wu'bei
忽见丛花无数开,hu'jian'cong'hua'wu'shu'kai
胡卢河庞煖斩剧辛,hu'lu'he'pang'nuan'zhan'ju'xin
葫芦庙,hu'lu'miao
葫芦僧判断葫芦案,hu'lu'seng'pan'duan'hu'lu'an
胡梦蝶醉后吟诗游地狱,hu'meng'die'zui'hou'yin'shi'you'di'yu
胡牵乱扯,hu'qian'luan'che
忽然妙想传奇语,hu'ran'miao'xiang'chuan'qi'yu
湖山今入画,hu'shan'jin'ru'hua
湖水连天静,hu'shui'lian'tian'jing
湖外故人稀,hu'wai'gu'ren'xi
胡先奉令探功绩,hu'xian'feng'ling'tan'gong'ji
湖湘巾扇,hu'xiang'jin'shan
忽向内房闻语笑,hu'xiang'nei'fang'wen'yu'xiao
呼延灼摆布连环马,hu'yan'zhuo'bai'bu'lian'huan'ma
呼延灼力擒番将,hu'yan'zhuo'li'qin'fan'jiang
呼延灼夜月赚关胜,hu'yan'zhuo'ye'yue'zhuan'guan'sheng
胡益阳,hu'yi'yang
胡庸医乱用虎狼药,hu'yong'yi'luan'yong'hu'lang'yao
虎跃龙腾,hu'yue'long'teng
花果山群妖聚义,hua'guo'shan'qun'yao'ju'yi
花和尚大闹桃花村,hua'he'shang'da'nao'tao'hua'cun
花和尚单打二龙山,hua'he'shang'dan'da'er'long'shan
花和尚倒拔垂杨柳,hua'he'shang'dao'ba'chui'yang'liu
花和尚解脱缘缠井,hua'he'shang'jie'tuo'yuan'chan'jing
花柳繁华之地,hua'liu'fan'hua'zhi'di
花荣大闹清风寨,hua'rong'da'nao'qing'feng'zhai
画童哭躲温葵轩,hua'tong'ku'duo'wen'kui'xuan
化行知草偃,hua'xing'zhi'cao'yan
华阴道信陵败蒙骜,hua'yin'dao'xin'ling'bai'meng'ao
华阴回首,hua'yin'hui'shou
化用,hua'yong
华元登床劫子反,hua'yuan'deng'chuang'jie'zi'fan
花子虚因气丧身,hua'zi'xu'yin'qi'sang'shen
桓公举火爵宁戚,huan'gong'ju'huo'jue'ning'qi
幻魔君术窘五龙山,huan'mo'jun'shu'jiong'wu'long'shan
幻形入世,huan'xing'ru'shi
宦游悲末路,huan'you'bei'mo'lu
黄波挽左宗棠,huang'bo'wan'zuo'zong'tang
皇恩重元妃省父母,huang'en'zhong'yuan'fei'sheng'fu'mu
黄风岭唐僧有难,huang'feng'ling'tang'seng'you'nan
黄河九曲咽忠魂,huang'he'jiu'qu'yan'zhong'hun
黄金莺巧结梅花络,huang'jin'ying'qiao'jie'mei'hua'luo
黄陵之山屹若柱,huang'ling'zhi'shan'yi'ruo'zhu
黄流东注,huang'liu'dong'zhu
黄婆运水解邪胎,huang'po'yun'shui'jie'xie'tai
黄纱地印花敷彩直裾式丝绵袍,huang'sha'di'yin'hua'fu'cai'zhi'ju'shi'si'mian'pao
黄沙远塞,huang'sha'yuan'sai
黄狮精虚设钉钯宴,huang'shi'jing'xu'she'ding'ba'yan
皇叔败走投袁绍,huang'shu'bai'zou'tou'yuan'shao
湟水南来,huang'shui'nan'lai
黄真人发牒荐亡,huang'zhen'ren'fa'die'jian'wang
荒冢一堆草没了,huang'zhong'yi'dui'cao'mei'le
黄自元挽左宗棠,huang'zi'yuan'wan'zuo'zong'tang
汇此地人文法海,hui'ci'di'ren'wen'fa'hai
会古城主臣聚义,hui'gu'cheng'zhu'chen'ju'yi
回后批,hui'hou'pi
回后评,hui'hou'ping
会夹谷孔子却齐,hui'jia'gu'kong'zi'que'qi
毁建相继,hui'jian'xiang'ji
会葵邱义戴周天子,hui'kui'qiu'yi'dai'zhou'tian'zi
蕙莲儿偷期蒙爱,hui'lian'er'tou'qi'meng'ai
回前批,hui'qian'pi
惠祥怒詈来旺妇,hui'xiang'nu'li'lai'wang'fu
慧业多生磨不尽,hui'ye'duo'sheng'mo'bu'jin
回忆二分明月,hui'yi'er'fen'ming'yue
毁誉听之于人,hui'yu'ting'zhi'yu'ren
慧紫娟情辞试莽玉,hui'zi'juan'qing'ci'shi'mang'yu
徽宗帝梦游梁山泊,hui'zong'di'meng'you'liang'shan'po
混江龙水灌太原城,hun'jiang'long'shui'guan'tai'yuan'cheng
混江龙太湖小结义,hun'jiang'long'tai'hu'xiao'jie'yi
魂魄常依帝左右,hun'po'chang'yi'di'zuo'you
浑然天成,hun'ran'tian'cheng
魂依大海撼波涛,hun'yi'da'hai'han'bo'tao
魂招司马桥边宅,hun'zhao'si'ma'qiao'bian'zhai
祸变,huo'bian
获陈宝穆公证梦,huo'chen'bao'mu'gong'zheng'meng
惑奸谗抄检大观园,huo'jian'chan'chao'jian'da'guan'yuan
获履于云霓之上,huo'lv'yu'yun'ni'zhi'shang
惑偏私惜春矢素志,huo'pian'si'xi'chun'shi'su'zhi
活阎罗倒船偷御酒,huo'yan'luo'dao'chuan'tou'yu'jiu
活冤孽妙尼遭大劫,huo'yuan'nie'miao'ni'zao'da'jie
继承,ji'cheng
集大成于二先生,ji'da'cheng'yu'er'xian'sheng
及到多时眼闭了,ji'dao'duo'shi'yan'bi'le
积德累善,ji'de'lei'shan
寄法名官哥穿道服,ji'fa'ming'guan'ge'chuan'dao'fu
汲古,ji'gu
畸笏叟,ji'hu'sou
几见伟人,ji'jian'wei'ren
集句,ji'ju
即孔子聚徒讲学之地,ji'kong'zi'ju'tu'jiang'xue'zhi'di
继濂,ji'lian
祭泸水汉相班师,ji'lu'shui'han'xiang'ban'shi
即论人情物理,ji'lun'ren'qing'wu'li
即妾之雅称,ji'qie'zhi'ya'cheng
集清代庆玉句题,ji'qing'dai'qing'yu'ju'ti
集清代张维霖句题,ji'qing'dai'zhang'wei'lin'ju'ti
即儒,ji'ru
积石导流趋大海,ji'shi'dao'liu'qu'da'hai
及时雨会神行太保,ji'shi'yu'hui'shen'xing'tai'bao
祭帅旗奸臣代畜,ji'shuai'qi'jian'chen'dai'chu
己双,ji'shuang
吉太医下毒遭刑,ji'tai'yi'xia'du'zao'xing
记微嫌舅兄欺弱女,ji'wei'xian'jiu'xiong'qi'ruo'nv
急先锋东郭争功,ji'xian'feng'dong'guo'zheng'gong
寄闲情淑女解琴书,ji'xian'qing'shu'nv'jie'qin'shu
急兄仇张飞遇害,ji'xiong'chou'zhang'fei'yu'hai
即阳气休养万物,ji'yang'qi'xiu'yang'wan'wu
继尧舜禹汤文武作之师,ji'yao'shun'yu'tang'wen'wu'zuo'zhi'shi
继援江州,ji'yuan'jiang'zhou
即洙水和泗水,ji'zhu'shui'he'si'shui
季子敢言高,ji'zi'gan'yan'gao
贾宝玉初试云雨情,jia'bao'yu'chu'shi'yun'yu'qing
贾宝玉路谒北静王,jia'bao'yu'lu'ye'bei'jing'wang
贾宝玉品茶栊翠庵,jia'bao'yu'pin'cha'long'cui'an
贾宝玉奇缘识金锁,jia'bao'yu'qi'yuan'shi'jin'suo
贾宝玉神游太虚观,jia'bao'yu'shen'you'tai'xu'guan
甲侧,jia'ce
家常口角,jia'chang'kou'jue
贾存周报升郎中任,jia'cun'zhou'bao'sheng'lang'zhong'ren
假弟妹暗续鸾胶,jia'di'mei'an'xu'luan'jiao
贾二舍偷娶尤二姐,jia'er'she'tou'qu'you'er'jie
贾夫人仙逝扬州城,jia'fu'ren'xian'shi'yang'zhou'cheng
假合真形擒玉兔,jia'he'zhen'xing'qin'yu'tu
假猴王水帘洞誊文,jia'hou'wang'shui'lian'dong'teng'wen
夹江泥马渡康王,jia'jiang'ni'ma'du'kang'wang
假李逵剪迳劫单人,jia'li'kui'jian'jing'jie'dan'ren
贾柳店拜盟刺血,jia'liu'dian'bai'meng'ci'xue
甲眉,jia'mei
嘉名远并西湖,jia'ming'yuan'bing'xi'hu
家能孝,jia'neng'xiao
夹批,jia'pi
佳人笑赏玩灯楼,jia'ren'xiao'shang'wan'deng'lou
贾太君祷天消祸患,jia'tai'jun'dao'tian'xiao'huo'huan
贾天祥正照岁月鉴,jia'tian'xiang'zheng'zhao'sui'yue'jian
家庭闺阁琐事,jia'ting'gui'ge'suo'shi
假投降巧计成虚话,jia'tou'xiang'qiao'ji'cheng'xu'hua
