安全灯煤矿,an'quan'deng'mei'kuang
修正曲线,xiu'zheng'qu'xian
修正系数,xiu'zheng'xi'shu
蓄气器,xu'qi'qi
蓄气器风包,xu'qi'qi'feng'bao
悬臂,xuan'bi
悬臂起重机,xuan'bi'qi'zhong'ji
悬臂支架,xuan'bi'zhi'jia
选矿比,xuan'kuang'bi
选矿厂,xuan'kuang'chang
选矿机,xuan'kuang'ji
选矿摇床,xuan'kuang'yao'chuang
选砾厂,xuan'li'chang
旋林级机,xuan'lin'ji'ji
选煤,xuan'mei
选煤厂,xuan'mei'chang
选煤厂废渣,xuan'mei'chang'fei'zha
选煤机,xuan'mei'ji
选煤设备,xuan'mei'she'bei
循环泵,xun'huan'beng
循环负载,xun'huan'fu'zai
循环润滑,xun'huan'run'hua
循环时间,xun'huan'shi'jian
循环水,xun'huan'shui
压风机房,ya'feng'ji'fang
压风设备,ya'feng'she'bei
压坏支架,ya'huai'zhi'jia
压气管,ya'qi'guan
压气管道,ya'qi'guan'dao
压气机车,ya'qi'ji'che
压气软管,ya'qi'ruan'guan
压气式混合机,ya'qi'shi'hun'he'ji
压碎效率,ya'sui'xiao'lv
压缩比,ya'suo'bi
压缩波,ya'suo'bo
压缩带,ya'suo'dai
压缩负载,ya'suo'fu'zai
压缩空气,ya'suo'kong'qi
压缩空气发动机,ya'suo'kong'qi'fa'dong'ji
压缩空气分配器,ya'suo'kong'qi'fen'pei'qi
压缩空气设备布置图,ya'suo'kong'qi'she'bei'bu'zhi'tu
压缩力,ya'suo'li
压缩率,ya'suo'lv
压缩破坏,ya'suo'po'huai
压缩气钻,ya'suo'qi'zuan
压缩曲线,ya'suo'qu'xian
压缩试验,ya'suo'shi'yan
压缩图,ya'suo'tu
压缩系数,ya'suo'xi'shu
压缩形变,ya'suo'xing'bian
压缩压力,ya'suo'ya'li
压缩应变,ya'suo'ying'bian
压应力,ya'ying'li
烟黑,yan'hei
掩护支架,yan'hu'zhi'jia
沿煤层巷道,yan'mei'ceng'hang'dao
严密充填,yan'mi'chong'tian
岩石搬送,yan'shi'ban'song
岩心管,yan'xin'guan
岩心管钻粒钻机,yan'xin'guan'zuan'li'zuan'ji
岩心回收,yan'xin'hui'shou
岩心检验,yan'xin'jian'yan
岩心试样,yan'xin'shi'yang
岩心提取器,yan'xin'ti'qu'qi
岩心钻,yan'xin'zuan
岩心钻机,yan'xin'zuan'ji
岩心钻进,yan'xin'zuan'jin
岩心钻进法,yan'xin'zuan'jin'fa
岩心钻头,yan'xin'zuan'tou
沿走向开采,yan'zou'xiang'kai'cai
阳离子,yang'li'zi
阳离子电泳,yang'li'zi'dian'yong
阳离子浮选,yang'li'zi'fu'xuan
药包长度,yao'bao'chang'du
药包径,yao'bao'jing
药包直径,yao'bao'zhi'jing
药卷,yao'juan
药量,yao'liang
药室爆破,yao'shi'bao'po
药筒,yao'tong
移动式支架,yi'dong'shi'zhi'jia
阴极,yin'ji
应力圆,ying'li'yuan
硬耐火土,ying'nai'huo'tu
硬质合金,ying'zhi'he'jin
硬质合金刀片,ying'zhi'he'jin'dao'pian
硬质合金工具,ying'zhi'he'jin'gong'ju
玉髓,yu'sui
原矿,yuan'kuang
原矿舍,yuan'kuang'she
原煤,yuan'mei
圆水准器,yuan'shui'zhun'qi
圆筒筛,yuan'tong'shai
圆筒形滚筒,yuan'tong'xing'gun'tong
圆形断面,yuan'xing'duan'mian
圆形立井,yuan'xing'li'jing
原油,yuan'you
圆周力,yuan'zhou'li
圆周速度,yuan'zhou'su'du
圆锥分选机,yuan'zhui'fen'xuan'ji
圆锥滚柱轴,yuan'zhui'gun'zhu'zhou
圆锥破碎机,yuan'zhui'po'sui'ji
圆锥破碎机破碎,yuan'zhui'po'sui'ji'po'sui
圆锥形浓缩机,yuan'zhui'xing'nong'suo'ji
运煤输送机,yun'mei'shu'song'ji
运输机槽,yun'shu'ji'cao
运输机带,yun'shu'ji'dai
运输机托辊,yun'shu'ji'tuo'gun
运输设备,yun'shu'she'bei
灾变,zai'bian
载波通信,zai'bo'tong'xin
载重汽车,zai'zhong'qi'che
扎架托辊,zha'jia'tuo'gun
炸药装埴量,zha'yao'zhuang'zhi'liang
粘土层,zhan'tu'ceng
粘土质矿物,zhan'tu'zhi'kuang'wu
震动性放炮,zhen'dong'xing'fang'pao
整羚动机,zheng'ling'dong'ji
止回阀,zhi'hui'fa
致密系数,zhi'mi'xi'shu
制图学,zhi'tu'xue
直眼掏槽,zhi'yan'tao'cao
知组分,zhi'zu'fen
支座,zhi'zuo
中部掏槽,zhong'bu'tao'cao
中间水平,zhong'jian'shui'ping
中间运输平巷,zhong'jian'yun'shu'ping'xiang
重晶石,zhong'jing'shi
重心,zhong'xin
中心线,zhong'xin'xian
中央式通风,zhong'yang'shi'tong'feng
周迈钻孔,zhou'mai'zuan'kong
铸钢,zhu'gang
烛光,zhu'guang
柱架式钻机,zhu'jia'shi'zuan'ji
烛煤,zhu'mei
贮煤场,zhu'mei'chang
铸铁,zhu'tie
铸铁井壁,zhu'tie'jing'bi
柱状装药,zhu'zhuang'zhuang'yao
柱状装药爆破,zhu'zhuang'zhuang'yao'bao'po
抓斗,zhua'dou
转换开关,zhuan'huan'kai'guan
装车机,zhuang'che'ji
装煤起重机,zhuang'mei'qi'zhong'ji
装入机,zhuang'ru'ji
装药密度,zhuang'yao'mi'du
装药室,zhuang'yao'shi
装药体积,zhuang'yao'ti'ji
装药系数,zhuang'yao'xi'shu
装药限度,zhuang'yao'xian'du
锥形阀,zhui'xing'fa
锥形滚筒,zhui'xing'gun'tong
锥形滚筒筛,zhui'xing'gun'tong'shai
锥形螺旋线,zhui'xing'luo'xuan'xian
锥形球磨机,zhui'xing'qiu'mo'ji
锥形脱水机,zhui'xing'tuo'shui'ji
走向,zou'xiang
阻风门,zu'feng'men
组合脉,zu'he'mai
组合炸药,zu'he'zha'yao
阻力系数,zu'li'xi'shu
钻粒钻进,zuan'li'zuan'jin
座标系,zuo'biao'xi
坐标轴,zuo'biao'zhou
