阿里不哥,a'li'bu'ge
宋孝宗,song'xiao'zong
宋休公,song'xiu'gong
宋宣公,song'xuan'gong
宋炀公,song'yang'gong
宋英宗,song'ying'zong
宋元公,song'yuan'gong
宋昭公,song'zhao'gong
宋哲宗,song'zhe'zong
宋真宗,song'zhen'zong
宋庄公,song'zhuang'gong
隋恭帝,sui'gong'di
隋文帝,sui'wen'di
隋炀帝,sui'yang'di
隋越王,sui'yue'wang
孙皓,sun'hao
孙亮,sun'liang
孙权,sun'quan
孙休,sun'xiu
孙中山,sun'zhong'shan
太安,tai'an
太昌,tai'chang
泰昌,tai'chang
太初,tai'chu
太丁,tai'ding
泰定,tai'ding
泰定帝,tai'ding'di
太庚,tai'geng
太和,tai'he
太甲,tai'jia
太建,tai'jian
太康,tai'kang
太宁,tai'ning
太平,tai'ping
太平天国,tai'ping'tian'guo
太清,tai'qing
太上,tai'shang
泰始,tai'shi
太戊,tai'wu
太武帝,tai'wu'di
太宗,tai'zong
太祖,tai'zu
唐代宗,tang'dai'zong
唐德宗,tang'de'zong
唐高宗,tang'gao'zong
唐高祖,tang'gao'zu
唐敬宗,tang'jing'zong
唐隆,tang'long
唐穆宗,tang'mu'zong
唐睿宗,tang'rui'zong
唐顺宗,tang'shun'zong
唐肃宗,tang'su'zong
唐太宗,tang'tai'zong
唐王,tang'wang
唐文宗,tang'wen'zong
唐武宗,tang'wu'zong
唐僖宗,tang'xi'zong
唐宪宗,tang'xian'zong
唐宣宗,tang'xuan'zong
唐玄宗,tang'xuan'zong
唐尧,tang'yao
唐懿宗,tang'yi'zong
唐昭宣帝,tang'zhao'xuan'di
唐昭宗,tang'zhao'zong
唐中宗,tang'zhong'zong
滕光,teng'guang
剔成,ti'cheng
天安,tian'an
天保,tian'bao
天宝,tian'bao
田辟彊,tian'bi'jiang
天成,tian'cheng
天聪,tian'cong
田悼子,tian'dao'zi
天德,tian'de
田地,tian'di
田法章,tian'fa'zhang
天凤,tian'feng
天福,tian'fu
田和子,tian'he'zi
天会,tian'hui
天嘉,tian'jia
田建,tian'jian
天历,tian'li
天禄,tian'lu
天命,tian'ming
天平,tian'ping
天启,tian'qi
天庆,tian'qing
田剡,tian'shan
天圣,tian'sheng
天授,tian'shou
天顺,tian'shun
天统,tian'tong
天王,tian'wang
田午,tian'wu
天禧,tian'xi
田因齐,tian'yin'qi
天祐,tian'you
天正,tian'zheng
天祚帝,tian'zuo'di
调露,tiao'lu
铁缪,tie'miu
铁木耳,tie'mu'er
铁木真,tie'mu'zhen
同光,tong'guang
统和,tong'he
通文,tong'wen
同治,tong'zhi
头曼,tou'man
秃发利鹿孤,tu'fa'li'lu'gu
秃发偄檀,tu'fa'ruan'tan
秃发乌孤,tu'fa'wu'gu
图帖睦尔,tu'tie'mu'er
拓跋珪,tuo'ba'gui
拓跋弘,tuo'ba'hong
拓跋濬,tuo'ba'jun
拓跋什翼键,tuo'ba'shi'yi'jian
拓跋嗣,tuo'ba'si
拓跋焘,tuo'ba'tao
拓跋余,tuo'ba'yu
妥怀帖睦尔,tuo'huai'tie'mu'er
外丙,wai'bing
外壬,wai'ren
万历,wan'li
完颜承麟,wan'yan'cheng'lin
完颜亶,wan'yan'dan
完颜景,wan'yan'jing
完颜亮,wan'yan'liang
完颜旻,wan'yan'min
完颜晟,wan'yan'sheng
完颜守绪,wan'yan'shou'xu
完颜珣,wan'yan'xun
完颜雍,wan'yan'yong
完颜永济,wan'yan'yong'ji
王昶,wang'chang
王臣,wang'chen
王建,wang'jian
王莽,wang'mang
王曦,wang'xi
王衍,wang'yan
王延钧,wang'yan'jun
王延政,wang'yan'zheng
魏安王,wei'an'wang
魏安僖王,wei'an'xi'wang
卫成公,wei'cheng'gong
卫成侯,wei'cheng'hou
卫出公,wei'chu'gong
卫戴公,wei'dai'gong
卫悼公,wei'dao'gong
威帝,wei'di
卫定公,wei'ding'gong
卫怀公,wei'huai'gong
卫怀君,wei'huai'jun
卫桓公,wei'huan'gong
卫惠公,wei'hui'gong
魏惠王,wei'hui'wang
卫靖伯,wei'jing'bo
卫敬公,wei'jing'gong
魏景闵王,wei'jing'min'wang
卫康伯,wei'kang'bo
卫康侯,wei'kang'hou
卫康叔,wei'kang'shu
卫考伯,wei'kao'bo
卫灵公,wei'ling'gong
魏明帝,wei'ming'di
卫穆公,wei'mu'gong
卫平公,wei'ping'gong
卫顷侯,wei'qing'hou
卫殇公,wei'shang'gong
卫绍王,wei'shao'wang
卫慎公,wei'shen'gong
卫声公,wei'sheng'gong
魏斯,wei'si
卫嗣伯,wei'si'bo
卫王,wei'wang
魏文帝,wei'wen'di
卫文公,wei'wen'gong
魏文侯,wei'wen'hou
魏武帝,wei'wu'di
卫武公,wei'wu'gong
魏武侯,wei'wu'hou
卫僖侯,wei'xi'hou
卫献公,wei'xian'gong
卫襄公,wei'xiang'gong
魏襄王,wei'xiang'wang
卫宣公,wei'xuan'gong
卫懿公,wei'yi'gong
魏元帝,wei'yuan'di
卫元君,wei'yuan'jun
卫昭公,wei'zhao'gong
魏昭王,wei'zhao'wang
卫贞伯,wei'zhen'bo
卫庄公,wei'zhuang'gong
卫子君,wei'zi'jun
微子启,wei'zi'qi
文成帝,wen'cheng'di
文帝,wen'di
文丁,wen'ding
文明,wen'ming
温王,wen'wang
文宣帝,wen'xuan'di
文昭王,wen'zhao'wang
沃丁,wo'ding
沃甲,wo'jia
窝阔台,wo'kuo'tai
武成,wu'cheng
武成帝,wu'cheng'di
吴大帝,wu'da'di
五代十国,wu'dai'shi'guo
武悼天王,wu'dao'tian'wang
武德,wu'de
武帝,wu'di
武丁,wu'ding
武后,wu'hou
吴景帝,wu'jing'di
吴末帝,wu'mo'di
无强,wu'qiang
吴三桂,wu'san'gui
吴世璠,wu'shi'fan
武肃王,wu'su'wang
吴王,wu'wang
武宣王,wu'xuan'wang
武义,wu'yi
武乙,wu'yi
武元王,wu'yuan'wang
吴越,wu'yue
武则天,wu'ze'tian
武瞾,wu'zhao
武昭王,wu'zhao'wang
武子,wu'zi
西楚霸王,xi'chu'ba'wang
西汉,xi'han
西晋,xi'jin
西凉,xi'liang
西辽,xi'liao
西楼公,xi'lou'gong
熙宁,xi'ning
熙平,xi'ping
西秦,xi'qin
西魏,xi'wei
西夏,xi'xia
西燕,xi'yan
西周,xi'zhou
熙宗,xi'zong
夏启,xia'qi
夏禹,xia'yu
咸安,xian'an
咸淳,xian'chun
显道,xian'dao
显德,xian'de
咸丰,xian'feng
咸和,xian'he
咸宁,xian'ning
咸平,xian'ping
咸清,xian'qing
咸通,xian'tong
献文帝,xian'wen'di
献武帝,xian'wu'di
献宗,xian'zong
襄公,xiang'gong
祥兴,xiang'xing
项羽,xiang'yu
襄子,xiang'zi
萧宝卷,xiao'bao'juan
萧宝融,xiao'bao'rong
萧察,xiao'cha
萧琮,xiao'cong
萧道成,xiao'dao'cheng
萧栋,xiao'dong
萧方智,xiao'fang'zhi
萧纲,xiao'gang
小甲,xiao'jia
孝建,xiao'jian
孝敬帝,xiao'jing'di
萧岿,xiao'kui
萧鸾,xiao'luan
孝明帝,xiao'ming'di
小明王,xiao'ming'wang
萧绍文,xiao'shao'wen
萧塔不烟,xiao'ta'bu'yan
孝文帝,xiao'wen'di
孝武帝,xiao'wu'di
小辛,xiao'xin
萧衍,xiao'yan
萧绎,xiao'yi
小乙,xiao'yi
萧赜,xiao'ze
孝昭帝,xiao'zhao'di
萧昭业,xiao'zhao'ye
萧莊,xiao'zhuang
孝庄帝,xiao'zhuang'di
新兴王,xin'xing'wang
兴安,xing'an
兴宗,xing'zong
熊堵敖喜,xiong'du'ao'xi
熊鄂,xiong'e
熊蚡冒,xiong'fen'mao
熊负刍,xiong'fu'chu
熊横,xiong'heng
熊郏敖,xiong'jia'ao
熊侣,xiong'lv
熊弃疾,xiong'qi'ji
熊若敖,xiong'ruo'ao
熊商臣,xiong'shang'chen
熊霜,xiong'shuang
熊通,xiong'tong
熊霄敖,xiong'xiao'ao
熊心,xiong'xin
熊熊围,xiong'xiong'wei
熊循,xiong'xun
熊严,xiong'yan
熊绎,xiong'yi
熊勇,xiong'yong
熊珍,xiong'zhen
许庄公,xu'zhuang'gong
宣德,xuan'de
宣帝,xuan'di
宣统,xuan'tong
宣武帝,xuan'wu'di
玄烨,xuan'ye
宣宗,xuan'zong
燕哀侯,yan'ai'hou
燕成公,yan'cheng'gong
延初,yan'chu
燕悼公,yan'dao'gong
炎帝,yan'di
燕共公,yan'gong'gong
延光,yan'guang
燕桓公,yan'huan'gong
燕惠公,yan'hui'gong
燕惠侯,yan'hui'hou
燕惠王,yan'hui'wang
燕简公,yan'jian'gong
燕闵公,yan'min'gong
燕穆侯,yan'mu'hou
延平,yan'ping
燕平公,yan'ping'gong
延庆,yan'qing
燕顷侯,yan'qing'hou
燕文公,yan'wen'gong
燕武成王,yan'wu'cheng'wang
燕武公,yan'wu'gong
延熙,yan'xi
延熹,yan'xi
燕僖侯,yan'xi'hou
燕襄公,yan'xiang'gong
燕孝公,yan'xiao'gong
燕孝王,yan'xiao'wang
延兴,yan'xing
燕宣公,yan'xuan'gong
燕宣侯,yan'xuan'hou
燕懿公,yan'yi'gong
燕元,yan'yuan
燕召公,yan'zhao'gong
燕昭公,yan'zhao'gong
燕昭王,yan'zhao'wang
燕郑侯,yan'zheng'hou
燕庄公,yan'zhuang'gong
杨侗,yang'dong
杨广,yang'guang
阳甲,yang'jia
杨坚,yang'jian
杨隆演,yang'long'yan
杨溥,yang'pu
杨渥,yang'wo
杨行密,yang'xing'mi
杨侑,yang'you
姚苌,yao'chang
姚泓,yao'hong
姚兴,yao'xing
耶律阿保机,ye'lv'a'bao'ji
耶律大石,ye'lv'da'shi
耶律德光,ye'lv'de'guang
耶律洪基,ye'lv'hong'ji
耶律璟,ye'lv'jing
耶律隆绪,ye'lv'long'xu
耶律普速完,ye'lv'pu'su'wan
耶律阮,ye'lv'ruan
耶律贤,ye'lv'xian
耶律延禧,ye'lv'yan'xi
耶律夷列,ye'lv'yi'lie
耶律直鲁古,ye'lv'zhi'lu'gu
耶律宗真,ye'lv'zong'zhen
也孙铁木儿,ye'sun'tie'mu'er
益姑,yi'gu
懿璘质班,yi'lin'zhi'ban
义宁,yi'ning
易王,yi'wang
义阳王,yi'yang'wang
奕坾,yi'zhu
毅宗,yi'zong
隐帝,yin'di
胤禛,yin'zhen
嬴弘,ying'hong
嬴后伯车,ying'hou'bo'che
应历,ying'li
应乾,ying'qian
嬴任好,ying'ren'hao
应顺,ying'shun
赢驷,ying'si
应天,ying'tian
英武帝,ying'wu'di
嬴则,ying'ze
嬴政,ying'zheng
嬴柱,ying'zhu
嬴子楚,ying'zi'chu
永安,yong'an
永昌,yong'chang
永初,yong'chu
永定,yong'ding
永光,yong'guang
永汉,yong'han
永和,yong'he
永宏,yong'hong
永嘉,yong'jia
永嘉王,yong'jia'wang
永坚,yong'jian
永建,yong'jian
永康,yong'kang
永乐,yong'le
永历,yong'li
永隆,yong'long
永明,yong'ming
永宁,yong'ning
永平,yong'ping
雍熙,yong'xi
永熙,yong'xi
永兴,yong'xing
顒琰,yong'yan
雍已,yong'yi
永元,yong'yuan
永贞,yong'zhen
雍正,yong'zheng
幽帝,you'di
幽公,you'gong
幼主,you'zhu
玉恒,yu'heng
余祭,yu'ji
圉假,yu'jia
阈路,yu'lu
余昧,yu'mei
虞舜,yu'shun
御说,yu'shuo
宇文斌,yu'wen'bin
宇文泰,yu'wen'tai
宇文衍大象,yu'wen'yan'da'xiang
宇文邕,yu'wen'yong
宇文毓,yu'wen'yu
与夷,yu'yi
豫章王,yu'zhang'wang
元宝炬,yuan'bao'ju
元成宗,yuan'cheng'zong
元帝,yuan'di
元公,yuan'gong
元恭,yuan'gong
元光,yuan'guang
元和,yuan'he
元宏,yuan'hong
元徽,yuan'hui
元嘉,yuan'jia
元恪,yuan'ke
元朗,yuan'lang
元明宗,yuan'ming'zong
元宁宗,yuan'ning'zong
元仁宗,yuan'ren'zong
元善见,yuan'shan'jian
元始,yuan'shi
袁世凯,yuan'shi'kai
元世祖,yuan'shi'zu
元顺帝,yuan'shun'di
元文宗,yuan'wen'zong
元武宗,yuan'wu'zong
元熙,yuan'xi
元兴,yuan'xing
元修,yuan'xiu
元诩,yuan'xu
元晔,yuan'ye
元英宗,yuan'ying'zong
元祐,yuan'you
元子攸,yuan'zi'you
元宗,yuan'zong
越王,yue'wang
允常,yun'chang
载淳,zai'chun
载湉,zai'tian
张骏,zhang'jun
张茂,zhang'mao
张实,zhang'shi
张天锡,zhang'tian'xi
章武,zhang'wu
张献忠,zhang'xian'zhong
张玄靓,zhang'xuan'jing
张重华,zhang'zhong'hua
章宗,zhang'zong
张祚,zhang'zuo
赵昺,zhao'bing
昭成帝,zhao'cheng'di
赵成侯,zhao'cheng'hou
赵代王,zhao'dai'wang
赵悼襄王,zhao'dao'xiang'wang
赵惇,zhao'dun
赵构,zhao'gou
赵光义,zhao'guang'yi
赵恒,zhao'heng
赵桓,zhao'huan
赵惠文王,zhao'hui'wen'wang
赵佶,zhao'ji
赵基,zhao'ji
赵敬侯,zhao'jing'hou
赵匡胤,zhao'kuang'yin
赵扩,zhao'kuo
昭烈帝,zhao'lie'di
赵烈侯,zhao'lie'hou
赵昚,zhao'shen
赵昰,zhao'shi
赵曙,zhao'shu
赵丝,zhao'si
赵肃侯,zhao'su'hou
赵王,zhao'wang
昭文帝,zhao'wen'di
昭武,zhao'wu
昭武帝,zhao'wu'di
赵武灵王,zhao'wu'ling'wang
赵献侯,zhao'xian'hou
赵孝成王,zhao'xiao'cheng'wang
赵顼,zhao'xu
赵煦,zhao'xu
赵昀,zhao'yun
赵祯,zhao'zhen
赵主,zhao'zhu
贞观,zhen'guan
祯明,zhen'ming
贞祐,zhen'you
贞元,zhen'yuan
郑哀公,zheng'ai'gong
郑成公,zheng'cheng'gong
正大,zheng'da
郑悼公,zheng'dao'gong
正德,zheng'de
郑定公,zheng'ding'gong
郑共公,zheng'gong'gong
郑桓公,zheng'huan'gong
郑简公,zheng'jian'gong
郑君,zheng'jun
郑厉公,zheng'li'gong
郑灵公,zheng'ling'gong
郑穆公,zheng'mu'gong
郑繻公,zheng'ru'gong
郑声公,zheng'sheng'gong
正始,zheng'shi
正统,zheng'tong
郑文公,zheng'wen'gong
郑武公,zheng'wu'gong
郑僖公,zheng'xi'gong
郑献公,zheng'xian'gong
郑襄公,zheng'xiang'gong
郑幽公,zheng'you'gong
正元,zheng'yuan
郑昭公,zheng'zhao'gong
郑庄公,zheng'zhuang'gong
至大,zhi'da
至德,zhi'de
之侯,zhi'hou
治平,zhi'ping
至正,zhi'zheng
至治,zhi'zhi
忠成公,zhong'cheng'gong
中丁,zhong'ding
重华,zhong'hua
中华民国,zhong'hua'min'guo
仲康,zhong'kang
仲壬,zhong'ren
中统,zhong'tong
中兴,zhong'xing
中元,zhong'yuan
中宗,zhong'zong
周哀王,zhou'ai'wang
周安王,zhou'an'wang
周成王,zhou'cheng'wang
周悼王,zhou'dao'wang
周定王,zhou'ding'wang
周公,zhou'gong
周恭帝,zhou'gong'di
周共王,zhou'gong'wang
周桓王,zhou'huan'wang
周惠王,zhou'hui'wang
周简王,zhou'jian'wang
周静帝,zhou'jing'di
周敬王,zhou'jing'wang
周景王,zhou'jing'wang
周康王,zhou'kang'wang
周考王,zhou'kao'wang
周匡王,zhou'kuang'wang
周厉王,zhou'li'wang
周烈王,zhou'lie'wang
周灵王,zhou'ling'wang
周明帝,zhou'ming'di
周穆王,zhou'mu'wang
周赧王,zhou'nan'wang
周平王,zhou'ping'wang
周顷王,zhou'qing'wang
周慎靓王,zhou'shen'jing'wang
周世宗,zhou'shi'zong
周思王,zhou'si'wang
周太祖,zhou'tai'zu
周威烈王,zhou'wei'lie'wang
周文王,zhou'wen'wang
周武帝,zhou'wu'di
周武王,zhou'wu'wang
周僖王,zhou'xi'wang
周显王,zhou'xian'wang
周襄王,zhou'xiang'wang
周孝王,zhou'xiao'wang
周宣帝,zhou'xuan'di
周宣王,zhou'xuan'wang
周夷王,zhou'yi'wang
周懿王,zhou'yi'wang
周幽王,zhou'you'wang
周元王,zhou'yuan'wang
周昭王,zhou'zhao'wang
周贞定王,zhou'zhen'ding'wang
周庄王,zhou'zhuang'wang
朱常洛,zhu'chang'luo
朱棣,zhu'di
诸樊,zhu'fan
朱高炽,zhu'gao'chi
朱厚熜,zhu'hou'cong
朱厚照,zhu'hou'zhao
朱见深,zhu'jian'shen
朱祁钰,zhu'qi'yu
朱祁镇,zhu'qi'zhen
朱温,zhu'wen
朱翊钧,zhu'yi'jun
邾隐公,zhu'yin'gong
朱友珪,zhu'you'gui
朱由检,zhu'you'jian
朱由校,zhu'you'jiao
朱由榔,zhu'you'lang
朱由菘,zhu'you'song
朱祐樘,zhu'you'tang
朱友贞,zhu'you'zhen
朱聿键,zhu'yu'jian
朱聿粤,zhu'yu'yue
朱元璋,zhu'yuan'zhang
朱允炆,zhu'yun'wen
朱载垕,zhu'zai'hou
朱瞻基,zhu'zhan'ji
颛顼,zhuan'xu
莊宗,zhuang'zong
兹甫,zi'fu
子婴,zi'ying
邹穆公,zou'mu'gong
祖丁,zu'ding
祖庚,zu'geng
祖甲,zu'jia
祖辛,zu'xin
祖乙,zu'yi
