愛心信心決心,ai'xin'xin'xin'jue'xin
代副組長,dai'fu'qu'chang
代課長,dai'ke'chang
代領班,dai'ling'ban
代領帶班,dai'ling'dai'ban
代組長,dai'qu'chang
代線長,dai'xian'chang
丹麥專案組,dan'mai'zhuan'an'qu
彈性工,dan'xing'gong
彈性工培訓中心,dan'xing'gong'pei'xun'zhong'xin
彈性假,dan'xing'jia
德國專案組,de'guo'zhuan'an'qu
電剝課,dian'bao'ke
電剝全檢組,dian'bao'quan'jian'qu
電剝生產,dian'bao'sheng'chan
電剝生產課,dian'bao'sheng'chan'ke
電剝生產組,dian'bao'sheng'chan'qu
電鍍,dian'du
電鍍廠,dian'du'chang
電鍍工程,dian'du'gong'cheng
電鍍加工,dian'du'jia'gong
電鍍加工產品處,dian'du'jia'gong'chan'pin'chu
電鍍開發部,dian'du'kai'bo'bu
電鍍開發課,dian'du'kai'bo'ke
電鍍品保課,dian'du'pin'bao'ke
電鍍組,dian'du'qu
電鍍全檢線,dian'du'quan'jian'xian
電鍍生產,dian'du'sheng'chan
電鍍生產課,dian'du'sheng'chan'ke
電鍍生管組,dian'du'sheng'guan'qu
電鍍維護課,dian'du'wei'hu'ke
電鍍物控組,dian'du'wu'kong'qu
電鍍線,dian'du'xian
電鍍制造二部,dian'du'zhi'zao'er'bu
電鍍制造二廠,dian'du'zhi'zao'er'chang
電鍍制造三部,dian'du'zhi'zao'san'bu
電鍍制造一部,dian'du'zhi'zao'yi'bu
電鍍制造一廠,dian'du'zhi'zao'yi'chang
電工組,dian'gong'qu
電化學開發專案組,dian'hua'xue'kai'bo'zhuan'an'qu
電極程式制作,dian'ji'cheng'shi'zhi'zuo
電極切削加工,dian'ji'qie'xiao'jia'gong
電極設計制作,dian'ji'she'ji'zhi'zuo
電機元件採購組,dian'ji'yuan'jian'cai'gou'qu
電漿鍍膜機台操作員,dian'jiang'du'mo'ji'tai'cao'zuo'yuan
點膠線,dian'jiao'xian
電控,dian'kong
電控組立課,dian'kong'qu'li'ke
電控組立組,dian'kong'qu'li'qu
電控設計課,dian'kong'she'ji'ke
電孔設計組,dian'kong'she'ji'qu
電控設計組,dian'kong'she'ji'qu
電路板佈局工程部,dian'lu'ban'bu'ju'gong'cheng'bu
電路板佈局課,dian'lu'ban'bu'ju'ke
電路設計部,dian'lu'she'ji'bu
電腦輔助設計部,dian'nao'fu'zhu'she'ji'bu
電腦維護組,dian'nao'wei'hu'qu
電抛,dian'pao
電拋,dian'pao
電拋二组,dian'pao'er'zu
電拋課,dian'pao'ke
電拋清洗噴砂課,dian'pao'qing'xi'pen'sha'ke
電拋組,dian'pao'qu
電抛全檢線,dian'pao'quan'jian'xian
電抛生產課,dian'pao'sheng'chan'ke
電拋線,dian'pao'xian
電拋一组,dian'pao'yi'zu
電氣工程課,dian'qi'gong'cheng'ke
電氣控制組,dian'qi'kong'zhi'qu
電氣組,dian'qi'qu
電氣組立組,dian'qi'qu'li'qu
電氣設計組,dian'qi'she'ji'qu
電聲噪音組,dian'sheng'zao'yin'qu
電蝕,dian'shi
電信測試部,dian'xin'ce'shi'bu
電訊檢測課,dian'xun'jian'ce'ke
電泳廠,dian'yong'chang
電泳開發部,dian'yong'kai'bo'bu
電泳烤漆課,dian'yong'kao'qi'ke
電泳組,dian'yong'qu
電泳全檢組,dian'yong'quan'jian'qu
電泳生產,dian'yong'sheng'chan
電詠生產課,dian'yong'sheng'chan'ke
電泳生產課,dian'yong'sheng'chan'ke
電泳生產組,dian'yong'sheng'chan'qu
電詠生技課,dian'yong'sheng'ji'ke
電泳生技課,dian'yong'sheng'ji'ke
電泳退鍍線,dian'yong'tui'du'xian
電著剝漆課,dian'zhu'bao'qi'ke
電著剝漆組,dian'zhu'bao'qi'qu
電著組,dian'zhu'qu
電著線,dian'zhu'xian
電子半成品班,dian'zi'ban'cheng'pin'ban
電子採購,dian'zi'cai'gou
電子采購課,dian'zi'cai'gou'ke
電子採購課,dian'zi'cai'gou'ke
電子采購組,dian'zi'cai'gou'qu
電子倉,dian'zi'cang
電子倉儲課,dian'zi'cang'chu'ke
電子倉組,dian'zi'cang'qu
電子產品測試,dian'zi'chan'pin'ce'shi
電子產品測試工程,dian'zi'chan'pin'ce'shi'gong'cheng
電子產品測試開發,dian'zi'chan'pin'ce'shi'kai'bo
電子產品測試作業,dian'zi'chan'pin'ce'shi'zuo'ye
電子產品分析工程,dian'zi'chan'pin'fen'xi'gong'cheng
電子產品分析與維修,dian'zi'chan'pin'fen'xi'yu'wei'xiu
電子產品開發,dian'zi'chan'pin'kai'bo
電子產品開發工程,dian'zi'chan'pin'kai'bo'gong'cheng
電子產品軟體設計,dian'zi'chan'pin'ruan'ti'she'ji
電子產品維修課,dian'zi'chan'pin'wei'xiu'ke
電子產品維修組,dian'zi'chan'pin'wei'xiu'qu
電子產品硬體設計,dian'zi'chan'pin'ying'ti'she'ji
電子產品製造工程,dian'zi'chan'pin'zhi'zao'gong'cheng
電子分析課,dian'zi'fen'xi'ke
電子分析組,dian'zi'fen'xi'qu
電子件測試組,dian'zi'jian'ce'shi'qu
電子開發,dian'zi'kai'bo
電子來料管理課,dian'zi'lai'liao'guan'li'ke
電子類,dian'zi'lei
電子零件工程組,dian'zi'ling'jian'gong'cheng'qu
電子零件組,dian'zi'ling'jian'qu
電子品質保證,dian'zi'pin'zhi'bao'zheng
電子品質工程,dian'zi'pin'zhi'gong'cheng
電子企劃課,dian'zi'qi'hua'ke
電子企劃組,dian'zi'qi'hua'qu
電子組,dian'zi'qu
電子軟體設計,dian'zi'ruan'ti'she'ji
電子設計,dian'zi'she'ji
電子維修分析課,dian'zi'wei'xiu'fen'xi'ke
電子新產品開發品質工程課,dian'zi'xin'chan'pin'kai'bo'pin'zhi'gong'cheng'ke
電子儀器校正,dian'zi'yi'qi'jiao'zheng
電子硬體基頻部,dian'zi'ying'ti'ji'pin'bu
電子硬體設計,dian'zi'ying'ti'she'ji
電子硬體射頻部,dian'zi'ying'ti'she'pin'bu
電子硬體研發處,dian'zi'ying'ti'yan'bo'chu
電子硬體元件部,dian'zi'ying'ti'yuan'jian'bu
電子硬體支援部,dian'zi'ying'ti'zhi'yuan'bu
電子製程品管,dian'zi'zhi'cheng'pin'guan
電子制造部,dian'zi'zhi'zao'bu
調班假,diao'ban'jia
調出,diao'chu
調度組,diao'du'qu
調干,diao'gan
調工,diao'gong
調工調干,diao'gong'diao'gan
調機,diao'ji
調機組,diao'ji'qu
雕刻生產,diao'ke'sheng'chan
雕刻生產課,diao'ke'sheng'chan'ke
雕刻生產組,diao'ke'sheng'chan'qu
雕刻維修組,diao'ke'wei'xiu'qu
調入,diao'ru
調休,diao'xiu
定策略,ding'ce'lue
訂單出貨管理班,ding'chan'chu'huo'guan'li'ban
東環二路,dong'huan'er'lu
東環二路二號,dong'huan'er'lu'er'hao
動力組,dong'li'qu
鍍件加工部,du'jian'jia'gong'bu
鍍膜,du'mo
鍍膜組,du'mo'qu
鍍膜設備開發,du'mo'she'bei'kai'bo
鍍膜線,du'mo'xian
獨生子女假,du'sheng'zi'nv'jia
二廠品管組,er'chang'pin'guan'qu
二次加工,er'ci'jia'gong
二次加工課,er'ci'jia'gong'ke
二次加工組,er'ci'jia'gong'qu
二次加工線,er'ci'jia'gong'xian
二次精修課,er'ci'jing'xiu'ke
二次精修組,er'ci'jing'xiu'qu
二級職能,er'ji'zhi'neng
二课,er'ke
二期半成品班,er'qi'ban'cheng'pin'ban
二期餐廳,er'qi'can'ting
二期倉庫管理組,er'qi'cang'ku'guan'li'qu
二期電子零件班,er'qi'dian'zi'ling'jian'ban
二期交管組,er'qi'jiao'guan'qu
二期組,er'qi'qu
二期人事行政,er'qi'ren'shi'xing'zheng
二期生管組,er'qi'sheng'guan'qu
二期宿管組,er'qi'su'guan'qu
二期物控組,er'qi'wu'kong'qu
二期細生管,er'qi'xi'sheng'guan
二期性能組,er'qi'xing'neng'qu
二十線,er'shi'xian
二组,er'zu
发貨組,fa'huo'qu
法蘭焊接,fa'lan'han'jie
琺瑯開發專案組,fa'lang'kai'bo'zhuan'an'qu
廢料管理組,fa'liao'guan'li'qu
廢料小組,fa'liao'xiao'qu
廢水處理組,fa'shui'chu'li'qu
法務,fa'wu
法務部,fa'wu'bu
法務處,fa'wu'chu
法務管理,fa'wu'guan'li
法務機能組,fa'wu'ji'neng'qu
法務課,fa'wu'ke
返國休假,fan'guo'xiu'jia
泛經管,fan'jing'guan
泛經管流程管理部,fan'jing'guan'liu'cheng'guan'li'bu
泛經管系統,fan'jing'guan'xi'tong
泛經管系統專案管理組,fan'jing'guan'xi'tong'zhuan'an'guan'li'qu
返台休假,fan'tai'xiu'jia
返鄉,fan'xiang
翻譯組,fan'yi'qu
放電加工,fang'dian'jia'gong
放電加工部,fang'dian'jia'gong'bu
放電加工組,fang'dian'jia'gong'qu
放電組,fang'dian'qu
防鍍部,fang'du'bu
防鍍廠,fang'du'chang
防鍍課,fang'du'ke
房維修組,fang'wei'xiu'qu
方向時機程度,fang'xiang'shi'ji'cheng'du
非保稅報廢班,fei'bao'shui'bao'fa'ban
非本地戶籍,fei'ben'di'hu'ji
非金屬材料物控專案,fei'jin'shu'cai'liao'wu'kong'zhuan'an
非金屬外構件採購專案,fei'jin'shu'wai'gou'jian'cai'gou'zhuan'an
非金屬小件採購組,fei'jin'shu'xiao'jian'cai'gou'qu
非銓敘代理線組長,fei'quan'xu'dai'li'xian'qu'chang
非生產,fei'sheng'chan
非生產單位,fei'sheng'chan'chan'wei
非生產性物料採購組,fei'sheng'chan'xing'wu'liao'cai'gou'qu
費用管控課,fei'yong'guan'kong'ke
費用管控組,fei'yong'guan'kong'qu
費用管理課,fei'yong'guan'li'ke
費用管理組,fei'yong'guan'li'qu
費用結報組,fei'yong'ji'bao'qu
費用及專案管理課,fei'yong'ji'zhuan'an'guan'li'ke
費用控制組,fei'yong'kong'zhi'qu
費用組,fei'yong'qu
費用性采購組,fei'yong'xing'cai'gou'qu
費用性採購組,fei'yong'xing'cai'gou'qu
費用性物料採購課,fei'yong'xing'wu'liao'cai'gou'ke
費用性作業組,fei'yong'xing'zuo'ye'qu
費用與資產管理,fei'yong'yu'zi'chan'guan'li
費用與資產管理組,fei'yong'yu'zi'chan'guan'li'qu
費用中心,fei'yong'zhong'xin
非油性涂料,fei'you'xing'tu'liao
分娩假,fen'mian'jia
分配資源,fen'pei'zi'yuan
分析,fen'xi
分析測試部,fen'xi'ce'shi'bu
分析工程課,fen'xi'gong'cheng'ke
分析工程組,fen'xi'gong'cheng'qu
分析技術,fen'xi'ji'shu
分析技朮支援班,fen'xi'ji'shu'zhi'yuan'ban
分析課,fen'xi'ke
分析組,fen'xi'qu
分析維護,fen'xi'wei'hu
分析維修,fen'xi'wei'xiu
分析維修部,fen'xi'wei'xiu'bu
分析維修課,fen'xi'wei'xiu'ke
風險管理,feng'jian'guan'li
風險管理處,feng'jian'guan'li'chu
風險管理規劃及發展部,feng'jian'guan'li'gui'hua'ji'bo'zhan'bu
風險與審計管理流程組,feng'jian'yu'shen'ji'guan'li'liu'cheng'qu
富鴻杰,fu'hong'jie
副課長,fu'ke'chang
副理,fu'li
輔料倉組,fu'liao'cang'qu
副組長,fu'qu'chang
富士康,fu'shi'kang
富士康北京,fu'shi'kang'bei'jing
富士康國際,fu'shi'kang'guo'ji
富士康科技,fu'shi'kang'ke'ji
富士康科技集团,fu'shi'kang'ke'ji'ji'tuan
富士康廊坊,fu'shi'kang'lang'fang
富士康賣什麽,fu'shi'kang'mai'shen'me
富士康人,fu'shi'kang'ren
富士康太原,fu'shi'kang'tai'yuan
富士康煙台,fu'shi'kang'yan'tai
富士者康,fu'shi'zhe'kang
富泰宏,fu'tai'hong
富泰宏財務部,fu'tai'hong'cai'wu'bu
富泰宏會計部,fu'tai'hong'hui'ji'bu
服務,fu'wu
服務部,fu'wu'bu
服務組,fu'wu'qu
副線長,fu'xian'chang
富陽專案,fu'yang'zhuan'an
副總經理,fu'zong'jing'li
改善,gai'shan
改善驗証,gai'shan'yan'zheng
改善驗証組,gai'shan'yan'zheng'qu
幹部宿舍管理課,gan'bu'su'she'guan'li'ke
幹部宿舍管理組,gan'bu'su'she'guan'li'qu
港澳居民往来内地通行证,gang'ao'ju'min'wang'lai'nei'di'tong'xing'zheng
港干,gang'gan
綱絡通信組,gang'lao'tong'xin'qu
鋼鋁材處,gang'lv'cai'chu
鋼鋁材控制組,gang'lv'cai'kong'zhi'qu
鋼鋁材煙臺,gang'lv'cai'yan'tai
高端產品企劃組,gao'duan'chan'pin'qi'hua'qu
高端產品銷貨管理組,gao'duan'chan'pin'xiao'huo'guan'li'qu
高端及新產品管理,gao'duan'ji'xin'chan'pin'guan'li
高光鐳雕,gao'guang'lei'diao
高光組,gao'guang'qu
高級工程師,gao'ji'gong'cheng'shi
高級管理師,gao'ji'guan'li'shi
高階人力招募課,gao'jie'ren'li'zhao'mu'ke
高階主管,gao'jie'zhu'guan
高速衝模部,gao'su'chong'mo'bu
高速沖模部,gao'su'chong'mo'bu
高速衝模設計課,gao'su'chong'mo'she'ji'ke
高速衝模制造課,gao'su'chong'mo'zhi'zao'ke
高速沖模制造課,gao'su'chong'mo'zhi'zao'ke
高速沖壓,gao'su'chong'ya
高速檢包組,gao'su'jian'bao'qu
高速企劃課,gao'su'qi'hua'ke
高速專案組,gao'su'zhuan'an'qu
高中,gao'zhong
各法人會計部,ge'fa'ren'hui'ji'bu
格局佈局步局,ge'ju'bu'ju'bu'ju
個人就學,ge'ren'jiu'xue
給排水組,gei'pai'shui'qu
工安,gong'an
工安班,gong'an'ban
工安課,gong'an'ke
工安組,gong'an'qu
工安系統規劃組,gong'an'xi'tong'gui'hua'qu
工標部,gong'biao'bu
工程,gong'cheng
工程報價組,gong'cheng'bao'jia'qu
工程標準,gong'cheng'biao'zhun
工程標準處,gong'cheng'biao'zhun'chu
工程標准課,gong'cheng'biao'zhun'ke
工程標准組,gong'cheng'biao'zhun'qu
工程發包組,gong'cheng'bo'bao'qu
工程部,gong'cheng'bu
工程二部,gong'cheng'er'bu
工程分析組,gong'cheng'fen'xi'qu
工程服務課,gong'cheng'fu'wu'ke
工程服務組,gong'cheng'fu'wu'qu
工程工務工程班,gong'cheng'gong'wu'gong'cheng'ban
工程供應商管控課,gong'cheng'gong'ying'shang'guan'kong'ke
工程管理,gong'cheng'guan'li
工程管理課,gong'cheng'guan'li'ke
工程管理組,gong'cheng'guan'li'qu
工程規劃,gong'cheng'gui'hua
工程規劃課,gong'cheng'gui'hua'ke
工程規划組,gong'cheng'gui'hua'qu
工程規劃組,gong'cheng'gui'hua'qu
工程結報管理組,gong'cheng'ji'bao'guan'li'qu
工程稽核管理組,gong'cheng'ji'he'guan'li'qu
工程稽核組,gong'cheng'ji'he'qu
工程技術部,gong'cheng'ji'shu'bu
工程技術組,gong'cheng'ji'shu'qu
工程監護組,gong'cheng'jian'hu'qu
工程開發,gong'cheng'kai'bo
工程開發部,gong'cheng'kai'bo'bu
工程開發課,gong'cheng'kai'bo'ke
工程開發組,gong'cheng'kai'bo'qu
工程開發專案,gong'cheng'kai'bo'zhuan'an
工程課,gong'cheng'ke
工程课,gong'cheng'ke
工程企劃,gong'cheng'qi'hua
工程企划課,gong'cheng'qi'hua'ke
工程企劃課,gong'cheng'qi'hua'ke
工程企划組,gong'cheng'qi'hua'qu
工程企劃組,gong'cheng'qi'hua'qu
工程企劃组,gong'cheng'qi'hua'zu
工程組,gong'cheng'qu
工程軟體應用維修課,gong'cheng'ruan'ti'ying'yong'wei'xiu'ke
工程生技組,gong'cheng'sheng'ji'qu
工程師,gong'cheng'shi
工程施工組,gong'cheng'shi'gong'qu
工程試模組,gong'cheng'shi'mo'qu
工程現場管理,gong'cheng'xian'chang'guan'li
工程行政課,gong'cheng'xing'zheng'ke
工程一部,gong'cheng'yi'bu
工程預算採購組,gong'cheng'yu'suan'cai'gou'qu
工程預算組,gong'cheng'yu'suan'qu
工程招投標管制課,gong'cheng'zhao'tou'biao'guan'zhi'ke
工程招投標管制組,gong'cheng'zhao'tou'biao'guan'zhi'qu
工程智慧資源管理,gong'cheng'zhi'hui'zi'yuan'guan'li
工程支援,gong'cheng'zhi'yuan
工程支援部,gong'cheng'zhi'yuan'bu
工程支援課,gong'cheng'zhi'yuan'ke
工程支援組,gong'cheng'zhi'yuan'qu
工程支援線,gong'cheng'zhi'yuan'xian
工程專案管理課,gong'cheng'zhuan'an'guan'li'ke
工程專案課,gong'cheng'zhuan'an'ke
工程資料文件處理組,gong'cheng'zi'liao'wen'jian'chu'li'qu
工程資訊組,gong'cheng'zi'xun'qu
公共安全課,gong'gong'an'quan'ke
公共安全組,gong'gong'an'quan'qu
公共關系組,gong'gong'guan'xi'qu
公共區域機電設施管理組,gong'gong'ou'yu'ji'dian'she'shi'guan'li'qu
工管,gong'guan
工管流程管理部,gong'guan'liu'cheng'guan'li'bu
工管系統,gong'guan'xi'tong
工管系統部,gong'guan'xi'tong'bu
工管系統規劃課,gong'guan'xi'tong'gui'hua'ke
工管系統課,gong'guan'xi'tong'ke
工管系統專案管理組,gong'guan'xi'tong'zhuan'an'guan'li'qu
工號,gong'hao
公假,gong'jia
紅利多賽博,gong'li'duo'sai'bo
功能測試品質工程課,gong'neng'ce'shi'pin'zhi'gong'cheng'ke
功能檢測組,gong'neng'jian'ce'qu
工傷,gong'shang
工生品經,gong'sheng'pin'jing
公司的工作精神,gong'si'de'gong'zuo'jing'shen
公司法人,gong'si'fa'ren
公司經營理念,gong'si'jing'ying'li'nian
公司秘書部,gong'si'mi'shu'bu
工務部,gong'wu'bu
公務車調,gong'wu'che'diao
工務處,gong'wu'chu
工務工程,gong'wu'gong'cheng
工務工程部,gong'wu'gong'cheng'bu
工務工程采購組,gong'wu'gong'cheng'cai'gou'qu
工務工程課,gong'wu'gong'cheng'ke
工務工程組,gong'wu'gong'cheng'qu
工務管理部,gong'wu'guan'li'bu
工務管理課,gong'wu'guan'li'ke
工務管理組,gong'wu'guan'li'qu
工務管理中心,gong'wu'guan'li'zhong'xin
工務規划課,gong'wu'gui'hua'ke
工務規劃組,gong'wu'gui'hua'qu
工務課,gong'wu'ke
工務組,gong'wu'qu
工務設備課,gong'wu'she'bei'ke
工務資源管理組,gong'wu'zi'yuan'guan'li'qu
工業安全,gong'ye'an'quan
工業安全班,gong'ye'an'quan'ban
工業安全環保組,gong'ye'an'quan'huan'bao'qu
工業安全課,gong'ye'an'quan'ke
工業安全课,gong'ye'an'quan'ke
工業安全組,gong'ye'an'quan'qu
工業安全衛生,gong'ye'an'quan'wei'sheng
工業工程,gong'ye'gong'cheng
工業工程部,gong'ye'gong'cheng'bu
工業工程課,gong'ye'gong'cheng'ke
工業工程組,gong'ye'gong'cheng'qu
工業設計部,gong'ye'she'ji'bu
工業設計課,gong'ye'she'ji'ke
工業視覺設計課,gong'ye'shi'jiao'she'ji'ke
工藝發展組,gong'yi'bo'zhan'qu
工藝分析組,gong'yi'fen'xi'qu
工藝工程課,gong'yi'gong'cheng'ke
工藝開發課,gong'yi'kai'bo'ke
工藝開發組,gong'yi'kai'bo'qu
工藝企划組,gong'yi'qi'hua'qu
工藝組,gong'yi'qu
工藝設備課,gong'yi'she'bei'ke
工藝實驗組,gong'yi'shi'yan'qu
工藝制程開發,gong'yi'zhi'cheng'kai'bo
供應鏈,gong'ying'lian
供應鏈管理,gong'ying'lian'guan'li
供應鏈管理部,gong'ying'lian'guan'li'bu
供應鏈管理部倉儲管理課,gong'ying'lian'guan'li'bu'cang'chu'guan'li'ke
供應鏈管理部關務課,gong'ying'lian'guan'li'bu'guan'wu'ke
供應鏈管理服務課,gong'ying'lian'guan'li'fu'wu'ke
供應鏈管理服務組,gong'ying'lian'guan'li'fu'wu'qu
供應鏈管理組,gong'ying'lian'guan'li'qu
供應鏈系統整合課,gong'ying'lian'xi'tong'zheng'he'ke
供應鏈應用系統部,gong'ying'lian'ying'yong'xi'tong'bu
供應鏈支援課,gong'ying'lian'zhi'yuan'ke
供應鏈支援組,gong'ying'lian'zhi'yuan'qu
供應商電子商務,gong'ying'shang'dian'zi'shang'wu
供應商管理,gong'ying'shang'guan'li
供應商管理部,gong'ying'shang'guan'li'bu
供應商管理課,gong'ying'shang'guan'li'ke
供應商管理組,gong'ying'shang'guan'li'qu
供應商建簡管理,gong'ying'shang'jian'jian'guan'li
供應商開發組,gong'ying'shang'kai'bo'qu
供應商品質保証課,gong'ying'shang'pin'zhi'bao'zheng'ke
供應商品質工程組,gong'ying'shang'pin'zhi'gong'cheng'qu
供應商品質管理,gong'ying'shang'pin'zhi'guan'li
供應商品質管理部,gong'ying'shang'pin'zhi'guan'li'bu
供應商品質管理課,gong'ying'shang'pin'zhi'guan'li'ke
供應商品質管理組,gong'ying'shang'pin'zhi'guan'li'qu
供應商質量工程,gong'ying'shang'zhi'liang'gong'cheng
供應商質量管理課,gong'ying'shang'zhi'liang'guan'li'ke
共用廠房機電設備管理,gong'yong'chang'fang'ji'dian'she'bei'guan'li
共用類,gong'yong'lei
工站模,gong'zhan'mo
工作歷練,gong'zuo'li'lian
工作壓力,gong'zuo'ya'li
工作中學習,gong'zuo'zhong'xue'xi
固定資產作業組,gu'ding'zi'chan'zuo'ye'qu
雇員,gu'yuan
挂具設計課,gua'ju'she'ji'ke
掛具設計組,gua'ju'she'ji'qu
掛具製造課,gua'ju'zhi'zao'ke
掛具制造組,gua'ju'zhi'zao'qu
挂治具加工組,gua'zhi'ju'jia'gong'qu
挂治具開發組,gua'zhi'ju'kai'bo'qu
挂治具課,gua'zhi'ju'ke
掛治具課,gua'zhi'ju'ke
挂治具設計組,gua'zhi'ju'she'ji'qu
掛治具設計組,gua'zhi'ju'she'ji'qu
觀蘭,guan'lan
觀瀾,guan'lan
觀瀾廠區,guan'lan'chang'ou
觀蘭設備維護課,guan'lan'she'bei'wei'hu'ke
管理部,guan'li'bu
管理處,guan'li'chu
管理組,guan'li'qu
管理師,guan'li'shi
管理損益課,guan'li'sun'yi'ke
管理系統,guan'li'xi'tong
管理研究組,guan'li'yan'jiu'qu
管理員,guan'li'yuan
管理職,guan'li'zhi
管理中心,guan'li'zhong'xin
關稅務運作規劃,guan'shui'wu'yun'zuo'gui'hua
關務,guan'wu
關務備案核銷組,guan'wu'bei'an'he'xiao'qu
關務部,guan'wu'bu
關務管理,guan'wu'guan'li
關務管理課,guan'wu'guan'li'ke
關務結報組,guan'wu'ji'bao'qu
關務經管廊坊派駐組,guan'wu'jing'guan'lang'fang'pai'zhu'qu
關務課,guan'wu'ke
関務組,guan'wu'qu
關務組,guan'wu'qu
關務設備組,guan'wu'she'bei'qu
關務物流部,guan'wu'wu'liu'bu
關務物流課,guan'wu'wu'liu'ke
关务物流课,guan'wu'wu'liu'ke
關務物流組,guan'wu'wu'liu'qu
關務系統整合課,guan'wu'xi'tong'zheng'he'ke
關務與務流流程組,guan'wu'yu'wu'liu'liu'cheng'qu
關務作業,guan'wu'zuo'ye
管制及助理组,guan'zhi'ji'zhu'li'zu
管制組,guan'zhi'qu
光學課,guang'xue'ke
光學設計課,guang'xue'she'ji'ke
規划核銷課,gui'hua'he'xiao'ke
規劃稽核組,gui'hua'ji'he'qu
規劃課,gui'hua'ke
規劃組,gui'hua'qu
规划組,gui'hua'qu
規劃設計技術組,gui'hua'she'ji'ji'shu'qu
規划設計組,gui'hua'she'ji'qu
繪圖組,gui'tu'qu
貴重物料倉儲組,gui'zhong'wu'liao'cang'chu'qu
輥輪成型專案組,gun'lun'cheng'xing'zhuan'an'qu
國際審計,guo'ji'shen'ji
國內,guo'na
國內物流組,guo'na'wu'liu'qu
國內運輸和快遞作業組,guo'na'yun'shu'he'kuai'di'zuo'ye'qu
郭台銘,guo'tai'ming
國外,guo'wai
郭語錄,guo'yu'lu
郭總裁,guo'zong'cai
海關協管課,hai'guan'xie'guan'ke
海關業務組,hai'guan'ye'wu'qu
海外採購成本績效課,hai'wai'cai'gou'cheng'ben'ji'xiao'ke
海外採購統計與商情分析課,hai'wai'cai'gou'tong'ji'yu'shang'qing'fen'xi'ke
海外服務課,hai'wai'fu'wu'ke
海外工標課,hai'wai'gong'biao'ke
海外會計部,hai'wai'hui'ji'bu
海外機構經營管理處,hai'wai'ji'gou'jing'ying'guan'li'chu
海外人資管理部,hai'wai'ren'zi'guan'li'bu
海外審計課,hai'wai'shen'ji'ke
海外推廣組,hai'wai'tui'an'qu
海外行政服務課,hai'wai'xing'zheng'fu'wu'ke
海外業務部,hai'wai'ye'wu'bu
海外支援,hai'wai'zhi'yuan
海外支援課,hai'wai'zhi'yuan'ke
海外支援組,hai'wai'zhi'yuan'qu
海外專案推動課,hai'wai'zhuan'an'tui'dong'ke
海外資料管理專案,hai'wai'zi'liao'guan'li'zhuan'an
韓國業處拓展處,han'guo'ye'chu'tuo'zhan'chu
韓國業務部,han'guo'ye'wu'bu
焊接,han'jie
焊接打標,han'jie'da'biao
焊接打標課,han'jie'da'biao'ke
焊接打標全檢線,han'jie'da'biao'quan'jian'xian
焊接調機組,han'jie'diao'ji'qu
焊接二线,han'jie'er'xian
焊接課,han'jie'ke
焊接組,han'jie'qu
焊接生技,han'jie'sheng'ji
焊接線,han'jie'xian
焊接一线,han'jie'yi'xian
杭州,hang'zhou
杭州廠區,hang'zhou'chang'ou
合同終止,he'tong'zhong'zhi
核心開發,he'xin'kai'bo
核心系統課,he'xin'xi'tong'ke
合約類型,he'yao'lei'xing
鴻富錦,hong'fu'jin
鴻觀工務課,hong'guan'gong'wu'ke
鸿海,hong'hai
鸿海集团,hong'hai'ji'tuan
宏訊財務部,hong'xun'cai'wu'bu
宏訊機構產品處,hong'xun'ji'gou'chan'pin'chu
厚材模修,hou'cai'mo'xiu
后處理,hou'chu'li
後處理課,hou'chu'li'ke
後處理線,hou'chu'li'xian
后段組,hou'duan'qu
後段制工課,hou'duan'zhi'gong'ke
後蓋填充,hou'gai'tian'chong
后加工,hou'jia'gong
後加工,hou'jia'gong
后加工組,hou'jia'gong'qu
後加工組,hou'jia'gong'qu
后期稽核組,hou'qi'ji'he'qu
後期稽核組,hou'qi'ji'he'qu
後勤管理,hou'qin'guan'li
后勤組,hou'qin'qu
後勤組,hou'qin'qu
後制程加工廠,hou'zhi'cheng'jia'gong'chang
后制程加工組,hou'zhi'cheng'jia'gong'qu
後制程品管班,hou'zhi'cheng'pin'guan'ban
後制程組,hou'zhi'cheng'qu
互動設計中心,hu'dong'she'ji'zhong'xin
户口簿,hu'kou'bu
戶口類型,hu'kou'lei'xing
華北工務管理部,hua'bei'gong'wu'guan'li'bu
華北供應鏈管理處,hua'bei'gong'ying'lian'guan'li'chu
華北管理中心,hua'bei'guan'li'zhong'xin
華北經營機構管理處,hua'bei'jing'ying'ji'gou'guan'li'chu
華北經營運籌管理處,hua'bei'jing'ying'yun'chou'guan'li'chu
華北模座制造處,hua'bei'mo'zuo'zhi'zao'chu
華北人資管理處,hua'bei'ren'zi'guan'li'chu
華北塑膠模具制造處,hua'bei'su'jiao'mu'ju'zhi'zao'chu
華北維修業務部,hua'bei'wei'xiu'ye'wu'bu
華北營建,hua'bei'ying'jian
華北運輸課,hua'bei'yun'shu'ke
華北中央關務,hua'bei'zhong'yang'guan'wu
華北資訊管理處,hua'bei'zi'xun'guan'li'chu
華南工管系統規劃課,hua'nan'gong'guan'xi'tong'gui'hua'ke
華南工務管理處,hua'nan'gong'wu'guan'li'chu
華南機構經營管理部,hua'nan'ji'gou'jing'ying'guan'li'bu
華南經營運籌管理處,hua'nan'jing'ying'yun'chou'guan'li'chu
華南品保管理處,hua'nan'pin'bao'guan'li'chu
華南人資管理處,hua'nan'ren'zi'guan'li'chu
華南生管系統規划課,hua'nan'sheng'guan'xi'tong'gui'hua'ke
