阿茂,a'mao
原子笔,yuan'zi'bi
曱甴,yue'you
云耳,yun'er
晕浪,yun'lang
云石,yun'shi
晕酡酡,yun'tuo'tuo
杂柴,za'chai
仔女,zai'nv
早唞,zao'dou
灶虾,zao'xia
则纸,ze'zhi
贼佬,zei'lao
贼仔,zei'zai
扎醒,zha'xing
斩犯,zhan'fan
针唛,zhen'mai
枕头肉,zhen'tou'rou
纸皮,zhi'pi
直身裙,zhi'shen'qun
织蜶,zhi'suo
纸鹞,zhi'yao
吱喳婆,zhi'zha'po
织针,zhi'zhen
中褛,zhong'lv
中学鸡,zhong'xue'ji
皱纹纸,zhou'wen'zhi
珠被,zhu'bei
煮饭婆,zhu'fan'po
竹蜂,zhu'feng
猪唛,zhu'mai
蛀米大虫,zhu'mi'da'chong
猪乸菜,zhu'na'cai
诸事理,zhu'shi'li
竹丝鸡,zhu'si'ji
撞死马,zhuang'si'ma
锥仔,zhui'zai
捉墨鱼,zhuo'mo'yu
子姜,zi'jiang
自在,zi'zai
字纸箩,zi'zhi'luo
走水客,zou'shui'ke
醉酒,zui'jiu
醉酒佬,zui'jiu'lao
樽领,zun'ling
作渴,zuo'ke
左口鱼,zuo'kou'yu
左挠仔,zuo'nao'zai
作呕,zuo'ou
座泄,zuo'xie
坐月,zuo'yue
