爱力所及,ai'li'suo'ji
十万工农下吉安,shi'wan'gong'nong'xia'ji'an
世无难事,shi'wu'nan'shi
事无遗算,shi'wu'yi'suan
时则苦短,shi'ze'ku'duan
逝者如斯夫,shi'zhe'ru'si'fu
收拾金瓯一片,shou'shi'jin'ou'yi'pian
首推博爱,shou'tui'bo'ai
寿五十三,shou'wu'shi'san
手泽所经,shou'ze'suo'jing
数风流人物,shu'feng'liu'ren'wu
曙光初照练兵场,shu'guang'chu'zhao'lian'bing'chang
书生意气,shu'sheng'yi'qi
霜晨月,shuang'chen'yue
谁持彩练当空舞行动上,shui'chi'cai'lian'dang'kong'wu'xing'dong'shang
水调歌头,shui'diao'ge'tou
谁敢横刀立马,shui'gan'heng'dao'li'ma
谁主沉浮,shui'zhu'chen'fu
说项依刘我大难,shuo'xiang'yi'liu'wo'da'nan
四海翻腾云水怒,si'hai'fan'teng'yun'shui'nu
思君君不来,si'jun'jun'bu'lai
四十八盘才走过,si'shi'ba'pan'cai'zou'guo
似天渊翻覆,si'tian'yuan'fan'fu
四万万众,si'wan'wan'zhong
四夕至五夕,si'xi'zhi'wu'xi
思想好,si'xiang'hao
四言诗,si'yan'shi
送瘟神,song'wen'shen
送纵宇一郎东行,song'zong'yu'yi'lang'dong'xing
苏维埃政府主席毛泽东,su'wei'ai'zheng'fu'zhu'xi'mao'ze'dong
算人间知已吾和汝,suan'ren'jian'zhi'yi'wu'he'ru
酸心结肠,suan'xin'jie'chang
岁岁重阳,sui'sui'chong'yang
索句渝州叶正黄,suo'ju'yu'zhou'ye'zheng'huang
踏遍青山人未老,ta'bian'qing'shan'ren'wei'lao
她在丛中笑,ta'zai'cong'zhong'xiao
太平世界,tai'ping'shi'jie
谈笑凯歌还,tan'xiao'kai'ge'hai
弹指三十八年,tan'zhi'san'shi'ba'nian
弹指一挥间,tan'zhi'yi'hui'jian
唐宗宋祖,tang'zong'song'zu
桃花岭上风,tao'hua'ling'shang'feng
桃花源里可耕田,tao'hua'yuan'li'ke'geng'tian
陶令不知何处去,tao'ling'bu'zhi'he'chu'qu
题中国妇女之出版,ti'zhong'guo'fu'nv'zhi'chu'ban
天安门上万红妍,tian'an'men'shang'wan'hong'yan
天兵怒气冲霄汉,tian'bing'nu'qi'chong'xiao'han
天地转,tian'di'zhuan
天翻地覆慨而慷,tian'fan'di'fu'kai'er'kang
天高云淡,tian'gao'yun'dan
天乎人欤,tian'hu'ren'yu
天际悬明月,tian'ji'xuan'ming'yue
天连五岭银锄落,tian'lian'wu'ling'yin'chu'luo
天马凤凰春树里,tian'ma'feng'huang'chun'shu'li
天堑变通途,tian'qian'bian'tong'tu
天若有情天亦老,tian'ruo'you'qing'tian'yi'lao
天生一个仙人洞,tian'sheng'yi'ge'xian'ren'dong
天下传,tian'xia'chuan
天欲堕,tian'yu'duo
天知否,tian'zhi'fou
铜铁炉中翻火焰,tong'tie'lu'zhong'fan'huo'yan
同心干,tong'xin'gan
头颅早悔平生贱,tou'lu'zao'hui'ping'sheng'jian
头脑精密,tou'nao'jing'mi
头上高山,tou'shang'gao'shan
土豆烧熟了,tu'dou'shao'shu'le
突起异军,tu'qi'yi'jun
团结坚固,tuan'jie'jian'gu
团结力,tuan'jie'li
推翻原子更金圆,tui'fan'yuan'zi'geng'jin'yuan
外侮需人御,wai'wu'xu'ren'yu
挽戴安澜将军,wan'dai'an'lan'jiang'jun
万方乐奏有于阗,wan'fang'le'zou'you'yu'tian
万怪烟消云落,wan'guai'yan'xiao'yun'luo
万户萧疏鬼唱歌,wan'hu'xiao'shu'gui'chang'ge
万花纷谢一时稀,wan'hua'fen'xie'yi'shi'xi
万类霜天竞自由,wan'lei'shuang'tian'jing'zi'you
万里长江横渡,wan'li'chang'jiang'heng'du
万里长空且为忠魂舞,wan'li'chang'kong'qie'wei'zhong'hun'wu
万里崎岖,wan'li'qi'qu
万里雪飘,wan'li'xue'piao
万马战犹酣,wan'ma'zhan'you'han
万木霜天红烂漫,wan'mu'shuang'tian'hong'lan'man
万水千山只等闲,wan'shui'qian'shan'zhi'deng'xian
挽易昌陶,wan'yi'chang'tao
望长城内外,wang'chang'cheng'nei'wai
望断南飞雁,wang'duan'nan'fei'yan
望灵荐杯酒,wang'ling'jian'bei'jiu
往事越千年,wang'shi'yue'qian'nian
微风拂煦,wei'feng'fu'xu
为国效命,wei'guo'xiao'ming
为李进同志题所摄庐山仙人洞照,wei'li'jin'tong'zhi'ti'suo'she'lu'shan'xian'ren'dong'zhao
为女民兵题照,wei'nv'min'bing'ti'zhao
惟挈大端,wei'qie'da'duan
为人民,wei'ren'min
为问何时猜得,wei'wen'he'shi'cai'de
卫我国权,wei'wo'guo'quan
唯我彭大将军,wei'wo'peng'da'jiang'jun
魏武挥鞭,wei'wu'hui'bian
胃衍祀锦,wei'yan'si'jin
为营步步嗟何及,wei'ying'bu'bu'jie'he'ji
为有牺牲多壮志,wei'you'xi'sheng'duo'zhuang'zhi
惟余莽莽,wei'yu'mang'mang
问苍茫大地,wen'cang'mang'da'di
问讯吴刚何所有,wen'xun'wu'gang'he'suo'you
嗡嗡叫,weng'weng'jiao
我返自崖君去矣,wo'fan'zi'ya'jun'qu'yi
我怀郁如楚,wo'huai'yu'ru'chu
我失骄杨君失柳,wo'shi'jiao'yang'jun'shi'liu
握手珠眶涨,wo'shou'zhu'kuang'zhang
我为奴辱,wo'wei'nu'ru
我要飞跃,wo'yao'fei'yue
我欲因之梦寥廓,wo'yu'yin'zhi'meng'liao'kuo
我自岿然不动,wo'zi'kui'ran'bu'dong
无车弹铗怨冯宣,wu'che'dan'jia'yuan'feng'xuan
五德荦荦,wu'de'luo'luo
五帝三皇神圣事,wu'di'san'huang'shen'sheng'shi
无端散出一天愁,wu'duan'san'chu'yi'tian'chou
无法无天是为民,wu'fa'wu'tian'shi'wei'min
无非一念救苍生,wu'fei'yi'nian'jiu'cang'sheng
吴刚捧出桂花酒,wu'gang'peng'chu'gui'hua'jiu
五古,wu'gu
呜呼吾母,wu'hu'wu'mu
吾华肇造,wu'hua'zhao'zao
五井碑前,wu'jing'bei'qian
五岭逶迤腾细浪,wu'ling'wei'yi'teng'xi'lang
五律,wu'lv
雾满龙冈千嶂暗,wu'man'long'gang'qian'zhang'an
乌蒙磅礴走泥丸,wu'meng'pang'bo'zou'ni'wan
吾母高风,wu'mu'gao'feng
无奈披衣起坐薄寒中,wu'nai'pi'yi'qi'zuo'bo'han'zhong
物无遁形,wu'wu'dun'xing
无限风光在险峰,wu'xian'feng'guang'zai'xian'feng
午夜惊鸣鸡,wu'ye'jing'ming'ji
五洲震荡风雷激,wu'zhou'zhen'dang'feng'lei'ji
西风烈,xi'feng'lie
西风漫卷孤城,xi'feng'man'juan'gu'cheng
西江月,xi'jiang'yue
喜看稻菽千重浪,xi'kan'dao'shu'qian'zhong'lang
惜秦皇汉武,xi'qin'huang'han'wu
溪沙,xi'sha
吓倒蓬间雀,xia'dao'peng'jian'que
夏日消溶,xia'ri'xiao'rong
纤笔一枝谁与似,xian'bi'yi'zhi'shei'yu'si
险处不须看,xian'chu'bu'xu'kan
湘滨春溜回,xiang'bin'chun'liu'hui
湘江北去,xiang'jiang'bei'qu
小儿时节,xiao'er'shi'jie
晓来百念皆灰烬,xiao'lai'bai'nian'jie'hui'jin
萧瑟秋风今又是,xiao'se'qiu'feng'jin'you'shi
小小寰球,xiao'xiao'huan'qiu
携来百侣曾游,xie'lai'bai'lv'ceng'you
心潮逐浪高,xin'chao'zhu'lang'gao
欣然命笔,xin'ran'ming'bi
欣赏赞美之不尽矣,xin'shang'zan'mei'zhi'bu'jin'yi
幸被东风吹万里,xing'bei'dong'feng'chui'wan'li
雄关漫道真如铁,xiong'guan'man'dao'zhen'ru'tie
雄立东方,xiong'li'dong'fang
匈奴未灭,xiong'nu'wei'mie
胸中日月常新美,xiong'zhong'ri'yue'chang'xin'mei
须晴日,xu'qing'ri
旭日临窗遥望南天,xu'ri'lin'chuang'yao'wang'nan'tian
轩辕黄帝之陵,xuan'yuan'huang'di'zhi'ling
雪里行军情更迫,xue'li'xing'jun'qing'geng'po
雪压冬云白絮飞,xue'ya'dong'yun'bai'xu'fei
巡天遥看一千河,xun'tian'yao'kan'yi'qian'he
牙琴从此绝,ya'qin'cong'ci'jue
延安无屎不黄金,yan'an'wu'shi'bu'huang'jin
颜斶齐王各命前,yan'chu'qi'wang'ge'ming'qian
眼角眉梢都似恨,yan'jiao'mei'shao'dou'si'hen
烟雨莽苍苍,yan'yu'mang'cang'cang
杨柳青杨直上重霄九,yang'liu'qing'yang'zhi'shang'chong'xiao'jiu
泱泱大国,yang'yang'da'guo
养育深恩,yang'yu'shen'en
要将宇宙看秭米,yao'jiang'yu'zhou'kan'zi'mi
要扫除一切害人虫,yao'sao'chu'yi'qie'hai'ren'chong
要似昆仑崩绝壁,yao'si'kun'lun'beng'jue'bi
妖为鬼蜮必成灾,yao'wei'gui'yu'bi'cheng'zai
要向潇湘直进,yao'xiang'xiao'xiang'zhi'jin
要学习,yao'xue'xi
要自立,yao'zi'li
夜不能寐,ye'bu'neng'mei
夜长天色怎难明,ye'chang'tian'se'zen'nan'ming
一拔何亏大圣毛,yi'ba'he'kui'da'sheng'mao
一唱雄鸡天下白,yi'chang'xiong'ji'tian'xia'bai
以此为卓,yi'ci'wei'zhuo
以此制敌,yi'ci'zhi'di
一从大地起风雷,yi'cong'da'di'qi'feng'lei
一代天骄,yi'dai'tian'jiao
以地事敌,yi'di'shi'di
一勾残月向西流,yi'gou'can'yue'xiang'xi'liu
宜将剩勇追穷寇,yi'jiang'sheng'yong'zhui'qiong'kou
一皆覆载,yi'jie'fu'zai
一截还东国,yi'jie'hai'dong'guo
一截遗欧,yi'jie'yi'ou
一截赠美,yi'jie'zeng'mei
一九二八年秋,yi'jiu'er'ba'nian'qiu
一九二九年,yi'jiu'er'jiu'nian
一九二九年十月,yi'jiu'er'jiu'nian'shi'yue
一九二零年,yi'jiu'er'ling'nian
一九二七年,yi'jiu'er'qi'nian
一九二三年,yi'jiu'er'san'nian
一九二五年,yi'jiu'er'wu'nian
一九六二年十二月二十六日,yi'jiu'liu'er'nian'shi'er'yue'er'shi'liu'ri
一九六三年八月一日,yi'jiu'liu'san'nian'ba'yue'yi'ri
一九六三年十二月,yi'jiu'liu'san'nian'shi'er'yue
一九六三年一月九日,yi'jiu'liu'san'nian'yi'yue'jiu'ri
一九六四年春,yi'jiu'liu'si'nian'chun
一九六五年秋,yi'jiu'liu'wu'nian'qiu
一九六五年五月,yi'jiu'liu'wu'nian'wu'yue
一九六一年,yi'jiu'liu'yi'nian
一九六一年二月,yi'jiu'liu'yi'nian'er'yue
一九六一年九月九日,yi'jiu'liu'yi'nian'jiu'yue'jiu'ri
一九六一年十二月,yi'jiu'liu'yi'nian'shi'er'yue
一九六一年十一月十七日,yi'jiu'liu'yi'nian'shi'yi'yue'shi'qi'ri
一九三九年六月一日,yi'jiu'san'jiu'nian'liu'yue'yi'ri
一九三零年二月,yi'jiu'san'ling'nian'er'yue
一九三零年一月,yi'jiu'san'ling'nian'yi'yue
一九三六年,yi'jiu'san'liu'nian
一九三六年二月,yi'jiu'san'liu'nian'er'yue
一九三七年四月五日,yi'jiu'san'qi'nian'si'yue'wu'ri
一九三三年春,yi'jiu'san'san'nian'chun
一九三四年夏,yi'jiu'san'si'nian'xia
一九三四年至一九三五年,yi'jiu'san'si'nian'zhi'yi'jiu'san'wu'nian
一九三五年二月,yi'jiu'san'wu'nian'er'yue
一九三五年十月,yi'jiu'san'wu'nian'shi'yue
一九三一年春,yi'jiu'san'yi'nian'chun
一九三一年夏,yi'jiu'san'yi'nian'xia
一九四二年,yi'jiu'si'er'nian
一九四九年四月,yi'jiu'si'jiu'nian'si'yue
一九四九年四月二十九日,yi'jiu'si'jiu'nian'si'yue'er'shi'jiu'ri
一九四五年,yi'jiu'si'wu'nian
一九五八年七月一日,yi'jiu'wu'ba'nian'qi'yue'yi'ri
一九五八年十二月二十一日,yi'jiu'wu'ba'nian'shi'er'yue'er'shi'yi'ri
一九五九年六月,yi'jiu'wu'jiu'nian'liu'yue
一九五九年六月二十五日到韶山,yi'jiu'wu'jiu'nian'liu'yue'er'shi'wu'ri'dao'shao'shan
一九五九年七月一日,yi'jiu'wu'jiu'nian'qi'yue'yi'ri
一九五九年十一月,yi'jiu'wu'jiu'nian'shi'yi'yue
一九五零年国庆观剧,yi'jiu'wu'ling'nian'guo'qing'guan'ju
一九五零年十一月,yi'jiu'wu'ling'nian'shi'yi'yue
一九五零年十月,yi'jiu'wu'ling'nian'shi'yue
一九五六年六月,yi'jiu'wu'liu'nian'liu'yue
一九五七年五月十一日,yi'jiu'wu'qi'nian'wu'yue'shi'yi'ri
一九五四年夏,yi'jiu'wu'si'nian'xia
一九五五年十月,yi'jiu'wu'wu'nian'shi'yue
一九一八年,yi'jiu'yi'ba'nian
一九一九年十月,yi'jiu'yi'jiu'nian'shi'yue
一九一零年,yi'jiu'yi'ling'nian
一九一五年六月,yi'jiu'yi'wu'nian'liu'yue
一年一度秋风劲,yi'nian'yi'du'qiu'feng'jin
一篇读罢头飞雪,yi'pian'du'ba'tou'fei'xue
一片飘飘下,yi'pian'piao'piao'xia
一片汪洋都不见,yi'pian'wang'yang'dou'bu'jian
一桥飞架南北,yi'qiao'fei'jia'nan'bei
忆秦娥,yi'qin'e
一山飞峙大江边,yi'shan'fei'zhi'da'jiang'bian
一声鸡唱,yi'sheng'ji'chang
忆是县崖百丈冰,yi'shi'xian'ya'bai'zhang'bing
一丝不诡,yi'si'bu'gui
一万年太久,yi'wan'nian'tai'jiu
忆往昔峥嵘岁月稠,yi'wang'xi'zheng'rong'sui'yue'chou
懿维我祖,yi'wei'wo'zu
一样悲欢逐逝波,yi'yang'bei'huan'zhu'shi'bo
益在哪,yi'zai'na
一则恨偏,yi'ze'hen'pian
一则盛德,yi'ze'sheng'de
亿兆一心,yi'zhao'yi'xin
一枕黄洋再现,yi'zhen'huang'yang'zai'xian
意志坚,yi'zhi'jian
因步其韵奉和,yin'bu'qi'yun'feng'he
饮茶粤海未以忘,yin'cha'yue'hai'wei'yi'wang
因此叫,yin'ci'jiao
因此遭疾,yin'ci'zao'ji
引无数英雄竞折腰,yin'wu'shu'ying'xiong'jing'zhe'yao
永不沾,yong'bu'zhan
勇夺虎罴城,yong'duo'hu'pi'cheng
永决从今始,yong'jue'cong'jin'shi
咏梅,yong'mei
永矢勿谖,yong'shi'wu'xuan
咏蛙,yong'wa
又次所怀,you'ci'suo'huai
有多少风流人物,you'duo'shao'feng'liu'ren'wu
有妇人焉,you'fu'ren'yan
犹记当时烽火里,you'ji'dang'shi'feng'huo'li
有几个苍蝇碰壁,you'ji'ge'cang'ying'peng'bi
又恰象台风扫寰宇,you'qia'xiang'tai'feng'sao'huan'yu
有求不获,you'qiu'bu'huo
有人泣,you'ren'qi
有生一日,you'sheng'yi'ri
又食武昌鱼,you'shi'wu'chang'yu
又踏层峰望眼开,you'ta'ceng'feng'wang'yan'kai
有田有地吾为主,you'tian'you'di'wu'wei'zhu
有仙山琼阁,you'xian'shan'qiong'ge
犹有花枝俏,you'you'hua'zhi'qiao
有志竟成,you'zhi'jing'cheng
有志未伸,you'zhi'wei'shen
雨从青野上山来,yu'cong'qing'ye'shang'shan'lai
愚公尽扫餮蚊日,yu'gong'jin'sao'tie'wen'ri
雨后复斜阳,yu'hou'fu'xie'yang
渔家傲,yu'jia'ao
余江县消灭了血吸虫,yu'jiang'xian'xiao'mie'le'xue'xi'chong
虞美人,yu'mei'ren
与日俱长,yu'ri'ju'chang
域外鸡虫事可哀,yu'wai'ji'chong'shi'ke'ai
育吾兄弟,yu'wu'xiong'di
鱼翔浅底,yu'xiang'qian'di
浴血东瓜守,yu'xue'dong'gua'shou
玉宇澄清万里埃,yu'yu'cheng'qing'wan'li'ai
欲与天公试比高,yu'yu'tian'gong'shi'bi'gao
育之成行,yu'zhi'cheng'xing
原本真诚,yuan'ben'zhen'cheng
原驰蜡象,yuan'chi'la'xiang
元旦,yuan'dan
远近亲疏,yuan'jin'qin'shu
愿言试长剑,yuan'yan'shi'chang'jian
岳峨河浩,yue'e'he'hao
阅尽人间春色,yue'jin'ren'jian'chun'se
跃上葱笼四百旋,yue'shang'cong'long'si'bai'xuan
越数千年,yue'shu'qian'nian
云横九派浮黄鹤,yun'heng'jiu'pai'fu'huang'he
云开衡岳积阴止,yun'kai'heng'yue'ji'yin'zhi
杂言诗,za'yan'shi
再成短调,zai'cheng'duan'tiao
再加牛肉,zai'jia'niu'rou
早已森严壁垒,zao'yi'sen'yan'bi'lei
则效不违,ze'xiao'bu'wei
怎么得了,zen'me'de'liao
赠丁玲,zeng'ding'ling
赠杨开慧,zeng'yang'kai'hui
炸桥挖路为团结,zha'qiao'wa'lu'wei'tuan'jie
战地黄花分外香,zhan'di'huang'hua'fen'wai'xiang
战贩集团仇美帝,zhan'fan'ji'tuan'chou'mei'di
战锦方为大问题,zhan'jin'fang'wei'da'wen'ti
战士指看南粤,zhan'shi'zhi'kan'nan'yue
战则必胜,zhan'ze'bi'sheng
丈夫何事足萦怀,zhang'fu'he'shi'zu'ying'huai
招待出牢人,zhao'dai'chu'lao'ren
昭告列祖,zhao'gao'lie'zu
照横塘半天残月,zhao'heng'tang'ban'tian'can'yue
阵图开向陇山东,zhen'tu'kai'xiang'long'shan'dong
整饬成性,zheng'chi'cheng'xing
正和前线捷音联,zheng'he'qian'xian'jie'yin'lian
正西风落叶下长安,zheng'xi'feng'luo'ye'xia'chang'an
政治好,zheng'zhi'hao
只把春来报,zhi'ba'chun'lai'bao
纸船明烛照天烧,zhi'chuan'ming'zhu'zhao'tian'shao
指点江山,zhi'dian'jiang'shan
只几个石头磨过,zhi'ji'ge'shi'tou'mo'guo
致彭德怀同志,zhi'peng'de'huai'tong'zhi
置其粗浅,zhi'qi'cu'qian
只识弯弓射大雕,zhi'shi'wan'gong'she'da'diao
知误会前番书语,zhi'wu'hui'qian'fan'shu'yu
直下龙岩上杭,zhi'xia'long'yan'shang'hang
知向谁边,zhi'xiang'shui'bian
只要肯登攀,zhi'yao'ken'deng'pan
只有两端,zhi'you'liang'duan
致于所恨,zhi'yu'suo'hen
只缘妖雾又重来,zhi'yuan'yao'wu'you'zhong'lai
只争朝夕,zhi'zheng'zhao'xi
直指武夷山下,zhi'zhi'wu'yi'shan'xia
踯躅南城隈,zhi'zhu'nan'cheng'wei
重比翼,zhong'bi'yi
中更蹉跌,zhong'geng'cuo'die
中华儿女多奇志,zhong'hua'er'nv'duo'qi'zhi
中华民国二十六年四月五日,zhong'hua'min'guo'er'shi'liu'nian'si'yue'wu'ri
中间万万,zhong'jian'wan'wan
钟山风雨起苍黄,zhong'shan'feng'yu'qi'cang'huang
咒念金箍闻万遍,zhou'nian'jin'gu'wen'wan'bian
诸公碌碌皆余子,zhu'gong'lu'lu'jie'yu'zi
注郭沫若原诗,zhu'guo'mo'ruo'yuan'shi
朱华春不荣,zhu'hua'chun'bu'rong
伫看风行,zhu'kan'feng'xing
猪犹智慧胜愚曹,zhu'you'zhi'hui'sheng'yu'cao
装点此关山,zhuang'dian'ci'guan'shan
壮志也无违,zhuang'zhi'ye'wu'wei
涿鹿奋战,zhuo'lu'fen'zhan
子期竟早亡,zi'qi'jing'zao'wang
子在川上曰,zi'zai'chuan'shang'yue
总司令朱德,zong'si'ling'zhu'de
总兹所述,zong'zi'suo'shu
奏技,zou'ji
最喜诗人高唱至,zui'xi'shi'ren'gao'chang'zhi
尊前谈笑人依旧,zun'qian'tan'xiao'ren'yi'jiu
坐地日行八千里,zuo'di'ri'xing'ba'qian'li
昨天文小姐,zuo'tian'wen'xiao'jie
