阿谁扶上马,a'shui'fu'shang'ma
放龙溪水傍,fang'long'xi'shui'bang
芳名动千古,fang'ming'dong'qian'gu
方能解四愁,fang'neng'jie'si'chou
方念清宵宴,fang'nian'qing'xiao'yan
芳年乐京国,fang'nian'yue'jing'guo
方起北风愁,fang'qi'bei'feng'chou
方期九日聚,fang'qi'jiu'ri'ju
方期事远公,fang'qi'shi'yuan'gong
访人留后信,fang'ren'liu'hou'xin
方如昨日别,fang'ru'zuo'ri'bie
放神遗所拘,fang'shen'yi'suo'ju
防身辄控弦,fang'shen'zhe'kong'xian
芳声腾海隅,fang'sheng'teng'hai'yu
芳声闻帝畿,fang'sheng'wen'di'ji
芳时去已空,fang'shi'qu'yi'kong
方士因知道欲成,fang'shi'yin'zhi'dao'yu'cheng
芳时坐离散,fang'shi'zuo'li'san
放书辍剑思高堂,fang'shu'chuo'jian'si'gao'tang
芳树笼秦栈,fang'shu'long'qin'zhan
芳树有行列,fang'shu'you'hang'lie
芳树自妍芳,fang'shu'zi'yan'fang
方朔见明主,fang'shuo'jian'ming'zhu
方思结茅地,fang'si'jie'mao'di
方随水向山,fang'sui'shui'xiang'shan
方随五云去,fang'sui'wu'yun'qu
方塘似镜草芊芊,fang'tang'si'jing'cao'qian'qian
方瞳好容颜,fang'tong'hao'rong'yan
方同沃洲去,fang'tong'wo'zhou'qu
房帷即灵帐,fang'wei'ji'ling'zhang
访我来琼都,fang'wo'lai'qiong'dou
访我三千里,fang'wo'san'qian'li
方希炼金骨,fang'xi'lian'jin'gu
方希佐明主,fang'xi'zuo'ming'zhu
芳香润金石,fang'xiang'run'jin'shi
芳香与时息,fang'xiang'yu'shi'xi
芳心空自持,fang'xin'kong'zi'chi
放心散漫知何在,fang'xin'san'man'zhi'he'zai
芳筵下客叨,fang'yan'xia'ke'dao
方以岁月旧,fang'yi'sui'yue'jiu
方以玄默处,fang'yi'xuan'mo'chu
访隐同元君,fang'yin'tong'yuan'jun
方用忧人瘼,fang'yong'you'ren'mo
访友多成滞,fang'you'duo'cheng'zhi
方与紫霞升,fang'yu'zi'xia'sheng
芳园罢乐游,fang'yuan'ba'le'you
芳园掩夕扉,fang'yuan'yan'xi'fei
芳园知夕燕,fang'yuan'zhi'xi'yan
芳月相思阻一杯,fang'yue'xiang'si'zu'yi'bei
方丈留僧共听琴,fang'zhang'liu'seng'gong'ting'qin
方轸故物念,fang'zhen'gu'wu'nian
方知大藩地,fang'zhi'da'fan'di
方知黄鹤举,fang'zhi'huang'he'ju
方知岁星改,fang'zhi'sui'xing'gai
方知仙子宅,fang'zhi'xian'zi'zhai
方知行路难,fang'zhi'xing'lu'nan
方知一玉真,fang'zhi'yi'yu'zhen
方舟趁朝谒,fang'zhou'chen'chao'ye
芳洲却已转,fang'zhou'que'yi'zhuan
方舟未得行,fang'zhou'wei'de'xing
方舟已解维,fang'zhou'yi'jie'wei
芳洲之树何青青,fang'zhou'zhi'shu'he'qing'qing
访子高阳宅,fang'zi'gao'yang'zhai
芳踪阙宾筵,fang'zong'que'bin'yan
非病亦迟回,fei'bing'yi'chi'hui
飞步登云车,fei'bu'deng'yun'che
飞步凌绝顶,fei'bu'ling'jue'ding
非才长作客,fei'cai'chang'zuo'ke
非才果不容,fei'cai'guo'bu'rong
飞沉失相从,fei'chen'shi'xiang'cong
飞驰自豪雄,fei'chi'zi'hao'xiong
翡翠黄金缕,fei'cui'huang'jin'lv
翡翠锦屏中,fei'cui'jin'ping'zhong
翡翠为楼金作梯,fei'cui'wei'lou'jin'zuo'ti
非当远别离,fei'dang'yuan'bie'li
飞到草堂前,fei'dao'cao'tang'qian
飞堕酒楼前,fei'duo'jiu'lou'qian
飞飞凌太清,fei'fei'ling'tai'qing
霏霏飒飒重还轻,fei'fei'sa'sa'chong'huan'qing
非逢暴公子,fei'feng'bao'gong'zi
匪风不扬,fei'feng'bu'yang
非夫长作客,fei'fu'chang'zuo'ke
飞凫从西来,fei'fu'cong'xi'lai
非复旧来心,fei'fu'jiu'lai'xin
非敢和幽兰,fei'gan'he'you'lan
非敢应同声,fei'gan'ying'tong'sheng
飞阁蝉鸣早,fei'ge'chan'ming'zao
飞阁凌上清,fei'ge'ling'shang'qing
飞阁凌太虚,fei'ge'ling'tai'xu
非关春不待,fei'guan'chun'bu'dai
非关故山远,fei'guan'gu'shan'yuan
非关后桃李,fei'guan'hou'tao'li
非关口腹累,fei'guan'kou'fu'lei
飞观齐白日,fei'guan'qi'bai'ri
非关宋玉悲,fei'guan'song'yu'bei
非关选地偏,fei'guan'xuan'di'pian
非关御沟上,fei'guan'yu'gou'shang
飞鸿辞北溟,fei'hong'ci'bei'ming
飞花入户笑床空,fei'hua'ru'hu'xiao'chuang'kong
飞花送酒舞前檐,fei'hua'song'jiu'wu'qian'yan
飞剑决浮云,fei'jian'jue'fu'yun
飞笺络绎奏明主,fei'jian'luo'yi'zou'ming'zhu
非将会面目,fei'jiang'hui'mian'mu
非将握中宝,fei'jiang'wo'zhong'bao
非今独黯然,fei'jin'du'an'ran
废井苍苔积,fei'jing'cang'tai'ji
废井曾未竭,fei'jing'ceng'wei'jie
废井虫鸣早,fei'jing'chong'ming'zao
非君不可释,fei'jun'bu'ke'shi
废君多少才,fei'jun'duo'shao'cai
非君好事者,fei'jun'hao'shi'zhe
非君谁为欢,fei'jun'shui'wei'huan
飞空结楼台,fei'kong'jie'lou'tai
飞来碧云端,fei'lai'bi'yun'duan
飞流洒绝巘,fei'liu'sa'jue'yan
飞流直下三千尺,fei'liu'zhi'xia'san'qian'chi
飞落南溟去,fei'luo'nan'ming'qu
飞萝摇春烟,fei'luo'yao'chun'yan
飞鸣苦难闻,fei'ming'ku'nan'wen
飞鸣天上来,fei'ming'tian'shang'lai
飞鸟还旧巢,fei'niao'hai'jiu'chao
飞辔河洛间,fei'pei'he'luo'jian
飞蓬鬓少梳,fei'peng'bin'shao'shu
飞蓬各自远,fei'peng'ge'zi'yuan
飞禽虽失树,fei'qin'sui'shi'shu
飞去身莫返,fei'qu'shen'mo'fan
飞泉挂碧峰,fei'quan'gua'bi'feng
飞桡截岸长,fei'rao'jie'an'chang
匪人等鸿毛,fei'ren'deng'hong'mao
飞刃争割鲜,fei'ren'zheng'ge'xian
飞入君家彩屏里,fei'ru'jun'jia'cai'ping'li
沸声常活活,fei'sheng'chang'huo'huo
飞声塞天衢,fei'sheng'sai'tian'qu
飞声向远空,fei'sheng'xiang'yuan'kong
非时妒桃李,fei'shi'du'tao'li
非时将安适,fei'shi'jiang'an'shi
非是接舆狂,fei'shi'jie'yu'kuang
非是看花期,fei'shi'kan'hua'qi
非是强沾衣,fei'shi'qiang'zhan'yi
飞书走檄如飘风,fei'shu'zou'xi'ru'piao'feng
飞霜早淅沥,fei'shuang'zao'xi'li
飞梯绿云中,fei'ti'lv'yun'zhong
飞湍鸣金石,fei'tuan'ming'jin'shi
霏微雨带风,fei'wei'yu'dai'feng
飞文何洒落,fei'wen'he'sa'luo
非无胸中画,fei'wu'xiong'zhong'hua
飞向白楼前,fei'xiang'bai'lou'qian
废巷临秋水,fei'xiang'lin'qiu'shui
废兴虽万变,fei'xing'sui'wan'bian
飞絮触帘旌,fei'xu'chu'lian'jing
飞雪暗荆门,fei'xue'an'jing'men
匪学不彰,fei'xue'bu'zhang
飞雪迷胡天,fei'xue'mi'hu'tian
飞燕与君同,fei'yan'yu'jun'tong
飞燕在昭阳,fei'yan'zai'zhao'yang
飞燕昭阳侍寝回,fei'yan'zhao'yang'shi'qin'hui
非邀青史名,fei'yao'qing'shi'ming
飞萤卷帘入,fei'ying'juan'lian'ru
飞猿啸密林,fei'yuan'xiao'mi'lin
飞在白云端,fei'zai'bai'yun'duan
飞章奏天庭,fei'zhang'zou'tian'ting
飞者莫我顾,fei'zhe'mo'wo'gu
飞珠散轻霞,fei'zhu'san'qing'xia
沸珠跃明月,fei'zhu'yue'ming'yue
飞作紫鸳鸯,fei'zuo'zi'yuan'yang
粉壁为空天,fen'bi'wei'kong'tian
分彩上楼长,fen'cai'shang'lou'chang
分曹赌酒酣驰辉,fen'cao'du'jiu'han'chi'hui
分此欢会难,fen'ci'huan'hui'nan
粉堞连青气,fen'die'lian'qing'qi
分飞楚关山水遥,fen'fei'chu'guan'shan'shui'yao
分飞黄鹤楼,fen'fei'huang'he'lou
纷纷江上雪,fen'fen'jiang'shang'xue
纷纷皆是掖垣花,fen'fen'jie'shi'ye'yuan'hua
纷纷乱若丝,fen'fen'luan'ruo'si
纷纷轻汉暮,fen'fen'qing'han'mu
纷纷入酒杯,fen'fen'ru'jiu'bei
纷纷死黄埃,fen'fen'si'huang'ai
纷纷正满空,fen'fen'zheng'man'kong
芬馥茝兰蕤,fen'fu'chai'lan'rui
分符袭宠荣,fen'fu'xi'chong'rong
分行临曲沼,fen'hang'lin'qu'zhao
分毫寄明牧,fen'hao'ji'ming'mu
分黄成细蕊,fen'huang'cheng'xi'rui
分辉照雪崖,fen'hui'zhao'xue'ya
分浇宋玉田,fen'jiao'song'yu'tian
汾沮何鄙俭,fen'ju'he'bi'jian
奋烈自有时,fen'lie'zi'you'shi
分流几千里,fen'liu'ji'qian'li
粉落空床弃,fen'luo'kong'chuang'qi
分明避暑时,fen'ming'bi'shu'shi
分明感激眼前事,fen'ming'gan'ji'yan'qian'shi
分明画相似,fen'ming'hua'xiang'si
分明识行路,fen'ming'shi'xing'lu
分明似写文君恨,fen'ming'si'xie'wen'jun'hen
分明天上日,fen'ming'tian'shang'ri
分明谢时人,fen'ming'xie'shi'ren
分贫必及疏,fen'pin'bi'ji'shu
分栖琼树枝,fen'qi'qiong'shu'zhi
芬其荣斯,fen'qi'rong'si
焚却子猷船,fen'que'zi'you'chuan
芬荣何夭促,fen'rong'he'yao'cu
分散各西东,fen'san'ge'xi'dong
粉色艳日彩,fen'se'yan'ri'cai
汾上又经过,fen'shang'you'jing'guo
分手各千里,fen'shou'ge'qian'li
分手更何言,fen'shou'geng'he'yan
分手恋朋情,fen'shou'lian'peng'qing
分守若鱼丽,fen'shou'ruo'yu'li
分手脱相赠,fen'shou'tuo'xiang'zeng
纷思终难整,fen'si'zhong'nan'zheng
分亭驿骑催,fen'ting'yi'qi'cui
粉图珍裘五云色,fen'tu'zhen'qiu'wu'yun'se
分我一杯羹,fen'wo'yi'bei'geng
纷吾成独往,fen'wu'cheng'du'wang
纷吾感耆旧,fen'wu'gan'qi'jiu
氛雾行当扫,fen'wu'hang'dang'sao
纷吾下兹岭,fen'wu'xia'zi'ling
纷吾远游意,fen'wu'yuan'you'yi
焚香布瑶席,fen'xiang'bu'yao'xi
分香更有情,fen'xiang'geng'you'qing
焚香居一室,fen'xiang'ju'yi'shi
焚香满空虚,fen'xiang'man'kong'xu
焚香入兰台,fen'xiang'ru'lan'tai
焚香使玉童,fen'xiang'shi'yu'tong
焚香宿华顶,fen'xiang'su'hua'ding
焚香洗钵过馀生,fen'xiang'xi'bo'guo'yu'sheng
焚香欲使三清鸟,fen'xiang'yu'shi'san'qing'niao
分野入青州,fen'ye'ru'qing'zhou
氛氲亘百里,fen'yun'gen'bai'li
氛氲丽层甍,fen'yun'li'ceng'meng
氛氲岘首夕,fen'yun'xian'shou'xi
焚之买虚声,fen'zhi'mai'xu'sheng
焚之扬其灰,fen'zhi'yang'qi'hui
焚之已成灰,fen'zhi'yi'cheng'hui
分竹守南谯,fen'zhu'shou'nan'qiao
风悲猿啸苦,feng'bei'yuan'xiao'ku
风波浩难止,feng'bo'hao'nan'zhi
风波离思满,feng'bo'li'si'man
风波厌苦辛,feng'bo'yan'ku'xin
风波朝夕远,feng'bo'zhao'xi'yuan
风潮泊岛滨,feng'chao'bo'dao'bin
风潮殊未央,feng'chao'shu'wei'yang
风潮争汹涌,feng'chao'zheng'xiong'yong
风尘不觉化缁衣,feng'chen'bu'jue'hua'zi'yi
风尘甘独老,feng'chen'gan'du'lao
风尘满路起,feng'chen'man'lu'qi
风尘萧瑟多苦颜,feng'chen'xiao'se'duo'ku'yan
风尘厌洛京,feng'chen'yan'luo'jing
风尘游上路,feng'chen'you'shang'lu
奉酬处士叔见示,feng'chou'chu'shi'shu'jian'shi
凤雏终食竹,feng'chu'zhong'shi'zhu
风传碧树凉,feng'chuan'bi'shu'liang
风吹城上树,feng'chui'cheng'shang'shu
风吹芳兰折,feng'chui'fang'lan'zhe
风吹挂竹谿,feng'chui'gua'zhu'ji
风吹柳花满店香,feng'chui'liu'hua'man'dian'xiang
风吹绿琴去,feng'chui'lv'qin'qu
凤吹绕瀛洲,feng'chui'rao'ying'zhou
风吹绕钟山,feng'chui'rao'zhong'shan
风吹沙海雪,feng'chui'sha'hai'xue
凤吹我时来,feng'chui'wo'shi'lai
风吹西到长安陌,feng'chui'xi'dao'chang'an'mo
风吹晓漏经长乐,feng'chui'xiao'lou'jing'chang'le
凤吹转绵邈,feng'chui'zhuan'mian'miao
逢春解惜春,feng'chun'jie'xi'chun
逢春喜又悲,feng'chun'xi'you'bei
逢春犹不死,feng'chun'you'bu'si
逢此北风秋,feng'ci'bei'feng'qiu
逢此织罗,feng'ci'zhi'luo
风从垂处度,feng'cong'chui'chu'du
风摧寒棕响,feng'cui'han'zong'xiang
逢崔侍御,feng'cui'shi'yu
风带旧寒来,feng'dai'jiu'han'lai
风澹意伤春,feng'dan'yi'shang'chun
风动荷花水殿香,feng'dong'he'hua'shui'dian'xiang
风度几惊人,feng'du'ji'jing'ren
奉恩谬符竹,feng'en'miu'fu'zhu
风帆茫茫隔河洲,feng'fan'mang'mang'ge'he'zhou
风帆明日远,feng'fan'ming'ri'yuan
凤飞九千仞,feng'fei'jiu'qian'ren
逢风燕不定,feng'feng'yan'bu'ding
风高初选将,feng'gao'chu'xuan'jiang
风高云梦夕,feng'gao'yun'meng'xi
凤歌笑孔丘,feng'ge'xiao'kong'qiu
丰功利生人,feng'gong'li'sheng'ren
凤孤飞而无邻,feng'gu'fei'er'wu'lin
风骨又清羸,feng'gu'you'qing'lei
风光和暖胜三秦,feng'guang'he'nuan'sheng'san'qin
风光去处满笙歌,feng'guang'qu'chu'man'sheng'ge
风光山郡少,feng'guang'shan'jun'shao
风过御苑清,feng'guo'yu'yuan'qing
风荷左右披,feng'he'zuo'you'pi
风胡灭已久,feng'hu'mie'yi'jiu
逢花莫漫折,feng'hua'mo'man'zhe
凤凰不至河无图,feng'huang'bu'zhi'he'wu'tu
凤凰初下紫泥诏,feng'huang'chu'xia'zi'ni'zhao
凤凰丹禁里,feng'huang'dan'jin'li
风幌揽轻裯,feng'huang'lan'qing'chou
凤凰去已久,feng'huang'qu'yi'jiu
凤凰宿谁家,feng'huang'su'shui'jia
凤凰虽大圣,feng'huang'sui'da'sheng
凤凰台上凤凰游,feng'huang'tai'shang'feng'huang'you
凤凰为谁来,feng'huang'wei'shui'lai
凤凰忆故池,feng'huang'yi'gu'chi
烽火动沙漠,feng'huo'dong'sha'mo
烽火高飞百尺台,feng'huo'gao'fei'bai'chi'tai
风火何相逼,feng'huo'he'xiang'bi
烽火连朔方,feng'huo'lian'shuo'fang
烽火南飞入汉宫,feng'huo'nan'fei'ru'han'gong
烽火然不息,feng'huo'ran'bu'xi
烽火通蓟门,feng'huo'tong'ji'men
烽火昼连光,feng'huo'zhou'lian'guang
凤饥不啄粟,feng'ji'bu'zhuo'su
凤驾忆王子,feng'jia'yi'wang'zi
封检一丸泥,feng'jian'yi'wan'ni
风截雁嘹唳,feng'jie'yan'liao'li
风景令人愁,feng'jing'ling'ren'chou
风景每生愁,feng'jing'mei'sheng'chou
风静杨柳垂,feng'jing'yang'liu'chui
风卷绕飞梁,feng'juan'rao'fei'liang
逢君发花萼,feng'jun'fa'hua'e
逢君惠连第,feng'jun'hui'lian'di
逢君听弦歌,feng'jun'ting'xian'ge
逢君喜成泪,feng'jun'xi'cheng'lei
逢君一相许,feng'jun'yi'xiang'xu
逢君谪居者,feng'jun'zhe'ju'zhe
逢君自乡至,feng'jun'zi'xiang'zhi
逢君纵酒还,feng'jun'zong'jiu'hai
逢君奏明主,feng'jun'zou'ming'zhu
风开湖山貌,feng'kai'hu'shan'mao
凤苦道路难,feng'ku'dao'lu'nan
凤来何苦饥,feng'lai'he'ku'ji
蜂来造蜜房,feng'lai'zao'mi'fang
风帘不碍凉,feng'lian'bu'ai'liang
风流还与远公齐,feng'liu'hai'yu'yuan'gong'qi
风流贺季真,feng'liu'he'ji'zhen
风流肯落他人后,feng'liu'ken'luo'ta'ren'hou
风流奈若何,feng'liu'nai'ruo'he
风柳入江楼,feng'liu'ru'jiang'lou
风流若未减,feng'liu'ruo'wei'jian
风流少年时,feng'liu'shao'nian'shi
风流随故事,feng'liu'sui'gu'shi
风流天下闻,feng'liu'tian'xia'wen
风流五百年,feng'liu'wu'bai'nian
风流荀氏均,feng'liu'xun'shi'jun
风流在武昌,feng'liu'zai'wu'chang
风流自簸荡,feng'liu'zi'bo'dang
峰峦秀中天,feng'luan'xiu'zhong'tian
风落吴江雪,feng'luo'wu'jiang'xue
凤毛出天姿,feng'mao'chu'tian'zi
风灭籁归寂,feng'mie'lai'gui'ji
风鸣两岸叶,feng'ming'liang'an'ye
奉命乃征行,feng'ming'nai'zheng'xing
奉命宰王畿,feng'ming'zai'wang'ji
凤鸟鸣西海,feng'niao'ming'xi'hai
凤鸟亦下来,feng'niao'yi'xia'lai
风暖百卉舒,feng'nuan'bai'hui'shu
风暖蕙初香,feng'nuan'hui'chu'xiang
风暖烟草绿,feng'nuan'yan'cao'lv
风飘大荒寒,feng'piao'da'huang'han
风飘落日去,feng'piao'luo'ri'qu
枫浦蝉随岸,feng'pu'chan'sui'an
风起塞云断,feng'qi'sai'yun'duan
风期宛如昨,feng'qi'wan'ru'zuo
风起杨花愁杀人,feng'qi'yang'hua'chou'sha'ren
风清长沙浦,feng'qing'chang'sha'pu
凤曲吹应好,feng'qu'chui'ying'hao
凤去台空江自流,feng'qu'tai'kong'jiang'zi'liu
风泉满清听,feng'quan'man'qing'ting
风泉有清音,feng'quan'you'qing'yin
风壤瞻唐本,feng'rang'zhan'tang'ben
逢人关外稀,feng'ren'guan'wai'xi
逢人只欲啼,feng'ren'zhi'yu'ti
风日似长沙,feng'ri'si'chang'sha
风日正宜诗,feng'ri'zheng'yi'shi
丰茸春色好,feng'rong'chun'se'hao
风入松下清,feng'ru'song'xia'qing
风扫石楠花,feng'sao'shi'nan'hua
风沙凄苦颜,feng'sha'qi'ku'yan
风沙日日塞垣人,feng'sha'ri'ri'sai'yuan'ren
风沙自解老红颜,feng'sha'zi'jie'lao'hong'yan
沣上对月,feng'shang'dui'yue
沣上寄幼遐,feng'shang'ji'you'xia
沣上醉题寄涤武,feng'shang'zui'ti'ji'di'wu
风声楚木林,feng'sheng'chu'mu'lin
凤笙龙管行相催,feng'sheng'long'guan'xing'xiang'cui
风声落高树,feng'sheng'luo'gao'shu
凤笙去去无穷已,feng'sheng'qu'qu'wu'qiong'yi
风生松下凉,feng'sheng'song'xia'liang
风生万壑振空林,feng'sheng'wan'he'zhen'kong'lin
峰势入阶轩,feng'shi'ru'jie'xuan
逢时忝一官,feng'shi'tian'yi'guan
奉使推能者,feng'shi'tui'neng'zhe
枫树几回青,feng'shu'ji'hui'qing
枫树猿声报夜秋,feng'shu'yuan'sheng'bao'ye'qiu
风霜摧枝干,feng'shuang'cui'zhi'gan
风霜苦竹疏,feng'shuang'ku'zhu'shu
风霜推独坐,feng'shuang'tui'du'zuo
风霜无久质,feng'shuang'wu'jiu'zhi
风水如见资,feng'shui'ru'jian'zi
风水无定准,feng'shui'wu'ding'zhun
奉送从兄宰晋陵,feng'song'cong'xiong'zai'jin'ling
风俗久已成,feng'su'jiu'yi'cheng
风俗岁时观,feng'su'sui'shi'guan
风俗因时见,feng'su'yin'shi'jian
风俗犹太古,feng'su'you'tai'gu
风随惠化春,feng'sui'hui'hua'chun
逢滩即殢留,feng'tan'ji'ti'liu
风涛倘相见,feng'tao'tang'xiang'jian
风庭鹤翅闲,feng'ting'he'chi'xian
风土至今忆,feng'tu'zhi'jin'yi
风退鹢舟迟,feng'tui'yi'zhou'chi
缝为绝国衣,feng'wei'jue'guo'yi
风温解黑貂,feng'wen'jie'hei'diao
凤无琅玕实,feng'wu'lang'gan'shi
风物殊京国,feng'wu'shu'jing'guo
凤舞欲生风,feng'wu'yu'sheng'feng
风物自潇洒,feng'wu'zi'xiao'sa
风息斜阳尽,feng'xi'xie'yang'jin
风线重难牵,feng'xian'zhong'nan'qian
峰形若夏云,feng'xing'ruo'xia'yun
风雪积深夜,feng'xue'ji'shen'ye
风雪自关东,feng'xue'zi'guan'dong
风雅激颓波,feng'ya'ji'tui'bo
风烟并起思归望,feng'yan'bing'qi'si'gui'wang
风烟接邻里,feng'yan'jie'lin'li
风烟结远恨,feng'yan'jie'yuan'hen
风烟临岘首,feng'yan'lin'xian'shou
风严清江爽,feng'yan'qing'jiang'shuang
逢杨开府,feng'yang'kai'fu
风扬弦管清,feng'yang'xian'guan'qing
风摇松桂香,feng'yao'song'gui'xiang
枫叶落纷纷,feng'ye'luo'fen'fen
枫叶绿未脱,feng'ye'lv'wei'tuo
枫叶早惊秋,feng'ye'zao'jing'qiu
风义未沦替,feng'yi'wei'lun'ti
冯异献赤伏,feng'yi'xian'chi'fu
风引龙虎旗,feng'yin'long'hu'qi
逢迎多约略,feng'ying'duo'yue'lue
逢迎人易合,feng'ying'ren'yi'he
风雨劳相思,feng'yu'lao'xiang'si
凤与鸾俱啼,feng'yu'luan'ju'ti
风雨飘海气,feng'yu'piao'hai'qi
风雨飘茅屋,feng'yu'piao'mao'wu
风雨洒轻絺,feng'yu'sa'qing'chi
风雨吴门夜,feng'yu'wu'men'ye
风雨在前山,feng'yu'zai'qian'shan
风月不相闻,feng'yue'bu'xiang'wen
风月长相知,feng'yue'chang'xiang'zhi
风云何霮,feng'yun'he'dan
风云何足论,feng'yun'he'zu'lun
风云激壮志,feng'yun'ji'zhuang'zhi
风云四海生,feng'yun'si'hai'sheng
风韵逸江左,feng'yun'yi'jiang'zuo
风云已落秋,feng'yun'yi'luo'qiu
峰嶂亦冥密,feng'zhang'yi'ming'mi
凤诏裁多暇,feng'zhao'cai'duo'xia
凤沼鸣珂已讶迟,feng'zhao'ming'ke'yi'ya'chi
峰峥嵘以路绝,feng'zheng'rong'yi'lu'jue
风止客帆收,feng'zhi'ke'fan'shou
封植因高兴,feng'zhi'yin'gao'xing
风中兰靡靡,feng'zhong'lan'mi'mi
风中闻草木,feng'zhong'wen'cao'mu
逢舟或借风,feng'zhou'huo'jie'feng
枫竹暗停神,feng'zhu'an'ting'shen
逢子亦在野,feng'zi'yi'zai'ye
佛刹出高树,fo'sha'chu'gao'shu
襆被蹉跎老江国,fu'bei'cuo'tuo'lao'jiang'guo
覆被恩难报,fu'bei'en'nan'bao
抚背复谁怜,fu'bei'fu'shui'lian
复悲高秋月,fu'bei'gao'qiu'yue
抚背惊神聪,fu'bei'jing'shen'cong
浮杯上巳筵,fu'bei'shang'si'yan
浮杯兴十旬,fu'bei'xing'shi'xun
拂彼白石,fu'bi'bai'shi
斧冰河畔汲朝浆,fu'bing'he'pan'ji'chao'jiang
斧冰嗽寒泉,fu'bing'sou'han'quan
伏波惟愿裹尸还,fu'bo'wei'yuan'guo'shi'hai
伏波箫鼓水云中,fu'bo'xiao'gu'shui'yun'zhong
复宠乐游行,fu'chong'le'you'xing
鄜畤年多草自生,fu'chou'nian'duo'cao'zi'sheng
拂床苍鼠走,fu'chuang'cang'shu'zou
复此对床眠,fu'ci'dui'chuang'mian
凫茨俭岁储,fu'ci'jian'sui'chu
复此亲懿会,fu'ci'qin'yi'hui
拂此西日光,fu'ci'xi'ri'guang
复此休浣时,fu'ci'xiu'huan'shi
复此一衔觞,fu'ci'yi'xian'shang
赋达身已老,fu'da'shen'yi'lao
复当还归池,fu'dang'hai'gui'chi
复道朝天赴玉京,fu'dao'chao'tian'fu'yu'jing
复道殊方礼,fu'dao'shu'fang'li
复道瓮头清,fu'dao'weng'tou'qing
复道浊如贤,fu'dao'zhuo'ru'xian
赋得白鹭鸶,fu'de'bai'lu'si
赋得鼎门,fu'de'ding'men
赋得浮云起离色,fu'de'fu'yun'qi'li'se
赋得浣纱石,fu'de'huan'sha'shi
赋得暮雨,fu'de'mu'yu
赋得沙际路,fu'de'sha'ji'lu
复得王母心,fu'de'wang'mu'xin
拂地青丝嫩,fu'di'qing'si'nen
覆地无人满寺风,fu'di'wu'ren'man'si'feng
抚顶弄盘古,fu'ding'nong'pan'gu
复洞潜栖燕,fu'dong'qian'qi'yan
复睹开元日,fu'du'kai'yuan'ri
跗萼载韡,fu'e'zai'wei
拂尔裘上霜,fu'er'qiu'shang'shuang
赋繁属军兴,fu'fan'shu'jun'xing
傅粉何郎不解愁,fu'fen'he'lang'bu'jie'chou
扶风豪士歌,fu'feng'hao'shi'ge
扶风豪士天下奇,fu'feng'hao'shi'tian'xia'qi
馥馥若兰芳,fu'fu'ruo'lan'fang
浮光向日明,fu'guang'xiang'ri'ming
富贵安可求,fu'gui'an'ke'qiu
富贵百年能几何,fu'gui'bai'nian'neng'ji'he
富贵翻相忘,fu'gui'fan'xiang'wang
富贵非所愿,fu'gui'fei'suo'yuan
富贵故如此,fu'gui'gu'ru'ci
富贵良可取,fu'gui'liang'ke'qu
富贵日成疏,fu'gui'ri'cheng'shu
富贵未可期,fu'gui'wei'ke'qi
富贵吾自取,fu'gui'wu'zi'qu
富贵与神仙,fu'gui'yu'shen'xian
负郭昔云翳,fu'guo'xi'yun'yi
赴海输微涓,fu'hai'shu'wei'juan
富豪虞兴戎,fu'hao'yu'xing'rong
拂花弄琴坐青苔,fu'hua'nong'qin'zuo'qing'tai
浮淮一雁秋,fu'huai'yi'yan'qiu
抚己忽自笑,fu'ji'hu'zi'xiao
抚几空叹息,fu'ji'kong'tan'xi
复寄满瓢去,fu'ji'man'piao'qu
苻坚百万众,fu'jian'bai'wan'zhong
复兼夫子持清论,fu'jian'fu'zi'chi'qing'lun
拂剑金星出,fu'jian'jin'xing'chu
抚剑夜吟啸,fu'jian'ye'yin'xiao
抚剑增感慨,fu'jian'zeng'gan'kai
拂剑照严霜,fu'jian'zhao'yan'shuang
拂剑坐长叹,fu'jian'zuo'chang'tan
复将落叶并,fu'jiang'luo'ye'bing
拂尽五松山,fu'jin'wu'song'shan
俯惊鬓已衰,fu'jing'bin'yi'shuai
拂镜沧江流,fu'jing'cang'jiang'liu
抚酒惜此月,fu'jiu'xi'ci'yue
抚卷不胜悲,fu'juan'bu'sheng'bei
俯觉座隅空,fu'jue'zuo'yu'kong
夫君弄明月,fu'jun'nong'ming'yue
夫君又离别,fu'jun'you'li'bie
伏槛观群峰,fu'kan'guan'qun'feng
伏槛窥东暝,fu'kan'kui'dong'ming
复理西斋,fu'li'xi'zhai
伏炼九丹成,fu'lian'jiu'dan'cheng
府僚能枉驾,fu'liao'neng'wang'jia
俯临沧海大,fu'lin'cang'hai'da
俯临宛水湄,fu'lin'wan'shui'mei
伏流回弱荇,fu'liu'hui'ruo'xing
俯念忽已周,fu'nian'hu'yi'zhou
富年颇惆怅,fu'nian'po'chou'chang
抚念益慈柔,fu'nian'yi'ci'rou
妇女马上笑,fu'nv'ma'shang'xiao
妇女无华色,fu'nv'wu'hua'se
覆盆倘举,fu'pen'tang'ju
浮萍失绿水,fu'ping'shi'lv'shui
复憩金沙泉,fu'qi'jin'sha'quan
负气蔑诸生,fu'qi'mie'zhu'sheng
俯砌披水容,fu'qi'pi'shui'rong
俯砌视归翼,fu'qi'shi'gui'yi
抚琴发长嗟,fu'qin'fa'chang'jie
拂琴听霜猿,fu'qin'ting'shuang'yuan
服勤在微力,fu'qin'zai'wei'li
