阿鹤,a'he
上官寻命,shang'guan'xun'ming
上官知礼,shang'guan'zhi'li
少陵御史,shao'ling'yu'shi
韶云,shao'yun
赦生童子,she'sheng'tong'zi
舍一仇,she'yi'chou
摄元鬼童,she'yuan'gui'tong
神藏绘马,shen'cang'hui'ma
神鹤佐木,shen'he'zuo'mu
神剑天狗,shen'jian'tian'gou
神堪鬼斋,shen'kan'gui'zhai
神魁战武,shen'kui'zhan'wu
神秘女郎,shen'mi'nv'lang
审判者,shen'pan'zhe
申屠东流,shen'tu'dong'liu
神武侯,shen'wu'hou
神无月,shen'wu'yue
神枭,shen'xiao
神鹰眼七,shen'ying'yan'qi
神渊佛者,shen'yuan'fo'zhe
圣不贤,sheng'bu'xian
圣定,sheng'ding
圣法,sheng'fa
圣夫子,sheng'fu'zi
圣慧,sheng'hui
圣母,sheng'mu
笙少乐,sheng'shao'le
圣昙岚赫,sheng'tan'lan'he
圣贤诸,sheng'xian'zhu
圣阎罗,sheng'yan'luo
圣耀刀赏,sheng'yao'dao'shang
圣知,sheng'zhi
圣踪,sheng'zong
释丹凤,shi'dan'feng
释非真,shi'fei'zhen
蚀鬼,shi'gui
师九如,shi'jiu'ru
十九爷,shi'jiu'ye
尸老,shi'lao
识玲珑,shi'ling'long
石面人,shi'mian'ren
识能龙,shi'neng'long
十念僧,shi'nian'seng
石盘,shi'pan
识三世,shi'san'shi
嗜杀者,shi'sha'zhe
嗜生伽罗,shi'sheng'jia'luo
石天王,shi'tian'wang
释童老,shi'tong'lao
誓无回,shi'wu'hui
释无念,shi'wu'nian
释云生,shi'yun'sheng
识中玄,shi'zhong'xuan
守墓人,shou'mu'ren
蜀道行,shu'dao'xing
疏楼龙宿,shu'lou'long'su
舒石公,shu'shi'gong
叔夜衣,shu'ye'yi
帅轻皇,shuai'qing'huang
双龙背,shuang'long'bei
双驼峰,shuang'tuo'feng
死卜阴帖,si'bu'yin'tie
四寸灵奴,si'cun'ling'nu
四寸奇迹,si'cun'qi'ji
四方僧,si'fang'seng
四非凡人,si'fei'fan'ren
四分之三,si'fen'zhi'san
死海冰魔,si'hai'bing'mo
四界僧,si'jie'seng
司马剑秋,si'ma'jian'qiu
司马无悔,si'ma'wu'hui
司命拘役使,si'ming'ju'yi'shi
司权,si'quan
司徒恨,si'tu'hen
四无君,si'wu'jun
司烨,si'ye
苏安,su'an
素还真,su'huan'zhen
苏苓,su'ling
宿文馗,su'wen'kui
素续缘,su'xu'yuan
宿夜,su'ye
肃羽傩叶,su'yu'nuo'ye
岁月刀痕,sui'yue'dao'hen
孙能者,sun'neng'zhe
太慈心,tai'ci'xin
泰逢,tai'feng
太公法,tai'gong'fa
太黄君,tai'huang'jun
太瘦生,tai'shou'sheng
太尉,tai'wei
太阳女,tai'yang'nv
太原古人,tai'yuan'gu'ren
贪杯买醉人,tan'bei'mai'zui'ren
谈无欲,tan'wu'yu
唐龙剑云,tang'long'jian'yun
陶偶,tao'ou
饕餮,tao'tie
陶朱朱,tao'zhu'zhu
螣邪郎,teng'xie'lang
腾虚,teng'xu
禔摩,ti'mo
缇娃,ti'wa
天残武祖,tian'can'wu'zu
天草二十六,tian'cao'er'shi'liu
天策真龙,tian'ce'zhen'long
天都绶衣使,tian'du'shou'yi'shi
天祸妖狐,tian'huo'yao'hu
天忌,tian'ji
天来眼,tian'lai'yan
天理老人,tian'li'lao'ren
天罗寐影,tian'luo'mei'ying
天魔,tian'mo
田乔,tian'qiao
天人文殊,tian'ren'wen'shu
天始无极,tian'shi'wu'ji
天险刀藏,tian'xian'dao'cang
天象大如,tian'xiang'da'ru
天章圣儒,tian'zhang'sheng'ru
天之翼,tian'zhi'yi
天座,tian'zuo
铁常奂,tie'chang'huan
铁峰原,tie'feng'yuan
铁十三,tie'shi'san
童冷,tong'leng
桐文剑儒,tong'wen'jian'ru
童颜未老人,tong'yan'wei'lao'ren
通瑶池,tong'yao'chi
吞佛童子,tun'fo'tong'zi
拓落孤影,tuo'luo'gu'ying
拓落我流,tuo'luo'wo'liu
万钧势,wan'jun'shi
万里云枭,wan'li'yun'xiao
万缕丝,wan'lv'si
万魔天指,wan'mo'tian'zhi
晚曲悲宵,wan'qu'bei'xiao
万烛公,wan'zhu'gong
忘残年,wang'can'nian
忘魂人,wang'hun'ren
亡命之花,wang'ming'zhi'hua
忘年,wang'nian
忘千岁,wang'qian'sui
往世道君,wang'shi'dao'jun
望天客,wang'tian'ke
王隐,wang'yin
望月天狼,wang'yue'tian'lang
王云,wang'yun
威临子,wei'lin'zi
未情天,wei'qing'tian
维特,wei'te
卫无私,wei'wu'si
文聱傩叶,wen'ao'nuo'ye
文不通,wen'bu'tong
问琵琶,wen'pi'pa
闻人千秋,wen'ren'qian'qiu
问死官,wen'si'guan
问天敌,wen'tian'di
问天谴,wen'tian'qian
文中子,wen'zhong'zi
文字春,wen'zi'chun
卧江子,wo'jiang'zi
卧九案,wo'jiu'an
卧龙行,wo'long'xing
卧雪刀,wo'xue'dao
卧云先生,wo'yun'xian'sheng
五瓣椿,wu'ban'chun
无不爱,wu'bu'ai
无肠,wu'chang
武痴,wu'chi
无悼一人庸,wu'dao'yi'ren'yong
无垢尊者,wu'gou'zun'zhe
雾谷老人,wu'gu'lao'ren
武皇,wu'huang
无忌天子,wu'ji'tian'zi
武奎风,wu'kui'feng
无量佛尊,wu'liang'fo'zun
无亮先生,wu'liang'xian'sheng
巫六奇,wu'liu'qi
武罗,wu'luo
无名,wu'ming
巫祈,wu'qi
无情丝,wu'qing'si
无人爱,wu'ren'ai
五色妖姬,wu'se'yao'ji
武氏部,wu'shi'bu
吾太蚣,wu'tai'gong
五通先生,wu'tong'xian'sheng
巫觋,wu'xi
舞先姬,wu'xian'ji
武咸尊,wu'xian'zun
五行陀,wu'xing'tuo
舞造论,wu'zao'lun
西城风流子,xi'cheng'feng'liu'zi
希恩,xi'en
西酆残雪,xi'feng'can'xue
吸魂妖蛉,xi'hun'yao'ling
西蒙,xi'meng
袭灭天来,xi'mie'tian'lai
戏奴,xi'nu
悉陀界,xi'tuo'jie
西无君,xi'wu'jun
西枭,xi'xiao
西洋女剑客,xi'yang'nv'jian'ke
夏平阳,xia'ping'yang
夏雪河童,xia'xue'he'tong
咸通,xian'tong
香馡蝮离,xiang'fei'fu'li
香罗,xiang'luo
向日斜,xiang'ri'xie
向天借命,xiang'tian'jie'ming
骧驖,xiang'tie
笑风尘,xiao'feng'chen
小还真,xiao'hai'zhen
小红,xiao'hong
小鸿胪,xiao'hong'lu
小猴,xiao'hou
销魂夜媚,xiao'hun'ye'mei
啸狼王,xiao'lang'wang
啸千军,xiao'qian'jun
萧瑟春秋,xiao'se'chun'qiu
孝文,xiao'wen
小无欲,xiao'wu'yu
潇湘子,xiao'xiang'zi
潇潇,xiao'xiao
逍遥子,xiao'yao'zi
骁易,xiao'yi
萧振岳,xiao'zhen'yue
箫中剑,xiao'zhong'jian
萧竹盈,xiao'zhu'ying
邪帝,xie'di
邪卷杀魂,xie'juan'sha'hun
邪轮双子,xie'lun'shuang'zi
邪神,xie'shen
邪眼飞踪,xie'yan'fei'zong
邪影,xie'ying
邪之子,xie'zhi'zi
心残,xin'can
心弦,xin'xian
醒恶者,xing'e'zhe
星光,xing'guang
刑天,xing'tian
行天师,xing'tian'shi
刑天师,xing'tian'shi
星野残红,xing'ye'can'hong
凶流道,xiong'liu'dao
凶瞳,xiong'tong
修罗邪子,xiu'luo'xie'zi
绣墨氏叶,xiu'mo'shi'ye
修万年,xiu'wan'nian
修真,xiu'zhen
虚无,xu'wu
虚无僧,xu'wu'seng
徐行,xu'xing
玄掣锖叶,xuan'che'qiang'ye
旋玑子,xuan'ji'zi
旋空疾鹰,xuan'kong'ji'ying
玄武真主,xuan'wu'zhen'zhu
旋弋女,xuan'yi'nv
轩辕不败,xuan'yuan'bu'bai
玄真君,xuan'zhen'jun
薛长风,xue'chang'feng
薛厝边,xue'cuo'bian
血断机,xue'duan'ji
血玲珑,xue'ling'long
血灵魔尊,xue'ling'mo'zun
血漠怪医,xue'mo'guai'yi
雪飘染,xue'piao'ran
血霜剪,xue'shuang'jian
血途舞首,xue'tu'wu'shou
血吻蝶,xue'wen'die
雪鸦,xue'ya
血眼沙陀,xue'yan'sha'tuo
血阳子,xue'yang'zi
熏池,xun'chi
驯刀者,xun'dao'zhe
巽命,xun'ming
哑残怨女,ya'can'yuan'nv
雅瑟风流,ya'se'feng'liu
睚眦,ya'zi
掩薄命,yan'bo'ming
雁穿云,yan'chuan'yun
阎达,yan'da
晏定邦,yan'ding'bang
燕飞虹,yan'fei'hong
燕非青,yan'fei'qing
颜贯丘,yan'guan'qiu
燕归人,yan'gui'ren
炎熇兵燹,yan'he'bing'xian
烟花客,yan'hua'ke
晏君临,yan'jun'lin
炎灵子,yan'ling'zi
阎罗相,yan'luo'xiang
阎魔旱魃,yan'mo'han'ba
言倾城,yan'qing'cheng
掩日光,yan'ri'guang
阎尸缸,yan'shi'gang
岩堂将军,yan'tang'jiang'jun
焰武煞,yan'wu'sha
晏虚子,yan'xu'zi
偃云溪,yan'yun'xi
燕子丹,yan'zi'dan
养尸子,yang'shi'zi
扬赞傩叶,yang'zan'nuo'ye
妖地藏,yao'di'zang
妖后,yao'hou
妖嫇姥,yao'meng'lao
妖嫫姥,yao'mo'lao
瑶琴巧韵,yao'qin'qiao'yun
夜岸鬼僧,ye'an'gui'seng
夜重生,ye'chong'sheng
也呆,ye'dai
野胡儿,ye'hu'er
夜慧白庸,ye'hui'bai'yong
业火红莲,ye'huo'hong'lian
耶赖八识,ye'lai'ba'shi
耶黎女神,ye'li'nv'shen
夜凌,ye'ling
夜魅摄魂香,ye'mei'she'hun'xiang
液凝大辅,ye'ning'da'fu
夜婆,ye'po
夜啼鸟,ye'ti'niao
业途灵,ye'tu'ling
夜卫,ye'wei
叶小钗,ye'xiao'chai
夜修罗,ye'xiu'luo
易伯书,yi'bo'shu
一步莲华,yi'bu'lian'hua
彝灿天,yi'can'tian
一阐提,yi'chan'ti
裔春秋,yi'chun'qiu
翳毒无痕,yi'du'wu'hen
异端神,yi'duan'shen
义海士,yi'hai'shi
弋何首,yi'he'shou
一花香,yi'hua'xiang
一翦梅,yi'jian'mei
一剑万生,yi'jian'wan'sheng
易利金,yi'li'jin
翳流教主,yi'liu'jiao'zhu
一念即忘,yi'nian'ji'wang
一瓢水,yi'piao'shui
一瓢仙,yi'piao'xian
一品皇绶,yi'pin'huang'shou
一钱一命,yi'qian'yi'ming
忆秋年,yi'qiu'nian
遗世老,yi'shi'lao
一式文使,yi'shi'wen'shi
一水台,yi'shui'tai
伊藤源二,yi'teng'yuan'er
异贤剑殊,yi'xian'jian'shu
一线生,yi'xian'sheng
役行者,yi'xing'zhe
易虚道临,yi'xu'dao'lin
旖艳衷情,yi'yan'zhong'qing
一页书,yi'ye'shu
一雨愁,yi'yu'chou
佾云,yi'yun
一枝花,yi'zhi'hua
一只眼,yi'zhi'yan
一字剑,yi'zi'jian
饮不醉,yin'bu'zui
银棺,yin'guan
因果来,yin'guo'lai
银狐,yin'hu
银锽黥武,yin'huang'qing'wu
银锽朱武,yin'huang'zhu'wu
殷雷求,yin'lei'qiu
引路人,yin'lu'ren
殷末箫,yin'mo'xiao
殷芊婳,yin'qian'hua
殷芊妘,yin'qian'yun
尹秋君,yin'qiu'jun
银刃雪虎,yin'ren'xue'hu
荫尸人,yin'shi'ren
银童,yin'tong
银兄弟,yin'xiong'di
阴阳师,yin'yang'shi
银羽飞燕,yin'yu'fei'yan
银猿,yin'yuan
银月黎,yin'yue'li
银座飙手,yin'zuo'biao'shou
迎宾客,ying'bin'ke
璎珞耶提,ying'luo'ye'ti
樱千代,ying'qian'dai
影十字,ying'shi'zi
应无忧,ying'wu'you
盈月女,ying'yue'nv
影之无,ying'zhi'wu
影中残,ying'zhong'can
右弼,you'bi
右护法,you'hu'fa
幽魅亟幻,you'mei'ji'huan
褎权氏叶,you'quan'shi'ye
忧容童子,you'rong'tong'zi
优昙善师,you'tan'shan'shi
右文丞,you'wen'cheng
欲苍穹,yu'cang'qiong
玉蝉宫,yu'chan'gong
玉蟾宫,yu'chan'gong
尉迟长空,yu'chi'chang'kong
玉佛圣,yu'fo'sheng
玉棺,yu'guan
玉界尺,yu'jie'chi
玉阶飞,yu'jie'fei
御魔像,yu'mo'xiang
宇飘风,yu'piao'feng
羽人非獍,yu'ren'fei'jing
玉世香,yu'shi'xiang
玉天玑,yu'tian'ji
鱼晚儿,yu'wan'er
宇文天,yu'wen'tian
宇文鹰,yu'wen'ying
驭武宫主,yu'wu'gong'zhu
御行者,yu'xing'zhe
鱼游水,yu'you'shui
玉藻,yu'zao
雨中砚,yu'zhong'yan
宇宙至尊棺,yu'zhou'zhi'zun'guan
袁冬曲,yuan'dong'qu
圆儿,yuan'er
元祸天荒,yuan'huo'tian'huang
渊姬,yuan'ji
圆觉,yuan'jue
圆流,yuan'liu
圆宿薄,yuan'su'bo
越剑人,yue'jian'ren
悦兰芳,yue'lan'fang
月灵公主,yue'ling'gong'zhu
月鸣孤魂,yue'ming'gu'hun
月飘霜,yue'piao'shuang
月神,yue'shen
岳驼,yue'tuo
月无波,yue'wu'bo
刖侠,yue'xia
越小枫,yue'xiao'feng
月漩涡,yue'xuan'wo
月吟荷,yue'yin'he
允爱君,yun'ai'jun
云垂野,yun'chui'ye
云庐剑僧,yun'lu'jian'seng
云湘,yun'xiang
云袖,yun'xiu
赞刀,zan'dao
蚤千里,zao'qian'li
造邪锋,zao'xie'feng
战鵰,zhan'diao
斩海,zhan'hai
湛江云,zhan'jiang'yun
战龙儿,zhan'long'er
斩首鬼达磨,zhan'shou'gui'da'mo
战天戟,zhan'tian'ji
章袤君,zhang'mao'jun
长孙护,zhang'sun'hu
长孙太后,zhang'sun'tai'hou
长孙佑达,zhang'sun'you'da
照黄泉,zhao'huang'quan
昭穆尊,zhao'mu'zun
照世明灯,zhao'shi'ming'deng
遮那法王,zhe'na'fa'wang
赭杉军,zhe'shan'jun
震天苍璧,zhen'tian'cang'bi
真田龙政,zhen'tian'long'zheng
箴有力,zhen'you'li
争不僧,zheng'bu'seng
正奇老人,zheng'qi'lao'ren
肢残,zhi'can
智残,zhi'can
执道行,zhi'dao'heng
智多罗,zhi'duo'luo
智蝼蚁,zhi'lou'yi
织梦师,zhi'meng'shi
指魔,zhi'mo
织网邪蛛,zhi'wang'xie'zhu
中鸿胪,zhong'hong'lu
锺灵神岳,zhong'ling'shen'yue
中书客,zhong'shu'ke
众天,zhong'tian
仲云,zhong'yun
忠贞之花,zhong'zhen'zhi'hua
周八伯,zhou'ba'bo
竹丑,zhu'chou
朱蛾,zhu'e
诸葛萍,zhu'ge'ping
诸葛晚照,zhu'ge'wan'zhao
朱痕染迹,zhu'hen'ran'ji
竹魂,zhu'hun
逐鹿飞仙,zhu'lu'fei'xian
珠婆婆,zhu'po'po
竹水琉,zhu'shui'liu
诛天,zhu'tian
朱闻苍日,zhu'wen'cang'ri
朱闻挽月,zhu'wen'wan'yue
诛心,zhu'xin
朱厌剑灵,zhu'yan'jian'ling
烛幽微,zhu'you'wei
追月狐,zhui'yue'hu
紫蝶天衣,zi'die'tian'yi
紫宫昊辰,zi'gong'hao'chen
紫宫离,zi'gong'li
紫宫日煌,zi'gong'ri'huang
紫宫太一,zi'gong'tai'yi
紫宫彤麟,zi'gong'tong'lin
紫宫星罗,zi'gong'xing'luo
紫宫宣夜,zi'gong'xuan'ye
紫宫遥,zi'gong'yao
紫宫远,zi'gong'yuan
紫宫月希,zi'gong'yue'xi
紫金花,zi'jin'hua
紫锦囊,zi'jin'nang
紫青琉,zi'qing'liu
紫星眉,zi'xing'mei
紫嫣夫人,zi'yan'fu'ren
紫阳子,zi'yang'zi
紫月挥虹,zi'yue'hui'hong
自在天女,zi'zai'tian'nv
邹纵天,zou'zong'tian
祖祭司,zu'ji'si
醉不醒,zui'bu'xing
醉不知,zui'bu'zhi
罪恶之身,zui'e'zhi'shen
醉贵妃,zui'gui'fei
醉花月,zui'hua'yue
醉剑东岳,zui'jian'dong'yue
醉轻侯,zui'qing'hou
左非,zuo'fei
左辅,zuo'fu
左门佑军,zuo'men'you'jun
左之助,zuo'zhi'zhu
