阿步,a'bu
雷之守护者,lei'zhi'shou'hu'zhe
雷兹艾尔,lei'zi'ai'er
里包恩,li'bao'en
立海大,li'hai'da
理吉,li'ji
莉莉妮特,li'li'ni'te
里莲华,li'lian'hua
莉玲,li'ling
李洛克,li'luo'ke
璃茉,li'mo
立木文彦,li'mu'wen'yan
里欧尼斯,li'ou'ni'si
离去的背影,li'qu'de'bei'ying
离身印,li'shen'yin
利特菲尔特,li'te'fei'er'te
璃舞,li'wu
理想的自己,li'xiang'de'zi'ji
恋次,lian'ci
莲二,lian'er
练空弹,lian'kong'tan
恋露,lian'lu
恋一,lian'yi
镰鼬,lian'you
两个房间,liang'ge'fang'jian
梁田清之,liang'tian'qing'zhi
了平,liao'ping
列恩,lie'en
捩花,lie'hua
猎物上钩了,lie'wu'shang'gou'le
林原惠美,lin'yuan'hui'mei
临终的啊,lin'zhong'de'a
零地点突破,ling'di'dian'tu'po
绫濑川弓亲,ling'lai'chuan'gong'qin
绫瀬川弓亲,ling'lai'chuan'gong'qin
灵络,ling'luo
铃木财团,ling'mu'cai'tuan
铃木绫子,ling'mu'ling'zi
铃木史郎,ling'mu'shi'lang
铃木园子,ling'mu'yuan'zi
羚骑士,ling'qi'shi
令人叹息的赶海,ling'ren'tan'xi'de'gan'hai
凌舞吧,ling'wu'ba
凌舞吧袖白雪,ling'wu'ba'xiu'bai'xue
另一个冰轮丸,ling'yi'ge'bing'lun'wan
灵珠核,ling'zhu'he
六车拳西,liu'che'quan'xi
六道骸,liu'dao'hai
六道仙人,liu'dao'xian'ren
六番队,liu'fan'dui
六角,liu'jiao
流菌,liu'jun
流君,liu'jun
留客雨,liu'ke'yu
琉璃酱,liu'li'jiang
琉璃千代,liu'li'qian'dai
琉璃色藤孔雀,liu'li'se'teng'kong'que
柳莲二,liu'lian'er
流刃若火,liu'ren'ruo'huo
柳生,liu'sheng
柳生比吕士,liu'sheng'bi'lv'shi
六田,liu'tian
六尾,liu'wei
六尾雷兽,liu'wei'lei'shou
留下的足迹,liu'xia'de'zu'ji
六音,liu'yin
柳泽,liu'ze
柳泽慎也,liu'ze'shen'ye
六丈光牢,liu'zhang'guang'lao
六杖光牢,liu'zhang'guang'lao
柳之舞,liu'zhi'wu
六助,liu'zhu
泷荻之介,long'di'zhi'jie
龙贵,long'gui
龙火之术,long'huo'zhi'shu
龙马,long'ma
龙崎,long'qi
龙崎堇,long'qi'jin
龙崎樱乃,long'qi'ying'nai
龙拳爆发,long'quan'bao'fa
龙纹鬼灯丸,long'wen'gui'deng'wan
龙弦,long'xian
露出马脚,lou'chu'ma'jiao
露比,lu'bi
鹭巣诗郎,lu'chao'shi'lang
露儿,lu'er
露井,lu'jing
路君,lu'jun
路鲁,lu'lu
露露酱,lu'lu'jiang
露露堂莫鲁斯露,lu'lu'tang'mo'lu'si'lu
卢米纳,lu'mi'na
露女王,lu'nv'wang
露琪亚,lu'qi'ya
露琪亚小姐,lu'qi'ya'xiao'jie
路斯利亚,lu'si'li'ya
鹿丸,lu'wan
路西利亚,lu'xi'li'ya
露一,lu'yi
露织,lu'zhi
乱菊,luan'ju
乱菊大姐,luan'ju'da'jie
乱雨,luan'yu
乱装天傀,luan'zhuang'tian'kui
轮回眼,lun'hui'yan
伦迦,lun'jia
洛克李,luo'ke'li
洛莉,luo'li
罗马利奥,luo'ma'li'ao
罗武,luo'wu
螺旋丸,luo'xuan'wan
罗兹,luo'zi
旅祸,lv'huo
绿青葵,lv'qing'kui
马尔杰拉,ma'er'jie'la
马基,ma'ji
玛雷戒指,ma'lei'jie'zhi
妈妈的心理,ma'ma'de'xin'li
玛门,ma'men
玛蒙,ma'meng
麻生圭二,ma'sheng'gui'er
埋藏在内心深处,mai'cang'zai'nei'xin'shen'chu
迈特凯,mai'te'kai
麦小依,mai'xiao'yi
毛利大叔,mao'li'da'shu
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
毛利英理,mao'li'ying'li
毛利侦探事务所,mao'li'zhen'tan'shi'wu'suo
猫婆婆,mao'po'po
茂雄,mao'xiong
猫又,mao'you
毛针千本,mao'zhen'qian'ben
卯之花,mao'zhi'hua
卯之花队长,mao'zhi'hua'dui'zhang
卯之花烈,mao'zhi'hua'lie
美琪,mei'qi
美术馆杀人事件,mei'shu'guan'sha'ren'shi'jian
梅严,mei'yan
没有提示,mei'you'ti'shi
门外顾问,men'wai'gu'wen
梦的场所,meng'de'chang'suo
萌黄,meng'huang
梦火,meng'huo
萌菌,meng'jun
梦中之星,meng'zhong'zhi'xing
米尔奇,mi'er'qi
迷宫的十字路,mi'gong'de'shi'zi'lu
迷宫的十字路口,mi'gong'de'shi'zi'lu'kou
迷宫蝴蝶,mi'gong'hu'die
迷惑的心,mi'huo'de'xin
弥勒丸,mi'le'wan
迷恋樱花,mi'lian'ying'hua
密鲁菲奥雷,mi'lu'fei'ao'lei
密杀,mi'sha
秘杀,mi'sha
弥耶,mi'ye
面具之下,mian'ju'zhi'xia
面纹,mian'wen
灭却师,mie'que'shi
鸣人连弹,ming'ren'lian'tan
鸣人之死,ming'ren'zhi'si
名探侦,ming'tan'zhen
名探侦柯南,ming'tan'zhen'ke'nan
冥头,ming'tou
名嫌疑犯,ming'xian'yi'fan
名字的秘密,ming'zi'de'mi'mi
缪博士,miu'bo'shi
魔封波,mo'feng'bo
魔贯光杀炮,mo'guan'guang'sha'pao
魔鬼现身,mo'gui'xian'shen
魔镜冰晶,mo'jing'bing'jing
魔人普乌,mo'ren'pu'wu
魔闪光,mo'shan'guang
魔神幻,mo'shen'huan
魔术快斗,mo'shu'kuai'dou
莫斯卡,mo'si'ka
莫斯卡王,mo'si'ka'wang
某少,mou'shao
牧场的悲剧,mu'chang'de'bei'ju
木锭壁,mu'ding'bi
木遁,mu'dun
木更津,mu'geng'jin
木更津淳,mu'geng'jin'chun
木更津亮,mu'geng'jin'liang
木屐帽子,mu'ji'mao'zi
目暮十三,mu'mu'shi'san
木内秀信,mu'nei'xiu'xin
木手,mu'shou
木手永四郎,mu'shou'yong'si'lang
木天寥,mu'tian'liao
木叶,mu'ye
木叶白牙,mu'ye'bai'ya
木叶村的英雄们,mu'ye'cun'de'ying'xiong'men
木叶大旋风,mu'ye'da'xuan'feng
木叶烈风,mu'ye'lie'feng
木叶忍者,mu'ye'ren'zhe
木叶十二忍,mu'ye'shi'er'ren
木叶丸,mu'ye'wan
木叶旋风,mu'ye'xuan'feng
木叶英雄,mu'ye'ying'xiong
拿帕,na'pa
奈川,nai'chuan
奈良鹿久,nai'liang'lu'jiu
奈良鹿丸,nai'liang'lu'wan
南健太郎,nan'jian'tai'lang
南界王,nan'jie'wang
内村,nei'cun
内藤玲,nei'teng'ling
内藤龙祥,nei'teng'long'xiang
内田麻美,nei'tian'ma'mei
内心的光芒,nei'xin'de'guang'mang
逆卷雨,ni'juan'yu
妮莉艾露,ni'li'ai'lu
妮露,ni'lu
妮露杜,ni'lu'du
拟人忍法,ni'ren'ren'fa
你是何许人,ni'shi'he'xu'ren
拟兽忍法,ni'shou'ren'fa
拟影术,ni'ying'shu
鸟之国,niao'zhi'guo
涅茧利,nie'jian'li
涅阑利,nie'lan'li
涅音梦,nie'yin'meng
涅音无,nie'yin'wu
糯米年糕豆粥,nuo'mi'nian'gao'dou'zhou
诺伊特拉,nuo'yi'te'la
诺伊特拉吉尔加,nuo'yi'te'la'ji'er'jia
拍桌,pai'zhuo
彷徨的红蝴蝶,pang'huang'de'hong'hu'die
咆哮吧,pao'xiao'ba
佩恩,pei'en
沛薛,pei'xue
佩因,pei'yin
彭哥列,peng'ge'lie
彭格列,peng'ge'lie
彭哥列指环,peng'ge'lie'zhi'huan
彭格列指环,peng'ge'lie'zhi'huan
彭侯,peng'hou
朋香,peng'xiang
批评弹,pi'ping'tan
疋杀地藏,pi'sha'di'zang
匹斯可,pi'si'ke
片桐枫,pian'tong'feng
平成的福尔摩斯,ping'cheng'de'fu'er'mo'si
平古场凛,ping'gu'chang'lin
平衡超平衡,ping'heng'chao'ping'heng
凭依弹,ping'yi'tan
平子真子,ping'zi'zhen'zi
破奔流,po'ben'liu
破道,po'dao
破芒阵,po'mang'zhen
破面,po'mian
破面露,po'mian'lu
破弃咏唱,po'qi'yong'chang
浦露,pu'lu
朴路美,pu'lu'mei
浦原,pu'yuan
浦原商店,pu'yuan'shang'dian
浦原喜助,pu'yuan'xi'zhu
起爆符,qi'bao'fu
七番队,qi'fan'dui
奇怪的寻人事件,qi'guai'de'xun'ren'shi'jian
齐鲁奇,qi'lu'qi
旗木卡卡西,qi'mu'ka'ka'xi
齐木美帆,qi'mu'mei'fan
旗木朔茂,qi'mu'shuo'mao
七尾,qi'wei
七尾貉,qi'wei'hao
启吾,qi'wu
七绪,qi'xu
琦玉,qi'yu
气元斩,qi'yuan'zhan
千本桜,qian'ben'ying
千本樱,qian'ben'ying
千本桜景严,qian'ben'ying'jing'yan
千本桜景厳,qian'ben'ying'jing'yan
千本樱景严,qian'ben'ying'jing'yan
浅打,qian'da
千代,qian'dai
千代婆婆,qian'dai'po'po
茜泪,qian'lei
茜雫,qian'na
千年杀,qian'nian'sha
千鸟,qian'niao
千鸟流,qian'niao'liu
千杀水翔,qian'sha'shui'xiang
千石,qian'shi
千石清纯,qian'shi'qing'chun
千手纲手,qian'shou'gang'shou
千手柱间,qian'shou'zhu'jian
千岁千里,qian'sui'qian'li
前田聪,qian'tian'cong
前田刚,qian'tian'gang
牵星箝,qian'xing'qian
谦也,qian'ye
千叶进步,qian'ye'jin'bu
浅野启吾,qian'ye'qi'wu
浅野啓吾,qian'ye'qi'wu
浅野同学,qian'ye'tong'xue
潜影蛇手,qian'ying'she'shou
乾贞治,qian'zhen'zhi
乾汁,qian'zhi
千种,qian'zhong
千紫毒万红,qian'zi'du'wan'hong
枪纱雨,qiang'sha'yu
乔托,qiao'tuo
切都,qie'dou
切尔贝罗,qie'er'bei'luo
切魂之物,qie'hun'zhi'wu
切原,qie'yuan
切原赤也,qie'yuan'chi'ye
亲爱宝贝,qin'ai'bao'bei
清虫,qing'chong
清川元梦,qing'chuan'yuan'meng
晴戈,qing'ge
请交给小丝,qing'jiao'gei'xiao'si
清洁车杀人事件,qing'jie'che'sha'ren'shi'jian
晴空大人,qing'kong'da'ren
情人节的真实,qing'ren'jie'de'zhen'shi
情人节杀人事件,qing'ren'jie'sha'ren'shi'jian
青山冈昌,qing'shan'gang'chang
青山刚昌,qing'shan'gang'chang
青山刚昌短篇集,qing'shan'gang'chang'duan'pian'ji
晴守,qing'shou
青学,qing'xue
晴之守护者,qing'zhi'shou'hu'zhe
青子,qing'zi
青酢,qing'zuo
秋本圣,qiu'ben'sheng
秋道丁次,qiu'dao'ding'ci
秋道丁座,qiu'dao'ding'zuo
犬冢牙,quan'zhong'ya
雀步长次郎,que'bu'chang'ci'lang
雀蜂,que'feng
然后又,ran'hou'you
热血侦探,re'xue'zhen'tan
忍刀七人众,ren'dao'qi'ren'zhong
忍龟,ren'gui
人间道,ren'jian'dao
忍猫,ren'mao
忍犬,ren'quan
忍术,ren'shu
仁王,ren'wang
仁王雅治,ren'wang'ya'zhi
人鱼的诅咒,ren'yu'de'zu'zhou
人鱼又再度哭泣,ren'yu'you'zai'du'ku'qi
人柱力,ren'zhu'li
忍足,ren'zu
忍足狼,ren'zu'lang
忍足谦也,ren'zu'qian'ye
忍足侑士,ren'zu'you'shi
日番谷,ri'fan'gu
日番谷冬狮郎,ri'fan'gu'dong'shi'lang
日吉,ri'ji
日吉若,ri'ji'ruo
日露,ri'lu
日奈森,ri'nai'sen
日奈森同学,ri'nai'sen'tong'xue
日奈森亚美,ri'nai'sen'ya'mei
日奈森亚梦,ri'nai'sen'ya'meng
日向雏田,ri'xiang'chu'tian
日向花火,ri'xiang'hua'huo
日向宁次,ri'xiang'ning'ci
日向日差,ri'xiang'ri'cha
日向日足,ri'xiang'ri'zu
日向一族,ri'xiang'yi'zu
日野香穗子,ri'ye'xiang'sui'zi
肉弹战车,rou'dan'zhan'che
宍户,rou'hu
宍户亮,rou'hu'liang
肉雫唼,rou'na'sha
柔拳,rou'quan
入白,ru'bai
入江正一,ru'jiang'zheng'yi
如雨露千本,ru'yu'lu'qian'ben
软体改造,ruan'ti'gai'zao
若菜,ruo'cai
若人弘,ruo'ren'hong
萨尔阿波罗,sa'er'a'bo'luo
萨克,sa'ke
三重罗生门,san'chong'luo'sheng'men
三船,san'chuan
三代火影,san'dai'huo'ying
三番队,san'fan'dui
三个禁忌,san'ge'jin'ji
三个提示,san'ge'ti'shi
三连星,san'lian'xing
散灵手套,san'ling'shou'tao
散落吧,san'luo'ba
散落吧千本樱,san'luo'ba'qian'ben'ying
三木眞一郎,san'mu'zhen'yi'lang
三木真一郎,san'mu'zhen'yi'lang
三瓶由布子,san'ping'you'bu'zi
三浦春,san'pu'chun
三忍之一,san'ren'zhi'yi
三日月之舞,san'ri'yue'zhi'wu
三条海里,san'tiao'hai'li
三条小姐,san'tiao'xiao'jie
三条鱼,san'tiao'yu
三尾矶怃,san'wei'ji'wu
叁舞,san'wu
三舞白刀,san'wu'bai'dao
三泽,san'ze
三宅华也,san'zhai'hua'ye
三宅健太,san'zhai'jian'tai
三之舞,san'zhi'wu
桑达薇琪,sang'da'wei'qi
桑塔露琪亚,sang'ta'lu'qi'ya
桑原,sang'yuan
色诱术,se'you'shu
色诱之术,se'you'zhi'shu
森川智之,sen'chuan'zhi'zhi
森谷帝二,sen'gu'di'er
森乃伊比喜,sen'nai'yi'bi'xi
森田成一,sen'tian'cheng'yi
森折,sen'zhe
砂暴大葬,sha'bao'da'zang
砂暴送葬,sha'bao'song'zang
沙丁鱼汁,sha'ding'yu'zhi
砂分身,sha'fen'shen
砂缚柩,sha'fu'jiu
莎朗,sha'lang
沙漠大葬,sha'mo'da'zang
砂瀑送葬,sha'pu'song'zang
杀气石,sha'qi'shi
沙忍,sha'ren
杀人的理由,sha'ren'de'li'you
砂时雨,sha'shi'yu
砂手里剑,sha'shou'li'jian
砂铁界法,sha'tie'jie'fa
砂隐,sha'yin
砂隐村,sha'yin'cun
砂隐忍者村,sha'yin'ren'zhe'cun
砂之盾,sha'zhi'dun
砂之铠甲,sha'zhi'kai'jia
沙之眼,sha'zhi'yan
山本刚,shan'ben'gang
山本老头,shan'ben'lao'tou
山本武,shan'ben'wu
山本元柳齐重国,shan'ben'yuan'liu'qi'zhong'guo
山本元柳斋,shan'ben'yuan'liu'zhai
山本元柳斋重国,shan'ben'yuan'liu'zhai'zhong'guo
山本元柳斎重国,shan'ben'yuan'liu'zhai'zhong'guo
山本总队长,shan'ben'zong'dui'zhang
山城青叶,shan'cheng'qing'ye
山吹,shan'chui
山吹沙绫,shan'chui'sha'ling
山村刑事,shan'cun'xing'shi
闪电剑,shan'dian'jian
山纲,shan'gang
闪花,shan'hua
山口胜平,shan'kou'sheng'ping
山口太郎,shan'kou'tai'lang
山老头,shan'lao'tou
山崎和佳奈,shan'qi'he'jia'nai
杉山纪彰,shan'shan'ji'zhang
山田花太郎,shan'tian'hua'tai'lang
杉田智和,shan'tian'zhi'he
山狱,shan'yu
山中亥一,shan'zhong'hai'yi
山中井野,shan'zhong'jing'ye
山中井野市,shan'zhong'jing'ye'shi
上户彩和新一,shang'hu'cai'he'xin'yi
伤门,shang'men
上忍,shang'ren
少年侦探队,shao'nian'zhen'tan'dui
少年侦探团,shao'nian'zhen'tan'tuan
射场,she'chang
射场铁左卫门,she'chang'tie'zuo'wei'men
社会最底层,she'hui'zui'di'ceng
涉木,she'mu
蛇尾丸,she'wei'wan
蛇小队,she'xiao'dui
伸长吧,shen'chang'ba
神城玲治,shen'cheng'ling'zhi
神谷明,shen'gu'ming
深见梨加,shen'jian'li'jia
深蓝色的海盗旗,shen'lan'se'de'hai'dao'qi
神罗天征,shen'luo'tian'zheng
神秘的世界,shen'mi'de'shi'jie
神枪,shen'qiang
神圣王冠,shen'sheng'wang'guan
深司,shen'si
伸缩吊带,shen'suo'diao'dai
甚太,shen'tai
神太郎,shen'tai'lang
神田朱未,shen'tian'zhu'wei
神尾,shen'wei
神尾明,shen'wei'ming
身心转换术,shen'xin'zhuan'huan'shu
神月出云,shen'yue'chu'yun
神之子,shen'zhi'zi
深作仙人,shen'zuo'xian'ren
圣哭螳螂,sheng'ku'tang'lang
圣鲁道夫,sheng'lu'dao'fu
圣露琪亚,sheng'lu'qi'ya
生门,sheng'men
生日葡萄酒之谜,sheng'ri'pu'tao'jiu'zhi'mi
胜生真沙子,sheng'sheng'zhen'sha'zi
胜矢,sheng'shi
绳索舞者,sheng'suo'wu'zhe
生天目仁美,sheng'tian'mu'ren'mei
圣夜学园,sheng'ye'xue'yuan
声优,sheng'you
十倍龟派气功,shi'bei'gui'pai'qi'gong
柿本,shi'ben
柿本千种,shi'ben'qian'zhong
石波,shi'bo
食草性动物,shi'cao'xing'dong'wu
石川英郎,shi'chuan'ying'lang
十代目,shi'dai'mu
十代首领,shi'dai'shou'ling
室町十次,shi'ding'shi'ci
矢胴丸莉莎,shi'dong'wan'li'sha
十二番队,shi'er'fan'dui
十番队,shi'fan'dui
尸骨脉,shi'gu'mai
时光旅行,shi'guang'lv'xing
尸鬼封尽,shi'gui'feng'jin
尸魂界,shi'hun'jie
世纪末的魔术师,shi'ji'mo'de'mo'shu'shi
始解,shi'jie
史卡鲁,shi'ka'lu
史库瓦罗,shi'ku'wa'luo
十年后火箭炮,shi'nian'hou'huo'jian'pao
十年后火箭筒,shi'nian'hou'huo'jian'tong
十年后篇,shi'nian'hou'pian
十年火箭炮,shi'nian'huo'jian'pao
十全剑,shi'quan'jian
十拳剑,shi'quan'jian
十刃,shi'ren
十三番队,shi'san'fan'dui
十四番的目标,shi'si'fan'de'mu'biao
史塔克,shi'ta'ke
石田,shi'tian
石田龙弦,shi'tian'long'xian
石田铁,shi'tian'tie
石田银,shi'tian'yin
石田雨龙,shi'tian'yu'long
石田宗弦,shi'tian'zong'xian
市丸,shi'wan
市丸队长,shi'wan'dui'zhang
市丸银,shi'wan'yin
噬虚,shi'xu
十一番队,shi'yi'fan'dui
使用了魔法,shi'yong'le'mo'fa
时雨,shi'yu
时雨苍燕流,shi'yu'cang'yan'liu
时雨金时,shi'yu'jin'shi
十指穿弹,shi'zhi'chuan'tan
狮子连弹,shi'zi'lian'tan
矢作纱友里,shi'zuo'sha'you'li
手表型麻醉枪,shou'biao'xing'ma'zui'qiang
守鹤,shou'he
守鹤之盾,shou'he'zhi'dun
守鹤之矛,shou'he'zhi'mao
守护八卦,shou'hu'ba'gua
守护蛋,shou'hu'dan
守护恶魔,shou'hu'e'mo
守护黑桃,shou'hu'hei'tao
守护忍十二士,shou'hu'ren'shi'er'shi
守护三叶草,shou'hu'san'ye'cao
守护甜心,shou'hu'tian'xin
手机语言,shou'ji'yu'yan
手鞠,shou'ju
手里剑,shou'li'jian
手里剑影分身,shou'li'jian'ying'fen'shen
兽人分身,shou'ren'fen'shen
狩矢,shou'shi
狩矢神,shou'shi'shen
受胎告知,shou'tai'gao'zhi
首藤,shou'teng
收于胸前,shou'yu'xiong'qian
手冢,shou'zhong
手塚,shou'zhong
手冢国光,shou'zhong'guo'guang
手塚国光,shou'zhong'guo'guang
暑假的暗号,shu'jia'de'an'hao
鼠蛟,shu'jiao
树界降诞,shu'jie'jiang'dan
树希彦,shu'xi'yan
刷刷的,shua'shua'de
甩拐,shuai'guai
双重咏唱,shuang'chong'yong'chang
双殛,shuang'ji
双莲苍火坠,shuang'lian'cang'huo'zhui
双蛇相杀,shuang'she'xiang'sha
双升龙,shuang'sheng'long
双鱼鲤,shuang'yu'li
双鱼理,shuang'yu'li
谁都不在了,shui'dou'bu'zai'le
水分身,shui'fen'shen
水分身术,shui'fen'shen'shu
水分身之术,shui'fen'shen'zhi'shu
水户门炎,shui'hu'men'yan
水鲛弹,shui'jiao'tan
水牢术,shui'lao'shu
水牢之术,shui'lao'zhi'shu
水龙鞭,shui'long'bian
水龙弹之术,shui'long'tan'zhi'shu
水平线上的阴谋,shui'ping'xian'shang'de'yin'mou
水清波,shui'qing'bo
水上切,shui'shang'qie
水树奈,shui'shu'nai
水无怜奈,shui'wu'lian'nai
水无伶奈,shui'wu'ling'nai
水无月白,shui'wu'yue'bai
水翔羽,shui'xiang'yu
水影,shui'ying
水阵壁,shui'zhen'bi
水之国,shui'zhi'guo
水之刃,shui'zhi'ren
瞬步,shun'bu
瞬花,shun'hua
瞬开,shun'kai
瞬神夜一,shun'shen'ye'yi
瞬身之术,shun'shen'zhi'shu
舜樱,shun'ying
斯贝尔比,si'bei'er'bi
四大贵族,si'da'gui'zu
四代,si'dai
四代火影,si'dai'huo'ying
兕丹坊,si'dan'fang
四番队,si'fan'dui
四枫院家,si'feng'yuan'jia
四枫院夜一,si'feng'yuan'ye'yi
四个关键词,si'ge'guan'jian'ci
死魂之术,si'hun'zhi'shu
四剑,si'jian
四脚之术,si'jiao'zhi'shu
四井,si'jing
斯夸罗,si'kua'luo
死罗神大人,si'luo'shen'da'ren
死门,si'men
思念珠,si'nian'zhu
斯帕纳,si'pa'na
死气,si'qi
死气火焰,si'qi'huo'yan
死气弹,si'qi'tan
死气丸,si'qi'wan
死气状态,si'qi'zhuang'tai
死人不会说话,si'ren'bu'hui'shuo'hua
死神舞台剧,si'shen'wu'tai'ju
死亡森林,si'wang'sen'lin
死亡之岛,si'wang'zhi'dao
四尾,si'wei
四尾鼠鲛,si'wei'shu'jiao
死舞,si'wu
四象封印,si'xiang'feng'yin
寺狱,si'yu
四柱牢之术,si'zhu'lao'zhi'shu
四紫炎阵,si'zi'yan'zhen
松本大,song'ben'da
松本乱菊,song'ben'luan'ju
松本清长,song'ben'qing'chang
松本小百合,song'ben'xiao'bai'he
松冈由贵,song'gang'you'gui
送给你的礼物,song'gei'ni'de'li'wu
松谷彼哉,song'gu'bi'zai
松江玉造连句,song'jiang'yu'zao'lian'ju
松井菜樱子,song'jing'cai'ying'zi
松田阵平,song'tian'zhen'ping
搜查开始,sou'cha'kai'shi
速水奖,su'shui'jiang
砕蜂,sui'feng
碎蜂,sui'feng
碎峰,sui'feng
碎蜂队长,sui'feng'dui'zhang
荪荪,sun'sun
孙孙,sun'sun
锁结,suo'jie
泰虎,tai'hu
太阳能滑板,tai'yang'neng'hua'ban
太阳拳,tai'yang'quan
太一,tai'yi
太猿,tai'yuan
坛太一,tan'tai'yi
叹息弹,tan'xi'tan
唐观音寺,tang'guan'yin'si
唐松之舞,tang'song'zhi'wu
陶伯伯,tao'bo'bo
桃城,tao'cheng
桃城武,tao'cheng'wu
桃地再不斩,tao'di'zai'bu'zhan
桃君,tao'jun
桃原,tao'yuan
特兰克斯,te'lan'ke'si
特穆金,te'mu'jin
特式,te'shi
特殊弹,te'shu'tan
藤峰有希子,teng'feng'you'xi'zi
藤冈春绯,teng'gang'chun'fei
藤关,teng'guan
藤关抚子,teng'guan'fu'zi
藤孔雀,teng'kong'que
藤崎直,teng'qi'zhi
藤咲,teng'xiao
藤咲抚子,teng'xiao'fu'zi
缇鲁蒂,ti'lu'di
替身术,ti'shen'shu
体术,ti'shu
天才忍者,tian'cai'ren'zhe
天藏,tian'cang
天根,tian'gen
天根光,tian'gen'guang
天河司,tian'he'si
天界道,tian'jie'dao
天津饭,tian'jin'fan
天空之戒,tian'kong'zhi'jie
甜蜜再现,tian'mi'zai'xian
田仁志慧,tian'ren'zhi'hui
田山凉成,tian'shan'liang'cheng
天使摇篮,tian'shi'yao'lan
舔手指头,tian'shou'zhi'tou
天锁斩月,tian'suo'zhan'yue
天挺空罗,tian'ting'kong'luo
甜文,tian'wen
天下第一武道会,tian'xia'di'yi'wu'dao'hui
天下之城,tian'xia'zhi'cheng
甜心前辈,tian'xin'qian'bei
天野,tian'ye
天野明,tian'ye'ming
天野娘,tian'ye'niang
天照,tian'zhao
田志仁,tian'zhi'ren
天之书,tian'zhi'shu
田中浩平,tian'zhong'hao'ping
田中理恵,tian'zhong'li'hui
田中秀幸,tian'zhong'xiu'xing
田中洋平,tian'zhong'yang'ping
跳楼自杀,tiao'lou'zi'sha
跳马迪诺,tiao'ma'di'nuo
铁锤男,tie'chui'nan
铁炮玉,tie'pao'yu
铁齐,tie'qi
铁刃,tie'ren
铁线花之舞,tie'xian'hua'zhi'wu
铁血凯,tie'xue'kai
铁斋,tie'zhai
同乘者,tong'cheng'zhe
瞳孔中的暗杀者,tong'kong'zhong'de'an'sha'zhe
通灵术,tong'ling'shu
通灵之术,tong'ling'zhi'shu
瞳术,tong'shu
通牙,tong'ya
同音动漫,tong'yin'dong'man
头刻苦,tou'ke'ku
土遁,tu'dun
图废,tu'fei
兔君,tu'jun
土牢术,tu'lao'shu
土流壁,tu'liu'bi
土流大河,tu'liu'da'he
土龙弹,tu'long'tan
图神,tu'shen
图圣,tu'sheng
图书馆杀人事件,tu'shu'guan'sha'ren'shi'jian
土影,tu'ying
土之国,tu'zhi'guo
兔子姬,tu'zi'ji
兔子菌,tu'zi'jun
兔子君,tu'zi'jun
团藏,tuan'cang
推理的答案,tui'li'de'da'an
推理对决,tui'li'dui'jue
豚豚,tun'tun
托斯,tuo'si
瓦利亚,wa'li'ya
瓦片手里剑,wa'pian'shou'li'jian
瓦史托德,wa'shi'tuo'de
万花镜写轮眼,wan'hua'jing'xie'lun'yan
万花筒写轮眼,wan'hua'tong'xie'lun'yan
万解,wan'jie
卍解,wan'jie
卐解,wan'jie
卍禁,wan'jin
丸井,wan'jing
丸井文太,wan'jing'wen'tai
完美的名推理,wan'mei'de'ming'tui'li
完美解读,wan'mei'jie'du
完全没事,wan'quan'mei'shi
万蛇,wan'she
汪达怀斯,wang'da'huai'si
王虚的闪光,wang'xu'de'shan'guang
望月久代,wang'yue'jiu'dai
王子陛下,wang'zi'bi'xia
伪暗,wei'an
梶本,wei'ben
梶本贵久,wei'ben'gui'jiu
维黛儿,wei'dai'er
威尔蒂,wei'er'di
威尔帝,wei'er'di
未来篇,wei'lai'pian
蔚蓝的灵柩,wei'lan'de'ling'jiu
蔚蓝色的海盗旗,wei'lan'se'de'hai'dao'qi
蔚蓝色的灵柩,wei'lan'se'de'ling'jiu
维纳斯之吻,wei'na'si'zhi'wen
唯世,wei'shi
唯世君,wei'shi'jun
尾兽,wei'shou
为霜,wei'shuang
危险的味道,wei'xian'de'wei'dao
危险的香味,wei'xian'de'xiang'wei
危险讯号,wei'xian'xun'hao
伪装自杀,wei'zhuang'zi'sha
稳定的时期,wen'ding'de'shi'qi
文废,wen'fei
温暖的海洋,wen'nuan'de'hai'yang
文神,wen'shen
文太,wen'tai
我爱罗,wo'ai'luo
涡卷鸣门,wo'juan'ming'men
握菱铁斋,wo'ling'tie'zhai
我没有忘记,wo'mei'you'wang'ji
蜗牛君,wo'niu'jun
我是王牌,wo'shi'wang'pai
五寸钉,wu'cun'ding
五代火影,wu'dai'huo'ying
乌冬,wu'dong
乌顿,wu'dun
乌尔奇奥拉,wu'er'qi'ao'la
乌尔奇奥拉希佛,wu'er'qi'ao'la'xi'fo
无法实现的梦,wu'fa'shi'xian'de'meng
无法消失的证据,wu'fa'xiao'shi'de'zheng'ju
五番队,wu'fan'dui
无幻城之卷,wu'huan'cheng'zhi'juan
雾姬,wu'ji
无极心,wu'ji'xin
无聊的比赛,wu'liao'de'bi'sai
乌露,wu'lu
五食鲛,wu'shi'jiao
武士之魂,wu'shi'zhi'hun
雾守,wu'shou
无双阳炎,wu'shuang'yang'yan
武天老师,wu'tian'lao'shi
五条,wu'tiao
五尾彭侯,wu'wei'peng'hou
五行封印,wu'xing'feng'yin
五行解印,wu'xing'jie'yin
五形头,wu'xing'tou
乌鸦之歌,wu'ya'zhi'ge
雾隐,wu'yin
雾隐村,wu'yin'cun
