阿弟去当兵,a'di'qu'dang'bing
不必说感谢,bu'bi'shuo'gan'xie
不必问别人,bu'bi'wen'bie'ren
不必在乎我是谁,bu'bi'zai'hu'wo'shi'shui
不必知道,bu'bi'zhi'dao
不变的诺言,bu'bian'de'nuo'yan
补偿,bu'chang
不倒翁,bu'dao'weng
不得安息,bu'de'an'xi
不得不爱,bu'de'bu'ai
不得了,bu'de'liao
不得已,bu'de'yi
捕风的汉子,bu'feng'de'han'zi
不该让你等太久,bu'gai'rang'ni'deng'tai'jiu
不敢太爱你,bu'gan'tai'ai'ni
不甘心不放手,bu'gan'xin'bu'fang'shou
不告而别,bu'gao'er'bie
不跟你走了,bu'gen'ni'zou'le
不公平,bu'gong'ping
不顾一切,bu'gu'yi'qie
不顾一切要成功,bu'gu'yi'qie'yao'cheng'gong
不管,bu'guan
不关它的事,bu'guan'ta'de'shi
不管有多苦,bu'guan'you'duo'ku
不归路,bu'gui'lu
不规则,bu'gui'ze
不后悔,bu'hou'hui
不欢而散,bu'huan'er'san
不还你,bu'huan'ni
不会结束的故事,bu'hui'jie'shu'de'gu'shi
不会哭的人,bu'hui'ku'de'ren
不会让你后悔,bu'hui'rang'ni'hou'hui
不见不散,bu'jian'bu'san
不降落的滑翔翼,bu'jiang'luo'de'hua'xiang'yi
不开的玫瑰,bu'kai'de'mei'gui
不可不信缘,bu'ke'bu'xin'yuan
不可多得,bu'ke'duo'de
不可能忘记,bu'ke'neng'wang'ji
不可思议,bu'ke'si'yi
不可以不想你,bu'ke'yi'bu'xiang'ni
不可一世,bu'ke'yi'shi
不哭,bu'ku
不快乐的爱人,bu'kuai'le'de'ai'ren
不老的传说,bu'lao'de'chuan'shuo
不了情,bu'liao'qing
不灭的爱,bu'mie'de'ai
不灭的心,bu'mie'de'xin
不耐烦,bu'nai'fan
不能不想你,bu'neng'bu'xiang'ni
不能怪我,bu'neng'guai'wo
不能和你分手,bu'neng'he'ni'fen'shou
不能和你一起,bu'neng'he'ni'yi'qi
不能让我的烦恼没机会表白,bu'neng'rang'wo'de'fan'nao'mei'ji'hui'biao'bai
不能让我的烦恼没有机会表白,bu'neng'rang'wo'de'fan'nao'mei'you'ji'hui'biao'bai
不能忘记我,bu'neng'wang'ji'wo
不怕不怕,bu'pa'bu'pa
不怕付出,bu'pa'fu'chu
不怕你不爱我,bu'pa'ni'bu'ai'wo
不怕死,bu'pa'si
不配,bu'pei
不起眼的吉他,bu'qi'yan'de'ji'ta
不然你要我怎么样,bu'ran'ni'yao'wo'zen'me'yang
不让我的眼泪陪我过夜,bu'rang'wo'de'yan'lei'pei'wo'guo'ye
不容错失,bu'rong'cuo'shi
不如跳舞,bu'ru'tiao'wu
不如这样吧,bu'ru'zhe'yang'ba
不散不见,bu'san'bu'jian
不伤心,bu'shang'xin
不是定理,bu'shi'ding'li
不是每个恋曲都有美好回忆,bu'shi'mei'ge'lian'qu'dou'you'mei'hao'hui'yi
不是你的错,bu'shi'ni'de'cuo
不是我不小心,bu'shi'wo'bu'xiao'xin
不说不爱,bu'shuo'bu'ai
不死的梦,bu'si'de'meng
不死鸟,bu'si'niao
不死之身,bu'si'zhi'shen
不拖不欠,bu'tuo'bu'qian
不完的歌,bu'wan'de'ge
不玩这种,bu'wan'zhe'zhong
补习街,bu'xi'jie
不想爱,bu'xiang'ai
不相爱的好处,bu'xiang'ai'de'hao'chu
不想独自快乐,bu'xiang'du'zi'kuai'le
不像你,bu'xiang'ni
不想骗自己,bu'xiang'pian'zi'ji
不想让你知道,bu'xiang'rang'ni'zhi'dao
不相识的约会,bu'xiang'shi'de'yue'hui
不想失去你,bu'xiang'shi'qu'ni
不想睡,bu'xiang'shui
不想长大,bu'xiang'zhang'da
不想这是场戏,bu'xiang'zhe'shi'chang'xi
不需要安慰,bu'xu'yao'an'wei
不要爱他,bu'yao'ai'ta
不要爱我,bu'yao'ai'wo
不要带她走,bu'yao'dai'ta'zou
不要挡在我的面前,bu'yao'dang'zai'wo'de'mian'qian
不要对他说,bu'yao'dui'ta'shuo
不要害怕,bu'yao'hai'pa
不要讲两次,bu'yao'jiang'liang'ci
不要拒绝我,bu'yao'ju'jue'wo
不要离我太远,bu'yao'li'wo'tai'yuan
不要骗我,bu'yao'pian'wo
不要让她再受伤,bu'yao'rang'ta'zai'shou'shang
不要说爱我,bu'yao'shuo'ai'wo
不要说黎明,bu'yao'shuo'li'ming
不要说走就走,bu'yao'shuo'zou'jiu'zou
不要逃避,bu'yao'tao'bi
不要问我分手后怎么过,bu'yao'wen'wo'fen'shou'hou'zen'me'guo
不要问我过得好不好,bu'yao'wen'wo'guo'de'hao'bu'hao
不要相信眼泪,bu'yao'xiang'xin'yan'lei
不要再来伤害我,bu'yao'zai'lai'shang'hai'wo
不要再说爱我,bu'yao'zai'shuo'ai'wo
不要再问我,bu'yao'zai'wen'wo
不要指望我,bu'yao'zhi'wang'wo
不要走不要走,bu'yao'zou'bu'yao'zou
不一样,bu'yi'yang
不一样的朋友,bu'yi'yang'de'peng'you
不一样的我,bu'yi'yang'de'wo
不一样了,bu'yi'yang'le
不应该,bu'ying'gai
不应该发生,bu'ying'gai'fa'sheng
不用多说,bu'yong'duo'shuo
不用说爱你,bu'yong'shuo'ai'ni
不由自主,bu'you'zi'zhu
不愿是你的烦恼,bu'yuan'shi'ni'de'fan'nao
不愿为你,bu'yuan'wei'ni
不愿一个人,bu'yuan'yi'ge'ren
不在场证明,bu'zai'chang'zheng'ming
不再儿嬉,bu'zai'er'xi
不在乎,bu'zai'hu
不再回头,bu'zai'hui'tou
不再苦,bu'zai'ku
不再冷,bu'zai'leng
不再是朋友,bu'zai'shi'peng'you
不再问,bu'zai'wen
不再问究竟,bu'zai'wen'jiu'jing
不再想念,bu'zai'xiang'nian
不再犹豫,bu'zai'you'yu
不在犹豫,bu'zai'you'yu
不知不觉,bu'zhi'bu'jue
不知道,bu'zhi'dao
不值得,bu'zhi'de
不知好歹,bu'zhi'hao'dai
不只是朋友,bu'zhi'shi'peng'you
不知谁娶到你,bu'zhi'shui'qu'dao'ni
不装饰你的梦,bu'zhuang'shi'ni'de'meng
不走,bu'zou
不作你的朋友答案,bu'zuo'ni'de'peng'you'da'an
擦肩而过,ca'jian'er'guo
曾经,ceng'jing
曾经爱过,ceng'jing'ai'guo
曾经爱你永远爱你,ceng'jing'ai'ni'yong'yuan'ai'ni
曾经的你,ceng'jing'de'ni
曾经快乐过,ceng'jing'kuai'le'guo
曾经试过几次,ceng'jing'shi'guo'ji'ci
曾经心疼,ceng'jing'xin'teng
曾经心痛,ceng'jing'xin'tong
曾经拥有,ceng'jing'yong'you
曾经最美,ceng'jing'zui'mei
曾是拥有,ceng'shi'yong'you
长江之歌,chang'jiang'zhi'ge
城府,cheng'fu
重返寂寞,chong'fan'ji'mo
重逢,chong'feng
重来,chong'lai
重生,chong'sheng
重相逢,chong'xiang'feng
重新开始,chong'xin'kai'shi
重新做人,chong'xin'zuo'ren
重遇,chong'yu
重整河山待后生,chong'zheng'he'shan'dai'hou'sheng
打靶归来,da'ba'gui'lai
大阪城的姑娘,da'ban'cheng'de'gu'niang
大暴走,da'bao'zou
大悲咒,da'bei'zhou
大兵歌,da'bing'ge
打不死,da'bu'si
大城市,da'cheng'shi
大城小爱,da'cheng'xiao'ai
大城小事,da'cheng'xiao'shi
大错特错不要来,da'cuo'te'cuo'bu'yao'lai
大大公司,da'da'gong'si
大地,da'di
大地的孩子,da'di'de'hai'zi
大地恩情,da'di'en'qing
大地飞歌,da'di'fei'ge
大地回春,da'di'hui'chun
打电话给没有人,da'dian'hua'gei'mei'you'ren
大肚腩,da'du'nan
大风吹,da'feng'chui
大哥,da'ge
大哥你好吗,da'ge'ni'hao'ma
打工仔心声,da'gong'zai'xin'sheng
大国民,da'guo'min
大海,da'hai
大孩子,da'hai'zi
大号是中华,da'hao'shi'zhong'hua
打呵欠,da'he'qian
大红大紫,da'hong'da'zi
大红果子剥皮皮,da'hong'guo'zi'bao'pi'pi
大花轿,da'hua'jiao
大黄河,da'huang'he
大会堂演奏厅,da'hui'tang'yan'zou'ting
打火机,da'huo'ji
大家来恋爱,da'jia'lai'lian'ai
大家一起叫,da'jia'yi'qi'jiao
大家一起来,da'jia'yi'qi'lai
大江东去,da'jiang'dong'qu
大姐大,da'jie'da
打开爱,da'kai'ai
大开眼戒,da'kai'yan'jie
大懒堂,da'lan'tang
大浪漫主义,da'lang'man'zhu'yi
大佬,da'lao
打了一把钥匙给你,da'le'yi'ba'yao'shi'gei'ni
大连站,da'lian'zhan
大路上有微生物,da'lu'shang'you'wei'sheng'wu
大麻烦,da'ma'fan
大魔头,da'mo'tou
大男人,da'nan'ren
大闹一场,da'nao'yi'chang
大女人,da'nv'ren
打喷嚏,da'pen'ti
大热,da're
大人国漫游,da'ren'guo'man'you
大日子,da'ri'zi
大舌头,da'she'tou
大声唱歌,da'sheng'chang'ge
大时代,da'shi'dai
大手拉小手,da'shou'la'xiao'shou
大树,da'shu
大同世界,da'tong'shi'jie
大头日记,da'tou'ri'ji
大头贴,da'tou'tie
大团圆,da'tuan'yuan
大溪地,da'xi'di
大细路,da'xi'lu
大峡谷,da'xia'gu
大雪,da'xue
大学自习室,da'xue'zi'xi'shi
大眼睛,da'yan'jing
答应,da'ying
答应我,da'ying'wo
大英雄,da'ying'xiong
大雨带我逃亡,da'yu'dai'wo'tao'wang
大雨的夜里,da'yu'de'ye'li
大约在冬季,da'yue'zai'dong'ji
大宅门,da'zhai'men
大丈夫,da'zhang'fu
大中国,da'zhong'guo
带上你的故事跟我走,dai'shang'ni'de'gu'shi'gen'wo'zou
带我飞吧,dai'wo'fei'ba
带我去流浪,dai'wo'qu'liu'lang
带我去月球,dai'wo'qu'yue'qiu
带我走,dai'wo'zou
待续,dai'xu
带子郎,dai'zi'lang
蛋白质女孩,dan'bai'zhi'nv'hai
蛋炒饭,dan'chao'fan
单车少女,dan'che'shao'nv
单车岁月,dan'che'sui'yue
单程车票,dan'cheng'che'piao
单纯的孩子,dan'chun'de'hai'zi
单纯的脸孔,dan'chun'de'lian'kong
单纯女孩单飞单恋,dan'chun'nv'hai'dan'fei'dan'lian
蛋佬的棉袄,dan'lao'de'mian'ao
单恋一只花,dan'lian'yi'zhi'hua
单恋一支花,dan'lian'yi'zhi'hua
单情弦,dan'qing'xian
单人床双人房,dan'ren'chuang'shuang'ren'fang
单人房双人床,dan'ren'fang'shuang'ren'chuang
单身的感受,dan'shen'de'gan'shou
单身公害,dan'shen'gong'hai
单身女子,dan'shen'nv'zi
单身女子俱乐部,dan'shen'nv'zi'ju'le'bu
单身情歌,dan'shen'qing'ge
单身日记,dan'shen'ri'ji
单身逃亡,dan'shen'tao'wang
单身移民,dan'shen'yi'min
单身一族,dan'shen'yi'zu
单手拥抱,dan'shou'yong'bao
淡水河边的烟火,dan'shui'he'bian'de'yan'huo
胆小鬼,dan'xiao'gui
单行道,dan'xing'dao
单眼皮女生,dan'yan'pi'nv'sheng
但愿不只是朋友,dan'yuan'bu'zhi'shi'peng'you
但愿不只是情人,dan'yuan'bu'zhi'shi'qing'ren
但愿花常在,dan'yuan'hua'chang'zai
但愿你明白,dan'yuan'ni'ming'bai
但愿你知道,dan'yuan'ni'zhi'dao
但愿人长久,dan'yuan'ren'chang'jiu
但愿与她相拥,dan'yuan'yu'ta'xiang'yong
当爱变成习惯,dang'ai'bian'cheng'xi'guan
当爱情经过的时候,dang'ai'qing'jing'guo'de'shi'hou
当爱情走到尽头,dang'ai'qing'zou'dao'jin'tou
当爱已成往事,dang'ai'yi'cheng'wang'shi
当爱已错时,dang'ai'yi'cuo'shi
当爱在靠近,dang'ai'zai'kao'jin
挡不住我的心,dang'bu'zhu'wo'de'xin
当初我怎么会不懂,dang'chu'wo'zen'me'hui'bu'dong
当初应该爱你,dang'chu'ying'gai'ai'ni
当刺猬爱上玫瑰,dang'ci'wei'ai'shang'mei'gui
当男人爱上女人,dang'nan'ren'ai'shang'nv'ren
当你,dang'ni
当你从我眼中离开,dang'ni'cong'wo'yan'zhong'li'kai
当你孤单你会想起谁,dang'ni'gu'dan'ni'hui'xiang'qi'shei
当你回来找我,dang'ni'hui'lai'zhao'wo
当你是朋友,dang'ni'shi'peng'you
当你说爱我的时候,dang'ni'shuo'ai'wo'de'shi'hou
当你在哭,dang'ni'zai'ku
当年情,dang'nian'qing
党旗飘飘,dang'qi'piao'piao
当时的月亮,dang'shi'de'yue'liang
当天的心,dang'tian'de'xin
当我爱上你,dang'wo'ai'shang'ni
当我开始偷偷的想你,dang'wo'kai'shi'tou'tou'de'xiang'ni
当我老了,dang'wo'lao'le
当我们拥抱的时候,dang'wo'men'yong'bao'de'shi'hou
当我想你的时候,dang'wo'xiang'ni'de'shi'hou
当我想起你,dang'wo'xiang'qi'ni
当我已经知道爱,dang'wo'yi'jing'zhi'dao'ai
当我遇上你,dang'wo'yu'shang'ni
当我再爱你的时候,dang'wo'zai'ai'ni'de'shi'hou
当我再次接到电话的时候,dang'wo'zai'ci'jie'dao'dian'hua'de'shi'hou
当我知道你们相爱,dang'wo'zhi'dao'ni'men'xiang'ai
荡漾,dang'yang
当阳光变冷,dang'yang'guang'bian'leng
当找到你,dang'zhao'dao'ni
当这地球没有花,dang'zhe'di'qiu'mei'you'hua
当真就好,dang'zhen'jiu'hao
当中究竟,dang'zhong'jiu'jing
稻草人,dao'cao'ren
到处留情,dao'chu'liu'qing
到处乱走,dao'chu'luan'zou
到此一游,dao'ci'yi'you
倒带,dao'dai
到敌人后方去,dao'di'ren'hou'fang'qu
到底什么时候才会想起我,dao'di'shen'me'shi'hou'cai'hui'xiang'qi'wo
祷告,dao'gao
刀光剑影,dao'guang'jian'ying
到海边,dao'hai'bian
刀剑如梦,dao'jian'ru'meng
到了晚上,dao'le'wan'shang
刀马旦,dao'ma'dan
刀枪不入,dao'qiang'bu'ru
到时候再说,dao'shi'hou'zai'shuo
倒数开始,dao'shu'kai'shi
倒数三秒,dao'shu'san'miao
到我这里躲雨,dao'wo'zhe'li'duo'yu
稻香,dao'xiang
倒影,dao'ying
倒影先生,dao'ying'xian'sheng
岛中央,dao'zhong'yang
倒转地球,dao'zhuan'di'qiu
得意的笑,de'yi'de'xiao
等爱的玫瑰,deng'ai'de'mei'gui
等爱降落,deng'ai'jiang'luo
等爱走了以后,deng'ai'zou'le'yi'hou
等不到的人,deng'bu'dao'de'ren
等待,deng'dai
等待的男孩,deng'dai'de'nan'hai
等待花开,deng'dai'hua'kai
等待那一天,deng'dai'na'yi'tian
等待一世人,deng'dai'yi'shi'ren
等到那一天,deng'dao'na'yi'tian
等到天昏地暗,deng'dao'tian'hun'di'an
等等等等,deng'deng'deng'deng
等风的旗,deng'feng'de'qi
灯红酒绿,deng'hong'jiu'lv
等了又等,deng'le'you'deng
等你爱我,deng'ni'ai'wo
等你把梦做完,deng'ni'ba'meng'zuo'wan
等你道歉,deng'ni'dao'qian
等你的心,deng'ni'de'xin
等你等到我心痛,deng'ni'deng'dao'wo'xin'tong
等你回来,deng'ni'hui'lai
等你开口把我留下来,deng'ni'kai'kou'ba'wo'liu'xia'lai
等你说爱我,deng'ni'shuo'ai'wo
等你忘了我是谁,deng'ni'wang'le'wo'shi'shui
等你一万年,deng'ni'yi'wan'nian
等人就像在喝酒,deng'ren'jiu'xiang'zai'he'jiu
等人就象在喝酒,deng'ren'jiu'xiang'zai'he'jiu
灯碗碗开花在窗台,deng'wan'wan'kai'hua'zai'chuang'tai
等我回来,deng'wo'hui'lai
等我一起入梦,deng'wo'yi'qi'ru'meng
等我有一天,deng'wo'you'yi'tian
等一个人,deng'yi'ge'ren
等玉人,deng'yu'ren
等着你,deng'zhe'ni
等着你回来,deng'zhe'ni'hui'lai
等着我,deng'zhe'wo
地道战,di'dao'zhan
低等动物,di'deng'dong'wu
弟弟,di'di
第二次爱上你,di'er'ci'ai'shang'ni
第二次分手,di'er'ci'fen'shou
第二道彩虹,di'er'dao'cai'hong
第二世,di'er'shi
第二十九天,di'er'shi'jiu'tian
第二天堂,di'er'tian'tang
第二最爱,di'er'zui'ai
帝国大厦,di'guo'da'sha
滴汗,di'han
第几次,di'ji'ci
第几次爱你,di'ji'ci'ai'ni
第九十九夜,di'jiu'shi'jiu'ye
地久天长,di'jiu'tian'chang
地老天荒,di'lao'tian'huang
第六感,di'liu'gan
第六元素,di'liu'yuan'su
帝女芳魂,di'nv'fang'hun
地平线,di'ping'xian
第七感,di'qi'gan
第七十七次离开你,di'qi'shi'qi'ci'li'kai'ni
地球村,di'qiu'cun
地球人,di'qiu'ren
地球仪,di'qiu'yi
地球战士,di'qiu'zhan'shi
第三十三天,di'san'shi'san'tian
第三天,di'san'tian
第三者,di'san'zhe
第三只眼,di'san'zhi'yan
第四根手指尾,di'si'gen'shou'zhi'wei
地铁,di'tie
地图,di'tu
第五次恋爱,di'wu'ci'lian'ai
第五个季节,di'wu'ge'ji'jie
地下情,di'xia'qing
地下铁,di'xia'tie
地下婴儿,di'xia'ying'er
第一次,di'yi'ci
第一次爱的人,di'yi'ci'ai'de'ren
第一次见到你,di'yi'ci'jian'dao'ni
第一次亲密接触之板砖脸,di'yi'ci'qin'mi'jie'chu'zhi'ban'zhuan'lian
第一次拥抱,di'yi'ci'yong'bao
第一滴泪,di'yi'di'lei
第一个冬季,di'yi'ge'dong'ji
第一个夏天,di'yi'ge'xia'tian
第一个找你,di'yi'ge'zhao'ni
第一号女朋友,di'yi'hao'nv'peng'you
第一号伤心人,di'yi'hao'shang'xin'ren
第一类接触,di'yi'lei'jie'chu
第一时间,di'yi'shi'jian
第一首歌,di'yi'shou'ge
第一天,di'yi'tian
第一天就爱你,di'yi'tian'jiu'ai'ni
第一眼,di'yi'yan
第一眼的爱情,di'yi'yan'de'ai'qing
地狱天使,di'yu'tian'shi
地狱天堂,di'yu'tian'tang
地震,di'zhen
点点头,dian'dian'tou
电动王,dian'dong'wang
点歌,dian'ge
电话,dian'hua
电话情缘,dian'hua'qing'yuan
电话诉衷情,dian'hua'su'zhong'qing
惦记这一些,dian'ji'zhe'yi'xie
点解,dian'jie
点亮橘子树,dian'liang'ju'zi'shu
电台情歌,dian'tai'qing'ge
店小二,dian'xiao'er
点心,dian'xin
点一首歌,dian'yi'shou'ge
电影预告,dian'ying'yu'gao
电子祝福,dian'zi'zhu'fu
雕花的马鞍,diao'hua'de'ma'an
钓灵感,diao'ling'gan
蝶儿蝶儿满天飞,die'er'die'er'man'tian'fei
蝶恋,die'lian
蝶恋花,die'lian'hua
蝶舞,die'wu
叮当,ding'dang
叮咚,ding'dong
定律,ding'lv
叮咛,ding'ning
定时炸弹,ding'shi'zha'dan
丁香姑娘,ding'xiang'gu'niang
丁香花,ding'xiang'hua
丢了,diu'le
丢手绢,diu'shou'juan
懂爱的人,dong'ai'de'ren
东北人不是黑社会,dong'bei'ren'bu'shi'hei'she'hui
东北人都是活雷锋,dong'bei'ren'dou'shi'huo'lei'feng
动不动就说爱我,dong'bu'dong'jiu'shuo'ai'wo
懂得爱自己,dong'de'ai'zi'ji
东方宝藏,dong'fang'bao'zang
东方红,dong'fang'hong
东方快车,dong'fang'kuai'che
东方女孩,dong'fang'nv'hai
东方之珠,dong'fang'zhi'zhu
东风,dong'feng
东风破,dong'feng'po
动感超人,dong'gan'chao'ren
冬季,dong'ji
冬季到台北来看雨,dong'ji'dao'tai'bei'lai'kan'yu
冬季的爱情电影,dong'ji'de'ai'qing'dian'ying
冬季来的女人,dong'ji'lai'de'nv'ren
冬季校园,dong'ji'xiao'yuan
冻结,dong'jie
动静,dong'jing
东京铁塔的幸福,dong'jing'tie'ta'de'xing'fu
东京物语,dong'jing'wu'yu
东京之吻,dong'jing'zhi'wen
懂了爱,dong'le'ai
冬恋,dong'lian
动乱动起来,dong'luan'dong'qi'lai
冬眠,dong'mian
冬眠地图,dong'mian'di'tu
东南西北风,dong'nan'xi'bei'feng
懂你,dong'ni
东山飘雨西山晴,dong'shan'piao'yu'xi'shan'qing
懂事,dong'shi
冬天,dong'tian
冬天的故事,dong'tian'de'gu'shi
冬天的回忆,dong'tian'de'hui'yi
冬天快乐,dong'tian'kuai'le
冬天里的一把火,dong'tian'li'de'yi'ba'huo
动物的悲歌,dong'wu'de'bei'ge
东西南北兵,dong'xi'nan'bei'bing
东邪西毒,dong'xie'xi'du
动心,dong'xin
冻饮,dong'yin
冬雨,dong'yu
冬至,dong'zhi
冬之寒号,dong'zhi'han'hao
冬之恋情,dong'zhi'lian'qing
冬之恋曲,dong'zhi'lian'qu
东芝月色,dong'zhi'yue'se
兜风心情,dou'feng'xin'qing
都怪我,dou'guai'wo
豆浆油条,dou'jiang'you'tiao
斗牛,dou'niu
都是路弯弯,dou'shi'lu'wan'wan
都是你,dou'shi'ni
都是你的错,dou'shi'ni'de'cuo
都是他,dou'shi'ta
都是夜归人,dou'shi'ye'gui'ren
都是真的,dou'shi'zhen'de
都算我的,dou'suan'wo'de
斗鱼,dou'yu
都在等着你,dou'zai'deng'zhe'ni
都走吧,dou'zou'ba
嘟啊,du'a
赌爱,du'ai
妒忌,du'ji
独角戏,du'jiao'xi
杜鹃,du'juan
渡口,du'kou
独立,du'li
独立日,du'li'ri
读你,du'ni
赌气,du'qi
渡情,du'qing
独上西楼,du'shang'xi'lou
都市海,du'shi'hai
都市恋歌,du'shi'lian'ge
都市猎人,du'shi'lie'ren
杜十娘,du'shi'niang
都市桃花源,du'shi'tao'hua'yuan
读书郎,du'shu'lang
独舞,du'wu
独行侠,du'xing'xia
毒药,du'yao
独一无二,du'yi'wu'er
独占神话,du'zhan'shen'hua
独照,du'zhao
独自等待,du'zi'deng'dai
独自去偷欢,du'zi'qu'tou'huan
独醉街头,du'zui'jie'tou
断肠梦,duan'chang'meng
断翅,duan'chi
断点,duan'dian
短发,duan'fa
断跟的高跟鞋,duan'gen'de'gao'gen'xie
断了的弦,duan'le'de'xian
断了线,duan'le'xian
断戏,duan'xi
断线,duan'xian
短消息,duan'xiao'xi
短暂的温柔,duan'zan'de'wen'rou
对爱不放心,dui'ai'bu'fang'xin
对爱投降,dui'ai'tou'xiang
对白,dui'bai
对不对,dui'bu'dui
对不起,dui'bu'qi
对不起不爱你,dui'bu'qi'bu'ai'ni
对不起我爱你,dui'bu'qi'wo'ai'ni
对不起谢谢,dui'bu'qi'xie'xie
对不起谢谢你,dui'bu'qi'xie'xie'ni
对错,dui'cuo
对的人,dui'de'ren
对付我,dui'fu'wo
对花,dui'hua
堆积情感,dui'ji'qing'gan
对酒当歌,dui'jiu'dang'ge
堆梦,dui'meng
对面的男孩看过来,dui'mian'de'nan'hai'kan'guo'lai
对面的女孩看过来,dui'mian'de'nv'hai'kan'guo'lai
对面沟里流河水,dui'mian'gou'li'liu'he'shui
对面男生的房间,dui'mian'nan'sheng'de'fang'jian
对面女孩看过来,dui'mian'nv'hai'kan'guo'lai
对你爱不完,dui'ni'ai'bu'wan
对你的爱还依然在,dui'ni'de'ai'hai'yi'ran'zai
对你而言,dui'ni'er'yan
对你太在乎,dui'ni'tai'zai'hu
对你我永不放弃,dui'ni'wo'yong'bu'fang'qi
对牛弹琴,dui'niu'tan'qin
对我好一点,dui'wo'hao'yi'dian
对折,dui'zhe
对着我笑,dui'zhe'wo'xiao
多爱,duo'ai
多爱你一天,duo'ai'ni'yi'tian
多爱我一秒钟,duo'ai'wo'yi'miao'zhong
多爱我一天,duo'ai'wo'yi'tian
多爱一点,duo'ai'yi'dian
多爱自己一下,duo'ai'zi'ji'yi'xia
夺标,duo'biao
躲不开的快活,duo'bu'kai'de'kuai'huo
躲藏的眼睛,duo'cang'de'yan'jing
多得他,duo'de'ta
多个朋友,duo'ge'peng'you
多好,duo'hao
多久多少,duo'jiu'duo'shao
多久没有,duo'jiu'mei'you
多开心,duo'kai'xin
多留一会,duo'liu'yi'hui
堕落,duo'luo
堕落天使,duo'luo'tian'shi
堕落天堂,duo'luo'tian'tang
躲猫猫,duo'mao'mao
多么的想你,duo'me'de'xiang'ni
多年以后,duo'nian'yi'hou
多情不悔,duo'qing'bu'hui
多情的玫瑰,duo'qing'de'mei'gui
多情的眼睛,duo'qing'de'yan'jing
多少次,duo'shao'ci
多少柔情多少泪,duo'shao'rou'qing'duo'shao'lei
多少柔情多少梦,duo'shao'rou'qing'duo'shao'meng
多少相思无从寄,duo'shao'xiang'si'wu'cong'ji
多事之秋,duo'shi'zhi'qiu
多数是晴天,duo'shu'shi'qing'tian
多希望你在这里,duo'xi'wang'ni'zai'zhe'li
多想,duo'xiang
多想你好,duo'xiang'ni'hao
多谢,duo'xie
多谢老天爷,duo'xie'lao'tian'ye
多谢你,duo'xie'ni
多谢失恋,duo'xie'shi'lian
多心,duo'xin
多疑的海洋,duo'yi'de'hai'yang
多一点,duo'yi'dian
多一天爱一点,duo'yi'tian'ai'yi'dian
多远,duo'yuan
多云短暂雷阵雨,duo'yun'duan'zan'lei'zhen'yu
饿狼传说,e'lang'chuan'shuo
噩梦,e'meng
恶梦,e'meng
恶魔的新娘,e'mo'de'xin'niang
恶女,e'nv
恶性循环,e'xing'xun'huan
鳄鱼的眼泪,e'yu'de'yan'lei
恶作剧,e'zuo'ju
恶作剧男孩,e'zuo'ju'nan'hai
恩爱,en'ai
恩爱夫妻,en'ai'fu'qi
恩赐,en'ci
恩情,en'qing
二八恋曲,er'ba'lian'qu
耳边风,er'bian'feng
二等天使,er'deng'tian'shi
耳洞,er'dong
二分之一爱情,er'fen'zhi'yi'ai'qing
二分之一的爱情,er'fen'zhi'yi'de'ai'qing
二分之一的幸福,er'fen'zhi'yi'de'xing'fu
二个人的夜晚,er'ge'ren'de'ye'wan
耳环,er'huan
二见钟情,er'jian'zhong'qing
二愣子,er'leng'zi
二楞子,er'leng'zi
儿女,er'nv
儿女私情,er'nv'si'qing
而情是近,er'qing'shi'jin
二泉映月,er'quan'ying'yue
二人迷失世界,er'ren'mi'shi'shi'jie
二人默剧,er'ren'mo'ju
二人前,er'ren'qian
二人时间,er'ren'shi'jian
二人世界杯,er'ren'shi'jie'bei
二人行一日后,er'ren'xing'yi'ri'hou
二十二,er'shi'er
二十二条校规,er'shi'er'tiao'xiao'gui
二十世纪少年,er'shi'shi'ji'shao'nian
二手衫,er'shou'shan
二手烟,er'shou'yan
儿童乐园,er'tong'le'yuan
儿童团,er'tong'tuan
而我知道,er'wo'zhi'dao
二月里来,er'yue'li'lai
二月三日,er'yue'san'ri
二月十四,er'yue'shi'si
二月十四的约会,er'yue'shi'si'de'yue'hui
发财发福中国年,fa'cai'fa'fu'zhong'guo'nian
发呆,fa'dai
发动我的青春,fa'dong'wo'de'qing'chun
发亮,fa'liang
发脾气,fa'pi'qi
发热发亮,fa're'fa'liang
发如雪,fa'ru'xue
发烧,fa'shao
发誓,fa'shi
法网柔情,fa'wang'rou'qing
发现,fa'xian
发泄,fa'xie
发言人,fa'yan'ren
反方向的钟,fan'fang'xiang'de'zhong
反骨仔,fan'gu'zai
凡间,fan'jian
翻来覆去,fan'lai'fu'qu
烦恼,fan'nao
凡人的告白书,fan'ren'de'gao'bai'shu
凡人歌,fan'ren'ge
翻身农奴把歌唱,fan'shen'nong'nu'ba'ge'chang
反省,fan'xing
烦着呢,fan'zhe'ne
放爱一条生路,fang'ai'yi'tiao'sheng'lu
方便面精装版,fang'bian'mian'jing'zhuang'ban
放不低,fang'bu'di
防不胜防,fang'bu'sheng'fang
芳草无情,fang'cao'wu'qing
方寸大乱,fang'cun'da'luan
放荡不羁,fang'dang'bu'ji
仿佛是昨天,fang'fu'shi'zuo'tian
放假了,fang'jia'le
放开你的手,fang'kai'ni'de'shou
放开你的心,fang'kai'ni'de'xin
放开我,fang'kai'wo
房客,fang'ke
防空洞,fang'kong'dong
