阿尔塞斯,a'er'sai'si
熊鹿流,xiong'lu'liu
熊猫酒仙,xiong'mao'jiu'xian
熊形态,xiong'xing'tai
熊战,xiong'zhan
熊战士,xiong'zhan'shi
修补匠,xiu'bu'jiang
秀逗,xiu'dou
秀逗魔导士,xiu'dou'mo'dao'shi
秀逗魔导师,xiu'dou'mo'dao'shi
秀队,xiu'dui
虚空假面,xu'kong'jia'mian
虚无宝石,xu'wu'bao'shi
虚无状态,xu'wu'zhuang'tai
玄冥盾牌,xuan'ming'dun'pai
玄铁锤,xuan'tie'chui
穴居恶魔,xue'ju'e'mo
血魔,xue'mo
血魔法师,xue'mo'fa'shi
血浴之母,xue'yu'zhi'mu
驯兽师,xun'shou'shi
亚龙,ya'long
岩石傀儡,yan'shi'kui'lei
岩石印记,yan'shi'yin'ji
羊刀,yang'dao
要塞,yao'sai
妖术,yao'shu
夜叉,ye'cha
夜魔,ye'mo
野兽幽魂,ye'shou'you'hun
野性护符,ye'xing'hu'fu
野性护身符,ye'xing'hu'shen'fu
野战,ye'zhan
异教徒,yi'jiao'tu
伊利丹,yi'li'dan
医疗波,yi'liao'bo
医疗剂,yi'liao'ji
遗忘法师,yi'wang'fa'shi
移形换位,yi'xing'huan'wei
隐刺,yin'ci
隐刀,yin'dao
隐身术,yin'shen'shu
隐身药水,yin'shen'yao'shui
隐形刺客,yin'xing'ci'ke
阴影之狼,yin'ying'zhi'lang
胤真,yin'zhen
影遁,ying'dun
硬弓,ying'gong
硬化皮肤,ying'hua'pi'fu
鹰角弓,ying'jiao'gong
影魔,ying'mo
鹰身女妖流氓,ying'shen'nv'yao'liu'mang
鹰身女妖女皇,ying'shen'nv'yao'nv'huang
鹰身女妖巫婆,ying'shen'nv'yao'wu'po
英勇头盔,ying'yong'tou'kui
永恒之树,yong'heng'zhi'shu
勇气勋章,yong'qi'xun'zhang
幽鬼,you'gui
幽灵系带,you'ling'ji'dai
幽灵之狼,you'ling'zhi'lang
幽冥一击,you'ming'yi'ji
玉蝴蝶流,yu'hu'die'liu
育母蜘蛛,yu'mu'zhi'zhu
淤泥怪物,yu'ni'guai'wu
淤泥投手,yu'ni'tou'shou
淤泥战士,yu'ni'zhan'shi
鱼人,yu'ren
鱼人守卫,yu'ren'shou'wei
圆盾,yuan'dun
远古神灵,yuan'gu'shen'ling
远古之树,yuan'gu'zhi'shu
原始咆哮,yuan'shi'pao'xiao
元素分离,yuan'su'fen'li
远行鞋,yuan'xing'xie
月井,yue'jing
月亮女祭祀,yue'liang'nv'ji'si
月女,yue'nv
月骑,yue'qi
月刃,yue'ren
月神之箭,yue'shen'zhi'jian
月之女祭司,yue'zhi'nv'ji'si
月之女祭祀,yue'zhi'nv'ji'si
月之骑士,yue'zhi'qi'shi
晕锤,yun'chui
灾祸树人,zai'huo'shu'ren
再装填,zai'zhuang'tian
憎恶毁灭流,zeng'wu'hui'mie'liu
炸弹人,zha'dan'ren
战歌之鼓,zhan'ge'zhi'gu
战鼓,zhan'gu
战棍,zhan'gun
战意,zhan'yi
战争古树,zhan'zheng'gu'shu
战争践踏,zhan'zheng'jian'ta
战争傀儡,zhan'zheng'kui'lei
战争磨坊,zhan'zheng'mo'fang
张合,zhang'he
召唤豪猪,zhao'huan'hao'zhu
召唤熊,zhao'huan'xiong
召唤岩浆怪,zhao'huan'yan'jiang'guai
召唤战鹰,zhao'huan'zhan'ying
侦察守卫,zhen'cha'shou'wei
振奋宝石,zhen'fen'bao'shi
振魂石,zhen'hun'shi
真视宝石,zhen'shi'bao'shi
真眼,zhen'yan
蒸汽坦克,zheng'qi'tan'ke
智慧披风,zhi'hui'pi'feng
智慧之刃,zhi'hui'zhi'ren
智慧之书,zhi'hui'zhi'shu
智力斗篷,zhi'li'dou'peng
治疗卷轴,zhi'liao'juan'zhou
治疗喷雾,zhi'liao'pen'wu
治疗神符,zhi'liao'shen'fu
治疗守卫,zhi'liao'shou'wei
治疗指环,zhi'liao'zhi'huan
支配头盔,zhi'pei'tou'kui
知识之书,zhi'shi'zhi'shu
蜘蛛流,zhi'zhu'liu
中单,zhong'dan
中和权杖,zhong'he'quan'zhang
重甲,zhong'jia
中甲,zhong'jia
中立英雄,zhong'li'ying'xiong
中路,zhong'lu
众神,zhong'shen
众神之王,zhong'shen'zhi'wang
主机刷,zhu'ji'shua
祝融夫人,zhu'rong'fu'ren
蛛网,zhu'wang
蛛网怪女皇,zhu'wang'guai'nv'huang
蛛网怪首领,zhu'wang'guai'shou'ling
蛛网怪预言者,zhu'wang'guai'yu'yan'zhe
蛛网怪战士,zhu'wang'guai'zhan'shi
蛛网怪织网者,zhu'wang'guai'zhi'wang'zhe
专家级牧师训练,zhuan'jia'ji'mu'shi'xun'lian
专家级巫医训练,zhuan'jia'ji'wu'yi'xun'lian
专注光环,zhuan'zhu'guang'huan
灼热之箭,zhuo're'zhi'jian
自然之力,zi'ran'zhi'li
紫微仙衣,zi'wei'xian'yi
紫夜冰封,zi'ye'bing'feng
紫怨之杖,zi'yuan'zhi'zhang
钻地,zuan'di
醉酒云雾,zui'jiu'yun'wu
