阿甲文,a'jia'wen
丝绸之路的音乐文化,si'chou'zhi'lu'de'yin'yue'wen'hua
四川清音,si'chuan'qing'yin
四川扬琴,si'chuan'yang'qin
四川竹琴,si'chuan'zhu'qin
斯尔得马克,si'er'de'ma'ke
四股弦,si'gu'xian
四股子,si'gu'zi
四胡,si'hu
四季相思,si'ji'xiang'si
四明南词,si'ming'nan'ci
四平调,si'ping'diao
四平夹安庆,si'ping'jia'an'qing
四平腔,si'ping'qiang
四生,si'sheng
四十八寨弹唱,si'shi'ba'zhai'tan'chang
丝桐,si'tong
斯图,si'tu
四弦,si'xian
四弦胡,si'xian'hu
四弦琴,si'xian'qin
丝弦曲牌,si'xian'qu'pai
泗州大鼓,si'zhou'da'gu
宋代歌舞剧曲录要,song'dai'ge'wu'ju'qu'lu'yao
宋金杂剧考,song'jin'za'ju'kao
嵩明花灯,song'ming'hua'deng
宋明音乐史料,song'ming'yin'yue'shi'liao
松弦馆琴谱,song'xian'guan'qin'pu
宋元明讲唱文学,song'yuan'ming'jiang'chang'wen'xue
宋元戏曲文物与民俗,song'yuan'xi'qu'wen'wu'yu'min'su
苏尔奈,su'er'nai
苏古杜,su'gu'du
苏古笃,su'gu'du
苏维光,su'wei'guang
苏州弹词,su'zhou'tan'ci
隋唐五代音乐史料,sui'tang'wu'dai'yin'yue'shi'liao
隋唐燕乐调研究,sui'tang'yan'yue'diao'yan'jiu
随县出土音乐文物专辑,sui'xian'chu'tu'yin'yue'wen'wu'zhuan'ji
穗子,sui'zi
孙菊仙,sun'ju'xian
孙良,sun'liang
梭钢,suo'gang
唆尽,suo'jin
唆君,suo'jun
唢呐,suo'na
唢呐目牌,suo'na'mu'pai
太古遗音,tai'gu'yi'yin
抬花轿,tai'hua'jiao
太平调,tai'ping'diao
太平鼓,tai'ping'gu
太琴,tai'qin
台湾音乐史初稿,tai'wan'yin'yue'shi'chu'gao
太音大全集,tai'yin'da'quan'ji
檀板,tan'ban
弹拨乐器,tan'bo'yue'qi
谭凤元,tan'feng'yuan
谭关吉,tan'guan'ji
滩簧,tan'huang
谭接强,tan'jie'qiang
谭金田,tan'jin'tian
谈京剧唱腔的旋律和字调,tan'jing'ju'chang'qiang'de'xuan'lv'he'zi'diao
探亲调,tan'qin'tiao
谭文友,tan'wen'you
谭鑫培,tan'xin'pei
谭学朝,tan'xue'chao
唐代音乐舞,tang'dai'yin'yue'wu
唐代音乐与古谱译读,tang'dai'yin'yue'yu'gu'pu'yi'du
唐代珍,tang'dai'zhen
堂鼓,tang'gu
镗锣,tang'luo
唐琴,tang'qin
唐山落子,tang'shan'lao'zi
唐声诗,tang'sheng'shi
唐戏弄,tang'xi'nong
鼗鼓,tao'gu
陶埙,tao'xun
陶杨树,tao'yang'shu
陶玉芬,tao'yu'fen
特琴,te'qin
特钟,te'zhong
滕有明,teng'you'ming
提琴,ti'qin
天津时调,tian'jin'shi'tiao
天沔小曲,tian'mian'xiao'qu
天闻阁琴谱,tian'wen'ge'qin'pu
天下同,tian'xia'tong
田一彦,tian'yi'yan
填臻,tian'zhen
跳龙门,tiao'long'men
铁鼓,tie'gu
铁胡,tie'hu
铁琴,tie'qin
铜冬,tong'dong
铜洞,tong'dong
铜鼓,tong'gu
铜鼓史话,tong'gu'shi'hua
铜鼓舞,tong'gu'wu
铜铃,tong'ling
筒钦,tong'qin
铜筒四胡,tong'tong'si'hu
同州梆子,tong'zhou'bang'zi
头管,tou'guan
土地戏,tu'di'xi
吐尔地阿洪,tu'er'di'a'hong
土鼓,tu'gu
土家族,tu'jia'zu
吐良,tu'liang
土子腔,tu'zi'qiang
瓦格洛,wa'ge'luo
瓦琴,wa'qin
佤族,wa'zu
佤族清戏,wa'zu'qing'xi
外族音乐流传中国史,wai'zu'yin'yue'liu'chuan'zhong'guo'shi
汪桂芬,wang'gui'fen
王国维戏曲论文集,wang'guo'wei'xi'qu'lun'wen'ji
王景才,wang'jing'cai
王茂章,wang'mao'zhang
王妚大,wang'pei'da
王少舫,wang'shao'fang
王翁秋,wang'weng'qiu
王瑶卿,wang'yao'qing
王以良,wang'yi'liang
王莹仙,wang'ying'xian
王毓宝,wang'yu'bao
王玉罄,wang'yu'qing
汪昱庭,wang'yu'ting
魏长生,wei'chang'sheng
苇笛,wei'di
魏晋南北朝音乐史料,wei'jin'nan'bei'chao'yin'yue'shi'liao
蔚利,wei'li
魏良辅曲律,wei'liang'fu'qu'lv
魏荣元,wei'rong'yuan
维吾尔族,wei'wu'er'zu
维吾尔族手鼓,wei'wu'er'zu'shou'gu
韦忠,wei'zhong
卫仲乐,wei'zhong'le
文场,wen'chang
文山花灯,wen'shan'hua'deng
文书调,wen'shu'tiao
温痛,wen'tong
文枕琴,wen'zhen'qin
嗡子,weng'zi
卧牛,wo'niu
吴长姣,wu'chang'jiao
武旦,wu'dan
吴德生,wu'de'sheng
梧岗琴谱,wu'gang'qin'pu
吴贵元,wu'gui'yuan
吴金松,wu'jin'song
吴景略,wu'jing'lue
婺剧,wu'ju
五句子,wu'ju'zi
吴老年,wu'lao'nian
吴梅戏曲论文集,wu'mei'xi'qu'lun'wen'ji
吴荣昌,wu'rong'chang
梧桐琴,wu'tong'qin
吴文彩,wu'wen'cai
吴贤富,wu'xian'fu
五弦琵琶,wu'xian'pi'pa
吴信兰,wu'xin'lan
无音孔埙,wu'yin'kong'xun
吴永贵,wu'yong'gui
吴永勋,wu'yong'xun
五知斋琴谱,wu'zhi'zhai'qin'pu
西河大鼓,xi'he'da'gu
西河调,xi'he'tiao
锡剧,xi'ju
锡剧曲调,xi'ju'qu'diao
西麓堂琴谱,xi'lu'tang'qin'pu
西皮,xi'pi
奚琴,xi'qin
西秦腔,xi'qin'qiang
戏曲笔谈,xi'qu'bi'tan
戏曲唱腔和语言的关系,xi'qu'chang'qiang'he'yu'yan'de'guan'xi
戏曲乐人,xi'qu'le'ren
戏曲腔系及主要剧种,xi'qu'qiang'xi'ji'zhu'yao'ju'zhong
戏曲声腔,xi'qu'sheng'qiang
戏曲演唱论著辑释,xi'qu'yan'chang'lun'zhu'ji'shi
戏曲音乐史概述,xi'qu'yin'yue'shi'gai'shu
溪山琴况,xi'shan'qin'kuang
戏文概论,xi'wen'gai'lun
西厢记说唱集,xi'xiang'ji'shuo'chang'ji
西厢记四种乐谱选曲,xi'xiang'ji'si'zhong'yue'pu'xuan'qu
细腰鼓,xi'yao'gu
西藏纪游,xi'zang'ji'you
昔兹,xi'zi
夏荷生,xia'he'sheng
下山虎,xia'shan'hu
下五音,xia'wu'yin
现存元明清南北曲全折乐谱目录,xian'cun'yuan'ming'qing'nan'bei'qu'quan'zhe'yue'pu'mu'lu
现代板胡,xian'dai'ban'hu
现代管,xian'dai'guan
弦管,xian'guan
弦马,xian'ma
先秦音乐美学思想论稿,xian'qin'yin'yue'mei'xue'si'xiang'lun'gao
闲情偶寄,xian'qing'ou'ji
弦似筋,xian'si'jin
弦索备考,xian'suo'bei'kao
贤孝,xian'xiao
弦轴,xian'zhou
响把,xiang'ba
象脚鼓,xiang'jiao'gu
象脚鼓舞,xiang'jiao'gu'wu
响篾,xiang'mie
相思影,xiang'si'ying
襄垣鼓书,xiang'yuan'gu'shu
襄垣调,xiang'yuan'tiao
响盏,xiang'zhan
小筚篥,xiao'bi'li
小裁板,xiao'cai'ban
小镲,xiao'cha
小车舞,xiao'che'wu
小旦,xiao'dan
小独笛,xiao'du'di
小鼓,xiao'gu
小开口,xiao'kai'kou
小雷,xiao'lei
小锣,xiao'luo
小芒筒,xiao'mang'tong
小生,xiao'sheng
小桃红,xiao'tao'hong
消眼板,xiao'yan'ban
谐舞,xie'wu
新凤霞,xin'feng'xia
新疆舆图风土考,xin'jiang'yu'tu'feng'tu'kao
绣荷包,xiu'he'bao
秀山花灯,xiu'shan'hua'deng
徐丽仙,xu'li'xian
鬚生,xu'sheng
徐云志,xu'yun'zhi
宣和博古图,xuan'he'bo'gu'tu
玄琴,xuan'qin
薛筱卿,xue'xiao'qing
荀慧生,xun'hui'sheng
寻江弹唱,xun'jiang'tan'chang
哑胡,ya'hu
严凤英,yan'feng'ying
烟盒,yan'he
严鸿六,yan'hong'liu
燕乐考原,yan'le'kao'yuan
燕乐三书,yan'le'san'shu
燕乐探微,yan'le'tan'wei
宴席曲,yan'xi'qu
雁柱箜篌,yan'zhu'kong'hou
秧歌,yang'ge
扬剧,yang'ju
扬剧曲调,yang'ju'qu'diao
羊皮鼓,yang'pi'gu
扬琴,yang'qin
洋琴,yang'qin
杨森,yang'sen
杨淑敏,yang'shu'min
杨顺和,yang'shun'he
杨唐翠,yang'tang'cui
杨旺,yang'wang
杨秀桂,yang'xiu'gui
杨学仲,yang'xue'zhong
杨应先,yang'ying'xian
阳友鹤,yang'you'he
杨元亨,yang'yuan'heng
养正轩琵琶谱,yang'zheng'xuan'pi'pa'pu
扬州清曲,yang'zhou'qing'qu
扬州弹词,yang'zhou'tan'ci
姚安花灯,yao'an'hua'deng
腰鼓,yao'gu
腰铃,yao'ling
瑶琴,yao'qin
瑶族,yao'zu
瑶族长鼓,yao'zu'chang'gu
夜箫,ye'xiao
一丑,yi'chou
一串珠,yi'chuan'zhu
义管笙,yi'guan'sheng
一流,yi'liu
艺术语言发声基础,yi'shu'yu'yan'fa'sheng'ji'chu
一条龙,yi'tiao'long
一弦琴,yi'xian'qin
一眼板,yi'yan'ban
弋阳腔,yi'yang'qiang
一音孔埙,yi'yin'kong'xun
一枝花,yi'zhi'hua
彝族,yi'zu
彝族甲苏,yi'zu'jia'su
义嘴笛,yi'zui'di
音孔,yin'kong
蚓庐曲谈,yin'lu'qu'tan
银纽丝,yin'niu'si
尹香芳,yin'xiang'fang
吟香堂曲谱,yin'xiang'tang'qu'pu
银杏吉斯,yin'xing'ji'si
音乐史学美学论稿,yin'yue'shi'xue'mei'xue'lun'gao
银字筚篥,yin'zi'bi'li
鹰笛,ying'di
迎风板,ying'feng'ban
瀛洲古调,ying'zhou'gu'tiao
永乐大典戏文三种校注,yong'le'da'dian'xi'wen'san'zhong'jiao'zhu
有关民间曲式结构的乐语,you'guan'min'jian'qu'shi'jie'gou'de'le'yu
有关民间旋法的乐语,you'guan'min'jian'xuan'fa'de'le'yu
有关民间演唱演奏的乐语,you'guan'min'jian'yan'chang'yan'zou'de'le'yu
幼生,you'sheng
豫东腔,yu'dong'qiang
渔鼓,yu'gu
裕固族,yu'gu'zu
豫剧,yu'ju
豫剧唱腔,yu'ju'chang'qiang
虞美人,yu'mei'ren
玉琴,yu'qin
余三胜,yu'san'sheng
玉溪花灯,yu'xi'hua'deng
豫西腔,yu'xi'qiang
俞秀山,yu'xiu'shan
语言音乐学初探,yu'yan'yin'yue'xue'chu'tan
语言与音乐,yu'yan'yu'yin'yue
余姚腔,yu'yao'qiang
鱼咬尾,yu'yao'wei
俞振飞,yu'zhen'fei
辕门鼓,yuan'men'gu
元谋花灯,yuan'mou'hua'deng
元散曲的音乐,yuan'san'qu'de'yin'yue
袁雪芬,yuan'xue'fen
鸳鸯句,yuan'yang'ju
袁子文,yuan'zi'wen
粤风,yue'feng
乐府传声,yue'fu'chuan'sheng
乐府杂录,yue'fu'za'lu
粤胡,yue'hu
越剧,yue'ju
粤剧,yue'ju
乐律全书,yue'lv'quan'shu
月琴,yue'qin
粤曲,yue'qu
乐师史,yue'shi'shi
云璈,yun'ao
云锣,yun'luo
云南花灯戏,yun'nan'hua'deng'xi
杂腔,za'qiang
藏族,zang'zu
藏族乐论,zang'zu'le'lun
燥鼓,zao'gu
枣核腔,zao'he'qiang
赠板,zeng'ban
札木聂,zha'mu'nie
轧琴,zha'qin
炸音,zha'yin
轧筝琴,zha'zheng'qin
斩龙头,zhan'long'tou
张二奎,zhang'er'kui
杖鼓,zhang'gu
张海魁,zhang'hai'kui
张宏干,zhang'hong'gan
张丽云,zhang'li'yun
张牛龙,zhang'niu'long
张毓福,zhang'yu'fu
张玉珍,zhang'yu'zhen
赵春峰,zhao'chun'feng
赵松庭,zhao'song'ting
赵玉斋,zhao'yu'zhai
赵钟周,zhao'zhong'zhou
折断腰,zhe'duan'yao
哲噶尔,zhe'ga'er
枕头琴,zhen'tou'qin
郑宝恒,zheng'bao'heng
正旦,zheng'dan
正南路,zheng'nan'lu
种大麦调,zhong'da'mai'tiao
中国部分民间音乐乐语,zhong'guo'bu'fen'min'jian'yin'yue'le'yu
中国出土古代乐器分域简目,zhong'guo'chu'tu'gu'dai'yue'qi'fen'yu'jian'mu
中国古代吹孔乐器,zhong'guo'gu'dai'chui'kong'yue'qi
中国古代歌曲,zhong'guo'gu'dai'ge'qu
中国古代乐论选辑,zhong'guo'gu'dai'le'lun'xuan'ji
中国古代戏曲论著集成,zhong'guo'gu'dai'xi'qu'lun'zhu'ji'cheng
中国古代音乐史稿,zhong'guo'gu'dai'yin'yue'shi'gao
中国古代音乐史简编,zhong'guo'gu'dai'yin'yue'shi'jian'bian
中国古代音乐文献,zhong'guo'gu'dai'yin'yue'wen'xian
中国近世戏曲史,zhong'guo'jin'shi'xi'qu'shi
中国琵琶史稿,zhong'guo'pi'pa'shi'gao
中国少数民族乐器志,zhong'guo'shao'shu'min'zu'yue'qi'zhi
中国俗文学史,zhong'guo'su'wen'xue'shi
中国西部音乐论,zhong'guo'xi'bu'yin'yue'lun
中国戏曲丛谈,zhong'guo'xi'qu'cong'tan
中国戏曲发展史纲要,zhong'guo'xi'qu'fa'zhan'shi'gang'yao
中国戏曲通史,zhong'guo'xi'qu'tong'shi
中国音乐考古资料文献目录,zhong'guo'yin'yue'kao'gu'zi'liao'wen'xian'mu'lu
中国音乐美学史论,zhong'guo'yin'yue'mei'xue'shi'lun
中国音乐美学史资料注译,zhong'guo'yin'yue'mei'xue'shi'zi'liao'zhu'yi
中国音乐史,zhong'guo'yin'yue'shi
中国音乐史参考图片,zhong'guo'yin'yue'shi'can'kao'tu'pian
中国音乐史纲,zhong'guo'yin'yue'shi'gang
中国音乐史纲要,zhong'guo'yin'yue'shi'gang'yao
中国音乐史略,zhong'guo'yin'yue'shi'lue
中国音乐史论述稿,zhong'guo'yin'yue'shi'lun'shu'gao
中国音乐史图鉴,zhong'guo'yin'yue'shi'tu'jian
中国音乐史乐谱篇,zhong'guo'yin'yue'shi'yue'pu'pian
中国音乐史乐器篇,zhong'guo'yin'yue'shi'yue'qi'pian
中国音乐文学史,zhong'guo'yin'yue'wen'xue'shi
中国音乐小史,zhong'guo'yin'yue'xiao'shi
中国乐器,zhong'guo'yue'qi
中国乐器图志,zhong'guo'yue'qi'tu'zhi
中国主要民间歌舞品种,zhong'guo'zhu'yao'min'jian'ge'wu'pin'zhong
中国主要说唱品种,zhong'guo'zhu'yao'shuo'chang'pin'zhong
中国主要乐器,zhong'guo'zhu'yao'yue'qi
中胡,zhong'hu
仲鲁,zhong'lu
中路梆子,zhong'lu'bang'zi
中芒筒,zhong'mang'tong
中音管,zhong'yin'guan
中音笙,zhong'yin'sheng
中乐寻源,zhong'yue'xun'yuan
周慕莲,zhou'mu'lian
周信芳,zhou'xin'fang
竹喇叭,zhu'la'ba
朱勤甫,zhu'qin'fu
朱素普玛玛依,zhu'su'pu'ma'ma'yi
竹筒,zhu'tong
主要剧种,zhu'yao'ju'zhong
驻云飞,zhu'yun'fei
朱载堉明代的科学和艺术巨星,zhu'zai'yu'ming'dai'de'ke'xue'he'yi'shu'ju'xing
朱载堉研究,zhu'zai'yu'yan'jiu
朱仲禄,zhu'zhong'lu
抓鼓,zhua'gu
壮族,zhuang'zu
坠胡,zhui'hu
坠琴,zhui'qin
坠子,zhui'zi
卓玛,zhuo'ma
紫竹调,zi'zhu'diao
奏高,zou'gao
走马渔鼓,zou'ma'yu'gu
最小芒筒,zui'xiao'mang'tong
做桩,zuo'zhuang
座子,zuo'zi
