阿部记之,a'bu'ji'zhi
山田花太郎,shan'tian'hua'tai'lang
杉田智和,shan'tian'zhi'he
上谷秀夫,shang'gu'xiu'fu
射场,she'chang
射场铁左卫门,she'chang'tie'zuo'wei'men
蛇尾狒狒,she'wei'fei'fei
蛇尾丸,she'wei'wan
伸长吧,shen'chang'ba
伸长吧神枪,shen'chang'ba'shen'qiang
神枪,shen'qiang
甚太,shen'tai
圣光虹霞,sheng'guang'hong'xia
圣露琪亚,sheng'lu'qi'ya
胜生真沙子,sheng'sheng'zhen'sha'zi
生天目仁美,sheng'tian'mu'ren'mei
十川诚志,shi'chuan'cheng'zhi
石川英郎,shi'chuan'ying'lang
十番队,shi'fan'dui
尸魂界,shi'hun'jie
始解,shi'jie
十三番队,shi'san'fan'dui
石田,shi'tian
石田龙弦,shi'tian'long'xian
石田雨龙,shi'tian'yu'long
石田宗弦,shi'tian'zong'xian
市丸,shi'wan
市丸队长,shi'wan'dui'zhang
市丸银,shi'wan'yin
十一番队,shi'yi'fan'dui
手铐,shou'kao
狩矢,shou'shi
狩矢神,shou'shi'shen
双重咏唱,shuang'chong'yong'chang
双殛,shuang'ji
双莲苍火坠,shuang'lian'cang'huo'zhui
双鱼鲤,shuang'yu'li
水色,shui'se
瞬步,shun'bu
瞬閧,shun'hong
瞬花,shun'hua
瞬神夜一,shun'shen'ye'yi
舜樱,shun'ying
兕丹坊,si'dan'fang
四番队,si'fan'dui
四枫院家,si'feng'yuan'jia
四枫院夜一,si'feng'yuan'ye'yi
死神剧场版二,si'shen'ju'chang'ban'er
死神剧场版三消失与黑暗之中呼唤你的名字,si'shen'ju'chang'ban'san'xiao'shi'yu'hei'an'zhi'zhong'hu'huan'ni'de'ming'zi
死神剧二,si'shen'ju'er
死神剧三,si'shen'ju'san
死神剧一,si'shen'ju'yi
死神舞台剧,si'shen'wu'tai'ju
死舞,si'wu
死刑执行人,si'xing'zhi'xing'ren
松本大,song'ben'da
松本考平,song'ben'kao'ping
松本乱菊,song'ben'luan'ju
松冈由贵,song'gang'you'gui
松谷彼哉,song'gu'bi'zai
速水奖,su'shui'jiang
碎蜂,sui'feng
碎蜂队长,sui'feng'dui'zhang
唐观音寺,tang'guan'yin'si
特制滋养强壮剂,te'zhi'zi'yang'qiang'zhuang'ji
藤孔雀,teng'kong'que
天谴,tian'qian
天锁斩月,tian'suo'zhan'yue
天踏绚,tian'ta'xuan
铁斋,tie'zhai
桐本琢也,tong'ben'zuo'ye
通廷证,tong'ting'zheng
荼风林,tu'feng'lin
土屋,tu'wu
瓦史托德,wa'shi'tuo'de
歪面反应,wai'mian'fan'ying
卍解,wan'jie
卍解秀,wan'jie'xiu
丸山咏二,wan'shan'yong'er
望月久代,wang'yue'jiu'dai
为霜,wei'shuang
握菱铁斋,wo'ling'tie'zhai
五番队,wu'fan'dui
五番队牢番,wu'fan'dui'lao'fan
乌露,wu'lu
五形头,wu'xing'tou
乌织,wu'zhi
西村,xi'cun
西村知道,xi'cun'zhi'dao
西凛太郎,xi'lin'tai'lang
西流魂街的长老,xi'liu'hun'jie'de'zhang'lao
喜助,xi'zhu
霞大路家,xia'da'lu'jia
霞大路琉璃千代,xia'da'lu'liu'li'qian'dai
夏井真花,xia'jing'zhen'hua
夏梨,xia'li
下屋则子,xia'wu'ze'zi
