阿卜杜,a'bu'du
达蒙琼斯,da'meng'qiong'si
达蒙斯塔德迈尔,da'meng'si'ta'de'mai'er
大前锋,da'qian'feng
达瑞尔,da'rui'er
达瑞尔斯,da'rui'er'si
达瑞尔斯迈尔斯,da'rui'er'si'mai'er'si
达瑞尔沃特金斯,da'rui'er'wo'te'jin'si
达瑞斯,da'rui'si
达瑞斯桑贾拉,da'rui'si'sang'jia'la
打三分,da'san'fen
打手犯规,da'shou'fan'gui
打四分,da'si'fen
大卫,da'wei
大卫哈里森,da'wei'ha'li'sen
大卫李,da'wei'li
大卫诺尔,da'wei'nuo'er
大卫韦斯利,da'wei'wei'si'li
大卫韦斯特,da'wei'wei'si'te
大西洋区,da'xi'yang'qu
大学生运动协会,da'xue'sheng'yun'dong'xie'hui
大学运动协会,da'xue'yun'dong'xie'hui
戴德尔,dai'de'er
戴德尔艾鲁加姆鹏加,dai'de'er'ai'lu'jia'mu'peng'jia
戴尔戴维斯,dai'er'dai'wei'si
戴奎恩,dai'kui'en
戴奎恩库克,dai'kui'en'ku'ke
戴勒姆波特,dai'le'mu'bo'te
戴米恩,dai'mi'en
戴米恩威尔金斯,dai'mi'en'wei'er'jin'si
带球上篮,dai'qiu'shang'lan
带球撞人,dai'qiu'zhuang'ren
戴维森,dai'wei'sen
戴维斯,dai'wei'si
代勇,dai'yong
丹博施埃菲尔塔,dan'bo'shi'ai'fei'er'ta
单挡掩护,dan'dang'yan'hu
丹迪考,dan'di'kao
丹佛掘金,dan'fo'jue'jin
丹佛掘金队,dan'fo'jue'jin'dui
丹加祖里奇,dan'jia'zu'li'qi
丹尼,dan'ni
丹尼尔,dan'ni'er
丹尼尔吉布森,dan'ni'er'ji'bu'sen
丹尼尔斯,dan'ni'er'si
丹尼尔伊文,dan'ni'er'yi'wen
丹尼福特森,dan'ni'fu'te'sen
丹尼格兰格,dan'ni'ge'lan'ge
丹皮尔,dan'pi'er
单涛,dan'tao
道比,dao'bi
道格拉斯,dao'ge'la'si
德尔菲诺,de'er'fei'nuo
德尔克,de'er'ke
得分,de'fen
得分后卫,de'fen'hou'wei
德国班贝格布罗斯,de'guo'ban'bei'ge'bu'luo'si
德国路德维希堡,de'guo'lu'de'wei'xi'bao
德国亚特兰龙,de'guo'ya'te'lan'long
德怀恩,de'huai'en
德怀恩琼斯,de'huai'en'qiong'si
德怀恩韦德,de'huai'en'wei'de
德怀特,de'huai'te
德怀特霍华德,de'huai'te'huo'hua'de
德克,de'ke
德克诺维茨基,de'ke'nuo'wei'ci'ji
德朗特,de'lang'te
德朗特韦斯特,de'lang'te'wei'si'te
德勒黑,de'le'hei
德里克,de'li'ke
德里克安德森,de'li'ke'an'de'sen
德里克费舍尔,de'li'ke'fei'she'er
德鲁,de'lu
德鲁古登,de'lu'gu'deng
德玛尔约翰逊,de'ma'er'yue'han'xun
德萨盖纳,de'sa'gai'na
德萨盖纳迪奥普,de'sa'gai'na'di'ao'pu
德斯蒙德,de'si'meng'de
德斯蒙德梅森,de'si'meng'de'mei'sen
德文,de'wen
德文哈里斯,de'wen'ha'li'si
邓肯,deng'ken
邓力,deng'li
邓利维,deng'li'wei
迪阿瓦拉,di'a'wa'la
迪安纳,di'an'na
迪奥,di'ao
迪奥古,di'ao'gu
迪奥普,di'ao'pu
第二节,di'er'jie
迪尔曼,di'er'man
第二年球员,di'er'nian'qiu'yuan
迪考,di'kao
迪克逊,di'ke'xun
迪肯贝,di'ken'bei
迪肯贝穆托姆博,di'ken'bei'mu'tuo'mu'bo
第六人,di'liu'ren
狄龙,di'long
狄龙威廉姆斯,di'long'wei'lian'mu'si
蒂姆,di'mu
蒂姆邓肯,di'mu'deng'ken
蒂姆托马斯,di'mu'tuo'ma'si
第三节,di'san'jie
第四节,di'si'jie
底特律活塞,di'te'lv'huo'sai
底特律活塞队,di'te'lv'huo'sai'dui
底特律猎鹰,di'te'lv'lie'ying
底特律猎鹰队,di'te'lv'lie'ying'dui
迪文,di'wen
迪文布朗,di'wen'bu'lang
