阿卜杜,a'bu'du
瑞乐马绍尔,rui'le'ma'shao'er
瑞士奥林贝纳通,rui'shi'ao'lin'bei'na'tong
萨博,sa'bo
萨博塞福罗萨,sa'bo'sai'fu'luo'sa
萨格勒布希波纳,sa'ge'le'bu'xi'bo'na
萨克拉门托国王,sa'ke'la'men'tuo'guo'wang
萨克拉门托国王队,sa'ke'la'men'tuo'guo'wang'dui
萨马基,sa'ma'ji
萨缪尔,sa'miu'er
萨缪尔戴勒姆波特,sa'miu'er'dai'le'mu'bo'te
萨姆,sa'mu
萨姆布,sa'mu'bu
萨姆卡塞尔,sa'mu'ka'sai'er
萨沙,sa'sha
萨沙乌贾基茨,sa'sha'wu'jia'ji'ci
塞巴斯蒂安,sai'ba'si'di'an
塞巴斯蒂安特尔费尔,sai'ba'si'di'an'te'er'fei'er
赛程,sai'cheng
塞德里克,sai'de'li'ke
塞德里克西蒙斯,sai'de'li'ke'xi'meng'si
塞尔,sai'er
塞尔吉奥,sai'er'ji'ao
塞尔吉奥罗德里格斯,sai'er'ji'ao'luo'de'li'ge'si
塞尔维亚海默法尔姆,sai'er'wei'ya'hai'mo'fa'er'mu
塞尔维亚泽雷齐尼克,sai'er'wei'ya'ze'lei'qi'ni'ke
塞尔希尼,sai'er'xi'ni
塞福罗萨,sai'fu'luo'sa
塞萨洛尼卡阿里斯,sai'sa'luo'ni'ka'a'li'si
塞申斯,sai'shen'si
三分球,san'fen'qiu
三分球命中率,san'fen'qiu'ming'zhong'lv
三角战术,san'jiao'zhan'shu
桑贾拉,sang'jia'la
桑普森,sang'pu'sen
森林狼,sen'lin'lang
森林狼队,sen'lin'lang'dui
沙恩,sha'en
沙恩巴蒂尔,sha'en'ba'di'er
沙福里克,sha'fu'li'ke
沙福里克兰多夫,sha'fu'li'ke'lan'duo'fu
沙库尔,sha'ku'er
沙奎尔,sha'kui'er
沙奎尔奥尼尔,sha'kui'er'ao'ni'er
沙里姆,sha'li'mu
沙里姆斯塔德迈尔,sha'li'mu'si'ta'de'mai'er
沙伦纳斯贾斯科维休斯,sha'lun'na'si'jia'si'ke'wei'xiu'si
山东黄金,shan'dong'huang'jin
山东黄金队,shan'dong'huang'jin'dui
山顿安德森,shan'dun'an'de'sen
山猫,shan'mao
山猫队,shan'mao'dui
陕西汉斯,shan'xi'han'si
陕西汉斯队,shan'xi'han'si'dui
山西中宇,shan'xi'zhong'yu
山西中宇队,shan'xi'zhong'yu'dui
上半场,shang'ban'chang
上海汇中,shang'hai'hui'zhong
上海汇中队,shang'hai'hui'zhong'dui
圣安东尼奥马刺,sheng'an'dong'ni'ao'ma'ci
圣安东尼奥马刺队,sheng'an'dong'ni'ao'ma'ci'dui
圣路易斯轰炸机,sheng'lu'yi'si'hong'zha'ji
圣路易斯轰炸机队,sheng'lu'yi'si'hong'zha'ji'dui
施冰兵,shi'bing'bing
史蒂芬,shi'di'fen
史蒂芬布雷克,shi'di'fen'bu'lei'ke
史蒂夫,shi'di'fu
史蒂夫弗朗西斯,shi'di'fu'fu'lang'xi'si
史蒂夫纳什,shi'di'fu'na'shi
史蒂夫诺瓦克,shi'di'fu'nuo'wa'ke
史蒂文,shi'di'wen
史蒂文亨特,shi'di'wen'heng'te
史蒂文森,shi'di'wen'sen
史密斯,shi'mi'si
失误,shi'wu
时限钟,shi'xian'zhong
首轮比赛,shou'lun'bi'sai
双鹿电池,shuang'lu'dian'chi
双鹿电池队,shuang'lu'dian'chi'dui
斯班瑟,si'ban'se
斯班瑟豪耶斯,si'ban'se'hao'ye'si
斯蒂法尼,si'di'fa'ni
斯蒂法尼拉斯姆,si'di'fa'ni'la'si'mu
斯蒂芬,si'di'fen
斯蒂芬格拉汉姆,si'di'fen'ge'la'han'mu
斯蒂芬杰克逊,si'di'fen'jie'ke'xun
斯蒂芬马布里,si'di'fen'ma'bu'li
斯蒂夫,si'di'fu
斯蒂夫诺瓦克,si'di'fu'nuo'wa'ke
斯金纳,si'jin'na
斯卡拉布赖恩,si'ka'la'bu'lai'en
斯科拉,si'ke'la
斯科特,si'ke'te
斯科特波拉德,si'ke'te'bo'la'de
斯拉斯克,si'la'si'ke
斯洛文尼亚卢布尔雅纳,si'luo'wen'ni'ya'lu'bu'er'ya'na
斯马什,si'ma'shen
斯马什帕克,si'ma'shen'pa'ke
斯弥恩,si'mi'en
斯耐德,si'nai'de
斯诺,si'nuo
斯潘诺里斯,si'pan'nuo'li'si
斯皮蒂,si'pi'di
斯皮蒂克拉克斯顿,si'pi'di'ke'la'ke'si'dun
死球,si'qiu
斯塔德迈尔,si'ta'de'mai'er
斯塔基,si'ta'ji
斯塔克豪斯,si'ta'ke'hao'si
斯特拉斯堡,si'te'la'si'bao
斯特罗贝里,si'te'luo'bei'li
斯特罗迈尔,si'te'luo'mai'er
斯特罗迈尔斯威夫特,si'te'luo'mai'er'si'wei'fu'te
斯特瑞,si'te'rui
斯托贾科维奇,si'tuo'jia'ke'wei'qi
斯托克顿,si'tuo'ke'dun
斯威夫特,si'wei'fu'te
斯威福特,si'wei'fu'te
斯维特尼,si'wei'te'ni
斯泽比亚克,si'ze'bi'ya'ke
宋博,song'bo
宋国令,song'guo'ling
苏伟,su'wei
隋晓龙,sui'xiao'long
孙春磊,sun'chun'lei
孙杰,sun'jie
孙铭,sun'ming
孙天农,sun'tian'nong
孙悦,sun'yue
孙忠诚,sun'zhong'cheng
索波特,suo'bo'te
索顿,suo'dun
索恩河畔沙隆,suo'en'he'pan'sha'long
索洛蒙,suo'luo'meng
索洛蒙琼斯,suo'luo'meng'qiong'si
索蒙斯,suo'meng'si
索乌,suo'wu
塔杜斯,ta'du'si
塔杜斯扬,ta'du'si'yang
塔夫特,ta'fu'te
塔克尔,ta'ke'er
泰勒,tai'le
泰龙,tai'long
泰龙鲁,tai'long'lu
泰伦斯,tai'lun'si
泰瑞斯,tai'rui'si
泰瑞斯托马斯,tai'rui'si'tuo'ma'si
泰森,tai'sen
泰森钱德勒,tai'sen'qian'de'le
泰夏安,tai'xia'an
泰夏安普林斯,tai'xia'an'pu'lin'si
太阳,tai'yang
太阳队,tai'yang'dui
汤豪杰,tang'hao'jie
汤仑,tang'lun
唐尼尔,tang'ni'er
唐尼尔马绍尔,tang'ni'er'ma'shao'er
汤普森,tang'pu'sen
唐正东,tang'zheng'dong
陶瑞恩,tao'rui'en
陶瑞恩格林,tao'rui'en'ge'lin
特尔费尔,te'er'fei'er
特科格鲁,te'ke'ge'lu
特拉维夫马卡比,te'la'wei'fu'ma'ka'bi
特拉维斯,te'la'wei'si
特拉维斯奥特劳,te'la'wei'si'ao'te'lao
特拉维斯迪安纳,te'la'wei'si'di'an'na
特兰顿,te'lan'dun
特兰顿哈塞尔,te'lan'dun'ha'sai'er
特雷维索贝纳通,te'lei'wei'suo'bei'na'tong
特雷沃,te'lei'wo
特雷沃阿里扎,te'lei'wo'a'li'zha
特雷西,te'lei'xi
特雷西麦格雷迪,te'lei'xi'mai'ge'lei'di
特雷西麦克格雷迪,te'lei'xi'mai'ke'ge'lei'di
特里,te'li
特伦斯,te'lun'si
特伦斯肯塞,te'lun'si'ken'sai
特罗伊,te'luo'yi
特罗伊哈德森,te'luo'yi'ha'de'sen
特罗伊墨菲,te'luo'yi'mo'fei
替补球员,ti'bu'qiu'yuan
体能教练,ti'neng'jiao'lian
田雨,tian'yu
跳球,tiao'qiu
跳投,tiao'tou
铁人,tie'ren
铁人队,tie'ren'dui
汀斯利,ting'si'li
停止出赛,ting'zhi'chu'sai
通钢,tong'gang
通钢队,tong'gang'dui
投球命中,tou'qiu'ming'zhong
投球命中率,tou'qiu'ming'zhong'lv
土耳其贝西克塔斯,tu'er'qi'bei'xi'ke'ta'si
土耳其电信,tu'er'qi'dian'xin
图科,tu'ke
图里亚夫,tu'li'ya'fu
图罗夫,tu'luo'fu
推人犯规,tui'ren'fan'gui
托马斯,tuo'ma'si
托马斯加德纳,tuo'ma'si'jia'de'na
托尼,tuo'ni
托尼阿伦,tuo'ni'a'lun
托尼巴蒂,tuo'ni'ba'di
托尼德尔克,tuo'ni'de'er'ke
托尼帕克,tuo'ni'pa'ke
托球上篮,tuo'qiu'shang'lan
拖延时间,tuo'yan'shi'jian
瓦夫,wa'fu
瓦莱乔,wa'lai'qiao
瓦里克,wa'li'ke
瓦伦西亚帕梅萨,wa'lun'xi'ya'pa'mei'sa
瓦斯里斯,wa'si'li'si
瓦斯里斯斯潘诺里斯,wa'si'li'si'si'pan'nuo'li'si
万马电缆,wan'ma'dian'lan
万马电缆队,wan'ma'dian'lan'dui
王斌,wang'bin
王博,wang'bo
王大勇,wang'da'yong
网队,wang'dui
王刚,wang'gang
王晶,wang'jing
王磊,wang'lei
王立刚,wang'li'gang
王楠,wang'nan
王胜,wang'sheng
王世龙,wang'shi'long
王仕鹏,wang'shi'peng
王思章,wang'si'zhang
王晓东,wang'xiao'dong
汪义航,wang'yi'hang
王英亮,wang'ying'liang
王勇,wang'yong
王治郅,wang'zhi'zhi
王中光,wang'zhong'guang
韦伯,wei'bo
韦伯斯特,wei'bo'si'te
韦德,wei'de
维多利亚陶,wei'duo'li'ya'tao
威尔,wei'er
维尔拜姆,wei'er'bai'mu
威尔弗瑞斯贝,wei'er'fu'rui'si'bei
威尔金斯,wei'er'jin'si
韦尔考克斯,wei'er'kao'ke'si
维尔克斯,wei'er'ke'si
维尔纽斯,wei'er'niu'si
维尔士,wei'er'shi
威尔斯,wei'er'si
威尔逊,wei'er'xun
威尔逊钱德勒,wei'er'xun'qian'de'le
维克顿,wei'ke'dun
维克顿瓦夫,wei'ke'dun'wa'fu
维克多,wei'ke'duo
维克多卡亚帕,wei'ke'duo'ka'ya'pa
维拉纽瓦,wei'la'niu'wa
威利,wei'li
威利格林,wei'li'ge'lin
威廉姆森,wei'lian'mu'sen
威廉姆斯,wei'lian'mu'si
维尼斯弥恩,wei'ni'si'mi'en
韦斯利,wei'si'li
韦斯特,wei'si'te
维塔利波塔潘科,wei'ta'li'bo'ta'pan'ke
威特尼,wei'te'ni
魏志,wei'zhi
文贝克,wen'bei'ke
文尼西斯,wen'ni'xi'si
文斯,wen'si
文斯比尔斯,wen'si'bi'er'si
文斯卡特,wen'si'ka'te
沃顿,wo'dun
沃恩,wo'en
沃尔特,wo'er'te
沃尔特赫尔曼,wo'er'te'he'er'man
沃尔特迈卡蒂,wo'er'te'mai'ka'di
沃克,wo'ke
沃利,wo'li
沃利斯泽比亚克,wo'li'si'ze'bi'ya'ke
沃什莱纳德,wo'shi'lai'na'de
沃斯库尔,wo'si'ku'er
沃特金斯,wo'te'jin'si
沃特森,wo'te'sen
乌度卡,wu'du'ka
乌杜尼斯,wu'du'ni'si
乌杜尼斯哈斯勒姆,wu'du'ni'si'ha'si'le'mu
乌基奇,wu'ji'qi
乌贾基茨,wu'jia'ji'ci
吴轲,wu'ke
乌克兰阿佐马什,wu'ke'lan'a'zuo'ma'shen
吴理义,wu'li'yi
吴乃群,wu'nai'qun
吴谦,wu'qian
武强,wu'qiang
无球犯规,wu'qiu'fan'gui
武士,wu'shi
武士队,wu'shi'dui
吴颂伟,wu'song'wei
吴伟,wu'wei
伍兹,wu'zi
西奥,xi'ao
西奥拉特利夫,xi'ao'la'te'li'fu
希奥利埃,xi'ao'li'ai
西班牙巴伦西亚帕梅萨,xi'ban'ya'ba'lun'xi'ya'pa'mei'sa
西班牙卡那里亚,xi'ban'ya'ka'na'li'ya
西班牙瓦伦西亚帕梅萨,xi'ban'ya'wa'lun'xi'ya'pa'mei'sa
西班牙维多利亚陶,xi'ban'ya'wei'duo'li'ya'tao
西班牙尤文图特,xi'ban'ya'you'wen'tu'te
西部联盟,xi'bu'lian'meng
希达耶特,xi'da'ye'te
希达耶特特科格鲁,xi'da'ye'te'te'ke'ge'lu
西恩,xi'en
西恩马克斯,xi'en'ma'ke'si
西恩威廉姆斯,xi'en'wei'lian'mu'si
希尔,xi'er
希尔顿,xi'er'dun
希尔顿阿姆斯特朗,xi'er'dun'a'mu'si'te'lang
希腊潘内利尼奥斯,xi'la'pan'nei'li'ni'ao'si
希腊潘尼奥尼奥斯,xi'la'pan'ni'ao'ni'ao'si
希腊塞萨洛尼卡阿里斯,xi'la'sai'sa'luo'ni'ka'a'li'si
西蒙斯,xi'meng'si
希姆基,xi'mu'ji
希姆斯,xi'mu'si
希尼,xi'ni
西雅图超音速,xi'ya'tu'chao'yin'su
西雅图超音速队,xi'ya'tu'chao'yin'su'dui
西耶纳蒙特帕希,xi'ye'na'meng'te'pa'xi
下半场,xia'ban'chang
夏洛特山猫,xia'luo'te'shan'mao
夏洛特山猫队,xia'luo'te'shan'mao'dui
先发球员,xian'fa'qiu'yuan
享德森,xiang'de'sen
香农,xiang'nong
香农布朗,xiang'nong'bu'lang
小奥尼尔,xiao'ao'ni'er
肖恩,xiao'en
肖恩巴蒂尔,xiao'en'ba'di'er
肖恩利文斯顿,xiao'en'li'wen'si'dun
肖恩马里昂,xiao'en'ma'li'ang
肖恩梅,xiao'en'mei
肖恩威廉姆斯,xiao'en'wei'lian'mu'si
小牛,xiao'niu
小牛队,xiao'niu'dui
小前锋,xiao'qian'feng
小球战术,xiao'qiu'zhan'shu
谢尔顿,xie'er'dun
谢尔顿威廉姆斯,xie'er'dun'wei'lian'mu'si
解立彬,xie'li'bin
谢里夫,xie'li'fu
谢里夫阿卜杜拉希姆,xie'li'fu'a'bu'du'la'xi'mu
新奥尔良黄蜂,xin'ao'er'liang'huang'feng
新奥尔良黄蜂队,xin'ao'er'liang'huang'feng'dui
新疆广汇,xin'jiang'guang'hui
新疆广汇队,xin'jiang'guang'hui'dui
辛历顿,xin'li'dun
辛里奇,xin'li'qi
新世纪,xin'shi'ji
新世纪队,xin'shi'ji'dui
新泽西网,xin'ze'xi'wang
新泽西网队,xin'ze'xi'wang'dui
雄鹿,xiong'lu
雄鹿队,xiong'lu'dui
休斯,xiu'si
休斯顿火箭,xiu'si'dun'huo'jian
休斯敦火箭,xiu'si'dun'huo'jian
休斯顿火箭队,xiu'si'dun'huo'jian'dui
徐国翀,xu'guo'chong
徐家良,xu'jia'liang
徐树森,xu'shu'sen
徐咏,xu'yong
薛玉洋,xue'yu'yang
亚当,ya'dang
亚当哈卢卡斯,ya'dang'ha'lu'ka'si
亚当莫里森,ya'dang'mo'li'sen
雅各布森,ya'ge'bu'sen
雅克,ya'ke
雅克赫巴,ya'ke'he'ba
雅克赫巴迪阿瓦拉,ya'ke'he'ba'di'a'wa'la
雅克特,ya'ke'te
雅克沃恩,ya'ke'wo'en
亚历山大,ya'li'shan'da
亚历山大帕夫洛维奇,ya'li'shan'da'pa'fu'luo'wei'qi
亚历山大约翰逊,ya'li'shan'da'yue'han'xun
雅罗斯拉夫科罗勒夫,ya'luo'si'la'fu'ke'luo'le'fu
亚特兰大老鹰,ya'te'lan'da'lao'ying
亚特兰大老鹰队,ya'te'lan'da'lao'ying'dui
亚特兰龙,ya'te'lan'long
延长赛,yan'chang'sai
杨超,yang'chao
杨庚霖,yang'geng'lin
杨槐,yang'huai
杨力,yang'li
杨鸣,yang'ming
杨钦,yang'qin
摇摆人,yao'bai'ren
姚锴夫,yao'kai'fu
姚明,yao'ming
姚鹏,yao'peng
耶路撒冷哈勃尔,ye'lu'sa'leng'ha'bo'er
业余篮球联盟,ye'yu'lan'qiu'lian'meng
意大利特雷维索贝纳通,yi'da'li'te'lei'wei'suo'bei'na'tong
意大利西耶纳蒙特帕希,yi'da'li'xi'ye'na'meng'te'pa'xi
伊尔格斯卡斯,yi'er'ge'si'ka'si
伊格达拉,yi'ge'da'la
伊古奥达拉,yi'gu'ao'da'la
易建联,yi'jian'lian
伊克,yi'ke
伊克迪奥古,yi'ke'di'ao'gu
易立,yi'li
伊利斯,yi'li'si
伊曼纽尔,yi'man'niu'er
伊曼纽尔吉诺比利,yi'man'niu'er'ji'nuo'bi'li
以色列哈普尔加里勒昂,yi'se'lie'ha'pu'er'jia'li'le'ang
以色列特拉维夫马卡比,yi'se'lie'te'la'wei'fu'ma'ka'bi
以色列耶路撒冷哈勃尔,yi'se'lie'ye'lu'sa'leng'ha'bo'er
伊斯坦布尔埃菲斯,yi'si'tan'bu'er'ai'fei'si
伊斯特班巴蒂斯塔,yi'si'te'ban'ba'di'si'ta
伊坦,yi'tan
伊坦托马斯,yi'tan'tuo'ma'si
伊文,yi'wen
伊沃伊,yi'wo'yi
印第安纳步行者,yin'di'an'na'bu'xing'zhe
印第安纳步行者队,yin'di'an'na'bu'xing'zhe'dui
尹逵,yin'kui
殷志勇,yin'zhi'yong
勇士,yong'shi
勇士队,yong'shi'dui
尤德里,you'de'li
尤他爵士,you'ta'jue'shi
犹他爵士,you'ta'jue'shi
犹他爵士队,you'ta'jue'shi'dui
尤文图特,you'wen'tu'te
于超,yu'chao
遇俊锴,yu'jun'kai
于梁,yu'liang
俞宁,yu'ning
于涛,yu'tao
于学林,yu'xue'lin
约翰,yue'han
约翰爱德华兹,yue'han'ai'de'hua'zi
约翰卢卡斯三世,yue'han'lu'ka'si'san'shi
约翰索蒙斯,yue'han'suo'meng'si
约翰托马斯,yue'han'tuo'ma'si
约翰逊,yue'han'xun
约翰逊三世,yue'han'xun'san'shi
岳鹏飞,yue'peng'fei
约什,yue'shi
约什鲍威尔,yue'shi'bao'wei'er
约什布恩,yue'shi'bu'en
约什卡尔迪伦,yue'shi'ka'er'di'lun
云南红河,yun'nan'hong'he
云南红河队,yun'nan'hong'he'dui
运球,yun'qiu
暂停,zan'ting
泽雷齐尼克,ze'lei'qi'ni'ke
泽亚克雷布拉卡,ze'ya'ke'lei'bu'la'ka
扎达尔,zha'da'er
扎克卡巴卡帕,zha'ke'ka'ba'ka'pa
扎克兰多夫,zha'ke'lan'duo'fu
扎伊德鲁纳斯,zha'yi'de'lu'na'si
扎伊德鲁纳斯伊尔格斯卡斯,zha'yi'de'lu'na'si'yi'er'ge'si'ka'si
扎扎,zha'zha
扎扎帕楚利亚,zha'zha'pa'chu'li'ya
翟金帅,zhai'jin'shuai
战绩,zhan'ji
战绩表,zhan'ji'biao
詹姆斯,zhan'mu'si
詹姆斯奥古斯丁,zhan'mu'si'ao'gu'si'ding
詹姆斯奥古斯汀,zhan'mu'si'ao'gu'si'ting
詹姆斯波西,zhan'mu'si'bo'xi
詹姆斯库里,zhan'mu'si'ku'li
詹姆斯琼斯,zhan'mu'si'qiong'si
詹姆斯辛历顿,zhan'mu'si'xin'li'dun
战术教练,zhan'shu'jiao'lian
战术篇,zhan'shu'pian
张超,zhang'chao
张成,zhang'cheng
张大宇,zhang'da'yu
张灏,zhang'hao
张劲松,zhang'jin'song
张凯,zhang'kai
张坤,zhang'kun
张楠,zhang'nan
张庆鹏,zhang'qing'peng
张涛,zhang'tao
张天宝,zhang'tian'bao
张伟,zhang'wei
张伟刚,zhang'wei'gang
章文琪,zhang'wen'qi
张晓薇,zhang'xiao'wei
张学文,zhang'xue'wen
张翼,zhang'yi
张远航,zhang'yuan'hang
张云松,zhang'yun'song
张展,zhang'zhan
张喆,zhang'zhe
张正旺,zhang'zheng'wang
赵阿南,zhao'a'nan
赵杭,zhao'hang
赵仁斌,zhao'ren'bin
赵永刚,zhao'yong'gang
赵志男,zhao'zhi'nan
浙江广厦建设,zhe'jiang'guang'sha'jian'she
浙江广厦建设队,zhe'jiang'guang'sha'jian'she'dui
浙江万马电缆,zhe'jiang'wan'ma'dian'lan
浙江万马电缆队,zhe'jiang'wan'ma'dian'lan'dui
甄胜家,zhen'sheng'jia
蒸气,zheng'qi
蒸气队,zheng'qi'dui
争球,zheng'qiu
郑晓明,zheng'xiao'ming
芝加哥公牛,zhi'jia'ge'gong'niu
芝加哥公牛队,zhi'jia'ge'gong'niu'dui
芝加哥牡鹿,zhi'jia'ge'mu'lu
芝加哥牡鹿队,zhi'jia'ge'mu'lu'dui
职篮联盟,zhi'lan'lian'meng
职业篮球联盟,zhi'ye'lan'qiu'lian'meng
中场,zhong'chang
中场休息时间,zhong'chang'xiu'xi'shi'jian
中锋,zhong'feng
中距离投篮,zhong'ju'li'tou'lan
中央区,zhong'yang'qu
中宇,zhong'yu
中宇队,zhong'yu'dui
肘击,zhou'ji
周鹏,zhou'peng
周启新,zhou'qi'xin
朱安,zhu'an
朱安迪克逊,zhu'an'di'ke'xun
主场,zhu'chang
主场比赛,zhu'chang'bi'sai
主场优势,zhu'chang'you'shi
朱东,zhu'dong
主队,zhu'dui
朱芳雨,zhu'fang'yu
朱峰,zhu'feng
助功,zhu'gong
朱汉,zhu'han
朱汉波特洛,zhu'han'bo'te'luo
朱利安,zhu'li'an
朱利安赖特,zhu'li'an'lai'te
助理教练,zhu'li'jiao'lian
朱利叶斯霍吉,zhu'li'ye'si'huo'ji
朱梅因琼斯,zhu'mei'yin'qiong'si
朱世龙,zhu'shi'long
朱万,zhu'wan
朱万霍华德,zhu'wan'huo'hua'de
庄欣,zhuang'xin
准决赛,zhun'jue'sai
资深球员,zi'shen'qiu'yuan
总决赛,zong'jue'sai
走步,zou'bu
阻挡犯规,zu'dang'fan'gui
阻攻,zu'gong
组织后卫,zu'zhi'hou'wei
最有价值球员,zui'you'jia'zhi'qiu'yuan
