阿黑与阿诗玛,a'hei'yu'a'shi'ma
霍文龙,huo'wen'long
霍小玉,huo'xiao'yu
活捉三郎,huo'zhuo'san'lang
活捉王魁,huo'zhuo'wang'kui
击鼓骂曹,ji'gu'ma'cao
稽古社子弟班,ji'gu'she'zi'di'ban
急急风,ji'ji'feng
忌叫彩,ji'jiao'cai
吉剧,ji'ju
纪君祥,ji'jun'xiang
祭泸江,ji'lu'jiang
吉马,ji'ma
吉坪三,ji'ping'san
急三枪,ji'san'qiang
祭神,ji'shen
忌损箱中物,ji'sun'xiang'zhong'wu
祭塔,ji'ta
纪文奎,ji'wen'kui
忌响乐器,ji'xiang'yue'qi
姬晓廷,ji'xiao'ting
纪元,ji'yuan
夹白,jia'bai
假兵,jia'bing
贾承博,jia'cheng'bo
家法,jia'fa
贾冀光,jia'ji'guang
贾家楼,jia'jia'lou
假金牌,jia'jin'pai
贾连顺,jia'lian'shun
贾伦,jia'lun
加锣,jia'luo
家门,jia'men
假嗓,jia'sang
假声,jia'sheng
贾世泉,jia'shi'quan
嘉兴府,jia'xing'fu
贾振良,jia'zhen'liang
检场人,jian'chang'ren
见儿夫不由我珠泪垂掉,jian'er'fu'bu'you'wo'zhu'lei'chui'diao
剑峰山,jian'feng'shan
箭杆河边,jian'gan'he'bian
箭架,jian'jia
监酒令,jian'jiu'ling
箭衣,jian'yi
姜宝林,jiang'bao'lin
姜伯华,jiang'bo'hua
江儿水,jiang'er'shui
姜桂成,jiang'gui'cheng
将酒宴摆至在聚议厅上,jiang'jiu'yan'bai'zhi'zai'ju'yi'ting'shang
将军令,jiang'jun'ling
姜昆,jiang'kun
姜妙香,jiang'miao'xiang
蒋平闹舟,jiang'ping'nao'zhou
江其虎,jiang'qi'hu
将身儿来至在大街口,jiang'shen'er'lai'zhi'zai'da'jie'kou
讲什么节孝两双全,jiang'shen'me'jie'xiao'liang'shuang'quan
将相和,jiang'xiang'he
焦葆奎,jiao'bao'kui
焦德海,jiao'de'hai
教坊,jiao'fang
蹻功,jiao'gong
焦立海,jiao'li'hai
焦寿海,jiao'shou'hai
叫头,jiao'tou
缴月舒,jiao'yue'shu
介,jie
借灯光对姣娘用目观望,jie'deng'guang'dui'jiao'niang'yong'mu'guan'wang
借东风,jie'dong'feng
截江夺斗,jie'jiang'duo'dou
界牌关,jie'pai'guan
借赵云,jie'zhao'yun
节振国,jie'zhen'guo
靳宝琏,jin'bao'lian
金炳昶,jin'bing'chang
紧锤,jin'chui
金刀阵,jin'dao'zhen
金瓜,jin'gua
金华昆腔,jin'hua'kun'qiang
靳金来,jin'jin'lai
晋剧,jin'ju
金钱豹,jin'qian'bao
金沙滩,jin'sha'tan
金山寺,jin'shan'si
金少山,jin'shao'shan
金士杰,jin'shi'jie
金水桥,jin'shui'qiao
金锁阵,jin'suo'zhen
金涛,jin'tao
金文和,jin'wen'he
晋西道情,jin'xi'dao'qing
金笑天,jin'xiao'tian
金秀山,jin'xiu'shan
金雁桥,jin'yan'qiao
晋阳宫,jin'yang'gong
金银,jin'yin
金幼实,jin'you'shi
金钰堂,jin'yu'tang
金兆庆,jin'zhao'qing
金仲仁,jin'zhong'ren
金钟响玉兔归王登九重,jin'zhong'xiang'yu'tu'gui'wang'deng'jiu'chong
金珠,jin'zhu
净,jing
京白,jing'bai
京东大鼓,jing'dong'da'gu
荆河戏,jing'he'xi
京胡,jing'hu
京剧,jing'ju
荆林野,jing'lin'ye
京派,jing'pai
京腔,jing'qiang
京韵大鼓,jing'yun'da'gu
救场,jiu'chang
九锤半,jiu'chui'ban
酒丐,jiu'gai
九更天,jiu'geng'tian
九江高腔,jiu'jiang'gao'qiang
九江口,jiu'jiang'kou
九龙杯,jiu'long'bei
酒坛,jiu'tan
锯大缸,ju'da'gang
举鼎观画,ju'ding'guan'hua
句式,ju'shi
掘地见母,jue'di'jian'mu
脚色行当,jue'se'hang'dang
绝色天香芙蓉面,jue'se'tian'xiang'fu'rong'mian
俊袭人,jun'xi'ren
卡尔罗,ka'er'luo
开口笑,kai'kou'xiao
开门刀,kai'men'dao
开门枪,kai'men'qiang
开篇,kai'pian
开台,kai'tai
开闸,kai'zha
看大王在帐中和衣睡稳,kan'da'wang'zai'zhang'zhong'he'yi'shui'wen
砍活,kan'huo
阚天忠,kan'tian'zhong
勘玉钏,kan'yu'chuan
阚泽良,kan'ze'liang
康达夫,kang'da'fu
康桂生,kang'gui'sheng
康郎山,kang'lang'shan
康立本,kang'li'ben
康松广,kang'song'guang
康友纯,kang'you'chun
靠,kao
靠把戏,kao'ba'xi
科班,ke'ban
客串,ke'chuan
科范,ke'fan
科诨,ke'hun
可怜我苦命人依她篱下,ke'lian'wo'ku'ming'ren'yi'ta'li'xia
可怜我一家人俱把命丧,ke'lian'wo'yi'jia'ren'ju'ba'ming'sang
空城计,kong'cheng'ji
孔雀东南飞,kong'que'dong'nan'fei
孔尚任,kong'shang'ren
孔文敬,kong'wen'jing
孔云龙,kong'yun'long
寇庚杰,kou'geng'jie
寇庚儒,kou'geng'ru
寇连荣,kou'lian'rong
寇寿亭,kou'shou'ting
哭板,ku'ban
哭批,ku'pi
哭秦廷,ku'qin'ting
哭啼啼哀告我有什么屈冤,ku'ti'ti'ai'gao'wo'you'shen'me'qu'yuan
哭头,ku'tou
哭相思,ku'xiang'si
哭祖庙,ku'zu'miao
跨刀,kua'dao
快板,kuai'ban
快长锤,kuai'chang'chui
蒯彻装疯,kuai'che'zhuang'feng
快活林,kuai'huo'lin
快纽丝,kuai'niu'si
快三眼,kuai'san'yan
快扫头,kuai'sao'tou
快原场,kuai'yuan'chang
傀儡戏,kui'lei'xi
盔头,kui'tou
盔头箱,kui'tou'xiang
困曹府,kun'cao'fu
昆剧,kun'ju
昆仑剑侠传,kun'lun'jian'xia'zhuan
昆山腔,kun'shan'qiang
拉场戏,la'chang'xi
俫,lai
来德如,lai'de'ru
来少如,lai'shao'ru
蓝满棠,lan'man'tang
兰文甫,lan'wen'fu
蓝文云,lan'wen'yun
郎庆浪,lang'qing'lang
郎在东来妻在西,lang'zai'dong'lai'qi'zai'xi
郎祖筠,lang'zu'jun
老旦,lao'dan
老调梆子,lao'diao'bang'zi
老黄请医,lao'huang'qing'yi
老郎神,lao'lang'shen
老娘亲请上前受儿一拜,lao'niang'qin'qing'shang'qian'shou'er'yi'bai
老腔,lao'qiang
老生,lao'sheng
老生流派,lao'sheng'liu'pai
乐亭大鼓,lao'ting'da'gu
牢子,lao'zi
乐昌花鼓戏,le'chang'hua'gu'xi
乐腔,le'qiang
雷剧,lei'ju
雷文顺,lei'wen'shun
冷场,leng'chang
冷锤,leng'chui
李白醉写,li'bai'zui'xie
李宝麒,li'bao'qi
李宝森,li'bao'sen
李宝山,li'bao'shan
李宝璋,li'bao'zhang
李宝忠,li'bao'zhong
李伯仁,li'bo'ren
李伯祥,li'bo'xiang
李长安,li'chang'an
李长春,li'chang'chun
李冲,li'chong
李崇武,li'chong'wu
李春福,li'chun'fu
李春来,li'chun'lai
李存民,li'cun'min
李德祥,li'de'xiang
李德钖,li'de'yang
李德佑,li'de'you
李得子,li'de'zi
李多奎,li'duo'kui
李凤鸣,li'feng'ming
李凤山,li'feng'shan
李富荣,li'fu'rong
李根,li'gen
李桂山,li'gui'shan
李国权,li'guo'quan
李国盛,li'guo'sheng
李国先,li'guo'xian
李国修,li'guo'xiu
李国英,li'guo'ying
里海坞,li'hai'wu
李海燕,li'hai'yan
李浩然,li'hao'ran
李和曾,li'he'ceng
李洪春,li'hong'chun
梨簧戏,li'huang'xi
李慧桥,li'hui'qiao
李嘉存,li'jia'cun
李建华,li'jian'hua
李洁尘,li'jie'chen
李金斗,li'jin'dou
李金宽,li'jin'kuan
李金祥,li'jin'xiang
李菁,li'jing
李开先,li'kai'xian
李逵夺鱼,li'kui'duo'yu
李逵负荆,li'kui'fu'jing
李逵探母,li'kui'tan'mu
李立群,li'li'qun
李立山,li'li'shan
李连伟,li'lian'wei
李陵碑,li'ling'bei
狸猫换太子,li'mao'huan'tai'zi
李孟遥,li'meng'yao
李明刚,li'ming'gang
李鸣歧,li'ming'qi
李荣忠,li'rong'zhong
李如刚,li'ru'gang
李瑞丰,li'rui'feng
李润杰,li'run'jie
李少春,li'shao'chun
李少卿,li'shao'qing
李胜素,li'sheng'su
李世济,li'shi'ji
李世明,li'shi'ming
李士琦,li'shi'qi
李世续,li'shi'xu
李世增,li'shi'zeng
李寿芳,li'shou'fang
李寿清,li'shou'qing
李寿增,li'shou'zeng
李树仁,li'shu'ren
李天林,li'tian'lin
李桐文,li'tong'wen
李万春,li'wan'chun
李万兴,li'wan'xing
李伟,li'wei
李卫东,li'wei'dong
李伟建,li'wei'jian
李维康,li'wei'kang
李维信,li'wei'xin
李文成,li'wen'cheng
李文芳,li'wen'fang
李文枫,li'wen'feng
李文华,li'wen'hua
李文锦,li'wen'jin
李文立,li'wen'li
李文荣,li'wen'rong
李文山,li'wen'shan
李文珊,li'wen'shan
李文英,li'wen'ying
李文勇,li'wen'yong
李文娱,li'wen'yu
李相友,li'xiang'you
李晓强,li'xiao'qiang
李兴国,li'xing'guo
李学贵,li'xue'gui
李学宏,li'xue'hong
李艳妃坐昭阳前思后想,li'yan'fei'zuo'zhao'yang'qian'si'hou'xiang
李延年,li'yan'nian
李洋,li'yang
李阳鸣,li'yang'ming
李业明,li'ye'ming
李艺,li'yi
李英杰,li'ying'jie
李勇,li'yong
李永春,li'yong'chun
李幼刚,li'you'gang
李渔,li'yu
李玉,li'yu
李玉君,li'yu'jun
梨园,li'yuan
梨园戏,li'yuan'xi
李云杰,li'yun'jie
李增年,li'zeng'nian
李增瑞,li'zeng'rui
李志强,li'zhi'qiang
李志友,li'zhi'you
李中华,li'zhong'hua
李祝英,li'zhu'ying
连春建,lian'chun'jian
连春仲,lian'chun'zhong
莲花湖,lian'hua'hu
莲花落,lian'hua'lao
连环计,lian'huan'ji
连环套,lian'huan'tao
廉锦枫,lian'jin'feng
连丽如,lian'li'ru
脸谱,lian'pu
连升店,lian'sheng'dian
连台本戏,lian'tai'ben'xi
连笑昆,lian'xiao'kun
连小林,lian'xiao'lin
连秀全,lian'xiu'quan
连营寨,lian'ying'zhai
梁辰鱼,liang'chen'yu
梁洪才,liang'hong'cai
两击,liang'ji
两将军,liang'jiang'jun
两锣,liang'luo
两锣凤点头,liang'luo'feng'dian'tou
梁山伯与祝英台,liang'shan'bo'yu'zhu'ying'tai
梁山泊与祝英台,liang'shan'po'yu'zhu'ying'tai
梁山调,liang'shan'tiao
梁尚义,liang'shang'yi
凉调,liang'tiao
两下锅,liang'xia'guo
亮相,liang'xiang
列国之中干戈吼,lie'guo'zhi'zhong'gan'ge'hou
猎虎记,lie'hu'ji
临场推诿,lin'chang'tui'wei
林冲夜奔,lin'chong'ye'ben
临江会,lin'jiang'hui
临江驿,lin'jiang'yi
临剧,lin'ju
林茂,lin'mao
林四娘,lin'si'niang
临潼山,lin'tong'shan
林文春,lin'wen'chun
临行喝妈一碗酒,lin'xing'he'ma'yi'wan'jiu
令箭,ling'jian
陵母伏剑,ling'mu'fu'jian
令旗,ling'qi
凌少明,ling'shao'ming
零碎,ling'sui
灵帐,ling'zhang
翎子,ling'zi
翎子功,ling'zi'gong
刘宝全,liu'bao'quan
刘宝瑞,liu'bao'rui
刘宝森,liu'bao'sen
刘斌昆,liu'bin'kun
刘兵,liu'bing
刘伯奎,liu'bo'kui
六场,liu'chang
刘长声,liu'chang'sheng
刘长瑜,liu'chang'yu
刘辰,liu'chen
刘春慧,liu'chun'hui
刘德智,liu'de'zhi
刘尔金,liu'er'jin
刘赶三,liu'gan'san
刘广义,liu'guang'yi
刘桂田,liu'gui'tian
刘国建,liu'guo'jian
刘国器,liu'guo'qi
六号门,liu'hao'men
刘洪江,liu'hong'jiang
刘鸿升,liu'hong'sheng
刘洪沂,liu'hong'yi
刘化民,liu'hua'min
刘际,liu'ji
刘加柯,liu'jia'ke
刘建平,liu'jian'ping
刘江舸,liu'jiang'ge
刘杰,liu'jie
刘金定,liu'jin'ding
刘俊杰,liu'jun'jie
刘科,liu'ke
刘奎珍,liu'kui'zhen
刘来子,liu'lai'zi
刘兰芳,liu'lan'fang
刘兰亭,liu'lan'ting
刘黎,liu'li
刘立升,liu'li'sheng
刘立新,liu'li'xin
刘流,liu'liu
刘曼影,liu'man'ying
刘毛毛,liu'mao'mao
流派,liu'pai
刘沛起,liu'pei'qi
刘聘臣,liu'pin'chen
柳腔,liu'qiang
刘巧儿,liu'qiao'er
柳琴戏,liu'qin'xi
刘庆福,liu'qing'fu
刘全刚,liu'quan'gang
刘荣忠,liu'rong'zhong
刘树江,liu'shu'jiang
流水,liu'shui
刘松江,liu'song'jiang
刘天韵,liu'tian'yun
刘廷凯,liu'ting'kai
刘彤,liu'tong
刘万山,liu'wan'shan
刘伟,liu'wei
刘威,liu'wei
刘文步,liu'wen'bu
刘文德,liu'wen'de
刘文亨,liu'wen'heng
刘文亮,liu'wen'liang
刘文贞,liu'wen'zhen
刘喜尧,liu'xi'yao
刘西雨,liu'xi'yu
刘孝先,liu'xiao'xian
刘学仁,liu'xue'ren
刘亚津,liu'ya'jin
刘雅奎,liu'ya'kui
六幺令,liu'yao'ling
柳毅传书,liu'yi'chuan'shu
刘义学,liu'yi'xue
刘颖,liu'ying
柳迎春,liu'ying'chun
刘英华,liu'ying'hua
刘英奇,liu'ying'qi
刘幼山,liu'you'shan
刘玉才,liu'yu'cai
刘玉凤,liu'yu'feng
刘玉辉,liu'yu'hui
刘跃宁,liu'yue'ning
刘月樵,liu'yue'qiao
六月雪,liu'yue'xue
刘云天,liu'yun'tian
刘增锴,liu'zeng'kai
柳枝腔,liu'zhi'qiang
刘志远,liu'zhi'yuan
六字调,liu'zi'diao
柳子戏,liu'zi'xi
龙德云,long'de'yun
龙凤掌扇,long'feng'zhang'shan
龙虎斗,long'hu'dou
龙江剧,long'jiang'ju
龙江颂,long'jiang'song
陇剧,long'ju
龙杀四门,long'sha'si'men
龙套,long'tao
龙头杖,long'tou'zhang
龙西布袋木偶戏,long'xi'bu'dai'mu'ou'xi
龙溪铁枝戏,long'xi'tie'zhi'xi
龙溪纸影戏,long'xi'zhi'ying'xi
龙形,long'xing
龙岩汉剧,long'yan'han'ju
潞安州,lu'an'zhou
路彩祥,lu'cai'xiang
卢德俊,lu'de'jun
卢福来,lu'fu'lai
芦花荡,lu'hua'dang
芦花河,lu'hua'he
庐剧,lu'ju
陆鸣,lu'ming
卢青,lu'qing
陆文荣,lu'wen'rong
路遥知马力,lu'yao'zhi'ma'li
乱锤,luan'chui
銮驾,luan'jia
乱弹,luan'tan
栾云平,luan'yun'ping
骆宝珊,luo'bao'shan
骆采舞,luo'cai'wu
罗成叫关,luo'cheng'jiao'guan
罗峰,luo'feng
罗福山,luo'fu'shan
锣鼓经,luo'gu'jing
罗健,luo'jian
骆马湖,luo'ma'hu
罗荣寿,luo'rong'shou
洛桑,luo'sang
洛神,luo'shen
骆玉笙,luo'yu'sheng
吕剧,lv'ju
律吕,lv'lv
吕少明,lv'shao'ming
吕维国,lv'wei'guo
吕闻升,lv'wen'sheng
马鞍山,ma'an'shan
马宝璐,ma'bao'lu
马鞭,ma'bian
马伯林,ma'bo'lin
马大龙,ma'da'long
马德禄,ma'de'lu
马富禄,ma'fu'lu
麻姑献寿,ma'gu'xian'shou
马桂元,ma'gui'yuan
马鹤琪,ma'he'qi
马洪海,ma'hong'hai
马洪信,ma'hong'xin
马季,ma'ji
马金良,ma'jin'liang
马敬伯,ma'jing'bo
马俊生,ma'jun'sheng
马魁尧,ma'kui'yao
马兰,ma'lan
马连良,ma'lian'liang
马良臣,ma'liang'chen
马凌云,ma'ling'yun
马六甲,ma'liu'jia
马洛罗,ma'luo'luo
马前泼水,ma'qian'po'shui
马三立,ma'san'li
麻世豪,ma'shi'hao
马师曾,ma'shi'zeng
马寿岩,ma'shou'yan
马树春,ma'shu'chun
马四立,ma'si'li
马泰,ma'tai
马趟子,ma'tang'zi
马童,ma'tong
马腿儿,ma'tui'er
骂王朗,ma'wang'lang
马王兄赐某的饯行酒,ma'wang'xiong'ci'mou'de'jian'xing'jiu
马维福,ma'wei'fu
马伟国,ma'wei'guo
马文光,ma'wen'guang
马文强,ma'wen'qiang
马文瑞,ma'wen'rui
马文孝,ma'wen'xiao
马文忠,ma'wen'zhong
骂杨广,ma'yang'guang
马尧,ma'yao
马云路,ma'yun'lu
马增蕙,ma'zeng'hui
马志存,ma'zhi'cun
马志明,ma'zhi'ming
马致远,ma'zhi'yuan
马子恒,ma'zi'heng
慢板,man'ban
慢长锤,man'chang'chui
满江红,man'jiang'hong
蟒,mang
冒场,mao'chang
帽翅功,mao'chi'gong
帽儿头,mao'er'tou
帽儿戏,mao'er'xi
毛净,mao'jing
茂剧,mao'ju
冒调,mao'tiao
毛威,mao'wei
帽子头,mao'zi'tou
梅妃,mei'fei
眉户剧,mei'hu'ju
梅兰芳,mei'lan'fang
梅巧玲,mei'qiao'ling
煤山恨,mei'shan'hen
梅县山歌剧,mei'xian'shan'ge'ju
梅玉配,mei'yu'pei
门枪旗,men'qiang'qi
门帐,men'zhang
门子,men'zi
孟凡贵,meng'fan'gui
孟广禄,meng'guang'lu
孟文辉,meng'wen'hui
孟祥光,meng'xiang'guang
秘弘泉,mi'hong'quan
绵绵古道连天上,mian'mian'gu'dao'lian'tian'shang
苗剧,miao'ju
苗文浩,miao'wen'hao
闽剧,min'ju
明场,ming'chang
鸣春社,ming'chun'she
明末遗恨,ming'mo'yi'hen
末,mo
莫岐,mo'qi
摩天岭,mo'tian'ling
莫州庙,mo'zhou'miao
牟洋,mou'yang
幕,mu
牡丹亭,mu'dan'ting
穆桂英挂帅,mu'gui'ying'gua'shuai
牧虎关,mu'hu'guan
木枷,mu'jia
睦剧,mu'ju
穆柯寨,mu'ke'zhai
木兰从军,mu'lan'cong'jun
目连戏,mu'lian'xi
母亲不必心太偏,mu'qin'bu'bi'xin'tai'pian
沐青,mu'qing
穆瑞庆,mu'rui'qing
穆天王,mu'tian'wang
穆祥林,mu'xiang'lin
牧羊卷,mu'yang'juan
那一日梳妆来照镜,na'yi'ri'shu'zhuang'lai'zhao'jing
男霸,nan'ba
南梆导板头,nan'bang'dao'ban'tou
南梆子,nan'bang'zi
南昌采茶戏,nan'chang'cai'cha'xi
南界关,nan'jie'guan
南锣,nan'luo
南曲,nan'qu
南天门,nan'tian'men
南通伶工,nan'tong'ling'gong
南戏,nan'xi
南阳关,nan'yang'guan
铙,nao
闹朝击犬,nao'chao'ji'quan
铙鼓杂戏,nao'gu'za'xi
脑后音,nao'hou'yin
闹江州,nao'jiang'zhou
内场,nei'chang
内场椅,nei'chang'yi
你待同志亲如一家,ni'dai'tong'zhi'qin'ru'yi'jia
倪敏然,ni'min'ran
你去投军十八春,ni'qu'tou'jun'shi'ba'chun
你劝我升堂有什么好,ni'quan'wo'sheng'tang'you'shen'me'hao
聂闻治,nie'wen'zhi
聂隐娘,nie'yin'niang
宁河戏,ning'he'xi
宁武关,ning'wu'guan
拗锤,niu'chui
牛皋招亲,niu'gao'zhao'qin
牛娘戏,niu'niang'xi
牛群,niu'qun
纽丝,niu'si
纽丝凤点头,niu'si'feng'dian'tou
牛振华,niu'zhen'hua
奴家本是宋室民,nu'jia'ben'shi'song'shi'min
傩剧,nuo'ju
女霸,nv'ba
女驸马,nv'fu'ma
女起解,nv'qi'jie
欧宝灿,ou'bao'can
欧宝璨,ou'bao'can
欧光慈,ou'guang'ci
瓯剧,ou'ju
欧阳中石,ou'yang'zhong'shi
趴字调,pa'zi'diao
排场,pai'chang
潘贵才,pan'gui'cai
潘海波,pan'hai'bo
磐河战,pan'he'zhan
潘龙浩,pan'long'hao
潘庆武,pan'qing'wu
盘丝洞,pan'si'dong
蟠桃会,pan'tao'hui
潘云侠,pan'yun'xia
旁白,pang'bai
庞子泉,pang'zi'quan
跑调,pao'diao
跑圆场,pao'yuan'chang
帔,pei
喷火,pen'huo
喷口,pen'kou
碰板回龙,peng'ban'hui'long
捧场,peng'chang
彭凤林,peng'feng'lin
捧哏,peng'gen
彭国良,peng'guo'liang
彭子义,peng'zi'yi
批,pi
皮黄,pi'huang
邳建新,pi'jian'xin
琵琶词,pi'pa'ci
皮树德,pi'shu'de
票房,piao'fang
票友,piao'you
漂字,piao'zi
平板夺头,ping'ban'duo'tou
平板二黄,ping'ban'er'huang
平调,ping'diao
平儿,ping'er
评剧,ping'ju
平生志气运未通,ping'sheng'zhi'qi'yun'wei'tong
评书,ping'shu
评弹,ping'tan
破洪州,po'hong'zhou
破台,po'tai
扑灯蛾,pu'deng'e
蒲剧,pu'ju
普球山,pu'qiu'shan
普天下受苦人同仇共愤,pu'tian'xia'shou'ku'ren'tong'chou'gong'fen
蒲仙戏,pu'xian'xi
旗,qi
起霸,qi'ba
旗把箱,qi'ba'xiang
齐钹,qi'bo
祁存才,qi'cun'cai
祁剧,qi'ju
气口,qi'kou
麒麟阁,qi'lin'ge
旗锣伞报,qi'luo'san'bao
棋盘,qi'pan
棋盘会,qi'pan'hui
棋盘山,qi'pan'shan
奇双会,qi'shuang'hui
戚松,qi'song
祁太秧歌,qi'tai'yang'ge
起堂,qi'tang
砌未,qi'wei
奇袭白虎团,qi'xi'bai'hu'tuan
祁喜生,qi'xi'sheng
齐信英,qi'xin'ying
七星灯,qi'xing'deng
泣颜回,qi'yan'hui
奇志,qi'zhi
七字锣,qi'zi'luo
钱金福,qian'jin'fu
千金一笑,qian'jin'yi'xiao
黔剧,qian'ju
乾坤袋,qian'kun'dai
乾坤福寿镜,qian'kun'fu'shou'jing
倩女离魂,qian'nv'li'hun
千秋岁,qian'qiu'sui
签条,qian'tiao
签筒,qian'tong
乾元山,qian'yuan'shan
枪,qiang
枪声响激起我满腔惦念,qiang'sheng'xiang'ji'qi'wo'man'qiang'dian'nian
墙头马上,qiang'tou'ma'shang
乔老爷上轿,qiao'lao'ye'shang'jiao
巧连环,qiao'lian'huan
乔装改扮下山岗,qiao'zhuang'gai'ban'xia'shan'gang
怯场,qie'chang
怯口,qie'kou
砌末,qie'mo
切头,qie'tou
秦宝琦,qin'bao'qi
亲儿的脸吻儿的腮,qin'er'de'lian'wen'er'de'sai
琴歌,qin'ge
秦淮河,qin'huai'he
秦剧,qin'ju
秦良玉,qin'liang'yu
琴琶记,qin'pa'ji
秦琼卖马,qin'qiong'mai'ma
琴曲八板,qin'qu'ba'ban
琴曲傍妆台,qin'qu'bang'zhuang'tai
琴曲工尺上,qin'qu'gong'che'shang
琴曲哭皇天,qin'qu'ku'huang'tian
琴曲柳青娘,qin'qu'liu'qing'niang
琴曲柳摇金,qin'qu'liu'yao'jin
琴曲万年欢,qin'qu'wan'nian'huan
琴师,qin'shi
琴书,qin'shu
琴挑,qin'tiao
秦醒民,qin'xing'min
秦玉华,qin'yu'hua
清唱,qing'chang
庆春圃,qing'chun'pu
清风亭,qing'feng'ting
清风寨,qing'feng'zhai
清官册,qing'guan'ce
青海平弦戏,qing'hai'ping'xian'xi
清江引,qing'jiang'yin
青梅煮酒论英雄,qing'mei'zhu'jiu'lun'ying'xiong
清牌子,qing'pai'zi
青石山,qing'shi'shan
青霜剑,qing'shuang'jian
晴雯补裘,qing'wen'bu'qiu
青阳腔,qing'yang'qiang
庆阳图,qing'yang'tu
清音戏,qing'yin'xi
清忠谱,qing'zhong'pu
请主公但把宽心放,qing'zhu'gong'dan'ba'kuan'xin'fang
琼剧,qiong'ju
穷人的孩子早当家,qiong'ren'de'hai'zi'zao'dang'jia
裘桂仙,qiu'gui'xian
秋胡打马奔家乡,qiu'hu'da'ma'ben'jia'xiang
秋胡戏妻,qiu'hu'xi'qi
秋江,qiu'jiang
秋瑾传,qiu'jin'chuan
裘盛荣,qiu'sheng'rong
裘盛戎,qiu'sheng'rong
裘英俊,qiu'ying'jun
泅州戏,qiu'zhou'xi
取成都,qu'cheng'du
曲调,qu'diao
曲福恩,qu'fu'en
取金陵,qu'jin'ling
曲剧,qu'ju
取洛阳,qu'luo'yang
曲乃新,qu'nai'xin
取南郡,qu'nan'jun
曲牌,qu'pai
取帅印,qu'shuai'yin
取荥阳,qu'xing'yang
全霸,quan'ba
全常保,quan'chang'bao
劝君王饮酒听虞歌,quan'jun'wang'yin'jiu'ting'yu'ge
泉龙提线木偶戏,quan'long'ti'xian'mu'ou'xi
劝千岁杀字休出口,quan'qian'sui'sha'zi'xiu'chu'kou
全维润,quan'wei'run
群口,qun'kou
群戏,qun'xi
群英会,qun'ying'hui
髯口,ran'kou
髯口功,ran'kou'gong
让徐州,rang'xu'zhou
绕场,rao'chang
绕口令,rao'kou'ling
人面桃花,ren'mian'tao'hua
任鸣起,ren'ming'qi
任丘县,ren'qiu'xian
人头,ren'tou
任文立,ren'wen'li
任笑海,ren'xiao'hai
日前领了严亲命,ri'qian'ling'le'yan'qin'ming
荣春社,rong'chun'she
绒花计,rong'hua'ji
入队子,ru'dui'zi
茹少亭,ru'shao'ting
软脆头,ruan'cui'tou
软工调,ruan'gong'tiao
瑞河戏,rui'he'xi
撒锣,sa'luo
散板,san'ban
三岔口,san'cha'kou
散长锤,san'chang'chui
散长凤点头,san'chang'feng'dian'tou
三打陶三春,san'da'tao'san'chun
三打祝家庄,san'da'zhu'jia'zhuang
三盗令,san'dao'ling
三滴血,san'di'xue
三顾茅庐,san'gu'mao'lu
三击,san'ji
三家店,san'jia'dian
三江越虎城,san'jiang'yue'hu'cheng
三角戏,san'jiao'xi
三进士,san'jin'shi
三句半,san'ju'ban
三乐科班,san'le'ke'ban
三锣凤点头,san'luo'feng'dian'tou
三娘教子,san'niang'jiao'zi
散曲,san'qu
三休樊梨花,san'xiu'fan'li'hua
三衣箱,san'yi'xiang
三座山,san'zuo'shan
桑园会,sang'yuan'hui
桑园寄子,sang'yuan'ji'zi
扫边,sao'bian
扫地挂画,sao'di'gua'hua
扫松下书,sao'song'xia'shu
扫头,sao'tou
扫帚,sao'zhou
沙河调,sha'he'tiao
沙家浜,sha'jia'bang
沙老太休得要想不开,sha'lao'tai'xiu'de'yao'xiang'bu'kai
纱帽巾,sha'mao'jin
沙桥饯别,sha'qiao'jian'bie
陕北道情,shan'bei'dao'qing
陕北碗碗腔,shan'bei'wan'wan'qiang
闪锤,shan'chui
山东梆子,shan'dong'bang'zi
山东大鼓,shan'dong'da'gu
山东快书,shan'dong'kuai'shu
山歌,shan'ge
山歌小调,shan'ge'xiao'diao
山坡羊,shan'po'yang
山石片,shan'shi'pian
单田芳,shan'tian'fang
山西梆子,shan'xi'bang'zi
山西碗碗腔,shan'xi'wan'wan'qiang
扇子功,shan'zi'gong
上板哭头,shang'ban'ku'tou
上场对,shang'chang'dui
上场诗,shang'chang'shi
上党皮黄,shang'dang'pi'huang
上海戏剧学校,shang'hai'xi'ju'xue'xiao
尚和玉,shang'he'yu
上口字,shang'kou'zi
商落道情,shang'luo'dao'qing
上手,shang'shou
上天台,shang'tian'tai
上下场门,shang'xia'chang'men
上下句,shang'xia'ju
尚小云,shang'xiao'yun
上元夫人,shang'yuan'fu'ren
上装不落座,shang'zhuang'bu'luo'zuo
绍剧,shao'ju
邵其炳,shao'qi'bing
芍药开牡丹放花红一片,shao'yao'kai'mu'dan'fang'hua'hong'yi'pian
梢子功,shao'zi'gong
佘塘关,she'tang'guan
沈春和,shen'chun'he
审刺客,shen'ci'ke
身段,shen'duan
沈璟,shen'jing
沈君,shen'jun
神亭岭,shen'ting'ling
沈云陔,shen'yun'gai
沈云英,shen'yun'ying
神杖儿,shen'zhang'er
沈竹善,shen'zhu'shan
生,sheng
笙,sheng
声变,sheng'bian
声腔,sheng'qiang
生死恨,sheng'si'hen
生死牌,sheng'si'pai
