哀叫楚山裂,ai'jiao'chu'shan'lie
舳舻千里,zhu'lu'qian'li
竹外桃花三两枝,zhu'wai'tao'hua'san'liang'zhi
竹杖芒鞋轻胜马,zhu'zhang'mang'xie'qing'sheng'ma
转朱阁,zhuan'zhu'ge
准拟东还海道,zhun'ni'dong'hai'hai'dao
自难忘,zi'nan'wang
自其不变者而观之,zi'qi'bu'bian'zhe'er'guan'zhi
纵使相逢应不识,zong'shi'xiang'feng'ying'bu'shi
纵一苇之所如,zong'yi'wei'zhi'suo'ru
醉倒须君扶我,zui'dao'xu'jun'fu'wo
最是橙黄橘绿时,zui'shi'cheng'huang'ju'lv'shi
醉笑陪公三万场,zui'xiao'pei'gong'san'wan'chang
尊前不用翠眉颦,zun'qian'bu'yong'cui'mei'pin
作栖霞楼,zuo'qi'xia'lou
左牵黄,zuo'qian'huang
昨夜霜风,zuo'ye'shuang'feng
