阿巴耶卡罗笈多,a'ba'ye'ka'luo'ji'duo
朱利安,zhu'li'an
住莲,zhu'lian
竺摩,zhu'mo
竺潜,zhu'qian
竺沙雅章,zhu'sha'ya'zhang
朱士行,zhu'shi'xing
竺叔兰,zhu'shu'lan
煮云,zhu'yun
转道,zhuan'dao
转逢,zhuan'feng
自超,zi'chao
子淳,zi'chun
子聪,zi'cong
姊崎正治,zi'qi'zheng'zhi
子昙,zi'tan
子温,zi'wen
子璇,zi'xuan
子仪,zi'yi
子元,zi'yuan
宗宝,zong'bao
宗本,zong'ben
宗炳,zong'bing
宗杲,zong'gao
宗喀巴,zong'ka'ba
宗泐,zong'le
宗利,zong'li
宗璘,zong'lin
宗密,zong'mi
宗彭,zong'peng
宗晓,zong'xiao
宗性,zong'xing
宗仰,zong'yang
宗印,zong'yin
宗赜,zong'ze
遵式,zun'shi
佐伯定胤,zuo'bo'ding'yin
佐和隆研,zuo'he'long'yan
佐藤达玄,zuo'teng'da'xuan
佐藤贤顺,zuo'teng'xian'shun
佐田介石,zuo'tian'jie'shi
佐佐木教悟,zuo'zuo'mu'jiao'wu
佐佐木现顺,zuo'zuo'mu'xian'shun
佐佐木月樵,zuo'zuo'mu'yue'qiao
佐佐木指月,zuo'zuo'mu'zhi'yue
