阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
花之颜色人之泪,hua'zhi'yan'shai'ren'zhi'lei
怀曹芹溪,huai'cao'qin'xi
怀人不见泪成行,huai'ren'bu'jian'lei'cheng'xing
怀人空有梦,huai'ren'kong'you'meng
淮阴怀古其四,huai'yin'huai'gu'qi'si
幻境传来石也愁,huan'jing'chuan'lai'shi'ye'chou
黄花若解怜诗客,huang'hua'ruo'jie'lian'shi'ke
黄鼠狼变猫越变越缩,huang'shu'lang'bian'mao'yue'bian'yue'suo
荒唐愈可悲,huang'tang'yu'ke'bei
荒冢一堆草没了,huang'zhong'yi'dui'cao'mei'le
回来即告诫他的儿子说,hui'lai'ji'gao'jie'ta'de'er'zi'shuo
晦朔魄空存,hui'shuo'po'kong'cun
昏惨惨黄泉路近,hun'can'can'huang'quan'lu'jin
昏惨惨似灯将尽,hun'can'can'si'deng'jiang'jin
混沌一时七窍凿,hun'dun'yi'shi'qi'qiao'zao
魂飞庾岭春难辨,hun'fei'yu'ling'chun'nan'bian
或湿鸳鸯带,huo'shi'yuan'yang'dai
几案婷婷点缀幽,ji'an'ting'ting'dian'zhui'you
几曾随逝水,ji'ceng'sui'shi'shui
鸡唱稻香村,ji'chang'dao'xiang'cun
及陈获罪,ji'chen'huo'zui
几处狂飞盏,ji'chu'kuang'fei'zhan
几处落红庭院,ji'chu'luo'hong'ting'yuan
及到多时眼闭了,ji'dao'duo'shi'yan'bi'le
积得阴功劝人生,ji'de'yin'gong'quan'ren'sheng
机关算尽太聪明,ji'guan'suan'jin'tai'cong'ming
寄怀曹雪芹沾,ji'huai'cao'xue'qin'zhan
几回掩卷哭曹侯,ji'hui'yan'juan'ku'cao'hou
即今随园故址,ji'jin'sui'yuan'gu'zhi
急就相访,ji'jiu'xiang'fang
济困扶穷,ji'kun'fu'qiong
寂寥时,ji'liao'shi
蓟门落日松亭樽,ji'men'luo'ri'song'ting'zun
寂寞对台榭,ji'mo'dui'tai'xie
寂寞帘栊空月痕,ji'mo'lian'long'kong'yue'hen
寂寞难耐,ji'mo'nan'nai
寂寞西郊人到罕,ji'mo'xi'jiao'ren'dao'han
寂寞脂痕渍汗光,ji'mo'zhi'hen'zi'han'guang
箕裘颓堕皆从敬,ji'qiu'tui'duo'jie'cong'jing
寄生草,ji'sheng'cao
即事诗,ji'shi'shi
击石作歌声琅琅,ji'shi'zuo'ge'sheng'lang'lang
寄言蜂蝶漫疑猜,ji'yan'feng'die'man'yi'cai
寄言世俗休轻鄙,ji'yan'shi'su'xiu'qing'bi
霁月光风耀玉堂,ji'yue'guang'feng'yao'yu'tang
霁月难逢,ji'yue'nan'feng
几拙笔学书,ji'zhuo'bi'xue'shu
夹岸芙蓉照眼鲜,jia'an'fu'rong'zhao'yan'xian
葭动灰飞管,jia'dong'hui'fei'guan
家富人宁,jia'fu'ren'ning
斝干瓮涩何可当,jia'gan'weng'se'he'ke'dang
价高村酿熟,jia'gao'cun'niang'shu
嘉纳治五郎,jia'na'zhi'wu'lang
家事消亡首罪宁,jia'shi'xiao'wang'shou'zui'ning
家亡莫论亲,jia'wang'mo'lun'qin
加絮念征徭,jia'xu'nian'zheng'yao
家业凋零,jia'ye'diao'ling
嫁与东风春不管,jia'yu'dong'feng'chun'bu'guan
佳园结构类天成,jia'yuan'jie'gou'lei'tian'cheng
家置一编,jia'zhi'yi'bian
剑横破匣影铓铓,jian'heng'po'xia'ying'mang'mang
翦翦舞随腰,jian'jian'wu'sui'yao
见面尚无期,jian'mian'shang'wu'qi
见秦淮壁上题云,jian'qin'huai'bi'shang'ti'yun
渐闻语笑寂,jian'wen'yu'xiao'ji
见者觉寒,jian'zhe'jue'han
见者觉热,jian'zhe'jue're
江北江南春灿烂,jiang'bei'jiang'nan'chun'can'lan
将笔墨逞风流,jiang'bi'mo'cheng'feng'liu
将那三春看破,jiang'na'san'chun'kan'po
江南江北一般同,jiang'nan'jiang'bei'yi'ban'tong
僵卧谁相问,jiang'wo'shui'xiang'wen
绛芸轩里绝喧哗,jiang'yun'xuan'li'jue'xuan'hua
交给大雁,jiao'gei'da'yan
鹪鹩庵笔廛,jiao'liao'an'bi'chan
鹪鹩庵笔麈,jiao'liao'an'bi'zhu
鹪鹩庵杂记,jiao'liao'an'za'ji
鹪鹩庵杂记抄本,jiao'liao'an'za'ji'chao'ben
叫人焉得不伤悲,jiao'ren'yan'de'bu'shang'bei
娇羞默默同谁诉,jiao'xiu'mo'mo'tong'shui'su
交趾怀古其二,jiao'zhi'huai'gu'qi'er
阶墀随上下,jie'chi'sui'shang'xia
借得梅花一缕魂,jie'de'mei'hua'yi'lv'hun
借得山川秀,jie'de'shan'chuan'xiu
借的衣服难合体,jie'de'yi'fu'nan'he'ti
皆古人清明,jie'gu'ren'qing'ming
接罹倒着容君傲,jie'li'dao'zhe'rong'jun'ao
阶露团朝菌,jie'lu'tuan'zhao'jun
阶前愁杀葬花人,jie'qian'chou'sha'zang'hua'ren
解味道人,jie'wei'dao'ren
借问古来谁得似,jie'wen'gu'lai'shui'de'si
皆野人农夫之食耳,jie'ye'ren'nong'fu'zhi'shi'er
嗟余本非二子狂,jie'yu'ben'fei'er'zi'kuang
解语何妨片语时,jie'yu'he'fang'pian'yu'shi
皆曰此曹雪芹书,jie'yue'ci'cao'xue'qin'shu
金闺花柳质,jin'gui'hua'liu'zhi
锦技暖亲猫,jin'ji'nuan'qin'mao
尽力一头还两把,jin'li'yi'tou'hai'liang'ba
金陵十二钗,jin'ling'shi'er'chai
金笼鹦鹉唤茶汤,jin'long'ying'wu'huan'cha'tang
金满箱,jin'man'xiang
锦衾睡未成,jin'qin'shui'wei'cheng
今生偏又遇着他,jin'sheng'pian'you'yu'zhe'ta
今嫌紫蟒长,jin'xian'zi'mang'chang
今宵红灯帐底卧鸳鸯,jin'xiao'hong'deng'zhang'di'wo'yuan'yang
锦衣公子茁兰芽,jin'yi'gong'zi'zhuo'lan'ya
金银散尽,jin'yin'san'jin
金簪雪里埋,jin'zan'xue'li'mai
今朝犹喜带霜开,jin'zhao'you'xi'dai'shuang'kai
景夺文章造化功,jing'duo'wen'zhang'zao'hua'gong
精华欲掩料应难,jing'hua'yu'yan'liao'ying'nan
惊回故故恼蛩鸣,jing'hui'gu'gu'nao'qiong'ming
竟坎坷以终,jing'kan'ke'yi'zhong
镜里恩情,jing'li'en'qing
晶帘隔破月中痕,jing'lian'ge'po'yue'zhong'hen
精妙一时言不出,jing'miao'yi'shi'yan'bu'chu
井飘桐露湿栖鸦,jing'piao'tong'lu'shi'qi'ya
惊破秋窗秋梦绿,jing'po'qiu'chuang'qiu'meng'lv
敬亭诗,jing'ting'shi
敬亭与雪芹善,jing'ting'yu'xue'qin'shan
惊喜意外,jing'xi'yi'wai
静夜不眠因酒渴,jing'ye'bu'mian'yin'jiu'ke
镜中看花,jing'zhong'kan'hua
酒杯药盏莫淹留,jiu'bei'yao'zhan'mo'yan'liu
酒尽情犹在,jiu'jin'qing'you'zai
旧唐书阎立本传,jiu'tang'shu'yan'li'ben'chuan
酒未敌腥还用菊,jiu'wei'di'xing'hai'yong'ju
酒盏愧陈遵,jiu'zhan'kui'chen'zun
菊花诗,ju'hua'shi
举家食粥酒常赊,ju'jia'shi'zhou'jiu'chang'she
举目亲人尽不亲,ju'mu'qin'ren'jin'bu'qin
聚如春梦散如烟,ju'ru'chun'meng'san'ru'yan
聚叶泼成千点墨,ju'ye'po'cheng'qian'dian'mo
卷八引,juan'ba'yin
卷二第二三条,juan'er'di'er'san'tiao
卷起半帘香雾,juan'qi'ban'lian'xiang'wu
倦绣佳人幽梦长,juan'xiu'jia'ren'you'meng'chang
卷一六第一七条,juan'yi'liu'di'yi'qi'tiao
倦倚西风夜已昏,juan'yi'xi'feng'ye'yi'hun
觉得惭愧,jue'de'can'kui
绝艳惊人出汉宫,jue'yan'jing'ren'chu'han'gong
君才抑塞倘欲拔,jun'cai'yi'sai'tang'yu'ba
君生日日说恩情,jun'sheng'ri'ri'shuo'en'qing
君诗曾未等闲吟,jun'shi'ceng'wei'deng'xian'yin
君死又随人去了,jun'si'you'sui'ren'qu'le
君王纵使轻颜色,jun'wang'zong'shi'qing'yan'shai
君又无乃将军后,jun'you'wu'nai'jiang'jun'hou
开门雪尚飘,kai'men'xue'shang'piao
开辟鸿蒙,kai'pi'hong'meng
开箧犹存冰雪文,kai'qie'you'cun'bing'xue'wen
看看座客,kan'kan'zuo'ke
看来岂是寻常色,kan'lai'qi'shi'xun'chang'se
看来惟有我知音,kan'lai'wei'you'wo'zhi'yin
堪怜咏絮才,kan'lian'yong'xu'cai
看破的,kan'po'de
勘破三春景不长,kan'po'san'chun'jing'bu'chang
槛外篱边何处愁,kan'wai'li'bian'he'chu'chou
堪羡优伶有福,kan'xian'you'ling'you'fu
堪宜待凤凰,kan'yi'dai'feng'huang
堪与刀颖交寒光,kan'yu'dao'ying'jiao'han'guang
康熙间,kang'xi'jian
康熙间名士,kang'xi'jian'ming'shi
可恨同时不相识,ke'hen'tong'shi'bu'xiang'shi
可堪磨折几多宵,ke'kan'mo'zhe'ji'duo'xiao
可怜辜负好韶光,ke'lian'gu'fu'hao'shao'guang
可怜金玉质,ke'lian'jin'yu'zhi
可怜绣户侯门女,ke'lian'xiu'hu'hou'men'nv
可奈金残玉正愁,ke'nai'jin'can'yu'zheng'chou
可卿,ke'qing
可叹你今日这番经历,ke'tan'ni'jin'ri'zhe'fan'jing'li
可叹停机德,ke'tan'ting'ji'de
可叹这,ke'tan'zhe
壳凸红脂块块香,ke'tu'hong'zhi'kuai'kuai'xiang
可以与他作伴,ke'yi'yu'ta'zuo'ban
可与雪芹公子前后辉映,ke'yu'xue'qin'gong'zi'qian'hou'hui'ying
客至,ke'zhi
可知野鹤在鸡群,ke'zhi'ye'he'zai'ji'qun
空对着,kong'dui'zhe
恐哭损残年,kong'ku'sun'can'nian
空篱旧圃秋无迹,kong'li'jiu'pu'qiu'wu'ji
空缱绻说风流,kong'qian'quan'shuo'feng'liu
空山泣老枭,kong'shan'qi'lao'xiao
空剩雪霜痕,kong'sheng'xue'shuang'hen
空使鹃啼燕妒,kong'shi'juan'ti'yan'du
空云似桂如兰,kong'yun'si'gui'ru'lan
空帐悬文凤,kong'zhang'xuan'wen'feng
口齿噙香对月吟,kou'chi'qin'xiang'dui'yue'yin
哭孙季蕃,ku'sun'ji'fan
哭向金陵事更哀,ku'xiang'jin'ling'shi'geng'ai
快绿怡红别样名,kuai'lv'yi'hong'bie'yang'ming
况我今当手足情,kuang'wo'jin'dang'shou'zu'qing
狂游客喜招,kuang'you'ke'xi'zhao
困龙也有上天时,kun'long'ye'you'shang'tian'shi
蜡屐远来情得得,la'ji'yuan'lai'qing'de'de
来看小院春,lai'kan'xiao'yuan'chun
癞头和尚弄玉,lai'tou'he'shang'nong'yu
癞头僧疯话,lai'tou'seng'feng'hua
老来富贵也真侥幸,lao'lai'fu'gui'ye'zhen'jiao'xing
乐中悲,le'zhong'bei
泪迸荒天寡妇声,lei'beng'huang'tian'gua'fu'sheng
泪干春尽花憔悴,lei'gan'chun'jin'hua'qiao'cui
泪痕无尽笑何由,lei'hen'wu'jin'xiao'he'you
泪未全收笑又开,lei'wei'quan'shou'xiao'you'kai
泪眼观花泪易干,lei'yan'guan'hua'lei'yi'gan
泪已尽,lei'yi'jin
泪烛摇摇爇短檠,lei'zhu'yao'yao'ruo'duan'qing
泪自长流花自媚,lei'zi'chang'liu'hua'zi'mei
冷翠滴回廊,leng'cui'di'hui'lang
冷吟不尽兴悠悠,leng'yin'bu'jin'xing'you'you
冷吟秋色诗千首,leng'yin'qiu'se'shi'qian'shou
冷雨敲窗被未温,leng'yu'qiao'chuang'bei'wei'wen
冷月葬花魂,leng'yue'zang'hua'hun
李白号青莲居士,li'bai'hao'qing'lian'ju'shi
离合岂无缘,li'he'qi'wu'yuan
梨花满地不闻莺,li'hua'man'di'bu'wen'ying
篱畔秋酣一觉清,li'pan'qiu'han'yi'jiao'qing
篱畔庭前故故栽,li'pan'ting'qian'gu'gu'zai
篱筛破月锁玲珑,li'shai'po'yue'suo'ling'long
李纨,li'wan
李阳冰,li'yang'bing
怜春忽至恼忽去,lian'chun'hu'zhi'nao'hu'qu
帘卷朱楼罢晚妆,lian'juan'zhu'lou'ba'wan'zhuang
帘栊悄悄控金钩,lian'long'qiao'qiao'kong'jin'gou
联诗,lian'shi
连天衰草遮坟墓,lian'tian'shuai'cao'zhe'fen'mu
帘外桃花帘内人,lian'wai'tao'hua'lian'nei'ren
连宵脉脉复飕飕,lian'xiao'mo'mo'fu'sou'sou
帘中人比桃花瘦,lian'zhong'ren'bi'tao'hua'shou
梁间燕子太无情,liang'jian'yan'zi'tai'wu'qing
两两出婵娟,liang'liang'chu'chan'juan
两诗画出雪芹矣,liang'shi'hua'chu'xue'qin'yi
良夜景暄暄,liang'ye'jing'xuan'xuan
潦倒不通世务,liao'dao'bu'tong'shi'wu
蓼红苇白断肠时,liao'hong'wei'bai'duan'chang'shi
蓼花菱叶不胜愁,liao'hua'ling'ye'bu'sheng'chou
寥寥坐听晚砧痴,liao'liao'zuo'ting'wan'zhen'chi
林斧不闻樵,lin'fu'bu'wen'qiao
嶙峋更见此支离,lin'xun'geng'jian'ci'zhi'li
淋竹醉堪调,lin'zhu'zui'kan'tiao
令此肝肺生角芒,ling'ci'gan'fei'sheng'jue'mang
菱花空对雪澌澌,ling'hua'kong'dui'xue'si'si
菱荇鹅儿水,ling'xing'e'er'shui
六朝梁栋多如许,liu'chao'liang'dong'duo'ru'xu
留得小红独坐在,liu'de'xiao'hong'du'zuo'zai
榴花开处照宫闱,liu'hua'kai'chu'zhao'gong'wei
六桥南北带沙提,liu'qiao'nan'bei'dai'sha'ti
六桥烟柳,liu'qiao'yan'liu
流水空山有落霞,liu'shui'kong'shan'you'luo'xia
柳丝榆荚自芳菲,liu'si'yu'jia'zi'fang'fei
留余庆,liu'yu'qing
龙斗阵云销,long'dou'zhen'yun'xiao
陋室空堂,lou'shi'kong'tang
楼台高起五云中,lou'tai'gao'qi'wu'yun'zhong
鹿车荷锸葬刘伶,lu'che'he'cha'zang'liu'ling
庐结西郊别样幽,lu'jie'xi'jiao'bie'yang'you
露凝霜重渐倾欹,lu'ning'shuang'zhong'jian'qing'qi
露浓苔更滑,lu'nong'tai'geng'hua
陆嵩,lu'song
芦雪庵争联即景诗,lu'xue'an'zheng'lian'ji'jing'shi
路远山高,lu'yuan'shan'gao
鸾刀昨夜磨秋霜,luan'dao'zuo'ye'mo'qiu'shuang
乱分雌霓连蜷卧,luan'fen'ci'ni'lian'quan'wo
乱烘烘你方唱罢我登场,luan'hong'hong'ni'fang'chang'ba'wo'deng'chang
萝薜助芬芳,luo'bi'zhu'fen'fang
落了片白茫茫大地真干净,luo'le'pian'bai'mang'mang'da'di'zhen'gan'jing
罗衾不奈秋风力,luo'qin'bu'nai'qiu'feng'li
罗衫怯怯兮风露凉,luo'shan'qie'qie'xi'feng'lu'liang
落絮轻沾扑绣帘,luo'xu'qing'zhan'pu'xiu'lian
绿裁歌扇迷芳草,lv'cai'ge'shan'mi'fang'cao
绿萼添妆融宝炬,lv'e'tian'zhuang'rong'bao'ju
绿蜡春犹卷,lv'la'chun'you'juan
绿纱今又糊在蓬窗上,lv'sha'jin'you'hu'zai'peng'chuang'shang
绿蓑江上秋闻笛,lv'suo'jiang'shang'qiu'wen'di
绿烟锁窗集,lv'yan'suo'chuang'ji
绿珠,lv'zhu
马嵬怀古其八,ma'wei'huai'gu'qi'ba
马援自是功劳大,ma'yuan'zi'shi'gong'lao'da
麦饭,mai'fan
麦饭豆羹,mai'fan'dou'geng
麦饭啼鹃认故丘,mai'fan'ti'juan'ren'gu'qiu
卖画钱来付酒家,mai'hua'qian'lai'fu'jiu'jia
埋琴稚子挑,mai'qin'zhi'zi'tiao
满把晴光护玉栏,man'ba'qing'guang'hu'yu'lan
满径蓬蒿老不华,man'jing'peng'hao'lao'bu'hua
漫言不肖皆荣出,man'yan'bu'xiao'jie'rong'chu
满园榆柳飞苍黄,man'yuan'yu'liu'fei'cang'huang
满纸荒唐言,man'zhi'huang'tang'yan
满纸喁喁语不休,man'zhi'yu'yu'yu'bu'xiu
满纸自怜题素怨,man'zhi'zi'lian'ti'su'yuan
鋩鋩,mang'mang
茫茫着甚悲愁喜,mang'mang'zhe'shen'bei'chou'xi
懋斋诗,mao'zhai'shi
懋斋诗钞,mao'zhai'shi'chao
每出,mei'chu
每多将种,mei'duo'jiang'zhong
梅花观怀古其十,mei'hua'guan'huai'gu'qi'shi
梅魂竹梦已三更,mei'hun'zhu'meng'yi'san'geng
美人巨眼识穷途,mei'ren'ju'yan'shi'qiong'tu
美人千里兮独沉吟望故乡兮何处,mei'ren'qian'li'xi'du'chen'yin'wang'gu'xiang'xi'he'chu
妹头,mei'tou
妹坨,mei'tuo
美中不足今方信,mei'zhong'bu'zu'jin'fang'xin
没帚山僧扫,mei'zhou'shan'seng'sao
闷来时敛额,men'lai'shi'lian'e
门外山川供绘画,men'wai'shan'chuan'gong'hui'hua
梦魂多个帐儿纱,meng'hun'duo'ge'zhang'er'sha
蒙挑外差实可怕,meng'tiao'wai'cha'shi'ke'pa
觅那清淡天和,mi'na'qing'dan'tian'he
妙玉,miao'yu
明代即已废,ming'dai'ji'yi'fei
明妃,ming'fei
名利何曾伴汝身,ming'li'he'ceng'ban'ru'shen
明媚鲜妍能几时,ming'mei'xian'yan'neng'ji'shi
明年闺中知有谁,ming'nian'gui'zhong'zhi'you'shui
明年花发虽可啄,ming'nian'hua'fa'sui'ke'zhuo
明日相看笑不休,ming'ri'xiang'kan'xiao'bu'xiu
明岁秋风知再会,ming'sui'qiu'feng'zhi'zai'hui
明我斋,ming'wo'zhai
明我斋读而羡之,ming'wo'zhai'du'er'xian'zhi
名延福,ming'yan'fu
命已还,ming'yi'huan
明义字我斋,ming'yi'zi'wo'zhai
名园一自邀游赏,ming'yuan'yi'zi'yao'you'shang
名园筑出势巍巍,ming'yuan'zhu'chu'shi'wei'wei
名园筑何处,ming'yuan'zhu'he'chu
明月梅花一梦,ming'yue'mei'hua'yi'meng
磨麦合皮而炊之,mo'mai'he'pi'er'chui'zhi
莫牵连,mo'qian'lian
莫认东篱闲采掇,mo'ren'dong'li'xian'cai'duo
莫使春光别去,mo'shi'chun'guang'bie'qu
莫谓缟仙能羽化,mo'wei'gao'xian'neng'yu'hua
莫问金姻与玉缘,mo'wen'jin'yin'yu'yu'yuan
莫摇清碎影,mo'yao'qing'sui'ying
莫怨他人嘲笑频,mo'yuan'ta'ren'chao'xiao'pin
木怪虎狼蹲,mu'guai'hu'lang'dun
那管世人诽谤,na'guan'shi'ren'fei'bang
那堪风雨助凄凉,na'kan'feng'yu'zhu'qi'liang
那美韶华去之何迅,na'mei'shao'hua'qu'zhi'he'xun
那知自己归来丧,na'zhi'zi'ji'gui'lai'sang
乃密疏荐陈,nai'mi'shu'jian'chen
乃织造成公之子啸崖所作,nai'zhi'zao'cheng'gong'zhi'zi'xiao'ya'suo'zuo
南朝诗人谢灵运有,nan'chao'shi'ren'xie'ling'yun'you
难堆破叶蕉,nan'dui'po'ye'jiao
喃喃负手叩东篱,nan'nan'fu'shou'kou'dong'li
内圣外王,nei'sheng'wai'wang
你道是啖肉食腥膻,ni'dao'shi'dan'rou'shi'xing'shan
拟景或依门,ni'jing'huo'yi'men
你证我证,ni'zheng'wo'zheng
碾冰为土玉为盆,nian'bing'wei'tu'yu'wei'pen
年来聚散感浮云,nian'lai'ju'san'gan'fu'yun
年年风雨荒台畔,nian'nian'feng'yu'huang'tai'pan
念念心随归雁远,nian'nian'xin'sui'gui'yan'yuan
年稔府粱饶,nian'ren'fu'liang'rao
年未五旬而卒,nian'wei'wu'xun'er'zu
鸟自无言花自羞,niao'zi'wu'yan'hua'zi'xiu
牛鬼遗文悲李贺,niu'gui'yi'wen'bei'li'he
浓淡由他冰雪中,nong'dan'you'ta'bing'xue'zhong
农家粗食,nong'jia'cu'shi
侬今葬花人笑痴,nong'jin'zang'hua'ren'xiao'chi
女儿翠袖诗怀冷,nv'er'cui'xiu'shi'huai'leng
偶过明君琳养石轩,ou'guo'ming'jun'lin'yang'shi'xuan
偶录锦帆泾,ou'lu'jin'fan'jing
偶录于抗风轩之南,ou'lu'yu'kang'feng'xuan'zhi'nan
偶因济刘氏,ou'yin'ji'liu'shi
怕见春归人易老,pa'jian'chun'gui'ren'yi'lao
拍手凭他笑路旁,pai'shou'ping'ta'xiao'lu'pang
盘蛇一径遥,pan'she'yi'jing'yao
抛书人对一枝秋,pao'shu'ren'dui'yi'zhi'qiu
抛珠滚玉只偷潸,pao'zhu'gun'yu'zhi'tou'shan
佩刀质酒饮,pei'dao'zhi'jiu'yin
烹茶冰渐沸,peng'cha'bing'jian'fei
烹茶更细论,peng'cha'geng'xi'lun
蓬门今始为君开,peng'men'jin'shi'wei'jun'kai
捧心西子玉为魂,peng'xin'xi'zi'yu'wei'hun
彭泽先生是酒狂,peng'ze'xian'sheng'shi'jiu'kuang
披凤袄,pi'feng'ao
皮里春秋空黑黄,pi'li'chun'qiu'kong'hei'huang
琵琶记传奇,pi'pa'ji'chuan'qi
偏是离人恨重,pian'shi'li'ren'hen'zhong
片言谁解诉秋心,pian'yan'shui'jie'su'qiu'xin
飘泊亦如人命薄,piao'bo'yi'ru'ren'ming'bo
贫贱骨肉亦途人,pin'jian'gu'rou'yi'tu'ren
颦颦宝玉两情痴,pin'pin'bao'yu'liang'qing'chi
贫穷难耐凄凉,pin'qiong'nan'nai'qi'liang
频添一段愁,pin'tian'yi'duan'chou
凭吊无端频怅望,ping'diao'wu'duan'pin'chang'wang
凭尔去忍淹留,ping'er'qu'ren'yan'liu
瓶供篱栽日日忙,ping'gong'li'zai'ri'ri'mang
凭栏垂绛袖,ping'lan'chui'jiang'xiu
凭栏人向东风泣,ping'lan'ren'xiang'dong'feng'qi
平生遭际实堪伤,ping'sheng'zao'ji'shi'kan'shang
凭诗祝舜尧,ping'shi'zhu'shun'yao
凭谁醉眼认朦胧,ping'shui'zui'yan'ren'meng'long
泼醋擂姜兴欲狂,po'cu'lei'jiang'xing'yu'kuang
破刹今游寄兴深,po'sha'jin'you'ji'xing'shen
坡仙曾笑一生忙,po'xian'ceng'xiao'yi'sheng'mang
蒲东寺怀古其九,pu'dong'si'huai'gu'qi'jiu
圃冷斜阳忆旧游,pu'leng'xie'yang'yi'jiu'you
圃露庭霜何寂寞,pu'lu'ting'shuang'he'ji'mo
气昂昂头戴簪缨,qi'ang'ang'tou'dai'zan'ying
岂必委芳尘,qi'bi'wei'fang'chen
岂得羁縻女丈夫,qi'de'ji'mi'nv'zhang'fu
其二,qi'er
脐间积冷馋忘忌,qi'jian'ji'leng'chan'wang'ji
七节攒成雪满盆,qi'jie'cuan'cheng'xue'man'pen
岂令寂寞度朝昏,qi'ling'ji'mo'du'chao'hun
绮栊昼夜困鸳鸯,qi'long'zhou'ye'kun'yuan'yang
起卿沉痼续红丝,qi'qing'chen'gu'xu'hong'si
其人工诗善画,qi'ren'gong'shi'shan'hua
其人素性放达,qi'ren'su'xing'fang'da
其三,qi'san
其声凄苦,qi'sheng'qi'ku
岂是丹青费较量,qi'shi'dan'qing'fei'jiao'liang
岂是吕虔遗王祥,qi'shi'lv'qian'yi'wang'xiang
岂是绣绒残吐,qi'shi'xiu'rong'can'tu
歧熟焉忘径,qi'shu'yan'wang'jing
其所谓大观园者,qi'suo'wei'da'guan'yuan'zhe
岂惟世少看花人,qi'wei'shi'shao'kan'hua'ren
其为阳春白雪,qi'wei'yang'chun'bai'xue
绮袖笼金貂,qi'xiu'long'jin'diao
其一,qi'yi
其曾祖寅,qi'zeng'zu'yin
岂知花落水仍流,qi'zhi'hua'luo'shui'reng'liu
气质美如兰,qi'zhi'mei'ru'lan
其子雪芹撰红楼梦一部,qi'zi'xue'qin'zhuan'hong'lou'meng'yi'bu
牵愁照恨动离情,qian'chou'zhao'hen'dong'li'qing
潜度偷移三径中,qian'du'tou'yi'san'jing'zhong
千古高风说到今,qian'gu'gao'feng'shuo'dao'jin
前后看花应几人,qian'hou'kan'hua'ying'ji'ren
欠泪的,qian'lei'de
千里东风一梦遥,qian'li'dong'feng'yi'meng'yao
牵连大抵难休绝,qian'lian'da'di'nan'xiu'jue
乾隆二十六年夏末秋初,qian'long'er'shi'liu'nian'xia'mo'qiu'chu
欠命的,qian'ming'de
茜裙偷傍桃花立,qian'qun'tou'bang'tao'hua'li
前身定是瑶台种,qian'shen'ding'shi'yao'tai'zhong
纤手自拈来,qian'shou'zi'nian'lai
前数月,qian'shu'yue
倩谁记去作奇传,qian'shui'ji'qu'zuo'qi'chuan
倩影三更月有痕,qian'ying'san'geng'yue'you'hen
襁褓之间父母违,qiang'bao'zhi'jian'fu'mu'wei
襁褓中,qiang'bao'zhong
强来灯下一回嘻,qiang'lai'deng'xia'yi'hui'xi
墙颓可见补云阴,qiang'tui'ke'jian'bu'yun'yin
强言今日较差些,qiang'yan'jin'ri'jiao'cha'xie
憔悴花遮憔悴人,qiao'cui'hua'zhe'qiao'cui'ren
巧得遇恩人,qiao'de'yu'en'ren
巧姐,qiao'jie
悄来阶下漫逡巡,qiao'lai'jie'xia'man'qun'xun
悄向花阴寻侍女,qiao'xiang'hua'yin'xun'shi'nv
且酤满眼作软饱,qie'gu'man'yan'zuo'ruan'bao
且着临邛犊鼻裈,qie'zhe'lin'qiong'du'bi'kun
且住且住,qie'zhu'qie'zhu
琴裹坏囊声漠漠,qin'guo'huai'nang'sheng'mo'mo
秦淮风月忆繁华,qin'huai'feng'yue'yi'fan'hua
秦淮旧梦人犹在,qin'huai'jiu'meng'ren'you'zai
沁梅香可嚼,qin'mei'xiang'ke'jiao
芹圃曹君霑别来已一载馀矣,qin'pu'cao'jun'zhan'bie'lai'yi'yi'zai'yu'yi
衾倩侍儿温,qin'qian'shi'er'wen
芹溪居士,qin'xi'ju'shi
青灯古殿人将老,qing'deng'gu'dian'ren'jiang'lao
青灯照壁人初睡,qing'deng'zhao'bi'ren'chu'shui
青蛾红粉归何处,qing'e'hong'fen'gui'he'chu
青枫林下鬼吟哦,qing'feng'lin'xia'gui'yin'e
青埂峰偈,qing'geng'feng'ji
青埂之峰我所游兮,qing'geng'zhi'feng'wo'suo'you'xi
晴光摇院宇,qing'guang'yao'yuan'yu
轻寒风剪剪,qing'han'feng'jian'jian
情既相逢必主淫,qing'ji'xiang'feng'bi'zhu'yin
清冷香中抱膝吟,qing'leng'xiang'zhong'bao'xi'yin
清梦转聊聊,qing'meng'zhuan'liao'liao
清明涕送江边望,qing'ming'ti'song'jiang'bian'wang
黥彭甘受他年醢,qing'peng'gan'shou'ta'nian'hai
清贫怀箪瓢,qing'pin'huai'dan'piao
清十二帝,qing'shi'er'di
情天情海幻情身,qing'tian'qing'hai'huan'qing'shen
晴雯,qing'wen
轻烟迷曲径,qing'yan'mi'qu'jing
清游拟上元,qing'you'ni'shang'yuan
清砧怨笛送黄昏,qing'zhen'yuan'di'song'huang'hun
青冢怀古其七,qing'zhong'huai'gu'qi'qi
蛩唱空厨近自寻,qiong'chang'kong'chu'jin'zi'xun
秋光叠叠复重重,qiu'guang'die'die'fu'chong'chong
秋光荏苒休辜负,qiu'guang'ren'ran'xiu'gu'fu
秋闺怨女拭啼痕,qiu'gui'yuan'nv'shi'ti'hen
秋花惨淡秋草黄,qiu'hua'can'dan'qiu'cao'huang
秋气酿寒风雨恶,qiu'qi'niang'han'feng'yu'e
秋容浅淡映重门,qiu'rong'qian'dan'ying'zhong'men
秋湍泻石髓,qiu'tuan'xie'shi'sui
秋晓遇雪芹于槐园,qiu'xiao'yu'xue'qin'yu'huai'yuan
