阿贝不变量,a'bei'bu'bian'liang
海森伯绘景,hai'sen'bo'hui'jing
海氏电桥,hai'shi'dian'qiao
含时微扰,han'shi'wei'rao
含时薛定谔方程,han'shi'xue'ding'e'fang'cheng
函数,han'shu
行波,hang'bo
好量子数,hao'liang'zi'shu
耗散结构,hao'san'jie'gou
耗散力,hao'san'li
合成,he'cheng
合力,he'li
核力,he'li
合力偶,he'li'ou
合速度,he'su'du
赫兹实验,he'zi'shi'yan
赫兹以下,he'zi'yi'xia
赫兹振子,he'zi'zhen'zi
合作现象,he'zuo'xian'xiang
黑体,hei'ti
黑体辐射,hei'ti'fu'she
横波,heng'bo
横场,heng'chang
横磁波,heng'ci'bo
横电波,heng'dian'bo
横电磁波,heng'dian'ci'bo
恒定电流,heng'ding'dian'liu
恒力,heng'li
恒流源,heng'liu'yuan
横模,heng'mo
恒偏,heng'pian
恒温器,heng'wen'qi
横向多普勒效应,heng'xiang'duo'pu'le'xiao'ying
横向放大率,heng'xiang'fang'da'lv
横向加速度,heng'xiang'jia'su'du
横向速度,heng'xiang'su'du
恒压源,heng'ya'yuan
横质量,heng'zhi'liang
红宝石激光器,hong'bao'shi'ji'guang'qi
洪德定则,hong'de'ding'ze
宏观不可逆性,hong'guan'bu'ke'ni'xing
宏观量,hong'guan'liang
宏观态,hong'guan'tai
红外线,hong'wai'xian
虹吸,hong'xi
厚透镜,hou'tou'jing
互补原理,hu'bu'yuan'li
互感,hu'gan
互感器,hu'gan'qi
互感系数,hu'gan'xi'shu
胡克定律,hu'ke'ding'lv
互能,hu'neng
弧矢焦线,hu'shi'jiao'xian
互作用,hu'zuo'yong
互作用绘景,hu'zuo'yong'hui'jing
互作用能,hu'zuo'yong'neng
滑动摩擦,hua'dong'mo'ca
滑动摩擦系数,hua'dong'mo'ca'xi'shu
滑轮,hua'lun
滑轮组,hua'lun'zu
华氏温标,hua'shi'wen'biao
化学,hua'xue
化学亲和势,hua'xue'qin'he'shi
化学势,hua'xue'shi
化学物理,hua'xue'wu'li
滑移矢,hua'yi'shi
环流,huan'liu
回波,hui'bo
恢复冲量,hui'fu'chong'liang
恢复系数,hui'fu'xi'shu
惠更斯,hui'geng'si
惠更斯目镜,hui'geng'si'mu'jing
惠更斯原理,hui'geng'si'yuan'li
会聚波,hui'ju'bo
会聚透镜,hui'ju'tou'jing
回路,hui'lu
回声,hui'sheng
惠斯通电桥,hui'si'tong'dian'qiao
回旋半径,hui'xuan'ban'jing
混沌,hun'dun
混合气体,hun'he'qi'ti
混合态,hun'he'tai
霍耳效应,huo'er'xiao'ying
火花计时器,huo'hua'ji'shi'qi
火花室,huo'hua'shi
火箭,huo'jian
火石玻璃,huo'shi'bo'li
基本物理常量,ji'ben'wu'li'chang'liang
畸变,ji'bian
级别,ji'bie
击波,ji'bo
击波前,ji'bo'qian
吉布斯,ji'bu'si
吉布斯佯谬,ji'bu'si'yang'miu
击穿,ji'chuan
击穿场强,ji'chuan'chang'qiang
基点,ji'dian
集电极,ji'dian'ji
基尔霍夫方程组,ji'er'huo'fu'fang'cheng'zu
基尔霍夫公式,ji'er'huo'fu'gong'shi
基尔霍夫积分定理,ji'er'huo'fu'ji'fen'ding'li
激发,ji'fa
激发态,ji'fa'tai
积分微分,ji'fen'wei'fen
激光,ji'guang
激光器,ji'guang'qi
几何光学,ji'he'guang'xue
极化,ji'hua
极化电荷,ji'hua'dian'he
极化电流,ji'hua'dian'liu
极化率,ji'hua'lv
极化强度,ji'hua'qiang'du
基极,ji'ji
几率,ji'lv
基面,ji'mian
极矢,ji'shi
计时器,ji'shi'qi
计数器,ji'shu'qi
基态,ji'tai
集团积分,ji'tuan'ji'fen
集团展开,ji'tuan'zhan'kai
迹线,ji'xian
极限速度,ji'xian'su'du
机械波,ji'xie'bo
机械功,ji'xie'gong
机械能,ji'xie'neng
机械能守恒定律,ji'xie'neng'shou'heng'ding'lv
机械运动,ji'xie'yun'dong
机械振动,ji'xie'zhen'dong
基右矢,ji'you'shi
集中力,ji'zhong'li
基左矢,ji'zuo'shi
价电子,jia'dian'zi
伽利略变换,jia'li'lue'bian'huan
伽利略不变性,jia'li'lue'bu'bian'xing
伽利略相对性原理,jia'li'lue'xiang'dui'xing'yuan'li
加权平均,jia'quan'ping'jun
假设,jia'she
假说,jia'shuo
加速度,jia'su'du
加速度计,jia'su'du'ji
加速运动,jia'su'yun'dong
鉴别,jian'bie
简并度,jian'bing'du
简并性,jian'bing'xing
检测,jian'ce
尖端放电,jian'duan'fang'dian
减反射膜,jian'fan'she'mo
间隔,jian'ge
间接测量,jian'jie'ce'liang
碱金属原子,jian'jin'shu'yuan'zi
检流计,jian'liu'ji
检偏器,jian'pian'qi
剪切,jian'qie
剪切角,jian'qie'jiao
溅射,jian'she
简谐波,jian'xie'bo
简谐运动,jian'xie'yun'dong
检验,jian'yan
剪应变,jian'ying'bian
剪应力,jian'ying'li
简正模,jian'zheng'mo
简正频率,jian'zheng'pin'lv
简正振动,jian'zheng'zhen'dong
简正坐标,jian'zheng'zuo'biao
交变,jiao'bian
焦点,jiao'dian
角动量,jiao'dong'liang
角动量定理,jiao'dong'liang'ding'li
角动量守恒定律,jiao'dong'liang'shou'heng'ding'lv
焦耳,jiao'er
焦耳定律,jiao'er'ding'lv
焦耳热,jiao'er're
焦耳实验,jiao'er'shi'yan
角放大率,jiao'fang'da'lv
角分辨率,jiao'fen'bian'lv
交换对称性,jiao'huan'dui'chen'xing
交换能,jiao'huan'neng
角加速度,jiao'jia'su'du
焦距,jiao'ju
焦距计,jiao'ju'ji
交流电路,jiao'liu'dian'lu
交流电桥,jiao'liu'dian'qiao
焦面,jiao'mian
角频率,jiao'pin'lv
焦散线,jiao'san'xian
焦深,jiao'shen
角速度,jiao'su'du
矫顽力,jiao'wan'li
角位移,jiao'wei'yi
角向运动,jiao'xiang'yun'dong
校正,jiao'zheng
校准,jiao'zhun
接触电势差,jie'chu'dian'shi'cha
接触力,jie'chu'li
解除约束原理,jie'chu'yue'shu'yuan'li
接地,jie'di
节点,jie'dian
介电强度,jie'dian'qiang'du
接法,jie'fa
结合能,jie'he'neng
节流过程,jie'liu'guo'cheng
截面,jie'mian
阶梯光栅,jie'ti'guang'shan
介质,jie'zhi
截止波长,jie'zhi'bo'chang
截止频率,jie'zhi'pin'lv
近代物理,jin'dai'wu'li
进动,jin'dong
浸渐不变量,jin'jian'bu'bian'liang
浸渐近似,jin'jian'jin'si
禁戒跃迁,jin'jie'yue'qian
浸没物镜,jin'mo'wu'jing
近视,jin'shi
金斯公式,jin'si'gong'shi
静磁学,jing'ci'xue
静电场,jing'dian'chang
静电场的环路定理,jing'dian'chang'de'huan'lu'ding'li
经典电动力学,jing'dian'dian'dong'li'xue
经典电子半径,jing'dian'dian'zi'ban'jing
静电伏特计,jing'dian'fu'te'ji
静电感应,jing'dian'gan'ying
静电计,jing'dian'ji
经典金属电子论,jing'dian'jin'shu'dian'zi'lun
静电聚焦,jing'dian'ju'jiao
静电力,jing'dian'li
经典力学,jing'dian'li'xue
静电能,jing'dian'neng
静电屏蔽,jing'dian'ping'bi
静电平衡,jing'dian'ping'heng
经典统计法,jing'dian'tong'ji'fa
静电透镜,jing'dian'tou'jing
经典物理,jing'dian'wu'li
静电学,jing'dian'xue
静定问题,jing'ding'wen'ti
劲度,jing'du
径光,jing'guang
静力学,jing'li'xue
精密度,jing'mi'du
静摩擦,jing'mo'ca
静能,jing'neng
景深,jing'shen
径矢,jing'shi
晶体管,jing'ti'guan
晶体光轴,jing'ti'guang'zhou
晶体主截面,jing'ti'zhu'jie'mian
晶体主平面,jing'ti'zhu'ping'mian
精细结构,jing'xi'jie'gou
精细结构常数,jing'xi'jie'gou'chang'shu
镜象法,jing'xiang'fa
镜象反射,jing'xiang'fan'she
径向分布函数,jing'xiang'fen'bu'han'shu
径向加速度,jing'xiang'jia'su'du
径向速度,jing'xiang'su'du
静压,jing'ya
静质量,jing'zhi'liang
久期方程,jiu'qi'fang'cheng
聚变,ju'bian
聚光器,ju'guang'qi
聚焦,ju'jiao
矩孔衍射,ju'kong'yan'she
居里点,ju'li'dian
巨配分函数,ju'pei'fen'han'shu
矩形波导,ju'xing'bo'dao
局域平衡,ju'yu'ping'heng
矩阵力学,ju'zhen'li'xue
巨正则分布,ju'zheng'ze'fen'bu
巨正则系综,ju'zheng'ze'xi'zong
决定论,jue'ding'lun
绝对,jue'dui
绝对参考系,jue'dui'can'kao'xi
绝对过去,jue'dui'guo'qu
绝对加速度,jue'dui'jia'su'du
绝对空间,jue'dui'kong'jian
绝对零度,jue'dui'ling'du
绝对熵,jue'dui'shang
绝对时间,jue'dui'shi'jian
绝对速度,jue'dui'su'du
绝对未来,jue'dui'wei'lai
绝对温度,jue'dui'wen'du
绝对误差,jue'dui'wu'cha
绝对异地,jue'dui'yi'di
绝对运动,jue'dui'yun'dong
绝对折射率,jue'dui'zhe'she'lv
绝热方程,jue're'fang'cheng
绝热过程,jue're'guo'cheng
绝热式不变量,jue're'shi'bu'bian'liang
绝热式近似,jue're'shi'jin'si
绝热线,jue're'xian
绝热指数,jue're'zhi'shu
绝缘导体,jue'yuan'dao'ti
绝缘介质,jue'yuan'jie'zhi
绝缘体,jue'yuan'ti
均位力积,jun'wei'li'ji
均匀电介质,jun'yun'dian'jie'zhi
喀拉氏定理,ka'la'shi'ding'li
卡末林,ka'mo'lin
卡诺定理,ka'nuo'ding'li
卡诺循环,ka'nuo'xun'huan
开尔文双电桥,kai'er'wen'shuang'dian'qiao
开关,kai'guan
开管,kai'guan
开路,kai'lu
开普勒定律,kai'pu'le'ding'lv
抗磁性,kang'ci'xing
抗扭劲度,kang'niu'jin'du
康普顿波长,kang'pu'dun'bo'chang
康普顿散射,kang'pu'dun'san'she
康普顿效应,kang'pu'dun'xiao'ying
抗弯强度,kang'wan'qiang'du
考纽螺线,kao'niu'luo'xian
可变光阑,ke'bian'guang'lan
可对易性,ke'dui'yi'xing
克尔盒,ke'er'he
克尔效应,ke'er'xiao'ying
可观察量,ke'guan'cha'liang
可见度,ke'jian'du
可见光,ke'jian'guang
克拉珀龙方程,ke'la'po'long'fang'cheng
克劳修斯,ke'lao'xiu'si
克劳修斯不等式,ke'lao'xiu'si'bu'deng'shi
克劳修斯等式,ke'lao'xiu'si'deng'shi
科里奥利加速度,ke'li'ao'li'jia'su'du
科里奥利力,ke'li'ao'li'li
可逆过程,ke'ni'guo'cheng
克努曾效应,ke'nu'ceng'xiao'ying
克努森效应,ke'nu'sen'xiao'ying
可压缩性,ke'ya'suo'xing
可遗坐标,ke'yi'zuo'biao
空间,kong'jian
空间反演,kong'jian'fan'yan
空间量子化,kong'jian'liang'zi'hua
空间频率,kong'jian'pin'lv
空间平移,kong'jian'ping'yi
空间瞬心迹,kong'jian'shun'xin'ji
空间相干性,kong'jian'xiang'gan'xing
空间转动,kong'jian'zhuan'dong
空气阻力,kong'qi'zu'li
孔特管,kong'te'guan
空穴,kong'xue
库仑场,ku'lun'chang
库仑定律,ku'lun'ding'lv
库仑规范,ku'lun'gui'fan
库仑计,ku'lun'ji
库仑力,ku'lun'li
傀标,kui'biao
扩散,kuo'san
扩散泵,kuo'san'beng
扩散系数,kuo'san'xi'shu
拉格朗日,la'ge'lang'ri
拉格朗日乘子,la'ge'lang'ri'cheng'zi
拉格朗日定理,la'ge'lang'ri'ding'li
拉格朗日方程,la'ge'lang'ri'fang'cheng
拉格朗日函数,la'ge'lang'ri'han'shu
拉曼散射,la'man'san'she
拉莫尔半径,la'mo'er'ban'jing
拉莫尔频率,la'mo'er'pin'lv
拉莫尔旋进,la'mo'er'xuan'jin
拉姆斯登目镜,la'mu'si'deng'mu'jing
拉伸应变,la'shen'ying'bian
莱顿瓶,lai'dun'ping
莱曼系,lai'man'xi
兰姆移位,lan'mu'yi'wei
朗德间隔定则,lang'de'jian'ge'ding'ze
朗之万方程,lang'zhi'wan'fang'cheng
劳埃德镜,lao'ai'de'jing
勒让德变换,le'rang'de'bian'huan
勒夏特列原理,le'xia'te'lie'yuan'li
类比,lei'bi
类光,lei'guang
类光间隔,lei'guang'jian'ge
类光事件,lei'guang'shi'jian
类光矢量,lei'guang'shi'liang
类光线,lei'guang'xian
类空,lei'kong
类空间隔,lei'kong'jian'ge
类空截面,lei'kong'jie'mian
类空事件,lei'kong'shi'jian
类空矢量,lei'kong'shi'liang
类空线,lei'kong'xian
雷诺数,lei'nuo'shu
类氢原子,lei'qing'yuan'zi
类时,lei'shi
类时间隔,lei'shi'jian'ge
类时事件,lei'shi'shi'jian
类时矢量,lei'shi'shi'liang
类时线,lei'shi'xian
楞次定律,leng'ci'ding'lv
冷阱,leng'jing
棱镜,leng'jing
棱镜摄谱仪,leng'jing'she'pu'yi
力场,li'chang
里德伯常量,li'de'bo'chang'liang
力的分解,li'de'fen'jie
力的合成,li'de'he'cheng
力的平衡,li'de'ping'heng
离解,li'jie
离解热,li'jie're
力矩,li'ju
理论,li'lun
理论误差,li'lun'wu'cha
理论物理,li'lun'wu'li
力螺旋,li'luo'xuan
李纳,li'na
力偶,li'ou
力偶矩,li'ou'ju
力偶系,li'ou'xi
离散本征值,li'san'ben'zheng'zhi
离散谱,li'san'pu
力系,li'xi
理想导体,li'xiang'dao'ti
理想光学系统,li'xiang'guang'xue'xi'tong
理想流体,li'xiang'liu'ti
理想气体,li'xiang'qi'ti
理想气体温标,li'xiang'qi'ti'wen'biao
理想实验,li'xiang'shi'yan
理想约束,li'xiang'yue'shu
理想钟,li'xiang'zhong
力心,li'xin
离心力,li'xin'li
力学,li'xue
力学量,li'xue'liang
力学系,li'xue'xi
力学质量,li'xue'zhi'liang
粒子,li'zi
离子束,li'zi'shu
粒子数布居反转,li'zi'shu'bu'ju'fan'zhuan
粒子性,li'zi'xing
连续,lian'xu
连续本征值,lian'xu'ben'zheng'zhi
连续介质,lian'xu'jie'zhi
连续谱,lian'xu'pu
连续相变,lian'xu'xiang'bian
量程,liang'cheng
良导体,liang'dao'ti
亮度,liang'du
量纲,liang'gang
量纲分析,liang'gang'fen'xi
量热器,liang're'qi
量热学,liang're'xue
量子,liang'zi
量子光学,liang'zi'guang'xue
量子化,liang'zi'hua
量子力学,liang'zi'li'xue
量子数,liang'zi'shu
量子统计法,liang'zi'tong'ji'fa
裂变,lie'bian
林德液化机,lin'de'ye'hua'ji
磷光,lin'guang
临界半径,lin'jie'ban'jing
临界参量,lin'jie'can'liang
临界点,lin'jie'dian
临界角,lin'jie'jiao
临界乳光,lin'jie'ru'guang
临界态,lin'jie'tai
临界温度,lin'jie'wen'du
临界现象,lin'jie'xian'xiang
临界指数,lin'jie'zhi'shu
临界阻尼,lin'jie'zu'ni
临界阻尼电阻,lin'jie'zu'ni'dian'zu
零点能,ling'dian'neng
零力系,ling'li'xi
灵敏电流计,ling'min'dian'liu'ji
灵敏度,ling'min'du
零线,ling'xian
流管,liu'guan
流量计,liu'liang'ji
流密度矢量,liu'mi'du'shi'liang
流体,liu'ti
流体动力学,liu'ti'dong'li'xue
流体静力学,liu'ti'jing'li'xue
流体力学,liu'ti'li'xue
流体压强计,liu'ti'ya'qiang'ji
刘维尔定理,liu'wei'er'ding'li
刘维尔方程,liu'wei'er'fang'cheng
刘维尔算符,liu'wei'er'suan'fu
流线,liu'xian
漏磁通,lou'ci'tong
漏电,lou'dian
路程,lu'cheng
露点,lu'dian
路径,lu'jing
陆末,lu'mo
卢瑟福,lu'se'fu
卢瑟福散射,lu'se'fu'san'she
掠面速度,lue'mian'su'du
掠入射,lue'ru'she
掠射角,lue'she'jiao
论证,lun'zheng
罗兰圆,luo'lan'yuan
洛伦兹变换,luo'lun'zi'bian'huan
洛伦兹不变量,luo'lun'zi'bu'bian'liang
洛伦兹不变式,luo'lun'zi'bu'bian'shi
洛伦兹不变性,luo'lun'zi'bu'bian'xing
洛伦兹度规,luo'lun'zi'du'gui
洛伦兹规范,luo'lun'zi'gui'fan
洛伦兹力,luo'lun'zi'li
洛伦兹群,luo'lun'zi'qun
洛伦兹条件,luo'lun'zi'tiao'jian
洛伦兹协变量,luo'lun'zi'xie'bian'liang
洛伦兹协变式,luo'lun'zi'xie'bian'shi
洛伦兹协变性,luo'lun'zi'xie'bian'xing
洛伦兹因数,luo'lun'zi'yin'shu
螺绕环,luo'rao'huan
洛施密特常量,luo'shi'mi'te'chang'liang
螺线管,luo'xian'guan
螺旋测微器,luo'xuan'ce'wei'qi
螺旋度,luo'xuan'du
螺旋性,luo'xuan'xing
螺旋运动,luo'xuan'yun'dong
滤波器,lv'bo'qi
滤光片,lv'guang'pian
吕萨克定律,lv'sa'ke'ding'lv
马赫数,ma'he'shu
马吕斯定律,ma'lv'si'ding'lv
马休,ma'xiu
脉动电流,mai'dong'dian'liu
迈克耳孙,mai'ke'er'sun
迈克耳孙干涉仪,mai'ke'er'sun'gan'she'yi
麦克劳德真空规,mai'ke'lao'de'zhen'kong'gui
麦克斯韦,mai'ke'si'wei
麦克斯韦电桥,mai'ke'si'wei'dian'qiao
麦克斯韦方程组,mai'ke'si'wei'fang'cheng'zu
麦克斯韦关系,mai'ke'si'wei'guan'xi
麦克斯韦速度分布,mai'ke'si'wei'su'du'fen'bu
麦克斯韦速率分布,mai'ke'si'wei'su'lv'fen'bu
麦克斯韦妖,mai'ke'si'wei'yao
迈耶函数,mai'ye'han'shu
漫反射,man'fan'she
漫射,man'she
慢移钟同步,man'yi'zhong'tong'bu
毛发湿度计,mao'fa'shi'du'ji
毛细管,mao'xi'guan
毛细现象,mao'xi'xian'xiang
米尺,mi'chi
密度,mi'du
密度矩阵,mi'du'ju'zhen
密度算符,mi'du'suan'fu
密度涨落,mi'du'zhang'luo
米勒计数器,mi'le'ji'shu'qi
密立根油滴实验,mi'li'gen'you'di'shi'yan
面电荷密度,mian'dian'he'mi'du
面电流密度,mian'dian'liu'mi'du
面积,mian'ji
冕牌玻璃,mian'pai'bo'li
面象,mian'xiang
闵可夫斯基度规,min'ke'fu'si'ji'du'gui
闵可夫斯基几何,min'ke'fu'si'ji'ji'he
闵可夫斯基空间,min'ke'fu'si'ji'kong'jian
闵可夫斯基图,min'ke'fu'si'ji'tu
闵可夫斯基坐标系,min'ke'fu'si'ji'zuo'biao'xi
明视距离,ming'shi'ju'li
莫阿条纹,mo'a'tiao'wen
摩擦角,mo'ca'jiao
摩擦力,mo'ca'li
摩擦起电,mo'ca'qi'dian
摩尔热容,mo'er're'rong
摩尔体积,mo'er'ti'ji
莫雷实验,mo'lei'shi'yan
模量,mo'liang
模拟,mo'ni
莫塞莱定律,mo'sai'lai'ding'lv
末速,mo'su
莫索提方程,mo'suo'ti'fang'cheng
目镜,mu'jing
穆斯堡尔谱仪,mu'si'bao'er'pu'yi
穆斯堡尔效应,mu'si'bao'er'xiao'ying
钠灯,na'deng
纳维,na'wei
南极,nan'ji
内禀方程,nei'bing'fang'cheng
内禀角动量,nei'bing'jiao'dong'liang
内插,nei'cha
内反射,nei'fan'she
内聚力,nei'ju'li
内力,nei'li
内能,nei'neng
内阻,nei'zu
能带,neng'dai
能动张量,neng'dong'zhang'liang
能级,neng'ji
能级宽度,neng'ji'kuan'du
能量,neng'liang
能量表象,neng'liang'biao'xiang
能量动量张量,neng'liang'dong'liang'zhang'liang
能量均分定理,neng'liang'jun'fen'ding'li
能量密度,neng'liang'mi'du
能量守恒定律,neng'liang'shou'heng'ding'lv
能量守恒与转化定律,neng'liang'shou'heng'yu'zhuan'hua'ding'lv
能流,neng'liu
能流密度,neng'liu'mi'du
能谱,neng'pu
能斯特定理,neng'si'te'ding'li
能斯特真空量热器,neng'si'te'zhen'kong'liang're'qi
尼科耳棱镜,ni'ke'er'leng'jing
拟设,ni'she
粘度,nian'du
粘度计,nian'du'ji
粘性,nian'xing
粘性流体,nian'xing'liu'ti
凝固,ning'gu
凝固点,ning'gu'dian
凝结,ning'jie
凝结核,ning'jie'he
扭摆,niu'bai
扭秤,niu'cheng
牛顿第二定律,niu'dun'di'er'ding'lv
牛顿第三定律,niu'dun'di'san'ding'lv
牛顿第一定律,niu'dun'di'yi'ding'lv
牛顿环,niu'dun'huan
扭矩,niu'ju
扭转,niu'zhuan
耦合摆,ou'he'bai
耦合系数,ou'he'xi'shu
偶极,ou'ji
欧拉角,ou'la'jiao
欧拉流体动力学方程,ou'la'liu'ti'dong'li'xue'fang'cheng
欧拉运动学方程,ou'la'yun'dong'xue'fang'cheng
欧姆定律,ou'mu'ding'lv
欧姆计,ou'mu'ji
偶然误差,ou'ran'wu'cha
帕斯卡定律,pa'si'ka'ding'lv
帕邢,pa'xing
帕邢系,pa'xing'xi
拍频,pai'pin
判据,pan'ju
潘索运动,pan'suo'yun'dong
庞加莱变换,pang'jia'lai'bian'huan
庞加莱群,pang'jia'lai'qun
旁路,pang'lu
泡克耳斯效应,pao'ke'er'si'xiao'ying
泡利不相容原理,pao'li'bu'xiang'rong'yuan'li
泡利方程,pao'li'fang'cheng
泡利矩阵,pao'li'ju'zhen
泡室,pao'shi
抛体,pao'ti
抛体运动,pao'ti'yun'dong
抛物面镜,pao'wu'mian'jing
配分函数,pei'fen'han'shu
喷泉效应,pen'quan'xiao'ying
膨胀率,peng'zhang'lv
碰撞,peng'zhuang
碰撞参量,peng'zhuang'can'liang
碰撞电离,peng'zhuang'dian'li
碰撞频率,peng'zhuang'pin'lv
碰撞时间,peng'zhuang'shi'jian
皮拉尼真空规,pi'la'ni'zhen'kong'gui
劈形膜,pi'xing'mo
偏差,pian'cha
偏光显微镜,pian'guang'xian'wei'jing
偏向角,pian'xiang'jiao
偏振,pian'zhen
偏振度,pian'zhen'du
偏振光,pian'zhen'guang
偏振面,pian'zhen'mian
偏振片,pian'zhen'pian
偏置,pian'zhi
偏转板,pian'zhuan'ban
漂移速度,piao'yi'su'du
频率,pin'lv
频率计,pin'lv'ji
频率四维矢,pin'lv'si'wei'shi
频率在,pin'lv'zai
频闪测速计,pin'shan'ce'su'ji
频闪仪,pin'shan'yi
品质因数,pin'zhi'yin'shu
平衡,ping'heng
平衡常量,ping'heng'chang'liang
平衡态,ping'heng'tai
平衡条件,ping'heng'tiao'jian
平衡位置,ping'heng'wei'zhi
平均偏差,ping'jun'pian'cha
平均寿命,ping'jun'shou'ming
平均速度,ping'jun'su'du
平均速率,ping'jun'su'lv
平均误差,ping'jun'wu'cha
平均自由程,ping'jun'zi'you'cheng
平面波,ping'mian'bo
平面平行运动,ping'mian'ping'xing'yun'dong
平行光束,ping'xing'guang'shu
平行力系,ping'xing'li'xi
平行四边形定则,ping'xing'si'bian'xing'ding'ze
平行轴定理,ping'xing'zhou'ding'li
平移,ping'yi
平移算符,ping'yi'suan'fu
珀蒂定律,po'di'ding'lv
珀罗标准具,po'luo'biao'zhun'ju
珀罗干涉仪,po'luo'gan'she'yi
珀罗共振腔,po'luo'gong'zhen'qiang
珀罗滤波器,po'luo'lv'bo'qi
坡印亭矢量,po'yin'ting'shi'liang
普丰德系,pu'feng'de'xi
普朗克,pu'lang'ke
普朗克常量,pu'lang'ke'chang'liang
普朗克方程,pu'lang'ke'fang'cheng
普朗克函数,pu'lang'ke'han'shu
普适,pu'shi
普适常量,pu'shi'chang'liang
普通物理,pu'tong'wu'li
谱线,pu'xian
谱线宽度,pu'xian'kuan'du
谱项,pu'xiang
谱仪,pu'yi
期待值,qi'dai'zhi
起电,qi'dian
汽点,qi'dian
气垫导轨,qi'dian'dao'gui
起电盘,qi'dian'pan
气垫桌,qi'dian'zhuo
汽化,qi'hua
汽化热,qi'hua're
器件,qi'jian
齐明点,qi'ming'dian
齐明镜,qi'ming'jing
起偏器,qi'pian'qi
气体,qi'ti
气体比重计,qi'ti'bi'zhong'ji
气体常量,qi'ti'chang'liang
气体动理,qi'ti'dong'li
气体动力学,qi'ti'dong'li'xue
气体分子运动论,qi'ti'fen'zi'yun'dong'lun
气体激光器,qi'ti'ji'guang'qi
气体温度计,qi'ti'wen'du'ji
期望值,qi'wang'zhi
气压计,qi'ya'ji
其中,qi'zhong
前进波,qian'jin'bo
牵连惯性力,qian'lian'guan'xing'li
牵连加速度,qian'lian'jia'su'du
牵连速度,qian'lian'su'du
牵连运动,qian'lian'yun'dong
前期量子论,qian'qi'liang'zi'lun
潜热,qian're
潜望镜,qian'wang'jing
迁移率,qian'yi'lv
欠阻尼,qian'zu'ni
强度,qiang'du
强度反射率,qiang'du'fan'she'lv
强度量,qiang'du'liang
强度透射率,qiang'du'tou'she'lv
壳层模型,qiao'ceng'mo'xing
桥式整流器,qiao'shi'zheng'liu'qi
切连科夫计数器,qie'lian'ke'fu'ji'shu'qi
切向加速度,qie'xiang'jia'su'du
切向应力,qie'xiang'ying'li
氢原子,qing'yuan'zi
球径计,qiu'jing'ji
球面摆,qiu'mian'bai
球面波,qiu'mian'bo
球面镜,qiu'mian'jing
球面透镜,qiu'mian'tou'jing
驱动力,qu'dong'li
屈服,qu'fu
屈服点,qu'fu'dian
趋肤深度,qu'fu'shen'du
趋肤效应,qu'fu'xiao'ying
屈光度,qu'guang'du
曲线拟合,qu'xian'ni'he
曲线运动,qu'xian'yun'dong
取向极化,qu'xiang'ji'hua
全反射,quan'fan'she
全同粒子,quan'tong'li'zi
全同性原理,quan'tong'xing'yuan'li
全息术,quan'xi'shu
全息图,quan'xi'tu
全息照相,quan'xi'zhao'xiang
缺级,que'ji
群速,qun'su
染料激光器,ran'liao'ji'guang'qi
热波长,re'bo'chang
热传导,re'chuan'dao
热导率,re'dao'lv
热电子发射,re'dian'zi'fa'she
热辐射,re'fu'she
热功当量,re'gong'dang'liang
热寂,re'ji
热机效率,re'ji'xiao'lv
热库,re'ku
热扩散,re'kuo'san
热力学,re'li'xue
热力学第二定律,re'li'xue'di'er'ding'lv
热力学第零定律,re'li'xue'di'ling'ding'lv
热力学第三定律,re'li'xue'di'san'ding'lv
热力学第一定律,re'li'xue'di'yi'ding'lv
热力学概率,re'li'xue'gai'lv
热力学函数,re'li'xue'han'shu
热力学极限,re'li'xue'ji'xian
热力学平衡,re'li'xue'ping'heng
热力学势,re'li'xue'shi
热力学温标,re'li'xue'wen'biao
热力学温度,re'li'xue'wen'du
热力学系统,re'li'xue'xi'tong
热量,re'liang
热敏电阻,re'min'dian'zu
热平衡,re'ping'heng
热容,re'rong
热学,re'xue
热源,re'yuan
热运动,re'yun'dong
热噪声,re'zao'sheng
热致发光,re'zhi'fa'guang
热质说,re'zhi'shuo
刃,ren
熔点,rong'dian
熔化,rong'hua
熔化热,rong'hua're
溶解,rong'jie
溶解热,rong'jie're
容抗,rong'kang
容许跃迁,rong'xu'yue'qian
溶液,rong'ye
乳光,ru'guang
入射角,ru'she'jiao
入射线,ru'she'xian
软磁材料,ruan'ci'cai'liao
瑞利,rui'li
瑞利判据,rui'li'pan'ju
瑞利散射,rui'li'san'she
萨伐尔定律,sa'fa'er'ding'lv
塞曼效应,sai'man'xiao'ying
散斑,san'ban
三重态,san'chong'tai
散光镜,san'guang'jing
三极管,san'ji'guan
三级象差,san'ji'xiang'cha
三角,san'jiao
散焦,san'jiao
散粒噪声,san'li'zao'sheng
散射,san'she
散射长度,san'she'chang'du
散射光,san'she'guang
散射角,san'she'jiao
散射截面,san'she'jie'mian
散射体,san'she'ti
三体问题,san'ti'wen'ti
三维光栅,san'wei'guang'shan
三维衍射,san'wei'yan'she
三相,san'xiang
三相点,san'xiang'dian
扫描器,sao'miao'qi
色度计,se'du'ji
色度学,se'du'xue
瑟尔热导仪,se'er're'dao'yi
色偏振,se'pian'zhen
色散,se'san
色散本领,se'san'ben'ling
色散方程,se'san'fang'cheng
色散曲线,se'san'qu'xian
栅极,shan'ji
闪耀光栅,shan'yao'guang'shan
闪耀角,shan'yao'jiao
熵产生率,shang'chan'sheng'lv
