安定性,an'ding'xing
砾石,li'shi
砾石路面,li'shi'lu'mian
立体交叉,li'ti'jiao'cha
离析,li'xi
力学性能,li'xue'xing'neng
立柱,li'zhu
联合梁桥,lian'he'liang'qiao
联结层,lian'jie'ceng
连接器,lian'jie'qi
联络线,lian'luo'xian
连续刚构桥,lian'xu'gang'gou'qiao
连续级配,lian'xu'ji'pei
连续开级配,lian'xu'kai'ji'pei
连续梁,lian'xu'liang
连续梁桥,lian'xu'liang'qiao
两阶段设计,liang'jie'duan'she'ji
梁桥,liang'qiao
梁式桥,liang'shi'qiao
料石,liao'shi
临界速度,lin'jie'su'du
临时道路,lin'shi'dao'lu
临时供电设施,lin'shi'gong'dian'she'shi
临时性桥,lin'shi'xing'qiao
临时用地,lin'shi'yong'di
菱形立体交叉,ling'xing'li'ti'jiao'cha
流冰,liu'bing
流沙,liu'sha
流砂,liu'sha
流值,liu'zhi
路拌法,lu'ban'fa
路拌法施工,lu'ban'fa'shi'gong
路槽,lu'cao
路堤,lu'di
路拱,lu'gong
路拱横坡,lu'gong'heng'po
路基,lu'ji
路基工程,lu'ji'gong'cheng
路基监理部,lu'ji'jian'li'bu
路基宽度,lu'ji'kuan'du
路基排水,lu'ji'pai'shui
路基三标监理部,lu'ji'san'biao'jian'li'bu
路基砂垫层,lu'ji'sha'dian'ceng
路基设计高程,lu'ji'she'ji'gao'cheng
路基填方,lu'ji'tian'fang
路基挖方,lu'ji'wa'fang
路肩,lu'jian
路况调查,lu'kuang'diao'cha
路面标线,lu'mian'biao'xian
路面补强,lu'mian'bu'qiang
路面粗糙度,lu'mian'cu'cao'du
路面搓板,lu'mian'cuo'ban
路面底基层,lu'mian'di'ji'ceng
路面垫层,lu'mian'dian'ceng
路面冻胀,lu'mian'dong'zhang
路面翻修,lu'mian'fan'xiu
路面工程,lu'mian'gong'cheng
路面滑溜,lu'mian'hua'liu
路面基层,lu'mian'ji'ceng
路面结构层,lu'mian'jie'gou'ceng
路面龟裂,lu'mian'jun'lie
路面坑槽,lu'mian'keng'cao
路面宽度,lu'mian'kuan'du
路面摩擦系数,lu'mian'mo'ca'xi'shu
路面排水,lu'mian'pai'shui
路面平整度,lu'mian'ping'zheng'du
路面平整度测定仪,lu'mian'ping'zheng'du'ce'ding'yi
路面曲率半径测定仪,lu'mian'qu'lv'ban'jing'ce'ding'yi
路面深陷,lu'mian'shen'xian
路面碎裂,lu'mian'sui'lie
路面透水度测定仪,lu'mian'tou'shui'du'ce'ding'yi
路面弯沉仪,lu'mian'wan'chen'yi
路面网裂,lu'mian'wang'lie
路面铣削机,lu'mian'xi'xiao'ji
路堑,lu'qian
路容,lu'rong
路线交叉,lu'xian'jiao'cha
路线控制点,lu'xian'kong'zhi'dian
路线纵断面图,lu'xian'zong'duan'mian'tu
路用,lu'yong
路用沥青,lu'yong'li'qing
路缘带,lu'yuan'dai
路缘石,lu'yuan'shi
路政,lu'zheng
路政管理,lu'zheng'guan'li
卵石,luan'shi
轮廓标,lun'kuo'biao
轮胎压路机,lun'tai'ya'lu'ji
洛杉矶磨耗试验机,luo'shan'ji'mo'hao'shi'yan'ji
螺纹钢筋,luo'wen'gang'jin
绿波,lv'bo
绿化及环境保护工程,lv'hua'ji'huan'jing'bao'hu'gong'cheng
绿信比,lv'xin'bi
麻面,ma'mian
马歇尔,ma'xie'er
马歇尔试验,ma'xie'er'shi'yan
马歇尔稳定度仪,ma'xie'er'wen'ding'du'yi
埋置式桥台,mai'zhi'shi'qiao'tai
满砌护坡,man'qi'hu'po
漫水桥,man'shui'qiao
盲沟,mang'gou
锚碇,mao'ding
锚碇板式桥台,mao'ding'ban'shi'qiao'tai
锚碇式挡土墙,mao'ding'shi'dang'tu'qiang
锚杆挡土墙,mao'gan'dang'tu'qiang
锚杆式挡土墙,mao'gan'shi'dang'tu'qiang
锚具,mao'ju
锚喷,mao'pen
锚索,mao'suo
毛细水,mao'xi'shui
煤沥青,mei'li'qing
泌水率,mi'shui'lv
面控制,mian'kong'zhi
民工建勤,min'gong'jian'qin
明挖法,ming'wa'fa
明挖基础,ming'wa'ji'chu
摩擦力,mo'ca'li
摩擦桩,mo'ca'zhuang
磨耗层,mo'hao'ceng
磨耗性,mo'hao'xing
模量比,mo'liang'bi
模板,mu'ban
目标配合比,mu'biao'pei'he'bi
木桥,mu'qiao
耐候性,nai'hou'xing
耐久性,nai'jiu'xing
挠度,nao'du
内摩阻力,nei'mo'zu'li
内燃夯实机,nei'ran'hang'shi'ji
内业资料,nei'ye'zi'liao
泥浆,ni'jiang
泥浆泵,ni'jiang'beng
泥结碎石路面,ni'jie'sui'shi'lu'mian
泥炭,ni'tan
泥沼,ni'zhao
粘度,nian'du
黏附性,nian'fu'xing
黏滞性,nian'zhi'xing
偶然荷载,ou'ran'he'zai
爬坡车道,pa'po'che'dao
排架桩墩,pai'jia'zhuang'dun
排水设施,pai'shui'she'shi
抛石,pao'shi
抛石挤淤,pao'shi'ji'yu
炮眼,pao'yan
抛掷爆破,pao'zhi'bao'po
配合比,pei'he'bi
喷混植生,pen'hun'zhi'sheng
喷锚支护,pen'mao'zhi'hu
喷枪,pen'qiang
喷射混凝土,pen'she'hun'ning'tu
盆式支座,pen'shi'zhi'zuo
膨胀土,peng'zhang'tu
膨胀性,peng'zhang'xing
疲劳试验,pi'lao'shi'yan
劈裂试验,pi'lie'shi'yan
偏差系数,pian'cha'xi'shu
偏角,pian'jiao
片石,pian'shi
贫混凝土,pin'hun'ning'tu
平板车,ping'ban'che
平地机,ping'di'ji
平缝,ping'feng
评价指标,ping'jia'zhi'biao
平均断面法,ping'jun'duan'mian'fa
平均速度,ping'jun'su'du
平均纵坡,ping'jun'zong'po
平面布置图,ping'mian'bu'zhi'tu
平面交叉,ping'mian'jiao'cha
平面交叉口,ping'mian'jiao'cha'kou
平面设计,ping'mian'she'ji
平面图,ping'mian'tu
平面线形,ping'mian'xian'xing
平曲线,ping'qu'xian
平行导坑,ping'xing'dao'keng
平阳高速公路,ping'yang'gao'su'gong'lu
平原区,ping'yuan'qu
平整度,ping'zheng'du
平整度仪,ping'zheng'du'yi
破冰体,po'bing'ti
坡长限制,po'chang'xian'zhi
坡度,po'du
坡脚,po'jiao
坡面防护,po'mian'fang'hu
坡桥,po'qiao
铺草皮,pu'cao'pi
铺砌法,pu'qi'fa
铺砌工程,pu'qi'gong'cheng
铺砂法,pu'sha'fa
普通硅酸盐水泥,pu'tong'gui'suan'yan'shui'ni
汽车客运站,qi'che'ke'yun'zhan
起拱线,qi'gong'xian
弃土,qi'tu
弃土场,qi'tu'chang
弃土堆,qi'tu'dui
气硬性,qi'ying'xing
弃渣,qi'zha
弃渣线,qi'zha'xian
起重葫芦,qi'zhong'hu'lu
起重机,qi'zhong'ji
千斤顶,qian'jin'ding
浅埋,qian'mai
前墙,qian'qiang
欠挖,qian'wa
牵引车,qian'yin'che
强度,qiang'du
强夯法,qiang'hang'fa
抢修,qiang'xiu
强制式搅拌楼,qiang'zhi'shi'jiao'ban'lou
强制性,qiang'zhi'xing
桥墩局部冲刷,qiao'dun'ju'bu'chong'shua
桥涵计算跨径,qiao'han'ji'suan'kua'jing
桥涵净跨径,qiao'han'jing'kua'jing
桥梁高度,qiao'liang'gao'du
桥梁涵洞工程,qiao'liang'han'dong'gong'cheng
桥梁建筑高度,qiao'liang'jian'zhu'gao'du
桥梁全长,qiao'liang'quan'chang
桥梁下部构造,qiao'liang'xia'bu'gou'zao
桥梁支座,qiao'liang'zhi'zuo
桥面净空,qiao'mian'jing'kong
桥面铺装,qiao'mian'pu'zhuang
桥面伸缩装置,qiao'mian'shen'suo'zhuang'zhi
桥面系,qiao'mian'xi
桥头搭板,qiao'tou'da'ban
桥位,qiao'wei
桥下净空,qiao'xia'jing'kong
桥下一般冲刷,qiao'xia'yi'ban'chong'shua
切断机,qie'duan'ji
切线长,qie'xian'chang
清缝机,qing'feng'ji
清理与挖除,qing'li'yu'wa'chu
轻质混凝土,qing'zhi'hun'ning'tu
球型支座,qiu'xing'zhi'zuo
屈服强度,qu'fu'qiang'du
渠化交通,qu'hua'jiao'tong
区间速度,qu'jian'su'du
取土坑,qu'tu'keng
曲线长,qu'xian'chang
曲线隧道,qu'xian'sui'dao
取芯,qu'xin
全断面,quan'duan'mian
全断面隧道掘进机,quan'duan'mian'sui'dao'jue'jin'ji
全能法测图,quan'neng'fa'ce'tu
全气压盾构,quan'qi'ya'dun'gou
全站仪,quan'zhan'yi
缺陷责任期,que'xian'ze'ren'qi
绕行,rao'xing
绕行公路,rao'xing'gong'lu
热拌法,re'ban'fa
热拌沥青碎石混合料,re'ban'li'qing'sui'shi'hun'he'liao
热铺法,re'pu'fa
热稳性,re'wen'xing
人孔,ren'kong
人口事故率,ren'kou'shi'gu'lv
人行道,ren'xing'dao
人行地道,ren'xing'di'dao
人行桥,ren'xing'qiao
人行天桥,ren'xing'tian'qiao
柔性墩,rou'xing'dun
柔性护栏,rou'xing'hu'lan
柔性基层,rou'xing'ji'ceng
柔性路面,rou'xing'lu'mian
乳化,ru'hua
乳化沥青,ru'hua'li'qing
软化点,ruan'hua'dian
软基处理,ruan'ji'chu'li
软弱地基,ruan'ruo'di'ji
软土,ruan'tu
软岩,ruan'yan
撒布机,sa'bu'ji
洒水车,sa'shui'che
三轴试验,san'zhou'shi'yan
三轴仪,san'zhou'yi
散装水泥运输车,san'zhuang'shui'ni'yun'shu'che
砂垫层,sha'dian'ceng
沙害,sha'hai
砂浆,sha'jiang
砂浆泵,sha'jiang'beng
砂浆稠度仪,sha'jiang'chou'du'yi
砂浆抗压强度,sha'jiang'kang'ya'qiang'du
砂浆锚杆,sha'jiang'mao'gan
砂井,sha'jing
砂砾,sha'li
砂率,sha'lv
砂筒,sha'tong
砂桩,sha'zhuang
筛分,shai'fen
筛分试验,shai'fen'shi'yan
闪点,shan'dian
闪点仪,shan'dian'yi
山脊线,shan'ji'xian
山岭区,shan'ling'qu
山皮石,shan'pi'shi
山皮土,shan'pi'tu
山坡线,shan'po'xian
山西平阳高速,shan'xi'ping'yang'gao'su
上部结构,shang'bu'jie'gou
上承式桥,shang'cheng'shi'qiao
上导坑,shang'dao'keng
上面层,shang'mian'ceng
设备洞,she'bei'dong
设备购置费,she'bei'gou'zhi'fei
设计高程,she'ji'gao'cheng
设计荷载,she'ji'he'zai
设计洪水频率,she'ji'hong'shui'pin'lv
设计流量,she'ji'liu'liang
设计流速,she'ji'liu'su
设计年限,she'ji'nian'xian
设计水位,she'ji'shui'wei
设计速度,she'ji'su'du
设计通行能力,she'ji'tong'xing'neng'li
设计图纸,she'ji'tu'zhi
摄影测量,she'ying'ce'liang
申表,shen'biao
伸长率,shen'chang'lv
渗沟,shen'gou
深基桩,shen'ji'zhuang
渗水井,shen'shui'jing
伸缩缝,shen'suo'feng
声测管,sheng'ce'guan
生产配合比,sheng'chan'pei'he'bi
省干线公路,sheng'gan'xian'gong'lu
声屏障,sheng'ping'zhang
生态保护,sheng'tai'bao'hu
省项目办,sheng'xiang'mu'ban
石方爆破,shi'fang'bao'po
实腹拱桥,shi'fu'gong'qiao
施工测量,shi'gong'ce'liang
施工单位,shi'gong'dan'wei
施工定额,shi'gong'ding'e
施工队,shi'gong'dui
施工方案,shi'gong'fang'an
施工方法,shi'gong'fang'fa
施工缝,shi'gong'feng
施工荷载,shi'gong'he'zai
施工机具,shi'gong'ji'ju
施工技术装备费,shi'gong'ji'shu'zhuang'bei'fei
施工条件,shi'gong'tiao'jian
施工准备期,shi'gong'zhun'bei'qi
施工组织,shi'gong'zu'zhi
施工组织机构,shi'gong'zu'zhi'ji'gou
施工组织设计,shi'gong'zu'zhi'she'ji
石灰,shi'hui
石灰粉煤灰稳定基层,shi'hui'fen'mei'hui'wen'ding'ji'ceng
石灰粉煤灰稳定土底基层,shi'hui'fen'mei'hui'wen'ding'tu'di'ji'ceng
石灰改善土,shi'hui'gai'shan'tu
石灰剂量,shi'hui'ji'liang
石灰砂浆,shi'hui'sha'jiang
石灰土,shi'hui'tu
石灰稳定土,shi'hui'wen'ding'tu
试件,shi'jian
时间定额,shi'jian'ding'e
时间平均车速,shi'jian'ping'jun'che'su
视距,shi'ju
矢跨比,shi'kua'bi
石块路面,shi'kuai'lu'mian
石笼,shi'long
试模,shi'mo
实施细则,shi'shi'xi'ze
实体桥墩,shi'ti'qiao'dun
视线诱导,shi'xian'you'dao
视线诱导设施,shi'xian'you'dao'she'shi
石屑,shi'xie
试验报告单,shi'yan'bao'gao'dan
试验检测,shi'yan'jian'ce
试验检测中心,shi'yan'jian'ce'zhong'xin
试验室主任,shi'yan'shi'zhu'ren
石油沥青,shi'you'li'qing
湿周,shi'zhou
十字交叉,shi'zi'jiao'cha
收费岛,shou'fei'dao
收费设施,shou'fei'she'shi
手扶式单轮压路机,shou'fu'shi'dan'lun'ya'lu'ji
首件产品,shou'jian'chan'pin
首件产品认可制,shou'jian'chan'pin'ren'ke'zhi
首件工程,shou'jian'gong'cheng
手孔,shou'kong
手拉葫芦,shou'la'hu'lu
竖井,shu'jing
数理统计,shu'li'tong'ji
竖曲线,shu'qu'xian
输送机,shu'song'ji
竖直度,shu'zhi'du
树脂锚杆,shu'zhi'mao'gan
双侧壁,shuang'ce'bi
双曲拱桥,shuang'qu'gong'qiao
水泵,shui'beng
水化热,shui'hua're
水滑现象,shui'hua'xian'xiang
水毁,shui'hui
水灰比,shui'hui'bi
水结碎石路面,shui'jie'sui'shi'lu'mian
水力半径,shui'li'ban'jing
水力计算,shui'li'ji'suan
水面比降,shui'mian'bi'jiang
水泥安定性试验,shui'ni'an'ding'xing'shi'yan
水泥标号,shui'ni'biao'hao
水泥负压筛析仪,shui'ni'fu'ya'shai'xi'yi
水泥改善土,shui'ni'gai'shan'tu
水泥混凝土,shui'ni'hun'ning'tu
水泥混凝土标号,shui'ni'hun'ning'tu'biao'hao
水泥混凝土混合料,shui'ni'hun'ning'tu'hun'he'liao
水泥混凝土混合料拌和设备,shui'ni'hun'ning'tu'hun'he'liao'ban'huo'she'bei
水泥混凝土混合料泵,shui'ni'hun'ning'tu'hun'he'liao'beng
水泥混凝土混合料搅拌运输车,shui'ni'hun'ning'tu'hun'he'liao'jiao'ban'yun'shu'che
水泥混凝土混合料整面机,shui'ni'hun'ning'tu'hun'he'liao'zheng'mian'ji
水泥混凝土路面,shui'ni'hun'ning'tu'lu'mian
水泥混凝土路面锯缝机,shui'ni'hun'ning'tu'lu'mian'ju'feng'ji
水泥混凝土路面切缝机,shui'ni'hun'ning'tu'lu'mian'qie'feng'ji
水泥混凝土路面清缝机,shui'ni'hun'ning'tu'lu'mian'qing'feng'ji
水泥混凝土路面填缝机,shui'ni'hun'ning'tu'lu'mian'tian'feng'ji
水泥混凝土配合比,shui'ni'hun'ning'tu'pei'he'bi
水泥混凝土摊铺机,shui'ni'hun'ning'tu'tan'pu'ji
水泥剂量,shui'ni'ji'liang
水泥浆,shui'ni'jiang
水泥胶砂搅拌机,shui'ni'jiao'sha'jiao'ban'ji
水泥净浆搅拌机,shui'ni'jing'jiang'jiao'ban'ji
水泥砂浆,shui'ni'sha'jiang
水泥稳定粒料基层,shui'ni'wen'ding'li'liao'ji'ceng
水泥稳定土,shui'ni'wen'ding'tu
水泥稳定土底基层,shui'ni'wen'ding'tu'di'ji'ceng
水文,shui'wen
水文测量,shui'wen'ce'liang
水文计算,shui'wen'ji'suan
水稳性,shui'wen'xing
水硬性,shui'ying'xing
水准测量,shui'zhun'ce'liang
水准点,shui'zhun'dian
水准仪,shui'zhun'yi
顺坝,shun'ba
松动爆破,song'dong'bao'po
松木桩,song'mu'zhuang
松铺厚度,song'pu'hou'du
松铺系数,song'pu'xi'shu
松土机,song'tu'ji
松土搅拌机,song'tu'jiao'ban'ji
速度检测器,su'du'jian'ce'qi
塑料排水板,su'liao'pai'shui'ban
速凝剂,su'ning'ji
塑限,su'xian
塑性指数,su'xing'zhi'shu
隧道工程,sui'dao'gong'cheng
隧道建筑限界,sui'dao'jian'zhu'xian'jie
隧道掘进机,sui'dao'jue'jin'ji
隧道勘测规程,sui'dao'kan'ce'gui'cheng
隧道平面,sui'dao'ping'mian
隧道通风,sui'dao'tong'feng
隧道照明,sui'dao'zhao'ming
隧道支撑,sui'dao'zhi'cheng
随机抽样,sui'ji'chou'yang
随机误差,sui'ji'wu'cha
碎落,sui'luo
碎落台,sui'luo'tai
碎石,sui'shi
碎石垫层,sui'shi'dian'ceng
碎石机,sui'shi'ji
碎石路面,sui'shi'lu'mian
碎石撒布机,sui'shi'sa'bu'ji
碎石桩,sui'shi'zhuang
索鞍,suo'an
缩缝,suo'feng
缩孔,suo'kong
索塔,suo'ta
缩限,suo'xian
台背回填,tai'bei'hui'tian
台地,tai'di
台阶法,tai'jie'fa
台口式路基,tai'kou'shi'lu'ji
台帽,tai'mao
台身,tai'shen
台座,tai'zuo
坍方,tan'fang
弹簧,tan'huang
坍孔,tan'kong
坍落度,tan'luo'du
坍落度圆锥筒,tan'luo'du'yuan'zhui'tong
摊铺机,tan'pu'ji
摊销,tan'xiao
弹性层状体系理论,tan'xing'ceng'zhuang'ti'xi'li'lun
掏槽眼,tao'cao'yan
特长隧道,te'chang'sui'dao
提升机,ti'sheng'ji
填缝机,tian'feng'ji
添加剂,tian'jia'ji
填料,tian'liao
天然地基,tian'ran'di'ji
天然沥青,tian'ran'li'qing
天然砂,tian'ran'sha
天然砂砾,tian'ran'sha'li
填隙碎石,tian'xi'sui'shi
跳槽,tiao'cao
调治构造物,tiao'zhi'gou'zao'wu
铁夯,tie'hang
停车场,ting'che'chang
停车带,ting'che'dai
停车区,ting'che'qu
停车视距,ting'che'shi'ju
停车位,ting'che'wei
砼保护层厚度测定仪,tong'bao'hu'ceng'hou'du'ce'ding'yi
砼贯入阻力仪,tong'guan'ru'zu'li'yi
通航水位,tong'hang'shui'wei
砼回弹仪,tong'hui'tan'yi
砼强制式搅拌机,tong'qiang'zhi'shi'jiao'ban'ji
通信管道,tong'xin'guan'dao
通行能力,tong'xing'neng'li
投标文件,tou'biao'wen'jian
透层,tou'ceng
透水路堤,tou'shui'lu'di
透水性试验,tou'shui'xing'shi'yan
土袋,tu'dai
土方调配,tu'fang'tiao'pei
土方调配经济运距,tu'fang'tiao'pei'jing'ji'yun'ju
土方调配图,tu'fang'tiao'pei'tu
凸缝,tu'feng
土工布,tu'gong'bu
土工格栅,tu'gong'ge'shan
土工格室,tu'gong'ge'shi
土工格室植草,tu'gong'ge'shi'zhi'cao
土工合成材料,tu'gong'he'cheng'cai'liao
土工膜,tu'gong'mo
土工织物,tu'gong'zhi'wu
土基回弹模量,tu'ji'hui'tan'mo'liang
图解法,tu'jie'fa
涂料,tu'liao
突起路标,tu'qi'lu'biao
土石方爆破,tu'shi'fang'bao'po
推土机,tui'tu'ji
推移质,tui'yi'zhi
拖车头,tuo'che'tou
挖除非适用材料,wa'chu'fei'shi'yong'cai'liao
挖沟机,wa'gou'ji
挖掘机,wa'jue'ji
挖孔桩,wa'kong'zhuang
蛙式打夯机,wa'shi'da'hang'ji
外掺剂,wai'chan'ji
外加剂,wai'jia'ji
外距,wai'ju
弯沉,wan'chen
弯沉试验,wan'chen'shi'yan
弯道反光镜,wan'dao'fan'guang'jing
弯道加宽,wan'dao'jia'kuan
弯拉强度,wan'la'qiang'du
万能杆件,wan'neng'gan'jian
万能试验机,wan'neng'shi'yan'ji
弯桥,wan'qiao
微分法测图,wei'fen'fa'ce'tu
微丘区,wei'qiu'qu
围堰,wei'yan
围岩,wei'yan
稳定土拌和机,wen'ding'tu'ban'he'ji
稳定土基层,wen'ding'tu'ji'ceng
温缩系数,wen'suo'xi'shu
无侧限抗压强度,wu'ce'xian'kang'ya'qiang'du
误差,wu'cha
无纺布,wu'fang'bu
圬工桥,wu'gong'qiao
无机结合料,wu'ji'jie'he'liao
五轮仪,wu'lun'yi
无压力式涵洞,wu'ya'li'shi'han'dong
铣刨,xi'bao
细度,xi'du
细度模数,xi'du'mo'shu
系杆拱桥,xi'gan'gong'qiao
细集料,xi'ji'liao
洗净剂喷布车,xi'jing'ji'pen'bu'che
细粒式,xi'li'shi
细粒土,xi'li'tu
吸水性,xi'shui'xing
系统误差,xi'tong'wu'cha
下部结构,xia'bu'jie'gou
下部结构钢筋,xia'bu'jie'gou'gang'jin
下承层,xia'cheng'ceng
下承式桥,xia'cheng'shi'qiao
下挡墙,xia'dang'qiang
下导坑,xia'dao'keng
下面层,xia'mian'ceng
现场问题处理单,xian'chang'wen'ti'chu'li'dan
县公路,xian'gong'lu
现浇混凝土下部结构,xian'jiao'hun'ning'tu'xia'bu'jie'gou
线控制,xian'kong'zhi
纤维混凝土,xian'wei'hun'ning'tu
线形设计,xian'xing'she'ji
线形要素,xian'xing'yao'su
先张法,xian'zhang'fa
相对距,xiang'dui'ju
相对密度,xiang'dui'mi'du
相对密实度,xiang'dui'mi'shi'du
相对误差,xiang'dui'wu'cha
乡公路,xiang'gong'lu
箱涵,xiang'han
橡胶支座,xiang'jiao'zhi'zuo
箱梁,xiang'liang
项目管理,xiang'mu'guan'li
项目建议书,xiang'mu'jian'yi'shu
像片镶嵌图,xiang'pian'xiang'qian'tu
相位差,xiang'wei'cha
象限角,xiang'xian'jiao
小导管,xiao'dao'guan
小石子混凝土,xiao'shi'zi'hun'ning'tu
小修保养,xiao'xiu'bao'yang
楔缝式锚杆,xie'feng'shi'mao'gan
斜交叉,xie'jiao'cha
斜交桥,xie'jiao'qiao
斜井,xie'jing
斜拉桥,xie'la'qiao
斜桥,xie'qiao
泄水槽,xie'shui'cao
斜腿刚构桥,xie'tui'gang'gou'qiao
信号相位,xin'hao'xiang'wei
信号周期,xin'hao'zhou'qi
信息标志,xin'xi'biao'zhi
新泽西护栏,xin'ze'xi'hu'lan
行车道,xing'che'dao
行车视距,xing'che'shi'ju
行车速度,xing'che'su'du
行近流速,xing'jin'liu'su
性能检测,xing'neng'jian'ce
行驶速度,xing'shi'su'du
徐变,xu'bian
虚交点,xu'jiao'dian
蓄水池,xu'shui'chi
悬壁浇筑法,xuan'bi'jiao'zhu'fa
悬壁梁,xuan'bi'liang
悬臂梁桥,xuan'bi'liang'qiao
悬壁拼装法,xuan'bi'pin'zhuang'fa
悬臂式挡土墙,xuan'bi'shi'dang'tu'qiang
悬索桥,xuan'suo'qiao
悬移质,xuan'yi'zhi
雪害,xue'hai
巡回养护,xun'hui'yang'hu
压浆,ya'jiang
压力机,ya'li'ji
压力式涵洞,ya'li'shi'han'dong
压路机,ya'lu'ji
压实标准,ya'shi'biao'zhun
压实度,ya'shi'du
压实度试验,ya'shi'du'shi'yan
压实厚度,ya'shi'hou'du
压碎率试模,ya'sui'lv'shi'mo
压碎值,ya'sui'zhi
压碎值仪,ya'sui'zhi'yi
延迟时间,yan'chi'shi'jian
延度,yan'du
岩溶洞回填,yan'rong'dong'hui'tian
延误,yan'wu
沿溪线,yan'xi'xian
沿线设施,yan'xian'she'shi
盐渍土,yan'zi'tu
样本,yang'ben
仰拱,yang'gong
养护质量综合值,yang'hu'zhi'liang'zong'he'zhi
氧化沥青,yang'hua'li'qing
养路道班,yang'lu'dao'ban
仰坡,yang'po
养生,yang'sheng
养生期,yang'sheng'qi
羊足压路机,yang'zu'ya'lu'ji
液体沥青,ye'ti'li'qing
液限,ye'xian
业主,ye'zhu
翼板,yi'ban
移动支架逐跨施工法,yi'dong'zhi'jia'zhu'kua'shi'gong'fa
一级路改建工程,yi'ji'lu'gai'jian'gong'cheng
一阶段设计,yi'jie'duan'she'ji
翼墙,yi'qiang
一字形桥台,yi'zi'xing'qiao'tai
引桥,yin'qiao
应变,ying'bian
硬度测定仪,ying'du'ce'ding'yi
硬化,ying'hua
应力,ying'li
硬练胶砂强度试验,ying'lian'jiao'sha'qiang'du'shi'yan
影像地图,ying'xiang'di'tu
营运管理,ying'yun'guan'li
壅包,yong'bao
永久荷载,yong'jiu'he'zai
永久性桥,yong'jiu'xing'qiao
壅水,yong'shui
涌水,yong'shui
诱导性,you'dao'xing
有机结合料,you'ji'jie'he'liao
有机物含量,you'ji'wu'han'liang
油石比,you'shi'bi
预拱度,yu'gong'du
雨季施工,yu'ji'shi'gong
预裂爆破,yu'lie'bao'po
预留孔,yu'liu'kong
预算定额,yu'suan'ding'e
预压法,yu'ya'fa
预应力材料,yu'ying'li'cai'liao
预应力钢材,yu'ying'li'gang'cai
预应力钢绞线夹具,yu'ying'li'gang'jiao'xian'jia'ju
预应力混凝土,yu'ying'li'hun'ning'tu
预应力混凝土桥,yu'ying'li'hun'ning'tu'qiao
预应力锚索,yu'ying'li'mao'suo
预制混凝土护坡,yu'zhi'hun'ning'tu'hu'po
预制桩,yu'zhi'zhuang
预注浆,yu'zhu'jiang
圆管涵,yuan'guan'han
圆盘耐磨硬度试验机,yuan'pan'nai'mo'ying'du'shi'yan'ji
圆曲线,yuan'qu'xian
越岭线,yue'ling'xian
运输车,yun'shu'che
运行事故率,yun'xing'shi'gu'lv
运行速度,yun'xing'su'du
匝道,za'dao
暂定金额,zan'ding'jin'e
造价师,zao'jia'shi
早强,zao'qiang
早强混凝土,zao'qiang'hun'ning'tu
早强剂,zao'qiang'ji
早强药包锚杆,zao'qiang'yao'bao'mao'gan
凿岩机,zao'yan'ji
粘层,zhan'ceng
展线,zhan'xian
胀缝,zhang'feng
张拉,zhang'la
张拉钢筋油泵,zhang'la'gang'jin'you'beng
张拉预应力钢筋千斤顶,zhang'la'yu'ying'li'gang'jin'qian'jin'ding
掌子面,zhang'zi'mian
招标文件,zhao'biao'wen'jian
罩面,zhao'mian
照明设施,zhao'ming'she'shi
遮光栅,zhe'guang'shan
折旧费,zhe'jiu'fei
折弯机,zhe'wan'ji
振捣棒,zhen'dao'bang
振捣器,zhen'dao'qi
振动筛,zhen'dong'shai
振动压路机,zhen'dong'ya'lu'ji
真缝,zhen'feng
真空泵,zhen'kong'beng
针入度,zhen'ru'du
正倒镜,zheng'dao'jing
蒸发池,zheng'fa'chi
正交叉,zheng'jiao'cha
正交桥,zheng'jiao'qiao
正桥,zheng'qiao
正确度,zheng'que'du
整体式衬砌,zheng'ti'shi'chen'qi
支表,zhi'biao
支撑式桥台,zhi'cheng'shi'qiao'tai
支承桩,zhi'cheng'zhuang
制动墩,zhi'dong'dun
制动仪,zhi'dong'yi
支架,zhi'jia
质检体系,zhi'jian'ti'xi
质监总站,zhi'jian'zong'zhan
质量保证体系,zhi'liang'bao'zheng'ti'xi
质量检验,zhi'liang'jian'yan
质量控制,zhi'liang'kong'zhi
质量证明书,zhi'liang'zheng'ming'shu
指路标志,zhi'lu'biao'zhi
植生袋植草,zhi'sheng'dai'zhi'cao
指示标志,zhi'shi'biao'zhi
止水带,zhi'shui'dai
直通人孔,zhi'tong'ren'kong
支线公路,zhi'xian'gong'lu
支座垫石,zhi'zuo'dian'shi
中标通知书,zhong'biao'tong'zhi'shu
中承式桥,zhong'cheng'shi'qiao
中分带,zhong'fen'dai
中国公路人网,zhong'guo'gong'lu'ren'wang
中国交通资料网,zhong'guo'jiao'tong'zi'liao'wang
中级路面,zhong'ji'lu'mian
中间带,zhong'jian'dai
中间交工,zhong'jian'jiao'gong
中空锚杆,zhong'kong'mao'gan
中粒式,zhong'li'shi
重力式挡土墙,zhong'li'shi'dang'tu'qiang
重力式桥墩,zhong'li'shi'qiao'dun
重力式桥台,zhong'li'shi'qiao'tai
中粒土,zhong'li'tu
中面层,zhong'mian'ceng
终凝时间,zhong'ning'shi'jian
重丘区,zhong'qiu'qu
中隧道,zhong'sui'dao
中误差,zhong'wu'cha
中线测量,zhong'xian'ce'liang
中线平面图,zhong'xian'ping'mian'tu
中心岛,zhong'xin'dao
中心试验室,zhong'xin'shi'yan'shi
