愛愛惜,ai'ai'xi
伏伊人,fu'yi'ren
夾板,ga'ban
呷醋,ga'cu
夾衲,ga'na
夾萬,ga'wan
夾硬,ga'ying
改簿,gai'bu
改名,gai'ming
該煨,gai'wei
該專,gai'zhuan
咁多位,gan'duo'wei
趕工,gan'gong
趕喉趕命,gan'hou'gan'ming
感暑,gan'shu
趕唔切,gan'wu'qie
咁滯,gan'zhi
趕注,gan'zhu
鋼骨,gang'gu
杠架,gang'jia
戇居,gang'ju
戇居居,gang'ju'ju
崗棯,gang'ren
港紙,gang'zhi
高大衰,gao'da'shuai
高戙戙,gao'dong'dong
高竇,gao'dou
搞搞震,gao'gao'zhen
高腳寮刁,gao'jiao'liao'diao
搞手,gao'shou
搞唔,gao'wu
個噃,ge'bo
嗰處,ge'chu
佮檔佮計,ge'dang'ge'ji
嗰度,ge'du
嗰槓嘢,ge'gang'ye
佮佮,ge'ge
佮佮冚,ge'ge'kan
個啝,ge'he
歌喉,ge'hou
各花入各眼,ge'hua'ru'ge'yan
胳肋底,ge'lei'di
隔籬,ge'li
隔籬鄰舍,ge'li'lin'she
個囉,ge'luo
嗰排,ge'pai
隔涉,ge'she
佮手,ge'shou
佮手佮腳,ge'shou'ge'jiao
各司各法,ge'si'ge'fa
個喎,ge'wai
個心十五十六,ge'xin'shi'wu'shi'liu
隔夜油炸鬼,ge'ye'you'zha'gui
嘅啫,ge'ze
嘅嗻,ge'zhe
嗰陣,ge'zhen
嗰陣時個,ge'zhen'shi'ge
閣仔,ge'zi
歌仔,ge'zi
跟佬,gen'lao
跟手尾,gen'shou'wei
跟眼,gen'yan
跟尾,gen'yi
跟尾狗,gen'yi'gou
跟住,gen'zhu
梗板,geng'ban
鯁頸,geng'geng
頸喉,geng'hou
頸喉紐,geng'hou'niu
頸巾,geng'jin
頸渴,geng'ke
頸癧,geng'li
頸鏈,geng'lian
梗係,geng'xi
耕仔,geng'zi
攻鼻,gong'bi
紅當蕩,gong'dang'dang
公德心,gong'de'xin
紅冬冬,gong'dong'dong
紅豆,gong'dou
紅豆沙,gong'dou'sha
紅粉緋緋,gong'fen'fei'fei
功夫,gong'fu
紅汞水,gong'gong'shui
公關,gong'guan
供樓,gong'lou
紅蘿蔔,gong'luo'bo
共埋,gong'mai
紅毛泥,gong'mao'ni
公頭,gong'tou
工業行動,gong'ye'xing'dong
工友,gong'you
公仔,gong'zai
公仔書,gong'zai'shu
狗髀架,gou'bi'jia
夠膽,gou'dan
夠膽死,gou'dan'si
夠格,gou'ge
夠勁,gou'jin
夠力,gou'li
狗毛蟲,gou'mao'chong
夠派,gou'pai
夠皮,gou'pi
狗虱,gou'shi
夠數,gou'shu
夠算,gou'suan
狗尾粟,gou'wei'su
狗牙,gou'ya
狗咬狗骨,gou'yao'gou'gu
夠運,gou'yun
狗仔,gou'zai
夠照,gou'zhao
狗爪邊狗爪豆,gou'zhao'bian'gou'zhao'dou
夠鐘,gou'zhong
箍臣,gu'chen
穀古,gu'gu
穀牛,gu'niu
鶻突,gu'tu
官觀音兵,guan'guan'yin'bing
光掁掁,guang'cheng'cheng
光管,guang'guan
光黑,guang'hei
光鷄,guang'ji
光劣出,guang'lie'chu
光脫脫,guang'tuo'tuo
光鮮,guang'xian
光鮮企理,guang'xian'qi'li
光鴨,guang'ya
規矩,gui'ju
鬼讚,gui'zan
滾紅滾綠,gun'gong'gun'lu
滾攪,gun'jiao
滾熱辣,gun're'la
滾水,gun'shui
滾友,gun'you
過埠,guo'bu
喐不得其正,guo'bu'de'qi'zheng
過底紙,guo'di'zhi
過電,guo'dian
過骨,guo'gu
喐喐貢,guo'guo'gong
國技,guo'ji
過基甲,guo'ji'jia
過基峽,guo'ji'xia
國腳,guo'jiao
過口癮過橋抽板,guo'kou'yin'guo'qiao'chou'ban
過龍,guo'long
過門,guo'men
喐乜喐,guo'mie'guo
國票,guo'piao
過氣,guo'qi
過氣佬倌,guo'qi'lao'guan
喐親喐動,guo'qin'guo'dong
過身,guo'shen
喐身喐勢,guo'shen'guo'shi
喐手,guo'shou
喐手喐腳,guo'shou'guo'jiao
過水濕腳,guo'shui'shi'jiao
過頭,guo'tou
過雲雨,guo'yun'yu
菓占,guo'zhan
裹蒸粽,guo'zheng'zong
過鐘,guo'zhong
過咗海就係神仙,guo'zuo'hai'jiu'xi'shen'xian
蝦霸,ha'ba
蝦春,ha'chun
蝦到上面,ha'dao'shang'mian
蝦公,ha'gong
蝦笱,ha'gou
蝦膠,ha'jiao
蝦餃,ha'jiao
蝦瘌,ha'la
哈佬,ha'lao
蝦碌,ha'lu
蛤乸,ha'na
蝦人蝦物,ha'ren'ha'wu
蝦眼水,ha'yan'shui
蝦仔餅,ha'zi'bing
海皮,hai'pi
還神,hai'shen
海鮮,hai'xian
海鮮醬,hai'xian'jiang
嚡熠熠,hai'yi'yi
喊包,han'bao
寒背,han'bei
喊打喊殺,han'da'han'sha
喊噉口,han'dan'kou
寒底,han'di
寒飛,han'fei
含含聲,han'han'sheng
喊驚,han'jing
喊欄,han'lan
寒涼,han'liang
汗毛,han'mao
含笑,han'xiao
行行企企行開,hang'hang'qi'qi'xing'kai
行家,hang'jia
行水,hang'shui
好彩,hao'cai
好彩數,hao'cai'shu
好唱口,hao'chang'kou
蠔豉,hao'chi
好膽,hao'dan
好得,hao'de
好地地,hao'di'di
好頸,hao'geng
好過,hao'guo
好好睇睇,hao'hao'di'di
好話,hao'hua
好話爲,hao'hua'wei
好話唔好聽,hao'hua'wu'hao'ting
好閒,hao'jian
好勁,hao'jin
好氣,hao'qi
好人,hao'ren
好人事,hao'ren'shi
好日,hao'ri
好肉,hao'rou
好少理,hao'shao'li
好聲,hao'sheng
好聲好氣,hao'sheng'hao'qi
好食懶飛,hao'shi'lan'fei
好衰唔衰,hao'shuai'wu'shuai
好似,hao'si
好死,hao'si
好天,hao'tian
好物沉歸底,hao'wu'chen'gui'di
好相與,hao'xiang'yu
好心機,hao'xin'ji
好心你,hao'xin'ni
好行,hao'xing
好眼,hao'yan
好眼界,hao'yan'jie
好嘢,hao'ye
毫紙,hao'zhi
禾叉髀,he'cha'bi
合尺,he'chi
禾蟲,he'chong
禾稈,he'gan
禾稈冚珍珠,he'gan'kan'zhen'zhu
和過,he'guo
涸喉,he'hou
禾花雀,he'hua'que
荷蘭豆,he'lan'dou
荷蘭薯,he'lan'shu
和暖,he'nuan
合晒合尺,he'shai'he'chi
喝生晒,he'sheng'shai
禾塘,he'tang
合桃酥,he'tao'su
和味,he'wei
嚇窒,he'zhi
鶴嘴鋤,he'zui'chu
黑底,hei'di
黑狗得食白狗當災,hei'gou'de'shi'bai'gou'dang'zai
黑古勒特,hei'gu'le'te
黑過墨汁,hei'guo'mo'zhi
黑膠綢,hei'jiao'chou
黑口黑面,hei'kou'hei'mian
黑馬,hei'ma
黑孖孖,hei'ma'ma
黑癦屎,hei'me'shi
黑眯鼆,hei'mi'meng
黑面神,hei'mian'shen
黑墨墨,hei'mo'mo
黑葉,hei'ye
橫街窄巷,heng'jie'zhai'xiang
橫脷,heng'li
橫門,heng'men
衡晒,heng'shai
橫手,heng'shou
橫水艔,heng'shui'dao
橫丫腸,heng'ya'chang
吽哣,hong'pou
後底,hou'di
後底乸,hou'di'na
後底爺,hou'di'ye
睺斗,hou'dou
候鑊,hou'huo
喉急,hou'ji
喉欖,hou'lan
睺路,hou'lu
後屘,hou'man
猴擒,hou'qin
後日,hou'ri
後生,hou'sheng
後生女,hou'sheng'nv
後生細仔,hou'sheng'xi'zi
後生仔,hou'sheng'zai
後尾枕,hou'wei'zhen
後枕,hou'zhen
戽被,hu'bei
戽斗邊,hu'dou'bian
胡胡混混,hu'hu'hun'hun
胡哩馬叉,hu'li'ma'cha
鬍鬑鬚,hu'lian'xu
葫蘆,hu'lu
葫蘆王,hu'lu'wang
戲橋,hu'qiao
戲肉,hu'rou
胡天胡帝,hu'tian'hu'di
鬍鬚刨,hu'xu'bao
鬍鬚公,hu'xu'gong
鬍鬚佬,hu'xu'lao
鬍鬚簕特,hu'xu'le'te
戽魚,hu'yu
滑潺潺,hua'chan'chan
花臣,hua'chen
話得埋,hua'de'mai
話低,hua'di
話定,hua'ding
畫耳上牆,hua'er'shang'qiang
花弗,hua'fu
話咁快,hua'gan'kuai
話咁易,hua'gan'yi
畫公仔畫出腸,hua'gong'zai'hua'chu'chang
花菇,hua'gu
畫鬼腳,hua'gui'jiao
花红,hua'hong
畫花口面,hua'hua'kou'mian
花假,hua'jia
花階磚,hua'jie'zhuan
滑蕨,hua'jue
話口未完,hua'kou'wei'wan
花款,hua'kuan
花哩胡碌,hua'li'hu'lu
花哩碌,hua'li'lu
花僆,hua'lian
花僆女,hua'lian'nv
花僆仔,hua'lian'zi
花冧,hua'lin
花令紙,hua'ling'zhi
滑溜,hua'liu
話落,hua'luo
滑捋捋,hua'luo'luo
花面貓,hua'mian'mao
花名,hua'ming
話名,hua'ming
滑牛,hua'niu
花灑,hua'sa
話晒,hua'shai
花生肉,hua'sheng'rou
話事,hua'shi
話實,hua'shi
話事偈,hua'shi'ji
花士令,hua'shi'ling
花手巾,hua'shou'jin
化水,hua'shui
話頭醒尾,hua'tou'xing'wei
滑脫脫,hua'tuo'tuo
花王,hua'wang
花尾艔,hua'wei'dao
話唔定,hua'wu'ding
話唔埋,hua'wu'mai
花心,hua'xin
花心蘿蔔,hua'xin'luo'bo
化學,hua'xue
化學公仔,hua'xue'gong'zai
滑揗揗,hua'xun'xun
滑牙,hua'ya
話齋,hua'zhai
話嗻,hua'zhe
花樽,hua'zun
槐枝,huai'zhi
歡喜,huan'xi
郇嘢,huan'ye
鯇魚,huan'yu
黃蜂,huang'feng
黃蜂竇,huang'feng'dou
黃狗頭,huang'gou'tou
黃瓜酸,huang'gua'suan
黃花筒,huang'hua'tong
黃猄黃麖,huang'jing'huang'jing
黃綠醫生,huang'lu'yi'sheng
黃面婆,huang'mian'po
黃泥,huang'ni
黃牛,huang'niu
慌怕,huang'pa
黃泡髡熟,huang'pao'kun'shu
黃泡仔,huang'pao'zi
黃蜞,huang'qi
慌失失,huang'shi'shi
黃熟,huang'shu
慌死,huang'si
黃絲蟻,huang'si'yi
黃粟,huang'su
黃糖,huang'tang
黃牙白,huang'ya'bai
黃魚,huang'yu
揮春,hui'chun
回南,hui'nan
回尾,hui'wei
回佣會錯意,hui'yong'hui'cu'yi
混沌,hun'dun
混吉,hun'ji
魂精,hun'jing
鑊鏟,huo'chan
火鵝,huo'e
火頸,huo'geng
貨櫃,huo'gui
火滾,huo'gun
伙記,huo'ji
火攪米,huo'jiao'mi
火酒,huo'jiu
鑊黸,huo'lu
火路,huo'lu
火牛,huo'niu
鑊氣,huo'qi
火起,huo'qi
火氣,huo'qi
火屎火船,huo'shi'huo'chuan
火水,huo'shui
火水燈,huo'shui'deng
火水爐,huo'shui'lu
火燂塵,huo'tan'chen
火燂煤,huo'tan'mei
火筒,huo'tong
伙頭,huo'tou
伙頭軍,huo'tou'jun
貨尾,huo'wei
火尾,huo'wei
火油,huo'you
火遮眼,huo'zhe'yan
火燭,huo'zhu
貨仔,huo'zi
火嘴,huo'zui
鷄髀打人牙鉸軟,ji'bi'da'ren'ya'jiao'ruan
騎膊馬,ji'bo'ma
幾大,ji'da
計帶,ji'dai
鷄噉腳,ji'dan'jiao
及第粥,ji'di'zhou
幾多,ji'duo
激奀,ji'en
幾咁,ji'gan
幾咁閒,ji'gan'jian
鷄公,ji'gong
結恭,ji'gong
記掛,ji'gua
即管,ji'guan
齊黑,ji'hei
齊齊,ji'ji
岌岌貢,ji'ji'gong
急急腳,ji'ji'jiao
濟軍,ji'jun
基佬,ji'lao
忌廉,ji'lian
騎樓,ji'lou
騎樓底,ji'lou'di
鷄毛掃,ji'mao'sao
鷄乸鷄乸婆,ji'na'ji'na'po
幾耐,ji'nai
幾耐世秋,ji'nai'shi'qiu
幾難先至,ji'nan'xian'zhi
急尿,ji'niao
騎牛王馬,ji'niu'wang'ma
騎牛搵馬,ji'niu'wen'ma
咭女,ji'nv
鷄泡魚,ji'pao'yu
鷄皮紙,ji'pi'zhi
記起,ji'qi
激氣,ji'qi
極其量,ji'qi'liang
齊葺葺,ji'qi'qi
記認,ji'ren
緝蛇,ji'she
鷄腎,ji'shen
鷄腎衣,ji'shen'yi
鷄塒,ji'shi
幾時,ji'shi
急屎,ji'shi
鷄手鴨腳,ji'shou'ya'jiao
計數機,ji'shu'ji
鷄歲,ji'sui
鷄同鴨講,ji'tong'ya'jiang
齊頭,ji'tou
岌頭岌髻,ji'tou'ji'ji
齊頭數,ji'tou'shu
鷄尾,ji'wei
基圍,ji'wei
計我話,ji'wo'hua
即係,ji'xi
幾係,ji'xi
鷄項鷄子,ji'xiang'ji'zi
鷄心肺,ji'xin'fei
結厴,ji'yan
鷄翼袖,ji'yi'xiu
擠擁,ji'yong
偈油,ji'you
計正,ji'zheng
齊整,ji'zheng
極之,ji'zhi
鷄啄唔斷,ji'zhuo'wu'duan
計仔,ji'zi
咭仔,ji'zi
鷄仔餅,ji'zi'bing
鷄仔媒人,ji'zi'mei'ren
加把口,jia'ba'kou
假膊,jia'bo
駕步,jia'bu
架步,jia'bu
加菜,jia'cai
架罉,jia'cheng
加風,jia'feng
家公,jia'gong
假過賣貓,jia'guo'mai'mao
家機布,jia'ji'bu
假假地都係,jia'jia'di'dou'xi
加加埋埋,jia'jia'mai'mai
家姐,jia'jie
家眷,jia'juan
家空物淨,jia'kong'wu'jing
茄哩啡,jia'li'fei
加料,jia'liao
加零一,jia'ling'yi
嘉年華會,jia'nian'hua'hui
家婆,jia'po
嫁人,jia'ren
家嫂,jia'sao
家山有眼,jia'shan'you'yan
架勢,jia'shi
茄士咩,jia'shi'mie
傢俬,jia'si
傢俬什物,jia'si'shi'wu
傢俬雜物,jia'si'za'wu
家頭細務,jia'tou'xi'wu
家下,jia'xia
家用,jia'yong
家陣,jia'zhen
尖筆甩,jian'bi'shuai
減筆字,jian'bi'zi
簡筆字,jian'bi'zi
見步行步,jian'bu'xing'bu
鹹菜,jian'cai
監倉,jian'cang
間尺,jian'chi
鹹臭鹹蟲,jian'chou'jian'chong
監粗嚟,jian'cu'li
揀得個爛燈盞,jian'de'ge'lan'deng'zhan
櫼隊,jian'dui
監躉,jian'dun
見飯見功,jian'fan'jian'gong
梘粉,jian'fen
兼夾,jian'ga
賤格,jian'ge
見紅,jian'gong
鹹蝦,jian'ha
劍花,jian'hua
間花腩,jian'hua'nan
鹹煎餅,jian'jian'bing
閒閒地,jian'jian'di
奸狡,jian'jiao
鹹苦,jian'ku
奸賴,jian'lai
奸賴貓,jian'lai'mao
鹹粒,jian'li
見連丸,jian'lian'wan
鹹龍,jian'long
奸貓,jian'mao
鹹赧赧,jian'nan'nan
閒日,jian'ri
見食,jian'shi
見使,jian'shi
鹹濕,jian'shi
減實,jian'shi
鹹水草,jian'shui'cao
鹹水歌,jian'shui'ge
鹹水話,jian'shui'hua
鹹水魚,jian'shui'yu
險死還生,jian'si'hai'sheng
間條,jian'tiao
件頭,jian'tou
櫼頭到腳,jian'tou'dao'jiao
櫼頭對腳,jian'tou'dui'jiao
尖頭佬,jian'tou'lao
堅嘢,jian'ye
揀飲擇食,jian'yin'ze'shi
揀擇,jian'ze
淺窄,jian'zhai
間中,jian'zhong
見周公,jian'zhou'gong
箭豬,jian'zhu
箭嘴,jian'zui
講粗口,jiang'cu'kou
講大話,jiang'da'hua
講到話,jiang'dao'hua
講得口響,jiang'de'kou'xiang
講咁易,jiang'gan'yi
講古,jiang'gu
江湖佬,jiang'hu'lao
講話,jiang'hua
將近,jiang'jin
講開又講,jiang'kai'you'jiang
講漏嘴,jiang'lou'zui
講起又講,jiang'qi'you'jiang
講人事,jiang'ren'shi
講三講四,jiang'san'jiang'si
講實,jiang'shi
講數口,jiang'shu'kou
講笑,jiang'xiao
江珧柱,jiang'yao'zhu
講耶穌,jiang'ye'su
講飲講食,jiang'yin'jiang'shi
姜酌,jiang'zhuo
腳坳,jiao'ao
腳板腳板底,jiao'ban'jiao'ban'di
膠擦,jiao'ca
攪腸痧,jiao'chang'sha
嬌嗲,jiao'dia
腳肚,jiao'du
腳肚瓤,jiao'du'rang
腳骨,jiao'gu
腳骨力,jiao'gu'li
腳瓜,jiao'gua
腳瓜瓤,jiao'gua'rang
交關,jiao'guan
膠喉,jiao'hou
交吉,jiao'ji
腳甲,jiao'jia
鉸剪,jiao'jian
較腳,jiao'jiao
覺覺豬,jiao'jiao'zhu
教路,jiao'lu
角落頭,jiao'luo'tou
腳面,jiao'mian
姣氣,jiao'qi
叫起手,jiao'qi'shou
姣屍扽篤,jiao'shi'den'du
攪屎棍,jiao'shi'gun
攪是攪非,jiao'shi'jiao'fei
叫數,jiao'shu
膠絲,jiao'si
茭筍,jiao'sun
膠通,jiao'tong
膠拖,jiao'tuo
較爲,jiao'wei
滘校飛,jiao'xiao'fei
腳眼,jiao'yan
覺眼,jiao'yan
腳魚,jiao'yu
腳踭,jiao'zheng
腳趾公,jiao'zhi'gong
腳趾屘,jiao'zhi'man
腳趾罅,jiao'zhi'xia
接駁,jie'bo
街燈,jie'deng
戒方,jie'fang
街坊大姐,jie'fang'da'jie
喼弗,jie'fu
節瓜,jie'gua
借借,jie'jie
街口,jie'kou
戒口,jie'kou
芥辣,jie'la
芥蘭頭,jie'lan'tou
喼帽,jie'mao
戒奶,jie'nai
喼槍,jie'qiang
街市,jie'shi
姐手姐腳,jie'shou'jie'jiao
借頭借路,jie'tou'jie'lu
借歪,jie'wai
借歪啲,jie'wai'di
街巷,jie'xiang
接續,jie'xu
傑嘢,jie'ye
借一借,jie'yi'jie
皆因解,jie'yin'jie
街招,jie'zhao
喼汁,jie'zhi
喼紙,jie'zhi
階磚,jie'zhuan
金埕,jin'cheng
勁歌,jin'ge
金瓜,jin'gua
金龜,jin'gui
矜貴,jin'gui
金腳帶,jin'jiao'dai
金睛火眼,jin'jing'huo'yan
妗母,jin'mu
妗婆,jin'po
尽人事,jin'ren'shi
今日,jin'ri
金山,jin'shan
金山橙,jin'shan'cheng
金山丁,jin'shan'ding
金山客,jin'shan'ke
禁諗,jin'shen
今時唔同往日,jin'shi'wu'tong'wang'ri
浸死鴨乸,jin'si'ya'na
緊要,jin'yao
金銀膶,jin'yin'run
金魚黃,jin'yu'huang
襟章,jin'zhang
今朝,jin'zhao
金針,jin'zhen
近住,jin'zhu
靚歌,jing'ge
精乖,jing'guai
精乖伶俐,jing'guai'ling'li
景轟,jing'hong
靜鷄鷄,jing'ji'ji
鏡架,jing'jia
靜局,jing'ju
精靈,jing'ling
淨麵,jing'mian
靚女,jing'nv
驚青驚住,jing'qing'jing'zhu
精神爽利整,jing'shen'shuang'li'zheng
驚死,jing'si
擏惜,jing'xi
淨係,jing'xi
經已,jing'yi
靜英英,jing'ying'ying
靚仔,jing'zi
酒凹,jiu'ao
酒餅,jiu'bing
久不久,jiu'bu'jiu
九成九,jiu'cheng'jiu
九大簋,jiu'da'gui
舊底,jiu'di
酒店,jiu'dian
舅公,jiu'gong
酒家,jiu'jia
舊口,jiu'kou
就来,jiu'lai
舊曆年,jiu'li'nian
酒米,jiu'mi
舊年,jiu'nian
舊日,jiu'ri
舊生,jiu'sheng
舊時,jiu'shi
就手,jiu'shou
久唔久,jiu'wu'jiu
就係,jiu'xi
九因歌,jiu'yin'ge
舊陣時,jiu'zhen'shi
舅仔,jiu'zi
車邊,ju'bian
車大奅,ju'da'pao
車呔,ju'dai
巨揈,ju'hong
舉薦,ju'jian
焗腳,ju'jiao
車卡,ju'ka
車轆,ju'lu
焗爐,ju'lu
焗悶,ju'men
掬氣,ju'qi
焗親,ju'qin
焗熱,ju're
局縮,ju'su
局縮氣,ju'su'qi
車葉,ju'ye
拘執,ju'zhi
焗盅,ju'zhong
車仔,ju'zi
絕情,jue'qing
均碼,jun'ma
君是,jun'shi
君之,jun'zhi
卡拉,ka'la
卡士,ka'shi
卡通片,ka'tong'pian
卡位,ka'wei
卡罅,ka'xia
開便,kai'bian
開波,kai'bo
開檔,kai'dang
開襠褲,kai'dang'ku
開刀,kai'dao
開底,kai'di
開估,kai'gu
開講有話,kai'jiang'you'hua
開口埋口,kai'kou'mai'kou
開口棗開嚟,kai'kou'zao'kai'li
開明車馬,kai'ming'ju'ma
開年,kai'nian
開盤,kai'pan
開片,kai'pian
開舖,kai'pu
開氣,kai'qi
開膳,kai'shan
開身,kai'shen
開聲,kai'sheng
開首,kai'shou
開攤,kai'tan
開頭,kai'tou
開胃,kai'wei
開硬弓,kai'ying'gong
冚檔,kan'dang
冚啲,kan'di
冚斗,kan'dou
冚賭,kan'du
看更,kan'geng
冚家鏟,kan'jia'chan
冚家富貴,kan'jia'fu'gui
冚盅,kan'zhong
糠耳炕,kang'er'kang
康健,kang'jian
炕沙,kang'sha
靠害,kao'hai
考起,kao'qi
趷跛跛,ke'bo'bo
柯打,ke'da
客飯,ke'fan
克戟,ke'ji
客家佔地主,ke'jia'dian'di'zhu
趷腳,ke'jiao
趷路,ke'lu
可惱,ke'nao
可惱也,ke'nao'ye
渴市,ke'shi
瞌眼瞓合桃,ke'yan'fen'he'tao
客仔,ke'zi
坑腩,keng'nan
坑渠,keng'qu
空姐,kong'jie
空寥寥,kong'liao'liao
空籠,kong'long
扣布,kou'bu
口齒,kou'chi
口唇,kou'chun
口唇膏,kou'chun'gao
口淡,kou'dan
口多多,kou'duo'duo
口嚡脷素,kou'hai'li'su
口痕,kou'hen
口痕友,kou'hen'you
口花花,kou'hua'hua
口立濕,kou'li'shi
口碼,kou'ma
口密,kou'mi
口面口角,kou'mian'kou'jiao
口疏,kou'shu
口爽,kou'shuang
口水澂,kou'shui'cheng
口水多過茶,kou'shui'duo'guo'cha
口水花,kou'shui'hua
口水肩,kou'shui'jian
口水佬,kou'shui'lao
口水痰,kou'shui'tan
口響,kou'xiang
扣針,kou'zhen
口窒窒,kou'zhi'zhi
扣盅,kou'zhong
苦茶,ku'cha
苦刁刁,ku'diao'diao
苦瓜噉嘅面,ku'gua'dan'ge'mian
苦過弟弟,ku'guo'di'di
苦口苦面,ku'kou'ku'mian
苦麥,ku'mai
褲頭,ku'tou
褲頭帶,ku'tou'dai
快把,kuai'ba
快掣,kuai'che
快脆,kuai'cui
快啲,kuai'di
快快脆脆,kuai'kuai'cui'cui
快勞,kuai'lao
快手,kuai'shou
款頭,kuan'tou
虧柴,kui'chai
葵瓜子,kui'gua'zi
虧佬,kui'lao
闊佬,kuo'lao
闊佬懶理,kuo'lao'lan'li
闊咧啡,kuo'lie'fei
闊落,kuo'luo
蠟板,la'ban
拉柴,la'chai
臘腸,la'chang
臘腸褲,la'chang'ku
拉扯,la'che
拉臣,la'chen
拉尺,la'chi
癩瘡,la'chuang
拉大纜,la'da'lan
垃圾蟲,la'ji'chong
蠟靚,la'jing
蠟蠟靚,la'la'jing
啦啦亂,la'la'luan
啦啦聲,la'la'sheng
拉纜,la'lan
揦脷,la'li
瘌痢,la'li
啦嗎,la'ma
揦埋,la'mai
攋尿蝦,la'niao'ha
拉牛上樹,la'niu'shang'shu
蠟青,la'qing
擸晒網頂,la'shai'wang'ding
拉上補下,la'shang'bu'xia
啦聲,la'sheng
拉士,la'shi
揦手,la'shou
拉手仔拉蘇,la'shou'zi'la'su
邋遢,la'ta
拉頭纜,la'tou'lan
擸網頂,la'wang'ding
揦西,la'xi
拉綫,la'xian
拉油,la'you
拉勻,la'yun
垃雜,la'za
揦鮓,la'zha
癩渣,la'zha
揦住,la'zhu
來路,lai'lu
賴貓,lai'mao
賴貓君,lai'mao'jun
來由,lai'you
爛湴,lan'ban
爛船都有三斤釘,lan'chuan'dou'you'san'jin'ding
爛打,lan'da
爛笪笪,lan'da'da
懶到出骨,lan'dao'chu'gu
爛地,lan'di
爛竇,lan'dou
爛賭,lan'du
爛飯,lan'fan
爛瞓,lan'fen
爛瞓豬爛鬼,lan'fen'zhu'lan'gui
攬頸,lan'geng
爛喊,lan'han
爛喊貓,lan'han'mao
攔河,lan'he
爛賤,lan'jian
爛口,lan'kou
爛佬,lan'lao
懶佬工夫,lan'lao'gong'fu
懶佬鞋,lan'lao'xie
懶佬椅,lan'lao'yi
懶理,lan'li
爛命,lan'ming
爛泥扶唔上壁,lan'ni'fu'wu'shang'bi
爛女,lan'nv
懶人多屎尿,lan'ren'duo'shi'niao
爛茸茸,lan'rong'rong
懶散,lan'san
懶蛇,lan'she
攬身攬勢,lan'shen'lan'shi
爛身爛勢,lan'shen'lan'shi
爛生,lan'sheng
躝屍,lan'shi
爛食,lan'shi
爛市,lan'shi
躝屍趷路,lan'shi'ke'lu
爛熟,lan'shu
爛頭蟀,lan'tou'shuai
爛頭粥,lan'tou'zhou
爛癮,lan'yin
爛仔,lan'zi
狼毒,lang'du
狼過華秀隻狗,lang'guo'hua'xiu'zhi'gou
啷箕,lang'ji
狼戾,lang'li
狼忙,lang'mang
狼命,lang'ming
狼胎,lang'tai
唥鐘,lang'zhong
老表,lao'biao
嘮嘈,lao'cao
老襯,lao'chen
老抽,lao'chou
老大,lao'da
老定,lao'ding
老竇,lao'dou
老奀茄,lao'en'jia
老番,lao'fan
勞煩,lao'fan
老公,lao'gong
老姑婆,lao'gu'po
老倌,lao'guan
撈過界,lao'guo'jie
老虎都,lao'hu'dou
老虎乸,lao'hu'na
老虎頭上釘虱乸,lao'hu'tou'shang'ding'shi'na
老虎蟹,lao'hu'xie
老積,lao'ji
撈鷄,lao'ji
撈家,lao'jia
老階,lao'jie
老襟,lao'jin
撈靜水,lao'jing'shui
老舉,lao'ju
老舉寨,lao'ju'zhai
老糠老行尊,lao'kang'lao'xing'zun
老坑,lao'keng
老坑公,lao'keng'gong
老辣,lao'la
老媽子,lao'ma'zi
老貓燒鬚,lao'mao'shao'xu
老懵懂,lao'meng'dong
撈麵,lao'mian
老母,lao'mu
老泥,lao'ni
老嚙嚙,lao'nie'nie
撈女,lao'nv
老藕,lao'ou
老朋,lao'peng
老婆乸,lao'po'na
勞氣,lao'qi
撈起,lao'qi
老千,lao'qian
老禽騎,lao'qin'ji
老少平安,lao'shao'ping'an
老世,lao'shi
老實,lao'shi
撈世界,lao'shi'jie
老實威,lao'shi'wei
老鼠貨,lao'shu'huo
老鼠仔,lao'shu'zi
老水,lao'shui
老水鴨,lao'shui'ya
撈鬆,lao'song
老同,lao'tong
撈頭,lao'tou
老頭子,lao'tou'zi
老土,lao'tu
老蚊公,lao'wen'gong
老蚊婆,lao'wen'po
老爺,lao'ye
老嘢老友,lao'ye'lao'you
老友鬼鬼,lao'you'gui'gui
老友記,lao'you'ji
老卓,lao'zhuo
老宗,lao'zong
老祖,lao'zu
簕竇,le'dou
叻馬,le'ma
叻女,le'nv
叻唔切,le'wu'qie
叻仔,le'zi
雷公,lei'gong
雷公轟,lei'gong'hong
雷公蛇,lei'gong'she
鐳射唱機,lei'she'chang'ji
累事,lei'shi
嘞牙,lei'ya
冷飯,leng'fan
冷手執個熱煎冷天,leng'shou'zhi'ge're'jian'leng'tian
冷巷,leng'xiang
禮拜,li'bai
裏便,li'bian
利便,li'bian
裏底,li'di
利毒,li'du
笠高帽,li'gao'mao
脷刮,li'gua
利口,li'kou
哩啦,li'la
離離,li'li
哩哩啦啦,li'li'la'la
笠笠亂,li'li'luan
笠亂,li'luan
例牌,li'pai
理氣,li'qi
笠衫,li'shan
嚟神,li'shen
粒聲唔出,li'sheng'wu'chu
利市,li'shi
籬士,li'shi
立實心腸,li'shi'xin'chang
理數,li'shu
脷苔,li'tai
立心,li'xin
力行鷄,li'xing'ji
離行離迾,li'xing'li'lie
禮衣邊,li'yi'bian
離遠,li'yuan
蓮花,lian'hua
鏈冚,lian'kan
聯亂咁舂,lian'luan'gan'chong
連埋,lian'mai
