阿二,a'er
三转重元功,san'zhuan'zhong'yuan'gong
桑星岛,sang'xing'dao
煞妖决,sha'yao'jue
刹云国,sha'yun'guo
山边小村,shan'bian'xiao'cun
山海阁,shan'hai'ge
山魈,shan'xiao
上古隐形符,shang'gu'yin'xing'fu
上古玉符,shang'gu'yu'fu
上元灭光阵,shang'yuan'mie'guang'zhen
摄魂术,she'hun'shu
麝兰兽,she'lan'shou
蛇卫傀儡,she'wei'kui'lei
蛇纹臂环,she'wen'bi'huan
蛇蜒树,she'yan'shu
神兵门,shen'bing'men
神凤舟,shen'feng'zhou
深海极玉,shen'hai'ji'yu
神鸠堂,shen'jiu'tang
神秘瓶子,shen'mi'ping'zi
神识化千,shen'shi'hua'qian
神识化形,shen'shi'hua'xing
神手谷,shen'shou'gu
身外化身,shen'wai'hua'shen
圣界魔蝶,sheng'jie'mo'die
升空术,sheng'kong'shu
圣魔岛,sheng'mo'dao
升仙玲,sheng'xian'ling
石碑残片,shi'bei'can'pian
尸虫丸,shi'chong'wan
石肤术,shi'fu'shu
石化之术,shi'hua'zhi'shu
噬金虫,shi'jin'chong
噬金灵剑,shi'jin'ling'jian
石拓谷,shi'tuo'gu
失心丹,shi'xin'dan
寿元果,shou'yuan'guo
双峰岛,shuang'feng'dao
双首鹜,shuang'shou'wu
双瞳鼠,shuang'tong'shu
双头妖狮,shuang'tou'yao'shi
双尾翡翠蛇,shuang'wei'fei'cui'she
水罡神雷,shui'gang'shen'lei
水箭术,shui'jian'shu
水牢符,shui'lao'fu
水灵石,shui'ling'shi
水影宗,shui'ying'zong
水罩符,shui'zhao'fu
水咒符法基础,shui'zhou'fu'fa'ji'chu
舜江,shun'jiang
四大商盟,si'da'shang'meng
四耳金猿,si'er'jin'yuan
四海堂,si'hai'tang
四海真院,si'hai'zhen'yuan
饲灵丸,si'ling'wan
四平帮,si'ping'bang
四煞阵,si'sha'zhen
四瞳灵狐,si'tong'ling'hu
四象蟠龙带,si'xiang'pan'long'dai
四象玄武阵,si'xiang'xuan'wu'zhen
四象阵,si'xiang'zhen
搜灵大法,sou'ling'da'fa
素女轮回功,su'nv'lun'hui'gong
狻猊兽,suan'ni'shou
缩地术,suo'di'shu
锁金环,suo'jin'huan
锁烟峰,suo'yan'feng
踏云靴,ta'yun'xue
太白化气手,tai'bai'hua'qi'shou
泰和城,tai'he'cheng
太妙神禁,tai'miao'shen'jin
太南谷,tai'nan'gu
太南山,tai'nan'shan
太南寺,tai'nan'si
太玄八卦图,tai'xuan'ba'gua'tu
泰阳决,tai'yang'jue
泰阳真火,tai'yang'zhen'huo
泰阳宗,tai'yang'zong
太岳山脉,tai'yue'shan'mai
太真古镜,tai'zhen'gu'jing
太真红尺,tai'zhen'hong'chi
太真黄戈,tai'zhen'huang'ge
太真令牌,tai'zhen'ling'pai
太真门,tai'zhen'men
太真如意,tai'zhen'ru'yi
太真小鼎,tai'zhen'xiao'ding
太真玉扇,tai'zhen'yu'shan
檀云山,tan'yun'shan
檀云石符,tan'yun'shi'fu
啼魂,ti'hun
天霸门,tian'ba'men
天道会,tian'dao'hui
天地奇石录,tian'di'qi'shi'lu
天都街,tian'du'jie
天都尸火,tian'du'shi'huo
天风部,tian'feng'bu
天风狂烈阵,tian'feng'kuang'lie'zhen
天风玄波阵,tian'feng'xuan'bo'zhen
天符门,tian'fu'men
天罡罩,tian'gang'zhao
天工楼,tian'gong'lou
天鹤居,tian'he'ju
天狐大法,tian'hu'da'fa
天狐迷灵大法,tian'hu'mi'ling'da'fa
天虎兽,tian'hu'shou
天华石,tian'hua'shi
天火决,tian'huo'jue
天火神链,tian'huo'shen'lian
天火液,tian'huo'ye
天火之术,tian'huo'zhi'shu
天机门,tian'ji'men
天极门,tian'ji'men
天晶木,tian'jing'mu
天晶蚁,tian'jing'yi
天澜圣殿,tian'lan'sheng'dian
天澜兽,tian'lan'shou
天雷连环击,tian'lei'lian'huan'ji
天雷竹,tian'lei'zhu
天雷子,tian'lei'zi
天灵丹,tian'ling'dan
天灵果,tian'ling'guo
天罗国,tian'luo'guo
天罗真功,tian'luo'zhen'gong
天罗真雷,tian'luo'zhen'lei
天门峰,tian'men'feng
天南手札,tian'nan'shou'zha
天青花,tian'qing'hua
天泉峰,tian'quan'feng
天阙堡,tian'que'bao
天沙大陆,tian'sha'da'lu
天刹真魔功,tian'sha'zhen'mo'gong
天煞宗,tian'sha'zong
天水河,tian'shui'he
天水寨,tian'shui'zhai
天台岛,tian'tai'dao
阗天城,tian'tian'cheng
天外陨铁,tian'wai'yun'tie
天雾台,tian'wu'tai
天香索,tian'xiang'suo
天宵峰,tian'xiao'feng
天星城,tian'xing'cheng
天星带,tian'xing'dai
天星宗,tian'xing'zong
天眼术,tian'yan'shu
天一城,tian'yi'cheng
天一会,tian'yi'hui
天元果,tian'yuan'guo
天月神舟,tian'yue'shen'zhou
天柱峰,tian'zhu'feng
铁翅雕,tie'chi'diao
铁肤术,tie'fu'shu
铁火蚁,tie'huo'yi
铁甲尸,tie'jia'shi
铁精,tie'jing
铁木,tie'mu
铁母,tie'mu
铁枪会,tie'qiang'hui
铁拳会,tie'quan'hui
铁蹄兽,tie'ti'shou
铁犀兽,tie'xi'shou
听风阁,ting'feng'ge
通宝决,tong'bao'jue
通臂拳,tong'bi'quan
铜甲炼尸,tong'jia'lian'shi
铜精,tong'jing
铜镜古宝,tong'jing'gu'bao
通灵玉,tong'ling'yu
通灵之气,tong'ling'zhi'qi
通明灵犀,tong'ming'ling'xi
铜钱法器,tong'qian'fa'qi
通天雾海,tong'tian'wu'hai
土遁符,tu'dun'fu
土菇花,tu'gu'hua
土甲术,tu'jia'shu
土牢术,tu'lao'shu
土梨果,tu'li'guo
土离决,tu'li'jue
土灵石,tu'ling'shi
突兀族,tu'wu'zu
推山兽,tui'shan'shou
吞海鱼,tun'hai'yu
托天决,tuo'tian'jue
外星海,wai'xing'hai
万宝楼,wan'bao'lou
万尺一线,wan'chi'yi'xian
万法门,wan'fa'men
万魂阵,wan'hun'zhen
万家,wan'jia
万灵山,wan'ling'shan
万岭山脉,wan'ling'shan'mai
万灵真经,wan'ling'zhen'jing
菀梦果,wan'meng'guo
万妙观,wan'miao'guan
湾南州,wan'nan'zhou
万年黄木,wan'nian'huang'mu
万年灵乳,wan'nian'ling'ru
万丝天下,wan'si'tian'xia
万丈海,wan'zhang'hai
忘尘丸,wang'chen'wan
王家,wang'jia
王绝楚,wang'jue'chu
王绝楚的三位师叔,wang'jue'chu'de'san'wei'shi'shu
王门主,wang'men'zhu
汪凝,wang'ning
王氏,wang'shi
王师叔,wang'shi'shu
王师兄,wang'shi'xiong
望水国,wang'shui'guo
王天古,wang'tian'gu
王姓白袍老,wang'xing'bai'pao'lao
王姓童子,wang'xing'tong'zi
王样,wang'yang
忘忧果,wang'you'guo
望月草,wang'yue'cao
望月决,wang'yue'jue
王子陵,wang'zi'ling
王总管,wang'zong'guan
魏离辰,wei'li'chen
伪匿术,wei'ni'shu
卫师兄,wei'shi'xiong
魏无涯,wei'wu'ya
尾星岛,wei'xing'dao
魏一鸣,wei'yi'ming
温夫人,wen'fu'ren
纹龙戒,wen'long'jie
文樯,wen'qiang
温上师,wen'shang'shi
文思月,wen'si'yue
温天仁,wen'tian'ren
问心符,wen'xin'fu
问心术,wen'xin'shu
卧虎鲨,wo'hu'sha
卧牛山,wo'niu'shan
无边海,wu'bian'hai
五彩飞蛾,wu'cai'fei'e
五彩珠子,wu'cai'zhu'zi
无常丹,wu'chang'dan
乌翅雕,wu'chi'diao
乌丑,wu'chou
五毒水,wu'du'shui
武斐,wu'fei
吴风,wu'feng
五鬼锁神,wu'gui'suo'shen
五花树,wu'hua'shu
吴家杂货铺,wu'jia'za'huo'pu
吴剑鸣,wu'jian'ming
五金之精,wu'jin'zhi'jing
吴九指,wu'jiu'zhi
巫钧山,wu'jun'shan
五里沟,wu'li'gou
乌灵面具,wu'ling'mian'ju
五领镇,wu'ling'zhen
乌龙夺,wu'long'duo
五龙海,wu'long'hai
乌龙潭,wu'long'tan
无名敛气术,wu'ming'lian'qi'shu
吴铭瑞,wu'ming'rui
吾鹏,wu'peng
五色门,wu'se'men
坞石,wu'shi
武师弟,wu'shi'di
吾师兄,wu'shi'xiong
乌铁,wu'tie
吴仙师,wu'xian'shi
五行初级咒决大全,wu'xing'chu'ji'zhou'jue'da'quan
武姓毒蛟,wu'xing'du'jiao
无形遁法,wu'xing'dun'fa
五行环,wu'xing'huan
吴姓灰发老者,wu'xing'hui'fa'lao'zhe
吴姓老者,wu'xing'lao'zhe
五行炼器铺,wu'xing'lian'qi'pu
五行灵婴秘法,wu'xing'ling'ying'mi'fa
五行迷踪阵,wu'xing'mi'zong'zhen
五行血凝丹,wu'xing'xue'ning'dan
无形针,wu'xing'zhen
武炫,wu'xuan
舞岩,wu'yan
无忧针法,wu'you'zhen'fa
无游子,wu'you'zi
雾中岛,wu'zhong'dao
西极海,xi'ji'hai
吸雷石,xi'lei'shi
吸灵石,xi'ling'shi
西宁州,xi'ning'zhou
席铁牛,xi'tie'niu
洗心殿,xi'xin'dian
袭姓青年,xi'xing'qing'nian
溪州,xi'zhou
夏少爷,xia'shao'ye
陷地符,xian'di'fu
仙霞山,xian'xia'shan
线形法器,xian'xing'fa'qi
闲云酒楼,xian'yun'jiu'lou
镶翠玉佩,xiang'cui'yu'pei
象甲功,xiang'jia'gong
香家酒楼,xiang'jia'jiu'lou
香莲婶,xiang'lian'shen
乡鲁大运河,xiang'lu'da'yun'he
向之礼,xiang'zhi'li
小尺符宝,xiao'chi'fu'bao
萧翠儿,xiao'cui'er
小刀符宝,xiao'dao'fu'bao
萧二,xiao'er
小寰岛,xiao'huan'dao
笑魂散,xiao'hun'san
萧家,xiao'jia
小金芝,xiao'jin'zhi
小梅,xiao'mei
小十六子,xiao'shi'liu'zi
小十五,xiao'shi'wu
小五行须弥禁法,xiao'wu'xing'xu'mi'jin'fa
小须弥金刚阵,xiao'xu'mi'jin'gang'zhen
萧振,xiao'zhen
蝎尾花,xie'wei'hua
锌道友,xin'dao'you
辛明,xin'ming
辛如音,xin'ru'yin
辛师弟,xin'shi'di
辛姓修士,xin'xing'xiu'shi
馨牙兽,xin'ya'shou
星尘阁,xing'chen'ge
星钢沙,xing'gang'sha
星宫,xing'gong
星空殿,xing'kong'dian
熊大力,xiong'da'li
兄弟盟,xiong'di'meng
秀儿,xiu'er
嗅灵兽,xiu'ling'shou
修罗,xiu'luo
修髓丹,xiu'sui'dan
秀仙师,xiu'xian'shi
徐长景,xu'chang'jing
徐店主,xu'dian'zhu
胥国,xu'guo
须弥虫,xu'mi'chong
虚天残图,xu'tian'can'tu
虚天殿,xu'tian'dian
虚天鼎,xu'tian'ding
许云,xu'yun
玄冰决,xuan'bing'jue
玄骨上人萧诧,xuan'gu'shang'ren'xiao'cha
炫光化物决,xuan'guang'hua'wu'jue
玄化鬼手,xuan'hua'gui'shou
玄黄镜,xuan'huang'jing
玄黄老人,xuan'huang'lao'ren
玄魂鬼火,xuan'hun'gui'huo
玄魂炼妖大法,xuan'hun'lian'yao'da'fa
玄魂凝骨术,xuan'hun'ning'gu'shu
璇玑长老,xuan'ji'zhang'lao
玄剑门,xuan'jian'men
玄金鸟,xuan'jin'niao
玄晶,xuan'jing
玄晶道,xuan'jing'dao
玄精寒气,xuan'jing'han'qi
玄坤山,xuan'kun'shan
宣乐,xuan'le
玄牧化婴大法,xuan'mu'hua'ying'da'fa
玄天仙藤,xuan'tian'xian'teng
玄铁飞天盾,xuan'tie'fei'tian'dun
宣姓修士,xuan'xing'xiu'shi
玄阳火地,xuan'yang'huo'di
玄阴环,xuan'yin'huan
玄阴经,xuan'yin'jing
玄阴魔气,xuan'yin'mo'qi
玄阴指,xuan'yin'zhi
玄阴之地,xuan'yin'zhi'di
玄阴之眼,xuan'yin'zhi'yan
玄英晶,xuan'ying'jing
玄月吸阴功,xuan'yue'xi'yin'gong
薛道友,xue'dao'you
雪笛仙子,xue'di'xian'zi
雪风剑法,xue'feng'jian'fa
血凤木,xue'feng'mu
血光林,xue'guang'lin
雪虹,xue'hong
雪虹绫,xue'hong'ling
雪晶珠,xue'jing'zhu
血兰,xue'lan
血雷子,xue'lei'zi
血炼神光,xue'lian'shen'guang
血灵大法,xue'ling'da'fa
雪灵水,xue'ling'shui
血灵钻,xue'ling'zuan
血罗罩,xue'luo'zhao
血魔剑,xue'mo'jian
雪魄丸,xue'po'wan
血刃堂,xue'ren'tang
血色披风,xue'se'pi'feng
血线蛟,xue'xian'jiao
血影遁,xue'ying'dun
血玉蜘蛛,xue'yu'zhi'zhu
雪云狐,xue'yun'hu
询家,xun'jia
询师兄,xun'shi'xiong
询通,xun'tong
严道友,yan'dao'you
燕歌,yan'ge
燕家,yan'jia
燕家老祖,yan'jia'lao'zu
妍丽,yan'li
燕梁山,yan'liang'shan
燕铃,yan'ling
燕翎堡,yan'ling'bao
炎灵兽,yan'ling'shou
厌瑙,yan'nao
燕奇,yan'qi
燕如嫣,yan'ru'yan
严氏,yan'shi
言师兄,yan'shi'xiong
燕文,yan'wen
演武堂,yan'wu'tang
燕玄夜,yan'xuan'ye
燕雨,yan'yu
掩月双娇多宝女,yan'yue'shuang'jiao'duo'bao'nv
掩月宗,yan'yue'zong
言咒之术,yan'zhou'zhi'shu
燕柱,yan'zhu
燕子均,yan'zi'jun
燕族,yan'zu
养魂木,yang'hun'mu
养精丹,yang'jing'dan
杨仙师,yang'xian'shi
姚锋,yao'feng
妖冠蛇,yao'guan'she
叶豹,ye'bao
叶桦城,ye'hua'cheng
叶家,ye'jia
野狼帮,ye'lang'bang
夜龙岛,ye'long'dao
夜明珠,ye'ming'zhu
叶蛇,ye'she
叶姓老者百机堂堂主,ye'xing'lao'zhe'bai'ji'tang'tang'zhu
易敬,yi'jing
一线天,yi'xian'tian
异种火蟒,yi'zhong'huo'mang
引风斋,yin'feng'zhai
银光鼠,yin'guang'shu
引魂术,yin'hun'shu
阴魂丝,yin'hun'si
引魂钟,yin'hun'zhong
阴火大阵,yin'huo'da'zhen
阴火雷,yin'huo'lei
银甲角蟒,yin'jia'jiao'mang
隐剑峰,yin'jian'feng
银角树,yin'jiao'shu
银精,yin'jing
隐灵纱,yin'ling'sha
银轮法器,yin'lun'fa'qi
阴罗长老令,yin'luo'zhang'lao'ling
阴罗宗,yin'luo'zong
阴冥兽晶魂石,yin'ming'shou'jing'hun'shi
阴冥之地,yin'ming'zhi'di
阴魔斩,yin'mo'zhan
隐匿符,yin'ni'fu
阴凝草,yin'ning'cao
引气术,yin'qi'shu
银色白钩,yin'se'bai'gou
银色古钟,yin'se'gu'zhong
银色火焰,yin'se'huo'yan
银色巨剑,yin'se'ju'jian
银色书页,yin'se'shu'ye
银色钥匙,yin'se'yao'shi
隐煞门,yin'sha'men
隐身符,yin'shen'fu
银丝鼎,yin'si'ding
阴司之界,yin'si'zhi'jie
银纹符,yin'wen'fu
隐形术,yin'xing'shu
阴阳环,yin'yang'huan
阴阳轮回决,yin'yang'lun'hui'jue
阴阳牵引术,yin'yang'qian'yin'shu
银翼鸟,yin'yi'niao
银月,yin'yue
银月狼,yin'yue'lang
婴鲤兽,ying'li'shou
英鹭,ying'lu
英珊,ying'shan
迎松居,ying'song'ju
萦香丸,ying'xiang'wan
鹰姓上阶仙师,ying'xing'shang'jie'xian'shi
鹰鸢兽,ying'yuan'shou
永曲客栈,yong'qu'ke'zhan
幽杀决,you'sha'jue
尤姓灰袍老者,you'xing'hui'pao'lao'zhe
尤姓冷面修士,you'xing'leng'mian'xiu'shi
育虫心得,yu'chong'xin'de
玉带短剑,yu'dai'duan'jian
玉儿,yu'er
御风车,yu'feng'che
御风决,yu'feng'jue
宇峰主,yu'feng'zhu
虞国,yu'guo
玉和轩,yu'he'xuan
于洪,yu'hong
于护法,yu'hu'fa
玉环居,yu'huan'ju
玉矶阁,yu'ji'ge
玉简,yu'jian
俞君,yu'jun
于坤,yu'kun
御灵宗,yu'ling'zong
玉如意古宝,yu'ru'yi'gu'bao
宇山安,yu'shan'an
羽扇法宝,yu'shan'fa'bao
玉师弟,yu'shi'di
玉髓芝,yu'sui'zhi
余贤侄,yu'xian'zhi
余兴,yu'xing
于姓百机堂执事,yu'xing'bai'ji'tang'zhi'shi
玉阳真火,yu'yang'zhen'huo
余长老,yu'zhang'lao
玉真人,yu'zhen'ren
余子童,yu'zi'tong
元磁山峰,yuan'ci'shan'feng
元磁神光,yuan'ci'shen'guang
元龟岛,yuan'gui'dao
袁家,yuan'jia
猿鹫,yuan'jiu
袁君真人,yuan'jun'zhen'ren
袁坤,yuan'kun
元明灯,yuan'ming'deng
袁师姐,yuan'shi'jie
元武国,yuan'wu'guo
袁姓弟子,yuan'xing'di'zi
元阳婴火,yuan'yang'ying'huo
元阳之火,yuan'yang'zhi'huo
元瑶,yuan'yao
月光石,yue'guang'shi
越国,yue'guo
越京,yue'jing
岳麓殿,yue'lu'dian
岳麓殿许伯,yue'lu'dian'xu'bo
月梅草,yue'mei'cao
岳堂主,yue'tang'zhu
钺姓男子,yue'xing'nan'zi
月阳宝珠,yue'yang'bao'zhu
云翅鸟,yun'chi'niao
云道友,yun'dao'you
云精石,yun'jing'shi
云露老魔,yun'lu'lao'mo
云门涧,yun'men'jian
云梦阁,yun'meng'ge
云梦山,yun'meng'shan
韵琴,yun'qin
云天啸,yun'tian'xiao
云霄心术,yun'xiao'xin'shu
云姓老者,yun'xing'lao'zhe
允州,yun'zhou
韵州,yun'zhou
造化丹,zao'hua'dan
造物仪,zao'wu'yi
增元丹,zeng'yuan'dan
眨眼剑法,zha'yan'jian'fa
詹台前辈的高徒,zhan'tai'qian'bei'de'gao'tu
张长贵,zhang'chang'gui
张大鲁,zhang'da'lu
张道友,zhang'dao'you
张二,zhang'er
张夫人,zhang'fu'ren
张家,zhang'jia
张均,zhang'jun
张铁,zhang'tie
张仙师,zhang'xian'shi
张袖儿,zhang'xiu'er
赵坤,zhao'kun
昭樵,zhao'qiao
赵长老,zhao'zhang'lao
赵子灵,zhao'zi'ling
遮天钟,zhe'tian'zhong
真极门,zhen'ji'men
真灵决,zhen'ling'jue
真魔之气,zhen'mo'zhi'qi
真阳决,zhen'yang'jue
真元丹,zhen'yuan'dan
正道盟,zheng'dao'meng
正阳劲,zheng'yang'jin
炙角鹿,zhi'jiao'lu
至木灵婴,zhi'mu'ling'ying
至阳道友,zhi'yang'dao'you
脂阳鸟,zhi'yang'niao
脂阳鸟画轴,zhi'yang'niao'hua'zhou
至元丹,zhi'yuan'dan
蜘蛛飞刀,zhi'zhu'fei'dao
钟灵道,zhong'ling'dao
仲神师,zhong'shen'shi
钟卫娘,zhong'wei'niang
钟吾,zhong'wu
钟长老,zhong'zhang'lao
周旭,zhou'xu
筑基丹,zhu'ji'dan
朱雀环,zhu'que'huan
朱砂,zhu'sha
竹筒古宝,zhu'tong'gu'bao
诛邪刺,zhu'xie'ci
追风兔,zhui'feng'tu
坠魔谷,zhui'mo'gu
坠魔令,zhui'mo'ling
卓如婷,zhuo'ru'ting
紫铖兜,zi'cheng'dou
紫道山,zi'dao'shan
紫光钹,zi'guang'bo
紫光感应珠,zi'guang'gan'ying'zhu
紫光球,zi'guang'qiu
紫猴花,zi'hou'hua
紫金国,zi'jin'guo
紫莲,zi'lian
紫罗极火,zi'luo'ji'huo
紫罗玄功,zi'luo'xuan'gong
子母峰,zi'mu'feng
紫色古镜,zi'se'gu'jing
紫色肉翅蛇,zi'se'rou'chi'she
紫色玉尺,zi'se'yu'chi
子夜花,zi'ye'hua
紫云幡,zi'yun'fan
紫云旗,zi'yun'qi
紫云鹰,zi'yun'ying
钻心虫,zuan'xin'chong
