阿达里,a'da'li
陇上,long'shang
龙摄影,long'she'ying
陇西,long'xi
陇西路,long'xi'lu
陇西路口,long'xi'lu'kou
陇西县,long'xi'xian
陇原,long'yuan
楼底哈,lou'di'ha
楼妈,lou'ma
陆军总院,lu'jun'zong'yuan
炉盘,lu'pan
碌曲,lu'qu
乱看呢,luan'kan'ne
罗玉小区,luo'yu'xiao'qu
绿队,lv'dui
绿色市场,lv'se'shi'chang
旅游大厦,lv'you'da'sha
马大胡子,ma'da'hu'zi
麻烦的很,ma'fan'de'hen
麻烦着,ma'fan'zhe
骂给,ma'gei
马虎了,ma'hu'le
骂坏了,ma'huai'le
麻辣粉,ma'la'fen
马老六,ma'lao'liu
马跑泉,ma'pao'quan
玛曲县,ma'qu'xian
马师,ma'shi
马滩,ma'tan
马小平,ma'xiao'ping
玛雅房屋,ma'ya'fang'wu
马有布,ma'you'bu
骂着呢,ma'zhe'ne
马中华,ma'zhong'hua
马卓,ma'zhuo
马子禄,ma'zi'lu
麦积,mai'ji
麦积区,mai'ji'qu
麦积山,mai'ji'shan
麦积山路,mai'ji'shan'lu
买去呢,mai'qu'ne
买上吧,mai'shang'ba
买上个,mai'shang'ge
买上了,mai'shang'le
买上了吗,mai'shang'le'ma
买上了没,mai'shang'le'mei
买上没,mai'shang'mei
买上些,mai'shang'xie
满服,man'fu
忙的很吗,mang'de'hen'ma
忙啥着呢,mang'sha'zhe'ne
忙着里,mang'zhe'li
忙着呢吗,mang'zhe'ne'ma
么治,me'zhi
没干撒,mei'gan'sa
没喝大,mei'he'da
美林郡,mei'lin'jun
每日甘肃,mei'ri'gan'su
没撒,mei'sa
没撒事,mei'sa'shi
没撒意思,mei'sa'yi'si
没说撒,mei'shuo'sa
没心吃,mei'xin'chi
没有木,mei'you'mu
没有着,mei'you'zhe
没咋没咋,mei'za'mei'za
没找上,mei'zhao'shang
没组撒,mei'zu'sa
门源,men'yuan
孟坝,meng'ba
迷蝶,mi'die
面皮子,mian'pi'zi
面片,mian'pian
面片子,mian'pian'zi
庙滩子,miao'tan'zi
民安大厦,min'an'da'sha
民百,min'bai
民和,min'he
闵家桥,min'jia'qiao
民乐县,min'le'xian
民勤,min'qin
民勤县,min'qin'xian
岷县,min'xian
民乐乡,min'yue'xiang
民主东路,min'zhu'dong'lu
民主西路,min'zhu'xi'lu
明个天,ming'ge'tian
莫高,mo'gao
磨沟沿,mo'gou'yan
默默子,mo'mo'zi
牟家庄,mou'jia'zhuang
木不,mu'bu
木不来,mu'bu'lai
木家对,mu'jia'dui
木就,mu'jiu
木就是,mu'jiu'shi
木来,mu'lai
木囊,mu'nang
木你,mu'ni
木你就,mu'ni'jiu
木你来,mu'ni'lai
木你们,mu'ni'men
木你是,mu'ni'shi
木你说,mu'ni'shuo
木你以为,mu'ni'yi'wei
木撒,mu'sa
木塔巷,mu'ta'xiang
木我,mu'wo
木着,mu'zhe
那烦得很,na'fan'de'hen
那个姑娘,na'ge'gu'niang
那个小伙,na'ge'xiao'huo
那好着呢,na'hao'zhe'ne
那就合适,na'jiu'he'shi
那就来了,na'jiu'lai'le
那看你吧,na'kan'ni'ba
哪里里,na'li'li
那么家,na'me'jia
那你这会,na'ni'zhe'hui
那说不上,na'shuo'bu'shang
那我就来了,na'wo'jiu'lai'le
那我这会,na'wo'zhe'hui
那行呢,na'xing'ne
那也好着呢,na'ye'hao'zhe'ne
那也行呢,na'ye'xing'ne
那有撒,na'you'sa
乃就,nai'jiu
乃就好,nai'jiu'hao
南滨河,nan'bin'he
南滨河路,nan'bin'he'lu
南关,nan'guan
南关的,nan'guan'de
南关了,nan'guan'le
南关呢,nan'guan'ne
南关十字,nan'guan'shi'zi
南郭寺,nan'guo'si
南河道,nan'he'dao
南河路,nan'he'lu
南河滩,nan'he'tan
难看的很,nan'kan'de'hen
南面滩,nan'mian'tan
难受坏了,nan'shou'huai'le
脑子不合适,nao'zi'bu'he'shi
呢必须,ne'bi'xu
呢就好,ne'jiu'hao
呢我们,ne'wo'men
内官,nei'guan
能得很,neng'de'hen
能等住,neng'deng'zhu
能干撒,neng'gan'sa
能找上,neng'zhao'shang
你把人,ni'ba'ren
你把药,ni'ba'yao
你不瞌睡吗,ni'bu'ke'shui'ma
你不在兰州,ni'bu'zai'lan'zhou
你吃的撒,ni'chi'de'sa
你吃撒,ni'chi'sa
你吃上,ni'chi'shang
你但,ni'dan
你到兰州,ni'dao'lan'zhou
你等不住,ni'deng'bu'zhu
你干嘛去呢,ni'gan'ma'qu'ne
你干嘛这么,ni'gan'ma'zhe'me
你干嘛着呢,ni'gan'ma'zhe'ne
你干撒,ni'gan'sa
你干撒里,ni'gan'sa'li
你干撒呢,ni'gan'sa'ne
你干撒着呢,ni'gan'sa'zhe'ne
你干啥着呢,ni'gan'sha'zhe'ne
你哥的腰子,ni'ge'de'yao'zi
你管的多,ni'guan'de'duo
你还不是你了,ni'hai'bu'shi'ni'le
你好些没,ni'hao'xie'mei
你好着,ni'hao'zhe
你好着吗,ni'hao'zhe'ma
你好这么,ni'hao'zhe'me
你好着没,ni'hao'zhe'mei
你好着呢,ni'hao'zhe'ne
你好着呢吧,ni'hao'zhe'ne'ba
你喝大,ni'he'da
你喝大了,ni'he'da'le
你回了没,ni'hui'le'mei
你见了没,ni'jian'le'mei
你接上,ni'jie'shang
你就一天,ni'jiu'yi'tian
你看一哈,ni'kan'yi'ha
你瞌睡了吗,ni'ke'shui'le'ma
你瞌睡了没,ni'ke'shui'le'mei
你可笑,ni'ke'xiao
你口,ni'kou
你快些,ni'kuai'xie
你来兰州,ni'lai'lan'zhou
你来兰州了,ni'lai'lan'zhou'le
你来啥,ni'lai'sha
你懒死,ni'lan'si
你兰州,ni'lan'zhou
你了睡了吗,ni'le'shui'le'ma
你们撒时候,ni'men'sa'shi'hou
你们这会,ni'men'zhe'hui
你能得很,ni'neng'de'hen
你破烦,ni'po'fan
你撒情况,ni'sa'qing'kuang
你撒时候,ni'sa'shi'hou
你撒意思,ni'sa'yi'si
你傻着呢,ni'sha'zhe'ne
你实话,ni'shi'hua
你是兰州,ni'shi'lan'zhou
你是兰州的,ni'shi'lan'zhou'de
你睡下了吗,ni'shui'xia'le'ma
你睡下了没,ni'shui'xia'le'mei
你说的撒,ni'shuo'de'sa
你死不死,ni'si'bu'si
你死哈,ni'si'ha
你死呢,ni'si'ne
你躺下了没,ni'tang'xia'le'mei
你天水,ni'tian'shui
你完了没,ni'wan'le'mei
你为怕,ni'wei'pa
你为撒,ni'wei'sa
你问一哈,ni'wen'yi'ha
你我哈,ni'wo'ha
你想吃撒,ni'xiang'chi'sa
你想干撒,ni'xiang'gan'sa
你要撒,ni'yao'sa
你也早些睡,ni'ye'zao'xie'shui
你一个吗,ni'yi'ge'ma
你以为来,ni'yi'wei'lai
你有撒,ni'you'sa
你咋的呢,ni'za'de'ne
你咋着呢,ni'za'zhe'ne
你咋这里,ni'za'zhei'li
你在安宁,ni'zai'an'ning
你在别,ni'zai'bie
你在不管,ni'zai'bu'guan
你在不管了,ni'zai'bu'guan'le
你在不要,ni'zai'bu'yao
你在兰州,ni'zai'lan'zhou
你在兰州吗,ni'zai'lan'zhou'ma
你在天水,ni'zai'tian'shui
你在西固,ni'zai'xi'gu
你在西站,ni'zai'xi'zhan
你早些睡,ni'zao'xie'shui
你这会,ni'zhe'hui
你这会干嘛,ni'zhe'hui'gan'ma
你这会干嘛呢,ni'zhe'hui'gan'ma'ne
你这会在,ni'zhe'hui'zai
你这会在干嘛,ni'zhe'hui'zai'gan'ma
你这会在哪,ni'zhe'hui'zai'na
你这会在哪呢,ni'zhe'hui'zai'na'ne
你着呢,ni'zhe'ne
你组撒,ni'zu'sa
你组撒了,ni'zu'sa'le
你组撒里,ni'zu'sa'li
你组撒呢,ni'zu'sa'ne
你组撒着呢,ni'zu'sa'zhe'ne
你组撒这里,ni'zu'sa'zhei'li
你组啥,ni'zu'sha
年过完,nian'guo'wan
年钱,nian'qian
年说,nian'shuo
娘娘坝,niang'niang'ba
酿皮,niang'pi
酿皮子,niang'pi'zi
尿憋,niao'bie
宁卧庄,ning'wo'zhuang
宁县,ning'xian
牛大,niu'da
牛大碗,niu'da'wan
牛牛面,niu'niu'mian
牛牛子,niu'niu'zi
牛肉面,niu'rou'mian
牛肉面吧,niu'rou'mian'ba
牛肉面馆,niu'rou'mian'guan
牛肉面了,niu'rou'mian'le
农民巷,nong'min'xiang
农牧厅,nong'mu'ting
暖锅,nuan'guo
爬山走,pa'shan'zou
牌坊路,pai'fang'lu
排洪南路,pai'hong'nan'lu
盘旋路,pan'xuan'lu
盘旋律,pan'xuan'lv
胖妈妈,pang'ma'ma
陪不住,pei'bu'zhu
沛丰,pei'feng
培黎广场,pei'li'guang'chang
彭家坪,peng'jia'ping
屁的话,pi'de'hua
皮革厂,pi'ge'chang
啤酒广场,pi'jiu'guang'chang
啤酒摊,pi'jiu'tan
骗不来,pian'bu'lai
片传,pian'chuan
片过,pian'guo
片来,pian'lai
嫖风,piao'feng
平川,ping'chuan
平川区,ping'chuan'qu
平达,ping'da
平凉,ping'liang
平凉的,ping'liang'de
平凉了,ping'liang'le
平凉路,ping'liang'lu
平凉市,ping'liang'shi
凭撒,ping'sa
破蛋日了,po'dan'ri'le
破烦,po'fan
破烦的,po'fan'de
破烦得很,po'fan'de'hen
破烦了,po'fan'le
破烦事,po'fan'shi
破烦死,po'fan'si
破烦死了,po'fan'si'le
破烦着,po'fan'zhe
普禾,pu'he
铺子里,pu'zi'li
七建,qi'jian
七里墩,qi'li'dun
七里河,qi'li'he
七里河桥,qi'li'he'qiao
七里河区,qi'li'he'qu
祁连山,qi'lian'shan
气死呢,qi'si'ne
汽修二厂,qi'xiu'er'chang
乾撒,qian'sa
牵心,qian'xin
炝锅鱼,qiang'guo'yu
撬杠,qiao'gang
茄辣西,qie'la'xi
秦安,qin'an
秦安路,qin'an'lu
秦安县,qin'an'xian
秦川,qin'chuan
亲卡,qin'ka
秦腔,qin'qiang
秦王川,qin'wang'chuan
秦州区,qin'zhou'qu
青白石,qing'bai'shi
请不上,qing'bu'shang
请不上假,qing'bu'shang'jia
庆城,qing'cheng
庆城县,qing'cheng'xian
青海湖,qing'hai'hu
请上假,qing'shang'jia
清水桥,qing'shui'qiao
清水县,qing'shui'xian
庆阳,qing'yang
庆阳的,qing'yang'de
庆阳路,qing'yang'lu
庆阳人,qing'yang'ren
庆阳市,qing'yang'shi
请阅览,qing'yue'lan
清真的,qing'zhen'de
求事情,qiu'shi'qing
求娃娃,qiu'wa'wa
求样子,qiu'yang'zi
去安宁,qu'an'ning
去白银,qu'bai'yin
去病,qu'bing
去不哈,qu'bu'ha
取不上,qu'bu'shang
去定西,qu'ding'xi
去东部,qu'dong'bu
去敦煌,qu'dun'huang
取个东西,qu'ge'dong'xi
去黄河边,qu'huang'he'bian
去酒泉,qu'jiu'quan
去兰大,qu'lan'da
去兰州,qu'lan'zhou
去兰州了,qu'lan'zhou'le
去临夏,qu'lin'xia
去刘家峡,qu'liu'jia'xia
去呢吗,qu'ne'ma
去呢么,qu'ne'me
去呢那,qu'ne'na
去青海,qu'qing'hai
去青海湖,qu'qing'hai'hu
取上,qu'shang
取上了,qu'shang'le
去天水,qu'tian'shui
去武威,qu'wu'wei
去西固,qu'xi'gu
去西关,qu'xi'guan
去西宁,qu'xi'ning
去西站,qu'xi'zhan
去榆中,qu'yu'zhong
去张掖,qu'zhang'ye
去着呢,qu'zhe'ne
确实了,que'shi'le
人不成,ren'bu'cheng
人多着,ren'duo'zhe
忍哈,ren'ha
仁恒国际,ren'heng'guo'ji
任家庄,ren'jia'zhuang
仁寿山,ren'shou'shan
日奶奶,ri'nai'nai
日你哥,ri'ni'ge
日皮,ri'pi
日眼,ri'yan
日眼的,ri'yan'de
日月山,ri'yue'shan
肉蛋双飞,rou'dan'shuang'fei
肉馅饼,rou'xian'bing
瑞德摩尔,rui'de'mo'er
撒表情,sa'biao'qing
撒电视,sa'dian'shi
撒电影,sa'dian'ying
撒都不会,sa'dou'bu'hui
撒都不知道,sa'dou'bu'zhi'dao
撒都没有,sa'dou'mei'you
撒都有,sa'dou'you
撒感觉,sa'gan'jue
撒关系,sa'guan'xi
撒活动,sa'huo'dong
撒名字,sa'ming'zi
撒牌子,sa'pai'zi
撒情况,sa'qing'kuang
撒啥,sa'sha
撒时候,sa'shi'hou
撒时候回来,sa'shi'hou'hui'lai
撒时候来,sa'shi'hou'lai
撒时间,sa'shi'jian
撒事情,sa'shi'qing
撒问题,sa'wen'ti
撒呀,sa'ya
撒颜色,sa'yan'se
撒样子,sa'yang'zi
撒一个,sa'yi'ge
撒意思,sa'yi'si
撒游戏,sa'you'xi
撒原因,sa'yuan'yin
撒着呢,sa'zhe'ne
撒作业,sa'zuo'ye
赛弛,sai'chi
散饭,san'fan
三甲集,san'jia'ji
三角城,san'jiao'cheng
三角线,san'jiao'xian
三马子,san'ma'zi
三泡台,san'pao'tai
三森,san'sen
三十三中,san'shi'san'zhong
三台阁,san'tai'ge
三阳川,san'yang'chuan
三易花园,san'yi'hua'yuan
桑科,sang'ke
骚情,sao'qing
臊子面,sao'zi'mian
色兰,se'lan
森林雨,sen'lin'yu
莎不莎,sha'bu'sha
沙尘,sha'chen
沙城暴,sha'cheng'bao
沙井驿,sha'jing'yi
沙坡头,sha'po'tou
傻娃娃,sha'wa'wa
傻着呢,sha'zhe'ne
山丹,shan'dan
山丹街,shan'dan'jie
山丹县,shan'dan'xian
上班着没,shang'ban'zhe'mei
上班着呢,shang'ban'zhe'ne
上沟,shang'gou
伤哈,shang'ha
上课着呢,shang'ke'zhe'ne
上来里,shang'lai'li
上兰州,shang'lan'zhou
上网走,shang'wang'zou
上西园,shang'xi'yuan
上些,shang'xie
伤心着,shang'xin'zhe
商学院的,shang'xue'yuan'de
上窑,shang'yao
上着没,shang'zhe'mei
少喝些,shao'he'xie
少喝这,shao'he'zhe
稍微一等,shao'wei'yi'deng
少学我,shao'xue'wo
社火,she'huo
什川,shen'chuan
深沟桥,shen'gou'qiao
什字,shen'zi
盛鼎,sheng'ding
省妇幼,sheng'fu'you
剩哈,sheng'ha
省木材,sheng'mu'cai
生气得很,sheng'qi'de'hen
省上,sheng'shang
省卫校,sheng'wei'xiao
生物所,sheng'wu'suo
生政府,sheng'zheng'fu
屎憋,shi'bie
十川,shi'chuan
时代伟业,shi'dai'wei'ye
石洞镇,shi'dong'zhen
十二街,shi'er'jie
市二院,shi'er'yuan
石佛沟,shi'fo'gou
是个撒,shi'ge'sa
石化公司,shi'hua'gong'si
世纪金徽,shi'ji'jin'hui
世纪新村,shi'ji'xin'cun
试考完,shi'kao'wan
试考完了,shi'kao'wan'le
是兰州,shi'lan'zhou
十里店,shi'li'dian
事情多的很,shi'qing'duo'de'hen
是撒意思,shi'sa'yi'si
市上,shi'shang
时尚百盛,shi'shang'bai'sheng
仕通,shi'tong
石头坪,shi'tou'ping
十一街,shi'yi'jie
石油大厦,shi'you'da'sha
受水,shou'shui
书包袋子,shu'bao'dai'zi
舒服着,shu'fu'zhe
薯格,shu'ge
蜀九香,shu'jiu'xiang
书立方,shu'li'fang
输液体,shu'ye'ti
耍走,shua'zou
双城门,shuang'cheng'men
双联,shuang'lian
睡昂,shui'ang
水车园,shui'che'yuan
水川,shui'chuan
水阜,shui'fu
水挂庄,shui'gua'zhuang
睡哈了,shui'ha'le
睡觉去呢,shui'jiao'qu'ne
睡觉着呢,shui'jiao'zhe'ne
睡呢吗,shui'ne'ma
睡下了没,shui'xia'le'mei
说不成,shuo'bu'cheng
说不成了,shuo'bu'cheng'le
说不上啊,shuo'bu'shang'a
说不上呢,shuo'bu'shang'ne
说的撒,shuo'de'sa
说给了,shuo'gei'le
说哈的,shuo'ha'de
说话啥,shuo'hua'sha
说卡,shuo'ka
说撒了,shuo'sa'le
说撒呢,shuo'sa'ne
说着呢,shuo'zhe'ne
寺儿沟,si'er'gou
四号店,si'hao'dian
死呢吗,si'ne'ma
死去呢,si'qu'ne
死是个,si'shi'ge
死远,si'yuan
松鸣岩,song'ming'yan
怂娃娃,song'wa'wa
怂样子,song'yang'zi
肃北,su'bei
速度带上,su'du'dai'shang
苏浙汇,su'zhe'hui
肃州区,su'zhou'qu
蒜苗子,suan'miao'zi
算求子,suan'qiu'zi
酸汤面,suan'tang'mian
岁娃娃,sui'wa'wa
孙家台,sun'jia'tai
塔尔寺,ta'er'si
踏死,ta'si
他在兰州,ta'zai'lan'zhou
她这会,ta'zhe'hui
太极岛,tai'ji'dao
太口,tai'kou
太口了,tai'kou'le
太心疼了,tai'xin'teng'le
宕昌,tan'chang
滩尖子,tan'jian'zi
躺哈,tang'ha
躺哈了,tang'ha'le
讨吃,tao'chi
桃海,tao'hai
洮河,tao'he
桃花会,tao'hua'hui
桃树坪,tao'shu'ping
特别可笑,te'bie'ke'xiao
特可笑,te'ke'xiao
特心疼,te'xin'teng
疼坏了,teng'huai'le
提饭,ti'fan
踢石头,ti'shi'tou
体育公园,ti'yu'gong'yuan
甜胚子,tian'pei'zi
天庆花园,tian'qing'hua'yuan
天庆嘉园,tian'qing'jia'yuan
天山堂,tian'shan'tang
天水,tian'shui
天水北路,tian'shui'bei'lu
天水的,tian'shui'de
天水话,tian'shui'hua
天水了,tian'shui'le
天水路,tian'shui'lu
天水吗,tian'shui'ma
天水南路,tian'shui'nan'lu
天水呢,tian'shui'ne
天水人,tian'shui'ren
天水市,tian'shui'shi
天水师范,tian'shui'shi'fan
天水在线,tian'shui'zai'xian
天祝,tian'zhu
天祝县,tian'zhu'xian
铁二中,tie'er'zhong
铁路西村,tie'lu'xi'cun
铁路新村,tie'lu'xin'cun
铁四小,tie'si'xiao
铁一小,tie'yi'xiao
铁一院,tie'yi'yuan
铁院,tie'yuan
统办,tong'ban
通渭,tong'wei
通渭路,tong'wei'lu
通渭县,tong'wei'xian
通着呢,tong'zhe'ne
头不对,tou'bu'dui
头不合适,tou'bu'he'shi
头锅,tou'guo
吐鲁沟,tu'lu'gou
土门墩,tu'men'dun
团结新村,tuan'jie'xin'cun
娃乖,wa'guai
挖酒,wa'jiu
外高,wai'gao
外个,wai'ge
外哈,wai'ha
外就,wai'jiu
外就好,wai'jiu'hao
外贸厅,wai'mao'ting
外些,wai'xie
玩开心了,wan'kai'xin'le
完了打电话,wan'le'da'dian'hua
完了给你,wan'le'gei'ni
完了给你打电话,wan'le'gei'ni'da'dian'hua
完了给你说,wan'le'gei'ni'shuo
完了给我,wan'le'gei'wo
完了看,wan'le'kan
完了联系,wan'le'lian'xi
完了聊,wan'le'liao
完了说,wan'le'shuo
完了说吧,wan'le'shuo'ba
完了再聊,wan'le'zai'liao
完了再说,wan'le'zai'shuo
完了再说吧,wan'le'zai'shuo'ba
晚上吃了没,wan'shang'chi'le'mei
万商国际,wan'shang'guo'ji
玩着没,wan'zhe'mei
旺店,wang'dian
往过来,wang'guo'lai
望河丽景,wang'he'li'jing
王家山,wang'jia'shan
王三运,wang'san'yun
微货,wei'huo
味美滋,wei'mei'zi
为民富民,wei'min'fu'min
为撒啊,wei'sa'a
为撒呀,wei'sa'ya
魏英,wei'ying
渭源,wei'yuan
渭源路,wei'yuan'lu
渭源县,wei'yuan'xian
问不上,wen'bu'shang
问卡,wen'ka
问上了,wen'shang'le
闻欣堂,wen'xin'tang
问这呢,wen'zhe'ne
我把你个,wo'ba'ni'ge
我背不住,wo'bei'bu'zhu
我背不住了,wo'bei'bu'zhu'le
我不可笑,wo'bu'ke'xiao
我不可笑吗,wo'bu'ke'xiao'ma
我不可笑么,wo'bu'ke'xiao'me
我不么,wo'bu'me
我不羞,wo'bu'xiu
我不在兰州,wo'bu'zai'lan'zhou
我不知道这,wo'bu'zhi'dao'zhe
我但,wo'dan
我到兰州,wo'dao'lan'zhou
我到兰州了,wo'dao'lan'zhou'le
我的娃,wo'de'wa
我等不住,wo'deng'bu'zhu
我等不住了,wo'deng'bu'zhu'le
我等你这,wo'deng'ni'zhe
我滴娃,wo'di'wa
我都有心,wo'dou'you'xin
我干撒,wo'gan'sa
我甘肃,wo'gan'su
我给你发过来,wo'gei'ni'fa'guo'lai
我给你给,wo'gei'ni'gei
我给你教,wo'gei'ni'jiao
我给说了,wo'gei'shuo'le
我给咱们,wo'gei'zan'men
我害怕呢,wo'hai'pa'ne
我还睡着呢,wo'hai'shui'zhao'ne
我还说不上,wo'hai'shuo'bu'shang
我还在兰州,wo'hai'zai'lan'zhou
我好着呢,wo'hao'zhe'ne
我喝大,wo'he'da
我喝大了,wo'he'da'le
我回兰州,wo'hui'lan'zhou
我接你来,wo'jie'ni'lai
我就疯了,wo'jiu'feng'le
我就够了,wo'jiu'gou'le
我就可笑了,wo'jiu'ke'xiao'le
我就气死了,wo'jiu'qi'si'le
我就日了,wo'jiu'ri'le
我就晕,wo'jiu'yun
我就晕了,wo'jiu'yun'le
我就晕死,wo'jiu'yun'si
我就醉了,wo'jiu'zui'le
我看来了,wo'kan'lai'le
我看一哈,wo'kan'yi'ha
我瞌睡着,wo'ke'shui'zhe
我可笑,wo'ke'xiao
我哭呢,wo'ku'ne
我垮了,wo'kua'le
我来兰州,wo'lai'lan'zhou
我来取,wo'lai'qu
我懒得很,wo'lan'de'hen
我兰州,wo'lan'zhou
我兰州的,wo'lan'zhou'de
我累的很,wo'lei'de'hen
我买上了,wo'mai'shang'le
我们一起的,wo'men'yi'qi'de
我们院子,wo'men'yuan'zi
我们这会,wo'men'zhe'hui
我木着,wo'mu'zhe
我难受得很,wo'nan'shou'de'hen
我你哈,wo'ni'ha
我去兰州,wo'qu'lan'zhou
我撒都,wo'sa'dou
我撒时候,wo'sa'shi'hou
我上班着呢,wo'shang'ban'zhe'ne
我是兰州,wo'shi'lan'zhou
我是兰州的,wo'shi'lan'zhou'de
我说不上,wo'shuo'bu'shang
我说撒,wo'shuo'sa
我为撒,wo'wei'sa
我闲着呢,wo'xian'zhe'ne
我想你得很,wo'xiang'ni'de'hen
我信呢,wo'xin'ne
我羞了,wo'xiu'le
我也不知道这,wo'ye'bu'zhi'dao'zhe
我也吃呢,wo'ye'chi'ne
我也好着呢,wo'ye'hao'zhe'ne
我也就睡了,wo'ye'jiu'shui'le
我也去呢,wo'ye'qu'ne
我也睡呢,wo'ye'shui'ne
我也说不上,wo'ye'shuo'bu'shang
我也要呢,wo'ye'yao'ne
我也在兰州,wo'ye'zai'lan'zhou
我一会就来了,wo'yi'hui'jiu'lai'le
我一起的,wo'yi'qi'de
我有撒,wo'you'sa
我在安宁,wo'zai'an'ning
我在白银,wo'zai'bai'yin
我在不来了,wo'zai'bu'lai'le
我在不去了,wo'zai'bu'qu'le
我在不说了,wo'zai'bu'shuo'le
我在不想,wo'zai'bu'xiang
我在甘肃,wo'zai'gan'su
我在兰州,wo'zai'lan'zhou
我在兰州啊,wo'zai'lan'zhou'a
我在兰州呢,wo'zai'lan'zhou'ne
我在没,wo'zai'mei
我在没有,wo'zai'mei'you
我在南关,wo'zai'nan'guan
我在天水,wo'zai'tian'shui
我在西固,wo'zai'xi'gu
我在西关,wo'zai'xi'guan
我在西站,wo'zai'xi'zhan
我在雁滩,wo'zai'yan'tan
我找不上,wo'zhao'bu'shang
我找你来,wo'zhao'ni'lai
我这会,wo'zhe'hui
我这会在,wo'zhe'hui'zai
我组撒,wo'zu'sa
五都路,wu'dou'lu
武都,wu'du
武都路,wu'du'lu
武都区,wu'du'qu
吴家园,wu'jia'yuan
屋里里,wu'li'li
五里铺,wu'li'pu
物理院,wu'li'yuan
吾穆勒,wu'mu'le
乌鞘岭,wu'qiao'ling
五泉,wu'quan
五泉广场,wu'quan'guang'chang
五泉山,wu'quan'shan
五泉下广场,wu'quan'xia'guang'chang
武山,wu'shan
武山县,wu'shan'xian
武胜驿,wu'sheng'yi
武威,wu'wei
武威的,wu'wei'de
武威了,wu'wei'le
武威人,wu'wei'ren
武威市,wu'wei'shi
五星坪,wu'xing'ping
五一山,wu'yi'shan
五洲豪爵,wu'zhou'hao'jue
西北宾馆,xi'bei'bin'guan
西北民大,xi'bei'min'da
西北民族,xi'bei'min'zu
西北民族大学,xi'bei'min'zu'da'xue
西北人,xi'bei'ren
西北人才,xi'bei'ren'cai
西北人才网,xi'bei'ren'cai'wang
西北师大,xi'bei'shi'da
西北师大附中,xi'bei'shi'da'fu'zhong
西北师范,xi'bei'shi'fan
西北师范大学,xi'bei'shi'fan'da'xue
西北书城,xi'bei'shu'cheng
西北望,xi'bei'wang
西北新村,xi'bei'xin'cun
西北中学,xi'bei'zhong'xue
系不,xi'bu
西部欢乐,xi'bu'huan'le
西部欢乐园,xi'bu'huan'le'yuan
西部钱柜,xi'bu'qian'gui
西部商报,xi'bu'shang'bao
西部市场,xi'bu'shi'chang
西地所,xi'di'suo
西峰,xi'feng
西峰区,xi'feng'qu
西固,xi'gu
西固城,xi'gu'cheng
西固的,xi'gu'de
西固公园,xi'gu'gong'yuan
西固了,xi'gu'le
西固呢,xi'gu'ne
西固区,xi'gu'qu
西固人家,xi'gu'ren'jia
西关,xi'guan
西关吧,xi'guan'ba
西关的,xi'guan'de
西关见,xi'guan'jian
西关了,xi'guan'le
西关呢,xi'guan'ne
西关什字,xi'guan'shen'zi
西关十字,xi'guan'shi'zi
西果园,xi'guo'yuan
西和县,xi'he'xian
西湖公园,xi'hu'gong'yuan
曦华源,xi'hua'yuan
西津东路,xi'jin'dong'lu
西津西路,xi'jin'xi'lu
西宁,xi'ning
西宁了,xi'ning'le
西太华,xi'tai'hua
洗完锅,xi'wan'guo
洗浴城,xi'yu'cheng
洗澡走,xi'zao'zou
西站,xi'zhan
西站吧,xi'zhan'ba
西站的,xi'zhan'de
西站店,xi'zhan'dian
西站了,xi'zhan'le
西站呢,xi'zhan'ne
下沟,xia'gou
夏官营,xia'guan'ying
下广场,xia'guang'chang
夏河县,xia'he'xian
下苦,xia'ku
下兰州,xia'lan'zhou
下湿,xia'shi
下市里,xia'shi'li
吓死呢,xia'si'ne
下西园,xia'xi'yuan
下窑,xia'yao
下雨着,xia'yu'zhe
下雨着呢,xia'yu'zhe'ne
闲呆,xian'dai
闲呆着,xian'dai'zhe
闲呆着呢,xian'dai'zhe'ne
闲哈,xian'ha
闲了吗,xian'le'ma
闲了说,xian'le'shuo
闲了再聊,xian'le'zai'liao
仙人崖,xian'ren'ya
献血证,xian'xue'zheng
缐月平,xian'yue'ping
闲着里,xian'zhe'li
闲着没,xian'zhe'mei
闲坐着,xian'zuo'zhe
乡棒,xiang'bang
香池,xiang'chi
想吃撒,xiang'chi'sa
想干撒,xiang'gan'sa
香慧,xiang'hui
想卡,xiang'ka
香满楼,xiang'man'lou
想你的很,xiang'ni'de'hen
想你着,xiang'ni'zhe
相片子,xiang'pian'zi
想夜路,xiang'ye'lu
小不低,xiao'bu'di
小肥牛,xiao'fei'niu
肖金,xiao'jin
效能风暴,xiao'neng'feng'bao
小平方,xiao'ping'fang
小西湖,xiao'xi'hu
小心疼,xiao'xin'teng
笑着呢,xiao'zhe'ne
鑫报,xin'bao
新东部,xin'dong'bu
新都里,xin'du'li
新港城,xin'gang'cheng
新广,xin'guang
新交互,xin'jiao'hu
辛苦着,xin'ku'zhe
心疼吧,xin'teng'ba
心疼的很,xin'teng'de'hen
心疼很,xin'teng'hen
心疼着,xin'teng'zhe
新天乐,xin'tian'le
新通力,xin'tong'li
信息院,xin'xi'yuan
幸福巷,xing'fu'xiang
幸福这,xing'fu'zhe
兴隆山,xing'long'shan
行呢,xing'ne
行呢呗,xing'ne'bei
行呢么,xing'ne'me
秀川,xiu'chuan
羞得很,xiu'de'hen
徐家山,xu'jia'shan
徐家湾,xu'jia'wan
喧的,xuan'de
喧关,xuan'guan
喧会,xuan'hui
喧一会,xuan'yi'hui
