阿党,a'dang
法院直接受理的刑事案件,fa'yuan'zhi'jie'shou'li'de'xing'shi'an'jian
法院主席团,fa'yuan'zhu'xi'tuan
法院组织,fa'yuan'zu'zhi
法哲学原理,fa'zhe'xue'yuan'li
法治国,fa'zhi'guo
犯跸,fan'bi
反动会道门,fan'dong'hui'dao'men
反对劫持人质国际公约,fan'dui'jie'chi'ren'zhi'guo'ji'gong'yue
反对解释,fan'dui'jie'shi
反复型,fan'fu'xing
反革命犯,fan'ge'ming'fan
反革命集团,fan'ge'ming'ji'tuan
反革命累犯,fan'ge'ming'lei'fan
反革命破坏罪,fan'ge'ming'po'huai'zui
反革命杀人罪,fan'ge'ming'sha'ren'zui
反革命伤人罪,fan'ge'ming'shang'ren'zui
反革命宣传煽动罪,fan'ge'ming'xuan'chuan'shan'dong'zui
反革命罪,fan'ge'ming'zui
反和平罪,fan'he'ping'zui
犯后预测,fan'hou'yu'ce
犯后预防,fan'hou'yu'fang
贩卖毒品罪,fan'mai'du'pin'zui
贩卖假药罪,fan'mai'jia'yao'zui
贩卖淫书淫画罪,fan'mai'yin'shu'yin'hua'zui
番木碱中毒,fan'mu'jian'zhong'du
犯前预防,fan'qian'yu'fang
犯人,fan'ren
犯人档案卡片,fan'ren'dang'an'ka'pian
反人道罪,fan'ren'dao'zui
犯人合法权利,fan'ren'he'fa'quan'li
犯人技术教育,fan'ren'ji'shu'jiao'yu
犯人技术津贴,fan'ren'ji'shu'jin'tie
犯人假定工资,fan'ren'jia'ding'gong'zi
犯人奖金,fan'ren'jiang'jin
犯人接见,fan'ren'jie'jian
犯人考工定级,fan'ren'kao'gong'ding'ji
犯人零用钱,fan'ren'ling'yong'qian
犯人守则,fan'ren'shou'ze
犯人通信,fan'ren'tong'xin
犯人文化教育,fan'ren'wen'hua'jiao'yu
犯人小组长,fan'ren'xiao'zu'zhang
犯人义务,fan'ren'yi'wu
犯人邮汇,fan'ren'you'hui
犯人政治思想教育,fan'ren'zheng'zhi'si'xiang'jiao'yu
反社会党人非常法,fan'she'hui'dang'ren'fei'chang'fa
反射刑,fan'she'xing
贩私,fan'si
反诉,fan'su
犯刑法错误,fan'xing'fa'cuo'wu
反询问,fan'xun'wen
犯夜,fan'ye
犯意,fan'yi
犯意表示,fan'yi'biao'shi
犯意产生,fan'yi'chan'sheng
犯意决意,fan'yi'jue'yi
翻译人员,fan'yi'ren'yuan
反应性精神病,fan'ying'xing'jing'shen'bing
贩运伪造的国家货币罪,fan'yun'wei'zao'de'guo'jia'huo'bi'zui
范仲淹,fan'zhong'yan
犯罪,fan'zui
犯罪暗数,fan'zui'an'shu
犯罪饱和法则,fan'zui'bao'he'fa'ze
犯罪测量,fan'zui'ce'liang
犯罪的本质,fan'zui'de'ben'zhi
犯罪的客观方面,fan'zui'de'ke'guan'fang'mian
犯罪的客观要件,fan'zui'de'ke'guan'yao'jian
犯罪的社会动机,fan'zui'de'she'hui'dong'ji
犯罪的天然动机,fan'zui'de'tian'ran'dong'ji
犯罪的主观方面,fan'zui'de'zhu'guan'fang'mian
犯罪地,fan'zui'di
犯罪地点,fan'zui'di'dian
犯罪定型说,fan'zui'ding'xing'shuo
犯罪动机,fan'zui'dong'ji
犯罪动机的恶性发展,fan'zui'dong'ji'de'e'xing'fa'zhan
犯罪动机的良性转化,fan'zui'dong'ji'de'liang'xing'zhuan'hua
犯罪动态,fan'zui'dong'tai
犯罪对策学,fan'zui'dui'ce'xue
犯罪对象,fan'zui'dui'xiang
犯罪多因论,fan'zui'duo'yin'lun
犯罪法,fan'zui'fa
犯罪方法,fan'zui'fang'fa
犯罪方式,fan'zui'fang'shi
犯罪共同说,fan'zui'gong'tong'shuo
犯罪构成,fan'zui'gou'cheng
犯罪构成的分类,fan'zui'gou'cheng'de'fen'lei
犯罪构成要件,fan'zui'gou'cheng'yao'jian
犯罪构成要件要素,fan'zui'gou'cheng'yao'jian'yao'su
犯罪观,fan'zui'guan
犯罪过程,fan'zui'guo'cheng
犯罪函数论,fan'zui'han'shu'lun
犯罪和犯罪要件,fan'zui'he'fan'zui'yao'jian
犯罪黑数,fan'zui'hei'shu
犯罪技术,fan'zui'ji'shu
犯罪既遂,fan'zui'ji'sui
犯罪集团,fan'zui'ji'tuan
犯罪机遇,fan'zui'ji'yu
犯罪阶段,fan'zui'jie'duan
犯罪结构,fan'zui'jie'gou
犯罪结果,fan'zui'jie'guo
犯罪结伙,fan'zui'jie'huo
犯罪客体,fan'zui'ke'ti
犯罪类型,fan'zui'lei'xing
犯罪类型学,fan'zui'lei'xing'xue
犯罪流露,fan'zui'liu'lu
犯罪论,fan'zui'lun
犯罪目的,fan'zui'mu'di
犯罪内因论,fan'zui'nei'yin'lun
犯罪牵连行为,fan'zui'qian'lian'xing'wei
犯罪情节,fan'zui'qing'jie
犯罪倾向,fan'zui'qing'xiang
犯罪人类学,fan'zui'ren'lei'xue
犯罪人论,fan'zui'ren'lun
犯罪少年,fan'zui'shao'nian
犯罪社会学,fan'zui'she'hui'xue
犯罪生理学,fan'zui'sheng'li'xue
犯罪生物学,fan'zui'sheng'wu'xue
犯罪生物学派,fan'zui'sheng'wu'xue'pai
犯罪生物原因论,fan'zui'sheng'wu'yuan'yin'lun
犯罪时,fan'zui'shi
犯罪时间,fan'zui'shi'jian
犯罪实体,fan'zui'shi'ti
犯罪手段,fan'zui'shou'duan
犯罪特征,fan'zui'te'zheng
犯罪统计学,fan'zui'tong'ji'xue
犯罪统计学派,fan'zui'tong'ji'xue'pai
犯罪团伙,fan'zui'tuan'huo
犯罪外因论,fan'zui'wai'yin'lun
犯罪完成,fan'zui'wan'cheng
犯罪未遂,fan'zui'wei'sui
犯罪未完成,fan'zui'wei'wan'cheng
犯罪现场,fan'zui'xian'chang
犯罪现象,fan'zui'xian'xiang
犯罪心理,fan'zui'xin'li
犯罪心理结构,fan'zui'xin'li'jie'gou
犯罪心理学,fan'zui'xin'li'xue
犯罪形态,fan'zui'xing'tai
犯罪行为,fan'zui'xing'wei
犯罪性质,fan'zui'xing'zhi
犯罪学,fan'zui'xue
犯罪厌世原因论,fan'zui'yan'shi'yuan'yin'lun
犯罪要件,fan'zui'yao'jian
犯罪遗传原因论,fan'zui'yi'chuan'yuan'yin'lun
犯罪意思,fan'zui'yi'si
犯罪隐蔽数字,fan'zui'yin'bi'shu'zi
犯罪预备,fan'zui'yu'bei
犯罪预测,fan'zui'yu'ce
犯罪预防,fan'zui'yu'fang
犯罪预防学,fan'zui'yu'fang'xue
犯罪原因,fan'zui'yuan'yin
犯罪侦查学,fan'zui'zhen'cha'xue
犯罪征表说,fan'zui'zheng'biao'shuo
犯罪中断,fan'zui'zhong'duan
犯罪中顿,fan'zui'zhong'dun
犯罪中止,fan'zui'zhong'zhi
犯罪终止,fan'zui'zhong'zhi
犯罪种族原因论,fan'zui'zhong'zu'yuan'yin'lun
犯罪主体,fan'zui'zhu'ti
反坐,fan'zuo
方法不能犯,fang'fa'bu'neng'fan
妨害公共卫生罪,fang'hai'gong'gong'wei'sheng'zui
妨害公务罪,fang'hai'gong'wu'zui
妨害国家货币治罪暂行条例,fang'hai'guo'jia'huo'bi'zhi'zui'zan'xing'tiao'li
妨害国交罪,fang'hai'guo'jiao'zui
妨害婚姻家庭罪,fang'hai'hun'yin'jia'ting'zui
妨害居住自由罪,fang'hai'ju'zhu'zi'you'zui
妨害秘密罪,fang'hai'mi'mi'zui
妨害名誉罪,fang'hai'ming'yu'zui
妨害商标商号罪,fang'hai'shang'biao'shang'hao'zui
妨害社会管理秩序罪,fang'hai'she'hui'guan'li'zhi'xu'zui
妨害投票罪,fang'hai'tou'piao'zui
妨害信誉罪,fang'hai'xin'yu'zui
妨害邮电秘密罪,fang'hai'you'dian'mi'mi'zui
妨害邮电通讯罪,fang'hai'you'dian'tong'xun'zui
妨害秩序罪,fang'hai'zhi'xu'zui
妨害自然发育罪,fang'hai'zi'ran'fa'yu'zui
放火罪,fang'huo'zui
放弃重复侵害行为,fang'qi'chong'fu'qin'hai'xing'wei
放弃教唆,fang'qi'jiao'suo
放任,fang'ren
放射性损伤,fang'she'xing'sun'shang
防卫不适时,fang'wei'bu'shi'shi
防卫过当,fang'wei'guo'dang
防卫挑拨,fang'wei'tiao'bo
防卫限度,fang'wei'xian'du
防卫意图,fang'wei'yi'tu
房玄龄,fang'xuan'ling
防止重复定罪和刑罚的危险,fang'zhi'chong'fu'ding'zui'he'xing'fa'de'wei'xian
防止和惩治恐怖主义公约,fang'zhi'he'cheng'zhi'kong'bu'zhu'yi'gong'yue
防止及惩办灭种罪公约,fang'zhi'ji'cheng'ban'mie'zhong'zui'gong'yue
纺织监禁,fang'zhi'jian'jin
防止义务,fang'zhi'yi'wu
防止自我归罪的特权,fang'zhi'zi'wo'gui'zui'de'te'quan
放逐,fang'zhu
放逐法外,fang'zhu'fa'wai
诽谤,fei'bang
诽谤罪,fei'bang'zui
非暴力死,fei'bao'li'si
非常诉讼,fei'chang'su'song
费尔巴哈,fei'er'ba'ha
非法剥夺宗教信仰自由罪,fei'fa'bo'duo'zong'jiao'xin'yang'zi'you'zui
非法捕捞水产品罪,fei'fa'bu'lao'shui'chan'pin'zui
非法逮捕,fei'fa'dai'bu
非法管制罪,fei'fa'guan'zhi'zui
非法集合罪,fei'fa'ji'he'zui
非法拘禁罪,fei'fa'ju'jin'zui
非法拘留,fei'fa'ju'liu
非法买卖枪支弹药罪,fei'fa'mai'mai'qiang'zhi'dan'yao'zui
非法侵入住宅罪,fei'fa'qin'ru'zhu'zhai'zui
非法使用禁用武器罪,fei'fa'shi'yong'jin'yong'wu'qi'zui
非法使用邮件罪,fei'fa'shi'yong'you'jian'zui
非法狩猎罪,fei'fa'shou'lie'zui
非法搜查罪,fei'fa'sou'cha'zui
非法搜索罪,fei'fa'sou'suo'zui
非法医药试验罪,fei'fa'yi'yao'shi'yan'zui
非法运输枪支弹药罪,fei'fa'yun'shu'qiang'zhi'dan'yao'zui
非法制造枪支弹药罪,fei'fa'zhi'zao'qiang'zhi'dan'yao'zui
废格诏令,fei'ge'zhao'ling
废疾,fei'ji
非机动车损伤,fei'ji'dong'che'sun'shang
菲利,fei'li
菲利草案,fei'li'cao'an
废奴法案,fei'nu'fa'an
非赔偿罪,fei'pei'chang'zui
废弃物,fei'qi'wu
非前谋,fei'qian'mou
非物质性结果,fei'wu'zhi'xing'jie'guo
非刑,fei'xing
非刑罚方法,fei'xing'fa'fang'fa
非刑罚化,fei'xing'fa'hua
非预谋性杀人罪,fei'yu'mou'xing'sha'ren'zui
肺脏损伤,fei'zang'sun'shang
非正式解释,fei'zheng'shi'jie'shi
非致命的武力,fei'zhi'ming'de'wu'li
非致命伤,fei'zhi'ming'shang
非职业法官,fei'zhi'ye'fa'guan
非终,fei'zhong
非重法地,fei'zhong'fa'di
非自愿的非预谋性杀人罪,fei'zi'yuan'de'fei'yu'mou'xing'sha'ren'zui
非自愿的醉酒,fei'zi'yuan'de'zui'jiu
非自愿行为,fei'zi'yuan'xing'wei
分工负责互相配合互相制约,fen'gong'fu'ze'hu'xiang'pei'he'hu'xiang'zhi'yue
分管分押,fen'guan'fen'ya
分类教育,fen'lei'jiao'yu
分类客体,fen'lei'ke'ti
粉末显现法,fen'mo'xian'xian'fa
分期缴纳,fen'qi'jiao'na
吩噻嗪类中毒,fen'sai'qin'lei'zhong'du
分色照相,fen'se'zhao'xiang
焚烧刑,fen'shao'xing
分述,fen'shu
封闭营业所,feng'bi'ying'ye'suo
风俗犯,feng'su'fan
风宪衙门,feng'xian'ya'men
封诊式,feng'zhen'shi
腐败绿斑,fu'bai'lv'ban
服辩,fu'bian
复仇掠夺,fu'chou'lue'duo
复仇主义,fu'chou'zhu'yi
附从轻赦从重,fu'cong'qing'she'cong'zhong
附带民事诉讼的被告,fu'dai'min'shi'su'song'de'bei'gao
附带民事诉讼的当事人,fu'dai'min'shi'su'song'de'dang'shi'ren
附带民事诉讼的原告,fu'dai'min'shi'su'song'de'yuan'gao
辅导处分,fu'dao'chu'fen
腐恶情感的谋杀,fu'e'qing'gan'de'mou'sha
腹诽,fu'fei
复归社会,fu'gui'she'hui
符号论,fu'hao'lun
复合故意,fu'he'gu'yi
附加刑,fu'jia'xing
复权,fu'quan
赴阙直诉,fu'que'zhi'su
复容,fu'rong
附属刑法,fu'shu'xing'fa
附条件的故意,fu'tiao'jian'de'gu'yi
附条件免责,fu'tiao'jian'mian'ze
附条件赦免主义,fu'tiao'jian'she'mian'zhu'yi
附条件宣告主义,fu'tiao'jian'xuan'gao'zhu'yi
附条件执行主义,fu'tiao'jian'zhi'xing'zhu'yi
附条件自由制,fu'tiao'jian'zi'you'zhi
腐刑,fu'xing
服刑人,fu'xing'ren
傅玄,fu'xuan
氟乙酰胺中毒,fu'yi'xian'an'zhong'du
复杂的犯罪构成,fu'za'de'fan'zui'gou'cheng
复杂动机,fu'za'dong'ji
复杂共犯,fu'za'gong'fan
复杂客体,fu'za'ke'ti
辅助教育,fu'zhu'jiao'yu
复奏,fu'zou
复作,fu'zuo
概括的故意,gai'kuo'de'gu'yi
改判,gai'pan
概然性教唆,gai'ran'xing'jiao'suo
概然性说,gai'ran'xing'shuo
改造第一生产第二的方针,gai'zao'di'yi'sheng'chan'di'er'de'fang'zhen
改造心理学,gai'zao'xin'li'xue
改造刑论,gai'zao'xing'lun
改造质量,gai'zao'zhi'liang
改造罪犯成为新人的原则,gai'zao'zui'fan'cheng'wei'xin'ren'de'yuan'ze
感化法庭,gan'hua'fa'ting
感化教育,gan'hua'jiao'yu
感化主义,gan'hua'zhu'yi
感觉障碍,gan'jue'zhang'ai
干拢海底电缆罪,gan'long'hai'di'dian'lan'zui
干名犯义,gan'ming'fan'yi
感染性精神病,gan'ran'xing'jing'shen'bing
干尸,gan'shi
肝脏损伤,gan'zang'sun'shang
告不审,gao'bu'shen
高等裁判所,gao'deng'cai'pan'suo
高等法院法官,gao'deng'fa'yuan'fa'guan
告劾,gao'he
高级代理人规则,gao'ji'dai'li'ren'gui'ze
高级流氓行为,gao'ji'liu'mang'xing'wei
高级人民法院,gao'ji'ren'min'fa'yuan
高级市政官,gao'ji'shi'zheng'guan
告诉,gao'su
告诉才处理,gao'su'cai'chu'li
告诉的不可分原则,gao'su'de'bu'ke'fen'yuan'ze
告诉乃论,gao'su'nai'lun
个别财产,ge'bie'cai'chan
隔地犯,ge'di'fan
各国法律概述,ge'guo'fa'lv'gai'shu
膈肌损伤,ge'ji'sun'shang
格拉奇教令集,ge'la'qi'jiao'ling'ji
格兰斯顿委员会报告,ge'lan'si'dun'wei'yuan'hui'bao'gao
隔离犯,ge'li'fan
隔离说,ge'li'shuo
格列高利九世教令集,ge'lie'gao'li'jiu'shi'jiao'ling'ji
哥罗天世那,ge'luo'tian'shi'na
革命法制与审判,ge'ming'fa'zhi'yu'shen'pan
革命人道主义原则,ge'ming'ren'dao'zhu'yi'yuan'ze
个人财产,ge'ren'cai'chan
个人法益,ge'ren'fa'yi
个人识别,ge'ren'shi'bie
隔时犯,ge'shi'fan
铬中毒,ge'zhong'du
给出路,gei'chu'lu
跟踪侦查,gen'zong'zhen'cha
更犯,geng'fan
更换鉴定人,geng'huan'jian'ding'ren
更年期精神病,geng'nian'qi'jing'shen'bing
更审,geng'shen
更生保护,geng'sheng'bao'hu
更生改造,geng'sheng'gai'zao
公安机关,gong'an'ji'guan
公安机关侦查的刑事案件,gong'an'ji'guan'zhen'cha'de'xing'shi'an'jian
公安派出所,gong'an'pai'chu'suo
公娼,gong'chang
工读学校,gong'du'xue'xiao
公犯,gong'fan
共犯,gong'fan
共犯从属性说,gong'fan'cong'shu'xing'shuo
共犯的共犯,gong'fan'de'gong'fan
共犯的竞合,gong'fan'de'jing'he
共犯的形式,gong'fan'de'xing'shi
共犯独立性说,gong'fan'du'li'xing'shuo
共犯学说,gong'fan'xue'shuo
共犯者,gong'fan'zhe
共犯罪,gong'fan'zui
公共财产,gong'gong'cai'chan
公共场合醉酒罪,gong'gong'chang'he'zui'jiu'zui
公共服务,gong'gong'fu'wu
公共家庭,gong'gong'jia'ting
公共诉讼,gong'gong'su'song
公共危险,gong'gong'wei'xian
公共秩序,gong'gong'zhi'xu
工具不能犯,gong'ju'bu'neng'fan
工具痕迹,gong'ju'hen'ji
公开宣判,gong'kai'xuan'pan
功利主义,gong'li'zhu'yi
共谋,gong'mou
共谋共同正犯,gong'mou'gong'tong'zheng'fan
共谋罪,gong'mou'zui
公判,gong'pan
公然猥亵罪,gong'ran'wei'xie'zui
公然性,gong'ran'xing
公设律师处,gong'she'lv'shi'chu
公事方御定书,gong'shi'fang'yu'ding'shu
公室告,gong'shi'gao
公诉,gong'su
公诉案件,gong'su'an'jian
公诉词,gong'su'ci
公诉的不可分原则,gong'su'de'bu'ke'fen'yuan'ze
公诉机关,gong'su'ji'guan
公诉滥用论,gong'su'lan'yong'lun
公诉人,gong'su'ren
公诉时效,gong'su'shi'xiao
公诉制度,gong'su'zhi'du
公孙弘,gong'sun'hong
共同辩护,gong'tong'bian'hu
共同犯罪,gong'tong'fan'zui
共同故意,gong'tong'gu'yi
共同教唆犯,gong'tong'jiao'suo'fan
共同客体,gong'tong'ke'ti
共同行为,gong'tong'xing'wei
共同意思主体说,gong'tong'yi'si'zhu'ti'shuo
共同正犯,gong'tong'zheng'fan
公文证件印章,gong'wen'zheng'jian'yin'zhang
公议,gong'yi
汞中毒,gong'zhong'du
龚自珍,gong'zi'zhen
公罪,gong'zui
公坐,gong'zuo
工作秩序,gong'zuo'zhi'xu
构成要件的因果关系说,gou'cheng'yao'jian'de'yin'guo'guan'xi'shuo
构成要件符合性,gou'cheng'yao'jian'fu'he'xing
勾决,gou'jue
钩吻中毒,gou'wen'zhong'du
故出,gu'chu
古代埃及刑事法律,gu'dai'ai'ji'xing'shi'fa'lv
古代巴比伦刑事法律,gu'dai'ba'bi'lun'xing'shi'fa'lv
古代罗马刑法,gu'dai'luo'ma'xing'fa
古代罗马刑事诉讼法,gu'dai'luo'ma'xing'shi'su'song'fa
古代希腊刑法,gu'dai'xi'la'xing'fa
古代希腊刑事诉讼法,gu'dai'xi'la'xing'shi'su'song'fa
古代印度刑事法律,gu'dai'yin'du'xing'shi'fa'lv
固定判决,gu'ding'pan'jue
古兰经,gu'lan'jing
故入,gu'ru
顾山,gu'shan
辜限,gu'xian
顾炎武,gu'yan'wu
故意,gu'yi
故意犯,gu'yi'fan
故意毁坏财物罪,gu'yi'hui'huai'cai'wu'zui
故意论,gu'yi'lun
故意杀人罪,gu'yi'sha'ren'zui
故意伤害罪,gu'yi'shang'hai'zui
骨癊,gu'yin
故纵,gu'zong
拐卖,guai'mai
拐卖人口罪,guai'mai'ren'kou'zui
拐骗儿童罪,guai'pian'er'tong'zui
官当,guan'dang
惯犯,guan'fan
管教结合,guan'jiao'jie'he
管理可能物,guan'li'ke'neng'wu
管理可能性说,guan'li'ke'neng'xing'shuo
关联现场,guan'lian'xian'chang
观念竞合犯,guan'nian'jing'he'fan
观念主义,guan'nian'zhu'yi
惯骗,guan'pian
惯窃,guan'qie
惯习犯,guan'xi'fan
管辖,guan'xia
管辖争议,guan'xia'zheng'yi
关于建立特别刑事法庭的法令,guan'yu'jian'li'te'bie'xing'shi'fa'ting'de'fa'ling
关于习惯犯罪的法律,guan'yu'xi'guan'fan'zui'de'fa'lv
关于嫌疑犯的法令,guan'yu'xian'yi'fan'de'fa'ling
关于制止非法劫持航空器的公约,guan'yu'zhi'zhi'fei'fa'jie'chi'hang'kong'qi'de'gong'yue
管制,guan'zhi
官制犯罪统计,guan'zhi'fan'zui'tong'ji
管仲,guan'zhong
管子,guan'zi
广义的保安处分,guang'yi'de'bao'an'chu'fen
广义的缓刑,guang'yi'de'huan'xing
广益的胁迫,guang'yi'de'xie'po
广义的刑法,guang'yi'de'xing'fa
广义的刑罚,guang'yi'de'xing'fa
广义的刑事诉讼法,guang'yi'de'xing'shi'su'song'fa
广义物证,guang'yi'wu'zheng
规定不法之罪,gui'ding'bu'fa'zhi'zui
规范论,gui'fan'lun
规范责任论,gui'fan'ze'ren'lun
鬼薪,gui'xin
硅藻检验,gui'zao'jian'yan
棍棒伤,gun'bang'shang
过迟的防卫,guo'chi'de'fang'wei
国会纵火案,guo'hui'zong'huo'an
国际贩运淫秽出版物罪,guo'ji'fan'yun'yin'hui'chu'ban'wu'zui
国际犯罪,guo'ji'fan'zui
国际犯罪学会,guo'ji'fan'zui'xue'hui
国际犯罪学协会,guo'ji'fan'zui'xue'xie'hui
国际妨害货币罪,guo'ji'fang'hai'huo'bi'zui
国际公约,guo'ji'gong'yue
国际监狱会议,guo'ji'jian'yu'hui'yi
国际社会的公共秩序,guo'ji'she'hui'de'gong'gong'zhi'xu
国际刑法,guo'ji'xing'fa
国际刑法典草案,guo'ji'xing'fa'dian'cao'an
国际刑法及监狱会议,guo'ji'xing'fa'ji'jian'yu'hui'yi
国际刑法及刑务会议,guo'ji'xing'fa'ji'xing'wu'hui'yi
国际刑法及刑务委员会,guo'ji'xing'fa'ji'xing'wu'wei'yuan'hui
国际刑法学,guo'ji'xing'fa'xue
国际刑法学会,guo'ji'xing'fa'xue'hui
国际刑事管辖,guo'ji'xing'shi'guan'xia
国际刑事合作,guo'ji'xing'shi'he'zuo
国际刑事警察组织,guo'ji'xing'shi'jing'cha'zu'zhi
国际刑事人类学会,guo'ji'xing'shi'ren'lei'xue'hui
国际刑事人类学会议,guo'ji'xing'shi'ren'lei'xue'hui'yi
国际刑事诉讼,guo'ji'xing'shi'su'song
国际刑事学会,guo'ji'xing'shi'xue'hui
国际刑事学协会,guo'ji'xing'shi'xue'xie'hui
国际罪行,guo'ji'zui'xing
国家安全机关,guo'jia'an'quan'ji'guan
国家法益,guo'jia'fa'yi
国家工作人员,guo'jia'gong'zuo'ren'yuan
国家机密,guo'jia'ji'mi
国家职权主义,guo'jia'zhi'quan'zhu'yi
国家追诉主义,guo'jia'zhui'su'zhu'yi
国境边境,guo'jing'bian'jing
国社党刑法之觉书,guo'she'dang'xing'fa'zhi'jue'shu
过剩避险,guo'sheng'bi'xian
过剩警备,guo'sheng'jing'bei
过失,guo'shi
过失爆炸罪,guo'shi'bao'zha'zui
过失犯,guo'shi'fan
国事犯,guo'shi'fan
过失犯的教唆犯,guo'shi'fan'de'jiao'suo'fan
过失犯的因果关系,guo'shi'fan'de'yin'guo'guan'xi
过失决水罪,guo'shi'jue'shui'zui
过失破坏交通工具罪,guo'shi'po'huai'jiao'tong'gong'ju'zui
过失破坏交通设备罪,guo'shi'po'huai'jiao'tong'she'bei'zui
过失破坏通讯设备罪,guo'shi'po'huai'tong'xun'she'bei'zui
过失破坏易燃易爆设备罪,guo'shi'po'huai'yi'ran'yi'bao'she'bei'zui
过失杀人罪,guo'shi'sha'ren'zui
过失伤害罪,guo'shi'shang'hai'zui
过失引起中毒罪,guo'shi'yin'qi'zhong'du'zui
过失致死罪,guo'shi'zhi'si'zui
过失重伤罪,guo'shi'zhong'shang'zui
国事罪,guo'shi'zui
国王大法官,guo'wang'da'fa'guan
国务院关于劳动教养问题的决定,guo'wu'yuan'guan'yu'lao'dong'jiao'yang'wen'ti'de'jue'ding
过于自信过失,guo'yu'zi'xin'guo'shi
过早的防卫,guo'zao'de'fang'wei
哈什尔,ha'shen'er
海盗罪,hai'dao'zui
海瑞,hai'rui
海牙公约,hai'ya'gong'yue
韩非,han'fei
韩非子,han'fei'zi
汉律,han'lv
汉穆拉比法典,han'mu'la'bi'fa'dian
韩愈,han'yu
合并审理,he'bing'shen'li
和解重罪,he'jie'zhong'zui
赫里埃,he'li'ai
和平金,he'ping'jin
河豚中毒,he'tun'zhong'du
和行拘禁罪,he'xing'ju'jin'zui
合议庭,he'yi'ting
合议制,he'yi'zhi
和诱,he'you
核准,he'zhun
黑格尔,hei'ge'er
黑市经济,hei'shi'jing'ji
痕迹,hen'ji
痕迹鉴定,hen'ji'jian'ding
横的共犯,heng'de'gong'fan
衡平法法院,heng'ping'fa'fa'yuan
宏观预测,hong'guan'yu'ce
宏观综合治理,hong'guan'zong'he'zhi'li
红外线照相,hong'wai'xian'zhao'xiang
洪秀全,hong'xiu'quan
后半,hou'ban
后发动机,hou'fa'dong'ji
后世刑罚,hou'shi'xing'fa
后座法庭,hou'zuo'fa'ting
户婚,hu'hun
互诉,hu'su
护卫财产,hu'wei'cai'chan
护卫他人,hu'wei'ta'ren
呼吸终止说,hu'xi'zhong'zhi'shuo
幻觉,huan'jue
幻觉错误,huan'jue'cuo'wu
幻觉犯,huan'jue'fan
桓谭,huan'tan
圜土,huan'tu
换刑,huan'xing
缓刑,huan'xing
缓刑的执行,huan'xing'de'zhi'xing
缓刑分类制,huan'xing'fen'lei'zhi
缓刑期,huan'xing'qi
缓刑失效,huan'xing'shi'xiao
缓刑效果,huan'xing'xiao'guo
缓予起诉制,huan'yu'qi'su'zhi
缓予宣告制,huan'yu'xuan'gao'zhi
缓予执行制,huan'yu'zhi'xing'zhi
皇家法院,huang'jia'fa'yuan
皇家律师,huang'jia'lv'shi
回避,hui'bi
回避决定,hui'bi'jue'ding
悔改表现,hui'gai'biao'xian
贿赂外国公职人员罪,hui'lu'wai'guo'gong'zhi'ren'yuan'zui
贿赂物,hui'lu'wu
毁灭公文证件印章罪,hui'mie'gong'wen'zheng'jian'yin'zhang'zui
毁弃损坏罪,hui'qi'sun'huai'zui
毁容,hui'rong
会审公廨,hui'shen'gong'xie
毁损名誉,hui'sun'ming'yu
贿选,hui'xuan
悔罪表现,hui'zui'biao'xian
悔罪服,hui'zui'fu
混合斑检验,hun'he'ban'jian'yan
混合的犯罪构成,hun'he'de'fan'zui'gou'cheng
混合犯,hun'he'fan
混合累犯制,hun'he'lei'fan'zhi
混合式诉讼,hun'he'shi'su'song
混杂原则,hun'za'yuan'ze
霍布斯,huo'bu'si
火车损伤,huo'che'sun'shang
霍华德,huo'hua'de
镬烹,huo'peng
或起诉或引渡原则,huo'qi'su'huo'yin'du'yuan'ze
火审,huo'shen
活体检验,huo'ti'jian'yan
基本的犯罪构成,ji'ben'de'fan'zui'gou'cheng
基本犯,ji'ben'fan
基本原则,ji'ben'yuan'ze
级别管辖,ji'bie'guan'xia
基层人民法院,ji'ceng'ren'min'fa'yuan
即成犯,ji'cheng'fan
机动车损伤,ji'dong'che'sun'shang
季度法院,ji'du'fa'yuan
嫉妒妄想,ji'du'wang'xiang
饥饿死,ji'e'si
激愤,ji'fen
激光损伤,ji'guang'sun'shang
集合犯,ji'he'fan
积极错误,ji'ji'cuo'wu
积极的犯罪构成,ji'ji'de'fan'zui'gou'cheng
积极贿赂,ji'ji'hui'lu
积极预防,ji'ji'yu'fang
鸡奸,ji'jian
既了未遂,ji'le'wei'sui
既了中止,ji'le'zhong'zhi
记录法官,ji'lu'fa'guan
记录法院,ji'lu'fa'yuan
籍没,ji'mo
极其恶劣的流氓行为,ji'qi'e'lie'de'liu'mang'xing'wei
激情的非预谋性杀人罪,ji'qing'de'fei'yu'mou'xing'sha'ren'zui
激情犯,ji'qing'fan
畸轻畸重,ji'qing'ji'zhong
急死,ji'si
急死的法医鉴定,ji'si'de'fa'yi'jian'ding
既遂构成要件说,ji'sui'gou'cheng'yao'jian'shuo
既遂结果说,ji'sui'jie'guo'shuo
既遂目的说,ji'sui'mu'di'shuo
脊髓损伤,ji'sui'sun'shang
既遂行为说,ji'sui'xing'wei'shuo
集团犯,ji'tuan'fan
机械性损伤,ji'xie'xing'sun'shang
机械性窒息,ji'xie'xing'zhi'xi
极刑,ji'xing
羁押,ji'ya
羁押时限,ji'ya'shi'xian
记忆障碍,ji'yi'zhang'ai
基于被害者承诺的行为,ji'yu'bei'hai'zhe'cheng'nuo'de'xing'wei
