暗示,an'shi
析词格,xi'ci'ge
细节,xi'jie
细节描写,xi'jie'miao'xie
细描,xi'miao
析取判断,xi'qu'pan'duan
系统结构,xi'tong'jie'gou
系统思维方式,xi'tong'si'wei'fang'shi
细叙,xi'xu
析字格,xi'zi'ge
下位概念,xia'wei'gai'nian
下意识,xia'yi'shi
闲笔,xian'bi
先后,xian'hou
显晦,xian'hui
衔接,xian'jie
线索,xian'suo
相对概念,xiang'dui'gai'nian
详略,xiang'lue
镶嵌格,xiang'qian'ge
相容选言判断,xiang'rong'xuan'yan'pan'duan
象声词,xiang'sheng'ci
象声语,xiang'sheng'yu
想象,xiang'xiang
想象表象,xiang'xiang'biao'xiang
象形文字,xiang'xing'wen'zi
详叙,xiang'xu
象征,xiang'zheng
象征的同情,xiang'zheng'de'tong'qing
象征式结构,xiang'zheng'shi'jie'gou
象征性细节,xiang'zheng'xing'xi'jie
镶字格,xiang'zi'ge
小标题,xiao'biao'ti
消极想象,xiao'ji'xiang'xiang
消极修辞,xiao'ji'xiu'ci
肖像描写,xiao'xiang'miao'xie
小中见大,xiao'zhong'jian'da
小篆,xiao'zhuan
写意,xie'yi
楔子,xie'zi
心理表象,xin'li'biao'xiang
心理描写,xin'li'miao'xie
心理意识线索,xin'li'yi'shi'xian'suo
心象,xin'xiang
兴,xing
行动描写,xing'dong'miao'xie
性格分析式议论,xing'ge'fen'xi'shi'yi'lun
性格线索,xing'ge'xian'suo
形旁,xing'pang
兴起,xing'qi
形容词,xing'rong'ci
形神,xing'shen
形式逻辑基本规律,xing'shi'luo'ji'ji'ben'gui'lv
行书,xing'shu
形似,xing'si
形象受孕,xing'xiang'shou'yun
形象思维,xing'xiang'si'wei
性质定义,xing'zhi'ding'yi
性质判断,xing'zhi'pan'duan
修辞,xiu'ci
修辞方式,xiu'ci'fang'shi
修辞格,xiu'ci'ge
虚笔,xu'bi
虚词,xu'ci
蓄放,xu'fang
虚构,xu'gou
绪论,xu'lun
序幕,xu'mu
蓄势,xu'shi
虚实,xu'shi
叙事,xu'shi
叙事出情,xu'shi'chu'qing
叙述,xu'shu
叙述角,xu'shu'jiao
叙述角度,xu'shu'jiao'du
叙述句,xu'shu'ju
叙述人称,xu'shu'ren'cheng
叙述人语言,xu'shu'ren'yu'yan
虚题,xu'ti
叙中夹议,xu'zhong'jia'yi
选材,xuan'cai
选承,xuan'cheng
选接,xuan'jie
悬念,xuan'nian
渲染,xuan'ran
选言论证法,xuan'yan'lun'zheng'fa
选言判断,xuan'yan'pan'duan
选言推理,xuan'yan'tui'li
选择,xuan'ze
选择复句,xuan'ze'fu'ju
选择角度,xuan'ze'jiao'du
选择问句,xuan'ze'wen'ju
压韵,ya'yun
押韵,ya'yun
延宕,yan'dang
延宕式,yan'dang'shi
延搁,yan'ge
眼目,yan'mu
演绎法,yan'yi'fa
演绎论证,yan'yi'lun'zheng
演绎推理,yan'yi'tui'li
谚语,yan'yu
阳平,yang'ping
遥接,yao'jie
意,yi
一般表象,yi'ban'biao'xiang
一般词汇,yi'ban'ci'hui
一石数鸟法,yi'dan'shu'niao'fa
意符,yi'fu
依附于理的抒情,yi'fu'yu'li'de'shu'qing
一击两鸣法,yi'ji'liang'ming'fa
一箭双雕法,yi'jian'shuang'diao'fa
意接,yi'jie
移就格,yi'jiu'ge
移觉格,yi'jue'ge
义理,yi'li
疑离格,yi'li'ge
议论,yi'lun
意脉,yi'mai
意念线索,yi'nian'xian'suo
移情,yi'qing
移情格,yi'qing'ge
以人拟物,yi'ren'ni'wu
易色格,yi'se'ge
艺术辩证法,yi'shu'bian'zheng'fa
艺术表现手段,yi'shu'biao'xian'shou'duan
艺术冲动,yi'shu'chong'dong
艺术灵感,yi'shu'ling'gan
艺术式议论,yi'shu'shi'yi'lun
艺术手法,yi'shu'shou'fa
艺术思维,yi'shu'si'wei
艺术语体,yi'shu'yu'ti
艺术语言,yi'shu'yu'yan
异体字,yi'ti'zi
意外笔,yi'wai'bi
疑问句,yi'wen'ju
以物拟人,yi'wu'ni'ren
意象,yi'xiang
以小见大,yi'xiao'jian'da
抑扬,yi'yang
意义段,yi'yi'duan
音长,yin'chang
音高,yin'gao
因果复句,yin'guo'fu'ju
因果式,yin'guo'shi
引号,yin'hao
音节,yin'jie
引论,yin'lun
阴平,yin'ping
音强,yin'qiang
音色,yin'se
引申义,yin'shen'yi
隐显,yin'xian
殷墟文字,yin'xu'wen'zi
引言,yin'yan
引用格,yin'yong'ge
隐语,yin'yu
隐喻,yin'yu
引喻,yin'yu
隐与秀,yin'yu'xiu
引证法,yin'zheng'fa
映衬,ying'chen
映衬格,ying'chen'ge
影射,ying'she
英雄人物,ying'xiong'ren'wu
永恒主题,yong'heng'zhu'ti
用事,yong'shi
咏叹,yong'tan
咏物抒情,yong'wu'shu'qing
有限与无限,you'xian'yu'wu'xian
有意想象,you'yi'xiang'xiang
有与无,you'yu'wu
语词定义,yu'ci'ding'yi
纡辞格,yu'ci'ge
语段,yu'duan
语法,yu'fa
语法单位,yu'fa'dan'wei
语法功能,yu'fa'gong'neng
语法关系,yu'fa'guan'xi
语法结构,yu'fa'jie'gou
语法特点,yu'fa'te'dian
语法形式,yu'fa'xing'shi
语法学,yu'fa'xue
语法意义,yu'fa'yi'yi
预伏,yu'fu
语境,yu'jing
寓理,yu'li
喻起,yu'qi
语气词,yu'qi'ci
预示,yu'shi
语素,yu'su
语体,yu'ti
语序变化,yu'xu'bian'hua
语言,yu'yan
语言的参差美,yu'yan'de'cen'ci'mei
语言的大众化,yu'yan'de'da'zhong'hua
语言的个性化,yu'yan'de'ge'xing'hua
语言的回环美,yu'yan'de'hui'huan'mei
语言的节奏,yu'yan'de'jie'zou
语言的生动性,yu'yan'de'sheng'dong'xing
语言的鲜明性,yu'yan'de'xian'ming'xing
语言的形象化,yu'yan'de'xing'xiang'hua
语言的抑扬美,yu'yan'de'yi'yang'mei
语言的音乐美,yu'yan'de'yin'yue'mei
语言的整齐美,yu'yan'de'zheng'qi'mei
语言的准确性,yu'yan'de'zhun'que'xing
语言描写,yu'yan'miao'xie
欲抑先扬法,yu'yi'xian'yang'fa
语音,yu'yin
迂喻,yu'yu
喻证法,yu'zheng'fa
宇宙的人情化,yu'zhou'de'ren'qing'hua
远承,yuan'cheng
远接,yuan'jie
原起,yuan'qi
原始材料,yuan'shi'cai'liao
原型,yuan'xing
圆形人物,yuan'xing'ren'wu
原因与结果,yuan'yin'yu'jie'guo
圆整人物,yuan'zheng'ren'wu
约叙,yue'xu
乐音,yue'yin
韵腹,yun'fu
韵母,yun'mu
酝酿,yun'niang
韵头,yun'tou
韵尾,yun'wei
再造想象,zai'zao'xiang'xiang
造句法,zao'ju'fa
噪音,zao'yin
增字格,zeng'zi'ge
章,zhang
张弛,zhang'chi
照应,zhao'ying
照映,zhao'ying
哲理型议论,zhe'li'xing'yi'lun
折绕格,zhe'rao'ge
真实定义,zhen'shi'ding'yi
正标题,zheng'biao'ti
正常与反常,zheng'chang'yu'fan'chang
正衬,zheng'chen
正承,zheng'cheng
正反问句,zheng'fan'wen'ju
正概念,zheng'gai'nian
正话反说,zheng'hua'fan'shuo
正接,zheng'jie
正论,zheng'lun
政论语体,zheng'lun'yu'ti
正面描写,zheng'mian'miao'xie
正面铺垫,zheng'mian'pu'dian
正面人物,zheng'mian'ren'wu
证明,zheng'ming
征实,zheng'shi
正题,zheng'ti
正叙,zheng'xu
正引,zheng'yin
正主题,zheng'zhu'ti
旨,zhi
制表说明,zhi'biao'shuo'ming
直接夸张,zhi'jie'kua'zhang
直接论证,zhi'jie'lun'zheng
直接描写,zhi'jie'miao'xie
直接抒情,zhi'jie'shu'qing
直接推理,zhi'jie'tui'li
指量词组,zhi'liang'ci'zu
直起,zhi'qi
直抒胸臆,zhi'shu'xiong'yi
直叙,zhi'xu
直言判断,zhi'yan'pan'duan
旨意,zhi'yi
直喻,zhi'yu
置之死地而后生,zhi'zhi'si'di'er'hou'sheng
种差,zhong'cha
钟鼎文,zhong'ding'wen
种概念,zhong'gai'nian
中间人物,zhong'jian'ren'wu
终结,zhong'jie
终篇,zhong'pian
中心论点,zhong'xin'lun'dian
中心思想,zhong'xin'si'xiang
中心语,zhong'xin'yu
中性词,zhong'xing'ci
籀文,zhou'wen
周折格,zhou'zhe'ge
助词,zhu'ci
主从,zhu'cong
主动句,zhu'dong'ju
主客,zhu'ke
主脑,zhu'nao
主人公,zhu'ren'gong
主题,zhu'ti
主题表现式议论,zhu'ti'biao'xian'shi'yi'lun
主题的表现,zhu'ti'de'biao'xian
主题的多义性,zhu'ti'de'duo'yi'xing
主题的揭示,zhu'ti'de'jie'shi
主题的开拓,zhu'ti'de'kai'tuo
主题的深化,zhu'ti'de'shen'hua
主题的提炼,zhu'ti'de'ti'lian
主题思想,zhu'ti'si'xiang
主题性人物,zhu'ti'xing'ren'wu
主题义界,zhu'ti'yi'jie
主谓词组,zhu'wei'ci'zu
主谓倒装句,zhu'wei'dao'zhuang'ju
主谓句,zhu'wei'ju
主谓谓语句,zhu'wei'wei'yu'ju
主线,zhu'xian
主向信息素材,zhu'xiang'xin'xi'su'cai
主要人物,zhu'yao'ren'wu
主语,zhu'yu
主旨,zhu'zhi
转变人物,zhuan'bian'ren'wu
转换生成语法,zhuan'huan'sheng'cheng'yu'fa
转类格,zhuan'lei'ge
转品格,zhuan'pin'ge
篆书,zhuan'shu
转义,zhuan'yi
转折复句,zhuan'zhe'fu'ju
状物,zhuang'wu
状语,zhuang'yu
状语后置句,zhuang'yu'hou'zhi'ju
庄与谐,zhuang'yu'xie
追叙,zhui'xu
拙与巧,zhuo'yu'qiao
着重号,zhuo'zhong'hao
自动词,zi'dong'ci
自发的表象活动,zi'fa'de'biao'xiang'huo'dong
自觉的表象变异,zi'jue'de'biao'xiang'bian'yi
自觉的表象分化,zi'jue'de'biao'xiang'fen'hua
自觉的表象联想,zi'jue'de'biao'xiang'lian'xiang
自觉的表象深化,zi'jue'de'biao'xiang'shen'hua
自觉的表象运动,zi'jue'de'biao'xiang'yun'dong
自然段,zi'ran'duan
自然风景描写,zi'ran'feng'jing'miao'xie
自然环境,zi'ran'huan'jing
自然环境描写,zi'ran'huan'jing'miao'xie
自然景物描写,zi'ran'jing'wu'miao'xie
自由词组,zi'you'ci'zu
总分式,zong'fen'shi
综合,zong'he
综合法,zong'he'fa
纵横交错式结构,zong'heng'jiao'cuo'shi'jie'gou
总解复句,zong'jie'fu'ju
综括式结构,zong'kuo'shi'jie'gou
总论点,zong'lun'dian
纵式结构,zong'shi'jie'gou
总提分述式,zong'ti'fen'shu'shi
作品的内部形式,zuo'pin'de'nei'bu'xing'shi
