阿鼻元珠,a'bi'yuan'zhu
兜元仙史,dou'yuan'xian'shi
独抱热肠芝仙乞命,du'bao're'chang'zhi'xian'qi'ming
独臂韦护,du'bi'wei'hu
度厄,du'e
度厄仙衣,du'e'xian'yi
杜芳蘅,du'fang'heng
度化,du'hua
毒火煅文蛛,du'huo'duan'wen'zhu
独歼恶道,du'jian'e'dao
独角金刚,du'jiao'jin'gang
独角灵官,du'jiao'ling'guan
独角蟒,du'jiao'mang
度劫,du'jie
独朗慧光,du'lang'hui'guang
毒炼少林僧,du'lian'shao'lin'seng
毒龙,du'long
毒龙喷冷焰,du'long'pen'leng'yan
毒龙香,du'long'xiang
毒龙尊者,du'long'zun'zhe
独劈华岩惊逢巨蟒,du'pi'hua'yan'jing'feng'ju'mang
毒蛇横古路,du'she'heng'gu'lu
毒眚齐飞裂地肺,du'sheng'qi'fei'lie'di'fei
毒手,du'shou
毒手摩什,du'shou'mo'shen
渡水登萍陶孟仁江心观绝技,du'shui'deng'ping'tao'meng'ren'jiang'xin'guan'jue'ji
独探红木岭,du'tan'hong'mu'ling
毒雾网中看,du'wu'wang'zhong'kan
独寻良友,du'xun'liang'you
毒云蔽日,du'yun'bi'ri
毒瘴全消大破慈云寺,du'zhang'quan'xiao'da'po'ci'yun'si
独指,du'zhi
独指禅师,du'zhi'chan'shi
独指祥光擒艳鬼,du'zhi'xiang'guang'qin'yan'gui
断臂续身,duan'bi'xu'shen
断金玦,duan'jin'jue
断蛇移山,duan'she'yi'shan
断玉钩,duan'yu'gou
对枰凌大敌,dui'ping'ling'da'di
对枰凌绝巘,dui'ping'ling'jue'yan
遁法,dun'fa
遁形符,dun'xing'fu
夺宝,duo'bao
多宝真人,duo'bao'zhen'ren
多臂金刚,duo'bi'jin'gang
多臂熊,duo'bi'xiong
多臂熊截江逢侠士,duo'bi'xiong'jie'jiang'feng'xia'shi
多目金刚,duo'mu'jin'gang
多情成孽累,duo'qing'cheng'nie'lei
朵云如雪下瑶池,duo'yun'ru'xue'xia'yao'chi
恶犯伏诛妖徒授命,e'fan'fu'zhu'yao'tu'shou'ming
恶鬼师,e'gui'shi
恶鬼子,e'gui'zi
恶计毁仙山,e'ji'hui'xian'shan
饿老鸦,e'lao'ya
恶岭无端逢壮士,e'ling'wu'duan'feng'zhuang'shi
峨眉,e'mei
峨嵋弟子,e'mei'di'zi
峨嵋斗剑,e'mei'dou'jian
峨眉斗剑,e'mei'dou'jian
峨嵋派,e'mei'pai
峨嵋掌门,e'mei'zhang'men
恶弥勒,e'mi'le
恶盈数尽,e'ying'shu'jin
恩爱反成仇,en'ai'fan'cheng'chou
恩怨,en'yuan
二恶,er'e
二凤,er'feng
二行珠,er'hang'zhu
二虎,er'hu
二龙首伏辜,er'long'shou'fu'gu
二蛮僧炼魔得真传,er'man'seng'lian'mo'de'zhen'chuan
二魔,er'mo
