阿卜杜,a'bo'du
每个联盟下属两个赛区,mei'ge'lian'meng'xia'shu'liang'ge'sai'qu
玫瑰花园,mei'gui'hua'yuan
玫瑰花园球馆,mei'gui'hua'yuan'qiu'guan
美国大陆篮球协会,mei'guo'da'lu'lan'qiu'xie'hui
美国大学生运动协会,mei'guo'da'xue'sheng'yun'dong'xie'hui
美国大学运动协会,mei'guo'da'xue'yun'dong'xie'hui
美国高中篮球联赛,mei'guo'gao'zhong'lan'qiu'lian'sai
美国国家篮球联盟,mei'guo'guo'jia'lan'qiu'lian'meng
美国国家篮球协会,mei'guo'guo'jia'lan'qiu'xie'hui
美国航空中心,mei'guo'hang'kong'zhong'xin
美国航空中心球场,mei'guo'hang'kong'zhong'xin'qiu'chang
美国篮球协会,mei'guo'lan'qiu'xie'hui
美国业余篮球联盟,mei'guo'ye'yu'lan'qiu'lian'meng
美国职篮联盟,mei'guo'zhi'lan'lian'meng
美国职业篮球联盟,mei'guo'zhi'ye'lan'qiu'lian'meng
美航,mei'hang
美航球馆,mei'hang'qiu'guan
梅米特,mei'mi'te
梅米特奥库,mei'mi'te'ao'ku
梅诺卡,mei'nuo'ka
梅森,mei'sen
美西,mei'xi
美西球馆,mei'xi'qiu'guan
没有必要的犯规,mei'you'bi'yao'de'fan'gui
没有出场,mei'you'chu'chang
美洲杯,mei'zhou'bei
美洲篮球联合会,mei'zhou'lan'qiu'lian'he'hui
美洲联盟杯,mei'zhou'lian'meng'bei
美洲联赛,mei'zhou'lian'sai
美洲男篮锦标赛,mei'zhou'nan'lan'jin'biao'sai
门维,men'wei
孟达,meng'da
孟铎,meng'duo
孟菲斯灰熊,meng'fei'si'hui'xiong
孟菲斯灰熊队,meng'fei'si'hui'xiong'dui
猛龙,meng'long
猛龙队,meng'long'dui
孟塔,meng'ta
孟塔伊利斯,meng'ta'yi'li'si
蒙特格拉纳罗,meng'te'ge'la'na'luo
米尔萨普,mi'er'sa'pu
密尔沃基雄鹿,mi'er'wo'ji'xiong'lu
密尔沃基雄鹿队,mi'er'wo'ji'xiong'lu'dui
米基,mi'ji
米基莫尔,mi'ji'mo'er
米兰阿玛尼,mi'lan'a'ma'ni
米勒,mi'le
米里西奇,mi'li'xi'qi
米姆,mi'mu
面包,mian'bao
明尼苏达森林狼,ming'ni'su'da'sen'lin'lang
明尼苏达森林狼队,ming'ni'su'da'sen'lin'lang'dui
名人堂成员,ming'ren'tang'cheng'yuan
命中率,ming'zhong'lv
缪寿守,miu'shou'shou
莫布里,mo'bu'li
莫尔,mo'er
墨菲,mo'fei
莫罕默德,mo'han'mo'de
莫科,mo'ke
莫里森,mo'li'sen
莫里斯,mo'li'si
莫里斯阿尔蒙德,mo'li'si'a'er'meng'de
莫里斯艾格尔,mo'li'si'ai'ge'er
莫里斯艾文斯,mo'li'si'ai'wen'si
莫里斯皮特森,mo'li'si'pi'te'sen
莫内特,mo'nei'te
莫宁,mo'ning
莫瑞斯,mo'rui'si
莫瑞斯威廉姆斯,mo'rui'si'wei'lian'mu'si
魔术,mo'shu
魔术队,mo'shu'dui
莫斯科迪纳摩,mo'si'ke'di'na'mo
莫斯科中央陆军,mo'si'ke'zhong'yang'lu'jun
穆恩,mu'en
穆尔西亚,mu'er'xi'ya
木拉提,mu'la'ti
木拉提阿地里江,mu'la'ti'a'di'li'jiang
穆雷,mu'lei
牡鹿,mu'lu
牡鹿队,mu'lu'dui
姆鹏加,mu'peng'jia
穆斯塔法,mu'si'ta'fa
穆斯塔法沙库尔,mu'si'ta'fa'sha'ku'er
穆托姆博,mu'tuo'mu'bo
那不勒斯卡皮萨,na'bu'le'si'ka'pi'sa
纳胡拉,na'hu'la
纳什,na'shi
纳瓦罗,na'wa'luo
纳新大会,na'xin'da'hui
纳兹尔,na'zi'er
纳兹尔莫罕默德,na'zi'er'mo'han'mo'de
奈奈,nai'nai
奈特,nai'te
男篮世锦赛,nan'lan'shi'jin'sai
南锡,nan'xi
男子篮球世界杯锦标赛,nan'zi'lan'qiu'shi'jie'bei'jin'biao'sai
内斯特洛维奇,nei'si'te'luo'wei'qi
内特,nei'te
内特罗宾逊,nei'te'luo'bin'xun
尼尔森,ni'er'sen
尼克,ni'ke
尼克费兹卡斯,ni'ke'fei'zi'ka'si
尼克科里森,ni'ke'ke'li'sen
尼克斯,ni'ke'si
尼克斯队,ni'ke'si'dui
尼克扬,ni'ke'yang
尼姆波克,ni'mu'bo'ke
聂金强,nie'jin'qiang
纽贝,niu'bei
纽约尼克斯,niu'yue'ni'ke'si
纽约尼克斯队,niu'yue'ni'ke'si'dui
诺阿,nuo'a
诺尔,nuo'er
诺克巴,nuo'ke'ba
诺瓦克,nuo'wa'ke
诺维茨基,nuo'wei'ci'ji
诺西奥尼,nuo'xi'ao'ni
女篮世锦赛,nv'lan'shi'jin'sai
女子篮球世界杯锦标赛,nv'zi'lan'qiu'shi'jie'bei'jin'biao'sai
欧登,ou'deng
欧文斯,ou'wen'si
欧洲杯,ou'zhou'bei
欧洲篮球联合会,ou'zhou'lan'qiu'lian'he'hui
欧洲联盟杯,ou'zhou'lian'meng'bei
欧洲联赛,ou'zhou'lian'sai
欧洲男篮锦标赛,ou'zhou'nan'lan'jin'biao'sai
帕楚利亚,pa'chu'li'ya
帕德博恩,pa'de'bo'en
帕夫洛维奇,pa'fu'luo'wei'qi
帕金斯,pa'jin'si
帕克,pa'ke
帕科,pa'ke
帕纳辛奈科斯,pa'na'xin'nai'ke'si
帕特,pa'te
帕特加里蒂,pa'te'jia'li'di
帕特里克,pa'te'li'ke
帕特里克奥布赖恩特,pa'te'li'ke'ao'bu'lai'en'te
帕特森,pa'te'sen
潘江,pan'jiang
潘内利尼奥斯,pan'nei'li'ni'ao'si
潘尼奥尼奥斯,pan'ni'ao'ni'ao'si
叛逆者,pan'ni'zhe
叛逆者队,pan'ni'zhe'dui
盼盼,pan'pan
盼盼队,pan'pan'dui
佩顿,pei'dun
佩贾,pei'jia
佩贾斯托贾科维奇,pei'jia'si'tuo'jia'ke'wei'qi
佩罗维奇,pei'luo'wei'qi
佩切洛夫,pei'qie'luo'fu
彭飞,peng'fei
皮尔斯,pi'er'si
皮特鲁斯,pi'te'lu'si
皮特森,pi'te'sen
皮亚考斯基,pi'ya'kao'si'ji
匹兹保铁人,pi'zi'bao'tie'ren
匹兹保铁人队,pi'zi'bao'tie'ren'dui
平均每场盖帽,ping'jun'mei'chang'gai'mao
平均每场助攻,ping'jun'mei'chang'zhu'gong
普莱斯,pu'lai'si
普里茨比拉,pu'li'ci'bi'la
普里莫兹,pu'li'mo'zi
普里莫兹布雷泽克,pu'li'mo'zi'bu'lei'ze'ke
普林斯,pu'lin'si
普罗维登斯蒸气,pu'luo'wei'deng'si'zheng'qi
普罗维登斯蒸气队,pu'luo'wei'deng'si'zheng'qi'dui
普瑞特,pu'rui'te
葡萄牙奥瓦伦斯航空,pu'tao'ya'ao'wa'lun'si'hang'kong
奇才,qi'cai
奇才队,qi'cai'dui
奇克,qi'ke
奇克萨姆布,qi'ke'sa'mu'bu
七六人,qi'liu'ren
七六人队,qi'liu'ren'dui
骑士,qi'shi
骑士队,qi'shi'dui
七十六人,qi'shi'liu'ren
七十六人队,qi'shi'liu'ren'dui
前场,qian'chang
钱德勒,qian'de'le
钱宁,qian'ning
钱宁弗莱,qian'ning'fu'lai
抢篮板球挡人,qiang'lan'ban'qiu'dang'ren
强力,qiang'li
强力灌篮,qiang'li'guan'lan
乔安东尼,qiao'an'dong'ni
乔丹,qiao'dan
乔丹法玛尔,qiao'dan'fa'ma'er
乔尔,qiao'er
乔尔普里茨比拉,qiao'er'pu'li'ci'bi'la
乔金,qiao'jin
乔金诺阿,qiao'jin'nuo'a
乔什,qiao'shen
乔什柴德里斯,qiao'shen'chai'de'li'si
乔什霍华德,qiao'shen'huo'hua'de
乔什麦克罗伯茨,qiao'shen'mai'ke'luo'bo'ci
乔什史密斯,qiao'shen'shi'mi'si
乔史密斯,qiao'shi'mi'si
乔斯,qiao'si
乔斯巴瑞尔,qiao'si'ba'rui'er
乔伊,qiao'yi
乔伊格拉汉姆,qiao'yi'ge'la'han'mu
乔伊诺,qiao'yi'nuo
乔约翰逊,qiao'yue'han'xun
乔治,qiao'zhi
乔治贾巴尤萨,qiao'zhi'jia'ba'you'sa
切入,qie'ru
琼斯,qiong'si
球必须触及篮框,qiu'bi'xu'chu'ji'lan'kuang
邱彪,qiu'biao
球出界线,qiu'chu'jie'xian
球队吉祥物,qiu'dui'ji'xiang'wu
球队经理,qiu'dui'jing'li
球队球员,qiu'dui'qiu'yuan
球队训练员,qiu'dui'xun'lian'yuan
去留不受球队约束,qu'liu'bu'shou'qiu'dui'yue'shu
曲绍斌,qu'shao'bin
区域防守,qu'yu'fang'shou
区域联防,qu'yu'lian'fang
驱逐出场,qu'zhu'chu'chang
全场比赛,quan'chang'bi'sai
全队累计犯规,quan'dui'lei'ji'fan'gui
全美第一队,quan'mei'di'yi'dui
全美篮协会,quan'mei'lan'xie'hui
全明星,quan'ming'xing
全时暂停,quan'shi'zan'ting
全体后备球员,quan'ti'hou'bei'qiu'yuan
全体替换球员,quan'ti'ti'huan'qiu'yuan
全体先发球员,quan'ti'xian'fa'qiu'yuan
全体支持球员,quan'ti'zhi'chi'qiu'yuan
绕前防守,rao'qian'fang'shou
热火,re'huo
热火队,re'huo'dui
韧带,ren'dai
人盯人防守,ren'ding'ren'fang'shou
任钊,ren'zhao
瑞安,rui'an
瑞安勃文,rui'an'bo'wen
瑞乐,rui'le
瑞乐马绍尔,rui'le'ma'shao'er
瑞士奥林贝纳通,rui'shi'ao'lin'bei'na'tong
萨博,sa'bo
萨博塞福罗萨,sa'bo'sai'fu'luo'sa
萨格勒布希波纳,sa'ge'le'bu'xi'bo'na
萨克拉门托国王,sa'ke'la'men'tuo'guo'wang
萨克拉门托国王队,sa'ke'la'men'tuo'guo'wang'dui
萨马基,sa'ma'ji
萨缪尔,sa'miu'er
萨缪尔戴勒姆波特,sa'miu'er'dai'le'mu'bo'te
萨姆,sa'mu
萨姆布,sa'mu'bu
萨姆卡塞尔,sa'mu'ka'sai'er
萨沙,sa'sha
萨沙乌贾基茨,sa'sha'wu'jia'ji'ci
塞巴斯蒂安,sai'ba'si'di'an
塞巴斯蒂安特尔费尔,sai'ba'si'di'an'te'er'fei'er
赛程,sai'cheng
塞德里克,sai'de'li'ke
塞德里克西蒙斯,sai'de'li'ke'xi'meng'si
塞尔,sai'er
塞尔吉奥,sai'er'ji'ao
塞尔吉奥罗德里格斯,sai'er'ji'ao'luo'de'li'ge'si
塞尔提克,sai'er'ti'ke
塞尔维亚海默法尔姆,sai'er'wei'ya'hai'mo'fa'er'mu
塞尔维亚泽雷齐尼克,sai'er'wei'ya'ze'lei'qi'ni'ke
塞尔希尼,sai'er'xi'ni
塞福罗萨,sai'fu'luo'sa
赛区,sai'qu
塞萨洛尼卡阿里斯,sai'sa'luo'ni'ka'a'li'si
塞申斯,sai'shen'si
三不沾,san'bu'zhan
三分,san'fen
三分球,san'fen'qiu
三分球命中率,san'fen'qiu'ming'zhong'lv
三分线,san'fen'xian
三分线以外,san'fen'xian'yi'wai
三号位置球员,san'hao'wei'zhi'qiu'yuan
三秒钟,san'miao'zhong
桑贾拉,sang'jia'la
桑普森,sang'pu'sen
森林狼,sen'lin'lang
森林狼队,sen'lin'lang'dui
沙恩,sha'en
沙恩巴蒂尔,sha'en'ba'di'er
沙福里克,sha'fu'li'ke
沙福里克兰多夫,sha'fu'li'ke'lan'duo'fu
沙库尔,sha'ku'er
沙奎尔,sha'kui'er
沙奎尔奥尼尔,sha'kui'er'ao'ni'er
沙里姆,sha'li'mu
沙里姆斯塔德迈尔,sha'li'mu'si'ta'de'mai'er
山东黄金,shan'dong'huang'jin
山东黄金队,shan'dong'huang'jin'dui
山猫,shan'mao
山猫队,shan'mao'dui
山西,shan'xi
山西队,shan'xi'dui
陕西汉斯,shan'xi'han'si
陕西汉斯队,shan'xi'han'si'dui
陕西麒麟,shan'xi'qi'lin
陕西麒麟队,shan'xi'qi'lin'dui
山西中宇,shan'xi'zhong'yu
山西中宇队,shan'xi'zhong'yu'dui
上半场,shang'ban'chang
上场,shang'chang
上海大鲨鱼,shang'hai'da'sha'yu
上海大鲨鱼队,shang'hai'da'sha'yu'dui
上海汇中,shang'hai'hui'zhong
上海汇中队,shang'hai'hui'zhong'dui
上篮,shang'lan
伤员名单,shang'yuan'ming'dan
绍莱,shao'lai
圣安东尼奥马刺,sheng'an'dong'ni'ao'ma'ci
圣安东尼奥马刺队,sheng'an'dong'ni'ao'ma'ci'dui
胜场场数,sheng'chang'chang'shu
圣路易斯轰炸机,sheng'lu'yi'si'hong'zha'ji
圣路易斯轰炸机队,sheng'lu'yi'si'hong'zha'ji'dui
生死时刻投入一球可决定胜负的决定性时刻,sheng'si'shi'ke'tou'ru'yi'qiu'ke'jue'ding'sheng'fu'de'jue'ding'xing'shi'ke
施冰兵,shi'bing'bing
史蒂芬,shi'di'fen
史蒂芬布雷克,shi'di'fen'bu'lei'ke
史蒂夫,shi'di'fu
史蒂夫弗朗西斯,shi'di'fu'fu'lang'xi'si
史蒂夫纳什,shi'di'fu'na'shi
史蒂夫诺瓦克,shi'di'fu'nuo'wa'ke
史蒂文,shi'di'wen
史蒂文亨特,shi'di'wen'heng'te
史蒂文森,shi'di'wen'sen
时间只剩下,shi'jian'zhi'sheng'xia
时间终了,shi'jian'zhong'liao
世界杯,shi'jie'bei
世锦赛,shi'jin'sai
史密斯,shi'mi'si
失误,shi'wu
时限钟,shi'xian'zhong
十字韧带,shi'zi'ren'dai
首次上场,shou'ci'shang'chang
手递手的传球,shou'di'shou'de'chuan'qiu
首轮比赛,shou'lun'bi'sai
受球队约束,shou'qiu'dui'yue'shu
手指拨球,shou'zhi'bo'qiu
双方犯规,shuang'fang'fan'gui
双方均持球不放,shuang'fang'jun'chi'qiu'bu'fang
双方均无持球权时的犯规,shuang'fang'jun'wu'chi'qiu'quan'shi'de'fan'gui
双方争夺篮板球,shuang'fang'zheng'duo'lan'ban'qiu
双鹿电池,shuang'lu'dian'chi
双鹿电池队,shuang'lu'dian'chi'dui
双人包夹,shuang'ren'bao'jia
双人夹击,shuang'ren'jia'ji
双人组合,shuang'ren'zu'he
双手扣篮,shuang'shou'kou'lan
水屋中心,shui'wu'zhong'xin
水屋中心体育馆,shui'wu'zhong'xin'ti'yu'guan
斯班瑟,si'ban'se
斯班瑟豪耶斯,si'ban'se'hao'ye'si
斯蒂法尼,si'di'fa'ni
斯蒂法尼拉斯姆,si'di'fa'ni'la'si'mu
斯蒂芬,si'di'fen
斯蒂芬格拉汉姆,si'di'fen'ge'la'han'mu
斯蒂芬杰克逊,si'di'fen'jie'ke'xun
斯蒂芬马布里,si'di'fen'ma'bu'li
斯蒂夫,si'di'fu
斯蒂夫诺瓦克,si'di'fu'nuo'wa'ke
四个赛区,si'ge'sai'qu
四号位置球员,si'hao'wei'zhi'qiu'yuan
斯金纳,si'jin'na
斯卡法蒂,si'ka'fa'di
斯卡拉布赖恩,si'ka'la'bu'lai'en
斯卡沃里尼,si'ka'wo'li'ni
斯科拉,si'ke'la
斯科特,si'ke'te
斯科特波拉德,si'ke'te'bo'la'de
斯拉斯克,si'la'si'ke
斯洛文尼亚卢布尔雅纳,si'luo'wen'ni'ya'lu'bu'er'ya'na
斯马什,si'ma'shen
斯马什帕克,si'ma'shen'pa'ke
斯耐德,si'nai'de
斯诺,si'nuo
斯潘诺里斯,si'pan'nuo'li'si
斯皮蒂,si'pi'di
斯皮蒂克拉克斯顿,si'pi'di'ke'la'ke'si'dun
死球,si'qiu
斯塔德迈尔,si'ta'de'mai'er
斯塔基,si'ta'ji
斯塔克豪斯,si'ta'ke'hao'si
斯台普斯,si'tai'pu'si
斯台普斯球馆,si'tai'pu'si'qiu'guan
斯特拉斯堡,si'te'la'si'bao
斯特罗贝里,si'te'luo'bei'li
斯特罗迈尔,si'te'luo'mai'er
斯特罗迈尔斯威夫特,si'te'luo'mai'er'si'wei'fu'te
斯特瑞,si'te'rui
斯托贾科维奇,si'tuo'jia'ke'wei'qi
斯威夫特,si'wei'fu'te
斯威福特,si'wei'fu'te
斯泽比亚克,si'ze'bi'ya'ke
宋博,song'bo
宋国令,song'guo'ling
苏伟,su'wei
隋晓龙,sui'xiao'long
孙春磊,sun'chun'lei
孙杰,sun'jie
孙铭,sun'ming
孙天农,sun'tian'nong
孙忠诚,sun'zhong'cheng
索波特,suo'bo'te
索顿,suo'dun
索恩河畔沙隆,suo'en'he'pan'sha'long
索洛蒙,suo'luo'meng
索洛蒙琼斯,suo'luo'meng'qiong'si
索蒙斯,suo'meng'si
塔杜斯,ta'du'si
塔杜斯扬,ta'du'si'yang
塔克尔,ta'ke'er
泰拉莫纳维格,tai'la'mo'na'wei'ge
泰龙,tai'long
泰龙鲁,tai'long'lu
泰伦斯,tai'lun'si
太平洋区,tai'ping'yang'qu
泰瑞斯,tai'rui'si
泰瑞斯托马斯,tai'rui'si'tuo'ma'si
泰森,tai'sen
泰森钱德勒,tai'sen'qian'de'le
泰夏安,tai'xia'an
泰夏安普林斯,tai'xia'an'pu'lin'si
太阳,tai'yang
太阳队,tai'yang'dui
汤豪杰,tang'hao'jie
汤仑,tang'lun
唐尼尔,tang'ni'er
唐尼尔马绍尔,tang'ni'er'ma'shao'er
汤普森,tang'pu'sen
唐正东,tang'zheng'dong
陶瑞恩,tao'rui'en
陶瑞恩格林,tao'rui'en'ge'lin
特尔费尔,te'er'fei'er
特科格鲁,te'ke'ge'lu
特拉维夫马卡比,te'la'wei'fu'ma'ka'bi
特拉维斯,te'la'wei'si
特拉维斯奥特劳,te'la'wei'si'ao'te'lao
特拉维斯迪安纳,te'la'wei'si'di'an'na
特兰顿,te'lan'dun
特兰顿哈塞尔,te'lan'dun'ha'sai'er
特雷维索贝纳通,te'lei'wei'suo'bei'na'tong
特雷沃,te'lei'wo
特雷沃阿里扎,te'lei'wo'a'li'zha
特雷西,te'lei'xi
特雷西麦格雷迪,te'lei'xi'mai'ge'lei'di
特雷西麦克格雷迪,te'lei'xi'mai'ke'ge'lei'di
特里,te'li
特里尔霍尔佐格电信,te'li'er'huo'er'zuo'ge'dian'xin
特伦斯,te'lun'si
特伦斯肯塞,te'lun'si'ken'sai
特罗伊,te'luo'yi
特罗伊哈德森,te'luo'yi'ha'de'sen
特罗伊墨菲,te'luo'yi'mo'fei
替补队员,ti'bu'dui'yuan
替换球员,ti'huan'qiu'yuan
天钩,tian'gou
田雨,tian'yu
跳球,tiao'qiu
跳投,tiao'tou
铁人,tie'ren
铁人队,tie'ren'dui
停赛,ting'sai
汀斯利,ting'si'li
停止出赛,ting'zhi'chu'sai
通钢,tong'gang
通钢队,tong'gang'dui
投进,tou'jin
投进两分球后因被犯规再罚进一分,tou'jin'liang'fen'qiu'hou'yin'bei'fan'gui'zai'fa'jin'yi'fen
投进三分球后因被犯规再罚进一分,tou'jin'san'fen'qiu'hou'yin'bei'fan'gui'zai'fa'jin'yi'fen
投篮,tou'lan
投篮得分,tou'lan'de'fen
投篮命中,tou'lan'ming'zhong
投篮命中率,tou'lan'ming'zhong'lv
投篮外空心球,tou'lan'wai'kong'xin'qiu
投球,tou'qiu
投球命中,tou'qiu'ming'zhong
投球命中率,tou'qiu'ming'zhong'lv
投三分球,tou'san'fen'qiu
土耳其贝西克塔斯,tu'er'qi'bei'xi'ke'ta'si
土耳其电信,tu'er'qi'dian'xin
图科,tu'ke
图里亚夫,tu'li'ya'fu
图罗夫,tu'luo'fu
突破,tu'po
突破上篮,tu'po'shang'lan
托马斯,tuo'ma'si
托马斯加德纳,tuo'ma'si'jia'de'na
托尼,tuo'ni
托尼阿伦,tuo'ni'a'lun
托尼巴蒂,tuo'ni'ba'di
托尼帕克,tuo'ni'pa'ke
托球入篮,tuo'qiu'ru'lan
瓦夫,wa'fu
瓦拉多利德,wa'la'duo'li'de
瓦雷泽,wa'lei'ze
瓦里克,wa'li'ke
瓦伦西亚帕梅萨,wa'lun'xi'ya'pa'mei'sa
瓦斯里斯,wa'si'li'si
瓦斯里斯斯潘诺里斯,wa'si'li'si'si'pan'nuo'li'si
万马电缆,wan'ma'dian'lan
万马电缆队,wan'ma'dian'lan'dui
王斌,wang'bin
王博,wang'bo
王大勇,wang'da'yong
网队,wang'dui
王刚,wang'gang
王晶,wang'jing
王磊,wang'lei
王立刚,wang'li'gang
王楠,wang'nan
王胜,wang'sheng
王世龙,wang'shi'long
王仕鹏,wang'shi'peng
王思章,wang'si'zhang
王晓东,wang'xiao'dong
汪义航,wang'yi'hang
王英亮,wang'ying'liang
王勇,wang'yong
王治郅,wang'zhi'zhi
王中光,wang'zhong'guang
韦伯,wei'bo
韦伯斯特,wei'bo'si'te
韦德,wei'de
维多利亚陶,wei'duo'li'ya'tao
威尔,wei'er
威尔弗瑞斯贝,wei'er'fu'rui'si'bei
威尔金斯,wei'er'jin'si
韦尔考克斯,wei'er'kao'ke'si
维尔克斯,wei'er'ke'si
维尔纽斯,wei'er'niu'si
维尔士,wei'er'shi
威尔斯,wei'er'si
威尔逊,wei'er'xun
威尔逊钱德勒,wei'er'xun'qian'de'le
违反二十四秒内必须投篮,wei'fan'er'shi'si'miao'nei'bi'xu'tou'lan
维克顿,wei'ke'dun
维克顿瓦夫,wei'ke'dun'wa'fu
维克多,wei'ke'duo
维克多卡亚帕,wei'ke'duo'ka'ya'pa
维拉纽瓦,wei'la'niu'wa
违例,wei'li
威利,wei'li
威利格林,wei'li'ge'lin
威廉姆森,wei'lian'mu'sen
威廉姆斯,wei'lian'mu'si
韦斯特,wei'si'te
威特尼,wei'te'ni
维希,wei'xi
魏志,wei'zhi
文尼西斯,wen'ni'xi'si
文斯,wen'si
文斯比尔斯,wen'si'bi'er'si
文斯卡特,wen'si'ka'te
沃顿,wo'dun
沃恩,wo'en
沃尔特,wo'er'te
沃尔特赫尔曼,wo'er'te'he'er'man
沃克,wo'ke
沃利,wo'li
沃利斯泽比亚克,wo'li'si'ze'bi'ya'ke
沃斯库尔,wo'si'ku'er
沃特金斯,wo'te'jin'si
沃特森,wo'te'sen
乌迪内斯奈德罗,wu'di'nei'si'nai'de'luo
乌度卡,wu'du'ka
乌杜尼斯,wu'du'ni'si
乌杜尼斯哈斯勒姆,wu'du'ni'si'ha'si'le'mu
乌尔姆一八四六,wu'er'mu'yi'ba'si'liu
五号位置球员,wu'hao'wei'zhi'qiu'yuan
乌基奇,wu'ji'qi
乌贾基茨,wu'jia'ji'ci
吴轲,wu'ke
乌克兰阿佐马什,wu'ke'lan'a'zuo'ma'shen
吴理义,wu'li'yi
吴乃群,wu'nai'qun
吴谦,wu'qian
武强,wu'qiang
武士,wu'shi
武士队,wu'shi'dui
吴颂伟,wu'song'wei
吴伟,wu'wei
伍兹,wu'zi
西奥,xi'ao
西奥拉特利夫,xi'ao'la'te'li'fu
希奥利埃,xi'ao'li'ai
西班牙巴伦塞斯托莱昂,xi'ban'ya'ba'lun'sai'si'tuo'lai'ang
西班牙巴伦西亚帕梅萨,xi'ban'ya'ba'lun'xi'ya'pa'mei'sa
西班牙巴塞罗纳,xi'ban'ya'ba'sai'luo'na
西班牙毕尔巴厄,xi'ban'ya'bi'er'ba'e
西班牙费尔南多,xi'ban'ya'fei'er'nan'duo
西班牙弗恩拉布拉达,xi'ban'ya'fu'en'la'bu'la'da
西班牙格拉纳达,xi'ban'ya'ge'la'na'da
西班牙赫罗纳阿卡斯瓦伊,xi'ban'ya'he'luo'na'a'ka'si'wa'yi
西班牙皇家马德里,xi'ban'ya'huang'jia'ma'de'li
西班牙卡那里亚,xi'ban'ya'ka'na'li'ya
西班牙马德里埃斯图典特斯,xi'ban'ya'ma'de'li'ai'si'tu'dian'te'si
西班牙马拉加,xi'ban'ya'ma'la'jia
西班牙曼雷沙,xi'ban'ya'man'lei'sha
西班牙梅诺卡,xi'ban'ya'mei'nuo'ka
西班牙穆尔西亚,xi'ban'ya'mu'er'xi'ya
西班牙瓦拉多利德,xi'ban'ya'wa'la'duo'li'de
西班牙瓦伦西亚帕梅萨,xi'ban'ya'wa'lun'xi'ya'pa'mei'sa
西班牙维多利亚陶,xi'ban'ya'wei'duo'li'ya'tao
西班牙尤文图特,xi'ban'ya'you'wen'tu'te
西部联盟,xi'bu'lian'meng
希达耶特,xi'da'ye'te
希达耶特特科格鲁,xi'da'ye'te'te'ke'ge'lu
西恩,xi'en
西恩马克斯,xi'en'ma'ke'si
西恩威廉姆斯,xi'en'wei'lian'mu'si
希尔,xi'er
希尔顿,xi'er'dun
希尔顿阿姆斯特朗,xi'er'dun'a'mu'si'te'lang
膝关节中的韧带,xi'guan'jie'zhong'de'ren'dai
希腊潘内利尼奥斯,xi'la'pan'nei'li'ni'ao'si
希腊潘尼奥尼奥斯,xi'la'pan'ni'ao'ni'ao'si
希腊塞萨洛尼卡阿里斯,xi'la'sai'sa'luo'ni'ka'a'li'si
西蒙斯,xi'meng'si
希姆基,xi'mu'ji
希姆斯,xi'mu'si
西南区,xi'nan'qu
希尼,xi'ni
西雅图超音速,xi'ya'tu'chao'yin'su
西雅图超音速队,xi'ya'tu'chao'yin'su'dui
西耶纳蒙特帕希,xi'ye'na'meng'te'pa'xi
下半场,xia'ban'chang
下场,xia'chang
夏洛特,xia'luo'te
夏洛特山猫,xia'luo'te'shan'mao
夏洛特山猫队,xia'luo'te'shan'mao'dui
夏洛特体育馆,xia'luo'te'ti'yu'guan
先发出场次数,xian'fa'chu'chang'ci'shu
先发球员,xian'fa'qiu'yuan
香农,xiang'nong
香农布朗,xiang'nong'bu'lang
小奥尼尔,xiao'ao'ni'er
肖恩,xiao'en
肖恩巴蒂尔,xiao'en'ba'di'er
肖恩利文斯顿,xiao'en'li'wen'si'dun
肖恩马里昂,xiao'en'ma'li'ang
肖恩梅,xiao'en'mei
肖恩威廉姆斯,xiao'en'wei'lian'mu'si
小勾手,xiao'gou'shou
小牛,xiao'niu
小牛队,xiao'niu'dui
小前锋,xiao'qian'feng
谢尔顿,xie'er'dun
谢尔顿威廉姆斯,xie'er'dun'wei'lian'mu'si
解立彬,xie'li'bin
谢里夫,xie'li'fu
谢里夫阿卜杜拉希姆,xie'li'fu'a'bu'du'la'xi'mu
新奥尔良,xin'ao'er'liang
新奥尔良黄蜂,xin'ao'er'liang'huang'feng
新奥尔良黄蜂队,xin'ao'er'liang'huang'feng'dui
新奥尔良球馆,xin'ao'er'liang'qiu'guan
新疆飞虎,xin'jiang'fei'hu
新疆飞虎队,xin'jiang'fei'hu'dui
新疆广汇,xin'jiang'guang'hui
新疆广汇队,xin'jiang'guang'hui'dui
辛里奇,xin'li'qi
新世纪,xin'shi'ji
新世纪队,xin'shi'ji'dui
新泽西网,xin'ze'xi'wang
新泽西网队,xin'ze'xi'wang'dui
雄鹿,xiong'lu
雄鹿队,xiong'lu'dui
休斯,xiu'si
休斯顿火箭,xiu'si'dun'huo'jian
休斯顿火箭队,xiu'si'dun'huo'jian'dui
徐国翀,xu'guo'chong
徐家良,xu'jia'liang
徐树森,xu'shu'sen
徐咏,xu'yong
选秀,xuan'xiu
选秀顺序,xuan'xiu'shun'xu
薛玉洋,xue'yu'yang
亚当,ya'dang
亚当哈卢卡斯,ya'dang'ha'lu'ka'si
亚当莫里森,ya'dang'mo'li'sen
雅各布森,ya'ge'bu'sen
雅克,ya'ke
雅克赫巴,ya'ke'he'ba
雅克赫巴迪阿瓦拉,ya'ke'he'ba'di'a'wa'la
雅克沃恩,ya'ke'wo'en
亚历山大,ya'li'shan'da
亚历山大帕夫洛维奇,ya'li'shan'da'pa'fu'luo'wei'qi
亚历山大约翰逊,ya'li'shan'da'yue'han'xun
