标准压力,biao'zhun'ya'li
标准仪器,biao'zhun'yi'qi
标准宇宙论,biao'zhun'yu'zhou'lun
标准真空计,biao'zhun'zhen'kong'ji
标准钟,biao'zhun'zhong
标准烛光,biao'zhun'zhu'guang
标准状态,biao'zhun'zhuang'tai
别洛乌蓑扎甫京斯基反应,bie'luo'wu'suo'zha'fu'jing'si'ji'fan'ying
冰点降低,bing'dian'jiang'di
冰点降低测定法,bing'dian'jiang'di'ce'ding'fa
并合原理,bing'he'yuan'li
并激电动机,bing'ji'dian'dong'ji
冰晶石,bing'jing'shi
并励发电机,bing'li'fa'dian'ji
并联,bing'lian
并联电路,bing'lian'dian'lu
并联共振,bing'lian'gong'zhen
并联共振电路,bing'lian'gong'zhen'dian'lu
冰量热计,bing'liang're'ji
冰模型,bing'mo'xing
并绕电动机,bing'rao'dian'dong'ji
丙酮,bing'tong
丙烯酸尸,bing'xi'suan'shi
冰箱,bing'xiang
饼状核,bing'zhuang'he
波长,bo'chang
波长标准,bo'chang'biao'zhun
波长计,bo'chang'ji
波达摆,bo'da'bai
玻达喷口,bo'da'pen'kou
波带,bo'dai
波带片,bo'dai'pian
波荡器,bo'dang'qi
波荡运动,bo'dang'yun'dong
波导,bo'dao
波导管,bo'dao'guan
波导管激光器,bo'dao'guan'ji'guang'qi
波的传播,bo'de'chuan'bo
波德定律,bo'de'ding'lv
波得尼峰,bo'de'ni'feng
铂电阻温度计,bo'dian'zu'wen'du'ji
波动,bo'dong
波动场,bo'dong'chang
波动方程,bo'dong'fang'cheng
波动光学,bo'dong'guang'xue
波动函数,bo'dong'han'shu
波动力学,bo'dong'li'xue
玻栋卤竞器,bo'dong'lu'jing'qi
波动论,bo'dong'lun
波动图,bo'dong'tu
波动图形,bo'dong'tu'xing
波动性,bo'dong'xing
伯豆坦波,bo'dou'tan'bo
波肚表,bo'du'biao
玻尔半径,bo'er'ban'jing
玻尔磁子,bo'er'ci'zi
玻尔范莱欧文定理,bo'er'fan'lai'ou'wen'ding'li
玻尔理论,bo'er'li'lun
玻饵似,bo'er'si
玻尔原子,bo'er'yuan'zi
玻尔原子模型,bo'er'yuan'zi'mo'xing
玻耳兹曼常量,bo'er'zi'man'chang'liang
玻耳兹曼常数,bo'er'zi'man'chang'shu
玻耳兹曼分布,bo'er'zi'man'fen'bu
玻耳兹曼输运方程,bo'er'zi'man'shu'yun'fang'cheng
玻耳兹曼统计,bo'er'zi'man'tong'ji
玻耳兹曼因子,bo'er'zi'man'yin'zi
玻耳兹曼原理,bo'er'zi'man'yuan'li
波峰,bo'feng
波峰因数,bo'feng'yin'shu
波腹,bo'fu
波戈留玻夫变换,bo'ge'liu'bo'fu'bian'huan
伯格曼系,bo'ge'man'xi
伯格斯模型,bo'ge'si'mo'xing
伯格斯矢量,bo'ge'si'shi'liang
波谷,bo'gu
玻管液体温度计,bo'guan'ye'ti'wen'du'ji
波江座,bo'jiang'zuo
波节,bo'jie
箔静电计,bo'jing'dian'ji
波克尔斯盒,bo'ke'er'si'he
波浪,bo'lang
玻璃,bo'li
波粒二重性,bo'li'er'chong'xing
波粒二象性,bo'li'er'xiang'xing
玻璃化转变点,bo'li'hua'zhuan'bian'dian
玻璃激光器,bo'li'ji'guang'qi
玻璃态,bo'li'tai
玻璃纤维,bo'li'xian'wei
玻璃转化,bo'li'zhuan'hua
玻璃状固体,bo'li'zhuang'gu'ti
波列,bo'lie
波面法线,bo'mian'fa'xian
波模牵引,bo'mo'qian'yin
玻姆扩散,bo'mu'kuo'san
