艾官,ai'guan
王熙凤历幻返金陵,wang'xi'feng'li'huan'fan'jin'ling
王熙凤恃强羞说病,wang'xi'feng'shi'qiang'xiu'shuo'bing
王熙凤效戏彩斑衣,wang'xi'feng'xiao'xi'cai'ban'yi
王熙凤协理宁国府,wang'xi'feng'xie'li'ning'guo'fu
王熙凤正言弹妒意,wang'xi'feng'zheng'yan'dan'du'yi
王熙凤致祸抱羞惭,wang'xi'feng'zhi'huo'bao'xiu'can
王希献,wang'xi'xian
王兴,wang'xing
王柱儿,wang'zhu'er
王子胜,wang'zi'sheng
王子腾,wang'zi'teng
王作梅,wang'zuo'mei
闻秘事凤姐讯家童,wen'mi'shi'feng'jie'xun'jia'tong
五儿,wu'er
吴贵,wu'gui
无稽崖,wu'ji'ya
邬将军,wu'jiang'jun
乌进孝,wu'jin'xiao
无事忙,wu'shi'mang
吴天佑,wu'tian'you
吴新登,wu'xin'deng
吴新登家的,wu'xin'deng'jia'de
吴兴登,wu'xing'deng
吴巡抚,wu'xun'fu
吴玉峰,wu'yu'feng
乌庄头,wu'zhuang'tou
喜出望外平儿理妆,xi'chu'wang'wai'ping'er'li'zhuang
惜春,xi'chun
喜儿,xi'er
熙凤,xi'feng
西府,xi'fu
西宁王,xi'ning'wang
袭人,xi'ren
西厢记妙词通戏语,xi'xiang'ji'miao'ci'tong'xi'yu
夏秉忠,xia'bing'zhong
夏金桂,xia'jin'gui
夏妈,xia'ma
夏婆,xia'po
夏婆子,xia'po'zi
夏三,xia'san
夏守忠,xia'shou'zhong
夏太监,xia'tai'jian
虾须镯,xia'xu'zhuo
霞影纱,xia'ying'sha
闲取乐偶攒金庆寿,xian'qu'le'ou'cuan'jin'qing'shou
贤袭人娇嗔箴宝玉,xian'xi'ren'jiao'chen'zhen'bao'yu
嫌隙人有心生嫌隙,xian'xi'ren'you'xin'sheng'xian'xi
享福人福深还祷福,xiang'fu'ren'fu'shen'hai'dao'fu
香菱,xiang'ling
湘云,xiang'yun
湘云眠芍,xiang'yun'mian'shao
小蝉,xiao'chan
小蝉儿,xiao'chan'er
笑儿,xiao'er
小红,xiao'hong
小红骨践最身轻,xiao'hong'gu'jian'zui'shen'qing
小吉祥儿,xiao'ji'xiang'er
小鸠儿,xiao'jiu'er
小内监,xiao'nei'jian
小鹊,xiao'que
小沙弥,xiao'sha'mi
小舍儿,xiao'she'er
潇湘妃子,xiao'xiang'fei'zi
潇湘馆,xiao'xiang'guan
潇湘馆春困发幽情,xiao'xiang'guan'chun'kun'fa'you'qing
潇湘子雅谑补余香,xiao'xiang'zi'ya'xue'bu'yu'xiang
小蟹爪,xiao'xie'zhua
小幺儿,xiao'yao'er
小著色,xiao'zhu'se
泄机关颦儿迷本性,xie'ji'guan'pin'er'mi'ben'xing
偕鸾,xie'luan
欣聚党恶子独承家,xin'ju'dang'e'zi'du'cheng'jia
邢德全,xing'de'quan
兴儿,xing'er
邢夫人,xing'fu'ren
杏帘在望,xing'lian'zai'wang
杏奴,xing'nu
省亲别墅,xing'qin'bie'shu
邢嫂子,xing'sao'zi
猩猩毡,xing'xing'zhan
邢岫烟,xing'xiu'yan
邢忠,xing'zhong
杏子阴假凤泣虚凰,xing'zi'yin'jia'feng'qi'xu'huang
修国公侯晓明,xiu'guo'gong'hou'xiao'ming
绣桔,xiu'ju
绣鸳鸯梦兆绛芸轩,xiu'yuan'yang'meng'zhao'jiang'yun'xuan
玄真观,xuan'zhen'guan
薛宝钗,xue'bao'chai
薛宝钗出闺成大礼,xue'bao'chai'chu'gui'cheng'da'li
薛宝钗羞笼红麝串,xue'bao'chai'xiu'long'hong'she'chuan
薛宝琴,xue'bao'qin
薛蘅芜讽和螃蟹咏,xue'heng'wu'feng'he'pang'xie'yong
薛蝌,xue'ke
薛蟠,xue'pan
薛文龙悔娶河东狮,xue'wen'long'hui'qu'he'dong'shi
薛文起复惹放流刑,xue'wen'qi'fu're'fang'liu'xing
薛小妹新编怀古诗,xue'xiao'mei'xin'bian'huai'gu'shi
雪雁,xue'yan
靴掖,xue'ye
薛姨妈,xue'yi'ma
丫环,ya'huan
丫鬟,ya'huan
宴海棠贾母赏花妖,yan'hai'tang'jia'mu'shang'hua'yao
嫣红,yan'hong
魇魔法姊弟逢五鬼,yan'mo'fa'zi'di'feng'wu'gui
宴宁府宝玉会秦钟,yan'ning'fu'bao'yu'hui'qin'zhong
胭脂膏子,yan'zhi'gao'zi
药官,yao'guan
叶妈,ye'ma
怡红公子,yi'hong'gong'zi
怡红快绿,yi'hong'kuai'lv
怡红院,yi'hong'yuan
怡红院劫遇母蝗虫,yi'hong'yuan'jie'yu'mu'huang'chong
以假混真宝玉疯颠,yi'jia'hun'zhen'bao'yu'feng'dian
意绵绵静日玉生香,yi'mian'mian'jing'ri'yu'sheng'xiang
银蝶,yin'die
因讹成实元妃薨逝,yin'e'cheng'shi'yuan'fei'hong'shi
因麒麟伏白首双星,yin'qi'lin'fu'bai'shou'shuang'xing
饮仙醪曲演红楼梦,yin'xian'lao'qu'yan'hong'lou'meng
阴骘文,yin'zhi'wen
迎春,ying'chun
莺儿,ying'er
鹦哥,ying'ge
英莲,ying'lian
营缮郎,ying'shan'lang
蝇帚,ying'zhou
勇晴雯病补雀金裘,yong'qing'wen'bing'bu'que'jin'qiu
右寸,you'cun
尤二姐,you'er'jie
有凤来仪,you'feng'lai'yi
又副册,you'fu'ce
游幻境指迷十二钗,you'huan'jing'zhi'mi'shi'er'chai
尤老娘,you'lao'niang
尤婆子,you'po'zi
尤三姐,you'san'jie
尤三姐思嫁柳二郎,you'san'jie'si'jia'liu'er'lang
尤氏,you'shi
幽淑女悲题五美吟,you'shu'nv'bei'ti'wu'mei'yin
玉钏,yu'chuan
玉钏儿,yu'chuan'er
玉官,yu'guan
玉桂儿,yu'gui'er
玉蕗藤,yu'lu'teng
俞平伯,yu'ping'bo
余信,yu'xin
玉柱儿,yu'zhu'er
元春,yuan'chun
圆信,yuan'xin
鸳鸯,yuan'yang
鸳鸯女誓绝鸳鸯偶,yuan'yang'nv'shi'jue'yuan'yang'ou
鸳鸯女无意遇鸳鸯,yuan'yang'nv'wu'yi'yu'yuan'yang
鸳鸯女殉主登太虚,yuan'yang'nv'xun'zhu'deng'tai'xu
原应叹息,yuan'ying'tan'xi
阅邸报老舅自担惊,yue'di'bao'lao'jiu'zi'dan'jing
云儿,yun'er
云老爷,yun'lao'ye
芸香,yun'xiang
载权,zai'quan
葬花吟,zang'hua'yin
詹光,zhan'guang
占旺相四美钓游鱼,zhan'wang'xiang'si'mei'diao'you'yu
詹子亮,zhan'zi'liang
张材,zhang'cai
张材家的,zhang'cai'jia'de
张财主,zhang'cai'zhu
张大老爷,zhang'da'lao'ye
张道士,zhang'dao'shi
张法官,zhang'fa'guan
张华,zhang'hua
张家的,zhang'jia'de
张金哥,zhang'jin'ge
张妈妈,zhang'ma'ma
张奶妈,zhang'nai'ma
张如圭,zhang'ru'gui
张若锦,zhang'ruo'jin
张太医,zhang'tai'yi
张太医论病细穷源,zhang'tai'yi'lun'bing'xi'qiong'yuan
张友士,zhang'you'shi
张暂,zhang'zan
张真人,zhang'zhen'ren
昭儿,zhao'er
赵国基,zhao'guo'ji
赵嬷嬷,zhao'mo'mo
赵奶妈,zhao'nai'ma
赵全,zhao'quan
昭容,zhao'rong
赵侍郎,zhao'shi'lang
赵太监,zhao'tai'jian
赵堂官,zhao'tang'guan
赵天栋,zhao'tian'dong
赵天梁,zhao'tian'liang
赵亦华,zhao'yi'hua
赵姨娘,zhao'yi'niang
甄宝玉,zhen'bao'yu
臻儿,zhen'er
甄费,zhen'fei
甄夫人,zhen'fu'ren
镇国公牛清,zhen'guo'gong'niu'qing
甄家仆投靠贾家门,zhen'jia'pu'tou'kao'jia'jia'men
甄母,zhen'mu
甄士隐,zhen'shi'yin
甄士隐梦幻识通灵,zhen'shi'yin'meng'huan'shi'tong'ling
甄士隐详说太虚情,zhen'shi'yin'xiang'shuo'tai'xu'qing
枕霞阁,zhen'xia'ge
枕霞旧友,zhen'xia'jiu'you
甄应嘉,zhen'ying'jia
甄应嘉蒙恩还玉阙,zhen'ying'jia'meng'en'hai'yu'que
甄英莲,zhen'ying'lian
甄友忠,zhen'you'zhong
珍珠,zhen'zhu
正房,zheng'fang
正房大院,zheng'fang'da'yuan
正家法贾珍鞭悍仆,zheng'jia'fa'jia'zhen'bian'han'pu
证同类宝玉失相知,zheng'tong'lei'bao'yu'shi'xiang'zhi
脂本,zhi'ben
制灯迷贾政悲谶语,zhi'deng'mi'jia'zheng'bei'chen'yu
脂粉香娃割腥啖膻,zhi'fen'xiang'wa'ge'xing'dan'shan
治国公马魁,zhi'guo'gong'ma'kui
智能,zhi'neng
智能儿,zhi'neng'er
脂批,zhi'pi
脂评本,zhi'ping'ben
智善,zhi'shan
智通,zhi'tong
脂砚斋,zhi'yan'zhai
忠靖侯,zhong'jing'hou
忠靖侯史鼎,zhong'jing'hou'shi'ding
中山狼,zhong'shan'lang
终身误,zhong'shen'wu
忠顺亲王,zhong'shun'qin'wang
忠顺王爷,zhong'shun'wang'ye
中乡魁宝玉却尘缘,zhong'xiang'kui'bao'yu'que'chen'yuan
忠义亲王,zhong'yi'qin'wang
周财主,zhou'cai'zhu
周大娘,zhou'da'niang
周二爷,zhou'er'ye
周奶妈,zhou'nai'ma
周琼,zhou'qiong
周瑞,zhou'rui
周瑞家的,zhou'rui'jia'de
周瑞媳妇,zhou'rui'xi'fu
周嫂子,zhou'sao'zi
周太监,zhou'tai'jian
周姨娘,zhou'yi'niang
住儿,zhu'er
珠儿线,zhu'er'xian
篆儿,zhuan'er
坠儿,zhui'er
坠儿娘,zhui'er'niang
缀锦楼,zhui'jin'lou
紫鹃,zi'juan
紫菱洲,zi'ling'zhou
紫云,zi'yun
紫芸,zi'yun
纵淫心宝蟾工设计,zong'yin'xin'bao'chan'gong'she'ji
阻超凡佳人双护玉,zu'chao'fan'jia'ren'shuang'hu'yu
醉金刚轻财尚义侠,zui'jin'gang'qing'cai'shang'yi'xia
醉金刚小鳅生大浪,zui'jin'gang'xiao'qiu'sheng'da'lang
坐禅寂走火入邪魔,zuo'chan'ji'zou'huo'ru'xie'mo
