艾叶生姜煨鸡蛋,ai'ye'sheng'jiang'wei'ji'dan
翡翠干贝冬茸羹,fei'cui'gan'bei'dong'rong'geng
翡翠裙边,fei'cui'qun'bian
翡翠瑶柱羹,fei'cui'yao'zhu'geng
翡翠银耳,fei'cui'yin'er
翡翠鱼丁,fei'cui'yu'ding
翡翠玉扇,fei'cui'yu'shan
翡翠鱼粥,fei'cui'yu'zhou
翡翠鱼珠,fei'cui'yu'zhu
翡翠鸳鸯带,fei'cui'yuan'yang'dai
沸腾羊肉,fei'teng'yang'rou
沸腾鱼,fei'teng'yu
粉白美人茶,fen'bai'mei'ren'cha
粉皮白肉,fen'pi'bai'rou
粉皮辣鱼,fen'pi'la'yu
粉丝海米芹菜汤,fen'si'hai'mi'qin'cai'tang
粉丝焗膏蟹,fen'si'ju'gao'xie
粉丝香菇蛋汤,fen'si'xiang'gu'dan'tang
粉蒸牛肉,fen'zheng'niu'rou
粉蒸排骨,fen'zheng'pai'gu
凤穿金衣,feng'chuan'jin'yi
凤炖牡丹,feng'dun'mu'dan
风炖牡丹,feng'dun'mu'dan
凤凰出世,feng'huang'chu'shi
凤凰萝卜,feng'huang'luo'bo
凤凰趴窝,feng'huang'pa'wo
凤凰鱼翅,feng'huang'yu'chi
凤凰鱼肚,feng'huang'yu'du
凤凰展翅,feng'huang'zhan'chi
凤梨咖喱鸡,feng'li'ga'li'ji
凤梨咕噜虾球,feng'li'gu'lu'xia'qiu
凤梨烩排骨,feng'li'hui'pai'gu
凤梨蟹柳,feng'li'xie'liu
风林茄子,feng'lin'qie'zi
凤脯珍珠,feng'pu'zhen'zhu
风情羊柳,feng'qing'yang'liu
丰收龙舟,feng'shou'long'zhou
凤吞翅,feng'tun'chi
凤尾金鱼,feng'wei'jin'yu
凤尾群翅,feng'wei'qun'chi
凤尾虾排,feng'wei'xia'pai
风味羊腿,feng'wei'yang'tui
凤戏牡丹,feng'xi'mu'dan
丰胸通草汤,feng'xiong'tong'cao'tang
凤眼秋波,feng'yan'qiu'bo
凤阳酿豆腐,feng'yang'niang'dou'fu
凤爪,feng'zhao
佛手凤柳片,fo'shou'feng'liu'pian
佛手广肚,fo'shou'guang'du
佛手海参,fo'shou'hai'shen
佛手烩珍鲍片,fo'shou'hui'zhen'bao'pian
佛手金卷,fo'shou'jin'juan
佛手排骨,fo'shou'pai'gu
佛手三丝,fo'shou'san'si
佛手珠子,fo'shou'zhu'zi
佛跳墙,fo'tiao'qiang
富春鸡,fu'chun'ji
富贵黄金卷,fu'gui'huang'jin'juan
富贵满粥,fu'gui'man'zhou
富贵手撕鸡,fu'gui'shou'si'ji
富贵有鱼,fu'gui'you'yu
茯苓金菇,fu'ling'jin'gu
茯苓杏仁炸全蝎,fu'ling'xing'ren'zha'quan'xie
茯苓银耳鸽蛋,fu'ling'yin'er'ge'dan
腐皮包黄鱼,fu'pi'bao'huang'yu
腐皮虾包,fu'pi'xia'bao
附片归杞炖羊肉,fu'pian'gui'qi'dun'yang'rou
芙蓉菜心,fu'rong'cai'xin
芙蓉大虾,fu'rong'da'xia
芙蓉蛋,fu'rong'dan
芙蓉糕,fu'rong'gao
芙蓉海蚌,fu'rong'hai'bang
芙蓉鲫鱼,fu'rong'ji'yu
芙蓉鹿尾,fu'rong'lu'wei
芙蓉四宝,fu'rong'si'bao
芙蓉蟹,fu'rong'xie
芙蓉燕菜,fu'rong'yan'cai
芙蓉鱼骨,fu'rong'yu'gu
芙蓉鱼角,fu'rong'yu'jiao
福山烧小鸡,fu'shan'shao'xiao'ji
浮油鸡片,fu'you'ji'pian
复元汤,fu'yuan'tang
腐竹豌豆粥,fu'zhu'wan'dou'zhou
咖喱菜花,ga'li'cai'hua
咖喱炒干丝,ga'li'chao'gan'si
咖喱鸡丝羹,ga'li'ji'si'geng
咖喱饺,ga'li'jiao
咖喱焖鸡,ga'li'men'ji
咖喱焖羊腩,ga'li'men'yang'nan
咖喱牛百叶汤,ga'li'niu'bai'ye'tang
咖喱牛肉,ga'li'niu'rou
咖喱樱桃,ga'li'ying'tao
干贝萝卜汤,gan'bei'luo'bo'tang
干贝汤,gan'bei'tang
干煸冬笋,gan'bian'dong'sun
干煸鸡丁,gan'bian'ji'ding
干煸豇豆,gan'bian'jiang'dou
干煸茭白,gan'bian'jiao'bai
干煸苦瓜丝,gan'bian'ku'gua'si
干煸莲藕,gan'bian'lian'ou
干煸牛腩,gan'bian'niu'nan
干煸牛肉丝,gan'bian'niu'rou'si
干煸肉丝,gan'bian'rou'si
干煸鳝背,gan'bian'shan'bei
干煸鳝鱼,gan'bian'shan'yu
干煸鳝鱼丝,gan'bian'shan'yu'si
干煸神仙蟹,gan'bian'shen'xian'xie
干煸四季豆,gan'bian'si'ji'dou
干煸鲜笋,gan'bian'xian'sun
干煸香菇扁豆,gan'bian'xiang'gu'bian'dou
干菜焖肉,gan'cai'men'rou
干炒牛河,gan'chao'niu'he
干炒牛肉丝,gan'chao'niu'rou'si
干风春鱼,gan'feng'chun'yu
肝糕汤,gan'gao'tang
干锅腊味河蚌,gan'guo'la'wei'he'bang
干锅手撕包菜,gan'guo'shou'si'bao'cai
干锅兔,gan'guo'tu
干火靠大虾,gan'huo'kao'da'xia
干煎黄鱼,gan'jian'huang'yu
干姜红茶,gan'jiang'hong'cha
干菊花粥,gan'ju'hua'zhou
甘菊猪肚,gan'ju'zhu'du
橄榄炖鸡,gan'lan'dun'ji
甘蓝什锦串,gan'lan'shi'jin'chuan
甘麦红枣汤,gan'mai'hong'zao'tang
甘麦红枣粥,gan'mai'hong'zao'zhou
甘柠芝麻虾,gan'ning'zhi'ma'xia
干煽牛肉丝,gan'shan'niu'rou'si
干烧臭鳜鱼,gan'shao'chou'gui'yu
干烧大虾,gan'shao'da'xia
干烧冬笋,gan'shao'dong'sun
干烧荷包鱼,gan'shao'he'bao'yu
干烧鸡翅,gan'shao'ji'chi
干烧辽参,gan'shao'liao'shen
干烧萝卜,gan'shao'luo'bo
干烧明虾球,gan'shao'ming'xia'qiu
干烧牛筋,gan'shao'niu'jin
干烧牛肉片,gan'shao'niu'rou'pian
干烧雅鱼,gan'shao'ya'yu
干烧鱼,gan'shao'yu
干烧鱼翅,gan'shao'yu'chi
甘甜黑巧克力,gan'tian'hei'qiao'ke'li
甘香二花茶,gan'xiang'er'hua'cha
干炸赤鳞鱼,gan'zha'chi'lin'yu
干炸黄雀,gan'zha'huang'que
干炸丸子,gan'zha'wan'zi
干炸蟹枣,gan'zha'xie'zao
高丽香蕉,gao'li'xiang'jiao
高丽鱼条,gao'li'yu'tiao
葛粉清毒汤,ge'fen'qing'du'tang
葛粉清胃火,ge'fen'qing'wei'huo
葛根清肺汤,ge'gen'qing'fei'tang
葛花扁豆淡菜瘦肉汤,ge'hua'bian'dou'dan'cai'shou'rou'tang
蛤蜊鲫鱼,ge'li'ji'yu
蛤仔猪肚汤,ge'zi'zhu'du'tang
宫保鹌鹑,gong'bao'an'chun
宫保兔肉,gong'bao'tu'rou
宫保虾球,gong'bao'xia'qiu
宫灯鱼丝,gong'deng'yu'si
宫廷排翅,gong'ting'pai'chi
宫庭献鱼,gong'ting'xian'yu
狗肝菜冰糖汤,gou'gan'cai'bing'tang'tang
枸杞炖羊脑,gou'qi'dun'yang'nao
枸杞海参鸽蛋,gou'qi'hai'shen'ge'dan
枸杞红枣乌鸡汤,gou'qi'hong'zao'wu'ji'tang
枸杞菊花煲排骨,gou'qi'ju'hua'bao'pai'gu
枸杞莲心鸡汤,gou'qi'lian'xin'ji'tang
枸杞莲子鸡汤,gou'qi'lian'zi'ji'tang
枸杞明目排毒汤,gou'qi'ming'mu'pai'du'tang
枸杞牛鞭汤,gou'qi'niu'bian'tang
枸杞牛肝汤,gou'qi'niu'gan'tang
枸杞山药粥,gou'qi'shan'yao'zhou
枸杞田螺汤,gou'qi'tian'luo'tang
枸杞香蛋,gou'qi'xiang'dan
枸杞羊肝羹,gou'qi'yang'gan'geng
枸杞粥,gou'qi'zhou
枸杞猪乾汤,gou'qi'zhu'qian'tang
古法扣全端,gu'fa'kou'quan'duan
鼓椒鸡丁,gu'jiao'ji'ding
菇菌白菜卷,gu'jun'bai'cai'juan
古老肉,gu'lao'rou
咕噜牛排,gu'lu'niu'pai
咕噜肉,gu'lu'rou
骨碎补猪腰汤,gu'sui'bu'zhu'yao'tang
挂炉烤鸭,gua'lu'kao'ya
挂霜丸子,gua'shuang'wan'zi
瓜萎,gua'wei
怪味白肉,guai'wei'bai'rou
怪味鸡,guai'wei'ji
怪味鸡片,guai'wei'ji'pian
灌肠鸭,guan'chang'ya
罐儿鹌鹑,guan'er'an'chun
罐儿肉,guan'er'rou
罐儿野鸡,guan'er'ye'ji
灌肺,guan'fei
灌汤龙凤球,guan'tang'long'feng'qiu
广汉缠丝兔,guang'han'chan'si'tu
归参山药猪腰,gui'can'shan'yao'zhu'yao
贵妃醋鸡钵,gui'fei'cu'ji'bo
贵妃鸡翅,gui'fei'ji'chi
贵妃鸡火锅,gui'fei'ji'huo'guo
桂花翅子,gui'hua'chi'zi
桂花干贝,gui'hua'gan'bei
桂花海蜇,gui'hua'hai'zhe
桂花核桃冻,gui'hua'he'tao'dong
桂花红烧肉,gui'hua'hong'shao'rou
桂花减压茶,gui'hua'jian'ya'cha
桂花肉,gui'hua'rou
桂花糖大栗,gui'hua'tang'da'li
桂花香蕉,gui'hua'xiang'jiao
桂花鱼条,gui'hua'yu'tiao
桂花元宵,gui'hua'yuan'xiao
桂蜜银耳汤,gui'mi'yin'er'tang
龟肉莲子芡实枸杞百合汤,gui'rou'lian'zi'qian'shi'gou'qi'bai'he'tang
桂圆羊肉煲,gui'yuan'yang'rou'bao
锅巴肉片,guo'ba'rou'pian
锅巴三鲜,guo'ba'san'xian
锅包肉,guo'bao'rou
锅煸豆腐,guo'bian'dou'fu
果酱三明治,guo'jiang'san'ming'zhi
锅焦饼,guo'jiao'bing
果仁徘骨,guo'ren'pai'gu
果仁排骨,guo'ren'pai'gu
锅散丹,guo'san'dan
锅煽豆腐,guo'shan'dou'fu
锅烧白菜,guo'shao'bai'cai
锅烧海参,guo'shao'hai'shen
锅烧鸡,guo'shao'ji
裹烧茭白,guo'shao'jiao'bai
锅烧鲤鱼,guo'shao'li'yu
锅烧鳗,guo'shao'man
锅烧鸭,guo'shao'ya
锅烧肘子,guo'shao'zhou'zi
锅烧猪蹄儿,guo'shao'zhu'ti'er
果蔬药酒,guo'shu'yao'jiu
锅酥牛肉,guo'su'niu'rou
锅塌菠菜,guo'ta'bo'cai
锅塌豆腐,guo'ta'dou'fu
锅塌黄鱼,guo'ta'huang'yu
锅塌鸡片,guo'ta'ji'pian
锅塌鸡签,guo'ta'ji'qian
锅蹋韭菜,guo'ta'jiu'cai
锅塌蒲菜,guo'ta'pu'cai
锅塌茄盒,guo'ta'qie'he
锅榻腰盒,guo'ta'yao'he
锅鳎鱼盒,guo'ta'yu'he
锅贴鸡片,guo'tie'ji'pian
锅贴石斑夹,guo'tie'shi'ban'jia
锅贴鸭方,guo'tie'ya'fang
锅贴鱼,guo'tie'yu
锅贴鱼片,guo'tie'yu'pian
锅熠银鱼,guo'yi'yin'yu
果玉带子,guo'yu'dai'zi
果汁鹌鹑,guo'zhi'an'chun
果汁鸡条,guo'zhi'ji'tiao
果汁煎鸡肉,guo'zhi'jian'ji'rou
果汁煎肉脯,guo'zhi'jian'rou'pu
果汁鲜鱼块,guo'zhi'xian'yu'kuai
海白米,hai'bai'mi
海带萝卜汤,hai'dai'luo'bo'tang
海带焖饭,hai'dai'men'fan
海带清热汤,hai'dai'qing're'tang
海带猪骨汤,hai'dai'zhu'gu'tang
海底松炖银肺,hai'di'song'dun'yin'fei
海鲫鱼,hai'ji'yu
海陆煲,hai'lu'bao
海米白菜汤,hai'mi'bai'cai'tang
海米拌菜花,hai'mi'ban'cai'hua
海米拌黄瓜,hai'mi'ban'huang'gua
海米拌莴笋,hai'mi'ban'wo'sun
海米拌油菜,hai'mi'ban'you'cai
海米冬瓜,hai'mi'dong'gua
海米豇豆,hai'mi'jiang'dou
海米萝卜汤,hai'mi'luo'bo'tang
海米烧菜花,hai'mi'shao'cai'hua
海米烧萝卜,hai'mi'shao'luo'bo
海米烧茄,hai'mi'shao'qie
海米烧茄子,hai'mi'shao'qie'zi
海参炖瘦肉,hai'shen'dun'shou'rou
海参羹,hai'shen'geng
海参木耳汤,hai'shen'mu'er'tang
海参肉饼,hai'shen'rou'bing
海参什锦肉片,hai'shen'shi'jin'rou'pian
海参肘子,hai'shen'zhou'zi
海味豆腐汤,hai'wei'dou'fu'tang
海鲜拼盘,hai'xian'pin'pan
海鲜铁锅烧,hai'xian'tie'guo'shao
海藻荷叶竹笋汤,hai'zao'he'ye'zhu'sun'tang
海蜇火腿羹,hai'zhe'huo'tui'geng
蔊菜萝卜猪肺汤,han'cai'luo'bo'zhu'fei'tang
含羞丸子,han'xiu'wan'zi
旱蒸贝母鸡,han'zheng'bei'mu'ji
杭三鲜,hang'san'xian
蚝皇凤爪,hao'huang'feng'zhao
好丝百叶,hao'si'bai'ye
好味鸡,hao'wei'ji
蚝油扒冬瓜,hao'you'ba'dong'gua
蚝油芦笋沙律,hao'you'lu'sun'sha'lv
蚝油芦笋砂律,hao'you'lu'sun'sha'lv
蚝油牛肉,hao'you'niu'rou
蚝油生菜,hao'you'sheng'cai
蚝油网鲍片,hao'you'wang'bao'pian
蚝油鲜菇,hao'you'xian'gu
蚝油鸭掌,hao'you'ya'zhang
蒿子杆炒肉丝,hao'zi'gan'chao'rou'si
荷包豆腐,he'bao'dou'fu
荷煲老鸭汤,he'bao'lao'ya'tang
荷包水鱼,he'bao'shui'yu
荷包鲜肉,he'bao'xian'rou
荷包蟹肉,he'bao'xie'rou
荷包鱿鱼,he'bao'you'yu
合川肉片,he'chuan'rou'pian
荷花豆腐大虾,he'hua'dou'fu'da'xia
荷花干贝汤,he'hua'gan'bei'tang
荷花金鱼虾,he'hua'jin'yu'xia
荷花酥,he'hua'su
荷花鱼翅,he'hua'yu'chi
何首乌山鸡,he'shou'wu'shan'ji
何首乌紫菜炖豆腐,he'shou'wu'zi'cai'dun'dou'fu
荷塘莲香,he'tang'lian'xiang
核桃红米饭,he'tao'hong'mi'fan
核桃鸡汤,he'tao'ji'tang
核桃瘦肉海马汤,he'tao'shou'rou'hai'ma'tang
荷叶粉蒸鸡,he'ye'fen'zheng'ji
荷叶凤脯,he'ye'feng'pu
荷叶鸡,he'ye'ji
荷叶粳米饭,he'ye'jing'mi'fan
荷叶米粉鸡,he'ye'mi'fen'ji
荷叶柠檬瘦肉汤,he'ye'ning'meng'shou'rou'tang
荷叶排骨,he'ye'pai'gu
荷叶肉,he'ye'rou
荷叶乌鸡汤,he'ye'wu'ji'tang
荷叶新凤鸡,he'ye'xin'feng'ji
荷叶蒸鱼,he'ye'zheng'yu
黑豆,hei'dou
黑豆鲤鱼汤,hei'dou'li'yu'tang
黑豆焖猪蹄,hei'dou'men'zhu'ti
黑豆小麦莲枣汤,hei'dou'xiao'mai'lian'zao'tang
黑胡椒牛柳,hei'hu'jiao'niu'liu
黑椒犊牛肉,hei'jiao'du'niu'rou
黑麦金笋面,hei'mai'jin'sun'mian
黑米膳粥,hei'mi'shan'zhou
黑木耳拌里脊片,hei'mu'er'ban'li'ji'pian
黑森林蛋糕为爱吃狂,hei'sen'lin'dan'gao'wei'ai'chi'kuang
红扒排翅,hong'ba'pai'chi
红扒鱼翅,hong'ba'yu'chi
红扒鱼唇,hong'ba'yu'chun
红扒鱼肚,hong'ba'yu'du
红白果仁汤,hong'bai'guo'ren'tang
红豆百合糖水,hong'dou'bai'he'tang'shui
红豆鲤鱼汤,hong'dou'li'yu'tang
红豆膳粥,hong'dou'shan'zhou
红豆薏仁冻,hong'dou'yi'ren'dong
红果,hong'guo
红果茶,hong'guo'cha
红花鸡肝饼,hong'hua'ji'gan'bing
红花山药肉麻丸,hong'hua'shan'yao'rou'ma'wan
红花檀香茶,hong'hua'tan'xiang'cha
洪江鸭,hong'jiang'ya
红椒爆鲜虾,hong'jiao'bao'xian'xia
红酒牛腩,hong'jiu'niu'nan
红辣椒爆炒鳝片,hong'la'jiao'bao'chao'shan'pian
红菱子鸡,hong'ling'zi'ji
红萝卜排骨汤,hong'luo'bo'pai'gu'tang
红焖麻雀,hong'men'ma'que
红焖肉,hong'men'rou
红杞活鱼,hong'qi'huo'yu
红杞蒸鸡,hong'qi'zheng'ji
红烧大虾,hong'shao'da'xia
红烧冬瓜,hong'shao'dong'gua
红烧咕噜肉,hong'shao'gu'lu'rou
红烧海皇翅,hong'shao'hai'huang'chi
红烧猴头蘑,hong'shao'hou'tou'mo
红烧划水,hong'shao'hua'shui
红烧卷鸡,hong'shao'juan'ji
红烧卷筒鸡,hong'shao'juan'tong'ji
红烧鹿筋,hong'shao'lu'jin
红苕泥,hong'shao'ni
红烧牛蒡肉捲,hong'shao'niu'bang'rou'juan
红烧牛腩,hong'shao'niu'nan
红烧牛掌,hong'shao'niu'zhang
红烧狮子头,hong'shao'shi'zi'tou
红烧蹄筋,hong'shao'ti'jin
红烧下巴,hong'shao'xia'ba
红烧香竹鼠,hong'shao'xiang'zhu'shu
红烧熊掌,hong'shao'xiong'zhang
红烧鱼唇,hong'shao'yu'chun
红烧鱼骨,hong'shao'yu'gu
红烧猪肚,hong'shao'zhu'du
红烧猪脑,hong'shao'zhu'nao
红烧猪蹄,hong'shao'zhu'ti
红烧猪腰,hong'shao'zhu'yao
红参苓术炖牛月展,hong'shen'ling'shu'dun'niu'yue'zhan
红松鳜鱼,hong'song'gui'yu
鸿图鸭,hong'tu'ya
红丸子,hong'wan'zi
红颜汤,hong'yan'tang
红油抄手,hong'you'chao'shou
红油抄手酱,hong'you'chao'shou'jiang
红油耳片,hong'you'er'pian
红油鸡块,hong'you'ji'kuai
红鱼拜年,hong'yu'bai'nian
红枣煲泥鳅鱼汤,hong'zao'bao'ni'qiu'yu'tang
红枣炖蚕蛹,hong'zao'dun'can'yong
红枣炖鲫鱼汤,hong'zao'dun'ji'yu'tang
红枣炖梨,hong'zao'dun'li
红枣炖肘,hong'zao'dun'zhou
红枣茯苓粥,hong'zao'fu'ling'zhou
红枣红糖煮南瓜,hong'zao'hong'tang'zhu'nan'gua
红枣菊花粥,hong'zao'ju'hua'zhou
红枣酥肉,hong'zao'su'rou
红枣煨肘,hong'zao'wei'zhou
红枣薏仁粥,hong'zao'yi'ren'zhou
红枣玉粒羹,hong'zao'yu'li'geng
红肘子,hong'zhou'zi
猴蘑牛头方,hou'mo'niu'tou'fang
猴脑汤,hou'nao'tang
猴头菇白果鲨鱼骨汤,hou'tou'gu'bai'guo'sha'yu'gu'tang
猴头菇炖北菇,hou'tou'gu'dun'bei'gu
猴头菇炖竹丝鸡,hou'tou'gu'dun'zhu'si'ji
猴头蘑烩凤片,hou'tou'mo'hui'feng'pian
猴头四宝,hou'tou'si'bao
蝴蝶瓜,hu'die'gua
蝴蝶海参,hu'die'hai'shen
胡椒海参汤,hu'jiao'hai'shen'tang
胡椒生姜滚猪瘦肉,hu'jiao'sheng'jiang'gun'zhu'shou'rou
糊辣银芽肉丝,hu'la'yin'ya'rou'si
烀烂甲鱼,hu'lan'jia'yu
葫芦大吉翅子,hu'lu'da'ji'chi'zi
葫芦瓜灯芯花瘦肉汤,hu'lu'gua'deng'xin'hua'shou'rou'tang
胡芦桔翅,hu'lu'ju'chi
胡萝卜排骨汤,hu'luo'bo'pai'gu'tang
胡萝卜生鱼汤,hu'luo'bo'sheng'yu'tang
虎跑素火腿,hu'pao'su'huo'tui
虎皮核桃仁,hu'pi'he'tao'ren
虎皮烩鸡丁,hu'pi'hui'ji'ding
琥珀鸽蛋,hu'po'ge'dan
烀肉,hu'rou
胡桃豆腐羹,hu'tao'dou'fu'geng
胡桃龙眼鸡丁,hu'tao'long'yan'ji'ding
糊涂鸡,hu'tu'ji
花草木三友茶,hua'cao'mu'san'you'cha
滑炒山药,hua'chao'shan'yao
滑蛋牛肉,hua'dan'niu'rou
滑蛋虾仁,hua'dan'xia'ren
花雕鸡,hua'diao'ji
花菇石鸡,hua'gu'shi'ji
花菇田鸡,hua'gu'tian'ji
花汇兔丁,hua'hui'tu'ding
化积解热饮,hua'ji'jie're'yin
花椒红糖汤,hua'jiao'hong'tang'tang
花椒姜枣汤,hua'jiao'jiang'zao'tang
花胶瘦肉羹,hua'jiao'shou'rou'geng
花椒鱼片,hua'jiao'yu'pian
花篮白菜,hua'lan'bai'cai
滑溜鹌鹑,hua'liu'an'chun
花旗参炖蛋蛋,hua'qi'shen'dun'dan'dan
花旗参炖水鸭,hua'qi'shen'dun'shui'ya
花旗参炖竹丝鸡,hua'qi'shen'dun'zhu'si'ji
花旗参螺头汤,hua'qi'shen'luo'tou'tang
花仁蹄花汤,hua'ren'ti'hua'tang
滑肉白菜,hua'rou'bai'cai
滑肉烩鲜竹,hua'rou'hui'xian'zhu
滑肉莴笋,hua'rou'wo'sun
花茹田鸡,hua'ru'tian'ji
花生大枣猪蹄汤,hua'sheng'da'zao'zhu'ti'tang
花生桂圆红枣汤,hua'sheng'gui'yuan'hong'zao'tang
花生红米饭,hua'sheng'hong'mi'fan
花生鸡脚汤,hua'sheng'ji'jiao'tang
花生仁拌芹菜,hua'sheng'ren'ban'qin'cai
花生支竹鱼头汤,hua'sheng'zhi'zhu'yu'tou'tang
花生猪蹄,hua'sheng'zhu'ti
花式麻辣小龙虾,hua'shi'ma'la'xiao'long'xia
槐花木耳猪肚汤,huai'hua'mu'er'zhu'du'tang
槐花猪肠汤,huai'hua'zhu'chang'tang
淮杞炖羊肉,huai'qi'dun'yang'rou
淮杞鸡脚响螺汤,huai'qi'ji'jiao'xiang'luo'tang
淮杞浸乌鸡,huai'qi'jin'wu'ji
淮杞塘虱鱼汤,huai'qi'tang'shi'yu'tang
淮山芡实炖鱼肚,huai'shan'qian'shi'dun'yu'du
淮山薏米羊肾汤,huai'shan'yi'mi'yang'shen'tang
淮山薏苡仁萝卜粥,huai'shan'yi'yi'ren'luo'bo'zhou
怀胎桂鱼,huai'tai'gui'yu
豢蝶大虾,huan'die'da'xia
换心乌贼,huan'xin'wu'zei
黄豆炖猪脚,huang'dou'dun'zhu'jiao
黄豆瑶柱兔肉汤,huang'dou'yao'zhu'tu'rou'tang
黄豆猪肝汤,huang'dou'zhu'gan'tang
黄瓜拌鸭掌,huang'gua'ban'ya'zhang
黄瓜炒肉丝,huang'gua'chao'rou'si
黄瓜汆里脊片,huang'gua'cuan'li'ji'pian
黄瓜鸡杂汤,huang'gua'ji'za'tang
黄瓜蟹肉筒,huang'gua'xie'rou'tong
黄花菜瘦肉汤,huang'hua'cai'shou'rou'tang
黄花鱼,huang'hua'yu
黄尖笋,huang'jian'sun
黄金豆腐,huang'jin'dou'fu
黄金肉丸,huang'jin'rou'wan
黄精炖肉,huang'jing'dun'rou
黄精鸡蛋汤,huang'jing'ji'dan'tang
黄精灵芝蹄筋汤,huang'jing'ling'zhi'ti'jin'tang
黄精蒸鸡,huang'jing'zheng'ji
黄焖鸡块,huang'men'ji'kuai
黄焖甲鱼,huang'men'jia'yu
黄焖鲇鱼头,huang'men'nian'yu'tou
黄焖全鸡,huang'men'quan'ji
黄焖肉,huang'men'rou
黄焖鸭肝,huang'men'ya'gan
黄袍加身,huang'pao'jia'shen
黄耆茯苓鸡汤,huang'qi'fu'ling'ji'tang
黄芪南枣黄鳝汤,huang'qi'nan'zao'huang'shan'tang
黄山炖鸽,huang'shan'dun'ge
黄山三美,huang'shan'san'mei
黄心管儿,huang'xin'guan'er
黄鱼丝,huang'yu'si
黄鱼鱼肚汤,huang'yu'yu'du'tang
烩白菜,hui'bai'cai
烩白杂碎,hui'bai'za'sui
烩肚丝烂蒜,hui'du'si'lan'suan
烩肥肠,hui'fei'chang
回锅肉,hui'guo'rou
回锅鱼片,hui'guo'yu'pian
烩海参,hui'hai'shen
烩节子,hui'jie'zi
烩金银丝,hui'jin'yin'si
烩南荠,hui'nan'ji
烩脐肚,hui'qi'du
烩散丹,hui'san'dan
烩三丝鱼翅,hui'san'si'yu'chi
徽式双冬,hui'shi'shuang'dong
烩酸菜,hui'suan'cai
烩酸蕾,hui'suan'lei
烩酸燕儿,hui'suan'yan'er
烩豌豆,hui'wan'dou
回味鱼片,hui'wei'yu'pian
烩乌龟蛋,hui'wu'gui'dan
茴香粥,hui'xiang'zhou
烩蟹肉,hui'xie'rou
烩鸭四宝,hui'ya'si'bao
烩鸭腰儿,hui'ya'yao'er
烩腰丁儿,hui'yao'ding'er
烩银耳,hui'yin'er
烩银丝,hui'yin'si
烩银丝儿,hui'yin'si'er
烩鱼白,hui'yu'bai
徽州圆子,hui'zhou'yuan'zi
荤罗汉,hun'luo'han
浑婆鱼头,hun'po'yu'tou
混堂锅魁,hun'tang'guo'kui
馄饨千层饼,hun'tun'qian'ceng'bing
馄饨香蕉卷,hun'tun'xiang'jiao'juan
馄饨鸭子,hun'tun'ya'zi
火爆肚头,huo'bao'du'tou
火爆荔枝腰,huo'bao'li'zhi'yao
火爆双脆,huo'bao'shuang'cui
火爆腰花,huo'bao'yao'hua
火爆腰块,huo'bao'yao'kuai
火鞭牛肉,huo'bian'niu'rou
火锅,huo'guo
火焗鸭,huo'ju'ya
火炼金身,huo'lian'jin'shen
火麻仁瘦肉汤,huo'ma'ren'shou'rou'tang
火热香辣蟹,huo're'xiang'la'xie
火烧茨菰,huo'shao'ci'gu
火烧头尾,huo'shao'tou'wei
火腿白菜,huo'tui'bai'cai
火腿炒茄瓜,huo'tui'chao'qie'gua
火腿萝卜丝汤,huo'tui'luo'bo'si'tang
火腿土司,huo'tui'tu'si
火腿鱼,huo'tui'yu
藿香黄连饮,huo'xiang'huang'lian'yin
活钻鲤鱼,huo'zuan'li'yu
鸡包鱼翅,ji'bao'yu'chi
荠菜干贝羹,ji'cai'gan'bei'geng
荠菜肉馄饨,ji'cai'rou'hun'tun
荠菜鱼卷,ji'cai'yu'juan
荠菜圆煮面,ji'cai'yuan'zhu'mian
荠菜雉鸡片,ji'cai'zhi'ji'pian
鸡肠饼,ji'chang'bing
鸡翅羊肚菌,ji'chi'yang'du'jun
鸡虫汤,ji'chong'tang
鸡蛋炒菠菜,ji'dan'chao'bo'cai
鸡蛋花苦瓜瘦肉汤,ji'dan'hua'ku'gua'shou'rou'tang
鸡蛋荞麦饼,ji'dan'qiao'mai'bing
鸡豆花,ji'dou'hua
继光饼,ji'guang'bing
鸡火甲鱼汤,ji'huo'jia'yu'tang
鸡酱猪扒,ji'jiang'zhu'pa
鸡块氽丸子,ji'kuai'tun'wan'zi
鸡里爆,ji'li'bao
吉利大虾,ji'li'da'xia
鸡粒玉米,ji'li'yu'mi
吉列海鲜卷,ji'lie'hai'xian'juan
鸡焖蟹煲,ji'men'xie'bao
鸡茸跟耳,ji'rong'gen'er
鸡茸花菜,ji'rong'hua'cai
鸡茸芦笋,ji'rong'lu'sun
鸡蓉奶油羹,ji'rong'nai'you'geng
鸡茸银耳,ji'rong'yin'er
鸡肉滷味,ji'rou'lu'wei
鸡丝拌洋菜,ji'si'ban'yang'cai
鸡丝豆苗,ji'si'dou'miao
鸡丝米粉,ji'si'mi'fen
鸡丝汤面,ji'si'tang'mian
鸡蹄花,ji'ti'hua
鸡腿汤,ji'tui'tang
绩溪一品锅,ji'xi'yi'pin'guo
吉祥干贝,ji'xiang'gan'bei
鸡血汤,ji'xue'tang
鸡油菜心,ji'you'cai'xin
鸡油莴苣笋,ji'you'wo'ju'sun
鸡油香菇,ji'you'xiang'gu
鲫鱼汆白玉,ji'yu'cuan'bai'yu
鸡杂,ji'za
鸡沾口蘑,ji'zhan'kou'mo
