啊得得,a'de'de
是克,shi'ke
是昆明,shi'kun'ming
是啦,shi'la
是啦啊,shi'la'a
是啦啦,shi'la'la
是啦嘛,shi'la'ma
是啦么,shi'la'me
是啦是啦,shi'la'shi'la
是了,shi'le
是了嘛,shi'le'ma
是了是了,shi'le'shi'le
使力,shi'li
十里长街,shi'li'chang'jie
实力郡城,shi'li'jun'cheng
石林,shi'lin
仕林街,shi'lin'jie
石林县,shi'lin'xian
是喽,shi'lou
是么啊,shi'me'a
是哪点,shi'na'dian
是哪哈,shi'na'ha
是喃,shi'nan
是呢,shi'ne
是呢啊,shi'ne'a
是呢噶,shi'ne'ga
是呢嘛,shi'ne'ma
是呢满,shi'ne'man
是呢么,shi'ne'me
是呢撒,shi'ne'sa
是呢噻,shi'ne'sai
是呢是呢,shi'ne'shi'ne
是呢说,shi'ne'shuo
是呢呀,shi'ne'ya
施鹏,shi'peng
石屏,shi'ping
石屏县,shi'ping'xian
十四冶,shi'si'ye
市体育馆,shi'ti'yu'guan
市统测,shi'tong'ce
是云南,shi'yun'nan
是咋个,shi'za'ge
是咋个啦,shi'za'ge'la
是咋个了,shi'za'ge'le
是咋个说,shi'za'ge'shuo
是咋说,shi'za'shuo
是在哪点,shi'zai'na'dian
石闸,shi'zha
石闸立交桥,shi'zha'li'jiao'qiao
是真呢,shi'zhen'ne
师宗,shi'zong
师宗县,shi'zong'xian
守车,shou'che
收的着,shou'de'zhe
守底,shou'di
手机网,shou'ji'wang
收假,shou'jia
收收东西,shou'shou'dong'xi
收着啦,shou'zhe'la
收捉,shou'zhuo
熟茶,shu'cha
舒服了嘛,shu'fu'le'ma
舒服呢嘛,shu'fu'ne'ma
舒肝散,shu'gan'san
束河古镇,shu'he'gu'zhen
书林街,shu'lin'jie
竖式,shu'shi
书香大地,shu'xiang'da'di
甩带,shuai'dai
甩饭,shuai'fan
甩胯,shuai'kua
帅呢,shuai'ne
帅呢嘛,shuai'ne'ma
双柏,shuang'bai
双柏县,shuang'bai'xian
双飞粉,shuang'fei'fen
双廊,shuang'lang
爽了嘛,shuang'le'ma
双龙桥,shuang'long'qiao
双龙商场,shuang'long'shang'chang
爽呢嘛,shuang'ne'ma
双桥村,shuang'qiao'cun
睡不动,shui'bu'dong
睡不捉,shui'bu'zhuo
睡处,shui'chu
睡得啦,shui'de'la
睡的了,shui'de'le
睡掉,shui'diao
睡掉了,shui'diao'le
睡翻,shui'fan
水富,shui'fu
水富县,shui'fu'xian
睡噶,shui'ga
水汇,shui'hui
水窖,shui'jiao
睡克,shui'ke
睡了噶,shui'le'ga
水沫玉,shui'mo'yu
睡呢晚,shui'ne'wan
睡呢早,shui'ne'zao
睡你呢,shui'ni'ne
睡诺诺,shui'nuo'nuo
睡一哈,shui'yi'ha
水逸康桥,shui'yi'kang'qiao
睡早点,shui'zao'dian
水站,shui'zhan
睡着的啦,shui'zhao'de'la
睡着掉,shui'zhao'diao
睡桌,shui'zhuo
顺城,shun'cheng
顺新,shun'xin
说噶,shuo'ga
说好了噶,shuo'hao'le'ga
说克,shuo'ke
说了玩,shuo'le'wan
说么说,shuo'me'shuo
说哪样,shuo'na'yang
说喃,shuo'nan
说呢对,shuo'ne'dui
说呢好,shuo'ne'hao
说呢话,shuo'ne'hua
说呢嘛,shuo'ne'ma
说呢是,shuo'ne'shi
说呢说,shuo'ne'shuo
说尼,shuo'ni
说你爹,shuo'ni'die
说你妹子,shuo'ni'mei'zi
说屁,shuo'pi
说是呢,shuo'shi'ne
说是呢啊,shuo'shi'ne'a
说我呢说,shuo'wo'ne'shuo
说真呢,shuo'zhen'ne
四方街,si'fang'jie
死老表,si'lao'biao
死老奶,si'lao'nai
思茅,si'mao
思茅区,si'mao'qu
死迷养眼,si'mi'yang'yan
死磨,si'mo
死磨死磨,si'mo'si'mo
四群,si'qun
司徒俊文,si'tu'jun'wen
寺瓦路,si'wa'lu
死娃娃,si'wa'wa
四营,si'ying
死杂种,si'za'zhong
松多,song'duo
松花坝,song'hua'ba
送克,song'ke
送来给你,song'lai'gei'ni
送来给我,song'lai'gei'wo
送来嘛,song'lai'ma
松毛,song'mao
嵩明,song'ming
嵩明县,song'ming'xian
宋师,song'shi
嵩阳镇,song'yang'zhen
松赞林寺,song'zan'lin'si
松子酒,song'zi'jiu
送子鸟,song'zi'niao
苏家村,su'jia'cun
苏家塘,su'jia'tang
苏金燕,su'jin'yan
苏师,su'shi
素选,su'xuan
素选课,su'xuan'ke
酥油茶,su'you'cha
算不掉,suan'bu'diao
蒜村,suan'cun
酸角,suan'jiao
酸角汁,suan'jiao'zhi
算啦嘛,suan'la'ma
算了噶,suan'le'ga
算了嘛,suan'le'ma
算了么,suan'le'me
算了呢,suan'le'ne
酸木瓜,suan'mu'gua
算喃,suan'nan
酸汤鸡,suan'tang'ji
酸汤猪脚,suan'tang'zhu'jiao
绥江,sui'jiang
随你嘛,sui'ni'ma
孙师,sun'shi
所以了嘛,suo'yi'le'ma
所有呢,suo'you'ne
他爹他妈,ta'die'ta'ma
他给是,ta'gei'shi
他克,ta'ke
他怕是,ta'pa'shi
他认不得,ta'ren'bu'de
她认得,ta'ren'de
他咋个,ta'za'ge
他咋个说,ta'za'ge'shuo
他在昆明,ta'zai'kun'ming
他真呢,ta'zhen'ne
太板扎,tai'ban'zha
太不想,tai'bu'xiang
太惨啦,tai'can'la
太丑啦,tai'chou'la
太到啦,tai'dao'la
太烦啦,tai'fan'la
太搞笑啦,tai'gao'xiao'la
太鬼火,tai'gui'huo
太害怕,tai'hai'pa
太害怕啦,tai'hai'pa'la
太害怕了,tai'hai'pa'le
太憨,tai'han
太憨了,tai'han'le
太好吃啦,tai'hao'chi'la
太好看啦,tai'hao'kan'la
太好了嘛,tai'hao'le'ma
太好睡了,tai'hao'shui'le
太好玩啦,tai'hao'wan'la
太好笑啦,tai'hao'xiao'la
太恨,tai'hen
太灰,tai'hui
太贱啦,tai'jian'la
太可爱啦,tai'ke'ai'la
太可怜啦,tai'ke'lian'la
太坑啦,tai'keng'la
太恐怖啦,tai'kong'bu'la
太快了嘛,tai'kuai'le'ma
抬来,tai'lai
太老火,tai'lao'huo
太老火了,tai'lao'huo'le
泰丽,tai'li
泰丽酒店,tai'li'jiu'dian
太猛啦,tai'meng'la
太某得,tai'mou'de
太难过啦,tai'nan'guo'la
太难受啦,tai'nan'shou'la
太闹啦,tai'nao'la
太雀,tai'que
太雀啦,tai'que'la
太雀了,tai'que'le
太涩,tai'se
太勺,tai'shao
太勺啦,tai'shao'la
太勺了,tai'shao'le
太爽了嘛,tai'shuang'le'ma
太疼啦,tai'teng'la
太崴,tai'wai
太无聊啦,tai'wu'liao'la
太喜欢啦,tai'xi'huan'la
太想哭了,tai'xiang'ku'le
太像啦,tai'xiang'la
太心烦,tai'xin'fan
太心烦了,tai'xin'fan'le
太阳鸟,tai'yang'niao
太阳新城,tai'yang'xin'cheng
太要得,tai'yao'de
太有病,tai'you'bing
太远了嘛,tai'yuan'le'ma
太早了嘛,tai'zao'le'ma
太拽啦,tai'zhuai'la
太拽了,tai'zhuai'le
太资,tai'zi
太资了,tai'zi'le
昙华寺,tan'hua'si
探矿厂,tan'kuang'chang
谭利云,tan'li'yun
谭师,tan'shi
汤丹镇,tang'dan'zhen
躺的啦,tang'de'la
倘甸,tang'dian
淌口水,tang'kou'shui
螳螂川,tang'lang'chuan
汤色,tang'se
唐师,tang'shi
塘双路,tang'shuang'lu
塘子巷,tang'zi'xiang
讨论哈,tao'lun'ha
陶师,tao'shi
讨媳妇,tao'xi'fu
桃源街,tao'yuan'jie
特爹,te'die
特家,te'jia
特讲,te'jiang
特就,te'jiu
特就是,te'jiu'shi
特就说,te'jiu'shuo
特两个,te'liang'ge
特们,te'men
特们说,te'men'shuo
特怕是,te'pa'shi
特说,te'shuo
特要,te'yao
特自己,te'zi'ji
疼不的,teng'bu'de
腾冲,teng'chong
腾冲县,teng'chong'xian
疼处,teng'chu
滕海霞,teng'hai'xia
滕世国,teng'shi'guo
体育城,ti'yu'cheng
田爱琳,tian'ai'lin
田坝,tian'ba
甜白酒,tian'bai'jiu
甜茶,tian'cha
天华苑,tian'hua'yuan
田家地,tian'jia'di
天骄北麓,tian'jiao'bei'lu
天籁村,tian'lai'cun
田其应,tian'qi'ying
天生祥,tian'sheng'xiang
田师,tian'shi
天怡峰景,tian'yi'feng'jing
天阴,tian'yin
恬园,tian'yuan
跳家,tiao'jia
跳课,tiao'ke
调整哈,tiao'zheng'ha
铁三中,tie'san'zhong
听你呢,ting'ni'ne
听我呢,ting'wo'ne
通变,tong'bian
统测,tong'ce
通洞,tong'dong
铜都,tong'du
同丰,tong'feng
铜工,tong'gong
铜锅鱼,tong'guo'yu
通海,tong'hai
通海县,tong'hai'xian
通麦,tong'mai
同仁街,tong'ren'jie
通怡,tong'yi
偷针眼,tou'zhen'yan
土夹石,tu'jia'shi
土桥村,tu'qiao'cun
土贼,tu'zei
团结乡,tuan'jie'xiang
团山,tuan'shan
拖布卡,tuo'bu'ka
沱茶,tuo'cha
拓东,tuo'dong
拓东路,tuo'dong'lu
拓东体育馆,tuo'dong'ti'yu'guan
驼峰,tuo'feng
哇得,wa'de
崴货,wai'huo
晚安噶,wan'an'ga
晚安医院,wan'an'yi'yuan
玩常,wan'chang
玩长,wan'chang
玩处,wan'chu
玩的成,wan'de'cheng
完掉,wan'diao
豌豆粉,wan'dou'fen
玩噶,wan'ga
万宏路,wan'hong'lu
万华路,wan'hua'lu
万辉,wan'hui
万辉星城,wan'hui'xing'cheng
玩克,wan'ke
玩哪样,wan'na'yang
玩喃,wan'nan
晚上点,wan'shang'dian
玩一哈,wan'yi'ha
王大桥,wang'da'qiao
望的,wang'de
旺堆,wang'dui
王根土,wang'gen'tu
王红兴,wang'hong'xing
忘记的啦,wang'ji'de'la
王家桥,wang'jia'qiao
王家营,wang'jia'ying
王林辉,wang'lin'hui
王旗营,wang'qi'ying
王师,wang'shi
望天树,wang'tian'shu
王信高,wang'xin'gao
王雅文,wang'ya'wen
味彩,wei'cai
尾的,wei'de
喂海鸥,wei'hai'ou
蔚苗坤,wei'miao'kun
为哪,wei'na
为那样,wei'na'yang
为喃,wei'nan
为喃啊,wei'nan'a
为喃样,wei'nan'yang
为囊,wei'nang
为酿,wei'niang
韦琪琪,wei'qi'qi
巍山,wei'shan
巍山县,wei'shan'xian
魏师,wei'shi
维西,wei'xi
维西县,wei'xi'xian
为谢,wei'xie
威信县,wei'xin'xian
威远街,wei'yuan'jie
尾着,wei'zhe
文化城,wen'hua'cheng
文化巷,wen'hua'xiang
文汇楼,wen'hui'lou
文林街,wen'lin'jie
问喃,wen'nan
温莎,wen'sha
文山,wen'shan
文山的,wen'shan'de
文山市,wen'shan'shi
文山州,wen'shan'zhou
文师,wen'shi
我挨,wo'ai
我爱呢,wo'ai'ne
我挨你,wo'ai'ni
我挨你说,wo'ai'ni'shuo
我挨他,wo'ai'ta
我不挨,wo'bu'ai
我不克,wo'bu'ke
我不想克,wo'bu'xiang'ke
我不有,wo'bu'you
我不咋个,wo'bu'za'ge
我不在昆明,wo'bu'zai'kun'ming
我才回到家,wo'cai'hui'dao'jia
我猜呢,wo'cai'ne
我才认得,wo'cai'ren'de
我吃吃饭,wo'chi'chi'fan
我吃的啦,wo'chi'de'la
我出克,wo'chu'ke
我穿呢,wo'chuan'ne
我大爹,wo'da'die
我带你克,wo'dai'ni'ke
我到昆明,wo'dao'kun'ming
我到昆明了,wo'dao'kun'ming'le
我等不得,wo'deng'bu'de
我等的你,wo'deng'de'ni
我爹呢,wo'die'ne
我爹他们,wo'die'ta'men
我爹我妈,wo'die'wo'ma
我爹在,wo'die'zai
我懂呢,wo'dong'ne
我都认不得,wo'dou'ren'bu'de
我多哈,wo'duo'ha
我发呢,wo'fa'ne
我嘎,wo'ga
我个能,wo'ge'neng
我个是,wo'ge'shi
我给好,wo'gei'hao
我给会,wo'gei'hui
我给可以,wo'gei'ke'yi
我给能,wo'gei'neng
我给是,wo'gei'shi
我给想,wo'gei'xiang
我给要,wo'gei'yao
我给有,wo'gei'you
我跟特,wo'gen'te
我乖呢,wo'guai'ne
我鬼火,wo'gui'huo
我过克,wo'guo'ke
我还不有,wo'hai'bu'you
我还某,wo'hai'mou
我还认不得,wo'hai'ren'bu'de
我还说是,wo'hai'shuo'shi
我还在昆明,wo'hai'zai'kun'ming
我好好呢,wo'hao'hao'ne
我还给是,wo'huan'gei'shi
我回克,wo'hui'ke
我回昆明,wo'hui'kun'ming
我会呢,wo'hui'ne
我会想你呢,wo'hui'xiang'ni'ne
我记不得啦,wo'ji'bu'de'la
我家爹,wo'jia'die
我家妈,wo'jia'ma
我讲呢,wo'jiang'ne
我就克,wo'jiu'ke
我就某,wo'jiu'mou
我就认不得,wo'jiu'ren'bu'de
我就认得,wo'jiu'ren'de
我就这种,wo'jiu'zhe'zhong
我看瞧,wo'kan'qiao
我克,wo'ke
我克了,wo'ke'le
我昆明,wo'kun'ming
我来昆明,wo'lai'kun'ming
我来哪里,wo'lai'na'li
我了嘛,wo'le'ma
我历来,wo'li'lai
我俩个,wo'lia'ge
我两个,wo'liang'ge
我妈哈,wo'ma'ha
我买呢,wo'mai'ne
我么意思,wo'me'yi'si
我们班呢,wo'men'ban'ne
我们克,wo'men'ke
我们宿舍呢,wo'men'su'she'ne
我们这点,wo'men'zhe'dian
我某,wo'mou
我某得,wo'mou'de
我某看见,wo'mou'kan'jian
我某克,wo'mou'ke
我某说,wo'mou'shuo
我某在,wo'mou'zai
我哪跌,wo'na'die
我哪哈,wo'na'ha
我耐不住,wo'nai'bu'zhu
我耐不住了,wo'nai'bu'zhu'le
我呢爱,wo'ne'ai
我呢车,wo'ne'che
我呢错,wo'ne'cuo
我呢电话,wo'ne'dian'hua
我呢嘛,wo'ne'ma
我呢人,wo'ne'ren
我呢是,wo'ne'shi
我呢手,wo'ne'shou
我呢手机,wo'ne'shou'ji
我呢天,wo'ne'tian
我呢天啊,wo'ne'tian'a
我呢心,wo'ne'xin
我呢也是,wo'ne'ye'shi
我呢意思,wo'ne'yi'si
我呢意思是,wo'ne'yi'si'shi
我诺诺,wo'nuo'nuo
我怕是,wo'pa'shi
我怕要,wo'pa'yao
我前久,wo'qian'jiu
我亲爱呢,wo'qin'ai'ne
我认不得,wo'ren'bu'de
我认得,wo'ren'de
我认得啦,wo'ren'de'la
我认得了,wo'ren'de'le
我认得呢,wo'ren'de'ne
我日啦,wo'ri'la
我日了么,wo'ri'le'me
我上昆明,wo'shang'kun'ming
我是昆明,wo'shi'kun'ming
我是你呢,wo'shi'ni'ne
我是云南,wo'shi'yun'nan
我是真呢,wo'shi'zhen'ne
我睡的了,wo'shui'de'le
我睡哈,wo'shui'ha
我睡了噶,wo'shui'le'ga
我睡一哈,wo'shui'yi'ha
我说呢是,wo'shuo'ne'shi
我说真呢,wo'shuo'zhen'ne
我送来,wo'song'lai
我送来给你,wo'song'lai'gei'ni
我太难过,wo'tai'nan'guo
我太难过了,wo'tai'nan'guo'le
我太怕,wo'tai'pa
我太无聊啦,wo'tai'wu'liao'la
我太想,wo'tai'xiang
我太资,wo'tai'zi
我玩哈,wo'wan'ha
我忘记的,wo'wang'ji'de
我为喃,wo'wei'nan
我无法了,wo'wu'fa'le
我下克,wo'xia'ke
我下午点,wo'xia'wu'dian
我先克,wo'xian'ke
我想克,wo'xiang'ke
我想认得,wo'xiang'ren'de
我休息哈,wo'xiu'xi'ha
我眼睛涩,wo'yan'jing'se
我要出克,wo'yao'chu'ke
我要克,wo'yao'ke
我要哭啦,wo'yao'ku'la
我要咋个,wo'yao'za'ge
我要炸,wo'yao'zha
我要炸啦,wo'yao'zha'la
我要炸了,wo'yao'zha'le
我也记不得,wo'ye'ji'bu'de
我也克,wo'ye'ke
我也某,wo'ye'mou
我也认不得,wo'ye'ren'bu'de
我也认不得啊,wo'ye'ren'bu'de'a
我也认得,wo'ye'ren'de
我也是觉得,wo'ye'shi'jue'de
我也是说,wo'ye'shi'shuo
我也喜欢呢,wo'ye'xi'huan'ne
我也想克,wo'ye'xiang'ke
我也晓不得,wo'ye'xiao'bu'de
我也要克,wo'ye'yao'ke
我也在昆明,wo'ye'zai'kun'ming
我也这种,wo'ye'zhe'zhong
我姨爹,wo'yi'die
我一哈,wo'yi'ha
我一哈子,wo'yi'ha'zi
我有不起,wo'you'bu'qi
我又某,wo'you'mou
我有喃,wo'you'nan
我又认不得,wo'you'ren'bu'de
我又咋个,wo'you'za'ge
我云南,wo'yun'nan
我咋个,wo'za'ge
我咋个会,wo'za'ge'hui
我咋个啦,wo'za'ge'la
我咋个来,wo'za'ge'lai
我咋个了,wo'za'ge'le
我咋个认得,wo'za'ge'ren'de
我咋个整,wo'za'ge'zheng
我咋认得,wo'za'ren'de
我在安宁,wo'zai'an'ning
我在北市区,wo'zai'bei'shi'qu
我在呈贡,wo'zai'cheng'gong
我在大理,wo'zai'da'li
我在巨魔,wo'zai'ju'mo
我在昆明,wo'zai'kun'ming
我在拉萨,wo'zai'la'sa
我在丽江,wo'zai'li'jiang
我在哪点,wo'zai'na'dian
我在曲靖,wo'zai'qu'jing
我在世纪城,wo'zai'shi'ji'cheng
我在云南,wo'zai'yun'nan
我在这点,wo'zai'zhe'dian
我长呢,wo'zhang'ne
我这分钟,wo'zhe'fen'zhong
我这个心情,wo'zhe'ge'xin'qing
我这久,wo'zhe'jiu
我真呢,wo'zhen'ne
我真呢是,wo'zhen'ne'shi
我真认不得,wo'zhen'ren'bu'de
我侄儿子,wo'zhi'er'zi
我只认得,wo'zhi'ren'de
我住处,wo'zhu'chu
我最记得,wo'zui'ji'de
我做呢,wo'zuo'ne
无比聊,wu'bi'liao
武成,wu'cheng
武成路,wu'cheng'lu
武定,wu'ding
武定县,wu'ding'xian
乌东德,wu'dong'de
无法啦,wu'fa'la
无法了,wu'fa'le
五华,wu'hua
五华区,wu'hua'qu
五华山,wu'hua'shan
五华体育馆,wu'hua'ti'yu'guan
巫家坝,wu'jia'ba
五甲河,wu'jia'he
五甲塘,wu'jia'tang
吴家营,wu'jia'ying
吴井,wu'jing
吴井路,wu'jing'lu
吴井桥,wu'jing'qiao
五里多,wu'li'duo
无聊不得,wu'liao'bu'de
物流城,wu'liu'cheng
五三三,wu'san'san
吴师,wu'shi
吴素红,wu'su'hong
无言啦,wu'yan'la
西坝路,xi'ba'lu
西北部,xi'bei'bu
西部客运站,xi'bu'ke'yun'zhan
西昌路,xi'chang'lu
稀豆粉,xi'dou'fen
西贡码头,xi'gong'ma'tou
西华小区,xi'hua'xiao'qu
西华园,xi'hua'yuan
洗脸脚,xi'lian'jiao
细米线,xi'mi'xian
西南海,xi'nan'hai
西南林,xi'nan'lin
西南林大,xi'nan'lin'da
西南林学院,xi'nan'lin'xue'yuan
西南林业,xi'nan'lin'ye
西南林业大学,xi'nan'lin'ye'da'xue
稀奇啦,xi'qi'la
希桥,xi'qiao
洗桑拿,xi'sang'na
西山,xi'shan
西山区,xi'shan'qu
西山区政府,xi'shan'qu'zheng'fu
西市区,xi'shi'qu
西双,xi'shuang
西双版纳,xi'shuang'ban'na
西双版纳州,xi'shuang'ban'na'zhou
希望路,xi'wang'lu
洗洗睡啦,xi'xi'shui'la
锡业,xi'ye
西一中,xi'yi'zhong
西游洞,xi'you'dong
西苑立交桥,xi'yuan'li'jiao'qiao
西园路,xi'yuan'lu
西园路口,xi'yuan'lu'kou
西岳庙,xi'yue'miao
喜洲,xi'zhou
席子营,xi'zi'ying
下车费,xia'che'fei
下关,xia'guan
下克,xia'ke
下了噶,xia'le'ga
下了嘛,xia'le'ma
下马村,xia'ma'cun
夏师,xia'shi
下午点,xia'wu'dian
下午些,xia'wu'xie
下洋芋,xia'yang'yu
鲜花饼,xian'hua'bing
县街,xian'jie
先克,xian'ke
先么,xian'me
贤士榜,xian'shi'bang
先睡嘛,xian'shui'ma
现在在昆明,xian'zai'zai'kun'ming
先这种,xian'zhe'zhong
仙足岛,xian'zu'dao
相当呢,xiang'dang'ne
香格里拉,xiang'ge'li'la
香格里拉县,xiang'ge'li'la'xian
想克,xiang'ke
想了嘛,xiang'le'ma
想喃,xiang'nan
想呢嘛,xiang'ne'ma
想呢美,xiang'ne'mei
祥鹏航空,xiang'peng'hang'kong
想认得,xiang'ren'de
香如木樨,xiang'ru'mu'xi
香圣客,xiang'sheng'ke
想我噶,xiang'wo'ga
想我该,xiang'wo'gai
想我给,xiang'wo'gei
想我了噶,xiang'wo'le'ga
想我了该,xiang'wo'le'gai
香榭丽园,xiang'xie'li'yuan
乡鸭湖,xiang'ya'hu
祥云街,xiang'yun'jie
祥云县,xiang'yun'xian
想咋个,xiang'za'ge
香樟俊园,xiang'zhang'jun'yuan
小坝,xiao'ba
小板桥,xiao'ban'qiao
小逼娃娃,xiao'bi'wa'wa
晓不得啊,xiao'bu'de'a
晓不得了,xiao'bu'de'le
小菜园,xiao'cai'yuan
小菜园立交桥,xiao'cai'yuan'li'jiao'qiao
小臭狗,xiao'chou'gou
小从,xiao'cong
小单车,xiao'dan'che
晓东村,xiao'dong'cun
小狗日,xiao'gou'ri
小锅米线,xiao'guo'mi'xian
小憨,xiao'han
小憨包,xiao'han'bao
小花园,xiao'hua'yuan
小黄牛,xiao'huang'niu
小街,xiao'jie
小街镇,xiao'jie'zhen
小卷粉,xiao'juan'fen
小砍头,xiao'kan'tou
小康城,xiao'kang'cheng
小康大道,xiao'kang'da'dao
小苦菜,xiao'ku'cai
小烂屎,xiao'lan'shi
小老伟,xiao'lao'wei
小粒咖啡,xiao'li'ka'fei
小龙潭,xiao'long'tan
小马街,xiao'ma'jie
小麦溪,xiao'mai'xi
小米辣,xiao'mi'la
小米渣,xiao'mi'zha
小庙街,xiao'miao'jie
笑哪,xiao'na
笑哪样,xiao'na'yang
笑喃,xiao'nan
小屁娃娃,xiao'pi'wa'wa
小普,xiao'pu
小区房,xiao'qu'fang
小雀,xiao'que
小肉串,xiao'rou'chuan
小哨,xiao'shao
肖师,xiao'shi
小石坝,xiao'shi'ba
小死狗,xiao'si'gou
小死鬼,xiao'si'gui
小土贼,xiao'tu'zei
小团山,xiao'tuan'shan
小屯,xiao'tun
小沱茶,xiao'tuo'cha
小外衣,xiao'wai'yi
小湾,xiao'wan
小喂狗,xiao'wei'gou
小喜村,xiao'xi'cun
小西门,xiao'xi'men
小小呢,xiao'xiao'ne
小新街,xiao'xin'jie
小洋芋,xiao'yang'yu
小油肚,xiao'you'du
小杂毛,xiao'za'mao
小杂种,xiao'za'zhong
小昭寺,xiao'zhao'si
谢腊梅,xie'la'mei
谢了噶,xie'le'ga
些喃,xie'nan
谢师,xie'shi
谢谢噶,xie'xie'ga
谢谢亲爱呢,xie'xie'qin'ai'ne
谢秀梅,xie'xiu'mei
谢永顺,xie'yong'shun
蟹屿螺洲,xie'yu'luo'zhou
新百大,xin'bai'da
心逼烦,xin'bi'fan
新册,xin'ce
心昌,xin'chang
心肠了,xin'chang'le
欣都龙城,xin'dou'long'cheng
新都昌,xin'du'chang
心翻,xin'fan
心烦不得,xin'fan'bu'de
心烦啦,xin'fan'la
新广丰,xin'guang'feng
新机场,xin'ji'chang
新建设,xin'jian'she
心景,xin'jing
新开呢,xin'kai'ne
辛苦了嘛,xin'ku'le'ma
新昆明,xin'kun'ming
新螺狮湾,xin'luo'shi'wan
新螺蛳,xin'luo'si
新螺蛳湾,xin'luo'si'wan
新南亚,xin'nan'ya
新平,xin'ping
新平县,xin'ping'xian
信签纸,xin'qian'zhi
新闻路,xin'wen'lu
新闻路口,xin'wen'lu'kou
信息报,xin'xi'bao
新西南,xin'xi'nan
新亚洲,xin'ya'zhou
新亚洲体育城,xin'ya'zhou'ti'yu'cheng
心痒毛抓,xin'yang'mao'zhua
锌业,xin'ye
新迎,xin'ying
新迎路,xin'ying'lu
新迎路口,xin'ying'lu'kou
新迎小区,xin'ying'xiao'qu
星长征,xing'chang'zheng
幸福起,xing'fu'qi
星体花园,xing'ti'hua'yuan
星耀,xing'yao
星耀路,xing'yao'lu
星耀水乡,xing'yao'shui'xiang
星宇园,xing'yu'yuan
兴苑,xing'yuan
兴苑路,xing'yuan'lu
星泽园,xing'ze'yuan
雄达,xiong'da
雄业,xiong'ye
休息噶,xiu'xi'ga
休息早点,xiu'xi'zao'dian
徐师,xu'shi
徐文忠,xu'wen'zhong
宣威,xuan'wei
宣威的,xuan'wei'de
宣威市,xuan'wei'shi
薛春洋,xue'chun'yang
雪顿,xue'dun
雪顿节,xue'dun'jie
学府路,xue'fu'lu
雪兰,xue'lan
寻碧焱,xun'bi'yan
寻甸,xun'dian
寻甸县,xun'dian'xian
巡津,xun'jin
巡津街,xun'jin'jie
雅春苑,ya'chun'yuan
延安医院,yan'an'yi'yuan
研和,yan'he
严家地,yan'jia'di
盐津,yan'jin
眼睛热,yan'jing're
眼睛涩,yan'jing'se
眼睛涩了,yan'jing'se'le
研究哈,yan'jiu'ha
淹起来,yan'qi'lai
砚山,yan'shan
砚山县,yan'shan'xian
延时停机,yan'shi'ting'ji
淹水,yan'shui
淹水了,yan'shui'le
燕子洞,yan'zi'dong
杨爱萍,yang'ai'ping
杨爱群,yang'ai'qun
漾濞,yang'bi
杨副,yang'fu
阳光海岸,yang'guang'hai'an
阳光花园,yang'guang'hua'yuan
羊湖,yang'hu
洋花菜,yang'hua'cai
杨家地,yang'jia'di
羊街,yang'jie
洋桔梗,yang'jie'geng
杨林,yang'lin
洋气啦,yang'qi'la
羊肉米线,yang'rou'mi'xian
杨师,yang'shi
杨舒然,yang'shu'ran
洋丝瓜,yang'si'gua
羊仙坡,yang'xian'po
杨娅,yang'ya
样样好,yang'yang'hao
样也,yang'ye
洋芋,yang'yu
洋芋丝,yang'yu'si
杨云风,yang'yun'feng
杨云华,yang'yun'hua
阳宗海,yang'zong'hai
要挨,yao'ai
姚安,yao'an
姚安县,yao'an'xian
要不成,yao'bu'cheng
要出克,yao'chu'ke
要的成,yao'de'cheng
要得啦,yao'de'la
要的呢,yao'de'ne
要疯啦,yao'feng'la
要搞么,yao'gao'me
要好好呢,yao'hao'hao'ne
要回克,yao'hui'ke
要克,yao'ke
要来昆明,yao'lai'kun'ming
耀龙,yao'long
耀龙康城,yao'long'kang'cheng
要喃,yao'nan
要呢嘛,yao'ne'ma
要呢要呢,yao'ne'yao'ne
姚师,yao'shi
要咋个,yao'za'ge
要咋个说,yao'za'ge'shuo
要咋个整,yao'za'ge'zheng
要咋说,yao'za'shuo
要咋整,yao'za'zheng
要整喃,yao'zheng'nan
也不克,ye'bu'ke
也不消,ye'bu'xiao
也不有,ye'bu'you
也不咋个,ye'bu'za'ge
也不在额,ye'bu'zai'e
也倒是,ye'dao'shi
叶底,ye'di
也好看呢,ye'hao'kan'ne
野花沟,ye'hua'gou
叶君伟,ye'jun'wei
也克,ye'ke
也某,ye'mou
也某得,ye'mou'de
也怕是,ye'pa'shi
也认不得,ye'ren'bu'de
也认得,ye'ren'de
野生菌,ye'sheng'jun
野生困,ye'sheng'kun
叶师,ye'shi
也是噶,ye'shi'ga
叶仙鹤,ye'xian'he
野象谷,ye'xiang'gu
也晓不得,ye'xiao'bu'de
叶秀萍,ye'xiu'ping
野鸭湖,ye'ya'hu
也要克,ye'yao'ke
也在昆明,ye'zai'kun'ming
也这种,ye'zhe'zhong
冶专,ye'zhuan
叶子花,ye'zi'hua
一把头,yi'ba'tou
一般点,yi'ban'dian
一般些,yi'ban'xie
一包糟,yi'bao'zao
一边克,yi'bian'ke
一乘,yi'cheng
溢醇,yi'chun
已打单,yi'da'dan
一大党,yi'da'dang
一大个,yi'da'ge
一大股,yi'da'gu
一大只,yi'da'zhi
一党,yi'dang
一多多,yi'duo'duo
一二一,yi'er'yi
