八七路,ba'qi'lu
石狮市司法局祥芝司法所,shi'shi'shi'si'fa'ju'xiang'zhi'si'fa'suo
石狮市司法局永宁司法所,shi'shi'shi'si'fa'ju'yong'ning'si'fa'suo
石狮市宋塘路体育馆,shi'shi'shi'song'tang'lu'ti'yu'guan
石狮市台湾同盟联合会,shi'shi'shi'tai'wan'tong'meng'lian'he'hui
石狮市糖房街,shi'shi'shi'tang'fang'jie
石狮市糖油公司,shi'shi'shi'tang'you'gong'si
石狮市体育中心管理办,shi'shi'shi'ti'yu'zhong'xin'guan'li'ban
石狮市体育总会,shi'shi'shi'ti'yu'zong'hui
石狮市统计局,shi'shi'shi'tong'ji'ju
石狮市统战部,shi'shi'shi'tong'zhan'bu
石狮市投资开发公司,shi'shi'shi'tou'zi'kai'fa'gong'si
石狮市土地储备中心,shi'shi'shi'tu'di'chu'bei'zhong'xin
石狮市土地登记交易中心,shi'shi'shi'tu'di'deng'ji'jiao'yi'zhong'xin
石狮市团市委,shi'shi'shi'tuan'shi'wei
石狮市外商投资服务中心,shi'shi'shi'wai'shang'tou'zi'fu'wu'zhong'xin
石狮市卫生监督所,shi'shi'shi'wei'sheng'jian'du'suo
石狮市卫生局,shi'shi'shi'wei'sheng'ju
石狮市卫生院,shi'shi'shi'wei'sheng'yuan
石狮市文化馆,shi'shi'shi'wen'hua'guan
石狮市文化市场稽查队,shi'shi'shi'wen'hua'shi'chang'ji'cha'dui
石狮市文联,shi'shi'shi'wen'lian
石狮市文林图书馆,shi'shi'shi'wen'lin'tu'shu'guan
石狮市五交公司,shi'shi'shi'wu'jiao'gong'si
石狮市五星霞泽铭路,shi'shi'shi'wu'xing'xia'ze'ming'lu
石狮市五中,shi'shi'shi'wu'zhong
石狮市武装部,shi'shi'shi'wu'zhuang'bu
石狮市物资公司,shi'shi'shi'wu'zi'gong'si
石狮市西环路,shi'shi'shi'xi'huan'lu
石狮市西环路灵秀镇政府,shi'shi'shi'xi'huan'lu'ling'xiu'zhen'zheng'fu
石狮市西环路气象大楼,shi'shi'shi'xi'huan'lu'qi'xiang'da'lou
石狮市西灵路灵秀派出所,shi'shi'shi'xi'ling'lu'ling'xiu'pai'chu'suo
石狮市香江路,shi'shi'shi'xiang'jiang'lu
石狮市香江路东段松茂村,shi'shi'shi'xiang'jiang'lu'dong'duan'song'mao'cun
石狮市祥芝法律服务所,shi'shi'shi'xiang'zhi'fa'lv'fu'wu'suo
石狮市祥芝法庭侧面,shi'shi'shi'xiang'zhi'fa'ting'ce'mian
石狮市祥芝派出所,shi'shi'shi'xiang'zhi'pai'chu'suo
石狮市祥芝运管站,shi'shi'shi'xiang'zhi'yun'guan'zhan
石狮市祥芝镇,shi'shi'shi'xiang'zhi'zhen
石狮市祥芝镇赤湖村共富路,shi'shi'shi'xiang'zhi'zhen'chi'hu'cun'gong'fu'lu
石狮市祥芝镇工商管理所,shi'shi'shi'xiang'zhi'zhen'gong'shang'guan'li'suo
石狮市祥芝镇莲厝头,shi'shi'shi'xiang'zhi'zhen'lian'cuo'tou
石狮市祥芝镇卫生院,shi'shi'shi'xiang'zhi'zhen'wei'sheng'yuan
石狮市祥芝镇祥农工业区水尾桥,shi'shi'shi'xiang'zhi'zhen'xiang'nong'gong'ye'qu'shui'wei'qiao
石狮市祥芝镇镇政府,shi'shi'shi'xiang'zhi'zhen'zhen'zheng'fu
石狮市消防大队,shi'shi'shi'xiao'fang'da'dui
石狮市协进律师事务所,shi'shi'shi'xie'jin'lv'shi'shi'wu'suo
石狮市信访局,shi'shi'shi'xin'fang'ju
石狮市新华书店,shi'shi'shi'xin'hua'shu'dian
石狮市新星路,shi'shi'shi'xin'xing'lu
石狮市新星路凤里中学,shi'shi'shi'xin'xing'lu'feng'li'zhong'xue
石狮市醒狮律师事务所,shi'shi'shi'xing'shi'lv'shi'shi'wu'suo
石狮市兴业银行大厦,shi'shi'shi'xing'ye'yin'hang'da'sha
石狮市行政审批服务中心,shi'shi'shi'xing'zheng'shen'pi'fu'wu'zhong'xin
石狮市学府路,shi'shi'shi'xue'fu'lu
石狮市学府路龙穴村,shi'shi'shi'xue'fu'lu'long'xue'cun
石狮市学府路日报大厦,shi'shi'shi'xue'fu'lu'ri'bao'da'sha
石狮市烟草专卖局,shi'shi'shi'yan'cao'zhuan'mai'ju
石狮市药品监督管理局,shi'shi'shi'yao'pin'jian'du'guan'li'ju
石狮市医保中心,shi'shi'shi'yi'bao'zhong'xin
石狮市一建石狮市九二路,shi'shi'shi'yi'jian'shi'shi'shi'jiu'er'lu
石狮市医药公司,shi'shi'shi'yi'yao'gong'si
石狮市医院,shi'shi'shi'yi'yuan
石狮市一中,shi'shi'shi'yi'zhong
石狮市饮服公司,shi'shi'shi'yin'fu'gong'si
石狮市银江华侨中学,shi'shi'shi'yin'jiang'hua'qiao'zhong'xue
石狮市银祥路,shi'shi'shi'yin'xiang'lu
石狮市影剧院,shi'shi'shi'ying'ju'yuan
石狮市永宁派出所,shi'shi'shi'yong'ning'pai'chu'suo
石狮市永宁洋厝村子英医院,shi'shi'shi'yong'ning'yang'cuo'cun'zi'ying'yi'yuan
石狮市永宁永梅路,shi'shi'shi'yong'ning'yong'mei'lu
石狮市永宁运管站,shi'shi'shi'yong'ning'yun'guan'zhan
石狮市永宁镇菜市场,shi'shi'shi'yong'ning'zhen'cai'shi'chang
石狮市永宁镇工商管理所,shi'shi'shi'yong'ning'zhen'gong'shang'guan'li'suo
石狮市永宁镇黄金海岸邮电宾馆,shi'shi'shi'yong'ning'zhen'huang'jin'hai'an'you'dian'bin'guan
石狮市永宁镇卫生院,shi'shi'shi'yong'ning'zhen'wei'sheng'yuan
石狮市永宁镇溪莺新村,shi'shi'shi'yong'ning'zhen'xi'ying'xin'cun
石狮市永宁镇信义开发区,shi'shi'shi'yong'ning'zhen'xin'yi'kai'fa'qu
石狮市永宁镇永宁旧综合市场,shi'shi'shi'yong'ning'zhen'yong'ning'jiu'zong'he'shi'chang
石狮市永宁镇镇政府,shi'shi'shi'yong'ning'zhen'zhen'zheng'fu
石狮市永宁镇子英村,shi'shi'shi'yong'ning'zhen'zi'ying'cun
石狮市永宁中学,shi'shi'shi'yong'ning'zhong'xue
石狮市邮政局,shi'shi'shi'you'zheng'ju
石狮市鸳鸯池,shi'shi'shi'yuan'yang'chi
石狮市鸳鸯池西路,shi'shi'shi'yuan'yang'chi'xi'lu
石狮市招标办,shi'shi'shi'zhao'biao'ban
石狮市振狮医院,shi'shi'shi'zhen'shi'yi'yuan
石狮市政府采购中心,shi'shi'shi'zheng'fu'cai'gou'zhong'xin
石狮市政府接待处,shi'shi'shi'zheng'fu'jie'dai'chu
石狮市政公党,shi'shi'shi'zheng'gong'dang
石狮市政协办公室,shi'shi'shi'zheng'xie'ban'gong'shi
石狮市质量技术监督局办公室,shi'shi'shi'zhi'liang'ji'shu'jian'du'ju'ban'gong'shi
石狮市质量监督站,shi'shi'shi'zhi'liang'jian'du'zhan
石狮市中福在线投注中心,shi'shi'shi'zhong'fu'zai'xian'tou'zhu'zhong'xin
石狮市中国旅行社,shi'shi'shi'zhong'guo'lv'xing'she
石狮市中华慈善总会,shi'shi'shi'zhong'hua'ci'shan'zong'hui
石狮市中心法律服务所,shi'shi'shi'zhong'xin'fa'lv'fu'wu'suo
石狮市中英文学校,shi'shi'shi'zhong'ying'wen'xue'xiao
石狮市种子公司,shi'shi'shi'zhong'zi'gong'si
石狮市子芳路长福汽车站,shi'shi'shi'zi'fang'lu'chang'fu'qi'che'zhan
石狮市子芳路赛特医院,shi'shi'shi'zi'fang'lu'sai'te'yi'yuan
石狮市自然门学校,shi'shi'shi'zi'ran'men'xue'xiao
石狮市子英医院,shi'shi'shi'zi'ying'yi'yuan
石狮市总工会,shi'shi'shi'zong'gong'hui
石狮市综治办,shi'shi'shi'zong'zhi'ban
石渔,shi'yu
市政管理大楼,shi'zheng'guan'li'da'lou
树东巷,shu'dong'xiang
双拥路,shuang'yong'lu
水头,shui'tou
松茂,song'mao
宋塘路,song'tang'lu
苏厝,su'cuo
塔前,ta'qian
塔石,ta'shi
台湾同胞接待处,tai'wan'tong'bao'jie'dai'chu
塘边,tang'bian
塘后,tang'hou
塘头,tang'tou
塘园,tang'yuan
腾达路,teng'da'lu
腾飞路,teng'fei'lu
外高,wai'gao
文安路,wen'an'lu
伍堡,wu'bao
浯沙,wu'sha
五星社区,wu'xing'she'qu
西岑,xi'cen
西墩,xi'dun
西港,xi'gang
西环路,xi'huan'lu
西偏,xi'pian
溪前,xi'qian
下宅,xia'zhai
仙迹社区,xian'ji'she'qu
祥和路,xiang'he'lu
香江路,xiang'jiang'lu
祥农,xiang'nong
祥渔,xiang'yu
祥运,xiang'yun
祥芝镇,xiang'zhi'zhen
谢厝,xie'cuo
新湖社区,xin'hu'she'qu
新华社区,xin'hua'she'qu
兴东八路,xing'dong'ba'lu
兴东二路,xing'dong'er'lu
兴东六路,xing'dong'liu'lu
兴东七路,xing'dong'qi'lu
兴东三路,xing'dong'san'lu
兴东五路,xing'dong'wu'lu
兴东一路,xing'dong'yi'lu
兴富巷,xing'fu'xiang
兴湖路,xing'hu'lu
星辉二路,xing'hui'er'lu
星辉三路,xing'hui'san'lu
星辉一路,xing'hui'yi'lu
兴狮巷,xing'shi'xiang
雪上,xue'shang
杨厝,yang'cuo
洋厝,yang'cuo
银福路,yin'fu'lu
银河路,yin'he'lu
银江路,yin'jiang'lu
银塘北路,yin'tang'bei'lu
银塘南路,yin'tang'nan'lu
银祥路,yin'xiang'lu
银兴路,yin'xing'lu
永丰路,yong'feng'lu
永禄路,yong'lu'lu
永宁社区,yong'ning'she'qu
永宁镇,yong'ning'zhen
育才路,yu'cai'lu
玉池东路,yu'chi'dong'lu
玉池中路,yu'chi'zhong'lu
玉湖社区,yu'hu'she'qu
玉林路,yu'lin'lu
玉林西路,yu'lin'xi'lu
玉浦,yu'pu
院东,yuan'dong
云翔路,yun'xiang'lu
振通路,zhen'tong'lu
郑厝,zheng'cuo
中国建设银行石狮市支行,zhong'guo'jian'she'yin'hang'shi'shi'shi'zhi'hang
中国联通石狮分公司,zhong'guo'lian'tong'shi'shi'fen'gong'si
中国人民财产保险股份有限公司石狮市支公司,zhong'guo'ren'min'cai'chan'bao'xian'gu'fen'you'xian'gong'si'shi'shi'shi'zhi'gong'si
中国人寿保险股份有限公司石狮市支公司,zhong'guo'ren'shou'bao'xian'gu'fen'you'xian'gong'si'shi'shi'shi'zhi'gong'si
中国商业银行石狮市支行,zhong'guo'shang'ye'yin'hang'shi'shi'shi'zhi'hang
中国兴业银行石狮市支行,zhong'guo'xing'ye'yin'hang'shi'shi'shi'zhi'hang
中国移动通信石狮分公司,zhong'guo'yi'dong'tong'xin'shi'shi'fen'gong'si
中国银行石狮市支行,zhong'guo'yin'hang'shi'shi'shi'zhi'hang
中兴路,zhong'xing'lu
子芳路,zi'fang'lu
子英,zi'ying
