阿母种桃云海际,a'mu'zhong'tao'yun'hai'ji
飞章上达三清路,fei'zhang'shang'da'san'qing'lu
汾川雁带书来,fen'chuan'yan'dai'shu'lai
粉蝶来难见,fen'die'lai'nan'jian
纷纷只见玉山颓,fen'fen'zhi'jian'yu'shan'tui
分付新声与顺郎,fen'fu'xin'sheng'yu'shun'lang
分付莺花与后生,fen'fu'ying'hua'yu'hou'sheng
分甘出万钱,fen'gan'chu'wan'qian
坟高三四尺,fen'gao'san'si'chi
分圭从北回,fen'gui'cong'bei'hui
分居要路津,fen'ju'yao'lu'jin
纷纶晖映互明灭,fen'lun'hui'ying'hu'ming'mie
粉落椒飞知几春,fen'luo'jiao'fei'zhi'ji'chun
分明对玉堂,fen'ming'dui'yu'tang
分明记取星星鬓,fen'ming'ji'qu'xing'xing'bin
分明穷达旨,fen'ming'qiong'da'zhi
分圻辨风物,fen'qi'bian'feng'wu
分岐浩繁缛,fen'qi'hao'fan'ru
分畦十字水,fen'qi'shi'zi'shui
分庭备将迎,fen'ting'bei'jiang'ying
分庭展宾主,fen'ting'zhan'bin'zhu
纷吾本孤贱,fen'wu'ben'gu'jian
分务神都近旧丘,fen'wu'shen'dou'jin'jiu'qiu
焚香玉帝宫,fen'xiang'yu'di'gong
分野穷禹画,fen'ye'qiong'yu'hua
汾阴有宝气,fen'yin'you'bao'qi
分忧馀刃又从公,fen'you'yu'ren'you'cong'gong
分忧政未成,fen'you'zheng'wei'cheng
分照接虞渊,fen'zhao'jie'yu'yuan
风摆戟衣斜,feng'bai'ji'yi'xie
凤城来已熟,feng'cheng'lai'yi'shu
凤城烟雨歇,feng'cheng'yan'yu'xie
凤池西畔图书府,feng'chi'xi'pan'tu'shu'fu
风穿号令众心和,feng'chuan'hao'ling'zhong'xin'he
风吹落叶填宫井,feng'chui'luo'ye'tian'gong'jing
风吹雨洒旋成尘,feng'chui'yu'sa'xuan'cheng'chen
凤从池上游沧海,feng'cong'chi'shang'you'cang'hai
凤得新巢想称心,feng'de'xin'chao'xiang'chen'xin
风动翠蛾嚬,feng'dong'cui'e'pin
凤管学成知有籍,feng'guan'xue'cheng'zhi'you'ji
风光满眼倍伤神,feng'guang'man'yan'bei'shang'shen
凤归林正秋,feng'gui'lin'zheng'qiu
奉和裴令公夜宴,feng'he'pei'ling'gong'ye'yan
风驾潮头入渚田,feng'jia'chao'tou'ru'zhu'tian
讽谏欣然纳,feng'jian'xin'ran'na
风景属吾曹,feng'jing'shu'wu'cao
风景宜轻薄,feng'jing'yi'qing'bo
奉君清暑殿,feng'jun'qing'shu'dian
冯君虚上舍,feng'jun'xu'shang'she
逢君驻缁锡,feng'jun'zhu'zi'xi
风来韵清徵,feng'lai'yun'qing'zheng
封来真宝物,feng'lai'zhen'bao'wu
风雷走于内,feng'lei'zou'yu'nei
风莲坠故萼,feng'lian'zhui'gu'e
风猎红旗入寿春,feng'lie'hong'qi'ru'shou'chun
枫林橘树鹧鸪声,feng'lin'ju'shu'zhe'gu'sheng
枫林社日鼓,feng'lin'she'ri'gu
风流旧占洛阳城,feng'liu'jiu'zhan'luo'yang'cheng
风流虽老尚难当,feng'liu'sui'lao'shang'nan'dang
风流太守韦尚书,feng'liu'tai'shou'wei'shang'shu
丰隆震天衢,feng'long'zhen'tian'qu
凤楼南面控三条,feng'lou'nan'mian'kong'san'tiao
凤楼烟雨啸愁鸱,feng'lou'yan'yu'xiao'chou'chi
风露发晶英,feng'lu'fa'jing'ying
风鸣骕骦马,feng'ming'su'shuang'ma
风飘掌下紫游缰,feng'piao'zhang'xia'zi'you'jiang
风起不成文,feng'qi'bu'cheng'wen
风凄仪仗闲,feng'qi'yi'zhang'xian
风樯好住贪程去,feng'qiang'hao'zhu'tan'cheng'qu
风情不似四登坛,feng'qing'bu'si'si'deng'tan
风轻徐就影,feng'qing'xu'jiu'ying
风驱叶拥阶,feng'qu'ye'yong'jie
凤阙轻遮翡翠帏,feng'que'qing'zhe'fei'cui'wei
逢人即故吏,feng'ren'ji'gu'li
逢人尽冰雪,feng'ren'jin'bing'xue
逢人少旧僚,feng'ren'shao'jiu'liao
风日为无晖,feng'ri'wei'wu'hui
丰茸紫绶花,feng'rong'zi'shou'hua
凤翣拥铭旌,feng'sha'yong'ming'jing
逢时即至珍,feng'shi'ji'zhi'zhen
峰势耸牛头,feng'shi'song'niu'tou
逢时亦悄然,feng'shi'yi'qiao'ran
逢时已自致高位,feng'shi'yi'zi'zhi'gao'wei
逢时咏载橐,feng'shi'yong'zai'tuo
风霜苦摇落,feng'shuang'ku'yao'luo
风霜潜减威,feng'shuang'qian'jian'wei
风水悲流萍,feng'shui'bei'liu'ping
风水忽异势,feng'shui'hu'yi'shi
风俗如狂重此时,feng'su'ru'kuang'zhong'ci'shi
风俗太伯馀,feng'su'tai'bo'yu
风碎竹间日,feng'sui'zhu'jian'ri
封题青琐闱,feng'ti'qing'suo'wei
风天气色属商人,feng'tian'qi'se'shu'shang'ren
风调夜景清,feng'tiao'ye'jing'qing
烽头烟静虏无尘,feng'tou'yan'jing'lu'wu'chen
风为列子车,feng'wei'lie'zi'che
风物澹无辉,feng'wu'dan'wu'hui
风物清远目,feng'wu'qing'yuan'mu
凤衔金榜云间出,feng'xian'jin'bang'yun'jian'chu
凤衔新诏降恩华,feng'xian'xin'zhao'jiang'en'hua
风行能偃草,feng'xing'neng'yan'cao
风雪相和岁欲阑,feng'xue'xiang'he'sui'yu'lan
风雪一徘徊,feng'xue'yi'pai'huai
风烟汉上城,feng'yan'han'shang'cheng
风烟纪南城,feng'yan'ji'nan'cheng
风烟里数少,feng'yan'li'shu'shao
风烟青草靡,feng'yan'qing'cao'mi
风烟入兴便成章,feng'yan'ru'xing'bian'cheng'zhang
风摇青玉枝,feng'yao'qing'yu'zhi
封以梁国土,feng'yi'liang'guo'tu
冯夷蹁跹舞渌波,feng'yi'pian'xian'wu'lu'bo
风意欲摧兰,feng'yi'yu'cui'lan
风引上高岑,feng'yin'shang'gao'cen
逢迎欠主人,feng'ying'qian'zhu'ren
逢迎诗酒徒,feng'ying'shi'jiu'tu
风月故人杯,feng'yue'gu'ren'bei
风云变化饶年少,feng'yun'bian'hua'rao'nian'shao
风韵渐高梧叶动,feng'yun'jian'gao'wu'ye'dong
风云日已改,feng'yun'ri'yi'gai
风云失路暂相随,feng'yun'shi'lu'zan'xiang'sui
风筝吟秋空,feng'zheng'yin'qiu'kong
风止松犹韵,feng'zhi'song'you'yun
风中闻清乐,feng'zhong'wen'qing'yue
凤姿尝在竹,feng'zi'chang'zai'zhu
佛前灯焰透莲花,fo'qian'deng'yan'tou'lian'hua
浮壒莫能停,fu'ai'mo'neng'ting
浮霭起苍葭,fu'ai'qi'cang'jia
浮杯明日去,fu'bei'ming'ri'qu
浮杯万里过沧溟,fu'bei'wan'li'guo'cang'ming
符彩添隃墨,fu'cai'tian'shu'mo
复持州民刺,fu'chi'zhou'min'ci
傅粉琅玕节,fu'fen'lang'gan'jie
府公既有朝中旧,fu'gong'ji'you'chao'zhong'jiu
俯观群动静,fu'guan'qun'dong'jing
浮光动宫观,fu'guang'dong'gong'guan
浮光生草树,fu'guang'sheng'cao'shu
复归朝右作公卿,fu'gui'chao'you'zuo'gong'qing
富贵当年别有情,fu'gui'dang'nian'bie'you'qing
富贵难与逍遥兼,fu'gui'nan'yu'xiao'yao'jian
复户洁灵宅,fu'hu'jie'ling'zhai
浮花拥曲处,fu'hua'yong'qu'chu
复集东城,fu'ji'dong'cheng
抚己昧所宜,fu'ji'mei'suo'yi
浮精离碧海,fu'jing'li'bi'hai
拂镜整危冠,fu'jing'zheng'wei'guan
俯瞰长江疑欲吞,fu'kan'chang'jiang'yi'yu'tun
俯窥石潭空,fu'kui'shi'tan'kong
覆篑图穹崇,fu'kui'tu'qiong'chong
府门闭后满街月,fu'men'bi'hou'man'jie'yue
浮名岂敢要,fu'ming'qi'gan'yao
浮荣在俄顷,fu'rong'zai'e'qing
扶桑色昕昕,fu'sang'se'xin'xin
拂拭鱼鳞见,fu'shi'yu'lin'jian
赴苏州酬别乐天,fu'su'zhou'chou'bie'le'tian
复土奉山园,fu'tu'feng'shan'yuan
浮香转丛蕙,fu'xiang'zhuan'cong'hui
拂衣高谢岂徒然,fu'yi'gao'xie'qi'tu'ran
复有衡山守,fu'you'heng'shan'shou
浮云金络膝,fu'yun'jin'luo'xi
浮云野马归四裔,fu'yun'ye'ma'gui'si'yi
浮在武陵水,fu'zai'wu'ling'shui
复振前朝名相家,fu'zhen'qian'chao'ming'xiang'jia
俯啄无声犹屡顾,fu'zhuo'wu'sheng'you'lv'gu
夫子承大名,fu'zi'cheng'da'ming
轧轧渡水桨,ga'ga'du'shui'jiang
改宾客分司,gai'bin'ke'fen'si
肝鬲可以呈,gan'ge'ke'yi'cheng
甘陵旧党凋零尽,gan'ling'jiu'dang'diao'ling'jin
感时江海思,gan'shi'jiang'hai'si
感叹益劳歌,gan'tan'yi'lao'ge
绀幰迎入专城居,gan'xian'ying'ru'zhuan'cheng'ju
甘心醉数杯,gan'xin'zui'shu'bei
冈头花草齐,gang'tou'hua'cao'qi
高岸朝霞合,gao'an'zhao'xia'he
高步领名卿,gao'bu'ling'ming'qing
高唱从此始,gao'chang'cong'ci'shi
高处卷帘看,gao'chu'juan'lian'kan
高窗报欲明,gao'chuang'bao'yu'ming
高从倚盖旋,gao'cong'yi'gai'xuan
高殿呀然压苍巘,gao'dian'ya'ran'ya'cang'yan
高阁晨开扫翠微,gao'ge'chen'kai'sao'cui'wei
高灰辨廪庾,gao'hui'bian'lin'yu
高髻云鬟宫样妆,gao'ji'yun'huan'gong'yang'zhuang
高价聘琳琅,gao'jia'pin'lin'lang
高架引藤花,gao'jia'yin'teng'hua
高看特上楼,gao'kan'te'shang'lou
高丽罘罳照珠网,gao'li'fu'si'zhao'zhu'wang
高帘覆朱阁,gao'lian'fu'zhu'ge
高林先见金霞晓,gao'lin'xian'jian'jin'xia'xiao
高溜悬绠縻,gao'liu'xuan'geng'mi
高笼提出白云司,gao'long'ti'chu'bai'yun'si
高楼次旗亭,gao'lou'ci'qi'ting
高楼贺监昔曾登,gao'lou'he'jian'xi'ceng'deng
高楼已远犹频望,gao'lou'yi'yuan'you'pin'wang
高楼月好夜深吹,gao'lou'yue'hao'ye'shen'chui
高门勿遽掩,gao'men'wu'ju'yan
高名大位能兼有,gao'ming'da'wei'neng'jian'you
高樯起行色,gao'qiang'qi'xing'se
皋禽警露下,gao'qin'jing'lu'xia
高情方叹嗟,gao'qing'fang'tan'jie
高情方造适,gao'qing'fang'zao'shi
高情物外存,gao'qing'wu'wai'cun
高情限清禁,gao'qing'xian'qing'jin
高情雅淡世间稀,gao'qing'ya'dan'shi'jian'xi
高情一见与扶持,gao'qing'yi'jian'yu'fu'chi
高情犹向碧云深,gao'qing'you'xiang'bi'yun'shen
高人必爱竹,gao'ren'bi'ai'zhu
高人灵府间,gao'ren'ling'fu'jian
高僧独扣门,gao'seng'du'kou'men
高僧精舍开,gao'seng'jing'she'kai
高僧扫室请,gao'seng'sao'shi'qing
高山固无限,gao'shan'gu'wu'xian
高视来上京,gao'shi'lai'shang'jing
高视缅今古,gao'shi'mian'jin'gu
高堂开笑颜,gao'tang'kai'xiao'yan
高亭尽见山,gao'ting'jin'jian'shan
高亭一骋望,gao'ting'yi'cheng'wang
高兴对花枝,gao'xing'dui'hua'zhi
高筵谈柄一麾拂,gao'yan'tan'bing'yi'hui'fu
高艳遮银井,gao'yan'zhe'yin'jing
槁叶鸣空阶,gao'ye'ming'kong'jie
高墉伊何,gao'yong'yi'he
膏泽方愆期,gao'ze'fang'qian'qi
高斋日夜有佳期,gao'zhai'ri'ye'you'jia'qi
高斋洒寒水,gao'zhai'sa'han'shui
高斋有谪仙,gao'zhai'you'zhe'xian
高赀比封君,gao'zi'bi'feng'jun
高坐寂寥尘漠漠,gao'zuo'ji'liao'chen'mo'mo
隔岸数飞甍,ge'an'shu'fei'meng
隔城闻鹤鸣,ge'cheng'wen'he'ming
歌传上客兰堂暮,ge'chuan'shang'ke'lan'tang'mu
隔窗依砌尚蒙笼,ge'chuang'yi'qi'shang'meng'long
歌词入管弦,ge'ci'ru'guan'xian
歌词自作别生情,ge'ci'zi'zuo'bie'sheng'qing
阁道看山曳履回,ge'dao'kan'shan'ye'lv'hui
隔浪动晶荧,ge'lang'dong'jing'ying
个里愁人肠自断,ge'li'chou'ren'chang'zi'duan
隔帘惟见中庭草,ge'lian'wei'jian'zhong'ting'cao
歌眉低有思,ge'mei'di'you'si
各抛笔砚夸旄钺,ge'pao'bi'yan'kua'mao'yue
隔浦望行船,ge'pu'wang'xing'chuan
阁上掩书刘向去,ge'shang'yan'shu'liu'xiang'qu
隔水生别岛,ge'shui'sheng'bie'dao
隔水疑神仙,ge'shui'yi'shen'xian
歌堂忽暮哭,ge'tang'hu'mu'ku
歌舞娇青春,ge'wu'jiao'qing'chun
各系一官难命驾,ge'xi'yi'guan'nan'ming'jia
歌响杂莺啼,ge'xiang'za'ying'ti
歌榭白团扇,ge'xie'bai'tuan'shan
隔袖见纤纤,ge'xiu'jian'xian'xian
歌谣开竹栈,ge'yao'kai'zhu'zhan
阁倚碧天秋,ge'yi'bi'tian'qiu
阁倚晴天见凤巢,ge'yi'qing'tian'jian'feng'chao
阁影助松寒,ge'ying'zhu'song'han
亘空欲驾鼋鼍桥,gen'kong'yu'jia'yuan'tuo'qiao
根老新成瑞犬形,gen'lao'xin'cheng'rui'quan'xing
根留本土依江润,gen'liu'ben'tu'yi'jiang'run
更报明朝池上酌,geng'bao'ming'zhao'chi'shang'zhuo
更被春风长倩猜,geng'bei'chun'feng'chang'qian'cai
更被光阴苦催,geng'bei'guang'yin'ku'cui
更不向诸家,geng'bu'xiang'zhu'jia
耕夫满野行人歌,geng'fu'man'ye'xing'ren'ge
更攻窗下绝编书,geng'gong'chuang'xia'jue'bian'shu
更将何面上春台,geng'jiang'he'mian'shang'chun'tai
更接东山文酒会,geng'jie'dong'shan'wen'jiu'hui
更能四面占文章,geng'neng'si'mian'zhan'wen'zhang
耕耨不关心,geng'nou'bu'guan'xin
耕人得古器,geng'ren'de'gu'qi
更入白眉人,geng'ru'bai'mei'ren
更入天台石桥去,geng'ru'tian'tai'shi'qiao'qu
更洒湘江斑竹枝,geng'sa'xiang'jiang'ban'zhu'zhi
縆瑟清夜阑,geng'se'qing'ye'lan
更食万钱厨,geng'shi'wan'qian'chu
更说扁舟动乡思,geng'shuo'pian'zhou'dong'xiang'si
更与殷勤唱渭城,geng'yu'yin'qin'chang'wei'cheng
共爱宿妆妍,gong'ai'su'zhuang'yan
共安缇绣荣,gong'an'ti'xiu'rong
共曾花下别,gong'ceng'hua'xia'bie
功成名遂会归老,gong'cheng'ming'sui'hui'gui'lao
功成频献乞身章,gong'cheng'pin'xian'qi'shen'zhang
功成欲爱闲,gong'cheng'yu'ai'xian
共待葳蕤翠华举,gong'dai'wei'rui'cui'hua'ju
公府成佳境,gong'fu'cheng'jia'jing
公府想无事,gong'fu'xiang'wu'shi
公府有高政,gong'fu'you'gao'zheng
公馆似仙家,gong'guan'si'xian'jia
宫馆贮娇娃,gong'guan'zhu'jiao'wa
共讥吴太守,gong'ji'wu'tai'shou
共结芳兰苕,gong'jie'fang'lan'shao
共经何限事,gong'jing'he'xian'shi
弓旌会见招,gong'jing'hui'jian'zhao
共夸新出栋梁材,gong'kua'xin'chu'dong'liang'cai
公来第四秋,gong'lai'di'si'qiu
共乐桑榆年,gong'le'sang'yu'nian
宫漏夜丁丁,gong'lou'ye'ding'ding
宫门皆映柳,gong'men'jie'ying'liu
公门吏散后,gong'men'li'san'hou
功名怀寸阴,gong'ming'huai'cun'yin
功名希自取,gong'ming'xi'zi'qu
宫女犹传洞箫赋,gong'nv'you'chuan'dong'xiao'fu
宫墙隐嶙围野泽,gong'qiang'yin'lin'wei'ye'ze
公卿偶慰荐,gong'qing'ou'wei'jian
宫树苍苍静掩扃,gong'shu'cang'cang'jing'yan'jiong
宫树朝凝碧,gong'shu'chao'ning'bi
巩树烟月上,gong'shu'yan'yue'shang
工为诗,gong'wei'shi
共闻调膳日,gong'wen'tiao'shan'ri
共羡府中棠棣好,gong'xian'fu'zhong'tang'di'hao
弓闲蛰受弢,gong'xian'zhe'shou'tao
宫星徒列位,gong'xing'tu'lie'wei
公冶本非罪,gong'ye'ben'fei'zui
功业成来二十年,gong'ye'cheng'lai'er'shi'nian
共忆东归旧主人,gong'yi'dong'gui'jiu'zhu'ren
共忆秋官处,gong'yi'qiu'guan'chu
共载比神仙,gong'zai'bi'shen'xian
共占少微星,gong'zhan'shao'wei'xing
觥盏样如舠,gong'zhan'yang'ru'dao
宫徵不独运,gong'zheng'bu'du'yun
工拙同有营,gong'zhuo'tong'you'ying
鞲鹰俊气生,gou'ying'jun'qi'sheng
彀中飞一箭,gou'zhong'fei'yi'jian
古岸夏花发,gu'an'xia'hua'fa
故巢吴苑树,gu'chao'wu'yuan'shu
孤臣本危涕,gu'chen'ben'wei'ti
孤城寄远目,gu'cheng'ji'yuan'mu
古称射策如弯弧,gu'cheng'she'ce'ru'wan'hu
故池春又至,gu'chi'chun'you'zhi
鼓催残拍腰身软,gu'cui'can'pai'yao'shen'ruan
古渡潺湲石,gu'du'chan'yuan'shi
孤帆带日来,gu'fan'dai'ri'lai
孤高何卓尔,gu'gao'he'zhuo'er
古桧存焉,gu'gui'cun'yan
故国荒台在,gu'guo'huang'tai'zai
孤鹤尚鸣皋,gu'he'shang'ming'gao
故侯也好归来,gu'hou'ye'hao'gui'lai
故将天下宝,gu'jiang'tian'xia'bao
鼓角已登城,gu'jiao'yi'deng'cheng
孤客最先闻,gu'ke'zui'xian'wen
古来才杰士,gu'lai'cai'jie'shi
古来成道者,gu'lai'cheng'dao'zhe
古来名将尽为神,gu'lai'ming'jiang'jin'wei'shen
古来赏音者,gu'lai'shang'yin'zhe
古来唯有王文度,gu'lai'wei'you'wang'wen'du
古老相传见来久,gu'lao'xiang'chuan'jian'lai'jiu
故垒清江上,gu'lei'qing'jiang'shang
故垒萧萧芦荻秋,gu'lei'xiao'xiao'lu'di'qiu
故吏来辞辛属国,gu'li'lai'ci'xin'shu'guo
故吏犹应记姓名,gu'li'you'ying'ji'xing'ming
孤莲落静池,gu'lian'luo'jing'chi
故临官道边,gu'lin'guan'dao'bian
故林棠树秋,gu'lin'tang'shu'qiu
故令无四壁,gu'ling'wu'si'bi
孤轮徐转光不定,gu'lun'xu'zhuan'guang'bu'ding
故洛城古墙,gu'luo'cheng'gu'qiang
故侣不可追,gu'lv'bu'ke'zhui
孤眠芊芊草,gu'mian'qian'qian'cao
孤明星汉间,gu'ming'xing'han'jian
古木半空天火痕,gu'mu'ban'kong'tian'huo'hen
古木带蝉秋,gu'mu'dai'chan'qiu
顾盼自生光,gu'pan'zi'sheng'guang
故遣髻鬟斜,gu'qian'ji'huan'xie
故取花落时,gu'qu'hua'luo'shi
故人博罗尉,gu'ren'bo'luo'wei
故人故人今转稀,gu'ren'gu'ren'jin'zhuan'xi
故人今不见,gu'ren'jin'bu'jian
故人南台旧,gu'ren'nan'tai'jiu
故人青霞意,gu'ren'qing'xia'yi
故人日已远,gu'ren'ri'yi'yuan
故人书信到柴扉,gu'ren'shu'xin'dao'chai'fei
故人书信来,gu'ren'shu'xin'lai
故人犹在三江外,gu'ren'you'zai'san'jiang'wai
故人云雨散,gu'ren'yun'yu'san
古石琅玕姿,gu'shi'lang'gan'zi
古诗无赠竹,gu'shi'wu'zeng'zhu
古戍见旗迥,gu'shu'jian'qi'jiong
古寺历头陀,gu'si'li'tou'tuo
古苔苍苍封老节,gu'tai'cang'cang'feng'lao'jie
古坛操简处,gu'tan'cao'jian'chu
顾望水陆怅然有作,gu'wang'shui'lu'chang'ran'you'zuo
鼓舞抃成雷,gu'wu'bian'cheng'lei
故溪无处觅,gu'xi'wu'chu'mi
故乡云雨乖,gu'xiang'yun'yu'guai
孤箫中禁传,gu'xiao'zhong'jin'chuan
孤影空相随,gu'ying'kong'xiang'sui
顾予久郎潜,gu'yu'jiu'lang'qian
顾予藜藿士,gu'yu'li'huo'shi
故苑多露草,gu'yuan'duo'lu'cao
孤云出岫本无依,gu'yun'chu'xiu'ben'wu'yi
孤志无依倚,gu'zhi'wu'yi'yi
骨状非凡格,gu'zhuang'fei'fan'ge
故自渝南掷郡章,gu'zi'yu'nan'zhi'jun'zhang
怪愕不可陈,guai'e'bu'ke'chen
怪君近日文锋利,guai'jun'jin'ri'wen'feng'li
怪石钓出太湖底,guai'shi'diao'chu'tai'hu'di
怪物尽来宾,guai'wu'jin'lai'bin
观八阵图,guan'ba'zhen'tu
官班高后少过从,guan'ban'gao'hou'shao'guo'cong
官曹崇重难频入,guan'cao'chong'zhong'nan'pin'ru
官池水一篙,guan'chi'shui'yi'gao
官从物论轻,guan'cong'wu'lun'qing
官拂象筵终日待,guan'fu'xiang'yan'zhong'ri'dai
冠盖任倾斜,guan'gai'ren'qing'xie
冠盖扬光辉,guan'gai'yang'guang'hui
关关黄金鹗,guan'guan'huang'jin'e
爟火入咸阳,guan'huo'ru'xian'yang
观津戚里族,guan'jin'qi'li'zu
官酒重于饧,guan'jiu'zhong'yu'tang
官军入城人不知,guan'jun'ru'cheng'ren'bu'zhi
官军四合犹婴城,guan'jun'si'he'you'ying'cheng
官冷如浆病满身,guan'leng'ru'jiang'bing'man'shen
关梁自无征,guan'liang'zi'wu'zheng
关路晓无尘,guan'lu'xiao'wu'chen
关路正飞尘,guan'lu'zheng'fei'chen
观貌称林峦,guan'mao'cheng'lin'luan
官名司管籥,guan'ming'si'guan'yue
观棋歌送儇师西游,guan'qi'ge'song'xuan'shi'xi'you
管清疑警鹤,guan'qing'yi'jing'he
观射中戟支,guan'she'zhong'ji'zhi
关树扶疏敲镫吟,guan'shu'fu'shu'qiao'deng'yin
关头古塞桃林静,guan'tou'gu'sai'tao'lin'jing
馆娃宫外姑苏台,guan'wa'gong'wai'gu'su'tai
关外杨公安稳不,guan'wai'yang'gong'an'wen'bu
官闲不计程,guan'xian'bu'ji'cheng
管弦泛春渚,guan'xian'fan'chun'zhu
管弦席上留高韵,guan'xian'xi'shang'liu'gao'yun
管弦喧夜景,guan'xian'xuan'ye'jing
管弦正合看书院,guan'xian'zheng'he'kan'shu'yuan
鹳鶂夜鸣秋色深,guan'yi'ye'ming'qiu'se'shen
官仪自古崇,guan'yi'zi'gu'chong
管籥换离宫,guan'yue'huan'li'gong
观者皆失次,guan'zhe'jie'shi'ci
观者皆耸神,guan'zhe'jie'song'shen
观者如云出凤城,guan'zhe'ru'yun'chu'feng'cheng
观柘枝舞二首,guan'zhe'zhi'wu'er'shou
光华童子佩,guang'hua'tong'zi'pei
光辉满地上,guang'hui'man'di'shang
光景蹉跎属老夫,guang'jing'cuo'tuo'shu'lao'fu
广乐虽交奏,guang'le'sui'jiao'zou
光凝歌黛愁,guang'ning'ge'dai'chou
光县与琴焦,guang'xian'yu'qin'jiao
广筵歌舞散,guang'yan'ge'wu'san
光赞格天功,guang'zan'ge'tian'gong
贵臣持牙璋,gui'chen'chi'ya'zhang
贵臣上战功,gui'chen'shang'zhan'gong
贵池登陆峻,gui'chi'deng'lu'jun
桂丛惭并发,gui'cong'can'bing'fa
归帆翳尽日,gui'fan'yi'jin'ri
桂花成实向秋荣,gui'hua'cheng'shi'xiang'qiu'rong
桂江东过连山下,gui'jiang'dong'guo'lian'shan'xia
归来赐金石,gui'lai'ci'jin'shi
归来共到市桥步,gui'lai'gong'dao'shi'qiao'bu
归来还见曲江春,gui'lai'hai'jian'qu'jiang'chun
归来解簪缨,gui'lai'jie'zan'ying
归来看理曲,gui'lai'kan'li'qu
归来虏尘灭,gui'lai'lu'chen'mie
归来唯见秦淮碧,gui'lai'wei'jian'qin'huai'bi
归来欲效陶,gui'lai'yu'xiao'tao
贵了方知退是荣,gui'le'fang'zhi'tui'shi'rong
桂岭雨馀多鹤迹,gui'ling'yu'yu'duo'he'ji
归路芙蓉府,gui'lu'fu'rong'fu
贵买色深花,gui'mai'se'shen'hua
规摹起心匠,gui'mo'qi'xin'jiang
归目并随回雁尽,gui'mu'bing'sui'hui'yan'jin
跪捧琼盘献天帝,gui'peng'qiong'pan'xian'tian'di
归去每形言,gui'qu'mei'xing'yan
归去亦逍遥,gui'qu'yi'xiao'yao
归去真多兴,gui'qu'zhen'duo'xing
贵人沦落路人哀,gui'ren'lun'luo'lu'ren'ai
贵人牵帝衣,gui'ren'qian'di'yi
贵人三阁上,gui'ren'san'ge'shang
贵人饮金屑,gui'ren'yin'jin'xie
贵人滋齿牙,gui'ren'zi'chi'ya
桂树新枝色更青,gui'shu'xin'zhi'se'geng'qing
桂水步秋浪,gui'shui'bu'qiu'lang
桂水夏澜急,gui'shui'xia'lan'ji
桂水远扬舲,gui'shui'yuan'yang'ling
归涛纳纳景昭昭,gui'tao'na'na'jing'zhao'zhao
归往无旦夕,gui'wang'wu'dan'xi
归心渡江勇,gui'xin'du'jiang'yong
归心看塞鸿,gui'xin'kan'sai'hong
归心切问安,gui'xin'qie'wen'an
龟眼入泥坑,gui'yan'ru'ni'keng
归谒专城居,gui'ye'zhuan'cheng'ju
贵游豪士足华筵,gui'you'hao'shi'zu'hua'yan
贵游簪组香帘栊,gui'you'zan'zu'xiang'lian'long
归愿牧鸡豚,gui'yuan'mu'ji'tun
桂枝攀最久,gui'zhi'pan'zui'jiu
桂枝梧叶共飕飗,gui'zhi'wu'ye'gong'sou'liu
贵重不看花,gui'zhong'bu'kan'hua
归作霓裳羽衣曲,gui'zuo'ni'shang'yu'yi'qu
过岸听钟声,guo'an'ting'zhong'sheng
国辨三苗氏,guo'bian'san'miao'shi
果得捐外虑,guo'de'juan'wai'lv
过后思量尽是空,guo'hou'si'liang'jin'shi'kong
过老不悲伤,guo'lao'bu'bei'shang
郭璞验幽经,guo'pu'yan'you'jing
国人先咏衮衣诗,guo'ren'xian'yong'gun'yi'shi
国乐呼联辔,guo'yue'hu'lian'pei
还悲后会遥,hai'bei'hou'hui'yao
海北江南零落尽,hai'bei'jiang'nan'ling'luo'jin
海潮随月大,hai'chao'sui'yue'da
还从入京华,hai'cong'ru'jing'hua
海风吹折最繁枝,hai'feng'chui'zhe'zui'fan'zhi
还归内殿阅图书,hai'gui'nei'dian'yue'tu'shu
海黑天宇旷,hai'hei'tian'yu'kuang
还将大笔注春秋,hai'jiang'da'bi'zhu'chun'qiu
海江穷一顾,hai'jiang'qiong'yi'gu
海阔石门小,hai'kuo'shi'men'xiao
海浪扶鹏翅,hai'lang'fu'peng'chi
海门潮别浩初师,hai'men'chao'bie'hao'chu'shi
海门双青暮烟歇,hai'men'shuang'qing'mu'yan'xie
海内而今有直声,hai'nei'er'jin'you'zhi'sheng
海内时流尽,hai'nei'shi'liu'jin
海峤新辞永嘉守,hai'qiao'xin'ci'yong'jia'shou
海禽心不怿,hai'qin'xin'bu'yi
海人狂顾迭相招,hai'ren'kuang'gu'die'xiang'zhao
海色不动如青瑶,hai'se'bu'dong'ru'qing'yao
还思谢病吟归去,hai'si'xie'bing'yin'gui'qu
还思写论付官奴,hai'si'xie'lun'fu'guan'nu
还思越水洗尘机,hai'si'yue'shui'xi'chen'ji
海天杀气薄,hai'tian'sha'qi'bao
还闻肤寸阴,hai'wen'fu'cun'yin
海阳湖别浩初师,hai'yang'hu'bie'hao'chu'shi
海阳十咏,hai'yang'shi'yong
还因上客开,hai'yin'shang'ke'kai
还应问为法来邪,hai'ying'wen'wei'fa'lai'xie
海云含雨秋,hai'yun'han'yu'qiu
海云悬飓母,hai'yun'xuan'ju'mu
还知习居士,hai'zhi'xi'ju'shi
还知一勺可延龄,hai'zhi'yi'shao'ke'yan'ling
