阿北乡,a'bei'xiang
曲家沟,qu'jia'gou
区检察院,qu'jian'cha'yuan
区人民医院,qu'ren'min'yi'yuan
全胜村,quan'sheng'cun
泉水村,quan'shui'cun
泉眼沟,quan'yan'gou
泉眼屯,quan'yan'tun
群英村,qun'ying'cun
热电厂,re'dian'chang
仁爱村,ren'ai'cun
仁和村,ren'he'cun
人和屯,ren'he'tun
人友桥,ren'you'qiao
日照山,ri'zhao'shan
荣丰村,rong'feng'cun
荣华村,rong'hua'cun
荣华家园,rong'hua'jia'yuan
荣兴屯,rong'xing'tun
三道沟,san'dao'gou
三道岭子,san'dao'ling'zi
三队,san'dui
三多村,san'duo'cun
三疙瘩,san'ge'da
三锅盔山,san'guo'kui'shan
三号井,san'hao'jing
三号桥,san'hao'qiao
三合村,san'he'cun
三河村,san'he'cun
三建医院,san'jian'yi'yuan
三井,san'jing
三里村,san'li'cun
三林村,san'lin'cun
三排村,san'pai'cun
三人班村,san'ren'ban'cun
三维电器,san'wei'dian'qi
三组,san'zu
沙包子,sha'bao'zi
沙岗村,sha'gang'cun
山北屯,shan'bei'tun
山河村,shan'he'cun
山南,shan'nan
山西屯,shan'xi'tun
商埠,shang'bu
尚德村,shang'de'cun
尚礼村,shang'li'cun
尚志村,shang'zhi'cun
烧炭山,shao'tan'shan
设备厂,she'bei'chang
神顶山,shen'ding'shan
申格体育,shen'ge'ti'yu
沈家沟,shen'jia'gou
胜利村,sheng'li'cun
胜利沟,sheng'li'gou
胜利林场,sheng'li'lin'chang
胜利七组,sheng'li'qi'zu
胜利三组,sheng'li'san'zu
胜利四组,sheng'li'si'zu
胜利五组,sheng'li'wu'zu
胜利一组,sheng'li'yi'zu
盛双盛,sheng'shuang'sheng
十八排,shi'ba'pai
十八中,shi'ba'zhong
石北村,shi'bei'cun
市财政局,shi'cai'zheng'ju
石场村,shi'chang'cun
石场沟,shi'chang'gou
市法院,shi'fa'yuan
师范附小,shi'fan'fu'xiao
市公安局,shi'gong'an'ju
市供电局,shi'gong'dian'ju
市工商局,shi'gong'shang'ju
市国土局,shi'guo'tu'ju
石河北村,shi'he'bei'cun
石灰厂,shi'hui'chang
世纪花园,shi'ji'hua'yuan
十九中,shi'jiu'zhong
市口腔医院,shi'kou'qiang'yi'yuan
市良种场,shi'liang'zhong'chang
石门,shi'men
石墨制品厂,shi'mo'zhi'pin'chang
食品厂,shi'pin'chang
石青山,shi'qing'shan
市人民医院,shi'ren'min'yi'yuan
十三中,shi'san'zhong
市审计局,shi'shen'ji'ju
市体育场,shi'ti'yu'chang
石头河水库,shi'tou'he'shui'ku
市卫生局,shi'wei'sheng'ju
市文化馆,shi'wen'hua'guan
市物价局,shi'wu'jia'ju
实验高级中学,shi'yan'gao'ji'zhong'xue
市盐务局,shi'yan'wu'ju
实验小学,shi'yan'xiao'xue
市液化气公司,shi'ye'hua'qi'gong'si
十一井,shi'yi'jing
市医院,shi'yi'yuan
市一中,shi'yi'zhong
市政府,shi'zheng'fu
市质监局,shi'zhi'jian'ju
市种子公司,shi'zhong'zi'gong'si
石嘴子村,shi'zui'zi'cun
守山,shou'shan
兽医院,shou'yi'yuan
蔬菜大市场,shu'cai'da'shi'chang
蔬菜公司,shu'cai'gong'si
蔬菜交易市场,shu'cai'jiao'yi'shi'chang
曙光村,shu'guang'cun
曙光林场,shu'guang'lin'chang
曙光站,shu'guang'zhan
双顶山,shuang'ding'shan
双合村,shuang'he'cun
双河村,shuang'he'cun
双合屯,shuang'he'tun
双岭村,shuang'ling'cun
双龙海鲜,shuang'long'hai'xian
双山村,shuang'shan'cun
双胜村,shuang'sheng'cun
双阳村,shuang'yang'cun
双叶山,shuang'ye'shan
双圆驾校,shuang'yuan'jia'xiao
双跃村,shuang'yue'cun
双子山,shuang'zi'shan
水产公司,shui'chan'gong'si
水电厂,shui'dian'chang
水晶宫,shui'jing'gong
水库村,shui'ku'cun
水利公司,shui'li'gong'si
水泥厂,shui'ni'chang
水上公园,shui'shang'gong'yuan
水源地,shui'yuan'di
四道沟,si'dao'gou
司法局,si'fa'ju
四疙瘩,si'ge'da
四个山头,si'ge'shan'tou
四海村,si'hai'cun
四号井,si'hao'jing
四合村,si'he'cun
四街小区,si'jie'xiao'qu
四井,si'jing
四排村,si'pai'cun
四平山,si'ping'shan
松阿察河,song'a'cha'he
松林村,song'lin'cun
松树屯,song'shu'tun
塔头,ta'tou
塔头村,ta'tou'cun
太和村,tai'he'cun
太和桥,tai'he'qiao
太和乡,tai'he'xiang
太恒山,tai'heng'shan
太湖锅炉,tai'hu'guo'lu
台阶,tai'jie
太平村,tai'ping'cun
太平二队,tai'ping'er'dui
太平沟,tai'ping'gou
太平沟村,tai'ping'gou'cun
太平岭,tai'ping'ling
太平三队,tai'ping'san'dui
太平山,tai'ping'shan
太平收费站,tai'ping'shou'fei'zhan
太平水库,tai'ping'shui'ku
太平屯,tai'ping'tun
太平乡,tai'ping'xiang
太平乡卫生院,tai'ping'xiang'wei'sheng'yuan
太平乡中学,tai'ping'xiang'zhong'xue
太平站,tai'ping'zhan
太山村,tai'shan'cun
太兴村,tai'xing'cun
太阳村,tai'yang'cun
太阳岗,tai'yang'gang
太阳沟,tai'yang'gou
太阳升村,tai'yang'sheng'cun
太阳升小学,tai'yang'sheng'xiao'xue
碳化硅厂,tan'hua'gui'chang
桃花村,tao'hua'cun
特步,te'bu
腾飞桥,teng'fei'qiao
天恩堂,tian'en'tang
天狗山,tian'gou'shan
铁路道口,tie'lu'dao'kou
铁路医院,tie'lu'yi'yuan
铁西村,tie'xi'cun
铁西派出所,tie'xi'pai'chu'suo
铁中,tie'zhong
停车场,ting'che'chang
同富村,tong'fu'cun
同和村,tong'he'cun
同化村,tong'hua'cun
同康药店,tong'kang'yao'dian
同乐村,tong'le'cun
同南村,tong'nan'cun
同心村,tong'xin'cun
头道沟,tou'dao'gou
土顶村,tu'ding'cun
土顶子,tu'ding'zi
土山头,tu'shan'tou
团结村,tuan'jie'cun
团结屯,tuan'jie'tun
团山,tuan'shan
团山村,tuan'shan'cun
团山水库,tuan'shan'shui'ku
团山子水库,tuan'shan'zi'shui'ku
外埠商场,wai'bu'shang'chang
完达山,wan'da'shan
完达山股份,wan'da'shan'gu'fen
万福来超市,wan'fu'lai'chao'shi
弯沟,wan'gou
湾沟,wan'gou
万新眼镜,wan'xin'yan'jing
王八脖子,wang'ba'bo'zi
王家村,wang'jia'cun
王家店屯,wang'jia'dian'tun
王三沟,wang'san'gou
卫东村,wei'dong'cun
伟光乡,wei'guang'xiang
卫国村,wei'guo'cun
卫疆村,wei'jiang'cun
卫生进修学校,wei'sheng'jin'xiu'xue'xiao
卫生院家属区,wei'sheng'yuan'jia'shu'qu
苇塘沟,wei'tang'gou
卫校门诊,wei'xiao'men'zhen
卫校体育场,wei'xiao'ti'yu'chang
卫星学校,wei'xing'xue'xiao
文成高中,wen'cheng'gao'zhong
文化娱乐中心,wen'hua'yu'le'zhong'xin
文举女子双语学校,wen'ju'nv'zi'shuang'yu'xue'xiao
五道岗子,wu'dao'gang'zi
五道沟,wu'dao'gou
物价局,wu'jia'ju
五家屯,wu'jia'tun
五间房屯,wu'jian'fang'tun
五井,wu'jing
武警道口,wu'jing'dao'kou
五龙村,wu'long'cun
五龙站,wu'long'zhan
五排村,wu'pai'cun
五十三公里,wu'shi'san'gong'li
乌苏里江,wu'su'li'jiang
五星村,wu'xing'cun
五座,wu'zuo
西北村,xi'bei'cun
西北沟,xi'bei'gou
西村,xi'cun
西大坡村,xi'da'po'cun
西大山,xi'da'shan
西丰村,xi'feng'cun
西岗村,xi'gang'cun
西岗派出所,xi'gang'pai'chu'suo
西沟,xi'gou
西沟屯,xi'gou'tun
西郊变,xi'jiao'bian
西郊蔬菜基地,xi'jiao'shu'cai'ji'di
西郊乡,xi'jiao'xiang
西郊中心校,xi'jiao'zhong'xin'xiao
西岭村,xi'ling'cun
西南岔,xi'nan'cha
西南岔林场,xi'nan'cha'lin'chang
西南屯,xi'nan'tun
西山,xi'shan
西山办事处,xi'shan'ban'shi'chu
西山村,xi'shan'cun
西山口,xi'shan'kou
西山头,xi'shan'tou
西山屯,xi'shan'tun
西太村,xi'tai'cun
西提岛咖啡,xi'ti'dao'ka'fei
西屯,xi'tun
希贤,xi'xian
希贤村,xi'xian'cun
西朝阳,xi'zhao'yang
西庄村,xi'zhuang'cun
下亮子乡,xia'liang'zi'xiang
下屯,xia'tun
县第二中学,xian'di'er'zhong'xue
县第三中学,xian'di'san'zhong'xue
县地震局,xian'di'zhen'ju
先锋村,xian'feng'cun
先锋桥,xian'feng'qiao
先锋水库,xian'feng'shui'ku
先锋站,xian'feng'zhan
县工商局,xian'gong'shang'ju
鲜花村,xian'hua'cun
县交通局,xian'jiao'tong'ju
县精神病院,xian'jing'shen'bing'yuan
县农机局,xian'nong'ji'ju
县农科所,xian'nong'ke'suo
县人民医院,xian'ren'min'yi'yuan
县质监局,xian'zhi'jian'ju
县种畜场,xian'zhong'chu'chang
县砖厂,xian'zhuan'chang
乡村农家院,xiang'cun'nong'jia'yuan
向东,xiang'dong
向化村,xiang'hua'cun
相家沟,xiang'jia'gou
乡敬老院,xiang'jing'lao'yuan
乡林业站,xiang'lin'ye'zhan
向前村,xiang'qian'cun
象山,xiang'shan
向阳村,xiang'yang'cun
向阳林场,xiang'yang'lin'chang
向阳镇,xiang'yang'zhen
乡政府,xiang'zheng'fu
小八站,xiao'ba'zhan
小半道,xiao'ban'dao
小城子,xiao'cheng'zi
小城子屯,xiao'cheng'zi'tun
小东沟,xiao'dong'gou
小肥羊,xiao'fei'yang
小孤山,xiao'gu'shan
小黑河村,xiao'hei'he'cun
小荒山,xiao'huang'shan
肖家屯,xiao'jia'tun
小立山,xiao'li'shan
小炉台,xiao'lu'tai
小马鞍山,xiao'ma'an'shan
小南山,xiao'nan'shan
小南屯,xiao'nan'tun
小牛面馆,xiao'niu'mian'guan
小青山,xiao'qing'shan
小石桥,xiao'shi'qiao
小石山,xiao'shi'shan
小湾沟,xiao'wan'gou
小苇子沟,xiao'wei'zi'gou
小西南岔,xiao'xi'nan'cha
小西山,xiao'xi'shan
小新城,xiao'xin'cheng
小兴凯湖,xiao'xing'kai'hu
小兴隆,xiao'xing'long
小星山,xiao'xing'shan
小云山,xiao'yun'shan
谢家沟,xie'jia'gou
新安村,xin'an'cun
新城村,xin'cheng'cun
新程村,xin'cheng'cun
新村,xin'cun
新村屯,xin'cun'tun
新村乡,xin'cun'xiang
新德村,xin'de'cun
新发村,xin'fa'cun
新发煤矿,xin'fa'mei'kuang
新发屯,xin'fa'tun
新发小学,xin'fa'xiao'xue
新丰村,xin'feng'cun
新风村,xin'feng'cun
新丰水库,xin'feng'shui'ku
新丰屯,xin'feng'tun
新风小区,xin'feng'xiao'qu
新富村,xin'fu'cun
新福村,xin'fu'cun
新岗村,xin'gang'cun
新光村,xin'guang'cun
新和村,xin'he'cun
新华,xin'hua
新华村,xin'hua'cun
新华道口,xin'hua'dao'kou
新华三组,xin'hua'san'zu
新华市场,xin'hua'shi'chang
新华书店,xin'hua'shu'dian
新华乡,xin'hua'xiang
新华小区,xin'hua'xiao'qu
新家屯,xin'jia'tun
辛家屯,xin'jia'tun
新家站,xin'jia'zhan
新建村,xin'jian'cun
新建工区,xin'jian'gong'qu
新建四组,xin'jian'si'zu
新建屯,xin'jian'tun
新开口,xin'kai'kou
新开流,xin'kai'liu
新乐村,xin'le'cun
新乐乡,xin'le'xiang
新利村,xin'li'cun
新立村,xin'li'cun
新立屯,xin'li'tun
新林,xin'lin
新林村,xin'lin'cun
新路村,xin'lu'cun
新玛特购物广场,xin'ma'te'gou'wu'guang'chang
新民村,xin'min'cun
新民二组,xin'min'er'zu
新民三队,xin'min'san'dui
新民四队,xin'min'si'dui
新民一组,xin'min'yi'zu
新明村,xin'ming'cun
新南站,xin'nan'zhan
新农村,xin'nong'cun
新平村,xin'ping'cun
新庆村,xin'qing'cun
新泉村,xin'quan'cun
新山村,xin'shan'cun
新生村,xin'sheng'cun
新胜村,xin'sheng'cun
新生屯,xin'sheng'tun
新生一组,xin'sheng'yi'zu
新世纪小学,xin'shi'ji'xiao'xue
新田村,xin'tian'cun
新天地,xin'tian'di
新伟村,xin'wei'cun
新鲜村,xin'xian'cun
新兴,xin'xing
新兴村,xin'xing'cun
新兴二组,xin'xing'er'zu
新兴一组,xin'xing'yi'zu
新阳村,xin'yang'cun
新义村,xin'yi'cun
新医圣制药,xin'yi'sheng'zhi'yao
信誉药店,xin'yu'yao'dian
新跃村,xin'yue'cun
新政村,xin'zheng'cun
新政桥,xin'zheng'qiao
新治村,xin'zhi'cun
新中村,xin'zhong'cun
新忠村,xin'zhong'cun
兴安村,xing'an'cun
兴城加油站,xing'cheng'jia'you'zhan
兴东村,xing'dong'cun
兴发,xing'fa
兴富村,xing'fu'cun
幸福村,xing'fu'cun
幸福公寓,xing'fu'gong'yu
幸福屯,xing'fu'tun
幸福小区,xing'fu'xiao'qu
兴光村,xing'guang'cun
兴国村,xing'guo'cun
兴国屯,xing'guo'tun
兴国小学,xing'guo'xiao'xue
兴华村,xing'hua'cun
杏花村,xing'hua'cun
星火村,xing'huo'cun
兴凯村,xing'kai'cun
兴凯湖,xing'kai'hu
兴凯湖农场,xing'kai'hu'nong'chang
兴凯湖乡,xing'kai'hu'xiang
兴凯镇,xing'kai'zhen
兴利村,xing'li'cun
兴林村,xing'lin'cun
兴隆村,xing'long'cun
兴隆岗村,xing'long'gang'cun
兴隆水库,xing'long'shui'ku
兴隆四组,xing'long'si'zu
兴民村,xing'min'cun
兴农村,xing'nong'cun
兴农镇,xing'nong'zhen
兴农中学,xing'nong'zhong'xue
杏山,xing'shan
杏山村,xing'shan'cun
兴盛村,xing'sheng'cun
兴胜村,xing'sheng'cun
兴盛屯,xing'sheng'tun
兴旺村,xing'wang'cun
兴旺屯,xing'wang'tun
兴阳村,xing'yang'cun
畜牧场,xu'mu'chang
宣家沟,xuan'jia'gou
选煤厂,xuan'mei'chang
学府高级中学,xue'fu'gao'ji'zhong'xue
薛家村,xue'jia'cun
亚泰洗浴中心,ya'tai'xi'yu'zhong'xin
艳东村,yan'dong'cun
燕都饭店,yan'du'fan'dian
沿河村,yan'he'cun
杨岗村,yang'gang'cun
杨岗镇,yang'gang'zhen
杨岗中学,yang'gang'zhong'xue
阳光家园,yang'guang'jia'yuan
阳光小区,yang'guang'xiao'qu
杨家堡,yang'jia'bao
杨木林子,yang'mu'lin'zi
杨木乡,yang'mu'xiang
杨树河村,yang'shu'he'cun
杨树河子,yang'shu'he'zi
杨树屯,yang'shu'tun
义安村,yi'an'cun
一百,yi'bai
一百超市,yi'bai'chao'shi
逸夫小学,yi'fu'xiao'xue
逸夫中学,yi'fu'zhong'xue
一疙瘩,yi'ge'da
义和村,yi'he'cun
义和乡,yi'he'xiang
一井,yi'jing
一棵树,yi'ke'shu
一山,yi'shan
怡园家居,yi'yuan'jia'ju
一中,yi'zhong
椅子山,yi'zi'shan
一佐,yi'zuo
银东村,yin'dong'cun
银河村,yin'he'cun
印刷二厂,yin'shua'er'chang
印刷一厂,yin'shua'yi'chang
音像书店,yin'xiang'shu'dian
迎春村,ying'chun'cun
迎春机械厂,ying'chun'ji'xie'chang
迎春林业局,ying'chun'lin'ye'ju
迎春站,ying'chun'zhan
迎春镇,ying'chun'zhen
迎恩村,ying'en'cun
迎门山,ying'men'shan
英桥高中,ying'qiao'gao'zhong
英雄村,ying'xiong'cun
营子沟,ying'zi'gou
永安村,yong'an'cun
永安收费站,yong'an'shou'fei'zhan
永安屯,yong'an'tun
永安镇,yong'an'zhen
永安中学,yong'an'zhong'xue
永昌村,yong'chang'cun
永长村,yong'chang'cun
永昌屯,yong'chang'tun
永东村,yong'dong'cun
永发村,yong'fa'cun
永丰村,yong'feng'cun
永富村,yong'fu'cun
永富屯,yong'fu'tun
永光村,yong'guang'cun
永和村,yong'he'cun
永和镇,yong'he'zhen
永红村,yong'hong'cun
永红乡,yong'hong'xiang
永吉屯,yong'ji'tun
勇建村,yong'jian'cun
勇进村,yong'jin'cun
永久村,yong'jiu'cun
永乐村,yong'le'cun
永乐屯,yong'le'tun
永立村,yong'li'cun
永良村,yong'liang'cun
永隆村,yong'long'cun
永宁村,yong'ning'cun
永平村,yong'ping'cun
永强村,yong'qiang'cun
永庆村,yong'qing'cun
永青村,yong'qing'cun
永泉村,yong'quan'cun
永生村,yong'sheng'cun
永胜村,yong'sheng'cun
永胜屯,yong'sheng'tun
永胜小学,yong'sheng'xiao'xue
永台村,yong'tai'cun
永西村,yong'xi'cun
永祥村,yong'xiang'cun
永新村,yong'xin'cun
永兴村,yong'xing'cun
永兴屯,yong'xing'tun
永远村,yong'yuan'cun
永政村,yong'zheng'cun
永志村,yong'zhi'cun
邮电住宅小区,you'dian'zhu'zhai'xiao'qu
幼儿园,you'er'yuan
友好村,you'hao'cun
幼教中心,you'jiao'zhong'xin
友谊酒店,you'yi'jiu'dian
育才中学,yu'cai'zhong'xue
育成小学,yu'cheng'xiao'xue
裕丰村,yu'feng'cun
裕国村,yu'guo'cun
育红,yu'hong
于家沟,yu'jia'gou
于家屯,yu'jia'tun
娱乐中心,yu'le'zhong'xin
鱼亮子,yu'liang'zi
于林村,yu'lin'cun
裕民村,yu'min'cun
育青村,yu'qing'cun
余山高中,yu'shan'gao'zhong
榆树村,yu'shu'cun
育英高中,yu'ying'gao'zhong
预制板厂,yu'zhi'ban'chang
鱼种场,yu'zhong'chang
园宝山,yuan'bao'shan
园丁小区,yuan'ding'xiao'qu
园林路东,yuan'lin'lu'dong
园林路西,yuan'lin'lu'xi
园林小区,yuan'lin'xiao'qu
元太祖,yuan'tai'zu
园艺场,yuan'yi'chang
跃进村,yue'jin'cun
跃进区,yue'jin'qu
跃进山,yue'jin'shan
跃进小学,yue'jin'xiao'xue
月牙泡,yue'ya'pao
云山,yun'shan
云山农场,yun'shan'nong'chang
云山水库,yun'shan'shui'ku
运输公司,yun'shu'gong'si
造纸厂,zao'zhi'chang
曾家沟,zeng'jia'gou
战家屯,zhan'jia'tun
张发岭,zhang'fa'ling
张家村,zhang'jia'cun
张家沟,zhang'jia'gou
张家站,zhang'jia'zhan
朝阳村,zhao'yang'cun
朝阳二组,zhao'yang'er'zu
朝阳桥,zhao'yang'qiao
朝阳三队,zhao'yang'san'dui
朝阳收费站,zhao'yang'shou'fei'zhan
朝阳一组,zhao'yang'yi'zu
珍宝岛,zhen'bao'dao
镇西村,zhen'xi'cun
振兴村,zhen'xing'cun
镇兴村,zhen'xing'cun
振兴屯,zhen'xing'tun
正大医院,zheng'da'yi'yuan
政府招待所,zheng'fu'zhao'dai'suo
郑家屯,zheng'jia'tun
正阳村,zheng'yang'cun
正阳街道办,zheng'yang'jie'dao'ban
正义村,zheng'yi'cun
致富屯,zhi'fu'tun
知一镇,zhi'yi'zhen
中北村,zhong'bei'cun
忠诚村,zhong'cheng'cun
忠诚乡,zhong'cheng'xiang
种畜场,zhong'chu'chang
中村,zhong'cun
中凤,zhong'feng
中南村,zhong'nan'cun
中暖,zhong'nuan
中平村,zhong'ping'cun
中庆村,zhong'qing'cun
中胜村,zhong'sheng'cun
忠信村,zhong'xin'cun
中心屯,zhong'xin'tun
中心校,zhong'xin'xiao
中心小学,zhong'xin'xiao'xue
中兴村,zhong'xing'cun
仲兴村,zhong'xing'cun
中兴家园,zhong'xing'jia'yuan
中兴屯,zhong'xing'tun
忠义村,zhong'yi'cun
中医院,zhong'yi'yuan
中原村,zhong'yuan'cun
周西,zhou'xi
朱德山,zhu'de'shan
朱家屯,zhu'jia'tun
珠山村,zhu'shan'cun
砖厂,zhuan'chang
庄内村,zhuang'nei'cun
壮志村,zhuang'zhi'cun
综合村,zong'he'cun
综合乡,zong'he'xiang
佐家,zuo'jia
左家村,zuo'jia'cun
柞木林场,zuo'mu'lin'chang
