阿拉伯胶,a'la'bo'jiao
溶解浆碱浸试验,rong'jie'jiang'jian'jin'shi'yan
容许电流,rong'xu'dian'liu
容许负荷,rong'xu'fu'he
容许误差,rong'xu'wu'cha
乳酸,ru'suan
锐钛矿,rui'tai'kuang
杀菌纸,sha'jun'zhi
砂纸,sha'zhi
砂纸涂布机,sha'zhi'tu'bu'ji
砂纸原纸,sha'zhi'yuan'zhi
砂纸原纸用纤维,sha'zhi'yuan'zhi'yong'xian'wei
删节的缩写,shan'jie'de'suo'xie
上涂装置施胶装置,shang'tu'zhuang'zhi'shi'jiao'zhuang'zhi
上行色谱分离法,shang'xing'se'pu'fen'li'fa
烧结剂凝集剂,shao'jie'ji'ning'ji'ji
射线仪,she'xian'yi
生物碱,sheng'wu'jian
声学性质,sheng'xue'xing'zhi
实际重量有效重量,shi'ji'zhong'liang'you'xiao'zhong'liang
石棉,shi'mian
石棉板,shi'mian'ban
石棉壁板纸,shi'mian'bi'ban'zhi
石棉壁纸,shi'mian'bi'zhi
石棉垫,shi'mian'dian
石棉电绝缘纸,shi'mian'dian'jue'yuan'zhi
石棉垫圈,shi'mian'dian'quan
石棉隔膜纸,shi'mian'ge'mo'zhi
石棉辊,shi'mian'gun
石棉毛毯,shi'mian'mao'tan
石棉绳,shi'mian'sheng
石棉纤维,shi'mian'xian'wei
石棉洋灰板,shi'mian'yang'hui'ban
石棉纸,shi'mian'zhi
石棉纸板,shi'mian'zhi'ban
食品包装纸,shi'pin'bao'zhuang'zhi
实验室用盘磨机英国制,shi'yan'shi'yong'pan'mo'ji'ying'guo'zhi
湿纸胎粘附现象,shi'zhi'tai'nian'fu'xian'xiang
手风琴式折纸法,shou'feng'qin'shi'zhe'zhi'fa
手风琴纸板,shou'feng'qin'zhi'ban
树脂酸铝,shu'zhi'suan'lv
刷式拱形涂布机,shua'shi'gong'xing'tu'bu'ji
衰减作用,shuai'jian'zuo'yong
双面复写纸,shuang'mian'fu'xie'zhi
水彩画纸,shui'cai'hua'zhi
水彩例纸,shui'cai'li'zhi
水彩图画纸,shui'cai'tu'hua'zhi
水彩图画纸水彩画纸,shui'cai'tu'hua'zhi'shui'cai'hua'zhi
水力碎浆机,shui'li'sui'jiang'ji
水木素,shui'mu'su
水溶液,shui'rong'ye
水乳液,shui'ru'ye
水印辊构成的气泡纸病,shui'yin'gun'gou'cheng'de'qi'pao'zhi'bing
顺序划线对准调直,shun'xu'hua'xian'dui'zhun'tiao'zhi
松香醇,song'xiang'chun
松香酸,song'xiang'suan
松香酸酯,song'xiang'suan'zhi
松香烯,song'xiang'xi
速凝水泥,su'ning'shui'ni
酸泵,suan'beng
酸不溶木素,suan'bu'rong'mu'su
酸槽,suan'cao
酸抽提,suan'chou'ti
酸处理,suan'chu'li
酸处理塔,suan'chu'li'ta
酸的酸性的,suan'de'suan'xing'de
酸度,suan'du
酸度计计酸液比重计,suan'du'ji'ji'suan'ye'bi'zhong'ji
酸度控制,suan'du'kong'zhi
算法,suan'fa
酸法半化学浆,suan'fa'ban'hua'xue'jiang
酸法蒸煮,suan'fa'zheng'zhu
酸法制浆,suan'fa'zhi'jiang
酸酐,suan'gan
酸根或基,suan'gen'huo'ji
酸化,suan'hua
酸化器酸化剂,suan'hua'qi'suan'hua'ji
酸化水,suan'hua'shui
酸化作用,suan'hua'zuo'yong
酸解,suan'jie
酸木素,suan'mu'su
酸溶脱酸槽,suan'rong'tuo'suan'cao
酸溶性,suan'rong'xing
酸溶性木素,suan'rong'xing'mu'su
酸式盐,suan'shi'yan
算术平均,suan'shu'ping'jun
算术平均平均温度,suan'shu'ping'jun'ping'jun'wen'du
算数与逻辑装置,suan'shu'yu'luo'ji'zhuang'zhi
酸水,suan'shui
酸稳性施胶剂,suan'wen'xing'shi'jiao'ji
酸洗,suan'xi
酸性还原,suan'xing'huan'yuan
酸性卤化物,suan'xing'lu'hua'wu
酸性氯化物,suan'xing'lv'hua'wu
酸性明矾,suan'xing'ming'fan
酸性漂白,suan'xing'piao'bai
酸性染料,suan'xing'ran'liao
酸性施胶剂,suan'xing'shi'jiao'ji
酸性松香胶,suan'xing'song'xiang'jiao
酸性亚硫酸盐,suan'xing'ya'liu'suan'yan
酸性亚硫酸盐半化学浆,suan'xing'ya'liu'suan'yan'ban'hua'xue'jiang
酸性亚硫酸盐法制浆,suan'xing'ya'liu'suan'yan'fa'zhi'jiang
酸性亚硫酸盐纸浆,suan'xing'ya'liu'suan'yan'zhi'jiang
酸液,suan'ye
酸液澄清槽,suan'ye'cheng'qing'cao
酸液管道,suan'ye'guan'dao
酸液回收车间,suan'ye'hui'shou'che'jian
酸液回收锅或槽,suan'ye'hui'shou'guo'huo'cao
酸液浓度,suan'ye'nong'du
酸液强化系统,suan'ye'qiang'hua'xi'tong
酸液渗透酸液浸透,suan'ye'shen'tou'suan'ye'jin'tou
酸液循环,suan'ye'xun'huan
酸液预热器,suan'ye'yu're'qi
酸液组成,suan'ye'zu'cheng
酸值,suan'zhi
缩写略语的缩写,suo'xie'lue'yu'de'suo'xie
碳素纸,tan'su'zhi
糖醛酸醛糖首酸,tang'quan'suan'quan'tang'shou'suan
誊写版蜡纸,teng'xie'ban'la'zhi
添加剂,tian'jia'ji
调节控制器,tiao'jie'kong'zhi'qi
调节螺旋,tiao'jie'luo'xuan
调节调整修正,tiao'jie'tiao'zheng'xiu'zheng
调节装置,tiao'jie'zhuang'zhi
调色,tiao'se
调速电动机,tiao'su'dian'dong'ji
铜氨溶液,tong'an'rong'ye
铜版纸板,tong'ban'zhi'ban
通风道,tong'feng'dao
通风室,tong'feng'shi
同化作用,tong'hua'zuo'yong
通用电子计算机,tong'yong'dian'zi'ji'suan'ji
透气度测定仪,tou'qi'du'ce'ding'yi
透气性透气度,tou'qi'xing'tou'qi'du
涂布防潮纸沥青涂布纸,tu'bu'fang'chao'zhi'li'qing'tu'bu'zhi
涂料板纸,tu'liao'ban'zhi
涂料辊施胶辊,tu'liao'gun'shi'jiao'gun
退火温度,tui'huo'wen'du
脱氯剂,tuo'lv'ji
外观,wai'guan
晚材秋材,wan'cai'qiu'cai
烷基,wan'ji
烷基芳基磺酸盐,wan'ji'fang'ji'huang'suan'yan
烷基化,wan'ji'hua
烷基硫醇,wan'ji'liu'chun
烷基硫醇烷基硫氢,wan'ji'liu'chun'wan'ji'liu'qing
烷基烯酮,wan'ji'xi'tong
烷基烯酮二聚体,wan'ji'xi'tong'er'ju'ti
稳定曝气池的缩写,wen'ding'bao'qi'chi'de'suo'xie
温度自动控制器,wen'du'zi'dong'kong'zhi'qi
文丘里型洗涤塔,wen'qiu'li'xing'xi'di'ta
文摘通报,wen'zhai'tong'bao
卧式连续蒸煮器,wo'shi'lian'xu'zheng'zhu'qi
屋顶石棉毡,wu'ding'shi'mian'zhan
无定形的,wu'ding'xing'de
无定形区非结品区,wu'ding'xing'qu'fei'jie'pin'qu
无定形松香,wu'ding'xing'song'xiang
无定形纤维素非结品纤维素,wu'ding'xing'xian'wei'su'fei'jie'pin'xian'wei'su
雾化,wu'hua
无灰的,wu'hui'de
无灰滤纸,wu'hui'lv'zhi
无灰纸,wu'hui'zhi
无碱的不含碱的,wu'jian'de'bu'han'jian'de
污水处理法污水三级处理,wu'shui'chu'li'fa'wu'shui'san'ji'chu'li
无水的,wu'shui'de
无水多缩木糖,wu'shui'duo'suo'mu'tang
无水硅酸铝矿石,wu'shui'gui'suan'lv'kuang'shi
无水酒精,wu'shui'jiu'jing
无水酒精的缩写,wu'shui'jiu'jing'de'suo'xie
无酸的脱酸的不含酸的,wu'suan'de'tuo'suan'de'bu'han'suan'de
无酸纸,wu'suan'zhi
西班牙草浆书写纸,xi'ban'ya'cao'jiang'shu'xie'zhi
西班牙草浆印刷纸,xi'ban'ya'cao'jiang'yin'shua'zhi
西班牙草浆制成的纸张,xi'ban'ya'cao'jiang'zhi'cheng'de'zhi'zhang
吸附,xi'fu
吸附剂吸附的,xi'fu'ji'xi'fu'de
吸附能力,xi'fu'neng'li
吸附水,xi'fu'shui
吸附性能,xi'fu'xing'neng
吸附作用,xi'fu'zuo'yong
稀释剂衰减器,xi'shi'ji'shuai'jian'qi
吸湿纸,xi'shi'zhi
吸收,xi'shou
吸收测定,xi'shou'ce'ding
吸收光带,xi'shou'guang'dai
吸收光谱,xi'shou'guang'pu
吸收剂,xi'shou'ji
吸收率,xi'shou'lv
吸收能力,xi'shou'neng'li
吸收能力吸收本领,xi'shou'neng'li'xi'shou'ben'ling
吸收能力吸收率,xi'shou'neng'li'xi'shou'lv
吸收器吸收剂减震器,xi'shou'qi'xi'shou'ji'jian'zhen'qi
吸收试验仪,xi'shou'shi'yan'yi
吸收水,xi'shou'shui
吸收塔,xi'shou'ta
吸收系数,xi'shou'xi'shu
吸收性的吸收剂,xi'shou'xing'de'xi'shou'ji
吸收性能,xi'shou'xing'neng
吸收性能吸收能力,xi'shou'xing'neng'xi'shou'neng'li
吸收纸板,xi'shou'zhi'ban
吸收作用,xi'shou'zuo'yong
吸水薄纸,xi'shui'bo'zhi
吸水毛毯,xi'shui'mao'tan
吸水纸,xi'shui'zhi
吸水纸吸收性纸,xi'shui'zhi'xi'shou'xing'zhi
吸水纸吸收纸,xi'shui'zhi'xi'shou'zhi
吸水纸易吸墨的印刷纸,xi'shui'zhi'yi'xi'mo'de'yin'shua'zhi
下唇板裙板,xia'chun'ban'qun'ban
酰胺,xian'an
酰化酰化产物,xian'hua'xian'hua'chan'wu
酰化作用,xian'hua'zuo'yong
纤维平均长度,xian'wei'ping'jun'chang'du
纤维素,xian'wei'su
纤维素纸浆,xian'wei'su'zhi'jiang
香柏美国侧柏金钟柏,xiang'bai'mei'guo'ce'bai'jin'zhong'bai
相册纸板,xiang'ce'zhi'ban
香料纸,xiang'liao'zhi
相纸,xiang'zhi
消除辐射的角相关性的缩写,xiao'chu'fu'she'de'jiao'xiang'guan'xing'de'suo'xie
消毒纸防腐纸,xiao'du'zhi'fang'fu'zhi
消沫油,xiao'mo'you
消泡,xiao'pao
消泡剂,xiao'pao'ji
消泡油,xiao'pao'you
消色的消色差的,xiao'se'de'xiao'se'cha'de
斜角纸,xie'jiao'zhi
斜截面纸,xie'jie'mian'zhi
斜面纸,xie'mian'zhi
斜切机,xie'qie'ji
卸纸垛装置的气刀,xie'zhi'duo'zhuang'zhi'de'qi'dao
型圆筛,xing'yuan'shai
溴化银印相纸,xiu'hua'yin'yin'xiang'zhi
需氧的,xu'yang'de
需氧废水处理法,xu'yang'fei'shui'chu'li'fa
学院的缩写,xue'yuan'de'suo'xie
压感复写纸,ya'gan'fu'xie'zhi
牙科用纸,ya'ke'yong'zhi
压力自动控制器,ya'li'zi'dong'kong'zhi'qi
亚硫酸铵,ya'liu'suan'an
亚硫酸铵法制浆,ya'liu'suan'an'fa'zhi'jiang
亚硫酸钠法制浆,ya'liu'suan'na'fa'zhi'jiang
亚硫酸氢铵法制浆,ya'liu'suan'qing'an'fa'zhi'jiang
亚硫酸盐制浆回收酸,ya'liu'suan'yan'zhi'jiang'hui'shou'suan
压缩空气机空压机,ya'suo'kong'qi'ji'kong'ya'ji
压纸辊,ya'zhi'gun
研磨机,yan'mo'ji
验收与移交的缩写,yan'shou'yu'yi'jiao'de'suo'xie
厌氧处理,yan'yang'chu'li
厌氧的,yan'yang'de
厌氧废水处理法,yan'yang'fei'shui'chu'li'fa
氧化铝,yang'hua'lv
阳极,yang'ji
阳极保护,yang'ji'bao'hu
阳极射线,yang'ji'she'xian
氧碱法制浆,yang'jian'fa'zhi'jiang
羊皮纸,yang'pi'zhi
羊皮纸机用压酸辊,yang'pi'zhi'ji'yong'ya'suan'gun
杨属,yang'shu
液相,ye'xiang
异步电机,yi'bu'dian'ji
乙醇抽提物,yi'chun'chou'ti'wu
乙醇发酵,yi'chun'fa'jiao
乙醇酒精,yi'chun'jiu'jing
乙醇木素,yi'chun'mu'su
乙腈,yi'jing
依卡化学品公司的司标,yi'ka'hua'xue'pin'gong'si'de'si'biao
一年生,yi'nian'sheng
一年生植物,yi'nian'sheng'zhi'wu
仪器装置,yi'qi'zhuang'zhi
乙醛,yi'quan
乙缩醛乙醛缩二乙醇,yi'suo'quan'yi'quan'suo'er'yi'chun
乙酰化乙酰化产物,yi'xian'hua'yi'xian'hua'chan'wu
乙酰化作用,yi'xian'hua'zuo'yong
乙酰基,yi'xian'ji
乙酰基香草酰,yi'xian'ji'xiang'cao'xian
乙酰藜芦酮,yi'xian'li'lu'tong
银白杨,yin'bai'yang
阴离了交换树脂,yin'li'le'jiao'huan'shu'zhi
阴离子,yin'li'zi
阴离子的,yin'li'zi'de
阴离子淀粉,yin'li'zi'dian'fen
阴离子化合物,yin'li'zi'hua'he'wu
阴离子交换,yin'li'zi'jiao'huan
阴离子交换剂,yin'li'zi'jiao'huan'ji
阴离子型聚丙烯酰胺的缩写,yin'li'zi'xing'ju'bing'xi'xian'an'de'suo'xie
英国化学制造商协会的缩写,ying'guo'hua'xue'zhi'zao'shang'xie'hui'de'suo'xie
英亩的缩写,ying'mu'de'suo'xie
硬脂酸铵,ying'zhi'suan'an
硬酯酸铝,ying'zhi'suan'lv
用碱量,yong'jian'liang
用热风干燥的造纸机,yong're'feng'gan'zao'de'zao'zhi'ji
有效碱,you'xiao'jian
有效截面,you'xiao'jie'mian
有效硫酸,you'xiao'liu'suan
有效氯,you'xiao'lv
有效容积实际容积,you'xiao'rong'ji'shi'ji'rong'ji
有效容量,you'xiao'rong'liang
有效石灰,you'xiao'shi'hui
油毡线,you'zhan'xian
原子键,yuan'zi'jian
原子吸收的缩写,yuan'zi'xi'shou'de'suo'xie
约的缩写,yue'de'suo'xie
运算器,yun'suan'qi
藻类,zao'lei
藻朊酸,zao'ruan'suan
藻朊酸盐藻朊酸纤维,zao'ruan'suan'yan'zao'ruan'suan'xian'wei
造体,zao'ti
造纸专业词典系列,zao'zhi'zhuan'ye'ci'dian'xi'lie
摘要文摘的缩写,zhai'yao'wen'zhai'de'suo'xie
粘胶槽,zhan'jiao'cao
帐簿纸,zhang'bu'zhi
振幅,zhen'fu
真空刮刀,zhen'kong'gua'dao
整流式交流电动机,zheng'liu'shi'jiao'liu'dian'dong'ji
纸板施胶度,zhi'ban'shi'jiao'du
制动机构,zhi'dong'ji'gou
制动片制动机构,zhi'dong'pian'zhi'dong'ji'gou
脂肪族的,zhi'fang'zu'de
纸机上流浆系统,zhi'ji'shang'liu'jiang'xi'tong
纸浆取样钴取法,zhi'jiang'qu'yang'gu'qu'fa
智利鹦鹉牌漂白硫酸盐阔叶木浆,zhi'li'ying'wu'pai'piao'bai'liu'suan'yan'kuo'ye'mu'jiang
支链淀粉,zhi'lian'dian'fen
制酸,zhi'suan
制酸车间,zhi'suan'che'jian
制酸工,zhi'suan'gong
制酸塔酸塔,zhi'suan'ta'suan'ta
纸张尺寸,zhi'zhang'chi'cun
纸张耐破裂度测试仪,zhi'zhang'nai'po'lie'du'ce'shi'yi
纸张吸收性能,zhi'zhang'xi'shou'xing'neng
脂族化合物,zhi'zu'hua'he'wu
脂族酸,zhi'zu'suan
中固抗挠压榨辊,zhong'gu'kang'nao'ya'zha'gun
轴流泵,zhou'liu'beng
轴向,zhou'xiang
主键轴键,zhu'jian'zhou'jian
贮气箱气库,zhu'qi'xiang'qi'ku
贮酸槽,zhu'suan'cao
转写纸,zhuan'xie'zhi
专用毛毯,zhuan'yong'mao'tan
装配与测试的缩写,zhuang'pei'yu'ce'shi'de'suo'xie
装饰面板,zhuang'shi'mian'ban
准确度性精密度性,zhun'que'du'xing'jing'mi'du'xing
自动操作,zi'dong'cao'zuo
自动导辊,zi'dong'dao'gun
自动递纸装置自动引纸装置,zi'dong'di'zhi'zhuang'zhi'zi'dong'yin'zhi'zhuang'zhi
自动定时转换,zi'dong'ding'shi'zhuan'huan
自动断路器,zi'dong'duan'lu'qi
自动阀,zi'dong'fa
自动分选机,zi'dong'fen'xuan'ji
自动化,zi'dong'hua
自动化工厂自动化车间,zi'dong'hua'gong'chang'zi'dong'hua'che'jian
自动化生产,zi'dong'hua'sheng'chan
自动划线记录纸,zi'dong'hua'xian'ji'lu'zhi
自动记录,zi'dong'ji'lu
自动加煤器,zi'dong'jia'mei'qi
自动进料的自动喂料的,zi'dong'jin'liao'de'zi'dong'wei'liao'de
自动进料自动喂料,zi'dong'jin'liao'zi'dong'wei'liao
自动控制,zi'dong'kong'zhi
自动控制批示板,zi'dong'kong'zhi'pi'shi'ban
自动码纸机,zi'dong'ma'zhi'ji
自动磨刀机,zi'dong'mo'dao'ji
自动排气阀,zi'dong'pai'qi'fa
自动配浆箱,zi'dong'pei'jiang'xiang
自动闪蒸设备,zi'dong'shan'zheng'she'bei
自动数纸装置,zi'dong'shu'zhi'zhuang'zhi
自动调节器,zi'dong'tiao'jie'qi
自动调节箱,zi'dong'tiao'jie'xiang
自动调节装置,zi'dong'tiao'jie'zhuang'zhi
自动线,zi'dong'xian
自动校网器自动校网辊,zi'dong'xiao'wang'qi'zi'dong'xiao'wang'gun
自动续纸器,zi'dong'xu'zhi'qi
自动选纸机,zi'dong'xuan'zhi'ji
自动氧化,zi'dong'yang'hua
自动制盒机,zi'dong'zhi'he'ji
纵横比值,zong'heng'bi'zhi
