阿米芹属,a'mi'qin'shu
风筝果属,feng'zheng'guo'shu
佛手瓜属,fo'shou'gua'shu
腐草属,fu'cao'shu
附地菜属,fu'di'cai'shu
伏地杜鹃属,fu'di'du'juan'shu
辐花苣苔属,fu'hua'ju'tai'shu
辐花属,fu'hua'shu
福建柏属,fu'jian'bai'shu
茯蕨属,fu'jue'shu
芙兰草属,fu'lan'cao'shu
馥兰属,fu'lan'shu
复芒菊属,fu'mang'ju'shu
富宁藤属,fu'ning'teng'shu
浮萍科,fu'ping'ke
浮萍属,fu'ping'shu
腹脐草属,fu'qi'cao'shu
芙蓉菊属,fu'rong'ju'shu
伏石蕨属,fu'shi'jue'shu
腹水草属,fu'shui'cao'shu
福王草属,fu'wang'cao'shu
复叶耳蕨属,fu'ye'er'jue'shu
拂子茅属,fu'zi'mao'shu
盖喉兰属,gai'hou'lan'shu
盖裂果属,gai'lie'guo'shu
盖裂木属,gai'lie'mu'shu
甘草属,gan'cao'shu
干果木属,gan'guo'mu'shu
干花豆属,gan'hua'dou'shu
柑橘属,gan'ju'shu
橄榄科,gan'lan'ke
橄榄属,gan'lan'shu
甘松属,gan'song'shu
感应草属,gan'ying'cao'shu
甘蔗属,gan'zhe'shu
杠柳属,gang'liu'shu
岗松属,gang'song'shu
刚竹属,gang'zhu'shu
藁本属,gao'ben'shu
高河菜属,gao'he'cai'shu
高粱属,gao'liang'shu
高山豆属,gao'shan'dou'shu
高山芹属,gao'shan'qin'shu
高原芥属,gao'yuan'jie'shu
革苞菊属,ge'bao'ju'shu
戈壁藜属,ge'bi'li'shu
割鸡芒属,ge'ji'mang'shu
隔距兰属,ge'ju'lan'shu
格兰马草属,ge'lan'ma'cao'shu
葛缕子属,ge'lv'zi'shu
格脉树属,ge'mai'shu'shu
格木属,ge'mu'shu
哥纳香属,ge'na'xiang'shu
割舌树属,ge'she'shu'shu
葛属,ge'shu
隔蒴苘属,ge'shuo'qing'shu
革叶荠属,ge'ye'ji'shu
弓翅芹属,gong'chi'qin'shu
弓果黍属,gong'guo'shu'shu
弓果藤属,gong'guo'teng'shu
珙桐属,gong'tong'shu
沟瓣属,gou'ban'shu
钩萼草属,gou'e'cao'shu
勾儿茶属,gou'er'cha'shu
沟繁缕科,gou'fan'lv'ke
沟繁缕属,gou'fan'lv'shu
沟稃草属,gou'fu'cao'shu
狗肝菜属,gou'gan'cai'shu
狗骨柴属,gou'gu'chai'shu
狗脊属,gou'ji'shu
狗筋蔓属,gou'jin'man'shu
钩毛草属,gou'mao'cao'shu
钩毛蕨属,gou'mao'jue'shu
枸杞属,gou'qi'shu
狗舌草属,gou'she'cao'shu
构属,gou'shu
沟酸浆属,gou'suan'jiang'shu
钩藤属,gou'teng'shu
狗娃花属,gou'wa'hua'shu
狗尾草属,gou'wei'cao'shu
钩吻属,gou'wen'shu
狗牙根属,gou'ya'gen'shu
狗牙花属,gou'ya'hua'shu
钩叶藤属,gou'ye'teng'shu
沟颖草属,gou'ying'cao'shu
钩枝藤科,gou'zhi'teng'ke
钩枝藤属,gou'zhi'teng'shu
沟子荠属,gou'zi'ji'shu
钩子木属,gou'zi'mu'shu
古当归属,gu'dang'gui'shu
谷精草科,gu'jing'cao'ke
谷精草属,gu'jing'cao'shu
古柯科,gu'ke'ke
古柯属,gu'ke'shu
谷木属,gu'mu'shu
骨牌蕨属,gu'pai'jue'shu
固沙草属,gu'sha'cao'shu
古山龙属,gu'shan'long'shu
菰属,gu'shu
骨碎补科,gu'sui'bu'ke
骨碎补属,gu'sui'bu'shu
瓜儿豆属,gua'er'dou'shu
瓜耳木属,gua'er'mu'shu
瓜馥木属,gua'fu'mu'shu
瓜栗属,gua'li'shu
栝楼属,gua'lou'shu
寡毛菊属,gua'mao'ju'shu
冠唇花属,guan'chun'hua'shu
管唇兰属,guan'chun'lan'shu
冠盖藤属,guan'gai'teng'shu
观光木属,guan'guang'mu'shu
管花兰属,guan'hua'lan'shu
冠芒草属,guan'mang'cao'shu
冠毛草属,guan'mao'cao'shu
观音草属,guan'yin'cao'shu
观音兰属,guan'yin'lan'shu
观音坐莲科,guan'yin'zuo'lian'ke
观音座莲属,guan'yin'zuo'lian'shu
贯众属,guan'zhong'shu
广东万年青属,guang'dong'wan'nian'qing'shu
广防风属,guang'fang'feng'shu
桄榔属,guang'lang'shu
光叶蕨属,guang'ye'jue'shu
光叶藤蕨科,guang'ye'teng'jue'ke
光叶藤蕨属,guang'ye'teng'jue'shu
龟背竹属,gui'bei'zhu'shu
鬼吹箫属,gui'chui'xiao'shu
鬼灯檠属,gui'deng'qing'shu
桂海木属,gui'hai'mu'shu
鬼臼属,gui'jiu'shu
桂樱属,gui'ying'shu
鬼针草属,gui'zhen'cao'shu
桂竹香属,gui'zhu'xiang'shu
过江藤属,guo'jiang'teng'shu
过山蕨属,guo'shan'jue'shu
果香菊属,guo'xiang'ju'shu
海岸桐属,hai'an'tong'shu
海滨莎属,hai'bin'sha'shu
海菖蒲属,hai'chang'pu'shu
海岛藤属,hai'dao'teng'shu
孩儿参属,hai'er'can'shu
孩儿草属,hai'er'cao'shu
海红豆属,hai'hong'dou'shu
海金沙科,hai'jin'sha'ke
海金沙属,hai'jin'sha'shu
海榄雌属,hai'lan'ci'shu
海马齿属,hai'ma'chi'shu
海杧果属,hai'mang'guo'shu
海南椴属,hai'nan'duan'shu
海漆属,hai'qi'shu
海茜树属,hai'qian'shu'shu
海人树属,hai'ren'shu'shu
海乳草属,hai'ru'cao'shu
海桑科,hai'sang'ke
海桑属,hai'sang'shu
海檀木属,hai'tan'mu'shu
海桐花科,hai'tong'hua'ke
海桐花属,hai'tong'hua'shu
海罂粟属,hai'ying'su'shu
海芋属,hai'yu'shu
含苞草属,han'bao'cao'shu
蔊菜属,han'cai'shu
旱禾属,han'he'shu
旱金莲科,han'jin'lian'ke
旱金莲属,han'jin'lian'shu
旱蕨属,han'jue'shu
旱麦草属,han'mai'cao'shu
旱茅属,han'mao'shu
寒蓬属,han'peng'shu
旱雀豆属,han'que'dou'shu
含笑属,han'xiao'shu
含羞草属,han'xiu'cao'shu
旱莠竹属,han'you'zhu'shu
寒原荠属,han'yuan'ji'shu
寒竹属,han'zhu'shu
杭子梢属,hang'zi'shao'shu
蒿蕨属,hao'jue'shu
蒿属,hao'shu
貉藻属,hao'zao'shu
河八王属,he'ba'wang'shu
合瓣花属,he'ban'hua'shu
荷包蕨属,he'bao'jue'shu
荷包牡丹属,he'bao'mu'dan'shu
荷包藤属,he'bao'teng'shu
禾本科,he'ben'ke
鹤顶兰属,he'ding'lan'shu
合萼兰属,he'e'lan'shu
合耳菊属,he'er'ju'shu
核果茶属,he'guo'cha'shu
合果木属,he'guo'mu'shu
核果木属,he'guo'mu'shu
盒果藤属,he'guo'teng'shu
合欢草属,he'huan'cao'shu
合欢属,he'huan'shu
合景天属,he'jing'tian'shu
荷莲豆草属,he'lian'dou'cao'shu
褐鳞木属,he'lin'mu'shu
合萌属,he'meng'shu
荷青花属,he'qing'hua'shu
和尚菜属,he'shang'cai'shu
鹤虱属,he'shi'shu
何首乌属,he'shou'wu'shu
合头草属,he'tou'cao'shu
合头菊属,he'tou'ju'shu
鹤望兰属,he'wang'lan'shu
河西菊属,he'xi'ju'shu
合页草属,he'ye'cao'shu
禾叶蕨科,he'ye'jue'ke
禾叶蕨属,he'ye'jue'shu
禾叶兰属,he'ye'lan'shu
合柱金莲木属,he'zhu'jin'lian'mu'shu
合柱兰属,he'zhu'lan'shu
盒子草属,he'zi'cao'shu
核子木属,he'zi'mu'shu
诃子属,he'zi'shu
黑草属,hei'cao'shu
黑构叶属,hei'gou'ye'shu
黑鳞属,hei'lin'shu
黑麦草属,hei'mai'cao'shu
黑麦属,hei'mai'shu
黑鳗藤属,hei'man'teng'shu
黑面神属,hei'mian'shen'shu
黑三棱科,hei'san'leng'ke
黑三棱属,hei'san'leng'shu
黑莎草属,hei'sha'cao'shu
黑蒴属,hei'shuo'shu
黑心蕨属,hei'xin'jue'shu
黑藻属,hei'zao'shu
黑种草属,hei'zhong'cao'shu
横蒴苣苔属,heng'shuo'ju'tai'shu
红葱属,hong'cong'shu
红淡比属,hong'dan'bi'shu
红豆杉科,hong'dou'shan'ke
红豆杉属,hong'dou'shan'shu
红豆属,hong'dou'shu
红瓜属,hong'gua'shu
红光树属,hong'guang'shu'shu
红果树属,hong'guo'shu'shu
红厚壳属,hong'hou'ke'shu
红花荷属,hong'hua'he'shu
红花金丝桃属,hong'hua'jin'si'tao'shu
红花属,hong'hua'shu
红胶木属,hong'jiao'mu'shu
红景天属,hong'jing'tian'shu
红毛草属,hong'mao'cao'shu
红毛蓝属,hong'mao'lan'shu
红毛七属,hong'mao'qi'shu
红门兰属,hong'men'lan'shu
红木科,hong'mu'ke
红木属,hong'mu'shu
红千层属,hong'qian'ceng'shu
红雀珊瑚属,hong'que'shan'hu'shu
红砂属,hong'sha'shu
红树科,hong'shu'ke
红树属,hong'shu'shu
红丝线属,hong'si'xian'shu
红腺蕨属,hong'xian'jue'shu
红芽大戟属,hong'ya'da'ji'shu
红叶藤属,hong'ye'teng'shu
厚壁荠属,hou'bi'ji'shu
厚壁蕨属,hou'bi'jue'shu
厚边蕨属,hou'bian'jue'shu
厚唇兰属,hou'chun'lan'shu
猴耳环属,hou'er'huan'shu
喉花草属,hou'hua'cao'shu
猴欢喜属,hou'huan'xi'shu
厚喙菊属,hou'hui'ju'shu
厚距花属,hou'ju'hua'shu
厚壳桂属,hou'ke'gui'shu
厚壳树属,hou'ke'shu'shu
厚棱芹属,hou'leng'qin'shu
猴面包树属,hou'mian'bao'shu'shu
厚膜树属,hou'mo'shu'shu
厚皮树属,hou'pi'shu'shu
厚皮香属,hou'pi'xiang'shu
后蕊苣苔属,hou'rui'ju'tai'shu
厚叶蕨属,hou'ye'jue'shu
虎刺属,hu'ci'shu
蝴蝶草属,hu'die'cao'shu
蝴蝶果属,hu'die'guo'shu
蝴蝶兰属,hu'die'lan'shu
虎耳草科,hu'er'cao'ke
虎耳草属,hu'er'cao'shu
湖瓜草属,hu'gua'cao'shu
胡黄连属,hu'huang'lian'shu
槲寄生属,hu'ji'sheng'shu
胡椒科,hu'jiao'ke
胡椒属,hu'jiao'shu
槲蕨科,hu'jue'ke
槲蕨属,hu'jue'shu
胡卢巴,hu'lu'ba
葫芦茶属,hu'lu'cha'shu
葫芦科,hu'lu'ke
葫芦属,hu'lu'shu
葫芦树属,hu'lu'shu'shu
胡萝卜属,hu'luo'bo'shu
胡麻草属,hu'ma'cao'shu
胡麻花属,hu'ma'hua'shu
胡麻科,hu'ma'ke
胡麻属,hu'ma'shu
虎皮花属,hu'pi'hua'shu
虎皮楠属,hu'pi'nan'shu
虎舌兰属,hu'she'lan'shu
胡桃科,hu'tao'ke
胡桃属,hu'tao'shu
虎头蓟属,hu'tou'ji'shu
胡颓子科,hu'tui'zi'ke
胡颓子属,hu'tui'zi'shu
虎尾草属,hu'wei'cao'shu
虎尾兰属,hu'wei'lan'shu
狐尾藻属,hu'wei'zao'shu
虎颜花属,hu'yan'hua'shu
虎眼万年青属,hu'yan'wan'nian'qing'shu
互叶铁线莲属,hu'ye'tie'xian'lian'shu
虎杖属,hu'zhang'shu
虎榛子属,hu'zhen'zi'shu
胡枝子属,hu'zhi'zi'shu
画笔菊属,hua'bi'ju'shu
华扁豆属,hua'bian'dou'shu
华参属,hua'can'shu
花点草属,hua'dian'cao'shu
华福花属,hua'fu'hua'shu
华盖木属,hua'gai'mu'shu
花花柴属,hua'hua'chai'shu
花椒属,hua'jiao'shu
花葵属,hua'kui'shu
花蔺科,hua'lin'ke
花蔺属,hua'lin'shu
花菱草属,hua'ling'cao'shu
花锚属,hua'mao'shu
画眉草属,hua'mei'cao'shu
桦木科,hua'mu'ke
桦木属,hua'mu'shu
花佩菊属,hua'pei'ju'shu
花皮胶藤属,hua'pi'jiao'teng'shu
花旗竿属,hua'qi'gan'shu
花楸属,hua'qiu'shu
花荵科,hua'ren'ke
花荵属,hua'ren'shu
滑桃树属,hua'tao'shu'shu
滑藤属,hua'teng'shu
化香树属,hua'xiang'shu'shu
华蟹甲属,hua'xie'jia'shu
花叶万年青属,hua'ye'wan'nian'qing'shu
花蜘蛛兰属,hua'zhi'zhu'lan'shu
花柱草科,hua'zhu'cao'ke
花柱草属,hua'zhu'cao'shu
花烛属,hua'zhu'shu
槐属,huai'shu
槐叶蘋科,huai'ye'pin'ke
槐叶蘋属,huai'ye'pin'shu
环根芹属,huan'gen'qin'shu
还阳参属,huan'yang'can'shu
黄鹌菜属,huang'an'cai'shu
黄檗属,huang'bo'shu
黄蝉属,huang'chan'shu
黄瓜菜属,huang'gua'cai'shu
黄瓜属,huang'gua'shu
黄花夹竹桃属,huang'hua'jia'zhu'tao'shu
黄花蔺属,huang'hua'lin'shu
黄花茅属,huang'hua'mao'shu
黄花木属,huang'hua'mu'shu
黄花稔属,huang'hua'ren'shu
黄华属,huang'hua'shu
黄金茅属,huang'jin'mao'shu
黄猄草属,huang'jing'cao'shu
黄精属,huang'jing'shu
黄精叶钩吻属,huang'jing'ye'gou'wen'shu
幌菊属,huang'ju'shu
黄兰属,huang'lan'shu
黄梨木属,huang'li'mu'shu
黄连木属,huang'lian'mu'shu
黄连属,huang'lian'zhu
黄栌属,huang'lu'shu
黄麻属,huang'ma'shu
黄脉爵床属,huang'mai'jue'chuang'shu
黄茅属,huang'mao'shu
黄棉木属,huang'mian'mu'shu
黄牛木属,huang'niu'mu'shu
黄皮属,huang'pi'shu
黄耆属,huang'qi'shu
黄杞属,huang'qi'shu
黄雀儿属,huang'qiao'er'shu
黄秦艽属,huang'qin'jiao'shu
黄芩属,huang'qin'shu
黄球花属,huang'qiu'hua'shu
黄蓉花属,huang'rong'hua'shu
黄肉楠属,huang'rou'nan'shu
幌伞枫属,huang'san'feng'shu
黄三七属,huang'san'qi'shu
黄山梅属,huang'shan'mei'shu
黄杉属,huang'shan'shu
黄鳝藤属,huang'shan'teng'shu
黄水枝属,huang'shui'zhi'shu
黄檀属,huang'tan'shu
黄藤属,huang'teng'shu
黄筒花属,huang'tong'hua'shu
黄桐属,huang'tong'shu
黄薇属,huang'wei'shu
黄细心属,huang'xi'xin'shu
黄腺羽蕨属,huang'xian'yu'jue'shu
黄眼草科,huang'yan'cao'ke
黄眼草属,huang'yan'cao'shu
黄杨科,huang'yang'ke
黄杨属,huang'yang'shu
黄叶树属,huang'ye'shu'shu
黄缨菊属,huang'ying'ju'shu
喙核桃属,hui'he'tao'shu
喙花姜属,hui'hua'jiang'shu
灰莉属,hui'li'shu
荟蔓藤属,hui'man'teng'shu
灰毛豆属,hui'mao'dou'shu
茴芹属,hui'qin'shu
茴香砂仁属,hui'xiang'sha'ren'shu
茴香属,hui'xiang'shu
火把花属,huo'ba'hua'shu
火棘属,huo'ji'shu
火炬兰属,huo'ju'lan'shu
火麻树属,huo'ma'shu'shu
火绒草属,huo'rong'cao'shu
火烧花属,huo'shao'hua'shu
火烧兰属,huo'shao'lan'shu
火绳树属,huo'sheng'shu'shu
火桐属,huo'tong'shu
火筒树属,huo'tong'shu'shu
藿香蓟属,huo'xiang'ji'shu
藿香属,huo'xiang'shu
活血丹属,huo'xue'dan'shu
火焰草属,huo'yan'cao'shu
火焰花属,huo'yan'hua'shu
火焰兰属,huo'yan'lan'shu
火焰树属,huo'yan'shu'shu
吉贝属,ji'bei'shu
蕺菜属,ji'cai'shu
鸡蛋花属,ji'dan'hua'shu
棘豆属,ji'dou'shu
鸡骨常山属,ji'gu'chang'shan'shu
芨芨草属,ji'ji'cao'shu
基及树属,ji'ji'shu'shu
鸡脚参属,ji'jiao'can'shu
姬蕨科,ji'jue'ke
姬蕨属,ji'jue'shu
戟蕨属,ji'jue'shu
蒺藜草属,ji'li'cao'shu
蒺藜科,ji'li'ke
蒺藜属,ji'li'shu
鸡麻属,ji'ma'shu
吉曼草属,ji'man'cao'shu
檵木属,ji'mu'shu
寄生花属,ji'sheng'hua'shu
寄生藤属,ji'sheng'teng'shu
鸡矢藤属,ji'shi'teng'shu
荠属,ji'shu
蓟属,ji'shu
寄树兰属,ji'shu'lan'shu
鸡头薯属,ji'tou'shu'shu
鸡娃草属,ji'wa'cao'shu
吉祥草属,ji'xiang'cao'shu
积雪草属,ji'xue'cao'shu
鸡眼草属,ji'yan'cao'shu
蓟罂粟属,ji'ying'su'shu
鲫鱼藤属,ji'yu'teng'shu
鸡仔木属,ji'zai'mu'shu
鸡爪草属,ji'zhao'cao'shu
鸡爪簕属,ji'zhao'le'shu
假百合属,jia'bai'he'shu
假报春属,jia'bao'chun'shu
假贝母属,jia'bei'mu'shu
假槟榔属,jia'bing'lang'shu
茄参属,jia'can'shu
假糙苏属,jia'cao'su'shu
假柴龙树属,jia'chai'long'shu'shu
嘉赐树属,jia'ci'shu'shu
假稻属,jia'dao'shu
假地胆草属,jia'di'dan'cao'shu
假杜鹃属,jia'du'juan'shu
假福王草属,jia'fu'wang'cao'shu
假复叶耳蕨属,jia'fu'ye'er'jue'shu
假盖果草属,jia'gai'guo'cao'shu
荚果蕨属,jia'guo'jue'shu
假海马齿属,jia'hai'ma'chi'shu
假海桐属,jia'hai'tong'shu
假含羞草属,jia'han'xiu'cao'shu
假虎刺属,jia'hu'ci'shu
假还阳参属,jia'huan'yang'can'shu
假尖蕊属,jia'jian'rui'shu
假金发草属,jia'jin'fa'cao'shu
假金桔属,jia'jin'jie'shu
茄科,jia'ke
假蓝属,jia'lan'shu
嘉兰属,jia'lan'shu
嘉榄属,jia'lan'shu
假狼毒属,jia'lang'du'shu
假狼紫草属,jia'lang'zi'cao'shu
假冷蕨属,jia'leng'jue'shu
假连翘属,jia'lian'qiao'shu
假鳞毛蕨属,jia'lin'mao'jue'shu
嘉陵花属,jia'ling'hua'shu
假瘤蕨属,jia'liu'jue'shu
假龙胆属,jia'long'dan'shu
假楼梯草属,jia'lou'ti'cao'shu
假马鞭属,jia'ma'bian'shu
假马齿苋属,jia'ma'chi'xian'shu
假脉蕨属,jia'mai'jue'shu
假芒萁属,jia'mang'qi'shu
假毛蕨属,jia'mao'jue'shu
荚蒾属,jia'mi'shu
假木豆属,jia'mu'dou'shu
假木贼属,jia'mu'zei'shu
荚囊蕨属,jia'nang'jue'shu
假拟沿沟草属,jia'ni'yan'gou'cao'shu
假牛鞭草属,jia'niu'bian'cao'shu
假牛繁缕科,jia'niu'fan'lv'ke
假牛繁缕属,jia'niu'fan'lv'shu
假婆婆纳属,jia'po'po'na'shu
假山龙眼属,jia'shan'long'yan'shu
假山萝属,jia'shan'luo'shu
假韶子属,jia'shao'zi'shu
假蛇尾草属,jia'she'wei'cao'shu
假升麻属,jia'sheng'ma'shu
假石柑属,jia'shi'gan'shu
茄属,jia'shu
假水晶兰属,jia'shui'jing'lan'shu
假水苏属,jia'shui'su'shu
假酸浆属,jia'suan'jiang'shu
假蹄盖蕨属,jia'ti'gai'jue'shu
假铁秆草属,jia'tie'gan'cao'shu
假卫矛属,jia'wei'mao'shu
假小喙菊属,jia'xiao'hui'ju'shu
假野菰属,jia'ye'gu'shu
假叶树属,jia'ye'shu'shu
假野芝麻属,jia'ye'zhi'ma'shu
假鹰爪属,jia'ying'zhao'shu
假泽兰属,jia'ze'lan'shu
假奓包叶属,jia'zha'bao'ye'shu
夹竹桃科,jia'zhu'tao'ke
夹竹桃属,jia'zhu'tao'shu
假紫草属,jia'zi'cao'shu
假紫万年青属,jia'zi'wan'nian'qing'shu
假紫珠属,jia'zi'zhu'shu
假钻毛蕨属,jia'zuan'mao'jue'shu
尖瓣花属,jian'ban'hua'shu
涧边草属,jian'bian'cao'shu
尖稃草属,jian'fu'cao'shu
剪股颖属,jian'gu'ying'shu
尖花藤属,jian'hua'teng'shu
尖槐藤属,jian'huai'teng'shu
剑蕨科,jian'jue'ke
剑蕨属,jian'jue'shu
尖帽草属,jian'mao'cao'shu
碱毛茛属,jian'mao'gen'shu
碱茅属,jian'mao'shu
樫木属,jian'mu'shu
尖囊兰属,jian'nang'lan'shu
碱蓬属,jian'peng'shu
剪秋罗属,jian'qiu'luo'shu
尖蕊花属,jian'rui'hua'shu
尖舌苣苔属,jian'she'ju'tai'shu
菅属,jian'shu
尖头花属,jian'tou'hua'shu
碱菀属,jian'wan'shu
见血封喉属,jian'xue'feng'hou'shu
尖药花属,jian'yao'hua'shu
尖药兰属,jian'yao'lan'shu
箭药藤属,jian'yao'teng'shu
尖叶木属,jian'ye'mu'shu
箭叶水苏属,jian'ye'shui'su'shu
坚轴草属,jian'zhou'cao'shu
箭竹属,jian'zhu'shu
尖子木属,jian'zi'mu'shu
尖子藤属,jian'zi'teng'shu
尖嘴蕨属,jian'zui'jue'shu
豇豆属,jiang'dou'shu
浆果苣苔属,jiang'guo'ju'tai'shu
浆果楝属,jiang'guo'lian'shu
浆果苋属,jiang'guo'xian'shu
姜花属,jiang'hua'shu
姜黄属,jiang'huang'shu
疆菊属,jiang'ju'shu
姜科,jiang'ke
疆南星属,jiang'nan'xing'shu
姜属,jiang'shu
姜味草属,jiang'wei'cao'shu
蒋英木属,jiang'ying'mu'shu
疆罂粟属,jiang'ying'su'shu
脚骨脆属,jiao'gu'cui'shu
绞股蓝属,jiao'gu'lan'shu
角果藜属,jiao'guo'li'shu
角果毛茛属,jiao'guo'mao'gen'shu
胶果木属,jiao'guo'mu'shu
角果木属,jiao'guo'mu'shu
角果藻属,jiao'guo'zao'shu
角蒿属,jiao'hao'shu
胶核木属,jiao'he'mu'shu
角胡麻科,jiao'hu'ma'ke
角胡麻属,jiao'hu'ma'shu
角花属,jiao'hua'shu
角茴香属,jiao'hui'xiang'shu
铰剪藤属,jiao'jian'teng'shu
角蕨属,jiao'jue'shu
胶木属,jiao'mu'shu
蕉木属,jiao'mu'shu
角盘兰属,jiao'pan'lan'shu
交让木科,jiao'rang'mu'ke
睫苞豆属,jie'bao'dou'shu
桔梗科,jie'geng'ke
桔梗属,jie'geng'shu
接骨木属,jie'gu'mu'shu
节节菜属,jie'jie'cai'shu
节节木属,jie'jie'mu'shu
介蕨属,jie'jue'shu
结缕草属,jie'lv'cao'shu
睫毛蕨科,jie'mao'jue'ke
节毛蕨属,jie'mao'jue'shu
睫毛蕨属,jie'mao'jue'shu
节蒴木属,jie'shuo'mu'shu
结香属,jie'xiang'shu
节肢蕨属,jie'zhi'jue'shu
堇菜科,jin'cai'ke
堇菜属,jin'cai'shu
荩草属,jin'cao'shu
金唇兰属,jin'chun'lan'shu
巾唇兰属,jin'chun'lan'shu
锦带花属,jin'dai'hua'shu
金发草属,jin'fa'cao'shu
金粉蕨属,jin'fen'jue'shu
金凤藤属,jin'feng'teng'shu
金佛山兰属,jin'fo'shan'lan'shu
金刚大属,jin'gang'da'shu
金钩花属,jin'gou'hua'shu
筋骨草属,jin'gu'cao'shu
金瓜属,jin'gua'shu
金光菊属,jin'guang'ju'shu
金合欢属,jin'he'huan'shu
金虎尾科,jin'hu'wei'ke
金虎尾属,jin'hu'wei'shu
锦鸡儿属,jin'ji'er'shu
金鸡菊属,jin'ji'ju'shu
金鸡纳属,jin'ji'na'shu
金锦香属,jin'jin'xiang'shu
锦金香属,jin'jin'xiang'shu
金橘属,jin'ju'shu
锦葵科,jin'kui'ke
锦葵属,jin'kui'shu
金莲花属,jin'lian'hua'shu
金莲木科,jin'lian'mu'ke
金莲木属,jin'lian'mu'shu
金缕梅科,jin'lv'mei'ke
金缕梅属,jin'lv'mei'shu
金毛狗属,jin'mao'gou'shu
金毛裸蕨属,jin'mao'luo'jue'shu
金钮扣属,jin'niu'kou'shu
金平藤属,jin'ping'teng'shu
金钱豹属,jin'qian'bao'shu
金钱槭属,jin'qian'qi'shu
金钱松属,jin'qian'song'shu
金雀儿属,jin'qiao'er'shu
金山葵属,jin'shan'kui'shu
金石斛属,jin'shi'hu'shu
金丝桃属,jin'si'tao'shu
金松属,jin'song'shu
金粟兰科,jin'su'lan'ke
金粟兰属,jin'su'lan'shu
金铁锁属,jin'tie'suo'shu
金线草属,jin'xian'cao'shu
金星蕨科,jin'xing'jue'ke
金星蕨属,jin'xing'jue'shu
金须茅属,jin'xu'mao'shu
金腰箭属,jin'yao'jian'shu
金腰属,jin'yao'shu
堇叶芥属,jin'ye'jie'shu
堇叶苣苔属,jin'ye'ju'tai'shu
金叶树属,jin'ye'shu'shu
金叶子属,jin'ye'zi'shu
金英属,jin'ying'shu
金罂粟属,jin'ying'su'shu
金鱼花属,jin'yu'hua'shu
金鱼藻科,jin'yu'zao'ke
金鱼藻属,jin'yu'zao'shu
金盏花属,jin'zhan'hua'shu
金盏苣苔属,jin'zhan'ju'tai'shu
金足草属,jin'zu'cao'shu
荆豆属,jing'dou'shu
井冈寒竹属,jing'gang'han'zhu'shu
颈果草属,jing'guo'cao'shu
旌节花科,jing'jie'hua'ke
旌节花属,jing'jie'hua'shu
荆芥属,jing'jie'shu
景天科,jing'tian'ke
景天属,jing'tian'shu
酒饼簕属,jiu'bing'le'shu
九顶草属,jiu'ding'cao'shu
九节属,jiu'jie'shu
九里香属,jiu'li'xiang'shu
酒椰属,jiu'ye'shu
九子母属,jiu'zi'mu'shu
距瓣豆属,ju'ban'dou'shu
菊蒿属,ju'hao'shu
聚合草属,ju'he'cao'shu
聚花草属,ju'hua'cao'shu
距花黍属,ju'hua'shu'shu
菊苣属,ju'ju'shu
锯蕨属,ju'jue'shu
菊科,ju'ke
巨盘木属,ju'pan'mu'shu
咀签属,ju'qian'shu
菊芹属,ju'qin'shu
蒟蒻薯科,ju'ruo'shu'ke
蒟蒻薯属,ju'ruo'shu'shu
菊三七属,ju'san'qi'shu
巨杉属,ju'shan'shu
菊属,ju'shu
榉属,ju'shu
距药姜属,ju'yao'jiang'shu
巨竹属,ju'zhu'shu
卷耳属,juan'er'shu
绢冠茜属,juan'guan'qian'shu
卷花丹属,juan'hua'dan'shu
绢毛苣属,juan'mao'ju'shu
爵床科,jue'chuang'ke
爵床属,jue'chuang'shu
蕨科,jue'ke
决明属,jue'ming'shu
蕨属,jue'shu
君子兰属,jun'zi'lan'shu
咖啡属,ka'fei'shu
喀什菊属,ka'shi'ju'shu
开唇兰属,kai'chun'lan'shu
开口箭属,kai'kou'jian'shu
铠兰属,kai'lan'shu
看麦娘属,kan'mai'niang'shu
壳菜果属,ke'cai'guo'shu
可可属,ke'ke'shu
克拉花属,ke'la'hua'shu
克拉莎属,ke'la'sha'shu
柯属,ke'shu
榼藤属,ke'teng'shu
孔唇兰属,kong'chun'lan'shu
空棱芹属,kong'leng'qin'shu
孔药花属,kong'yao'hua'shu
孔颖草属,kong'ying'cao'shu
空轴茅属,kong'zhou'mao'shu
空竹属,kong'zhu'shu
口药花属,kou'yao'hua'shu
苦草属,ku'cao'shu
苦瓜属,ku'gua'shu
苦苣菜属,ku'ju'cai'shu
苦苣苔科,ku'ju'tai'ke
苦苣苔属,ku'ju'tai'shu
苦槛蓝科,ku'kan'lan'ke
苦槛蓝属,ku'kan'lan'shu
苦马豆属,ku'ma'dou'shu
苦荬菜属,ku'mai'cai'shu
苦木科,ku'mu'ke
苦树属,ku'shu'shu
苦玄参属,ku'xuan'shen'shu
块茎芹属,kuai'jing'qin'shu
款冬属,kuan'dong'shu
宽管花属,kuan'guan'hua'shu
宽距兰属,kuan'ju'lan'shu
宽框荠属,kuan'kuang'ji'shu
昆栏树科,kun'lan'shu'ke
昆栏树属,kun'lan'shu'shu
阔苞菊属,kuo'bao'ju'shu
阔蕊兰属,kuo'rui'lan'shu
蜡瓣花属,la'ban'hua'shu
辣根属,la'gen'shu
辣椒属,la'jiao'shu
蜡菊属,la'ju'shu
拉拉藤属,la'la'teng'shu
蜡梅科,la'mei'ke
蜡梅属,la'mei'shu
