阿里红,a'li'hong
血红银耳,xue'hong'yin'er
血韧革菌,xue'ren'ge'jun
亚红顶枝瑚菌,ya'hong'ding'zhi'hu'jun
亚灰树花,ya'hui'shu'hua
雅洁头珠霉,ya'jie'tou'zhu'mei
亚绒盖乳菇,ya'rong'gai'ru'gu
亚稀褶黑菇,ya'xi'zhe'hei'gu
芽枝菌目,ya'zhi'jun'mu
雅致丝膜菌,ya'zhi'si'mo'jun
烟草色纤孔菌,yan'cao'se'xian'kong'jun
烟色齿耳菌,yan'se'chi'er'jun
烟色红菇,yan'se'hong'gu
烟色韧革菌,yan'se'ren'ge'jun
羊肚菌,yang'du'jun
羊肚菌科,yang'du'jun'ke
杨锐孔菌,yang'rui'kong'jun
药用拟层孔菌,yao'yong'ni'ceng'kong'jun
叶绿红菇,ye'lv'hong'gu
野蘑菇,ye'mo'gu
叶状耳盘菌,ye'zhuang'er'pan'jun
叶状银耳,ye'zhuang'yin'er
怡红菇,yi'hong'gu
怡人拟锁瑚菌,yi'ren'ni'suo'hu'jun
怡人色红菇,yi'ren'se'hong'gu
异水霉属,yi'shui'mei'shu
银白木耳,yin'bai'mu'er
印滇枝瑚菌,yin'dian'zhi'hu'jun
银耳,yin'er
银耳目,yin'er'mu
隐孔菌,yin'kong'jun
隐球菌脑膜炎,yin'qiu'jun'nao'mo'yan
银丝韧革菌,yin'si'ren'ge'jun
银朱拟锁瑚菌,yin'zhu'ni'suo'hu'jun
硬柄香菇,ying'bing'xiang'gu
硬皮层孔菌,ying'pi'ceng'kong'jun
硬皮褐层孔菌,ying'pi'he'ceng'kong'jun
硬皮马勃目,ying'pi'ma'bo'mu
硬田头菇,ying'tian'tou'gu
硬荀革菌,ying'xun'ge'jun
蛹虫草,yong'chong'cao
疣孢鬼伞,you'bao'gui'san
疣孢褐盘菌,you'bao'he'pan'jun
疣孢黄枝瑚菌,you'bao'huang'zhi'hu'jun
疣孢鸡油菌,you'bao'ji'you'jun
疣盖囊皮菌,you'gai'nang'pi'jun
疣革菌,you'ge'jun
疣面革褶菌,you'mian'ge'zhe'jun
优雅侧盘菌,you'ya'ce'pan'jun
疣硬皮马勃,you'ying'pi'ma'bo
玉米黑粉病,yu'mi'hei'fen'bing
榆生拟层孔菌,yu'sheng'ni'ceng'kong'jun
圆孢蘑菇,yuan'bao'mo'gu
圆瘤孢多孔菌,yuan'liu'bao'duo'kong'jun
圆锥钟菌,yuan'zhui'zhong'jun
云南鸡油菌,yun'nan'ji'you'jun
云南内笔菌,yun'nan'nei'bi'jun
云南球盖菇,yun'nan'qiu'gai'gu
云芝,yun'zhi
枣红马勃,zao'hong'ma'bo
藻菌纲,zao'jun'gang
皂味口蘑,zao'wei'kou'mo
窄盖木层孔菌,zhai'gai'mu'ceng'kong'jun
粘柄乳菇,zhan'bing'ru'gu
粘柄丝膜菌,zhan'bing'si'mo'jun
粘盖花褶伞,zhan'gai'hua'zhe'san
粘盖环锈伞,zhan'gai'huan'xiu'san
毡盖木耳,zhan'gai'mu'er
粘环锈伞,zhan'huan'xiu'san
粘绿乳菇,zhan'lv'ru'gu
长根鬼伞,zhang'gen'gui'san
长根静灰球菌,zhang'gen'jing'hui'qiu'jun
樟芝,zhang'zhi
掌状革菌,zhang'zhuang'ge'jun
掌状花耳,zhang'zhuang'hua'er
沼泽红菇,zhao'ze'hong'gu
赭盖红菇,zhe'gai'hong'gu
赭红拟口蘑,zhe'hong'ni'kou'mo
赭黄齿耳菌,zhe'huang'chi'er'jun
赭鳞蘑菇,zhe'lin'mo'gu
赭漆灵芝,zhe'qi'ling'zhi
针环褶菌,zhen'huan'zhe'jun
真菌,zhen'jun
真菌性前列腺炎,zhen'jun'xing'qian'lie'xian'yan
掷丝膜菌,zhi'si'mo'jun
钟菌,zhong'jun
重脉鬼笔,zhong'mai'gui'bi
皱盖囊皮菌,zhou'gai'nang'pi'jun
皱盖乳菇,zhou'gai'ru'gu
皱盖钟菌,zhou'gai'zhong'jun
轴灰包菌,zhou'hui'bao'jun
皱木耳,zhou'mu'er
皱皮菌,zhou'pi'jun
皱皮炭角菌,zhou'pi'tan'jiao'jun
皱锁瑚菌,zhou'suo'hu'jun
皱褶革菌,zhou'zhe'ge'jun
柱柄丝膜伞,zhu'bing'si'mo'san
竹红菌,zhu'hong'jun
朱红硫磺菌,zhu'hong'liu'huang'jun
朱红囊皮菌,zhu'hong'nang'pi'jun
朱红栓菌,zhu'hong'shuan'jun
竹黄,zhu'huang
珠亮平盘菌,zhu'liang'ping'pan'jun
竹生肉球菌,zhu'sheng'rou'qiu'jun
珠丝盘革菌,zhu'si'pan'ge'jun
砖红韧黑伞,zhuan'hong'ren'hei'san
紫丁香蘑,zi'ding'xiang'mo
紫丁香枝瑚菌,zi'ding'xiang'zhi'hu'jun
紫椴栓菌,zi'duan'shuan'jun
紫革耳,zi'ge'er
紫光灵芝,zi'guang'ling'zhi
紫褐蜡蘑,zi'he'la'mo
紫红蘑菇,zi'hong'mo'gu
紫胶盘菌,zi'jiao'pan'jun
紫螺菌,zi'luo'jun
紫蘑菇,zi'mo'gu
子囊菌纲,zi'nang'jun'gang
紫韧革菌,zi'ren'ge'jun
紫色蘑菇,zi'se'mo'gu
紫色秃马勃,zi'se'tu'ma'bo
子实体,zi'shi'ti
紫星裂盘菌,zi'xing'lie'pan'jun
紫棕炭团菌,zi'zong'tan'tuan'jun
棕黄枝瑚菌,zong'huang'zhi'hu'jun
棕丝膜菌,zong'si'mo'jun
组织分离,zu'zhi'fen'li
