阿尔,a'er
魂魄妖忌,hun'po'yao'ji
魂魄妖梦,hun'po'yao'meng
魂之花,hun'zhi'hua
魂之游戏,hun'zhi'you'xi
火弹,huo'dan
火符,huo'fu
火鬼,huo'gui
火金符,huo'jin'fu
火鸟,huo'niao
活泼的纯情小姑娘,huo'po'de'chun'qing'xiao'gu'niang
霍青娥,huo'qing'e
惑视,huo'shi
火鼠的皮衣,huo'shu'de'pi'yi
火水木金土符,huo'shui'mu'jin'tu'fu
霍瓦特洛克,huo'wa'te'luo'ke
火焰的车轮,huo'yan'de'che'lun
火焰猫,huo'yan'mao
火焰猫燐,huo'yan'mao'lin
极彩,ji'cai
极彩沛雨,ji'cai'pei'yu
极彩台风,ji'cai'tai'feng
击沉之锚,ji'chen'zhi'mao
疾风扇,ji'feng'shan
击符,ji'fu
棘符,ji'fu
姬海棠,ji'hai'tang
姬海棠极,ji'hai'tang'ji
姬海棠羽立,ji'hai'tang'yu'li
姬海棠羽立的取材练习,ji'hai'tang'yu'li'de'qu'cai'lian'xi
寂静的月之光,ji'jing'de'yue'zhi'guang
寂静之海,ji'jing'zhi'hai
极乐的紫色云路,ji'le'de'zi'se'yun'lu
寂寞与终焉的象征,ji'mo'yu'zhong'yan'de'xiang'zheng
奇数弹,ji'shu'dan
极限火花,ji'xian'huo'hua
积怨返,ji'yuan'fan
疾走风靡,ji'zou'feng'mi
疾走优美,ji'zou'you'mei
枷符,jia'fu
甲论乙驳,jia'lun'yi'bo
剑弹,jian'dan
剑伎,jian'ji
键灵,jian'ling
键山,jian'shan
键山雏,jian'shan'chu
剪舌麻雀,jian'she'ma'que
犍陀多绳索,jian'tuo'duo'sheng'suo
渐有秋意的瀑布,jian'you'qiu'yi'de'pu'bu
降光,jiang'guang
降华蹴,jiang'hua'cu
交错的鳞片,jiao'cuo'de'lin'pian
焦土曼荼罗,jiao'tu'man'tu'luo
芥川龙之介的河童,jie'chuan'long'zhi'jie'de'he'tong
解读气氛程度的能力,jie'du'qi'fen'cheng'du'de'neng'li
解读周遭程度的能力,jie'du'zhou'zao'cheng'du'de'neng'li
借符,jie'fu
结跏趺斩,jie'jia'fu'zhan
结界,jie'jie
结界组,jie'jie'zu
结于杉树的渊缘,jie'yu'shan'shu'de'yuan'yuan
紧闭的恋之瞳,jin'bi'de'lian'zhi'tong
禁弹,jin'dan
金符,jin'fu
金刚螺旋,jin'gang'luo'xuan
金阁寺的一块天花板,jin'ge'si'de'yi'kuai'tian'hua'ban
禁忌,jin'ji
矜羯罗,jin'jie'luo
进入疯狂,jin'ru'feng'kuang
金土符,jin'tu'fu
今昔幻想乡,jin'xi'huan'xiang'xiang
近眼花火,jin'yan'hua'huo
禁药,jin'yao
禁咒组,jin'zhou'zu
静电诱导弹,jing'dian'you'dao'dan
净化之魔,jing'hua'zhi'mo
净琉璃之镜,jing'liu'li'zhi'jing
净颇梨审判,jing'po'li'shen'pan
净颇梨之镜,jing'po'li'zhi'jing
警醒阵,jing'xing'zhen
静叶,jing'ye
惊雨,jing'yu
炯眼剑,jiong'yan'jian
旧地狱,jiu'di'yu
旧地狱的针山,jiu'di'yu'de'zhen'shan
旧地狱街道游步,jiu'di'yu'jie'dao'you'bu
旧史,jiu'shi
九字切,jiu'zi'qie
菊里,ju'li
巨星陨落,ju'xing'yun'luo
绝对正义,jue'dui'zheng'yi
攫鬼,jue'gui
觉神,jue'shen
决死,jue'si
决死结界,jue'si'jie'jie
菌弹,jun'dan
卡娜阿娜贝拉尔,ka'na'a'na'bei'la'er
凯风快晴,kai'feng'kuai'qing
开海,kai'hai
开宴,kai'yan
开运大纹,kai'yun'da'wen
看不见的绿眼怪物,kan'bu'jian'de'lv'yan'guai'wu
看到境界程度的能力,kan'dao'jing'jie'cheng'du'de'neng'li
看星星知道时间,kan'xing'xing'zhi'dao'shi'jian
看月亮知道地点,kan'yue'liang'zhi'dao'di'dian
烤芋,kao'yu
刻符,ke'fu
客观结界,ke'guan'jie'jie
可怕的水井妖怪,ke'pa'de'shui'jing'yao'guai
客星璀璨夺目之夜,ke'xing'cui'can'duo'mu'zhi'ye
客星闪耀如炽之夜,ke'xing'shan'yao'ru'chi'zhi'ye
科学世纪的少男少女,ke'xue'shi'ji'de'shao'nan'shao'nv
可以读心程度的能力,ke'yi'du'xin'cheng'du'de'neng'li
刻着过去的钟表,ke'zhe'guo'qu'de'zhong'biao
恐怖催眠术,kong'bu'cui'mian'shu
空饵,kong'er
空观剑,kong'guan'jian
空前绝后巨眼焚身,kong'qian'jue'hou'ju'yan'fen'shen
空中的归路,kong'zhong'de'gui'lu
枯道,ku'dao
苦痛流路,ku'tong'liu'lu
枯叶色,ku'ye'se
快晴,kuai'qing
狂符,kuang'fu
狂梦,kuang'meng
狂气之瞳,kuang'qi'zhi'tong
狂视,kuang'shi
狂舞的落叶,kuang'wu'de'luo'ye
狂躁高速飞行体,kuang'zao'gao'su'fei'xing'ti
葵符,kui'fu
坤仪之剑,kun'yi'zhi'jian
坤轴的大鬼,kun'zhou'de'da'gui
扩散结界,kuo'san'jie'jie
蓝点,lan'dian
懒符,lan'fu
狼之舌,lang'zhi'she
乐园的巫女,le'yuan'de'wu'nv
乐园绝妙的巫女,le'yuan'jue'miao'de'wu'nv
乐园最高的裁判长,le'yuan'zui'gao'de'cai'pan'zhang
蕾迪,lei'di
蕾迪霍瓦特罗克,lei'di'huo'wa'te'luo'ke
雷符,lei'fu
雷鼓弹,lei'gu'dan
蕾拉,lei'la
蕾拉普利兹姆利巴,lei'la'pu'li'zi'mu'li'ba
蕾米莉亚,lei'mi'li'ya
蕾米莉亚斯卡雷特,lei'mi'li'ya'si'ka'lei'te
雷鸣的游鱼,lei'ming'de'you'yu
雷鱼,lei'yu
雷云棘鱼,lei'yun'ji'yu
雷云鱼游泳弹,lei'yun'yu'you'yong'dan
冷冻光线,leng'dong'guang'xian
冷体,leng'ti
冷吟闲醉,leng'yin'xian'zui
例大祭,li'da'ji
力符,li'fu
莉格露,li'ge'lu
莉格露奈特巴格,li'ge'lu'nai'te'ba'ge
离魂之镰,li'hun'zhi'lian
离剑之见,li'jian'zhi'jian
莉莉白,li'li'bai
莉莉布莱克,li'li'bu'lai'ke
莉莉黑,li'li'hei
莉莉怀特,li'li'huai'te
莉莉卡,li'li'ka
莉莉卡普利兹姆利巴,li'li'ka'pu'li'zi'mu'li'ba
历史结社,li'shi'jie'she
里香,li'xiang
理香子,li'xiang'zi
力业,li'ye
离圆花冠,li'yuan'hua'guan
恋爱的埋火,lian'ai'de'mai'huo
恋风,lian'feng
恋符,lian'fu
连摄,lian'she
莲台野夜行,lian'tai'ye'ye'xing
恋心,lian'xin
炼狱气息,lian'yu'qi'xi
连怨灵都恐惧的少女,lian'yuan'ling'dou'kong'ju'de'shao'nv
恋之迷宫,lian'zhi'mi'gong
两成八分六厘,liang'cheng'ba'fen'liu'li
烈风扇,lie'feng'shan
烈虹拳,lie'hong'quan
烈虹真拳,lie'hong'zhen'quan
烈日,lie'ri
鳞弹,lin'dan
燐气斩,lin'qi'zhan
霖之助,lin'zhi'zhu
灵蝶,ling'die
灵符,ling'fu
灵击,ling'ji
铃兰,ling'lan
灵梦,ling'meng
铃奈庵,ling'nai'an
令人怀念的东方之血,ling'ren'huai'nian'de'dong'fang'zhi'xue
灵乌路,ling'wu'lu
灵乌路空,ling'wu'lu'kong
铃仙,ling'xian
灵想,ling'xiang
灵异传,ling'yi'chuan
凌云地狱冲,ling'yun'di'yu'chong
灵札,ling'zha
灵知的太阳信仰,ling'zhi'de'tai'yang'xin'yang
六道剑,liu'dao'jian
六根清净斩,liu'gen'qing'jing'zhan
六里雾中,liu'li'wu'zhong
六十年不见的紫色香花,liu'shi'nian'bu'jian'de'zi'se'xiang'hua
六十年周期大结界异变,liu'shi'nian'zhou'qi'da'jie'jie'yi'bian
流星般的御柱,liu'xing'ban'de'yu'zhu
流刑人偶,liu'xing'ren'ou
龙宫之使游泳弹,long'gong'zhi'shi'you'yong'dan
龙颈之玉,long'jing'zhi'yu
龙闪耀之眼,long'shan'yao'zhi'yan
龙神,long'shen
龙神的电光,long'shen'de'dian'guang
龙神的一击,long'shen'de'yi'ji
龙神之怒,long'shen'zhi'nu
龙神之须,long'shen'zhi'xu
龙星,long'xing
龙鱼,long'yu
龙鱼的一击,long'yu'de'yi'ji
龙鱼的羽衣,long'yu'de'yu'yi
龙鱼之怒,long'yu'zhi'nu
龙鱼钻,long'yu'zuan
胧月花栞,long'yue'hua'kan
龙之眼,long'zhi'yan
楼观给我斩断弹幕的心眼,lou'guan'gei'wo'zhan'duan'dan'mu'de'xin'yan
楼观剑,lou'guan'jian
露米亚,lu'mi'ya
露娜切云德,lu'na'qie'yun'de
露娜萨,lu'na'sa
露娜萨普利兹姆利巴,lu'na'sa'pu'li'zi'mu'li'ba
露伊兹,lu'yi'zi
轮回的西藏人偶,lun'hui'de'xi'zang'ren'ou
螺光步,luo'guang'bu
萝蕾拉,luo'lei'la
绿眼的嫉妒,lv'yan'de'ji'du
绿眼怪物,lv'yan'guai'wu
玛艾里贝利,ma'ai'li'bei'li
玛艾里贝利哈恩,ma'ai'li'bei'li'ha'en
玛格特罗依德,ma'ge'te'luo'yi'de
埋骨于广川,mai'gu'yu'guang'chuan
满月异变,man'yue'yi'bian
猫的步伐,mao'de'bu'fa
猫符,mao'fu
锚符,mao'fu
卯酉东海道,mao'you'dong'hai'dao
毛玉,mao'yu
梅蒂馨,mei'di'xin
梅蒂馨梅兰克莉,mei'di'xin'mei'lan'ke'li
妹红,mei'hong
梅兰克莉,mei'lan'ke'li
梅莉,mei'li
美丽的绯之衣,mei'li'de'fei'zhi'yi
美丽者,mei'li'zhe
美铃,mei'ling
梅露兰,mei'lu'lan
梅露兰普利斯姆利巴,mei'lu'lan'pu'li'si'mu'li'ba
魅魔,mei'mo
美若水眼之清泉,mei'ruo'shui'yan'zhi'qing'quan
没我之爱,mei'wo'zhi'ai
每一天都是快乐的日子,mei'yi'tian'dou'shi'kuai'le'de'ri'zi
儚道,meng'dao
猛毒,meng'du
猛毒气息,meng'du'qi'xi
梦符,meng'fu
梦幻泡影,meng'huan'pao'ying
梦幻夜行绘卷,meng'huan'ye'xing'hui'juan
梦境与现实的咒法,meng'jing'yu'xian'shi'de'zhou'fa
梦美教授,meng'mei'jiao'shou
蒙蒙迷雾,meng'meng'mi'wu
梦色之乡,meng'se'zhi'xiang
梦时空,meng'shi'kong
梦违科学世纪,meng'wei'ke'xue'shi'ji
梦想封印,meng'xiang'feng'yin
梦想和现实的境界,meng'xiang'he'xian'shi'de'jing'jie
梦想华葛,meng'xiang'hua'ge
梦想妙珠,meng'xiang'miao'zhu
梦想妙珠连,meng'xiang'miao'zhu'lian
梦想天生,meng'xiang'tian'sheng
梦月,meng'yue
梦战,meng'zhan
梦子,meng'zi
秘弹,mi'dan
米弹,mi'dan
米尔克,mi'er'ke
秘封俱乐部,mi'feng'ju'le'bu
秘封组,mi'feng'zu
密符,mi'fu
迷符,mi'fu
迷津慈航斩,mi'jin'ci'hang'zhan
秘神流人偶,mi'shen'liu'ren'ou
秘术,mi'shu
米斯蒂娅,mi'si'di'ya
米斯蒂娅萝蕾拉,mi'si'di'ya'luo'lei'la
迷途之家,mi'tu'zhi'jia
迷途竹林,mi'tu'zhu'lin
绵月,mian'yue
绵月丰姬,mian'yue'feng'ji
绵月依姬,mian'yue'yi'ji
灭罪,mie'zui
灭罪寺院伤,mie'zui'si'yuan'shang
罠符,min'fu
鸣动持国天,ming'dong'chi'guo'tian
冥符,ming'fu
冥管,ming'guan
冥键,ming'jian
冥界,ming'jie
命莲,ming'lian
命莲寺,ming'lian'si
明罗,ming'luo
命名决斗法案,ming'ming'jue'dou'fa'an
明日之盛昨日之俗,ming'ri'zhi'sheng'zuo'ri'zhi'su
冥途旅中雨,ming'tu'lv'zhong'yu
冥想斩,ming'xiang'zhan
命运的阴暗面,ming'yun'de'yin'an'mian
瞑斩,ming'zhan
明治十七年的,ming'zhi'shi'qi'nian'de
明珠暗投,ming'zhu'an'tou
魔彩光的上海人偶,mo'cai'guang'de'shang'hai'ren'ou
魔操,mo'cao
魔法蝶,mo'fa'die
魔法少女们的百年祭,mo'fa'shao'nv'men'de'bai'nian'ji
魔法少女十字军,mo'fa'shao'nv'shi'zi'jun
魔法银河系,mo'fa'yin'he'xi
魔法之森,mo'fa'zhi'sen
魔符,mo'fu
魔光,mo'guang
魔界,mo'jie
魔界蝶的妖香,mo'jie'die'de'yao'xiang
魔净闪结,mo'jing'shan'jie
魔空,mo'kong
魔梨沙,mo'li'sha
魔理沙,mo'li'sha
魔炮,mo'pao
魔神复诵,mo'shen'fu'song
魔十字,mo'shi'zi
魔术师梅莉,mo'shu'shi'mei'li
摩西的奇迹,mo'xi'de'qi'ji
目处梃子乱舞,mu'chu'ting'zi'luan'wu
木符,mu'fu
木花咲耶姬,mu'hua'xiao'ye'ji
暮色苍然,mu'se'cang'ran
木菟咆哮,mu'tu'pao'xiao
娜兹琳,na'zi'lin
娜兹琳摆子,na'zi'lin'bai'zi
奈特巴格,nai'te'ba'ge
脑符,nao'fu
脑指纹测谎法,nao'zhi'wen'ce'huang'fa
能够使用念写的能力,neng'gou'shi'yong'nian'xie'de'neng'li
能源黎明,neng'yuan'li'ming
溺符,ni'fu
逆向屏风,ni'xiang'ping'feng
念写,nian'xie
鸟船遗迹,niao'chuan'yi'ji
鸟符,niao'fu
鸟居旋风,niao'ju'xuan'feng
浓雾,nong'wu
女仆秘技,nv'pu'mi'ji
女仆与血之怀表,nv'pu'yu'xue'zhi'huai'biao
偶数弹,ou'shu'dan
帕露郗,pa'lu'xi
帕琪,pa'qi
帕秋莉,pa'qiu'li
帕秋莉诺蕾姬,pa'qiu'li'nuo'lei'ji
判定点,pan'ding'dian
判断是非黑白的能力,pan'duan'shi'fei'hei'bai'de'neng'li
彷徨大罪,pang'huang'da'zui
蓬莱传说,peng'lai'chuan'shuo
蓬莱的弹枝,peng'lai'de'dan'zhi
蓬莱的树海,peng'lai'de'shu'hai
蓬莱的药店,peng'lai'de'yao'dian
蓬莱的玉枝,peng'lai'de'yu'zhi
蓬莱人偶,peng'lai'ren'ou
蓬莱人形,peng'lai'ren'xing
蓬莱山,peng'lai'shan
蓬莱山辉夜,peng'lai'shan'hui'ye
蓬莱之药,peng'lai'zhi'yao
毘沙门天的弟子,pi'sha'men'tian'de'di'zi
脾脏蛀食者,pi'zang'zhu'shi'zhe
片面义务契约,pian'mian'yi'wu'qi'yue
漂溺,piao'ni
飘上月球不死之烟,piao'shang'yue'qiu'bu'si'zhi'yan
飘妖扇,piao'yao'shan
平安京的恶梦,ping'an'jing'de'e'meng
平安时代的黑云,ping'an'shi'dai'de'hei'yun
平安时代的外星人,ping'an'shi'dai'de'wai'xing'ren
凭依荼吉尼天,ping'yi'tu'ji'ni'tian
凭坐之缚,ping'zuo'zhi'fu
迫符,po'fu
破山炮,po'shan'pao
破碎日弭,po'sui'ri'mi
普利兹姆利巴,pu'li'zi'mu'li'ba
葡萄弹,pu'tao'dan
普通的黑魔法少女,pu'tong'de'hei'mo'fa'shao'nv
普通的魔法使,pu'tong'de'mo'fa'shi
岐符,qi'fu
气符,qi'fu
漆黑之馆,qi'hei'zhi'guan
奇祭,qi'ji
琪露诺,qi'lu'nuo
奇门遁甲,qi'men'dun'jia
七魄忌讳,qi'po'ji'hui
七色的人偶使,qi'se'de'ren'ou'shi
七石七木,qi'shi'qi'mu
奇术,qi'shu
琪丝美,qi'si'mei
栖息于禅寺的妖蝶,qi'xi'yu'chan'si'de'yao'die
气焰万丈之剑,qi'yan'wan'zhang'zhi'jian
奇异半身,qi'yi'ban'shen
祈愿,qi'yuan
千百合,qian'bai'he
潜藏于境界内的妖怪,qian'cang'yu'jing'jie'nei'de'yao'guai
千根针的针山,qian'gen'zhen'de'zhen'shan
前鬼后鬼的守护,qian'gui'hou'gui'de'shou'hu
乾坤招来,qian'kun'zhao'lai
千年幻想乡,qian'nian'huan'xiang'xiang
潜意识的基因,qian'yi'shi'de'ji'yin
千兆耀斑,qian'zhao'yao'ban
蔷薇地狱,qiang'wei'di'yu
悄然袭来的长勺,qiao'ran'xi'lai'de'chang'shao
切云德,qie'yun'de
青娥,qing'e
青娥娘娘,qing'e'niang'niang
青鬼赤鬼,qing'gui'chi'gui
青空之影,qing'kong'zhi'ying
晴岚,qing'lan
晴明大纹,qing'ming'da'wen
青木原的传说,qing'mu'yuan'de'chuan'shuo
秋符,qiu'fu
秋季的天空,qiu'ji'de'tian'kong
秋静叶,qiu'jing'ye
秋穣子,qiu'rang'zi
秋穰子,qiu'rang'zi
区分死者的镰刀,qu'fen'si'zhe'de'lian'dao
拳符,quan'fu
拳骨,quan'gu
全人类的绯想天,quan'ren'lei'de'fei'xiang'tian
全人类的天乐录,quan'ren'lei'de'tian'le'lu
犬走,quan'zou
犬走椛,quan'zou'hua
让人幸运程度的能力,rang'ren'xing'yun'cheng'du'de'neng'li
穣子,rang'zi
穰子,rang'zi
热符,re'fu
热木星落下模型,re'mu'xing'luo'xia'mo'xing
人工太阳的黑点,ren'gong'tai'yang'de'hei'dian
人鬼,ren'gui
人魂灯,ren'hun'deng
人间之里,ren'jian'zhi'li
人界剑,ren'jie'jian
人类禁行之道,ren'lei'jin'xing'zhi'dao
人类消失的道路,ren'lei'xiao'shi'de'dao'lu
人类与妖怪的境界,ren'lei'yu'yao'guai'de'jing'jie
人偶操创,ren'ou'cao'chuang
人偶伏兵,ren'ou'fu'bing
人偶弓兵,ren'ou'gong'bing
人偶归巢,ren'ou'gui'chao
人偶火葬,ren'ou'huo'zang
人偶鲸鱼座,ren'ou'jing'yu'zuo
人偶千枪,ren'ou'qian'qiang
人偶无操,ren'ou'wu'cao
人偶振起,ren'ou'zhen'qi
人偶置操,ren'ou'zhi'cao
人偶之森,ren'ou'zhi'sen
人世剑,ren'shi'jian
人形裁判,ren'xing'cai'pan
人妖的境界,ren'yao'de'jing'jie
人智剑,ren'zhi'jian
日常坐卧,ri'chang'zuo'wo
日出之国的天子,ri'chu'zhi'guo'de'tian'zi
日符,ri'fu
日月符,ri'yue'fu
荣华之梦,rong'hua'zhi'meng
肉体分解机,rou'ti'fen'jie'ji
瑞江浦岛子,rui'jiang'pu'dao'zi
瑞江浦嶋子,rui'jiang'pu'dao'zi
弱心,ruo'xin
萨拉,sa'la
萨丽艾尔,sa'li'ai'er
赛菲尔,sai'fei'er
塞符,sai'fu
三步必杀,san'bu'bi'sha
三步坏废,san'bu'huai'fei
伞弹,san'dan
三分咲,san'fen'xiao
散符,san'fu
三华,san'hua
三魂七魄,san'hun'qi'po
三粒天滴,san'li'tian'di
散灵,san'ling
三日月,san'ri'yue
三途河,san'tu'he
三途河畔的摆渡人,san'tu'he'pan'de'bai'du'ren
三途之舟,san'tu'zhi'zhou
三种神器,san'zhong'shen'qi
桑尼,sang'ni
桑尼米尔克,sang'ni'mi'er'ke
丧失丧意,sang'shi'sang'yi
丧尸妖精,sang'shi'yao'jing
丧心,sang'xin
丧心创痍,sang'xin'chuang'yi
骚符,sao'fu
骚灵,sao'ling
骚灵三姐妹,sao'ling'san'jie'mei
骚葬,sao'zang
色与空的境界,se'yu'kong'de'jing'jie
森近,sen'jin
森近霖之助,sen'jin'lin'zhi'zhu
山伏天狗,shan'fu'tian'gou
山脚的神社,shan'jiao'de'shen'she
山女,shan'nv
山坡与湖水的化身,shan'po'yu'hu'shui'de'hua'shen
闪闪散华,shan'shan'san'hua
山上的新手神,shan'shang'de'xin'shou'shen
山神渡御,shan'shen'du'yu
山窝,shan'wo
上白泽,shang'bai'ze
上白泽慧音,shang'bai'ze'hui'yin
上吊的蓬莱人偶,shang'diao'de'peng'lai'ren'ou
伤符,shang'fu
上海爱丽丝,shang'hai'ai'li'si
上海爱丽丝幻乐团,shang'hai'ai'li'si'huan'yue'tuan
上海爱丽丝通讯社,shang'hai'ai'li'si'tong'xun'she
上海红茶馆,shang'hai'hong'cha'guan
上海人偶,shang'hai'ren'ou
伤魂,shang'hun
上下封印,shang'xia'feng'yin
少女幻葬,shao'nv'huan'zang
少女觉,shao'nv'jue
少女秘封俱乐部,shao'nv'mi'feng'ju'le'bu
少女密室,shao'nv'mi'shi
少女绮想曲,shao'nv'qi'xiang'qu
少女所见的日本原风景,shao'nv'suo'jian'de'ri'ben'yuan'feng'jing
少女文乐,shao'nv'wen'le
舍虫,she'chong
蛇符,she'fu
射击封印,she'ji'feng'yin
射命丸,she'ming'wan
射命丸文,she'ming'wan'wen
射命丸文的暴力取材,she'ming'wan'wen'de'bao'li'qu'cai
舍食,she'shi
神宝,shen'bao
神代的记忆,shen'dai'de'ji'yi
深弹幕结界,shen'dan'mu'jie'jie
神罚,shen'fa
神符,shen'fu
神鬼,shen'gui
神技,shen'ji
神祭,shen'ji
神迹所至的御神渡,shen'ji'suo'zhi'de'yu'shen'du
神经之毒,shen'jing'zhi'du
神灵宝珠,shen'ling'bao'zhu
神灵庙,shen'ling'miao
神鸣大人的住处,shen'ming'da'ren'de'zhu'chu
神明洒下恩惠之雨,shen'ming'sa'xia'en'hui'zhi'yu
神奈子,shen'nai'zi
神脑,shen'nao
神绮,shen'qi
神绮太太,shen'qi'tai'tai
神签,shen'qian
神枪,shen'qiang
神拳,shen'quan
神圣的古战场,shen'sheng'de'gu'zhan'chang
神术,shen'shu
深邃漩涡,shen'sui'xuan'wo
神弦,shen'xian
神隐,shen'yin
神隐的主犯,shen'yin'de'zhu'fan
神樱,shen'ying
神玉,shen'yu
神谕之环,shen'yu'zhi'huan
深渊新星,shen'yuan'xin'xing
神之风,shen'zhi'feng
神之粥,shen'zhi'zhou
神主,shen'zhu
神子,shen'zi
圣白莲,sheng'bai'lian
声符,sheng'fu
生魂流离的镰刀,sheng'hun'liu'li'de'lian'dao
生命的二刀流,sheng'ming'de'er'dao'liu
生命的价值,sheng'ming'de'jia'zhi
生命游戏,sheng'ming'you'xi
圣尼公的气魔法卷轴,sheng'ni'gong'de'qi'mo'fa'juan'zhou
圣辇船,sheng'nian'chuan
圣日耳曼的忠告,sheng'ri'er'man'de'zhong'gao
生神停止,sheng'shen'ting'zhi
生死流转斩,sheng'si'liu'zhuan'zhan
升天脚,sheng'tian'jiao
升天突,sheng'tian'tu
生药,sheng'yao
生与死的境界,sheng'yu'si'de'jing'jie
生者必灭之理,sheng'zhe'bi'mie'zhi'li
石长姬,shi'chang'ji
式弹,shi'dan
施饿鬼缚之术,shi'e'gui'fu'zhi'shu
十二神将之宴,shi'er'shen'jiang'zhi'yan
是非曲直厅,shi'fei'qu'zhi'ting
始符,shi'fu
实符,shi'fu
式符,shi'fu
视符,shi'fu
式辉,shi'hui
尸解永远,shi'jie'yong'yuan
视觉迷彩,shi'jue'mi'cai
石窟的蜘蛛的巢,shi'ku'de'zhi'zhu'de'chao
尸灵,shi'ling
十六夜,shi'liu'ye
十六夜咲夜,shi'liu'ye'xiao'ye
使人疯狂程度的能力,shi'ren'feng'kuang'cheng'du'de'neng'li
食人怨灵,shi'ren'yuan'ling
式神,shi'shen
尸体繁华街,shi'ti'fan'hua'jie
十王裁判,shi'wang'cai'pan
时效,shi'xiao
十凶星,shi'xiong'xing
使役式神程度的能力,shi'yi'shi'shen'cheng'du'de'neng'li
十亿耀斑,shi'yi'yao'ban
使用剑术程度的能力,shi'yong'jian'shu'cheng'du'de'neng'li
使用气程度的能力,shi'yong'qi'cheng'du'de'neng'li
使用妖术程度的能力,shi'yong'yao'shu'cheng'du'de'neng'li
手长足长大人,shou'chang'zu'zhang'da'ren
兽道,shou'dao
守符,shou'fu
守护商业繁荣,shou'hu'shang'ye'fan'rong
守护与被守护的大轮,shou'hu'yu'bei'shou'hu'de'da'lun
收集财宝程度的能力,shou'ji'cai'bao'cheng'du'de'neng'li
守旧老伯与明治少女,shou'jiu'lao'bo'yu'ming'zhi'shao'nv
守矢神社,shou'shi'shen'she
疏符,shu'fu
疏鬼,shu'gui
疏雨,shu'yu
水得的龙鱼,shui'de'de'long'yu
水符,shui'fu
水户的光圀,shui'hu'de'guang'guo
水蜜,shui'mi
水桥,shui'qiao
水桥帕露郗,shui'qiao'pa'lu'xi
水蛙神,shui'wa'shen
水形太极拳,shui'xing'tai'ji'quan
水银之海,shui'yin'zhi'hai
四重结界,si'chong'jie'jie
死出的诱蛾灯,si'chu'de'you'e'deng
死出之风,si'chu'zhi'feng
死蝶,si'die
死蝶浮月,si'die'fu'yue
死符,si'fu
死歌,si'ge
死还的大地,si'hai'de'da'di
死后一切大团圆,si'hou'yi'qie'da'tuan'yuan
四季的花之领主,si'ji'de'hua'zhi'ling'zhu
四季映姬,si'ji'ying'ji
死价,si'jia
斯卡雷特,si'ka'lei'te
死神的大镰,si'shen'de'da'lian
四生剑,si'sheng'jian
死尸弹,si'shi'dan
斯塔,si'ta
斯塔赛菲尔,si'ta'sai'fei'er
死体旅行,si'ti'lv'xing
四天王奥义,si'tian'wang'ao'yi
搜符,sou'fu
速符,su'fu
苏活,su'huo
苏生,su'sheng
苏我,su'wo
苏我氏,su'wo'shi
苏我屠自古,su'wo'tu'zi'gu
祟符,sui'fu
砕月,sui'yue
碎月,sui'yue
损毁的护身符,sun'hui'de'hu'shen'fu
胎儿之梦,tai'er'zhi'meng
太阳系仪,tai'yang'xi'yi
太阳之田,tai'yang'zhi'tian
太阴历,tai'yin'li
昙天,tan'tian
唐伞的惊奇闪光,tang'san'de'jing'qi'shan'guang
唐伞光晕,tang'san'guang'yun
特佩斯的年轻末裔,te'pei'si'de'nian'qing'mo'yi
藤原妹红,teng'yuan'mei'hong
替身人偶,ti'shen'ren'ou
天霸风神脚,tian'ba'feng'shen'jiao
天变巨眼焚身,tian'bian'ju'yan'fen'shen
天道是非之剑,tian'dao'shi'fei'zhi'jian
天蛾的蛊道,tian'e'de'gu'dao
天罚,tian'fa
天罚的石柱,tian'fa'de'shi'zhu
天符,tian'fu
天狗报当日达,tian'gou'bao'dang'ri'da
天狗道的开风,tian'gou'dao'de'kai'feng
天狗的立风露,tian'gou'de'li'feng'lu
天狗的太鼓,tian'gou'de'tai'gu
天狗砾,tian'gou'li
天狗念写法,tian'gou'nian'xie'fa
天狗团扇,tian'gou'tuan'shan
天狗旋降之风,tian'gou'xuan'jiang'zhi'feng
天海地狱冲,tian'hai'di'yu'chong
天狐公主,tian'hu'gong'zhu
天界,tian'jie
天界剑,tian'jie'jian
天空的格林尼治,tian'kong'de'ge'lin'ni'zhi
天空的花之都,tian'kong'de'hua'zhi'du
天空的灵石,tian'kong'de'ling'shi
天空铁锤落,tian'kong'tie'chui'luo
天空遗迹,tian'kong'yi'ji
天流,tian'liu
天龙,tian'long
天龙脚,tian'long'jiao
天魔,tian'mo
天女的一击,tian'nv'de'yi'ji
天女返,tian'nv'fan
天启气象之剑,tian'qi'qi'xiang'zhi'jian
天气雨,tian'qi'yu
天球仪中的宇宙,tian'qiu'yi'zhong'de'yu'zhou
天人,tian'ren
天人的系谱,tian'ren'de'xi'pu
天人五衰,tian'ren'wu'shuai
天上的因幡,tian'shang'de'yin'fan
天上剑,tian'shang'jian
天上天下的照国,tian'shang'tian'xia'de'zhao'guo
天上天下连续勾拳,tian'shang'tian'xia'lian'xu'gou'quan
天神剑,tian'shen'jian
天手力男投,tian'shou'li'nan'tou
天水奇迹,tian'shui'qi'ji
天孙降临,tian'sun'jiang'lin
天孙降临的路标,tian'sun'jiang'lin'de'lu'biao
天丸,tian'wan
天网沙包,tian'wang'sha'bao
天网蛛网捕蝶之法,tian'wang'zhu'wang'bu'die'zhi'fa
天文密葬法,tian'wen'mi'zang'fa
天仙鸣动,tian'xian'ming'dong
天星剑,tian'xing'jian
天仪,tian'yi
