阿益,a'yi
盟大光学眼镜有限公司,meng'da'guang'xue'yan'jing'you'xian'gong'si
模具包脚,mu'ju'bao'jiao
模具酒杯,mu'ju'jiu'bei
内侧要抛,nei'ce'yao'pao
内盒,nei'he
内红,nei'hong
内桔,nei'ju
内浅蓝,nei'qian'lan
内透明,nei'tou'ming
镍白,nie'bai
排点,pai'dian
排点酒杯,pai'dian'jiu'bei
胖子,pang'zi
抛半架,pao'ban'jia
抛半架横旦,pao'ban'jia'heng'dan
抛半架框丝,pao'ban'jia'kuang'si
抛半架四面,pao'ban'jia'si'mian
抛长脚丝成架,pao'chang'jiao'si'cheng'jia
抛成架,pao'cheng'jia
抛成架白蜡,pao'cheng'jia'bai'la
抛盖片成架,pao'gai'pian'cheng'jia
抛光,pao'guang
抛光毛,pao'guang'mao
抛光组,pao'guang'zu
抛光组长,pao'guang'zu'zhang
抛横旦两面,pao'heng'dan'liang'mian
抛黄白蜡,pao'huang'bai'la
抛脚丝三面,pao'jiao'si'san'mian
抛镜片,pao'jing'pian
抛框丝,pao'kuang'si
抛毛刺,pao'mao'ci
抛配件,pao'pei'jian
抛三面脚丝,pao'san'mian'jiao'si
抛饰片,pao'shi'pian
抛特殊脚丝,pao'te'shu'jiao'si
抛铜皮眉毛内侧,pao'tong'pi'mei'mao'nei'ce
抛推板,pao'tui'ban
抛退镀架,pao'tui'du'jia
抛无脚套铜皮架,pao'wu'jiao'tao'tong'pi'jia
抛无框鼻中,pao'wu'kuang'bi'zhong
抛修理架,pao'xiu'li'jia
配件,pei'jian
配件名称,pei'jian'ming'cheng
喷漆,pen'qi
皮架,pi'jia
皮套,pi'tao
品管部,pin'guan'bu
平光,ping'guang
平光片,ping'guang'pian
平头,ping'tou
平头镙丝,ping'tou'luo'si
溥水银,pu'shui'yin
普通二合一,pu'tong'er'he'yi
普通机,pu'tong'ji
普通机点单双牙,pu'tong'ji'dian'dan'shuang'ya
普通酒杯,pu'tong'jiu'bei
普通蛇型锁式,pu'tong'she'xing'suo'shi
普通圆片老花,pu'tong'yuan'pian'lao'hua
七层,qi'ceng
气动,qi'dong
气动铜皮铣头,qi'dong'tong'pi'xi'tou
气动弯脚,qi'dong'wan'jiao
漆银,qi'yin
漆银灰,qi'yin'hui
浅茶,qian'cha
浅粉红,qian'fen'hong
浅粉红脚套,qian'fen'hong'jiao'tao
浅粉红如样,qian'fen'hong'ru'yang
浅粉红银,qian'fen'hong'yin
前关组,qian'guan'zu
前关组长,qian'guan'zu'zhang
浅灰,qian'hui
浅灰镀浅水银,qian'hui'du'qian'shui'yin
浅灰绿,qian'hui'lv
浅灰片,qian'hui'pian
浅灰片如样,qian'hui'pian'ru'yang
浅渐进啡,qian'jian'jin'fei
浅渐进啡如样,qian'jian'jin'fei'ru'yang
浅蓝,qian'lan
浅兰,qian'lan
浅兰灰,qian'lan'hui
浅兰如样,qian'lan'ru'yang
浅如样,qian'ru'yang
浅水,qian'shui
浅水银,qian'shui'yin
强宏,qiang'hong
强化平光片,qiang'hua'ping'guang'pian
枪铜,qiang'tong
切包脚位,qie'bao'jiao'wei
切底线,qie'di'xian
切二合一超宽,qie'er'he'yi'chao'kuan
