暗埋段,an'mai'duan
里程计,li'cheng'ji
励磁机,li'ci'ji
离合器,li'he'qi
犁铧,li'hua
犁铧除雪器,li'hua'chu'xue'qi
立交涵,li'jiao'han
离心精滤器,li'xin'jing'lv'qi
离心式鼓风机,li'xin'shi'gu'feng'ji
离心涡轮变矩器,li'xin'wo'lun'bian'ju'qi
利用率,li'yong'lv
立置简形,li'zhi'jian'xing
连动杆,lian'dong'gan
连杆长度,lian'gan'chang'du
连挂,lian'gua
连接盘,lian'jie'pan
连接箱,lian'jie'xiang
连接装置,lian'jie'zhuang'zhi
联锁触头,lian'suo'chu'tou
联锁式车钩,lian'suo'shi'che'gou
联系轮,lian'xi'lun
两处驻班制超长交路,liang'chu'zhu'ban'zhi'chao'chang'jiao'lu
辆数,liang'shu
列车管,lie'che'guan
列车管压力,lie'che'guan'ya'li
列车监控,lie'che'jian'kong
列车溜逸,lie'che'liu'yi
列车牵引,lie'che'qian'yin
列车牵引计算规程,lie'che'qian'yin'ji'suan'gui'cheng
列车通行,lie'che'tong'xing
列车诊断,lie'che'zhen'duan
零担办公车,ling'dan'ban'gong'che
零位,ling'wei
流动阻力,liu'dong'zu'li
流线罩,liu'xian'zhao
溜逸,liu'yi
六轴车,liu'zhou'che
柳州铁路局,liu'zhou'tie'lu'ju
漏斗形,lou'dou'xing
路堤,lu'di
路徽,lu'hui
路基,lu'ji
庐山号,lu'shan'hao
轮乘制,lun'cheng'zhi
轮对横动量,lun'dui'heng'dong'liang
轮对横移,lun'dui'heng'yi
轮对空心轴驱动装置,lun'dui'kong'xin'zhou'qu'dong'zhuang'zhi
轮对自由横动量,lun'dui'zi'you'heng'dong'liang
轮辐,lun'fu
轮毂,lun'gu
轮箍,lun'gu
轮轨,lun'gui
轮辋,lun'wang
轮心,lun'xin
轮缘,lun'yuan
轮缘角,lun'yuan'jiao
轮缘磨耗,lun'yuan'mo'hao
轮缘偏磨,lun'yuan'pian'mo
轮缘涂油器,lun'yuan'tu'you'qi
螺杆式空气压缩机,luo'gan'shi'kong'qi'ya'suo'ji
落轮坑,luo'lun'keng
落下孔车,luo'xia'kong'che
螺旋伞齿轮,luo'xuan'san'chi'lun
滤波电路,lv'bo'dian'lu
铝合金车窗,lv'he'jin'che'chuang
铝合金浴盆,lv'he'jin'yu'pen
旅客,lv'ke
滤清器,lv'qing'qi
滤清器体,lv'qing'qi'ti
滤网,lv'wang
滤芯,lv'xin
滤芯组,lv'xin'zu
旅游客车,lv'you'ke'che
盲沟,mang'gou
煤车,mei'che
煤烟,mei'yan
每周车,mei'zhou'che
门扇,men'shan
密闭式塞拉门,mi'bi'shi'sai'la'men
密封圈,mi'feng'quan
迷宫式轴箱,mi'gong'shi'zhou'xiang
米轨棚车,mi'gui'peng'che
灭孤装置,mie'gu'zhuang'zhi
磨耗形,mo'hao'xing
磨耗形踏面,mo'hao'xing'ta'mian
模式曲线,mo'shi'qu'xian
模式限速值,mo'shi'xian'su'zhi
耐腐蚀,nai'fu'shi
南昌号,nan'chang'hao
南昌铁路局,nan'chang'tie'lu'ju
南京浦镇车辆厂,nan'jing'pu'zhen'che'liang'chang
南昆铁路,nan'kun'tie'lu
内部设备,nei'bu'she'bei
内翻式,nei'fan'shi
内翻式车窗,nei'fan'shi'che'chuang
内燃动车组,nei'ran'dong'che'zu
内燃机车,nei'ran'ji'che
内燃机车电路,nei'ran'ji'che'dian'lu
内燃机车电器,nei'ran'ji'che'dian'qi
内燃机车继电器,nei'ran'ji'che'ji'dian'qi
内燃牵引,nei'ran'qian'yin
逆止阀,ni'zhi'fa
黏着,nian'zhe
黏着控制系统,nian'zhe'kong'zhi'xi'tong
黏着利用率,nian'zhe'li'yong'lv
黏着力,nian'zhuo'li
扭杆,niu'gan
扭杆端,niu'gan'duan
扭振,niu'zhen
扭轴,niu'zhou
耦合工况,ou'he'gong'kuang
耦合器,ou'he'qi
耦合器工况,ou'he'qi'gong'kuang
排风道,pai'feng'dao
排气,pai'qi
排气压力,pai'qi'ya'li
排水阀,pai'shui'fa
排水沟,pai'shui'gou
排水塞门,pai'shui'sai'men
排水系统,pai'shui'xi'tong
排油管,pai'you'guan
盘式制动,pan'shi'zhi'dong
盘式制动装置,pan'shi'zhi'dong'zhuang'zhi
盘形件,pan'xing'jian
盘形制动,pan'xing'zhi'dong
旁承,pang'cheng
配属车,pei'shu'che
喷油泵,pen'you'beng
喷嘴,pen'zui
棚车,peng'che
膨胀水箱,peng'zhang'shui'xiang
偏移量,pian'yi'liang
平板式,ping'ban'shi
平车,ping'che
平交道口,ping'jiao'dao'kou
平均有效压力,ping'jun'you'xiao'ya'li
平均指示压力,ping'jun'zhi'shi'ya'li
平面底架,ping'mian'di'jia
屏幕显示器,ping'mu'xian'shi'qi
平直道,ping'zhi'dao
坡道,po'dao
铺轨,pu'gui
普快,pu'kuai
普快车次,pu'kuai'che'ci
铺砌,pu'qi
普速,pu'su
普速动车组,pu'su'dong'che'zu
普天号,pu'tian'hao
普通型,pu'tong'xing
起动,qi'dong
起动力矩,qi'dong'li'ju
气动塞拉门,qi'dong'sai'la'men
汽缸,qi'gang
气缸盖,qi'gang'gai
气缸工作容积,qi'gang'gong'zuo'rong'ji
气缸数,qi'gang'shu
气缸套,qi'gang'tao
气缸直径,qi'gang'zhi'jing
气缸中心距,qi'gang'zhong'xin'ju
汽门,qi'men
气密式,qi'mi'shi
气密式风档,qi'mi'shi'feng'dang
气密性,qi'mi'xing
汽囊,qi'nang
汽泡,qi'pao
汽室,qi'shi
起重机械,qi'zhong'ji'xie
前方信号机,qian'fang'xin'hao'ji
钳夹车,qian'jia'che
前进,qian'jin
前进位,qian'jin'wei
钳形梁,qian'xing'liang
牵引,qian'yin
牵引齿轮,qian'yin'chi'lun
牵引电动机,qian'yin'dian'dong'ji
牵引电动机半悬挂,qian'yin'dian'dong'ji'ban'xuan'gua
牵引电动机全悬挂,qian'yin'dian'dong'ji'quan'xuan'gua
牵引电动机悬挂,qian'yin'dian'dong'ji'xuan'gua
牵引电机,qian'yin'dian'ji
牵引电流,qian'yin'dian'liu
牵引工况,qian'yin'gong'kuang
牵引功率,qian'yin'gong'lv
牵引机车,qian'yin'ji'che
牵引力,qian'yin'li
牵引能力,qian'yin'neng'li
牵引制动别,qian'yin'zhi'dong'bie
牵引总重,qian'yin'zong'zhong
前制,qian'zhi
前中冷器,qian'zhong'leng'qi
墙板式,qiang'ban'shi
桥梁,qiao'liang
壳体,qiao'ti
切削量,qie'xiao'liang
秦沈客运专线,qin'shen'ke'yun'zhuan'xian
轻抽用罐车,qing'chou'yong'guan'che
青岛四方机车车辆厂,qing'dao'si'fang'ji'che'che'liang'chang
轻轨,qing'gui
青藏高原型,qing'zang'gao'yuan'xing
青藏铁路,qing'zang'tie'lu
青藏铁路公司,qing'zang'tie'lu'gong'si
青藏线,qing'zang'xian
球面心盘,qiu'mian'xin'pan
曲柄半径,qu'bing'ban'jing
驱动轮,qu'dong'lun
驱动装置,qu'dong'zhuang'zhi
区段,qu'duan
区段站,qu'duan'zhan
取暖,qu'nuan
曲线形,qu'xian'xing
全长,quan'chang
全钢车,quan'gang'che
全钢浴盆,quan'gang'yu'pen
全寿命期,quan'shou'ming'qi
全悬挂,quan'xuan'gua
裙板,qun'ban
燃烧膨胀,ran'shao'peng'zhang
燃油泵,ran'you'beng
燃油粗滤器,ran'you'cu'lv'qi
燃油输送泵,ran'you'shu'song'beng
燃油系统,ran'you'xi'tong
燃油箱,ran'you'xiang
燃油消耗率,ran'you'xiao'hao'lv
燃油预热器,ran'you'yu're'qi
热负荷,re'fu'he
热交换器,re'jiao'huan'qi
热力循环,re'li'xun'huan
热水总管,re'shui'zong'guan
热效率,re'xiao'lv
人工拨轨,ren'gong'bo'gui
人工操纵,ren'gong'cao'zong
人民铁道,ren'min'tie'dao
日常维修,ri'chang'wei'xiu
容积,rong'ji
软卧车,ruan'wo'che
软卧车定员,ruan'wo'che'ding'yuan
软座车,ruan'zuo'che
软座车定员,ruan'zuo'che'ding'yuan
润滑剂,run'hua'ji
润滑系统,run'hua'xi'tong
润滑油,run'hua'you
润滑油系统,run'hua'you'xi'tong
润滑脂,run'hua'zhi
润滑装置,run'hua'zhuang'zhi
撒砂阀,sa'sha'fa
撒砂控制,sa'sha'kong'zhi
撒砂装置,sa'sha'zhuang'zhi
塞拉门,sai'la'men
三班包乘,san'ban'bao'cheng
三缸,san'gang
三茂铁路,san'mao'tie'lu
散热片,san're'pian
散热器,san're'qi
散热条件,san're'tiao'jian
散热装置,san're'zhuang'zhi
三轴转向架,san'zhou'zhuan'xiang'jia
砂箱,sha'xiang
山岭隧道,shan'ling'sui'dao
上海铁路局,shang'hai'tie'lu'ju
韶山,shao'shan
沈阳铁路局,shen'yang'tie'lu'ju
神州号,shen'zhou'hao
事故状态记录器,shi'gu'zhuang'tai'ji'lu'qi
石涵,shi'han
实际速度,shi'ji'su'du
实际速度指针,shi'ji'su'du'zhi'zhen
时间,shi'jian
事件打点记录,shi'jian'da'dian'ji'lu
时间继电器,shi'jian'ji'dian'qi
试验车,shi'yan'che
实验车,shi'yan'che
手把,shou'ba
手动按钮,shou'dong'an'niu
手动对开外端双拉门,shou'dong'dui'kai'wai'duan'shuang'la'men
手动功能,shou'dong'gong'neng
收轨,shou'gui
寿命期成本,shou'ming'qi'cheng'ben
手制动机,shou'zhi'dong'ji
输出状况,shu'chu'zhuang'kuang
数码显示器,shu'ma'xian'shi'qi
拴马环,shuan'ma'huan
双层包房软座车,shuang'ceng'bao'fang'ruan'zuo'che
双层餐车,shuang'ceng'can'che
双层车,shuang'ceng'che
双层客车,shuang'ceng'ke'che
双层软座车,shuang'ceng'ruan'zuo'che
双层软座行李合造车,shuang'ceng'ruan'zuo'xing'li'he'zao'che
双层卧铺客车,shuang'ceng'wo'pu'ke'che
双层硬座车,shuang'ceng'ying'zuo'che
双孔,shuang'kong
双曲叶片,shuang'qu'ye'pian
双线,shuang'xian
双线电气化,shuang'xian'dian'qi'hua
双线隧道,shuang'xian'sui'dao
双循环水路,shuang'xun'huan'shui'lu
双针速度表,shuang'zhen'su'du'biao
水底隧道,shui'di'sui'dao
水冷却,shui'leng'que
水冷却系统,shui'leng'que'xi'tong
水泥车,shui'ni'che
水泥罐车,shui'ni'guan'che
水温继电器,shui'wen'ji'dian'qi
水循环系统,shui'xun'huan'xi'tong
四班包乘,si'ban'bao'cheng
四冲程柴油机,si'chong'cheng'chai'you'ji
四缸,si'gang
司机,si'ji
司机操作装置状况,si'ji'cao'zuo'zhuang'zhi'zhuang'kuang
司机号,si'ji'hao
司机控制器,si'ji'kong'zhi'qi
司机室,si'ji'shi
四轴车,si'zhou'che
四轴转向,si'zhou'zhuan'xiang
送风方式,song'feng'fang'shi
送风量,song'feng'liang
速度传感器,su'du'chuan'gan'qi
宿营车,su'ying'che
酸类罐车,suan'lei'guan'che
随乘制超长交路,sui'cheng'zhi'chao'chang'jiao'lu
隧道,sui'dao
随员室,sui'yuan'shi
锁定车,suo'ding'che
锁定缓冲装置,suo'ding'huan'chong'zhuang'zhi
所属铁路局,suo'shu'tie'lu'ju
踏面,ta'mian
台车,tai'che
太行,tai'hang
太原铁路局,tai'yuan'tie'lu'ju
弹性横动,tan'xing'heng'dong
弹性横动量,tan'xing'heng'dong'liang
弹性元件,tan'xing'yuan'jian
唐山轨道客车,tang'shan'gui'dao'ke'che
唐山机车车辆厂,tang'shan'ji'che'che'liang'chang
特长隧道,te'chang'sui'dao
特定货物,te'ding'huo'wu
特快列车,te'kuai'lie'che
特殊标记,te'shu'biao'ji
特殊服务,te'shu'fu'wu
特殊平车,te'shu'ping'che
特种车,te'zhong'che
特种车辆,te'zhong'che'liang
特种货车,te'zhong'huo'che
特种平车,te'zhong'ping'che
特种用途货车,te'zhong'yong'tu'huo'che
体悬式,ti'xuan'shi
体悬式悬挂,ti'xuan'shi'xuan'gua
调机,tiao'ji
调节电路,tiao'jie'dian'lu
调节装置,tiao'jie'zhuang'zhi
调速,tiao'su
眺望窗,tiao'wang'chuang
调压器,tiao'ya'qi
调整阀,tiao'zheng'fa
铁路车辆,tie'lu'che'liang
铁路工程技术规范,tie'lu'gong'cheng'ji'shu'gui'fan
铁路罐车,tie'lu'guan'che
铁路货车,tie'lu'huo'che
铁路局,tie'lu'ju
铁路客车,tie'lu'ke'che
铁路桥梁,tie'lu'qiao'liang
铁路设计技术规范,tie'lu'she'ji'ji'shu'gui'fan
铁路隧道,tie'lu'sui'dao
铁路线路,tie'lu'xian'lu
铁路线路设计规范,tie'lu'xian'lu'she'ji'gui'fan
铁路运量,tie'lu'yun'liang
停车,ting'che
同步工况,tong'bu'gong'kuang
通道,tong'dao
通风,tong'feng
通风窗,tong'feng'chuang
通风方式,tong'feng'fang'shi
通风机,tong'feng'ji
通风冷却,tong'feng'leng'que
通风冷却系统,tong'feng'leng'que'xi'tong
通风设备,tong'feng'she'bei
通风系统,tong'feng'xi'tong
通风装置,tong'feng'zhuang'zhi
通气装置,tong'qi'zhuang'zhi
通透性,tong'tou'xing
通信信号设备,tong'xin'xin'hao'she'bei
通讯干扰,tong'xun'gan'rao
通用敞车,tong'yong'chang'che
通用货车,tong'yong'huo'che
通用集装箱,tong'yong'ji'zhuang'xiang
透明玻璃,tou'ming'bo'li
涂油器,tu'you'qi
拖车,tuo'che
脱轨,tuo'gui
托梁,tuo'liang
挖掘进度,wa'jue'jin'du
外部系统,wai'bu'xi'tong
万向轴,wan'xiang'zhou
网侧损耗,wang'ce'sun'hao
往复活塞式空气压缩机,wang'fu'huo'sai'shi'kong'qi'ya'suo'ji
网式空气滤清器,wang'shi'kong'qi'lv'qing'qi
尾车,wei'che
微机控制系统,wei'ji'kong'zhi'xi'tong
卫生间,wei'sheng'jian
维修,wei'xiu
维修车,wei'xiu'che
维修人员,wei'xiu'ren'yuan
温度控制阀,wen'du'kong'zhi'fa
文教车,wen'jiao'che
涡轮,wo'lun
卧铺,wo'pu
无冲击工况,wu'chong'ji'gong'kuang
无触点电器,wu'chu'dian'dian'qi
无导框定位,wu'dao'kuang'ding'wei
无缝线路,wu'feng'xian'lu
武汉铁路局,wu'han'tie'lu'ju
无级调速,wu'ji'tiao'su
无级调速驱动器,wu'ji'tiao'su'qu'dong'qi
乌鲁木齐铁路局,wu'lu'mu'qi'tie'lu'ju
无线传输系统,wu'xian'chuan'shu'xi'tong
无线电话系统,wu'xian'dian'hua'xi'tong
无线通信,wu'xian'tong'xin
西安铁路局,xi'an'tie'lu'ju
洗脸间,xi'lian'jian
西门子公司,xi'men'zi'gong'si
西门子内燃机车,xi'men'zi'nei'ran'ji'che
洗面室,xi'mian'shi
吸水管,xi'shui'guan
吸油道,xi'you'dao
先锋号,xian'feng'hao
限界检查车,xian'jie'jian'cha'che
线路长度,xian'lu'chang'du
线路公里标,xian'lu'gong'li'biao
线路故障,xian'lu'gu'zhang
线路最大坡度,xian'lu'zui'da'po'du
显示,xian'shi
显示功能,xian'shi'gong'neng
显示装置,xian'shi'zhuang'zhi
限速值,xian'su'zhi
限制速度,xian'zhi'su'du
香港九广铁路公司,xiang'gang'jiu'guang'tie'lu'gong'si
箱涵,xiang'han
橡胶衬套,xiang'jiao'chen'tao
橡胶块,xiang'jiao'kuai
相控机车,xiang'kong'ji'che
箱式,xiang'shi
向心涡轮变矩器,xiang'xin'wo'lun'bian'ju'qi
小齿轮,xiao'chi'lun
小底架,xiao'di'jia
销环,xiao'huan
小修,xiao'xiu
小修库,xiao'xiu'ku
小运转交路,xiao'yun'zhuan'jiao'lu
斜度,xie'du
卸轨,xie'gui
芯杆,xin'gan
信号灯,xin'hao'deng
信号机,xin'hao'ji
信号检测,xin'hao'jian'ce
信号桥,xin'hao'qiao
信号设备,xin'hao'she'bei
信号托架,xin'hao'tuo'jia
信号装置,xin'hao'zhuang'zhi
新曙光,xin'shu'guang
新曙光号,xin'shu'guang'hao
信息系统,xin'xi'xi'tong
行包快运棚车,xing'bao'kuai'yun'peng'che
行车,xing'che
行车安全,xing'che'an'quan
行车安全监测系统,xing'che'an'quan'jian'ce'xi'tong
行车安全监测诊断系统,xing'che'an'quan'jian'ce'zhen'duan'xi'tong
行车费用,xing'che'fei'yong
型号,xing'hao
星火,xing'huo
行李车,xing'li'che
行李架,xing'li'jia
休息室,xiu'xi'shi
蓄电池,xu'dian'chi
蓄电池电动平车,xu'dian'chi'dian'dong'ping'che
悬吊,xuan'diao
悬吊装置,xuan'diao'zhuang'zhi
旋风式除尘器,xuan'feng'shi'chu'chen'qi
悬挂装置,xuan'gua'zhuang'zhi
旋轮里程,xuan'lun'li'cheng
循环回路,xun'huan'hui'lu
循环腔,xun'huan'qiang
循环式,xun'huan'shi
循环式短交路,xun'huan'shi'duan'jiao'lu
循环水路,xun'huan'shui'lu
循环圆,xun'huan'yuan
循环运转制,xun'huan'yun'zhuan'zhi
循环指示功,xun'huan'zhi'shi'gong
压盖,ya'gai
压力传感器,ya'li'chuan'gan'qi
压力继电器,ya'li'ji'dian'qi
压力信号,ya'li'xin'hao
压水阀,ya'shui'fa
压缩,ya'suo
压缩比,ya'suo'bi
压缩空气,ya'suo'kong'qi
压缩空气系统,ya'suo'kong'qi'xi'tong
压缩气体罐车,ya'suo'qi'ti'guan'che
烟囱,yan'cong
烟火,yan'huo
烟火报警系统,yan'huo'bao'jing'xi'tong
仰拱,yang'gong
仰坡,yang'po
液传,ye'chuan
液力变矩器,ye'li'bian'ju'qi
液力传动,ye'li'chuan'dong
液力传动机车,ye'li'chuan'dong'ji'che
液力传动装置,ye'li'chuan'dong'zhuang'zhi
液力耦合器,ye'li'ou'he'qi
液力驱动,ye'li'qu'dong
液力元件,ye'li'yuan'jian
液力制动器,ye'li'zhi'dong'qi
叶轮,ye'lun
叶片,ye'pian
液压泵,ye'ya'beng
液压阀,ye'ya'fa
液压缸,ye'ya'gang
液压马达,ye'ya'ma'da
液压旁承,ye'ya'pang'cheng
液压驱动,ye'ya'qu'dong
液压设备,ye'ya'she'bei
液压油缸,ye'ya'you'gang
异常状况,yi'chang'zhuang'kuang
一等软座车,yi'deng'ruan'zuo'che
翼墙,yi'qiang
一位端,yi'wei'duan
医务车,yi'wu'che
一系静挠度,yi'xi'jing'nao'du
一系悬挂,yi'xi'xuan'gua
隐形风口,yin'xing'feng'kou
硬卧车,ying'wo'che
硬卧车定员,ying'wo'che'ding'yuan
硬座车,ying'zuo'che
硬座车定员,ying'zuo'che'ding'yuan
用风装置,yong'feng'zhuang'zhi
油标室,you'biao'shi
有触点电器,you'chu'dian'dian'qi
油底壳,you'di'ke
有级调速,you'ji'tiao'su
油孔,you'kong
油膜,you'mo
油水分离器,you'shui'fen'li'qi
油水热交换器,you'shui're'jiao'huan'qi
油温,you'wen
有线电话系统,you'xian'dian'hua'xi'tong
有限调节式,you'xian'tiao'jie'shi
油箱,you'xiang
有效参数,you'xiao'can'shu
有效功,you'xiao'gong
有效功率,you'xiao'gong'lv
有效热效率,you'xiao're'xiao'lv
油压,you'ya
油压继电器,you'ya'ji'dian'qi
邮政车,you'zheng'che
预热器,yu're'qi
预热系统,yu're'xi'tong
预热油路,yu're'you'lu
元宝车,yuan'bao'che
原边牵引电流,yuan'bian'qian'yin'dian'liu
圆涵,yuan'han
圆销,yuan'xiao
跃进,yue'jin
越岭隧道,yue'ling'sui'dao
运煤专线,yun'mei'zhuan'xian
运煤专用敞车,yun'mei'zhuan'yong'chang'che
运输,yun'shu
运输密度,yun'shu'mi'du
运输能力,yun'shu'neng'li
运行,yun'xing
运行管理,yun'xing'guan'li
运行距离,yun'xing'ju'li
运行平顺,yun'xing'ping'shun
运行平稳性,yun'xing'ping'wen'xing
运行前后,yun'xing'qian'hou
运行前后方向别,yun'xing'qian'hou'fang'xiang'bie
运行实际速度,yun'xing'shi'ji'su'du
运行速度,yun'xing'su'du
运行条件,yun'xing'tiao'jian
运行性能,yun'xing'xing'neng
运行质量,yun'xing'zhi'liang
允许缓解,yun'xu'huan'jie
运营费用,yun'ying'fei'yong
运营速度,yun'ying'su'du
运用有效功率,yun'yong'you'xiao'gong'lv
运转方式,yun'zhuan'fang'shi
运转位,yun'zhuan'wei
运转制,yun'zhuan'zhi
载荷,zai'he
再生制动,zai'sheng'zhi'dong
载重,zai'zhong
载重力,zai'zhong'li
载重量,zai'zhong'liang
增压空气,zeng'ya'kong'qi
增压器,zeng'ya'qi
闸瓦,zha'wa
窄轨车,zhai'gui'che
站台高度,zhan'tai'gao'du
粘油用罐车,zhan'you'yong'guan'che
长大货物,zhang'da'huo'wu
长大货物车,zhang'da'huo'wu'che
长大平板车,zhang'da'ping'ban'che
长大平车,zhang'da'ping'che
照明设备,zhao'ming'she'bei
折返段,zhe'fan'duan
折棚风挡,zhe'peng'feng'dang
折棚门,zhe'peng'men
折棚式密封风挡,zhe'peng'shi'mi'feng'feng'dang
折页门,zhe'ye'men
折页式车门,zhe'ye'shi'che'men
真空集便器,zhen'kong'ji'bian'qi
枕木,zhen'mu
整列车,zheng'lie'che
整流装置,zheng'liu'zhuang'zhi
蒸汽机车,zheng'qi'ji'che
蒸汽牵引,zheng'qi'qian'yin
郑州铁路局,zheng'zhou'tie'lu'ju
正转变矩器,zheng'zhuan'bian'ju'qi
支承点,zhi'cheng'dian
支撑管,zhi'cheng'guan
支承距,zhi'cheng'ju
支承网,zhi'cheng'wang
支撑物,zhi'cheng'wu
支撑油缸,zhi'cheng'you'gang
直达特快列车,zhi'da'te'kuai'lie'che
制动,zhi'dong
制动阀,zhi'dong'fa
制动缸传感器,zhi'dong'gang'chuan'gan'qi
制动缸压力,zhi'dong'gang'ya'li
制动工况,zhi'dong'gong'kuang
制动过流继电器,zhi'dong'guo'liu'ji'dian'qi
制动机,zhi'dong'ji
制动控制阀,zhi'dong'kong'zhi'fa
制动力,zhi'dong'li
制动位,zhi'dong'wei
制动系统,zhi'dong'xi'tong
制动型式,zhi'dong'xing'shi
制动装置,zhi'dong'zhuang'zhi
制动作用,zhi'dong'zuo'yong
支护,zhi'hu
止回阀,zhi'hui'fa
指挥作业,zhi'hui'zuo'ye
直接驱动,zhi'jie'qu'dong
制冷设备,zhi'leng'she'bei
指令线,zhi'ling'xian
直流传动,zhi'liu'chuan'dong
直流电机,zhi'liu'dian'ji
指示参数,zhi'shi'can'shu
指示功,zhi'shi'gong
指示热效率,zhi'shi're'xiao'lv
直通车,zhi'tong'che
中层,zhong'ceng
中车,zhong'che
中墩,zhong'dun
中盖,zhong'gai
中国铁道部,zhong'guo'tie'dao'bu
中国铁路,zhong'guo'tie'lu
中华之星,zhong'hua'zhi'xing
中华之星号,zhong'hua'zhi'xing'hao
中间继电器,zhong'jian'ji'dian'qi
中检库,zhong'jian'ku
中间冷却,zhong'jian'leng'que
中间梁,zhong'jian'liang
中检棚,zhong'jian'peng
中间轴,zhong'jian'zhou
中冷器,zhong'leng'qi
中隧道,zhong'sui'dao
中途驻班制超长交路,zhong'tu'zhu'ban'zhi'chao'chang'jiao'lu
中温冷却,zhong'wen'leng'que
中修,zhong'xiu
中修库,zhong'xiu'ku
中原之星,zhong'yuan'zhi'xing
轴报,zhou'bao
轴承化,zhou'cheng'hua
轴颈,zhou'jing
轴流式风扇,zhou'liu'shi'feng'shan
轴流式工作轮,zhou'liu'shi'gong'zuo'lun
轴流式鼓风机,zhou'liu'shi'gu'feng'ji
轴流涡轮变矩器,zhou'liu'wo'lun'bian'ju'qi
轴面,zhou'mian
轴式,zhou'shi
轴套,zhou'tao
轴线,zhou'xian
轴箱,zhou'xiang
轴箱弹簧,zhou'xiang'tan'huang
轴悬式,zhou'xuan'shi
轴悬式悬挂,zhou'xuan'shi'xuan'gua
轴重,zhou'zhong
驻班,zhu'ban
主触头,zhu'chu'tou
主电路,zhu'dian'lu
主电路接地保护,zhu'dian'lu'jie'di'bao'hu
主发电机,zhu'fa'dian'ji
主干线,zhu'gan'xian
主机箱,zhu'ji'xiang
主机油泵,zhu'ji'you'beng
注汽,zhu'qi
主手柄,zhu'shou'bing
主水泵,zhu'shui'beng
主型车,zhu'xing'che
主型客车,zhu'xing'ke'che
主循环水路,zhu'xun'huan'shui'lu
株洲电力机车厂,zhu'zhou'dian'li'ji'che'chang
柱状叶片,zhu'zhuang'ye'pian
转臂式无磨耗轴箱,zhuan'bi'shi'wu'mo'hao'zhou'xiang
转车盘,zhuan'che'pan
砖涵,zhuan'han
转换开关,zhuan'huan'kai'guan
转换效率,zhuan'huan'xiao'lv
转矩,zhuan'ju
转轮式除雪车,zhuan'lun'shi'chu'xue'che
转速比,zhuan'su'bi
转速差,zhuan'su'cha
转向架,zhuan'xiang'jia
转向架传感器,zhuan'xiang'jia'chuan'gan'qi
专用货车,zhuan'yong'huo'che
专用设备,zhuan'yong'she'bei
装碴,zhuang'cha
状态参数,zhuang'tai'can'shu
装卸口,zhuang'xie'kou
装药,zhuang'yao
装载,zhuang'zai
装置报警,zhuang'zhi'bao'jing
装置故障信息,zhuang'zhi'gu'zhang'xin'xi
装置驱动,zhuang'zhi'qu'dong
装置状况,zhuang'zhi'zhuang'kuang
锥孔,zhui'kong
锥形路面,zhui'xing'lu'mian
锥形踏面,zhui'xing'ta'mian
准高客年,zhun'gao'ke'nian
准高速,zhun'gao'su
准高速客车,zhun'gao'su'ke'che
准高速列车,zhun'gao'su'lie'che
准高速铁路,zhun'gao'su'tie'lu
准轨车,zhun'gui'che
自带能源,zi'dai'neng'yuan
自动补水,zi'dong'bu'shui
自动车钩,zi'dong'che'gou
自动端拉门,zi'dong'duan'la'men
自动感应控制门,zi'dong'gan'ying'kong'zhi'men
自动降功率,zi'dong'jiang'gong'lv
自动门,zi'dong'men
自动调节式,zi'dong'tiao'jie'shi
自身电耗,zi'shen'dian'hao
自通风式,zi'tong'feng'shi
自由横动量,zi'you'heng'dong'liang
自重,zi'zhong
自重系数,zi'zhong'xi'shu
总风缸,zong'feng'gang
总静挠度,zong'jing'nao'du
纵向,zong'xiang
纵向坡度,zong'xiang'po'du
纵向牵引力,zong'xiang'qian'yin'li
纵向载荷,zong'xiang'zai'he
总效率,zong'xiao'lv
走行部,zou'xing'bu
走行质量,zou'xing'zhi'liang
组合接触器,zu'he'jie'chu'qi
组合铝窗,zu'he'lv'chuang
阻尼力,zu'ni'li
钻爆法,zuan'bao'fa
钻臂,zuan'bi
钻孔,zuan'kong
钻孔台车,zuan'kong'tai'che
最大编组,zui'da'bian'zu
最大偏移量,zui'da'pian'yi'liang
最大时速,zui'da'shi'su
最大相对湿度,zui'da'xiang'dui'shi'du
最大允许速度,zui'da'yun'xu'su'du
最大运营速度,zui'da'yun'ying'su'du
最高爆发压力,zui'gao'bao'fa'ya'li
最高燃烧压力,zui'gao'ran'shao'ya'li
最高设计速度,zui'gao'she'ji'su'du
最高试验速度,zui'gao'shi'yan'su'du
最高速度,zui'gao'su'du
最高运行时速,zui'gao'yun'xing'shi'su
最高允许值,zui'gao'yun'xu'zhi
最高运用速度,zui'gao'yun'yong'su'du
最佳工况,zui'jia'gong'kuang
最小曲线半径,zui'xiao'qu'xian'ban'jing
座席,zuo'xi
作业地点,zuo'ye'di'dian
作业时间,zuo'ye'shi'jian
