挨黑打,ai'hei'da
神戳戳,shen'chuo'chuo
神措措,shen'cuo'cuo
神撮撮,shen'cuo'cuo
婶儿,shen'er
神咣咣,shen'guang'guang
伸手大将军,shen'shou'da'jiang'jun
身体瞥,shen'ti'pie
生意瞥,sheng'yi'pie
生意秋,sheng'yi'qiu
生意烫,sheng'yi'tang
屎粑粑,shi'ba'ba
是不是啥子,shi'bu'shi'sha'zi
是勒,shi'le
视频嗦,shi'pin'suo
事情堆起,shi'qing'dui'qi
十圈儿,shi'quan'er
湿洼洼,shi'wa'wa
收秤,shou'cheng
手倒拐,shou'dao'guai
手指拇,shou'zhi'mu
熟筋,shu'jin
书气,shu'qi
熟人熟事的,shu'ren'shu'shi'de
输脱,shu'tuo
耍出事,shua'chu'shi
耍了朋友的,shua'le'peng'you'de
耍朋友,shua'peng'you
耍长了,shua'zhang'le
甩都不甩,shuai'dou'bu'shuai
甩火腿,shuai'huo'tui
涮坛子,shuan'tan'zi
睡戳咯,shui'chuo'ge
水荡荡,shui'dang'dang
水凼凼,shui'dang'dang
水的很,shui'de'hen
睡告告,shui'gao'gao
水叶子,shui'ye'zi
水叶子面,shui'ye'zi'mian
睡着了所,shui'zhao'le'suo
说不称投,shuo'bu'cheng'tou
说锤子,shuo'chui'zi
说勒西,shuo'le'xi
说起都烦,shuo'qi'dou'fan
说求得,shuo'qiu'de
私活路,si'huo'lu
死皮赖活,si'pi'lai'huo
丝袜子,si'wa'zi
厮娃子,si'wa'zi
私娃子,si'wa'zi
松活,song'huo
算球,suan'qiu
算坛子,suan'tan'zi
蒜头儿,suan'tou'er
笋子熬肉,sun'zi'ao'rou
梭边鱼,suo'bian'yu
梭老二,suo'lao'er
梭梭板,suo'suo'ban
梭叶子,suo'ye'zi
梭夜子,suo'ye'zi
梭椰子,suo'ye'zi
睃一哈,suo'yi'ha
睃一下,suo'yi'xia
她日妈,ta'ri'ma
他是冷个,ta'shi'leng'ge
塌塌,ta'ta
挞挞面,ta'ta'mian
踏谑,ta'xue
胎神,tai'shen
摊摊,tan'tan
汤圆粉子,tang'yuan'fen'zi
讨口,tao'kou
讨口子,tao'kou'zi
忒儿宝,tei'er'bao
藤藤菜,teng'teng'cai
蹄花,ti'hua
提劲,ti'jin
提劲打靶,ti'jin'da'ba
天棒,tian'bang
天棒槌,tian'bang'chui
天老爷,tian'lao'ye
甜皮鸭,tian'pi'ya
天台山镇,tian'tai'shan'zhen
挑挑儿,tiao'tiao'er
筒筒饭,tong'tong'fan
投耸,tou'song
投怂,tou'song
偷油婆,tou'you'po
土老肥,tu'lao'fei
土老坎,tu'lao'kan
退神光,tui'shen'guang
推屎爬儿,tui'shi'pa'er
托儿车,tuo'er'che
拖孩儿,tuo'hai'er
妥神,tuo'shen
砣砣肉,tuo'tuo'rou
娃儿,wa'er
挖连,wa'lian
洼涟,wa'lian
挖爪,wa'zhao
歪东西,wai'dong'xi
歪货,wai'huo
玩格,wan'ge
晚后天,wan'hou'tian
万精油,wan'jing'you
弯酸,wan'suan
望绿了,wang'lv'le
往年子,wang'nian'zi
网起,wang'qi
网起的,wang'qi'de
忘求咯,wang'qiu'ge
萎缩缩,wei'suo'suo
猥琐琐,wei'suo'suo
威胁我所,wei'xie'wo'suo
温都都的,wen'dou'dou'de
温嘟嘟,wen'du'du
温嘟嘟的,wen'du'du'de
瘟伤,wen'shang
瘟商,wen'shang
瘟猪,wen'zhu
瘟猪子,wen'zhu'zi
翁倒,weng'dao
翁到,weng'dao
窝耙屎,wo'ba'shi
我才不得管,wo'cai'bu'de'guan
我豆来,wo'dou'lai
喔喝,wo'he
我黑凶,wo'hei'xiong
我勒两天,wo'le'liang'tian
窝料,wo'liao
卧龙镇,wo'long'zhen
我没浪个,wo'mei'lang'ge
我们勒点,wo'men'le'dian
我们婆娘,wo'men'po'niang
蜗尿,wo'niao
窝尿,wo'niao
窝屎,wo'shi
窝稀,wo'xi
喔宣宣,wo'xuan'xuan
我遭得,wo'zao'de
我最记得到,wo'zui'ji'de'dao
雾独独,wu'du'du
屋里头,wu'li'tou
污猫皂狗,wu'mao'zao'gou
屋头,wu'tou
乌宣宣,wu'xuan'xuan
屋檐水,wu'yan'shui
稀粑粑,xi'ba'ba
稀粑烂,xi'ba'lan
洗白,xi'bai
西得好,xi'de'hao
喜的好,xi'de'hao
希花儿,xi'hua'er
稀烂,xi'lan
洗脑壳,xi'nao'ke
稀撇,xi'pie
稀瞥,xi'pie
稀奇,xi'qi
稀球,xi'qiu
西脏八脏,xi'zang'ba'zang
洗澡泡菜,xi'zao'pao'cai
下耙蛋,xia'ba'dan
瞎孔,xia'kong
下烂药,xia'lan'yao
下了喃,xia'le'nan
虾爬,xia'pa
下嗓,xia'sang
虾子娃娃,xia'zi'wa'wa
仙人板板,xian'ren'ban'ban
先人板板,xian'ren'ban'ban
仙人摘桃,xian'ren'zhai'tao
向儿葵,xiang'er'kui
响簧,xiang'huang
想精想怪,xiang'jing'xiang'guai
想耍好久,xiang'shua'hao'jiu
相因,xiang'yin
想遭弄,xiang'zao'nong
笑得稀烂,xiao'de'xi'lan
小家把是,xiao'jia'ba'shi
小妹崽,xiao'mei'zai
晓球不得,xiao'qiu'bu'de
宵夜没得,xiao'ye'mei'de
笑遭了,xiao'zao'le
心坎儿,xin'kan'er
心口板板,xin'kou'ban'ban
心口头,xin'kou'tou
心头黑烦,xin'tou'hei'fan
心头有个数,xin'tou'you'ge'shu
醒瞌睡,xing'ke'shui
行实,xing'shi
行唆,xing'suo
星宿子,xing'xiu'zi
凶巴巴,xiong'ba'ba
凶惨老,xiong'can'lao
兄弟些,xiong'di'xie
雄起,xiong'qi
虚儿,xu'er
悬吊吊,xuan'diao'diao
悬吊吊的,xuan'diao'diao'de
悬宰,xuan'zai
学得撇,xue'de'pie
血旺儿,xue'wang'er
讯白,xun'bai
迅白,xun'bai
牙巴,ya'ba
鸭儿,ya'er
呀儿,ya'er
牙尖,ya'jian
牙尖十八怪,ya'jian'shi'ba'guai
牙刷儿,ya'shua'er
雅鱼,ya'yu
烟锅巴,yan'guo'ba
眼火,yan'huo
眼睛下乡,yan'jing'xia'xiang
檐老鼠,yan'lao'shu
眼溜子,yan'liu'zi
眼气,yan'qi
眼水,yan'shui
堰塘,yan'tang
眼眨毛,yan'zha'mao
眼子,yan'zi
言子儿,yan'zi'er
羊安镇,yang'an'zhen
养不家,yang'bu'jia
洋铲,yang'chan
羊儿疯,yang'er'feng
洋马儿,yang'ma'er
洋芋,yang'yu
洋芋花,yang'yu'hua
疡子,yang'zi
样子嗦,yang'zi'suo
幺爸,yao'ba
要本儿,yao'ben'er
要不得嗦,yao'bu'de'suo
幺出去,yao'chu'qu
要得,yao'de
幺儿,yao'er
幺儿子,yao'er'zi
腰杆,yao'gan
妖精十八怪,yao'jing'shi'ba'guai
妖精十怪,yao'jing'shi'guai
腰裤,yao'ku
窑裤,yao'ku
要库尔,yao'ku'er
要来爪子,yao'lai'zhua'zi
幺妹,yao'mei
幺妹儿,yao'mei'er
要哪门,yao'na'men
幺女,yao'nv
幺女子,yao'nv'zi
要球不得,yao'qiu'bu'de
要求喃,yao'qiu'nan
要啥子有啥子,yao'sha'zi'you'sha'zi
腰抬,yao'tai
幺台,yao'tai
妖艳儿,yao'yan'er
幺圆,yao'yuan
要遭弄,yao'zao'nong
野物,ye'wu
夜资,ye'zi
一大坨,yi'da'tuo
一斗碗,yi'dou'wan
一耳屎,yi'er'shi
一个把个,yi'ge'ba'ge
一个们,yi'ge'men
一哈,yi'ha
一哈儿,yi'ha'er
以林,yi'lin
一买卖,yi'mai'mai
意思斗是,yi'si'dou'shi
一斜一斜,yi'xie'yi'xie
阴倒,yin'dao
阴斗,yin'dou
阴悄悄,yin'qiao'qiao
应该不是哟,ying'gai'bu'shi'yo
硬是港,ying'shi'gang
硬是凶,ying'shi'xiong
硬肘,ying'zhou
哟祸,yo'huo
有点贵样,you'dian'gui'yang
有好远哟,you'hao'yuan'yo
油济济,you'ji'ji
有喂,you'wei
有喜了,you'xi'le
有盐有味,you'yan'you'wei
油榨乡,you'zha'xiang
玉带街,yu'dai'jie
遇得倒,yu'de'dao
遇得倒哟,yu'de'dao'yo
芋儿鸡,yu'er'ji
玉麦子,yu'mai'zi
遇求得,yu'qiu'de
院坝,yuan'ba
圆范,yuan'fan
月儿光,yue'er'guang
约会嗦,yue'hui'suo
越看越喜剧,yue'kan'yue'xi'ju
杂的喃,za'de'nan
咋个,za'ge
咋个的嘛,za'ge'de'ma
咋个的喃,za'ge'de'nan
咋个的呢,za'ge'de'ne
咋个儿,za'ge'er
杂个样嘛,za'ge'yang'ma
扎起,za'qi
崽儿,zai'er
栽罪,zai'zui
赞花儿,zan'hua'er
赞林子,zan'lin'zi
赞铃子,zan'ling'zi
遭不住,zao'bu'zhu
唣的很,zao'de'hen
遭得住你哦,zao'de'zhu'ni'o
灶鸡子,zao'ji'zi
灶空,zao'kong
遭勒,zao'le
灶麻子,zao'ma'zi
造孽,zao'nie
遭孽,zao'nie
遭求老,zao'qiu'lao
遭啥子急,zao'sha'zi'ji
遭烧了,zao'shao'le
早十八年,zao'shi'ba'nian
遭摔,zao'shuai
择嘴,ze'zui
贼娃子,zei'wa'zi
炸秤,zha'cheng
扎耳根,zha'er'gen
扎劲,zha'jin
炸洋芋,zha'yang'yu
渣渣,zha'zha
渣渣洼洼,zha'zha'wa'wa
占花儿,zhan'hua'er
站花儿,zhan'hua'er
展劲,zhan'jin
斩劲,zhan'jin
站铃子,zhan'ling'zi
丈把高,zhang'ba'gao
张班子,zhang'ban'zi
掌班子,zhang'ban'zi
长的多乖的,zhang'de'duo'guai'de
长得乖些,zhang'de'guai'xie
张事,zhang'shi
张是,zhang'shi
着火老,zhao'huo'lao
照鸡儿,zhao'ji'er
爪瞌睡,zhao'ke'shui
找妈老汉,zhao'ma'lao'han
爪母儿,zhao'mu'er
爪球,zhao'qiu
找些话来说,zhao'xie'hua'lai'shuo
这回子,zhe'hui'zi
真勒哇,zhen'le'wa
真悬,zhen'xuan
整出切,zheng'chu'qie
整得凶,zheng'de'xiong
整饭,zheng'fan
整酒,zheng'jiu
整嘛,zheng'ma
整哪样,zheng'na'yang
整起切,zheng'qi'qie
支付宝头,zhi'fu'bao'tou
指门儿,zhi'men'er
只难听,zhi'nan'ting
只求烦,zhi'qiu'fan
众块,zhong'kuai
众气,zhong'qi
盅盅,zhong'zhong
中中儿,zhong'zhong'er
竹丝瓷胎,zhu'si'ci'tai
竹笋炒肉,zhu'sun'chao'rou
抓梦脚,zhua'meng'jiao
抓子,zhua'zi
抓子嘛,zhua'zi'ma
爪子嘛,zhua'zi'ma
拽瞌睡,zhuai'ke'shui
拽实,zhuai'shi
赚腾,zhuan'teng
撞棒,zhuang'bang
装疯迷呛,zhuang'feng'mi'qiang
装疯迷窍,zhuang'feng'mi'qiao
装舅子,zhuang'jiu'zi
状块,zhuang'kuai
状气,zhuang'qi
啄木官,zhuo'mu'guan
走狗屎运,zou'gou'shi'yun
走人服,zou'ren'fu
走人户,zou'ren'hu
走展,zou'zhan
租儿,zu'er
昨晚黑,zuo'wan'hei
