暗绿紫堇,an'lv'zi'jin
直穗小檗,zhi'sui'xiao'bo
蜘蛛岩蕨,zhi'zhu'yan'jue
枝子花,zhi'zi'hua
重齿当归,zhong'chi'dang'gui
重大,zhong'da
中国繁缕,zhong'guo'fan'lv
中国旌节花,zhong'guo'jing'jie'hua
中华蕨中华大蕨大扇形叶蕨,zhong'hua'jue'zhong'hua'da'jue'da'shan'xing'ye'jue
中华山荷叶,zhong'hua'shan'he'ye
中生界三迭系,zhong'sheng'jie'san'die'xi
重师,zhong'shi
周飞,zhou'fei
周均,zhou'jun
周义春,zhou'yi'chun
朱庆华,zhu'qing'hua
珠芽艾麻,zhu'ya'ai'ma
朱芽蓼,zhu'ya'liao
珠芽蓼,zhu'ya'liao
猪殃殃,zhu'yang'yang
竹叶龙胆,zhu'ye'long'dan
珠子七,zhu'zi'qi
锥花小檗,zhui'hua'xiao'bo
紫草,zi'cao
紫萼山梅花,zi'e'shan'mei'hua
紫风玲草,zi'feng'ling'cao
紫杆鼠尾,zi'gan'shu'wei
紫果云杉,zi'guo'yun'shan
紫花柳叶菜,zi'hua'liu'ye'cai
紫花鼠尾,zi'hua'shu'wei
紫花碎米荠,zi'hua'sui'mi'ji
紫花卫矛,zi'hua'wei'mao
紫堇,zi'jin
紫兰,zi'lan
紫色报春,zi'se'bao'chun
紫菀,zi'wan
