阿比拉玛勒达,a'bi'la'ma'le'da
卍禁太封,wan'jin'tai'feng
丸山咏二,wan'shan'yong'er
万物皆归于灰烬,wan'wu'jie'gui'yu'hui'jin
汪达怀斯,wang'da'huai'si
王虚的闪光,wang'xu'de'shan'guang
望月久代,wang'yue'jiu'dai
卫门西凛太郎,wei'men'xi'lin'tai'lang
为霜,wei'shuang
嵬腕,wei'wan
握凌铁斋,wo'ling'tie'zhai
握菱铁斋,wo'ling'tie'zhai
乌尔奇奥拉,wu'er'qi'ao'la
乌尔奇奥拉希佛,wu'er'qi'ao'la'xi'fo
乌尔奇奥拉西佛,wu'er'qi'ao'la'xi'fo
五番队牢番,wu'fan'dui'lao'fan
五铗虫,wu'jia'chong
五架缚,wu'jia'fu
乌露,wu'lu
无双阳炎,wu'shuang'yang'yan
无限的滑行,wu'xian'de'hua'xing
无限装填虚闪,wu'xian'zhuang'tian'xu'shan
屋雨,wu'yu
乌织,wu'zhi
五柱铁贯,wu'zhu'tie'guan
西村,xi'cun
西村知道,xi'cun'zhi'dao
西凛太郎,xi'lin'tai'lang
西流魂街的长老,xi'liu'hun'jie'de'zhang'lao
夕暮焰,xi'mu'yan
悉数雷光皆为吾刃,xi'shu'lei'guang'jie'wei'wu'ren
悉数流波皆为吾盾,xi'shu'liu'bo'jie'wei'wu'dun
喜助,xi'zhu
霞大路家,xia'da'lu'jia
霞大路琉璃千代,xia'da'lu'liu'li'qian'dai
夏井真花,xia'jing'zhen'hua
夏梨,xia'li
夏洛特库鲁风,xia'luo'te'ku'lu'feng
下屋则子,xia'wu'ze'zi
现世,xian'shi
仙太郎,xian'tai'lang
相马芳野,xiang'ma'fang'ye
香穗,xiang'sui
响转,xiang'zhuan
小八,xiao'ba
小白,xiao'bai
小菖,xiao'chang
小川,xiao'chuan
小川满,xiao'chuan'man
小川美知留,xiao'chuan'mei'zhi'liu
小椿仙太郎,xiao'chun'xian'tai'lang
小岛,xiao'dao
小岛水色,xiao'dao'shui'se
小岛同学,xiao'dao'tong'xue
小花,xiao'hua
小吉良,xiao'ji'liang
小梨子,xiao'li'zi
小恋,xiao'lian
小琉璃,xiao'liu'li
萧隆库方,xiao'long'ku'fang
小露,xiao'lu
小露女王,xiao'lu'nv'wang
小泉一郎太,xiao'quan'yi'lang'tai
小森田,xiao'sen'tian
小狮郎,xiao'shi'lang
小桃,xiao'tao
小桃子,xiao'tao'zi
小西克幸,xiao'xi'ke'xing
小永,xiao'yong
小雨,xiao'yu
小织,xiao'zhi
小桩,xiao'zhuang
小樁,xiao'zhuang
邪恶玩偶,xie'e'wan'ou
刑军,xing'jun
刑军兵长,xing'jun'bing'zhang
刑战装,xing'zhan'zhuang
兄长大人,xiong'zhang'da'ren
袖白雪,xiu'bai'xue
修兵,xiu'bing
朽木,xiu'mu
朽木白哉,xiu'mu'bai'zai
朽木大人,xiu'mu'da'ren
朽木队长,xiu'mu'dui'zhang
朽木绯真,xiu'mu'fei'zhen
朽木家,xiu'mu'jia
朽木家的家臣,xiu'mu'jia'de'jia'chen
朽木露琦亚,xiu'mu'lu'qi'ya
朽木露琪亚,xiu'mu'lu'qi'ya
朽木同学,xiu'mu'tong'xue
朽木响河,xiu'mu'xiang'he
朽木小姐,xiu'mu'xiao'jie
朽木银铃,xiu'mu'yin'ling
虚弹,xu'dan
戌吊,xu'diao
虚浮,xu'fu
虚化,xu'hua
虚圈,xu'quan
虚闪,xu'shan
虚闪重奏,xu'shan'chong'zou
须王环,xu'wang'huan
续舞,xu'wu
虚虚化,xu'xu'hua
虚夜宫,xu'ye'gong
血霞之盾,xue'xia'zhi'dun
雪野,xue'ye
雪野五月,xue'ye'wu'yue
血月,xue'yue
牙铠士,ya'kai'shi
亚露,ya'lu
亚罗尼洛,ya'luo'ni'luo
牙密,ya'mi
牙密里亚尔戈,ya'mi'li'ya'er'ge
亚丘卡斯,ya'qiu'ka'si
犽翁,ya'weng
压抑言灵,ya'yi'yan'ling
鸭州,ya'zhou
岩鹫,yan'jiu
严灵丸,yan'ling'wan
阎魔蟋蟀,yan'mo'xi'shuai
炎热地狱,yan're'di'yu
野田顺子,ye'tian'shun'zi
夜一,ye'yi
夜一大人,ye'yi'da'ren
夜一大婶,ye'yi'da'shen
夜一姐,ye'yi'jie
夜一先生,ye'yi'xian'sheng
叶云终曲,ye'yun'zhong'qu
曳舟桐生,ye'zhou'tong'sheng
伊板达也,yi'ban'da'ye
一刀火葬,yi'dao'huo'zang
伊尔弗特,yi'er'fu'te
一贯坂,yi'guan'ban
一贯坂慈楼坊,yi'guan'ban'ci'lou'fang
一贯坂兕丹坊,yi'guan'ban'si'dan'fang
义骸,yi'hai
伊鹤,yi'he
一护,yi'hu
一护爸爸,yi'hu'ba'ba
一护哥,yi'hu'ge
一护君,yi'hu'jun
一护妈妈,yi'hu'ma'ma
一护妹妹,yi'hu'mei'mei
一护斩魄刀,yi'hu'zhan'po'dao
义魂丸,yi'hun'wan
伊江村,yi'jiang'cun
伊江村八十千和,yi'jiang'cun'ba'shi'qian'he
一角,yi'jiao
一井,yi'jing
医疗小队,yi'liao'xiao'dui
一露,yi'lu
一露神道,yi'lu'shen'dao
一露天道,yi'lu'tian'dao
一露王道,yi'lu'wang'dao
一露宇宙道,yi'lu'yu'zhou'dao
一茜,yi'qian
伊势七绪,yi'shi'qi'xu
伊藤,yi'teng
伊藤健太郎,yi'teng'jian'tai'lang
伊藤叔叔,yi'teng'shu'shu
一心大叔,yi'xin'da'shu
一织,yi'zhi
一之濑真树,yi'zhi'lai'zhen'shu
银城空吾,yin'cheng'kong'wu
因果之锁,yin'guo'zhi'suo
银岭弧雀,yin'ling'hu'que
银露,yin'lu
银乱,yin'luan
音梦,yin'meng
隐秘机动,yin'mi'ji'dong
银筒,yin'tong
银彦,yin'yan
银子,yin'zi
樱川朝惠,ying'chuan'chao'hui
影鬼,ying'gui
樱井敏治,ying'jing'min'zhi
樱井孝宏,ying'jing'xiao'hong
樱兰高中,ying'lan'gao'zhong
萤蔓,ying'man
咏唱,yong'chang
咏唱的毁弃,yong'chang'de'hui'qi
永山,yong'shan
勇音,yong'yin
佑希,you'xi
有沢竜贵,you'ze'long'gui
有沢龙贵,you'ze'long'gui
有泽龙贵,you'ze'long'gui
有昭田钵玄,you'zhao'tian'bo'xuan
有昭田钵玄鬼道众副鬼道师,you'zhao'tian'bo'xuan'gui'dao'zhong'fu'gui'dao'shi
游子,you'zi
游子妹妹,you'zi'mei'mei
游佐浩二,you'zuo'hao'er
羽多野涉,yu'duo'ye'she
羽里色,yu'li'se
雨龙,yu'long
雨龙织姬,yu'long'zhi'ji
宇柿,yu'shi
宇田川棱,yu'tian'chuan'leng
宇田川稜,yu'tian'chuan'ling
羽织,yu'zhi
雨织,yu'zhi
圆乘寺辰房,yuan'cheng'si'chen'fang
远近孝一,yuan'jin'xiao'yi
元柳斋,yuan'liu'zhai
猿柿日世里,yuan'shi'ri'shi'li
猿柿日世里原十二番队副队长,yuan'shi'ri'shi'li'yuan'shi'er'fan'dui'fu'dui'zhang
远野翠子,yuan'ye'cui'zi
圆闸扇,yuan'zha'shan
月白,yue'bai
月森莲,yue'sen'lian
月牙天冲,yue'ya'tian'chong
越智美谕,yue'zhi'mei'yu
再炎,zai'yan
葬讨部队,zang'tao'bu'dui
早水,zao'shui
沢渡,ze'du
扎艾尔阿波罗,zha'ai'er'a'bo'luo
斋藤惠吉郎,zhai'teng'hui'ji'lang
斋藤志郎,zhai'teng'zhi'lang
崭鬼,zhan'gui
斩魂刀,zhan'hun'dao
斩击,zhan'ji
战雫,zhan'na
斩魄刀,zhan'po'dao
斩术,zhan'shu
斩月,zhan'yue
斩月大叔,zhan'yue'da'shu
斩月的卍解,zhan'yue'de'wan'jie
蛰刀流断,zhe'dao'liu'duan
遮魂膜,zhe'hun'mo
折笠,zhe'li
折笠富美子,zhe'li'fu'mei'zi
折笠姐,zhe'li'jie
这绳,zhe'sheng
震点,zhen'dian
真殿光昭,zhen'dian'guang'zhao
真花,zhen'hua
真田,zhen'tian
真咲,zhen'xiao
真咲阿姨,zhen'xiao'a'yi
真咲伯母,zhen'xiao'bo'mu
真央灵术学院,zhen'yang'ling'shu'xue'yuan
真央灵术院,zhen'yang'ling'shu'yuan
真子平子,zhen'zi'ping'zi
整音,zheng'yin
之芭,zhi'ba
止绷,zhi'beng
志波,zhi'bo
志波都,zhi'bo'dou
志波海燕,zhi'bo'hai'yan
志波家,zhi'bo'jia
志波空鹤,zhi'bo'kong'he
志波岩鹫,zhi'bo'yan'jiu
志波燕鹫,zhi'bo'yan'jiu
志波一族,zhi'bo'yi'zu
织姬,zhi'ji
织露,zhi'lu
置鲇,zhi'nian
置鮎龙太郎,zhi'nian'long'tai'lang
置鲇龙太郎,zhi'nian'long'tai'lang
植松淳一,zhi'song'chun'yi
植之冢光邦,zhi'zhi'zhong'guang'bang
中岛沙树,zhong'dao'sha'shu
中多和宏,zhong'duo'he'hong
终景白帝剑,zhong'jing'bai'di'jian
中井将贵,zhong'jing'jiang'gui
终曲卍禁太封,zhong'qu'wan'jin'tai'feng
中田和宏,zhong'tian'he'hong
冢田正昭,zhong'tian'zheng'zhao
中尾隆圣,zhong'wei'long'sheng
中央四十六室,zhong'yang'si'shi'liu'shi
呪眼僧伽,zhou'yan'seng'ga
咒眼僧伽,zhou'yan'seng'ga
竹添幸吉郎,zhu'tian'xing'ji'lang
缀雷电,zhui'lei'dian
灼海流,zhuo'hai'liu
自体归刃,zi'ti'gui'ren
宗弦,zong'xian
惣右介,zong'you'jie
诅咒人形,zu'zhou'ren'xing
最爱露露,zui'ai'lu'lu
嘴突三闪,zui'tu'san'shan
佐久间红美,zuo'jiu'jian'hong'mei
佐马利,zuo'ma'li
佐马力,zuo'ma'li
佐马利路鲁,zuo'ma'li'lu'lu
佐马力路鲁,zuo'ma'li'lu'lu
佐藤美贵,zuo'teng'mei'gui
佐藤正治,zuo'teng'zheng'zhi
左阵,zuo'zhen
佐佐木修兵,zuo'zuo'mu'xiu'bing
