阿尔塞斯,a'er'sai'si
肉盾,rou'dun
肉山,rou'shan
撒旦之邪力,sa'dan'zhi'xie'li
洒粉,sa'fen
萨格拉斯之眼,sa'ge'la'si'zhi'yan
萨满,sa'man
萨满祭司,sa'man'ji'si
赛特斯,sai'te'si
赛特斯之地狱使者,sai'te'si'zhi'di'yu'shi'zhe
赛特斯之黑暗舞者,sai'te'si'zhi'hei'an'wu'zhe
赛特斯之灵魂盗贼,sai'te'si'zhi'ling'hun'dao'zei
赛特斯之魔法师,sai'te'si'zhi'mo'fa'shi
散华,san'hua
散华夜叉,san'hua'ye'cha
散失,san'shi
散失之刃,san'shi'zhi'ren
三塔,san'ta
散夜,san'ye
散夜对剑,san'ye'dui'jian
森林巨魔,sen'lin'ju'mo
森林之眼,sen'lin'zhi'yan
沙王,sha'wang
闪避,shan'bi
闪避护符,shan'bi'hu'fu
闪电盾牌,shan'dian'dun'pai
闪电箭阵,shan'dian'jian'zhen
闪电链,shan'dian'lian
闪电咆哮,shan'dian'pao'xiao
闪电权杖,shan'dian'quan'zhang
闪电蜥蜴,shan'dian'xi'yi
闪电幽魂,shan'dian'you'hun
闪电之球,shan'dian'zhi'qiu
闪光弹,shan'guang'dan
山岭,shan'ling
山岭巨人,shan'ling'ju'ren
山丘之山,shan'qiu'zhi'shan
山丘之王,shan'qiu'zhi'wang
山丘之王穆拉丁,shan'qiu'zhi'wang'mu'la'ding
闪烁突袭,shan'shuo'tu'xi
山王,shan'wang
上单,shang'dan
伤害加深,shang'hai'jia'shen
赏金猎人,shang'jin'lie'ren
上路,shang'lu
上路单,shang'lu'dan
上路有符,shang'lu'you'fu
上有符,shang'you'fu
烧魔,shao'mo
蛇棒,she'bang
蛇棒子,she'bang'zi
蛇发魔女,she'fa'mo'nv
蛇发女妖,she'fa'nv'yao
射击术,she'ji'shu
蛇女,she'nv
射手天赋,she'shou'tian'fu
神符,shen'fu
神符上路,shen'fu'shang'lu
神符下路,shen'fu'xia'lu
神灵,shen'ling
神灵武士,shen'ling'wu'shi
神秘藏宝室,shen'mi'cang'bao'shi
神秘法杖,shen'mi'fa'zhang
神秘圣地,shen'mi'sheng'di
神灭斩,shen'mie'zhan
神牛,shen'niu
神圣法杖,shen'sheng'fa'zhang
神圣护甲,shen'sheng'hu'jia
神圣劝化,shen'sheng'quan'hua
神圣伤害,shen'sheng'shang'hai
神圣药水,shen'sheng'yao'shui
神圣之光,shen'sheng'zhi'guang
深渊领主,shen'yuan'ling'zhu
深渊魔王,shen'yuan'mo'wang
神杖,shen'zhang
神之力量,shen'zhi'li'liang
神装,shen'zhuang
神装流,shen'zhuang'liu
圣殿指环,sheng'dian'zhi'huan
圣光,sheng'guang
升级狂战士,sheng'ji'kuang'zhan'shi
圣剑,sheng'jian
生命护身符,sheng'ming'hu'shen'fu
生命回复,sheng'ming'hui'fu
生命手册,sheng'ming'shou'ce
生命吮吸,sheng'ming'shun'xi
生命吸取,sheng'ming'xi'qu
生命药水,sheng'ming'yao'shui
生命之泉,sheng'ming'zhi'quan
圣骑,sheng'qi
圣骑士,sheng'qi'shi
圣骑士乌瑟尔,sheng'qi'shi'wu'se'er
圣堂,sheng'tang
圣堂刺客,sheng'tang'ci'ke
圣物关口,sheng'wu'guan'kou
圣者遗物,sheng'zhe'yi'wu
时光蜘蛛,shi'guang'zhi'zhu
石化凝视,shi'hua'ning'shi
时间结界,shi'jian'jie'jie
时间漫游,shi'jian'man'you
时间锁定,shi'jian'suo'ding
狮鹫笼,shi'jiu'long
狮鹫骑士,shi'jiu'qi'shi
食人魔法师,shi'ren'mo'fa'shi
食人魔力量手套,shi'ren'mo'li'liang'shou'tao
食人魔魔法师,shi'ren'mo'mo'fa'shi
食人魔手套,shi'ren'mo'shou'tao
侍僧,shi'seng
食尸,shi'shi
食尸鬼,shi'shi'gui
食尸鬼臂章,shi'shi'gui'bi'zhang
食尸鬼狂热,shi'shi'gui'kuang're
食尸鬼王臂章,shi'shi'gui'wang'bi'zhang
石头人,shi'tou'ren
尸王,shi'wang
石像形态,shi'xiang'xing'tai
嗜血,shi'xue
嗜血牛头流,shi'xue'niu'tou'liu
守高地,shou'gao'di
守护指环,shou'hu'zhi'huan
收集尸体,shou'ji'shi'ti
兽人步兵,shou'ren'bu'bing
兽人地洞,shou'ren'di'dong
兽人斧,shou'ren'fu
守塔,shou'ta
兽王,shou'wang
守望者玛维,shou'wang'zhe'ma'wei
手选,shou'xuan
受折磨的灵魂,shou'zhe'mo'de'ling'hun
兽之狂暴,shou'zhi'kuang'bao
兽族步兵,shou'zu'bu'bing
兽族部落,shou'zu'bu'luo
兽族老农,shou'zu'lao'nong
树根缠绕,shu'gen'chan'rao
曙光酒馆,shu'guang'jiu'guan
树精卫士,shu'jing'wei'shi
树魔高级牧师,shu'mo'gao'ji'mu'shi
树魔狂战士,shu'mo'kuang'zhan'shi
树魔猎手,shu'mo'lie'shou
树魔首领,shu'mo'shou'ling
树魔影子牧师,shu'mo'ying'zi'mu'shi
术士,shu'shi
属性点,shu'xing'dian
属性附加,shu'xing'fu'jia
树眼,shu'yan
赎罪,shu'zui
刷新球,shua'xin'qiu
刷野,shua'ye
双倍,shuang'bei
双倍攻击,shuang'bei'gong'ji
双倍攻击神符,shuang'bei'gong'ji'shen'fu
双倍神符,shuang'bei'shen'fu
霜冻护甲,shuang'dong'hu'jia
霜冻新星,shuang'dong'xin'xing
霜冻之箭,shuang'dong'zhi'jian
霜冻之球,shuang'dong'zhi'qiu
双刃剑,shuang'ren'jian
双头,shuang'tou
双头龙,shuang'tou'long
霜之新星,shuang'zhi'xin'xing
双足飞龙,shuang'zu'fei'long
水晶阿卡那瑟德,shui'jing'a'ka'na'se'de
水晶剑,shui'jing'jian
水晶室女,shui'jing'shi'nv
水人,shui'ren
四保一,si'bao'yi
斯嘉蒂之眼,si'jia'di'zhi'yan
撕裂伤口,si'lie'shang'kou
死灵,si'ling
死灵法,si'ling'fa
死灵法师,si'ling'fa'shi
死灵飞龙,si'ling'fei'long
死灵龙,si'ling'long
死灵书,si'ling'shu
死骑,si'qi
死亡缠绕,si'wang'chan'rao
死亡凋零,si'wang'diao'ling
死亡面具,si'wang'mian'ju
死亡面罩,si'wang'mian'zhao
死亡骑士,si'wang'qi'shi
死亡骑士阿尔赛斯,si'wang'qi'shi'a'er'sai'si
死亡守卫,si'wang'shou'wei
死亡先知,si'wang'xian'zhi
死亡一指,si'wang'yi'zhi
死亡掌控,si'wang'zhang'kong
速度卷轴,su'du'juan'zhou
速度神符,su'du'shen'fu
速度之靴,su'du'zhi'xue
速推,su'tui
酸性喷雾,suan'xing'pen'wu
酸性炸弹,suan'xing'zha'dan
碎骨锤,sui'gu'chui
碎片攻击,sui'pian'gong'ji
塔类图,ta'lei'tu
探测隐形,tan'ce'yin'xing
弹射法杖,tan'she'fa'zhang
淘汰之刃,tao'tai'zhi'ren
套套子,tao'tao'zi
逃脱匕首,tao'tuo'bi'shou
提升能力型,ti'sheng'neng'li'xing
天地鬼,tian'di'gui
天地双鬼,tian'di'shuang'gui
天神下凡,tian'shen'xia'fan
天灾骨钟,tian'zai'gu'zhong
天灾军团的末日,tian'zai'jun'tuan'de'mo'ri
跳啊,tiao'a
跳刀,tiao'dao
挑战头巾,tiao'zhan'tou'jin
铁树枝干,tie'shu'zhi'gan
铁意头盔,tie'yi'tou'kui
痛苦尖叫,tong'ku'jian'jiao
痛苦女王,tong'ku'nv'wang
痛苦之源,tong'ku'zhi'yuan
通灵塔,tong'ling'ta
头巾,tou'jin
投矛,tou'mao
透明鹿,tou'ming'lu
偷泉水,tou'quan'shui
投刃车,tou'ren'che
偷塔,tou'ta
投掷,tou'zhi
投掷飞镖,tou'zhi'fei'biao
屠夫,tu'fu
屠夫去抓人,tu'fu'qu'zhua'ren
图斯卡尔格斗者,tu'si'ka'er'ge'dou'zhe
图斯卡尔猎人,tu'si'ka'er'lie'ren
图斯卡尔男巫,tu'si'ka'er'nan'wu
图斯卡尔枪兵,tu'si'ka'er'qiang'bing
图斯卡尔酋长,tu'si'ka'er'qiu'zhang
图斯卡尔巫师,tu'si'ka'er'wu'shi
图斯卡尔战士,tu'si'ka'er'zhan'shi
土熊猫,tu'xiong'mao
团控,tuan'kong
退化光环,tui'hua'guang'huan
推塔,tui'ta
推推杖,tui'tui'zhang
推中,tui'zhong
吞噬,tun'shi
吞噬魔法,tun'shi'mo'fa
挖掘尸体,wa'jue'shi'ti
万火焚身,wan'huo'fen'shen
亡灵的入侵,wang'ling'de'ru'qin
亡灵法师,wang'ling'fa'shi
亡灵巫师,wang'ling'wu'shi
网住,wang'zhu
微恢复药水,wei'hui'fu'yao'shui
维拉德卖的赠品,wei'la'de'mai'de'zeng'pin
我单,wo'dan
无敌黑暗猎人,wu'di'hei'an'lie'ren
无敌黑暗舞者,wu'di'hei'an'wu'zhe
无敌狂暴者,wu'di'kuang'bao'zhe
无敌斩,wu'di'zhan
巫毒商店,wu'du'shang'dian
无光之盾,wu'guang'zhi'dun
无甲,wu'jia
无名恐怖者,wu'ming'kong'bu'zhe
无名骗士,wu'ming'pian'shi
无名死灵,wu'ming'si'ling
无虐不成长,wu'nue'bu'cheng'chang
武器商人比泽,wu'qi'shang'ren'bi'ze
巫师变节者,wu'shi'bian'jie'zhe
无视地形,wu'shi'di'xing
无视魔法免疫,wu'shi'mo'fa'mian'yi
巫师学徒,wu'shi'xue'tu
巫术之杖,wu'shu'zhi'zhang
无维修费用,wu'wei'xiu'fei'yong
巫妖,wu'yao
巫妖克尔苏加德,wu'yao'ke'er'su'jia'de
午夜凋零,wu'ye'diao'ling
午夜酒馆,wu'ye'jiu'guan
巫医,wu'yi
无用挂件,wu'yong'gua'jian
无缘无尽,wu'yuan'wu'jin
西尔瓦娜斯,xi'er'wa'na'si
希梅斯特的掠夺,xi'mei'si'te'de'lue'duo
牺牲深渊,xi'sheng'shen'yuan
西瓦的守护,xi'wa'de'shou'hu
希娃的守护,xi'wa'de'shou'hu
希瓦的守护,xi'wa'de'shou'hu
吸血光环,xi'xue'guang'huan
吸血鬼的祭品,xi'xue'gui'de'ji'pin
吸血面具,xi'xue'mian'ju
吸血药水,xi'xue'yao'shui
蜥蜴怪物,xi'yi'guai'wu
下路单,xia'lu'dan
下路有符,xia'lu'you'fu
下有符,xia'you'fu
先锋盾,xian'feng'dun
陷阱守卫,xian'jing'shou'wei
仙女龙,xian'nv'long
先网,xian'wang
显影之尘,xian'ying'zhi'chen
贤者,xian'zhe
先知,xian'zhi
相位鞋,xiang'wei'xie
相位转移,xiang'wei'zhuan'yi
小德,xiao'de
小电锤,xiao'dian'chui
小复活神符,xiao'fu'huo'shen'fu
效果无视魔法免疫,xiao'guo'wu'shi'mo'fa'mian'yi
小黑,xiao'hei
小回复卷轴,xiao'hui'fu'juan'zhou
小恢复药水,xiao'hui'fu'yao'shui
小净化,xiao'jing'hua
小净化药水,xiao'jing'hua'yao'shui
小骷髅,xiao'ku'lou
小路,xiao'lu
小鹿,xiao'lu
消魔,xiao'mo
小魔棒,xiao'mo'bang
小魔法神符,xiao'mo'fa'shen'fu
小娜迦,xiao'na'jia
小炮,xiao'pao
小强蜘蛛流,xiao'qiang'zhi'zhu'liu
小歪,xiao'wai
小小,xiao'xiao
小丫,xiao'ya
小治疗神符,xiao'zhi'liao'shen'fu
小蜘蛛,xiao'zhi'zhu
邪恶光环,xie'e'guang'huan
邪恶狂热,xie'e'kuang're
邪恶镰刀,xie'e'lian'dao
邪恶漫步者,xie'e'man'bu'zhe
邪恶撒旦之力,xie'e'sa'dan'zhi'li
邪恶执著,xie'e'zhi'zhuo
卸下尸体,xie'xia'shi'ti
心灵之火,xin'ling'zhi'huo
新月之痕,xin'yue'zhi'hen
熊德,xiong'de
熊怪萨满,xiong'guai'sa'man
熊怪萨满长者,xiong'guai'sa'man'zhang'zhe
熊怪首领,xiong'guai'shou'ling
熊怪乌萨战士,xiong'guai'wu'sa'zhan'shi
熊怪追踪者,xiong'guai'zhui'zong'zhe
熊灵,xiong'ling
熊鹿,xiong'lu
熊鹿流,xiong'lu'liu
熊猫酒仙,xiong'mao'jiu'xian
熊形态,xiong'xing'tai
熊战,xiong'zhan
熊战士,xiong'zhan'shi
修补,xiu'bu
修补匠,xiu'bu'jiang
秀逗,xiu'dou
秀逗魔导士,xiu'dou'mo'dao'shi
秀逗魔导师,xiu'dou'mo'dao'shi
虚空,xu'kong
虚空假面,xu'kong'jia'mian
虚无宝石,xu'wu'bao'shi
虚无状态,xu'wu'zhuang'tai
玄冥盾牌,xuan'ming'dun'pai
血法师,xue'fa'shi
血精,xue'jing
血精石,xue'jing'shi
穴居恶魔,xue'ju'e'mo
血魔,xue'mo
血魔球,xue'mo'qiu
血浴之母,xue'yu'zhi'mu
压兵线,ya'bing'xian
亚龙,ya'long
压人,ya'ren
压线,ya'xian
压制,ya'zhi
压制之刃,ya'zhi'zhi'ren
岩石傀儡,yan'shi'kui'lei
岩石印记,yan'shi'yin'ji
羊刀,yang'dao
养人,yang'ren
羊杖,yang'zhang
遥控炸弹,yao'kong'zha'dan
摇瓶子,yao'ping'zi
妖术,yao'shu
夜魔,ye'mo
夜幕中的狩猎者,ye'mu'zhong'de'shou'lie'zhe
野兽幽魂,ye'shou'you'hun
液态火,ye'tai'huo
夜晚狩猎者,ye'wan'shou'lie'zhe
野性呼唤,ye'xing'hu'huan
野性之斧,ye'xing'zhi'fu
夜之酒馆,ye'zhi'jiu'guan
一拨,yi'bo
一波流,yi'bo'liu
医疗波,yi'liao'bo
医疗剂,yi'liao'ji
艺人面罩,yi'ren'mian'zhao
一塔,yi'ta
遗忘法师,yi'wang'fa'shi
移形换位,yi'xing'huan'wei
一血,yi'xue
隐啊,yin'a
隐刺,yin'ci
隐刀,yin'dao
隐身神符,yin'shen'shen'fu
隐身药水,yin'shen'yao'shui
隐形刺客,yin'xing'ci'ke
阴影之狼,yin'ying'zhi'lang
硬化皮肤,ying'hua'pi'fu
鹰角弓,ying'jiao'gong
影魔,ying'mo
鹰身女妖风暴巫师,ying'shen'nv'yao'feng'bao'wu'shi
鹰身女妖流氓,ying'shen'nv'yao'liu'mang
鹰身女妖女皇,ying'shen'nv'yao'nv'huang
鹰身女妖巫婆,ying'shen'nv'yao'wu'po
英雄攻击,ying'xiong'gong'ji
英雄海,ying'xiong'hai
影压,ying'ya
英勇头盔,ying'yong'tou'kui
永恒之树,yong'heng'zhi'shu
永久隐身,yong'jiu'yin'shen
诱捕,you'bu
幽鬼,you'gui
幽魂权杖,you'hun'quan'zhang
幽灵系带,you'ling'ji'dai
幽灵之狼,you'ling'zhi'lang
幽冥剧毒,you'ming'ju'du
幽冥一击,you'ming'yi'ji
游侠,you'xia
有眼,you'yan
玉蝴蝶流,yu'hu'die'liu
育母蜘蛛,yu'mu'zhi'zhu
淤泥怪物,yu'ni'guai'wu
淤泥投手,yu'ni'tou'shou
淤泥战士,yu'ni'zhan'shi
鱼人,yu'ren
鱼人守卫,yu'ren'shou'wei
鱼人碎击,yu'ren'sui'ji
圆盾,yuan'dun
远古兵器,yuan'gu'bing'qi
远古神灵,yuan'gu'shen'ling
远古之树,yuan'gu'zhi'shu
原始咆哮,yuan'shi'pao'xiao
元素分离,yuan'su'fen'li
元素熊猫,yuan'su'xiong'mao
远行鞋,yuan'xing'xie
月井,yue'jing
月亮女祭祀,yue'liang'nv'ji'si
月女,yue'nv
月骑,yue'qi
月神箭,yue'shen'jian
月神之箭,yue'shen'zhi'jian
月蚀,yue'shi
越塔强杀,yue'ta'qiang'sha
月之女祭师泰兰德,yue'zhi'nv'ji'shi'tai'lan'de
月之女祭司,yue'zhi'nv'ji'si
月之女祭祀,yue'zhi'nv'ji'si
月之骑士,yue'zhi'qi'shi
晕锤,yun'chui
灾祸树人,zai'huo'shu'ren
再装填,zai'zhuang'tian
凿他,zao'ta
怎么不换,zen'me'bu'huan
憎恶毁灭流,zeng'wu'hui'mie'liu
炸弹人,zha'dan'ren
战斗嚎叫,zhan'dou'hao'jiao
战歌之鼓,zhan'ge'zhi'gu
战争古树,zhan'zheng'gu'shu
战争践踏,zhan'zheng'jian'ta
战争傀儡,zhan'zheng'kui'lei
战争磨坊,zhan'zheng'mo'fang
召唤豪猪,zhao'huan'hao'zhu
召唤师,zhao'huan'shi
召唤树人,zhao'huan'shu'ren
召唤熊,zhao'huan'xiong
召唤熊灵,zhao'huan'xiong'ling
召唤岩浆怪,zhao'huan'yan'jiang'guai
召唤战鹰,zhao'huan'zhan'ying
召集民兵,zhao'ji'min'bing
招猪,zhao'zhu
折光,zhe'guang
侦察守卫,zhen'cha'shou'wei
振奋,zhen'fen
振奋宝石,zhen'fen'bao'shi
振魂石,zhen'hun'shi
真龙形态,zhen'long'xing'tai
真身,zhen'shen
真视,zhen'shi
真视宝石,zhen'shi'bao'shi
真实视野,zhen'shi'shi'ye
真眼,zhen'yan
正补,zheng'bu
蒸汽坦克,zheng'qi'tan'ke
智慧披风,zhi'hui'pi'feng
智慧之刃,zhi'hui'zhi'ren
智力斗篷,zhi'li'dou'peng
智力型,zhi'li'xing
治疗卷轴,zhi'liao'juan'zhou
治疗喷雾,zhi'liao'pen'wu
治疗权仗,zhi'liao'quan'zhang
治疗神符,zhi'liao'shen'fu
治疗守卫,zhi'liao'shou'wei
治疗指环,zhi'liao'zhi'huan
致命一击,zhi'ming'yi'ji
支配头盔,zhi'pei'tou'kui
制图教学,zhi'tu'jiao'xue
制图资源,zhi'tu'zi'yuan
支援法衣,zhi'yuan'fa'yi
蜘蛛流,zhi'zhu'liu
忠诚考验,zhong'cheng'kao'yan
中单,zhong'dan
中和权杖,zhong'he'quan'zhang
重击,zhong'ji
中立英雄,zhong'li'ying'xiong
中路,zhong'lu
中路单,zhong'lu'dan
中路回来,zhong'lu'hui'lai
中路消失,zhong'lu'xiao'shi
众神,zhong'shen
众神之王,zhong'shen'zhi'wang
中推,zhong'tui
主机刷,zhu'ji'shua
蛛网,zhu'wang
蛛网怪女皇,zhu'wang'guai'nv'huang
蛛网怪首领,zhu'wang'guai'shou'ling
蛛网怪预言者,zhu'wang'guai'yu'yan'zhe
蛛网怪战士,zhu'wang'guai'zhan'shi
蛛网怪织网者,zhu'wang'guai'zhi'wang'zhe
抓人,zhua'ren
专家级利爪德鲁依训练,zhuan'jia'ji'li'zhua'de'lu'yi'xun'lian
专家级灵魂行者训练,zhuan'jia'ji'ling'hun'xing'zhe'xun'lian
专家级猛禽德鲁依训练,zhuan'jia'ji'meng'qin'de'lu'yi'xun'lian
专家级牧师训练,zhuan'jia'ji'mu'shi'xun'lian
专家级女巫训练,zhuan'jia'ji'nv'wu'xun'lian
专家级女妖训练,zhuan'jia'ji'nv'yao'xun'lian
专家级萨满训练,zhuan'jia'ji'sa'man'xun'lian
专家级亡灵巫师训练,zhuan'jia'ji'wang'ling'wu'shi'xun'lian
专家级巫医训练,zhuan'jia'ji'wu'yi'xun'lian
专注光环,zhuan'zhu'guang'huan
装备唯一,zhuang'bei'wei'yi
追踪术,zhui'zong'shu
灼热之箭,zhuo're'zhi'jian
自爆,zi'bao
自爆男,zi'bao'nan
自动之火,zi'dong'zhi'huo
自然之怒,zi'ran'zhi'nu
自然之助,zi'ran'zhi'zhu
紫怨,zi'yuan
紫怨之杖,zi'yuan'zhi'zhang
走位,zou'wei
钻地,zuan'di
最后遗言,zui'hou'yi'yan
醉酒云雾,zui'jiu'yun'wu
