阿里布哥,a'li'bu'ge
吴惟忠,wu'wei'zhong
伍文定,wu'wen'ding
五行阵,wu'xing'zhen
吴庸,wu'yong
吴玉琳,wu'yu'lin
吴智佳,wu'zhi'jia
吴中行,wu'zhong'hang
戏霸,xi'ba
西湖七月半,xi'hu'qi'yue'ban
西湖寻梦,xi'hu'xun'meng
锡兰山,xi'lan'shan
细林夜哭,xi'lin'ye'ku
洗马,xi'ma
喜宁,xi'ning
西人党,xi'ren'dang
浠水,xi'shui
席应真,xi'ying'zhen
西直门,xi'zhi'men
夏邦谟,xia'bang'mo
夏完淳,xia'wan'chun
夏言,xia'yan
夏原吉,xia'yuan'ji
夏正,xia'zheng
县丞,xian'cheng
暹罗,xian'luo
闲山大捷,xian'shan'da'jie
相良丰赖,xiang'liang'feng'lai
项应祥,xiang'ying'xiang
萧大亨,xiao'da'heng
笑府,xiao'fu
萧如薰,xiao'ru'xun
小西飞,xiao'xi'fei
小西行长,xiao'xi'hang'zhang
小早川隆景,xiao'zao'chuan'long'jing
萧滓,xiao'zi
萧镃,xiao'zi
胁坂安治,xie'ban'an'zhi
解缙,xie'jin
谢迁,xie'qian
谢用梓,xie'yong'zi
谢再兴,xie'zai'xing
谢榛,xie'zhen
辛自修,xin'zi'xiu
刑部,xing'bu
兴化,xing'hua
邢玠,xing'jie
行太仆寺,xing'tai'pu'si
兴献王,xing'xian'wang
邢珣,xing'xun
兄弟不相容,xiong'di'bu'xiang'rong
胸怀远人,xiong'huai'yuan'ren
熊廷弼,xiong'ting'bi
熊文灿,xiong'wen'can
徐达,xu'da
徐光启,xu'guang'qi
许国,xu'guo
徐海,xu'hai
许弘纲,xu'hong'gang
徐阶,xu'jie
徐经,xu'jing
许逵,xu'kui
胥门,xu'men
徐时行,xu'shi'xing
徐寿辉,xu'shou'hui
许守谦,xu'shou'qian
许泰,xu'tai
徐文英,xu'wen'ying
许显纯,xu'xian'chun
徐学谟,xu'xue'mo
徐一贯,xu'yi'guan
徐应元,xu'ying'yuan
徐樾,xu'yue
许赞,xu'zan
徐祯卿,xu'zhen'qing
徐中行,xu'zhong'hang
徐州,xu'zhou
续资治通鉴,xu'zi'zhi'tong'jian
宣德,xuan'de
玄房,xuan'fang
宣府,xuan'fu
玄甲军,xuan'jia'jun
宣力功臣,xuan'li'gong'chen
宣慰使,xuan'wei'shi
宣武门,xuan'wu'men
削藩,xue'fan
薛论道,xue'lun'dao
薛显,xue'xian
巡守御史,xun'shou'yu'shi
盐课提举司,yan'ke'ti'ju'si
鄢懋卿,yan'mao'qing
严讷,yan'ne
颜佩韦,yan'pei'wei
严绍庭,yan'shao'ting
言诗异,yan'shi'yi
延绥总兵,yan'sui'zong'bing
阎锡山,yan'xi'shan
杨渤,yang'bo
杨旦,yang'dan
杨镐,yang'gao
杨鹤,yang'he
阳和,yang'he
杨洪,yang'hong
杨继盛,yang'ji'sheng
杨金英,yang'jin'ying
杨俊卿,yang'jun'qing
羊可立,yang'ke'li
杨涟,yang'lian
杨溥,yang'pu
杨其休,yang'qi'xiu
杨荣,yang'rong
杨锐,yang'rui
杨慎,yang'shen
杨士奇,yang'shi'qi
杨士伟,yang'shi'wei
杨守谦,yang'shou'qian
杨嗣昌,yang'si'chang
杨泰,yang'tai
杨廷相,yang'ting'xiang
杨万亨,yang'wan'heng
杨巍,yang'wei
阳武侯,yang'wu'hou
杨宪,yang'xian
杨瑄,yang'xuan
杨一清,yang'yi'qing
杨元,yang'yuan
鹞儿岭,yao'er'ling
姚镆,yao'mo
姚祥,yao'xiang
叶初春,ye'chu'chun
野狐岭,ye'hu'ling
也速迭儿,ye'su'die'er
叶向高,ye'xiang'gao
义不行贾,yi'bu'xing'gu
一反常态,yi'fan'chang'tai
义绝,yi'jue
伊克哈屯,yi'ke'ha'tun
刈麦有感,yi'mai'you'gan
一手烂字,yi'shou'lan'zi
一一垂丹青,yi'yi'chui'dan'qing
一展胸中抱负,yi'zhan'xiong'zhong'bao'fu
义州,yi'zhou
尹斗寿,yin'dou'shou
因事抗言求去疏,yin'shi'kang'yan'qiu'qu'shu
音学五书,yin'xue'wu'shu
殷正茂,yin'zheng'mao
尹直,yin'zhi
应天,ying'tian
应州,ying'zhou
永乐,yong'le
永乐大典,yong'le'da'dian
永乐实录,yong'le'shi'lu
拥刘反曹,yong'liu'fan'cao
用印,yong'yin
右军,you'jun
有钱万事通,you'qian'wan'shi'tong
幽深孤峭,you'shen'gu'qiao
羽柴秀吉,yu'chai'xiu'ji
羽柴秀胜,yu'chai'xiu'sheng
圉长,yu'chang
俞大猷,yu'da'you
御马监,yu'ma'jian
喻茂坚,yu'mao'jian
于冕,yu'mian
余敏,yu'min
榆木川,yu'mu'chuan
玉浦海,yu'pu'hai
于慎行,yu'shen'xing
俞通海,yu'tong'hai
宇喜多秀家,yu'xi'duo'xiu'jia
于玉立,yu'yu'li
玉簪记,yu'zan'ji
狱中上母书,yu'zhong'shang'mu'shu
袁崇焕,yuan'chong'huan
袁珙,yuan'gong
元均,yuan'jun
源赖朝,yuan'lai'chao
苑马寺,yuan'ma'si
元顺帝,yuan'shun'di
袁炜,yuan'wei
鸳鸯阵,yuan'yang'zhen
源义经,yuan'yi'jing
袁应泰,yuan'ying'tai
岳俊声,yue'jun'sheng
岳元声,yue'yuan'sheng
岳正,yue'zheng
月氏国,yue'zhi'guo
査大受,zha'da'shou
翟銮,zhai'luan
翟鹏,zhai'peng
占城,zhan'cheng
詹事府,zhan'shi'fu
詹仰庇,zhan'yang'bi
张壁,zhang'bi
张彩,zhang'cai
张差,zhang'cha
张昌宗,zhang'chang'zong
张璁,zhang'cong
张岱,zhang'dai
张定边,zhang'ding'bian
张栋,zhang'dong
张凤翼,zhang'feng'yi
张辅,zhang'fu
张关保,zhang'guan'bao
张洪,zhang'hong
张家堡,zhang'jia'bao
张金莲,zhang'jin'lian
张敬修,zhang'jing'xiu
张良弼,zhang'liang'bi
章纶,zhang'lun
张敏,zhang'min
张明鉴,zhang'ming'jian
张南庄,zhang'nan'zhuang
张鹏,zhang'peng
张溶,zhang'rong
张士诚,zhang'shi'cheng
张士德,zhang'shi'de
张世爵,zhang'shi'jue
张士义,zhang'shi'yi
张四维,zhang'si'wei
张嗣修,zhang'si'xiu
张天佑,zhang'tian'you
张伟,zhang'wei
张位,zhang'wei
张温,zhang'wen
张问达,zhang'wen'da
张文锦,zhang'wen'jin
张文明,zhang'wen'ming
张学颜,zhang'xue'yan
张嫣,zhang'yan
张炎,zhang'yan
张延龄,zhang'yan'ling
章溢,zhang'yi
张永,zhang'yong
张有德,zhang'you'de
张玉,zhang'yu
张镇,zhang'zhen
张忠,zhang'zhong
张子明,zhang'zi'ming
赵参鲁,zhao'can'lu
赵国胜,zhao'guo'sheng
赵继祖,zhao'ji'zu
赵率教,zhao'lv'jiao
赵瑁,zhao'mao
赵南星,zhao'nan'xing
赵普胜,zhao'pu'sheng
赵全,zhao'quan
赵全德,zhao'quan'de
赵时春,zhao'shi'chun
招讨使,zhao'tao'shi
爪哇,zhao'wa
赵宪,zhao'xian
赵兴邦,zhao'xing'bang
赵瑛,zhao'ying
赵用贤,zhao'yong'xian
赵贞吉,zhao'zhen'ji
赵志皋,zhao'zhi'gao
折色火耗,zhe'se'huo'hao
浙中学派,zhe'zhong'xue'pai
镇抚司,zhen'fu'si
镇江堡大捷,zhen'jiang'bao'da'jie
郑村坝,zheng'cun'ba
正德,zheng'de
征伐开疆,zheng'fa'kai'jiang
郑福成,zheng'fu'cheng
郑国泰,zheng'guo'tai
郑和,zheng'he
郑洛,zheng'luo
郑履淳,zheng'lv'chun
郑若,zheng'ruo
郑士利,zheng'shi'li
正阳门,zheng'yang'men
郑养性,zheng'yang'xing
政治投机,zheng'zhi'tou'ji
治安疏,zhi'an'shu
职方司,zhi'fang'si
智绝,zhi'jue
智囊,zhi'nang
致身录,zhi'shen'lu
知事,zhi'shi
值堂,zhi'tang
织田信长,zhi'tian'xin'chang
直言天下第一事疏,zhi'yan'tian'xia'di'yi'shi'shu
制诏谕秦,zhi'zhao'yu'qin
知州,zhi'zhou
中都,zhong'du
中分天下,zhong'fen'tian'xia
中国大回转,zhong'guo'da'hui'zhuan
钟离,zhong'li
忠清,zhong'qing
中书舍人,zhong'shu'she'ren
中书省,zhong'shu'sheng
钟同,zhong'tong
钟惺,zhong'xing
中央政府,zhong'yang'zheng'fu
钟羽正,zhong'yu'zheng
周德兴,zhou'de'xing
周观政,zhou'guan'zheng
周延儒,zhou'yan'ru
周政,zhou'zheng
朱百六,zhu'bai'liu
主簿,zhu'bu
朱常洛,zhu'chang'luo
朱常洵,zhu'chang'xun
朱宸濠,zhu'chen'hao
朱初一,zhu'chu'yi
朱大典,zhu'da'dian
朱棣,zhu'di
朱高炽,zhu'gao'chi
朱赓,zhu'geng
朱国瑞,zhu'guo'rui
朱海龙,zhu'hai'long
朱衡,zhu'heng
朱厚熜,zhu'hou'cong
朱厚照,zhu'hou'zhao
朱见深,zhu'jian'shen
朱亮祖,zhu'liang'zu
竹篓钱,zhu'lou'qian
朱峦,zhu'luan
朱祁镇,zhu'qi'zhen
朱权,zhu'quan
朱三太子,zhu'san'tai'zi
朱寿,zhu'shou
朱维京,zhu'wei'jing
朱文正,zhu'wen'zheng
朱五四,zhu'wu'si
渚溪,zhu'xi
朱希孝,zhu'xi'xiao
朱宪,zhu'xian
朱暹,zhu'xian
朱由检,zhu'you'jian
朱祐樘,zhu'you'tang
朱元璋,zhu'yuan'zhang
朱载堉,zhu'zai'yu
朱瞻基,zhu'zhan'ji
朱瞻墡,zhu'zhan'shan
朱寘鐇,zhu'zhi'fan
朱重八,zhu'zhong'ba
壮梅堂文集,zhuang'mei'tang'wen'ji
卓里克图汗,zhuo'li'ke'tu'han
紫钗记,zi'chai'ji
子母铳,zi'mu'chong
资善大夫,zi'shan'dai'fu
宗人府,zong'ren'fu
宗人令,zong'ren'ling
宗义,zong'yi
宗正,zong'zheng
宗子,zong'zi
邹德勇,zou'de'yong
邹普胜,zou'pu'sheng
邹应龙,zou'ying'long
祖承训,zu'cheng'xun
祖宽,zu'kuan
左光斗,zuo'guang'dou
左军,zuo'jun
左良玉,zuo'liang'yu
左钦,zuo'qin
左顺门,zuo'shun'men
左中允,zuo'zhong'yun
