爱好由来落笔难,ai'hao'you'lai'luo'bi'nan
荡胸生层云,dang'xiong'sheng'ceng'yun
道不拾遗,dao'bu'shi'yi
稻花香里说丰年,dao'hua'xiang'li'shuo'feng'nian
道是无晴却有晴,dao'shi'wu'qing'que'you'qing
悼亡,dao'wang
到乡翻似烂柯人,dao'xiang'fan'si'lan'ke'ren
捣衣砧上拂还来,dao'yi'zhen'shang'fu'hai'lai
盗贼出于贫穷,dao'zei'chu'yu'pin'qiong
得道多助,de'dao'duo'zhu
得来全不费功夫,de'lai'quan'bu'fei'gong'fu
得失寸心知,de'shi'cun'xin'zhi
登飞来峰,deng'fei'lai'feng
登高,deng'gao
登高必自卑,deng'gao'bi'zi'bei
登鹳雀楼,deng'guan'que'lou
登鹳鹊楼,deng'guan'que'lou
灯火已黄昏,deng'huo'yi'huang'hun
登快阁,deng'kuai'ge
登山则情满于山,deng'shan'ze'qing'man'yu'shan
登泰山而小天下,deng'tai'shan'er'xiao'tian'xia
等闲变却故人心,deng'xian'bian'que'gu'ren'xin
等闲离别易消魂,deng'xian'li'bie'yi'xiao'hun
等闲识得东风面,deng'xian'shi'de'dong'feng'mian
登幽州台歌,deng'you'zhou'tai'ge
低徊顾影无颜色,di'huai'gu'ying'wu'yan'se
低徊怎忘,di'huai'zen'wang
低回愧人子,di'hui'kui'ren'zi
滴空阶,di'kong'jie
地利不如人和,di'li'bu'ru'ren'he
低绮户,di'qi'hu
低头,di'tou
低头思故乡,di'tou'si'gu'xiang
第一折技花样画罗裙,di'yi'zhe'ji'hua'yang'hua'luo'qun
点鬓霜微,dian'bin'shuang'wei
点滴芭蕉心欲碎,dian'di'ba'jiao'xin'yu'sui
点检如今无一半,dian'jian'ru'jin'wu'yi'ban
点绛唇,dian'jiang'chun
点水蜻蜓款款飞,dian'shui'qing'ting'kuan'kuan'fei
雕阑曲处,diao'lan'qu'chu
雕栏玉砌应犹在,diao'lan'yu'qi'ying'you'zai
蝶恋花,die'lian'hua
定不负,ding'bu'fu
定风波,ding'feng'bo
定风波慢,ding'feng'bo'man
丁宁深意,ding'ning'shen'yi
丁巳重阳前三日,ding'si'chong'yang'qian'san'ri
定知今夕,ding'zhi'jin'xi
东边日出西边雨,dong'bian'ri'chu'xi'bian'yu
东风不解愁,dong'feng'bu'jie'chou
东风不与周郎便,dong'feng'bu'yu'zhou'lang'bian
东风无力百花残,dong'feng'wu'li'bai'hua'can
东风夜放花千树,dong'feng'ye'fang'hua'qian'shu
冻雷惊笋欲抽芽,dong'lei'jing'sun'yu'chou'ya
动如脱兔,dong'ru'tuo'tu
冬夜读书示子聿,dong'ye'du'shu'shi'zi'yu
东隅已逝,dong'yu'yi'shi
冬至阳生春又来,dong'zhi'yang'sheng'chun'you'lai
豆在釜中泣,dou'zai'fu'zhong'qi
独怆然而涕下,du'chuang'ran'er'ti'xia
独钓寒江雪,du'diao'han'jiang'xue
渡汉江,du'han'jiang
度帘幕中间,du'lian'mu'zhong'jian
独怜幽草涧边生,du'lian'you'cao'jian'bian'sheng
独上高楼,du'shang'gao'lou
独收万籁心,du'shou'wan'lai'xin
读书百遍,du'shu'bai'bian
读书破万卷,du'shu'po'wan'juan
读书声,du'shu'sheng
赌书消得泼茶香,du'shu'xiao'de'po'cha'xiang
独睡起来情悄悄,du'shui'qi'lai'qing'qiao'qiao
独卧藜床看北斗,du'wo'li'chuang'kan'bei'dou
笃行之,du'xing'zhi
独学而无友,du'xue'er'wu'you
独夜背纱笼,du'ye'bei'sha'long
独在异乡为异客,du'zai'yi'xiang'wei'yi'ke
独自立瑶阶,du'zi'li'yao'jie
独自追寻,du'zi'zhui'xun
独坐敬亭山,du'zuo'jing'ting'shan
独坐幽篁里,du'zuo'you'huang'li
断岸垂杨一叶舟,duan'an'chui'yang'yi'ye'zhou
断肠人去自经年,duan'chang'ren'qu'zi'jing'nian
断肠人在天涯,duan'chang'ren'zai'tian'ya
断带依然留乞句,duan'dai'yi'ran'liu'qi'ju
端的为谁添病也,duan'di'wei'shui'tian'bing'ye
短笛无腔信口吹,duan'di'wu'qiang'xin'kou'chui
短歌行,duan'ge'xing
断鸿声远长天暮,duan'hong'sheng'yuan'chang'tian'mu
断虹收,duan'hong'shou
短松冈,duan'song'gang
对别酒,dui'bie'jiu
对酒当歌,dui'jiu'dang'ge
对潇潇暮雨洒江天,dui'xiao'xiao'mu'yu'sa'jiang'tian
对影成三人,dui'ying'cheng'san'ren
朵朵花开淡墨痕,duo'duo'hua'kai'dan'mo'hen
多情却似总无情,duo'qing'que'si'zong'wu'qing
多情只有春庭月,duo'qing'zhi'you'chun'ting'yue
多情自古空余恨,duo'qing'zi'gu'kong'yu'hen
多情自古伤离别,duo'qing'zi'gu'shang'li'bie
多少梨园声在,duo'shao'li'yuan'sheng'zai
多少楼台烟雨中,duo'shao'lou'tai'yan'yu'zhong
多行不义,duo'xing'bu'yi
多行不义必自毙,duo'xing'bu'yi'bi'zi'bi
多助之至,duo'zhu'zhi'zhi
鹅,e
鹅鹅鹅,e'e'e
峨眉山月半轮秋,e'mei'shan'yue'ban'lun'qiu
峨眉山月歌,e'mei'shan'yue'ge
饿其体肤,e'qi'ti'fu
恶竹应须斩万竿,e'zhu'ying'xu'zhan'wan'gan
而伯乐不常有,er'bo'le'bu'chang'you
尔曹身为名俱灭,er'cao'shen'wei'ming'ju'mie
尔曹身与名俱灭,er'cao'shen'yu'ming'ju'mie
二更彻,er'geng'che
而后可以有为,er'hou'ke'yi'you'wei
而后喻,er'hou'yu
而后作,er'hou'zuo
而今才道当时错,er'jin'cai'dao'dang'shi'cuo
而今触绪添愁,er'jin'chu'xu'tian'chou
而今灯漫挂,er'jin'deng'man'gua
而今断送,er'jin'duan'song
而今乐事他年泪,er'jin'le'shi'ta'nian'lei
而今真个悔多情,er'jin'zhen'ge'hui'duo'qing
尔来从军天汉滨,er'lai'cong'jun'tian'han'bin
耳里如闻饥冻声,er'li'ru'wen'ji'dong'sheng
耳目所及尚如此,er'mu'suo'ji'shang'ru'ci
儿女共沾巾,er'nv'gong'zhan'jin
而顷刻两毙,er'qing'ke'liang'bi
二情同依依,er'qing'tong'yi'yi
儿时曾记得,er'shi'ceng'ji'de
二十三年弃置身,er'shi'san'nian'qi'zhi'shen
二十四桥明月夜,er'shi'si'qiao'ming'yue'ye
二十四桥仍在,er'shi'si'qiao'reng'zai
二十馀年如一梦,er'shi'yu'nian'ru'yi'meng
儿童急走追黄蝶,er'tong'ji'zou'zhui'huang'die
儿童散学归来早,er'tong'san'xue'gui'lai'zao
儿童想见不相识,er'tong'xiang'jian'bu'xiang'shi
儿童相见不相识,er'tong'xiang'jian'bu'xiang'shi
耳闻不如目见,er'wen'bu'ru'mu'jian
二月初惊见草芽,er'yue'chu'jing'jian'cao'ya
二月春风似剪刀,er'yue'chun'feng'si'jian'dao
二月山城未见花,er'yue'shan'cheng'wei'jian'hua
而知也无涯,er'zhi'ye'wu'ya
而智勇多困于所溺,er'zhi'yong'duo'kun'yu'suo'ni
发于声,fa'yu'sheng
返景入深林,fan'jing'ru'shen'lin
翻惊摇落,fan'jing'yao'luo
凡事预则立,fan'shi'yu'ze'li
芳草萋萋鹦鹉洲,fang'cao'qi'qi'ying'wu'zhou
芳草无情,fang'cao'wu'qing
仿佛照颜色,fang'fu'zhao'yan'se
芳郊绿遍,fang'jiao'lv'bian
芳林新叶催陈叶,fang'lin'xin'ye'cui'chen'ye
防民之口,fang'min'zhi'kou
方响前头见玉箫,fang'xiang'qian'tou'jian'yu'xiao
芳心是事可可,fang'xin'shi'shi'ke'ke
非淡泊无以明志,fei'dan'bo'wu'yi'ming'zhi
非复酒垆风调,fei'fu'jiu'lu'feng'tiao
飞红若到西湖底,fei'hong'ruo'dao'xi'hu'di
飞来峰上千寻塔,fei'lai'feng'shang'qian'xun'ta
飞流直下三千尺,fei'liu'zhi'xia'san'qian'chi
飞鸟相与还,fei'niao'xiang'yu'huan
非宁静无以致远,fei'ning'jing'wu'yi'zhi'yuan
飞入菜花无处寻,fei'ru'cai'hua'wu'chu'xun
飞入窗间伴懊侬,fei'ru'chuang'jian'ban'ao'nong
飞入寻常百姓家,fei'ru'xun'chang'bai'xing'jia
非是藉秋风,fei'shi'ji'qiu'feng
飞星传恨,fei'xing'chuan'hen
非学无以广才,fei'xue'wu'yi'guang'cai
飞雪迎春到,fei'xue'ying'chun'dao
飞在青云端,fei'zai'qing'yun'duan
非志无以成学,fei'zhi'wu'yi'cheng'xue
分曹射覆蜡灯红,fen'cao'she'fu'la'deng'hong
粉蝶如知合断魂,fen'die'ru'zhi'he'duan'hun
纷纷暮雪下辕门,fen'fen'mu'xue'xia'yuan'men
分付秋潮,fen'fu'qiu'chao
粉骨碎身浑不怕,fen'gu'sui'shen'hun'bu'pa
粉身碎骨浑不怕,fen'shen'sui'gu'hun'bu'pa
粉香看又别,fen'xiang'kan'you'bie
奋袖出臂,fen'xiu'chu'bi
蜂,feng
风,feng
风掣红旗冻不翻,feng'che'hong'qi'dong'bu'fan
风吹草低见牛羊,feng'chui'cao'di'xian'niu'yang
风吹一夜满关山,feng'chui'yi'ye'man'guan'shan
风动护花铃,feng'dong'hu'hua'ling
风光不与四时同,feng'guang'bu'yu'si'shi'tong
风鬟雨鬓,feng'huan'yu'bin
烽火连三月,feng'huo'lian'san'yue
风髻抛残秋草生,feng'ji'pao'can'qiu'cao'sheng
风急天高猿啸哀,feng'ji'tian'gao'yuan'xiao'ai
枫江夜泊,feng'jiang'ye'bo
风景旧曾谙,feng'jing'jiu'ceng'an
风流不在谈锋胜,feng'liu'bu'zai'tan'feng'sheng
风流子,feng'liu'zi
奉命于危难之间,feng'ming'yu'wei'nan'zhi'jian
丰年留客足鸡豚,feng'nian'liu'ke'zu'ji'tun
风暖鸟声碎,feng'nuan'niao'sheng'sui
风樯遥度天际,feng'qiang'yao'du'tian'ji
枫桥夜泊,feng'qiao'ye'bo
逢人渐觉乡音异,feng'ren'jian'jue'xiang'yin'yi
风日晴和人意好,feng'ri'qing'he'ren'yi'hao
逢入京使,feng'ru'jing'shi
逢山开路,feng'shan'kai'lu
风声,feng'sheng
风声雨声读书声声声入耳,feng'sheng'yu'sheng'du'shu'sheng'sheng'sheng'ru'er
风丝袅,feng'si'niao
风萧萧兮易水寒,feng'xiao'xiao'xi'yi'shui'han
风絮飘残已化萍,feng'xu'piao'can'yi'hua'ping
逢雪宿芙蓉山主人,feng'xue'su'fu'rong'shan'zhu'ren
风雪夜归人,feng'xue'ye'gui'ren
风也萧萧,feng'ye'xiao'xiao
风一更,feng'yi'geng
风雨不动安如山,feng'yu'bu'dong'an'ru'shan
风雨送春归,feng'yu'song'chun'gui
风雨消磨生死别,feng'yu'xiao'mo'sheng'si'bie
风正一帆悬,feng'zheng'yi'fan'xuan
辅车相依,fu'che'xiang'yi
复得返自然,fu'de'fan'zi'ran
赋得古原草送别,fu'de'gu'yuan'cao'song'bie
拂堤杨柳醉春烟,fu'di'yang'liu'zui'chun'yan
富贵不能淫,fu'gui'bu'neng'yin
富贵于我如浮云,fu'gui'yu'wo'ru'fu'yun
赋琵琶,fu'pi'pa
浮萍一道开,fu'ping'yi'dao'kai
芙蓉楼送辛渐,fu'rong'lou'song'xin'jian
芙蓉泣露香兰笑,fu'rong'qi'lu'xiang'lan'xiao
肤如凝脂,fu'ru'ning'zhi
俯首甘为孺子牛,fu'shou'gan'wei'ru'zi'niu
妇素未工诗,fu'su'wei'gong'shi
福兮祸所伏,fu'xi'huo'suo'fu
福兮祸之所伏,fu'xi'huo'zhi'suo'fu
凫雁满回塘,fu'yan'man'hui'tang
扶摇直上九万里,fu'yao'zhi'shang'jiu'wan'li
福因才折,fu'yin'cai'zhe
浮云游子意,fu'yun'you'zi'yi
复照青苔上,fu'zhao'qing'tai'shang
干戈寥落四周星,gan'ge'liao'luo'si'zhou'xing
感激东风,gan'ji'dong'feng
感君缠绵意,gan'jun'chan'mian'yi
感时花溅泪,gan'shi'hua'jian'lei
刚作愁时又忆卿,gang'zuo'chou'shi'you'yi'qing
高岸为谷,gao'an'wei'gu
高城望断,gao'cheng'wang'duan
高处不胜寒,gao'chu'bu'sheng'han
高高秋月照长城,gao'gao'qiu'yue'zhao'chang'cheng
高山仰止,gao'shan'yang'zhi
高台树色阴阴见,gao'tai'shu'se'yin'yin'jian
高梧湿月冷无声,gao'wu'shi'yue'leng'wu'sheng
高阳台,gao'yang'tai
个个花开淡墨痕,ge'ge'hua'kai'dan'mo'hen
歌管楼台声细细,ge'guan'lou'tai'sheng'xi'xi
隔花才歇帘纤雨,ge'hua'cai'xie'lian'xian'yu
隔江犹唱后庭花,ge'jiang'you'chang'hou'ting'hua
各领风骚数百年,ge'ling'feng'sao'shu'bai'nian
割取秋潮,ge'qu'qiu'chao
歌声振林樾,ge'sheng'zhen'lin'yue
歌诗合为事而作,ge'shi'he'wei'shi'er'zuo
隔叶黄鹂空好音,ge'ye'huang'li'kong'hao'yin
隔座送钩春酒暖,ge'zuo'song'gou'chun'jiu'nuan
更长门,geng'chang'men
更吹落,geng'chui'luo
更更,geng'geng
更那堪冷落清秋节,geng'na'kan'leng'luo'qing'qiu'jie
更上一层楼,geng'shang'yi'ceng'lou
更为谁羞,geng'wei'shui'xiu
更无山与齐,geng'wu'shan'yu'qi
更与何人说,geng'yu'he'ren'shuo
更在斜阳外,geng'zai'xie'yang'wai
更著风和雨,geng'zhu'feng'he'yu
工夫在诗外,gong'fu'zai'shi'wai
功亏一篑,gong'kui'yi'kui
共谁语,gong'shui'yu
攻无不克,gong'wu'bu'ke
共携手处,gong'xie'shou'chu
工欲善其事,gong'yu'shan'qi'shi
共追游处,gong'zhui'you'chu
攻子之盾,gong'zi'zhi'dun
苟全性命于乱世,gou'quan'xing'ming'yu'luan'shi
苟余心之端直兮,gou'yu'xin'zhi'duan'zhi'xi
孤城遥望玉门关,gu'cheng'yao'wang'yu'men'guan
故穿庭树作飞花,gu'chuan'ting'shu'zuo'fei'hua
古道西风瘦马,gu'dao'xi'feng'shou'ma
古道西风瘦马夕阳西下,gu'dao'xi'feng'shou'ma'xi'yang'xi'xia
孤帆一片日边来,gu'fan'yi'pian'ri'bian'lai
孤帆远影碧空尽,gu'fan'yuan'ying'bi'kong'jin
孤光一点萤,gu'guang'yi'dian'ying
故国不堪回首月明中,gu'guo'bu'kan'hui'shou'yue'ming'zhong
故将愁苦而终穷,gu'jiang'chou'ku'er'zhong'qiong
固将重昏而终身,gu'jiang'zhong'hun'er'zhong'shen
沽酒楼前,gu'jiu'lou'qian
古来征战几人回,gu'lai'zheng'zhan'ji'ren'hui
古朗月行,gu'lang'yue'xing
古木阴中系短篷,gu'mu'yin'zhong'xi'duan'peng
孤蓬万里征,gu'peng'wan'li'zheng
故人具鸡黍,gu'ren'ju'ji'shu
故人西辞黄鹤楼,gu'ren'xi'ci'huang'he'lou
古人学问无遗力,gu'ren'xue'wen'wu'yi'li
古人征战几人回,gu'ren'zheng'zhan'ji'ren'hui
鼓瑟吹笙,gu'se'chui'sheng
孤山寺北贾亭西,gu'shan'si'bei'jia'ting'xi
古戍烽烟迷斥堠,gu'shu'feng'yan'mi'chi'hou
姑苏城外寒山寺,gu'su'cheng'wai'han'shan'si
故天将降大任于是人也,gu'tian'jiang'jiang'da'ren'yu'shi'ren'ye
故为之说,gu'wei'zhi'shuo
故园东望路漫漫,gu'yuan'dong'wang'lu'man'man
故园无此声,gu'yuan'wu'ci'sheng
孤云独去闲,gu'yun'du'qu'xian
孤舟蓑笠翁,gu'zhou'suo'li'weng
瓜田不纳履,gua'tian'bu'na'lv
寡助之至,gua'zhu'zhi'zhi
官船来往乱如麻,guan'chuan'lai'wang'luan'ru'ma
鳏寡孤独废疾者皆有所养,guan'gua'gu'du'fei'ji'zhe'jie'you'suo'yang
关关雎鸠,guan'guan'ju'jiu
观海则意溢于海,guan'hai'ze'yi'yi'yu'hai
观千剑而后识器,guan'qian'jian'er'hou'shi'qi
观千剑而识器,guan'qian'jian'er'shi'qi
关山度若飞,guan'shan'du'ruo'fei
观书有感,guan'shu'you'gan
管中窥豹,guan'zhong'kui'bao
归家喜及辰,gui'jia'xi'ji'chen
贵贱不相逾,gui'jian'bu'xiang'yu
归来却怪丹青手,gui'lai'que'guai'dan'qing'shou
归期安得信如潮,gui'qi'an'de'xin'ru'chao
归去,gui'qu
桂树何团团,gui'shu'he'tuan'tuan
衮衮长江萧萧木,gun'gun'chang'jiang'xiao'xiao'mu
过春风十里,guo'chun'feng'shi'li
过春社了,guo'chun'she'le
过而能改,guo'er'neng'gai
过故人庄,guo'gu'ren'zhuang
国恒亡,guo'heng'wang
过江千尺浪,guo'jiang'qian'chi'lang
过尽飞鸿字字愁,guo'jin'fei'hong'zi'zi'chou
过零丁洋,guo'ling'ding'yang
国破山河在,guo'po'shan'he'zai
过桥分野色,guo'qiao'fen'ye'se
国事,guo'shi
聒碎乡心梦不成,guo'sui'xiang'xin'meng'bu'cheng
国以民为本,guo'yi'min'wei'ben
海不厌深,hai'bu'yan'shen
还道有情无,hai'dao'you'qing'wu
海阔凭鱼跃,hai'kuo'ping'yu'yue
海纳百川,hai'na'bai'chuan
海内存如已,hai'nei'cun'ru'yi
海内存知己,hai'nei'cun'zhi'ji
还怕两人俱薄命,hai'pa'liang'ren'ju'bo'ming
海上明月共潮生,hai'shang'ming'yue'gong'chao'sheng
海上升明月,hai'shang'sheng'ming'yue
海上生明月,hai'shang'sheng'ming'yue
还剩旧时月色在潇湘,hai'sheng'jiu'shi'yue'se'zai'xiao'xiang
海天谁放冰轮满,hai'tian'shui'fang'bing'lun'man
汗滴禾下土,han'di'he'xia'tu
汉恩自浅胡恩深,han'en'zi'qian'hu'en'shen
寒更雨歇,han'geng'yu'xie
汉宫侍女暗垂泪,han'gong'shi'nv'an'chui'lei
汉宫有佳人,han'gong'you'jia'ren
寒光照铁衣,han'guang'zhao'tie'yi
瀚海阑干百丈冰,han'hai'lan'gan'bai'zhang'bing
汉计诚已拙,han'ji'cheng'yi'zhuo
寒梅着花未,han'mei'zhe'hua'wei
寒梅著花未,han'mei'zhu'hua'wei
含情欲语独无处,han'qing'yu'yu'du'wu'chu
寒食,han'shi
寒食东风御柳斜,han'shi'dong'feng'yu'liu'xie
寒衣针线密,han'yi'zhen'xian'mi
寒雨连江夜入吴,han'yu'lian'jiang'ye'ru'wu
韩元吉,han'yuan'ji
浩荡离愁白日斜,hao'dang'li'chou'bai'ri'xie
好梦由来最易醒,hao'meng'you'lai'zui'yi'xing
好收吾骨瘴江边,hao'shou'wu'gu'zhang'jiang'bian
好雨知时节,hao'yu'zhi'shi'jie
好在毡城莫相忆,hao'zai'zhan'cheng'mo'xiang'yi
好知他,hao'zhi'ta
好之者不如乐之者,hao'zhi'zhe'bu'ru'le'zhi'zhe
合抱之木,he'bao'zhi'mu
何不相逢未嫁时,he'bu'xiang'feng'wei'jia'shi
何处吹箫,he'chu'chui'xiao
何处春江无月明,he'chu'chun'jiang'wu'yue'ming
何处得秋霜,he'chu'de'qiu'shuang
何处几叶萧萧雨,he'chu'ji'ye'xiao'xiao'yu
何处相思明月楼,he'chu'xiang'si'ming'yue'lou
河传,he'chuan
何当共剪西窗烛,he'dang'gong'jian'xi'chuang'zhu
何当金络脑,he'dang'jin'luo'nao
何故乱翻数,he'gu'luan'fan'shu
何患辞,he'huan'ci
荷尽已无擎雨盖,he'jin'yi'wu'qing'yu'gai
何况文园憔悴后,he'kuang'wen'yuan'qiao'cui'hou
贺兰山缺,he'lan'shan'que
和暖和香,he'nuan'he'xiang
何人不起故园情,he'ren'bu'qi'gu'yuan'qing
何日更重游,he'ri'geng'chong'you
何如薄倖锦衣郎,he'ru'bo'xing'jin'yi'lang
何事长向别时圆,he'shi'chang'xiang'bie'shi'yuan
何时长向别时圆,he'shi'chang'xiang'bie'shi'yuan
何事东风,he'shi'dong'feng
何时复西归,he'shi'fu'xi'gui
何时共泛春溪月,he'shi'gong'fan'chun'xi'yue
何时可掇,he'shi'ke'duo
何时灭,he'shi'mie
何事秋风悲画扇,he'shi'qiu'feng'bei'hua'shan
何事添凄咽,he'shi'tian'qi'yan
何似在人间,he'si'zai'ren'jian
贺新郎,he'xin'lang
荷叶杯,he'ye'bei
何以解忧,he'yi'jie'you
何枝可依,he'zhi'ke'yi
贺铸,he'zhu
黑发不知勤学早,hei'fa'bu'zhi'qin'xue'zao
黑云翻墨未遮山,hei'yun'fan'mo'wei'zhe'shan
黑云压城城欲摧,hei'yun'ya'cheng'cheng'yu'cui
恨别鸟惊心,hen'bie'niao'jing'xin
恨到归时方始休,hen'dao'gui'shi'fang'shi'xiu
恨悠悠,hen'you'you
横看成岭侧成峰,heng'kan'cheng'ling'ce'cheng'feng
横眉冷对千夫指,heng'mei'leng'dui'qian'fu'zhi
衡于虑,heng'yu'lv
红豆生南国,hong'dou'sheng'nan'guo
红笺向壁字模糊,hong'jian'xiang'bi'zi'mo'hu
红阑绕,hong'lan'rao
红泪偷垂,hong'lei'tou'chui
红随步,hong'sui'bu
红他枫叶白人头,hong'ta'feng'ye'bai'ren'tou
红杏枝头春意闹,hong'xing'zhi'tou'chun'yi'nao
鸿雁长飞光不度,hong'yan'chang'fei'guang'bu'du
红颜胜人多薄命,hong'yan'sheng'ren'duo'bo'ming
红衣狼藉,hong'yi'lang'ji
红影湿幽窗,hong'ying'shi'you'chuang
红怨,hong'yuan
红掌拨清波,hong'zhang'bo'qing'bo
后不见来者,hou'bu'jian'lai'zhe
后车戒,hou'che'jie
厚积而薄发,hou'ji'er'bo'fa
侯门一入深似海,hou'men'yi'ru'shen'si'hai
后世之师,hou'shi'zhi'shi
后事之师,hou'shi'zhi'shi
后天下之乐而乐,hou'tian'xia'zhi'le'er'le
忽傍犀奁见翠翘,hu'bang'xi'lian'jian'cui'qiao
呼灯灌穴,hu'deng'guan'xue
呼儿问辛苦,hu'er'wen'xin'ku
湖光秋月两相和,hu'guang'qiu'yue'liang'xiang'he
忽然闭口立,hu'ran'bi'kou'li
忽如一夜春风来,hu'ru'yi'ye'chun'feng'lai
户枢不蠹,hu'shu'bu'du
胡天八月即飞雪,hu'tian'ba'yue'ji'fei'xue
忽闻岸上踏歌声,hu'wen'an'shang'ta'ge'sheng
槲叶落山路,hu'ye'luo'shan'lu
忽疑君到,hu'yi'jun'dao
呼作白玉盘,hu'zuo'bai'yu'pan
华表月明归夜鹤,hua'biao'yue'ming'gui'ye'he
花底人无语,hua'di'ren'wu'yu
花发江边二月晴,hua'fa'jiang'bian'er'yue'qing
花骨冷宜香,hua'gu'leng'yi'xiang
画角声断谯门,hua'jiao'sheng'duan'qiao'men
花径不曾缘客扫,hua'jing'bu'ceng'yuan'ke'sao
花径漏,hua'jing'lou
花开花落年复年,hua'kai'hua'luo'nian'fu'nian
花开鸟语辄自醉,hua'kai'niao'yu'zhe'zi'zui
花空烟水流,hua'kong'yan'shui'liu
画楼西畔桂堂东,hua'lou'xi'pan'gui'tang'dong
花落水流红,hua'luo'shui'liu'hong
花落知多少,hua'luo'zhi'duo'shao
画眉鸟,hua'mei'niao
花木成畦手自栽,hua'mu'cheng'qi'shou'zi'zai
花能嫣然顾我笑,hua'neng'yan'ran'gu'wo'xiao
花如雪,hua'ru'xue
华山,hua'shan
画堂春,hua'tang'chun
花无百日红,hua'wu'bai'ri'hong
花有清香月有阴,hua'you'qing'xiang'yue'you'yin
花枝,hua'zhi
花重锦官城,hua'zhong'jin'guan'cheng
花竹今如此,hua'zhu'jin'ru'ci
花自飘零水自流,hua'zi'piao'ling'shui'zi'liu
化作春泥更护花,hua'zuo'chun'ni'geng'hu'hua
怀旧空吟闻笛赋,huai'jiu'kong'yin'wen'di'fu
还君明珠双泪垂,huan'jun'ming'zhu'shuang'lei'chui
浣溪沙,huan'xi'sha
还治其人之身,huan'zhi'qi'ren'zhi'shen
黄鹤楼,huang'he'lou
黄鹤楼送孟浩然之广陵,huang'he'lou'song'meng'hao'ran'zhi'guang'ling
黄河捧土尚可塞,huang'he'peng'tu'shang'ke'sai
黄河入海流,huang'he'ru'hai'liu
黄鹤一去不复返,huang'he'yi'qu'bu'fu'fan
黄河远上白云间,huang'he'yuan'shang'bai'yun'jian
黄花开也近重阳,huang'hua'kai'ye'jin'chong'yang
黄花时节碧云天,huang'hua'shi'jie'bi'yun'tian
黄昏只对梨花,huang'hun'zhi'dui'li'hua
黄金错刀白玉装,huang'jin'cuo'dao'bai'yu'zhuang
黄金杆拨春风手,huang'jin'gan'bo'chun'feng'shou
惶恐滩头说惶恐,huang'kong'tan'tou'shuo'huang'kong
黄梅时节家家雨,huang'mei'shi'jie'jia'jia'yu
黄雀在后,huang'que'zai'hou
黄沙百战穿金甲,huang'sha'bai'zhan'chuan'jin'jia
黄四娘家花满蹊,huang'si'niang'jia'hua'man'xi
黄叶青苔归路,huang'ye'qing'tai'gui'lu
荒于嬉,huang'yu'xi
黄钟毁弃,huang'zhong'hui'qi
悔不早荆钗,hui'bu'zao'jing'chai
惠崇春江晚景,hui'chong'chun'jiang'wan'jing
惠崇春江晓景,hui'chong'chun'jiang'xiao'jing
悔当初,hui'dang'chu
会当凌绝顶,hui'dang'ling'jue'ding
恢弘志士之气,hui'hong'zhi'shi'zhi'qi
悔教罗袜葬倾城,hui'jiao'luo'wa'zang'qing'cheng
回廊一寸相思地,hui'lang'yi'cun'xiang'si'di
回乐峰寒,hui'le'feng'han
回乐烽前沙似雪,hui'le'feng'qian'sha'si'xue
回眸一笑百媚生,hui'mou'yi'xiao'bai'mei'sheng
诲人不倦,hui'ren'bu'juan
回首白云低,hui'shou'bai'yun'di
回首向来萧瑟处,hui'shou'xiang'lai'xiao'se'chu
挥手自兹去,hui'shou'zi'zi'qu
回头忍笑阶前立,hui'tou'ren'xiao'jie'qian'li
回乡偶书,hui'xiang'ou'shu
毁于蚁穴,hui'yu'yi'xue
魂是柳绵吹欲碎,hun'shi'liu'mian'chui'yu'sui
昏鸦尽,hun'ya'jin
浑欲不胜簪,hun'yu'bu'sheng'zan
祸患常积于忽微,huo'huan'chang'ji'yu'hu'wei
或轻于鸿毛,huo'qing'yu'hong'mao
祸兮福所倚,huo'xi'fu'suo'yi
祸兮福之所倚,huo'xi'fu'zhi'suo'yi
或重于泰山,huo'zhong'yu'tai'shan
寄愁何处好,ji'chou'he'chu'hao
几处早莺争暖树,ji'chu'zao'ying'zheng'nuan'shu
即从巴峡穿巫峡,ji'cong'ba'xia'chuan'wu'xia
记当时,ji'dang'shi
寄东平李司空师道,ji'dong'ping'li'si'kong'shi'dao
几度夕阳红,ji'du'xi'yang'hong
几翻离合,ji'fan'li'he
疾风知劲草,ji'feng'zhi'jin'cao
几竿修竹三更雨,ji'gan'xiu'zhu'san'geng'yu
己亥杂诗,ji'hai'za'shi
髻鬟对起,ji'huan'dui'qi
几回肠断处,ji'hui'chang'duan'chu
几回凭双燕,ji'hui'ping'shuang'yan
几回偷拭青衫泪,ji'hui'tou'shi'qing'shan'lei
积毁销骨,ji'hui'xiao'gu
记吉日,ji'ji'ri
几家欢乐几家愁,ji'jia'huan'le'ji'jia'chou
既来之,ji'lai'zhi
寂寞开无主,ji'mo'kai'wu'zhu
寂寞梧桐深院锁清秋,ji'mo'wu'tong'shen'yuan'suo'qing'qiu
羁鸟恋旧林,ji'niao'lian'jiu'lin
击其惰归,ji'qi'duo'gui
记前生,ji'qian'sheng
鸡犬之声相闻,ji'quan'zhi'sheng'xiang'wen
鸡声茅店月,ji'sheng'mao'dian'yue
寄声欲问塞南事,ji'sheng'yu'wen'sai'nan'shi
几丝柔绿乍和烟,ji'si'rou'lv'zha'he'yan
己所不欲,ji'suo'bu'yu
记绾长条欲别难,ji'wan'chang'tiao'yu'bie'nan
