阿贝不变量,a'bei'bu'bian'liang
罗兰圆,luo'lan'yuan
洛伦兹变换,luo'lun'zi'bian'huan
洛伦兹变换的双曲形式,luo'lun'zi'bian'huan'de'shuang'qu'xing'shi
洛伦兹不变量,luo'lun'zi'bu'bian'liang
洛伦兹不变式,luo'lun'zi'bu'bian'shi
洛伦兹不变性,luo'lun'zi'bu'bian'xing
洛伦兹条件,luo'lun'zi'tiao'jian
洛伦兹协变量,luo'lun'zi'xie'bian'liang
洛伦兹协变式,luo'lun'zi'xie'bian'shi
洛伦兹协变性,luo'lun'zi'xie'bian'xing
洛伦兹因数,luo'lun'zi'yin'shu
螺绕环,luo'rao'huan
洛施密特常量,luo'shi'mi'te'chang'liang
螺旋测微器,luo'xuan'ce'wei'qi
螺旋性,luo'xuan'xing
螺旋运动,luo'xuan'yun'dong
马赫数,ma'he'shu
迈克耳孙干涉仪,mai'ke'er'sun'gan'she'yi
麦克斯韦方程组,mai'ke'si'wei'fang'cheng'zu
麦克斯韦关系,mai'ke'si'wei'guan'xi
麦克斯韦速率分布,mai'ke'si'wei'su'lv'fen'bu
麦克斯韦妖,mai'ke'si'wei'yao
迈耶函数,mai'ye'han'shu
漫反射,man'fan'she
慢移钟同步,man'yi'zhong'tong'bu
毛发湿度计,mao'fa'shi'du'ji
毛细管,mao'xi'guan
毛细现象,mao'xi'xian'xiang
米尺,mi'chi
密度,mi'du
密度涨落,mi'du'zhang'luo
密立根油滴实验,mi'li'gen'you'di'shi'yan
面电荷密度,mian'dian'he'mi'du
面积,mian'ji
冕牌玻璃,mian'pai'bo'li
闵可夫斯基几何,min'ke'fu'si'ji'ji'he
闵可夫斯基坐标系,min'ke'fu'si'ji'zuo'biao'xi
明视距离,ming'shi'ju'li
摩擦角,mo'ca'jiao
摩擦力,mo'ca'li
摩尔热容,mo'er're'rong
摩尔体积,mo'er'ti'ji
模量,mo'liang
模拟,mo'ni
莫塞莱定律,mo'sai'lai'ding'lv
末速度,mo'su'du
穆斯堡尔谱仪,mu'si'bao'er'pu'yi
内禀方程,nei'bing'fang'cheng
内禀角动量,nei'bing'jiao'dong'liang
内插,nei'cha
内聚力,nei'ju'li
内力,nei'li
内能,nei'neng
内阻,nei'zu
能带,neng'dai
能级宽度,neng'ji'kuan'du
能量,neng'liang
能量动量张量,neng'liang'dong'liang'zhang'liang
能量守恒定律,neng'liang'shou'heng'ding'lv
能流,neng'liu
能流密度,neng'liu'mi'du
能斯特定理,neng'si'te'ding'li
能斯特真空量热器,neng'si'te'zhen'kong'liang're'qi
尼科耳棱镜,ni'ke'er'leng'jing
拟设,ni'she
粘度计,nian'du'ji
粘度系数,nian'du'xi'shu
粘性,nian'xing
粘性流体,nian'xing'liu'ti
凝固,ning'gu
凝固点,ning'gu'dian
凝结,ning'jie
凝结核,ning'jie'he
扭摆,niu'bai
扭秤,niu'cheng
牛顿第二定律,niu'dun'di'er'ding'lv
牛顿第三定律,niu'dun'di'san'ding'lv
牛顿第一定律,niu'dun'di'yi'ding'lv
扭矩,niu'ju
扭转,niu'zhuan
耦合摆,ou'he'bai
欧拉角,ou'la'jiao
欧拉流体动力学方程,ou'la'liu'ti'dong'li'xue'fang'cheng
欧拉运动学方程,ou'la'yun'dong'xue'fang'cheng
偶然误差,ou'ran'wu'cha
帕斯卡定律,pa'si'ka'ding'lv
帕邢系,pa'xing'xi
拍,pai
拍频,pai'pin
判据,pan'ju
潘索运动,pan'suo'yun'dong
庞加莱群,pang'jia'lai'qun
泡利方程,pao'li'fang'cheng
抛体,pao'ti
抛体运动,pao'ti'yun'dong
抛物面镜,pao'wu'mian'jing
配分函数,pei'fen'han'shu
膨胀率,peng'zhang'lv
碰撞,peng'zhuang
碰撞参量,peng'zhuang'can'liang
碰撞频率,peng'zhuang'pin'lv
皮拉尼真空规,pi'la'ni'zhen'kong'gui
劈形膜,pi'xing'mo
偏向角,pian'xiang'jiao
偏振,pian'zhen
偏振度,pian'zhen'du
偏振光,pian'zhen'guang
偏置,pian'zhi
偏转板,pian'zhuan'ban
频率,pin'lv
频闪测速计,pin'shan'ce'su'ji
频闪仪,pin'shan'yi
品质因数,pin'zhi'yin'shu
平衡,ping'heng
平衡态,ping'heng'tai
平衡条件,ping'heng'tiao'jian
平衡位置,ping'heng'wei'zhi
平均偏差,ping'jun'pian'cha
平均速度,ping'jun'su'du
平均自由程,ping'jun'zi'you'cheng
平面波,ping'mian'bo
平面平行运动,ping'mian'ping'xing'yun'dong
平行光束,ping'xing'guang'shu
平行力系,ping'xing'li'xi
平行四边形定则,ping'xing'si'bian'xing'ding'ze
平行轴定理,ping'xing'zhou'ding'li
平移,ping'yi
平移算符,ping'yi'suan'fu
普丰德系,pu'feng'de'xi
普朗克常量,pu'lang'ke'chang'liang
普朗克辐射公式,pu'lang'ke'fu'she'gong'shi
普适常量,pu'shi'chang'liang
普适气体常量,pu'shi'qi'ti'chang'liang
普通物理学,pu'tong'wu'li'xue
谱线宽度,pu'xian'kuan'du
谱项,pu'xiang
起电,qi'dian
汽点,qi'dian
气垫导轨,qi'dian'dao'gui
气垫桌,qi'dian'zhuo
汽化,qi'hua
汽化热,qi'hua're
器件,qi'jian
齐明点,qi'ming'dian
气体,qi'ti
气体比重计,qi'ti'bi'zhong'ji
气体动力学,qi'ti'dong'li'xue
气体动理学理论,qi'ti'dong'li'xue'li'lun
气体温度计,qi'ti'wen'du'ji
期望值,qi'wang'zhi
气压计,qi'ya'ji
前进波,qian'jin'bo
牵连惯性力,qian'lian'guan'xing'li
牵连加速度,qian'lian'jia'su'du
牵连速度,qian'lian'su'du
牵连运动,qian'lian'yun'dong
前期量子论,qian'qi'liang'zi'lun
潜热,qian're
欠阻尼,qian'zu'ni
强度反射率,qiang'du'fan'she'lv
强度量,qiang'du'liang
切向加速度,qie'xiang'jia'su'du
切向应力,qie'xiang'ying'li
氢原子,qing'yuan'zi
球径计,qiu'jing'ji
球面摆,qiu'mian'bai
球面波,qiu'mian'bo
球面镜,qiu'mian'jing
球面象差,qiu'mian'xiang'cha
驱动力,qu'dong'li
屈服,qu'fu
屈服点,qu'fu'dian
趋肤深度,qu'fu'shen'du
屈光度,qu'guang'du
曲线运动,qu'xian'yun'dong
取向极化,qu'xiang'ji'hua
全同粒子,quan'tong'li'zi
全息照相,quan'xi'zhao'xiang
权重,quan'zhong
缺级,que'ji
群速,qun'su
热,re
热传导,re'chuan'dao
热对流,re'dui'liu
热功当量,re'gong'dang'liang
热寂,re'ji
热机效率,re'ji'xiao'lv
热库,re'ku
热力学,re'li'xue
热力学第二定律,re'li'xue'di'er'ding'lv
热力学第零定律,re'li'xue'di'ling'ding'lv
热力学第三定律,re'li'xue'di'san'ding'lv
热力学第一定律,re'li'xue'di'yi'ding'lv
热力学概率,re'li'xue'gai'lv
热力学过程,re'li'xue'guo'cheng
热力学函数,re'li'xue'han'shu
热力学极限,re'li'xue'ji'xian
热力学流,re'li'xue'liu
热力学平衡,re'li'xue'ping'heng
热力学势,re'li'xue'shi
热力学温标,re'li'xue'wen'biao
热力学温度,re'li'xue'wen'du
热力学系统,re'li'xue'xi'tong
热力学循环,re'li'xue'xun'huan
热量,re'liang
热敏电阻,re'min'dian'zu
热平衡,re'ping'heng
热容量,re'rong'liang
热学,re'xue
热源,re'yuan
热运动,re'yun'dong
热噪声,re'zao'sheng
热致发光,re'zhi'fa'guang
热质说,re'zhi'shuo
熔点,rong'dian
熔化,rong'hua
熔化热,rong'hua're
溶解,rong'jie
溶解热,rong'jie're
溶液,rong'ye
入射窗,ru'she'chuang
入射光瞳,ru'she'guang'tong
入射线,ru'she'xian
瑞利散射,rui'li'san'she
塞曼效应,sai'man'xiao'ying
三重态,san'chong'tai
散光镜,san'guang'jing
三极管,san'ji'guan
散焦,san'jiao
三角形接法,san'jiao'xing'jie'fa
散射,san'she
散射长度,san'she'chang'du
散射光,san'she'guang
散射角,san'she'jiao
散射截面,san'she'jie'mian
散射体,san'she'ti
三体问题,san'ti'wen'ti
三维光栅,san'wei'guang'shan
三相点,san'xiang'dian
色度学,se'du'xue
色偏振,se'pian'zhen
色散本领,se'san'ben'ling
色散方程,se'san'fang'cheng
栅极,shan'ji
闪耀角,shan'yao'jiao
熵,shang
熵增加原理,shang'zeng'jia'yuan'li
摄动,she'dong
摄谱仪,she'pu'yi
摄氏温标,she'shi'wen'biao
声波,sheng'bo
声导,sheng'dao
声导纳,sheng'dao'na
声调,sheng'diao
声共振,sheng'gong'zhen
声光效应,sheng'guang'xiao'ying
升华,sheng'hua
升华热,sheng'hua're
声级,sheng'ji
声抗,sheng'kang
升力,sheng'li
声呐,sheng'na
声纳,sheng'na
声频振荡器,sheng'pin'zhen'dang'qi
声强,sheng'qiang
声强计,sheng'qiang'ji
声速,sheng'su
生物物理学,sheng'wu'wu'li'xue
声学,sheng'xue
声压强,sheng'ya'qiang
声音,sheng'yin
声源,sheng'yuan
声阻,sheng'zu
声阻抗,sheng'zu'kang
示波器,shi'bo'qi
拾波线圈,shi'bo'xian'quan
视场,shi'chang
湿度,shi'du
湿度计,shi'du'ji
势函数,shi'han'shu
时间,shi'jian
事件间隔,shi'jian'jian'ge
时间延缓,shi'jian'yan'huan
世界管,shi'jie'guan
势阱,shi'jing
时空点,shi'kong'dian
时空均匀性,shi'kong'jun'yun'xing
时空连续统,shi'kong'lian'xu'tong
时空图,shi'kong'tu
势垒穿透,shi'lei'chuan'tou
矢量,shi'liang
矢量模型,shi'liang'mo'xing
示零器,shi'ling'qi
势能,shi'neng
实象,shi'xiang
时谐波,shi'xie'bo
时谐光波,shi'xie'guang'bo
实验,shi'yan
实验室坐标系,shi'yan'shi'zuo'biao'xi
实验物理学,shi'yan'wu'li'xue
失重,shi'zhong
受激发射,shou'ji'fa'she
受激拉曼散射,shou'ji'la'man'san'she
受迫振动,shou'po'zhen'dong
输出,shu'chu
束缚电子,shu'fu'dian'zi
束缚态,shu'fu'tai
数据,shu'ju
数理物理学,shu'li'wu'li'xue
输运现象,shu'yun'xian'xiang
数值孔径,shu'zhi'kong'jing
数字多用表,shu'zi'duo'yong'biao
数字伏特计,shu'zi'fu'te'ji
数字计时器,shu'zi'ji'shi'qi
数字频率计,shu'zi'pin'lv'ji
衰减常量,shuai'jian'chang'liang
双侧约束,shuang'ce'yue'shu
双缝衍射,shuang'feng'yan'she
双折射,shuang'zhe'she
双轴晶体,shuang'zhou'jing'ti
水准器,shui'zhun'qi
顺磁性,shun'ci'xing
瞬时螺旋轴,shun'shi'luo'xuan'zhou
瞬时速度,shun'shi'su'du
丝极,si'ji
斯莱特行列式,si'lai'te'hang'lie'shi
死时间,si'shi'jian
斯塔克效应,si'ta'ke'xiao'ying
四维动量,si'wei'dong'liang
四维加速度,si'wei'jia'su'du
四维流密度,si'wei'liu'mi'du
四维时空,si'wei'shi'kong
四维速度,si'wei'su'du
四维张量,si'wei'zhang'liang
速调管,su'diao'guan
速度,su'du
速度的分解,su'du'de'fen'jie
速度的合成,su'du'de'he'cheng
速度共振,su'du'gong'zhen
速度空间,su'du'kong'jian
速率,su'lv
塑性,su'xing
塑性形变,su'xing'xing'bian
算术平均,suan'shu'ping'jun
随遇平衡,sui'yu'ping'heng
锁定放大器,suo'ding'fang'da'qi
索末菲椭圆轨道,suo'mo'fei'tuo'yuan'gui'dao
态,tai
态变量,tai'bian'liang
态函数,tai'han'shu
太阳能电池,tai'yang'neng'dian'chi
弹簧秤,tan'huang'cheng
弹性,tan'xing
弹性力,tan'xing'li
弹性体,tan'xing'ti
逃逸速度,tao'yi'su'du
体积,ti'ji
体全息图,ti'quan'xi'tu
天平,tian'ping
天体物理学,tian'ti'wu'li'xue
天线,tian'xian
天线阵,tian'xian'zhen
调焦,tiao'jiao
调节,tiao'jie
铁磁性,tie'ci'xing
铁电体,tie'dian'ti
停表,ting'biao
统计力学,tong'ji'li'xue
统计平衡,tong'ji'ping'heng
统计权重,tong'ji'quan'zhong
统计算符,tong'ji'suan'fu
统计物理学,tong'ji'wu'li'xue
同时性,tong'shi'xing
同位素移位,tong'wei'su'yi'wei
同轴线,tong'zhou'xian
透镜,tou'jing
透镜光心,tou'jing'guang'xin
透明性,tou'ming'xing
湍流,tuan'liu
湍流阻力,tuan'liu'zu'li
推迟势,tui'chi'shi
推广,tui'guang
推理,tui'li
陀螺,tuo'luo
陀螺仪,tuo'luo'yi
椭圆偏振,tuo'yuan'pian'zhen
瓦时计,wa'shi'ji
外反射,wai'fan'she
外力,wai'li
弯曲,wan'qu
弯曲应变,wan'qu'ying'bian
弯曲应力,wan'qu'ying'li
完全非弹性碰撞,wan'quan'fei'tan'xing'peng'zhuang
完全气体,wan'quan'qi'ti
完全弹性碰撞,wan'quan'tan'xing'peng'zhuang
万有引力定律,wan'you'yin'li'ding'lv
完整系,wan'zheng'xi
望远镜,wang'yuan'jing
维恩位移律,wei'en'wei'yi'lv
威耳逊云室,wei'er'xun'yun'shi
微分散射截面,wei'fen'san'she'jie'mian
微观可逆性,wei'guan'ke'ni'xing
微观粒子,wei'guan'li'zi
微观量,wei'guan'liang
未来,wei'lai
位力定理,wei'li'ding'li
微粒说,wei'li'shuo
位力系数,wei'li'xi'shu
微扰论,wei'rao'lun
唯象理论,wei'xiang'li'lun
位形积分,wei'xing'ji'fen
位形空间,wei'xing'kong'jian
位移,wei'yi
位移电流,wei'yi'dian'liu
位移共振,wei'yi'gong'zhen
微正则系综,wei'zheng'ze'xi'zong
位置矢量,wei'zhi'shi'liang
温标,wen'biao
温差电堆,wen'cha'dian'dui
温差电效应,wen'cha'dian'xiao'ying
稳定平衡,wen'ding'ping'heng
稳定性,wen'ding'xing
稳定性判据,wen'ding'xing'pan'ju
温度,wen'du
温度计,wen'du'ji
稳压电源,wen'ya'dian'yuan
涡流,wo'liu
涡流损耗,wo'liu'sun'hao
涡线,wo'xian
涡旋,wo'xuan
物,wu
误差传递,wu'cha'chuan'di
无规运动,wu'gui'yun'dong
无极分子,wu'ji'fen'zi
无界空间,wu'jie'kong'jian
物镜,wu'jing
物理光学,wu'li'guang'xue
物理量,wu'li'liang
物理天平,wu'li'tian'ping
物理学,wu'li'xue
物理专业词汇,wu'li'zhuan'ye'ci'hui
物态参量,wu'tai'can'liang
物态方程,wu'tai'fang'cheng
无限小转动,wu'xian'xiao'zhuan'dong
物性,wu'xing
无序,wu'xu
无液气压计,wu'ye'qi'ya'ji
物质,wu'zhi
希尔伯特空间,xi'er'bo'te'kong'jian
吸收,xi'shou
吸收光谱,xi'shou'guang'pu
系数,xi'shu
系统误差,xi'tong'wu'cha
系综,xi'zong
系综理论,xi'zong'li'lun
狭义相对论,xia'yi'xiang'dui'lun
狭义相对性原理,xia'yi'xiang'dui'xing'yuan'li
线分辨率,xian'fen'bian'lv
线膨胀率,xian'peng'zhang'lv
线偏振,xian'pian'zhen
线圈,xian'quan
显微镜,xian'wei'jing
现象,xian'xiang
线性元件,xian'xing'yuan'jian
弦音计,xian'yin'ji
相,xiang
相变,xiang'bian
象差,xiang'cha
象场弯曲,xiang'chang'wan'qu
相电压,xiang'dian'ya
相对磁导率,xiang'dui'ci'dao'lv
相对电容率,xiang'dui'dian'rong'lv
相对加速度,xiang'dui'jia'su'du
相对孔径,xiang'dui'kong'jing
相对论性场方程,xiang'dui'lun'xing'chang'fang'cheng
相对论性动力学,xiang'dui'lun'xing'dong'li'xue
相对论性流体力学,xiang'dui'lun'xing'liu'ti'li'xue
相对论性速度加法公式,xiang'dui'lun'xing'su'du'jia'fa'gong'shi
相对论性物理学,xiang'dui'lun'xing'wu'li'xue
相对论性运动学,xiang'dui'lun'xing'yun'dong'xue
相对论性质量,xiang'dui'lun'xing'zhi'liang
相对速度,xiang'dui'su'du
相对性,xiang'dui'xing
相对运动,xiang'dui'yun'dong
象方焦点,xiang'fang'jiao'dian
象方空间,xiang'fang'kong'jian
相干长度,xiang'gan'chang'du
相干光,xiang'gan'guang
相干条件,xiang'gan'tiao'jian
相干性,xiang'gan'xing
象高,xiang'gao
相互作用,xiang'hu'zuo'yong
相互作用能,xiang'hu'zuo'yong'neng
相角,xiang'jiao
象距,xiang'ju
相空间,xiang'kong'jian
相平衡,xiang'ping'heng
象平面,xiang'ping'mian
象散,xiang'san
相速,xiang'su
相图,xiang'tu
相位,xiang'wei
相位差,xiang'wei'cha
相位型光栅,xiang'wei'xing'guang'shan
相位跃变,xiang'wei'yue'bian
象限静电计,xiang'xian'jing'dian'ji
向心加速度,xiang'xin'jia'su'du
向心力,xiang'xin'li
相移,xiang'yi
响应函数,xiang'ying'han'shu
消色差透镜,xiao'se'cha'tou'jing
肖维涅舍弃判据,xiao'wei'nie'she'qi'pan'ju
消象散透镜,xiao'xiang'san'tou'jing
小振动,xiao'zhen'dong
谐波,xie'bo
谢林电桥,xie'lin'dian'qiao
泻流,xie'liu
斜碰,xie'peng
谐音,xie'yin
谐振子,xie'zhen'zi
蓄电池,xu'dian'chi
虚功,xu'gong
虚功原理,xu'gong'yuan'li
虚位移,xu'wei'yi
虚物,xu'wu
旋光糖量计,xuan'guang'tang'liang'ji
旋光性,xuan'guang'xing
旋进,xuan'jin
旋进角,xuan'jin'jiao
选择定则,xuan'ze'ding'ze
旋转泵,xuan'zhuan'beng
旋转磁场,xuan'zhuan'ci'chang
薛定谔方程,xue'ding'e'fang'cheng
压电体,ya'dian'ti
压力,ya'li
压强,ya'qiang
压强计,ya'qiang'ji
亚声速,ya'sheng'su
压缩,ya'suo
压缩冲量,ya'suo'chong'liang
压缩率,ya'suo'lv
亚稳平衡,ya'wen'ping'heng
亚稳态,ya'wen'tai
验电器,yan'dian'qi
赝规则旋进,yan'gui'ze'xuan'jin
演化算符,yan'hua'suan'fu
湮没,yan'mo
衍射角,yan'she'jiao
衍射屏,yan'she'ping
衍射图样,yan'she'tu'yang
延伸率,yan'shen'lv
验证,yan'zheng
阳极,yang'ji
佯谬,yang'miu
杨氏模量,yang'shi'mo'liang
杨氏实验,yang'shi'shi'yan
幺正算符,yao'zheng'suan'fu
液化,ye'hua
液化点,ye'hua'dian
液体,ye'ti
液体比重计,ye'ti'bi'zhong'ji
曳引效应,ye'yin'xiao'ying
逸度,yi'du
一级相变,yi'ji'xiang'bian
仪器,yi'qi
以太,yi'tai
以太风,yi'tai'feng
移相器,yi'xiang'qi
音叉,yin'cha
音调,yin'diao
阴极射线,yin'ji'she'xian
引力,yin'li
引力场,yin'li'chang
引力常量,yin'li'chang'liang
引力质量,yin'li'zhi'liang
音色,yin'se
隐失波,yin'shi'bo
因数,yin'shu
应变,ying'bian
应变规,ying'bian'gui
硬磁材料,ying'ci'cai'liao
应力,ying'li
应用光学,ying'yong'guang'xue
应用物理学,ying'yong'wu'li'xue
永磁体,yong'ci'ti
游标,you'biao
游标卡尺,you'biao'ka'chi
有功电流,you'gong'dian'liu
有功功率,you'gong'gong'lv
右矢,you'shi
有势力,you'shi'li
有限转动,you'xian'zhuan'dong
有效势,you'xiao'shi
有效值,you'xiao'zhi
有心力,you'xin'li
有心力场,you'xin'li'chang
有序,you'xu
有序无序转变,you'xu'wu'xu'zhuan'bian
有旋电场,you'xuan'dian'chang
右旋晶体,you'xuan'jing'ti
宇称算符,yu'cheng'suan'fu
预解式,yu'jie'shi
阈值条件,yu'zhi'tiao'jian
元功,yuan'gong
原理,yuan'li
圆盘衍射,yuan'pan'yan'she
远视,yuan'shi
圆周运动,yuan'zhou'yun'dong
原子光谱,yuan'zi'guang'pu
原子核,yuan'zi'he
原子极化率,yuan'zi'ji'hua'lv
约化质量,yue'hua'zhi'liang
约化中心,yue'hua'zhong'xin
约利弹簧秤,yue'li'tan'huang'cheng
跃迁,yue'qian
约束,yue'shu
约束力,yue'shu'li
约束运动,yue'shu'yun'dong
运动常量,yun'dong'chang'liang
运动粘度系数,yun'dong'nian'du'xi'shu
运动学,yun'dong'xue
运动学方程,yun'dong'xue'fang'cheng
运流电流,yun'liu'dian'liu
匀速运动,yun'su'yun'dong
暂态过程,zan'tai'guo'cheng
暂态运动,zan'tai'yun'dong
粘性力,zhan'xing'li
章动,zhang'dong
章动角,zhang'dong'jiao
张力,zhang'li
张量,zhang'liang
涨落,zhang'luo
涨落耗散定理,zhang'luo'hao'san'ding'li
照度计,zhao'du'ji
兆欧计,zhao'ou'ji
照相术,zhao'xiang'shu
折射率,zhe'she'lv
折射线,zhe'she'xian
振动,zhen'dong
振动模式,zhen'dong'mo'shi
振幅,zhen'fu
振幅分割,zhen'fu'fen'ge
振幅透射率,zhen'fu'tou'she'lv
真空,zhen'kong
真空镀膜,zhen'kong'du'mo
针孔照相机,zhen'kong'zhao'xiang'ji
真实气体,zhen'shi'qi'ti
枕形畸变,zhen'xing'ji'bian
正比计数器,zheng'bi'ji'shu'qi
正常色散,zheng'chang'se'san
正电子,zheng'dian'zi
正电子湮没装置,zheng'dian'zi'yan'mo'zhuang'zhi
蒸发,zheng'fa
蒸发热,zheng'fa're
正反馈,zheng'fan'kui
正交归一系,zheng'jiao'gui'yi'xi
整流器,zheng'liu'qi
正碰,zheng'peng
正氢,zheng'qing
证认,zheng'ren
正弦式电流,zheng'xian'shi'dian'liu
正象,zheng'xiang
正则变换,zheng'ze'bian'huan
正则变量,zheng'ze'bian'liang
正则方程,zheng'ze'fang'cheng
正则系综,zheng'ze'xi'zong
直边衍射,zhi'bian'yan'she
质点,zhi'dian
质点系,zhi'dian'xi
质量,zhi'liang
质量守恒定律,zhi'liang'shou'heng'ding'lv
质量作用定律,zhi'liang'zuo'yong'ding'lv
直流电桥,zhi'liu'dian'qiao
支路,zhi'lu
指南极,zhi'nan'ji
质能等价性,zhi'neng'deng'jia'xing
直线运动,zhi'xian'yun'dong
指向未来的,zhi'xiang'wei'lai'de
质心,zhi'xin
置信水平,zhi'xin'shui'ping
质心系,zhi'xin'xi
置信限,zhi'xin'xian
钟的同步,zhong'de'tong'bu
中国物理学会,zhong'guo'wu'li'xue'hui
中和,zhong'he
终极速度,zhong'ji'su'du
重力,zhong'li
重力场,zhong'li'chang
重力加速度,zhong'li'jia'su'du
重量,zhong'liang
重心,zhong'xin
中性平衡,zhong'xing'ping'heng
中性线,zhong'xing'xian
中子,zhong'zi
周期,zhou'qi
周期性,zhou'qi'xing
轴矢量,zhou'shi'liang
轴向加速度,zhou'xiang'jia'su'du
驻波,zhu'bo
主点,zhu'dian
主光轴,zhu'guang'zhou
主极大,zhu'ji'da
主矩,zhu'ju
主面,zhu'mian
柱面透镜,zhu'mian'tou'jing
主矢量,zhu'shi'liang
主转动惯量,zhu'zhuan'dong'guan'liang
转动,zhuan'dong
转动惯量,zhuan'dong'guan'liang
转动角,zhuan'dong'jiao
转动瞬心,zhuan'dong'shun'xin
转动瞬轴,zhuan'dong'shun'zhou
转矩,zhuan'ju
撞击中心,zhuang'ji'zhong'xin
准经典近似,zhun'jing'dian'jin'si
准静态过程,zhun'jing'tai'guo'cheng
准直光束,zhun'zhi'guang'shu
子波,zi'bo
自场,zi'chang
自发发射,zi'fa'fa'she
自发辐射,zi'fa'fu'she
自发过程,zi'fa'guo'cheng
自反作用力,zi'fan'zuo'yong'li
自感系数,zi'gan'xi'shu
自聚焦,zi'ju'jiao
自扩散,zi'kuo'san
自耦变压器,zi'ou'bian'ya'qi
自洽解,zi'qia'jie
自洽性,zi'qia'xing
自旋磁矩,zi'xuan'ci'ju
自由电荷,zi'you'dian'he
自由度,zi'you'du
自由焓,zi'you'han
自由空间,zi'you'kong'jian
自由能,zi'you'neng
自由矢量,zi'you'shi'liang
自转,zi'zhuan
自转角,zi'zhuan'jiao
自准直谱仪,zi'zhun'zhi'pu'yi
自组织,zi'zu'zhi
纵波,zong'bo
纵场,zong'chang
纵质量,zong'zhi'liang
组分,zu'fen
组合原理,zu'he'yuan'li
阻抗角,zu'kang'jiao
阻尼,zu'ni
阻尼力,zu'ni'li
阻尼振动,zu'ni'zhen'dong
组态,zu'tai
最大功原理,zui'da'gong'yuan'li
最大静摩擦系数,zui'da'jing'mo'ca'xi'shu
最大误差,zui'da'wu'cha
最概然分布,zui'gai'ran'fen'bu
最小二乘法,zui'xiao'er'cheng'fa
最小作用量原理,zui'xiao'zuo'yong'liang'yuan'li
坐标系,zuo'biao'xi
作用力,zuo'yong'li
作用量,zuo'yong'liang
