阿勒颇城之战,a'le'po'cheng'zhi'zhan
唐灭东突厥之战,tang'mie'dong'tu'jue'zhi'zhan
唐灭辅公祏之战,tang'mie'fu'gong'shi'zhi'zhan
唐灭高昌之战,tang'mie'gao'chang'zhi'zhan
唐灭高丽之战,tang'mie'gao'li'zhi'zhan
唐灭刘黑闼之战,tang'mie'liu'hei'ta'zhi'zhan
唐灭史朝义之战,tang'mie'shi'chao'yi'zhi'zhan
唐灭西突厥之战,tang'mie'xi'tu'jue'zhi'zhan
唐灭薛延陀之战,tang'mie'xue'yan'tuo'zhi'zhan
唐与大食怛罗斯之战,tang'yu'da'shi'da'luo'si'zhi'zhan
唐与回纥等击灭后突厥汗国之战,tang'yu'hui'he'deng'ji'mie'hou'tu'jue'han'guo'zhi'zhan
唐与南诏的战争,tang'yu'nan'zhao'de'zhan'zheng
唐与契丹奚等之战,tang'yu'qi'dan'xi'deng'zhi'zhan
唐与吐番的战争,tang'yu'tu'fan'de'zhan'zheng
唐与突厥的战争,tang'yu'tu'jue'de'zhan'zheng
唐与吐谷浑的战争,tang'yu'tu'yu'hun'de'zhan'zheng
唐再夺东京之战,tang'zai'duo'dong'jing'zhi'zhan
唐诸王反武后之战,tang'zhu'wang'fan'wu'hou'zhi'zhan
天山之战,tian'shan'zhi'zhan
天水之战,tian'shui'zhi'zhan
铁之战,tie'zhi'zhan
潼关南京之战,tong'guan'nan'jing'zhi'zhan
潼关之战,tong'guan'zhi'zhan
统万之战,tong'wan'zhi'zhan
吐蕃攻取唐长安之战,tu'bo'gong'qu'tang'chang'an'zhi'zhan
吐蕃攻吐谷浑之战,tu'bo'gong'tu'yu'hun'zhi'zhan
突厥攻隋之战,tu'jue'gong'sui'zhi'zhan
土木之役,tu'mu'zhi'yi
瓦岗农民起义,wa'gang'nong'min'qi'yi
瓦桥关之战,wa'qiao'guan'zhi'zhan
皖城之战,wan'cheng'zhi'zhan
皖口之战,wan'kou'zhi'zhan
万全右卫之战,wan'quan'you'wei'zhi'zhan
王江泾之战,wang'jiang'jing'zhi'zhan
王庭湊割据成德之战,wang'ting'cou'ge'ju'cheng'de'zhi'zhan
王仙芝起义,wang'xian'zhi'qi'yi
王小波李顺起义,wang'xiao'bo'li'shun'qi'yi
魏攻秦河西之战,wei'gong'qin'he'xi'zhi'zhan
魏灭蜀之战,wei'mie'shu'zhi'zhan
魏灭中山之战,wei'mie'zhong'shan'zhi'zhan
渭南之战,wei'nan'zhi'zhan
魏胜抗金起义,wei'sheng'kang'jin'qi'yi
潍水之战,wei'shui'zhi'zhan
魏州之战,wei'zhou'zhi'zhan
维州之战,wei'zhou'zhi'zhan
文天祥反攻江西之战,wen'tian'xiang'fan'gong'jiang'xi'zhi'zhan
窝阔台攻宋之战,wo'kuo'tai'gong'song'zhi'zhan
武昌之战,wu'chang'zhi'zhan
乌巢之战,wu'chao'zhi'zhan
吴楚争霸战争,wu'chu'zheng'ba'zhan'zheng
武丁攻巴方之战,wu'ding'gong'ba'fang'zhi'zhan
武丁攻宙方之战,wu'ding'gong'zhou'fang'zhi'zhan
武街之战,wu'jie'zhi'zhan
五陇阪之战,wu'long'ban'zhi'zhan
吴鲁邾郯攻齐之战,wu'lu'zhu'tan'gong'qi'zhi'zhan
吴平山越之战,wu'ping'shan'yue'zhi'zhan
武涉之战,wu'she'zhi'zhan
武阳之战,wu'yang'zhi'zhan
吴越争霸战争,wu'yue'zheng'ba'zhan'zheng
武则天平李敬业之战,wu'ze'tian'ping'li'jing'ye'zhi'zhan
婺州之战,wu'zhou'zhi'zhan
西海之战,xi'hai'zhi'zhan
西汉与匈奴的战争,xi'han'yu'xiong'nu'de'zhan'zheng
西晋末年流民起义,xi'jin'mo'nian'liu'min'qi'yi
西陵之战,xi'ling'zhi'zhan
西秦攻北凉之战,xi'qin'gong'bei'liang'zhi'zhan
西夏吐蕃攻宋之战,xi'xia'tu'bo'gong'song'zhi'zhan
戏之战,xi'zhi'zhan
下博之战,xia'bo'zhi'zhan
下曲阳之战,xia'qu'yang'zhi'zhan
硖石之战,xia'shi'zhi'zhan
下邑之战,xia'yi'zhi'zhan
下沚江之战,xia'zhi'jiang'zhi'zhan
仙人关之战,xian'ren'guan'zhi'zhan
仙游之战,xian'you'zhi'zhan
襄樊之战,xiang'fan'zhi'zhan
襄国之战,xiang'guo'zhi'zhan
象牙潭之战,xiang'ya'tan'zhi'zhan
襄阳之战,xiang'yang'zhi'zhan
崤底之战,xiao'di'zhi'zhan
崤之战,xiao'zhi'zhan
新城之战,xin'cheng'zhi'zhan
新河之战,xin'he'zhi'zhan
信州之战,xin'zhou'zhi'zhan
杏城镇之战,xing'cheng'zhen'zhi'zhan
荥阳之战,xing'yang'zhi'zhan
徐河之战,xu'he'zhi'zhan
徐州之战,xu'zhou'zhi'zhan
玄武门事变,xuan'wu'men'shi'bian
押赤城之战,ya'chi'cheng'zhi'zhan
厓山海战,ya'shan'hai'zhan
郾城之战,yan'cheng'zhi'zhan
燕攻齐之战,yan'gong'qi'zhi'zhan
鄢陵之战,yan'ling'zhi'zhan
雁门之战,yan'men'zhi'zhan
燕然山之战,yan'ran'shan'zhi'zhan
鄢郢之战,yan'ying'zhi'zhan
阏与之战,yan'yu'zhi'zhan
兖州之战,yan'zhou'zhi'zhan
延州之战,yan'zhou'zhi'zhan
晏州之战,yan'zhou'zhi'zhan
阳城滹沱之战,yang'cheng'hu'tuo'zhi'zhan
杨坚平王谦之战,yang'jian'ping'wang'qian'zhi'zhan
杨坚平尉迟迥之战,yang'jian'ping'yu'chi'jiong'zhi'zhan
杨刘之战,yang'liu'zhi'zhan
阳平关之战,yang'ping'guan'zhi'zhan
杨素击突厥之战,yang'su'ji'tu'jue'zhi'zhan
阳武口之战,yang'wu'kou'zhi'zhan
扬州之战,yang'zhou'zhi'zhan
邺城之战,ye'cheng'zhi'zhan
叶赫城之战,ye'he'cheng'zhi'zhan
野王之战,ye'wang'zhi'zhan
夷陵之战,yi'ling'zhi'zhan
伊阙之战,yi'que'zhi'zhan
宜阳汾北之战,yi'yang'fen'bei'zhi'zhan
宜阳之战,yi'yang'zhi'zhan
益州之战,yi'zhou'zhi'zhan
阴晋之战,yin'jin'zhi'zhan
郢州之战,ying'zhou'zhi'zhan
永安之战,yong'an'zhi'zhan
永乐城之战,yong'le'cheng'zhi'zhan
永蔺尊之战,yong'lin'zun'zhi'zhan
永宁之战,yong'ning'zhi'zhan
雍丘之战,yong'qiu'zhi'zhan
邕州之战,yong'zhou'zhi'zhan
幽州之战,you'zhou'zhi'zhan
玉壁之战,yu'bi'zhi'zhan
余玠防蜀之战,yu'jie'fang'shu'zhi'zhan
玉龙赤杰之战,yu'long'chi'jie'zhi'zhan
元第二次攻安南之战,yuan'di'er'ci'gong'an'nan'zhi'zhan
元第二次攻日本之战,yuan'di'er'ci'gong'ri'ben'zhi'zhan
元第一次攻安南之战,yuan'di'yi'ci'gong'an'nan'zhi'zhan
元第一次攻日本之战,yuan'di'yi'ci'gong'ri'ben'zhi'zhan
元攻占城之战,yuan'gong'zhan'cheng'zhi'zhan
元灭纳颜之战,yuan'mie'na'yan'zhi'zhan
元末农民起义,yuan'mo'nong'min'qi'yi
元平海都之战,yuan'ping'hai'dou'zhi'zhan
元平吉里之战,yuan'ping'ji'li'zhi'zhan
元镇压红巾军山东之战,yuan'zhen'ya'hong'jin'jun'shan'dong'zhi'zhan
岳飞收复襄阳六郡之战,yue'fei'shou'fu'xiang'yang'liu'jun'zhi'zhan
岳州之战,yue'zhou'zhi'zhan
云州之战,yun'zhou'zhi'zhan
皂角林之战,zao'jiao'lin'zhi'zhan
枣阳之战,zao'yang'zhi'zhan
乍浦东沈庄之战,zha'pu'dong'shen'zhuang'zhi'zhan
漳水之战,zhang'shui'zhi'zhan
漳汙之战,zhang'wu'zhi'zhan
赵充国平西羌之战,zhao'chong'guo'ping'xi'qiang'zhi'zhan
赵攻中山之战,zhao'gong'zhong'shan'zhi'zhan
兆佳城之战,zhao'jia'cheng'zhi'zhan
赵平大秦之战,zhao'ping'da'qin'zhi'zhan
赵破匈奴之战,zhao'po'xiong'nu'zhi'zhan
柘槔之战,zhe'gao'zhi'zhan
镇北关之战,zhen'bei'guan'zhi'zhan
真定之战,zhen'ding'zhi'zhan
真州之战,zhen'zhou'zhi'zhan
郑村坝之战,zheng'cun'ba'zhi'zhan
郑抗北戎之战,zheng'kang'bei'rong'zhi'zhan
郑庄公图霸中原之战,zheng'zhuang'gong'tu'ba'zhong'yuan'zhi'zhan
中都之战,zhong'du'zhi'zhan
钟离义阳之战,zhong'li'yi'yang'zhi'zhan
钟离之战,zhong'li'zhi'zhan
钟相杨幺起义,zhong'xiang'yang'yao'qi'yi
周公东征,zhou'gong'dong'zheng
周灭商之战,zhou'mie'shang'zhi'zhan
祝阿临淄之战,zhu'a'lin'zi'zhi'zhan
诸葛亮攻魏之战,zhu'ge'liang'gong'wei'zhi'zhan
朱仙镇之战,zhu'xian'zhen'zhi'zhan
朱元璋统一江南之战,zhu'yuan'zhang'tong'yi'jiang'nan'zhi'zhan
浊泽之战,zhuo'ze'zhi'zhan
紫金山之战安西之战,zi'jin'shan'zhi'zhan'an'xi'zhi'zhan
蕞之战,zui'zhi'zhan
尊永之战,zun'yong'zhi'zhan
