阿柏麻属,a'bai'ma'shu
固沙草属,gu'sha'cao'shu
古山龙属,gu'shan'long'shu
菰属,gu'shu
瓜馥木属,gua'fu'mu'shu
栝楼属,gua'lou'shu
寡毛菊属,gua'mao'ju'shu
瓜叶菊属,gua'ye'ju'shu
冠唇花属,guan'chun'hua'shu
管唇兰属,guan'chun'lan'shu
冠盖藤属,guan'gai'teng'shu
观光木属,guan'guang'mu'shu
冠果草属,guan'guo'cao'shu
管花兰属,guan'hua'lan'shu
冠芒草属,guan'mang'cao'shu
冠毛草属,guan'mao'cao'shu
广东万年青属,guang'dong'wan'nian'qing'shu
广防风属,guang'fang'feng'shu
桄榔属,guang'lang'shu
广叶参属,guang'ye'can'shu
龟背竹属,gui'bei'zhu'shu
桂木属,gui'mu'shu
鬼针草属,gui'zhen'cao'shu
桂竹香属,gui'zhu'xiang'shu
过江藤属,guo'jiang'teng'shu
海岸桐属,hai'an'tong'shu
海滨莎属,hai'bin'sha'shu
海菖蒲属,hai'chang'pu'shu
海岛藤属,hai'dao'teng'shu
孩儿参属,hai'er'can'shu
孩儿草属,hai'er'cao'shu
海红豆属,hai'hong'dou'shu
海榄雌属,hai'lan'ci'shu
海马齿属,hai'ma'chi'shu
海杧果属,hai'mang'guo'shu
海南椴属,hai'nan'duan'shu
海葡萄属,hai'pu'tao'shu
海漆属,hai'qi'shu
海乳草属,hai'ru'cao'shu
海檀木属,hai'tan'mu'shu
海桐花科,hai'tong'hua'ke
海桐花属,hai'tong'hua'shu
海罂粟属,hai'ying'su'shu
海芋属,hai'yu'shu
蔊菜属,han'cai'shu
旱花属,han'hua'shu
旱金莲科,han'jin'lian'ke
旱麦草属,han'mai'cao'shu
寒蓬属,han'peng'shu
汉松科,han'song'ke
含笑属,han'xiao'shu
含羞草科,han'xiu'cao'ke
含羞草属,han'xiu'cao'shu
寒原荠属,han'yuan'ji'shu
蒿属,hao'shu
貉藻属,hao'zao'shu
河八王属,he'ba'wang'shu
合苞菊属,he'bao'ju'shu
荷包牡丹科紫堇科,he'bao'mu'dan'ke'zi'jin'ke
荷包牡丹属,he'bao'mu'dan'shu
荷包藤属,he'bao'teng'shu
禾本科,he'ben'ke
鹤顶兰属,he'ding'lan'shu
核果茶属,he'guo'cha'shu
合果含笑属,he'guo'han'xiao'shu
核果木属,he'guo'mu'shu
盒果藤属,he'guo'teng'shu
合欢草属,he'huan'cao'shu
合欢属,he'huan'shu
荷莲豆属,he'lian'dou'shu
褐鳞木属,he'lin'mu'shu
合萌属,he'meng'shu
荷青花属,he'qing'hua'shu
鹤虱属,he'shi'shu
合头草属,he'tou'cao'shu
合头菊属,he'tou'ju'shu
禾叶兰属,he'ye'lan'shu
合叶子属,he'ye'zi'shu
合柱兰属,he'zhu'lan'shu
合子草属,he'zi'cao'shu
核子木属,he'zi'mu'shu
黑钩叶属,hei'gou'ye'shu
黑麦属,hei'mai'shu
黑鳗藤属,hei'man'teng'shu
黑面神属,hei'mian'shen'shu
黑莎草属,hei'sha'cao'shu
黑藻属,hei'zao'shu
黑种草属,hei'zhong'cao'shu
横蒴苣苔属,heng'shuo'ju'tai'shu
红葱属,hong'cong'shu
红豆杉科,hong'dou'shan'ke
红豆杉属,hong'dou'shan'shu
红豆属,hong'dou'shu
红瓜属,hong'gua'shu
红光树属,hong'guang'shu'shu
红果树属,hong'guo'shu'shu
红厚壳属,hong'hou'ke'shu
红花荷属,hong'hua'he'shu
红花金丝桃属,hong'hua'jin'si'tao'shu
红花属,hong'hua'shu
红胶木属,hong'jiao'mu'shu
红景天属,hong'jing'tian'shu
红毛草属,hong'mao'cao'shu
红毛七属,hong'mao'qi'shu
红门兰属,hong'men'lan'shu
红木科,hong'mu'ke
红木属,hong'mu'shu
红钮子属,hong'niu'zi'shu
红千层属,hong'qian'ceng'shu
红雀珊瑚属,hong'que'shan'hu'shu
红沙属,hong'sha'shu
红树科,hong'shu'ke
红树属,hong'shu'shu
红小麻属,hong'xiao'ma'shu
红芽大戟属,hong'ya'da'ji'shu
红叶藤属,hong'ye'teng'shu
红子木属,hong'zi'mu'shu
厚翅荠属,hou'chi'ji'shu
厚唇兰属,hou'chun'lan'shu
猴耳环属,hou'er'huan'shu
猴欢喜属,hou'huan'xi'shu
厚喙菊属,hou'hui'ju'shu
厚距花属,hou'ju'hua'shu
厚壳桂属,hou'ke'gui'shu
厚壳树属,hou'ke'shu'shu
厚肋苦荬菜属,hou'lei'ku'mai'cai'shu
厚棱芹属,hou'leng'qin'shu
厚皮树属,hou'pi'shu'shu
厚皮香属,hou'pi'xiang'shu
后蕊苣苔属,hou'rui'ju'tai'shu
虎刺属,hu'ci'shu
蝴蝶果属,hu'die'guo'shu
湖瓜草属,hu'gua'cao'shu
槲寄生属,hu'ji'sheng'shu
胡椒科,hu'jiao'ke
胡椒属,hu'jiao'shu
胡莲属,hu'lian'shu
胡卢巴属,hu'lu'ba'shu
葫芦草属,hu'lu'cao'shu
葫芦茶属,hu'lu'cha'shu
葫芦科,hu'lu'ke
葫芦属,hu'lu'shu
胡萝卜属,hu'luo'bo'shu
胡麻花属,hu'ma'hua'shu
胡麻科,hu'ma'ke
胡麻属,hu'ma'shu
胡蔓藤属,hu'man'teng'shu
虎皮花属,hu'pi'hua'shu
虎舌兰属,hu'she'lan'shu
胡桃科,hu'tao'ke
胡桃属,hu'tao'shu
胡颓子科,hu'tui'zi'ke
虎尾草属,hu'wei'cao'shu
虎尾兰属,hu'wei'lan'shu
虎颜花属,hu'yan'hua'shu
虎眼万年青属,hu'yan'wan'nian'qing'shu
互叶铁线莲属,hu'ye'tie'xian'lian'shu
胡榛属,hu'zhen'shu
胡枝子属,hu'zhi'zi'shu
画笔菊属,hua'bi'ju'shu
华参属,hua'can'shu
花点草属,hua'dian'cao'shu
华福花属,hua'fu'hua'shu
华盖木属,hua'gai'mu'shu
花花柴属,hua'hua'chai'shu
花椒属,hua'jiao'shu
花葵属,hua'kui'shu
花蔺科,hua'lin'ke
花蔺属,hua'lin'shu
花菱草属,hua'ling'cao'shu
花锚属,hua'mao'shu
画眉草属,hua'mei'cao'shu
桦木科,hua'mu'ke
桦木属,hua'mu'shu
花佩菊属,hua'pei'ju'shu
花皮胶藤属,hua'pi'jiao'teng'shu
花旗竿属,hua'qi'gan'shu
花楸属,hua'qiu'shu
花荵科,hua'ren'ke
花荵属,hua'ren'shu
华箬竹属,hua'ruo'zhu'shu
滑桃树属,hua'tao'shu'shu
滑藤属,hua'teng'shu
化香属,hua'xiang'shu
花叶万年青属,hua'ye'wan'nian'qing'shu
花叶芋属,hua'ye'yu'shu
花蜘蛛兰属,hua'zhi'zhu'lan'shu
花烛属,hua'zhu'shu
槐蓝属,huai'lan'shu
槐属,huai'shu
环根芹属,huan'gen'qin'shu
还阳参属,huan'yang'can'shu
黄鹌菜属,huang'an'cai'shu
黄柏属,huang'bo'shu
黄蝉属,huang'chan'shu
黄冠菊属,huang'guan'ju'shu
黄果木属,huang'guo'mu'shu
黄花夹竹桃属,huang'hua'jia'zhu'tao'shu
黄花茅属,huang'hua'mao'shu
黄花木属,huang'hua'mu'shu
黄花稔属,huang'hua'ren'shu
黄精属,huang'jing'shu
黄葵属,huang'kui'shu
黄兰属,huang'lan'shu
黄梨木属,huang'li'mu'shu
黄连木属,huang'lian'mu'shu
黄连属,huang'lian'zhu
黄栌属,huang'lu'shu
黄麻属,huang'ma'shu
黄脉爵床属,huang'mai'jue'chuang'shu
黄茅属,huang'mao'shu
黄牛木属,huang'niu'mu'shu
黄皮属,huang'pi'shu
黄杞属,huang'qi'shu
黄雀儿属,huang'qiao'er'shu
黄芩属,huang'qin'shu
黄球花属,huang'qiu'hua'shu
黄蓉花属,huang'rong'hua'shu
黄肉楠属,huang'rou'nan'shu
幌伞枫属,huang'san'feng'shu
黄三七属,huang'san'qi'shu
黄山梅属,huang'shan'mei'shu
黄杉属,huang'shan'shu
黄藤属,huang'teng'shu
黄筒花属,huang'tong'hua'shu
黄桐属,huang'tong'shu
黄薇属,huang'wei'shu
黄细心属,huang'xi'xin'shu
黄眼草科,huang'yan'cao'ke
黄眼草属,huang'yan'cao'shu
黄杨科,huang'yang'ke
黄杨属,huang'yang'shu
黄叶树属,huang'ye'shu'shu
黄钟花属,huang'zhong'hua'shu
喙核桃属,hui'he'tao'shu
喙花姜属,hui'hua'jiang'shu
灰莉属,hui'li'shu
荟蔓藤属,hui'man'teng'shu
茴芹属,hui'qin'shu
茴香砂仁属,hui'xiang'sha'ren'shu
茴香属,hui'xiang'shu
灰叶属,hui'ye'shu
火把花属,huo'ba'hua'shu
火棘属,huo'ji'shu
火绒草属,huo'rong'cao'shu
火烧花属,huo'shao'hua'shu
火烧兰属,huo'shao'lan'shu
火筒树属,huo'tong'shu'shu
藿香属,huo'xiang'shu
活血丹属,huo'xue'dan'shu
火焰花属,huo'yan'hua'shu
火焰兰属,huo'yan'lan'shu
火焰树属,huo'yan'shu'shu
棘苞菊属,ji'bao'ju'shu
鸡蛋花属,ji'dan'hua'shu
棘豆属,ji'dou'shu
鸡骨常山属,ji'gu'chang'shan'shu
芨芨草属,ji'ji'cao'shu
基及树属,ji'ji'shu'shu
鸡脚参属,ji'jiao'can'shu
蒺藜草属,ji'li'cao'shu
蒺藜科,ji'li'ke
蒺藜属,ji'li'shu
鸡麻属,ji'ma'shu
姬苗属,ji'miao'shu
继木属,ji'mu'shu
寄生花属,ji'sheng'hua'shu
寄生鳞叶草属,ji'sheng'lin'ye'cao'shu
寄生藤属,ji'sheng'teng'shu
鸡矢藤属,ji'shi'teng'shu
荠属,ji'shu
蓟属,ji'shu
寄树兰属,ji'shu'lan'shu
吉粟草属,ji'su'cao'shu
棘头花属,ji'tou'hua'shu
吉祥草属,ji'xiang'cao'shu
积雪草属,ji'xue'cao'shu
鸡眼草属,ji'yan'cao'shu
鲫鱼藤属,ji'yu'teng'shu
鸡爪草属,ji'zhao'cao'shu
假百合属,jia'bai'he'shu
假报春属,jia'bao'chun'shu
假贝母属,jia'bei'mu'shu
假扁果草属,jia'bian'guo'cao'shu
假摈榔属,jia'bin'lang'shu
假糙苏属,jia'cao'su'shu
假柴龙树属,jia'chai'long'shu'shu
假葱属,jia'cong'shu
假稻属,jia'dao'shu
假地胆草属,jia'di'dan'cao'shu
假杜鹃属,jia'du'juan'shu
假繁缕科,jia'fan'lv'ke
假海齿属,jia'hai'chi'shu
假海桐属,jia'hai'tong'shu
假含羞草属,jia'han'xiu'cao'shu
假鹤虱属,jia'he'shi'shu
假虎刺属,jia'hu'ci'shu
假还阳参属,jia'huan'yang'can'shu
假金发草属,jia'jin'fa'cao'shu
假金桔属,jia'jin'jie'shu
假兰科,jia'lan'ke
假蓝属,jia'lan'shu
假兰属,jia'lan'shu
嘉兰属,jia'lan'shu
嘉榄属,jia'lan'shu
假狼毒属,jia'lang'du'shu
假狼紫草属,jia'lang'zi'cao'shu
假连翘属,jia'lian'qiao'shu
嘉陵花属,jia'ling'hua'shu
假龙胆属,jia'long'dan'shu
假耧斗菜属,jia'lou'dou'cai'shu
假楼梯草属,jia'lou'ti'cao'shu
假马鞭属,jia'ma'bian'shu
荚蒾属,jia'mi'shu
假木豆属,jia'mu'dou'shu
假木荷属,jia'mu'he'shu
假木贼属,jia'mu'zei'shu
假囊距兰属,jia'nang'ju'lan'shu
假牛鞭草属,jia'niu'bian'cao'shu
假蓬属,jia'peng'shu
假婆婆纳属,jia'po'po'na'shu
假千里光属,jia'qian'li'guang'shu
假山龙眼属,jia'shan'long'yan'shu
假山萝属,jia'shan'luo'shu
假韶子属,jia'shao'zi'shu
假蛇尾草属,jia'she'wei'cao'shu
假升麻属,jia'sheng'ma'shu
假石柑属,jia'shi'gan'shu
假水晶兰属,jia'shui'jing'lan'shu
假水苏属,jia'shui'su'shu
假铁秆草属,jia'tie'gan'cao'shu
假万带兰属,jia'wan'dai'lan'shu
假卫矛属,jia'wei'mao'shu
假吻兰属,jia'wen'lan'shu
假小喙菊属,jia'xiao'hui'ju'shu
假叶树科,jia'ye'shu'ke
假叶树属,jia'ye'shu'shu
假野芝麻属,jia'ye'zhi'ma'shu
假鹰爪属,jia'ying'zhao'shu
假泽兰属,jia'ze'lan'shu
假奓包叶属,jia'zha'bao'ye'shu
夹竹桃科,jia'zhu'tao'ke
夹竹桃属,jia'zhu'tao'shu
假紫草属,jia'zi'cao'shu
假紫万年青属,jia'zi'wan'nian'qing'shu
尖稃草属,jian'fu'cao'shu
剪股颖属,jian'gu'ying'shu
尖花藤属,jian'hua'teng'shu
尖槐藤属,jian'huai'teng'shu
硷茅属,jian'mao'shu
尖囊兰属,jian'nang'lan'shu
碱蓬属,jian'peng'shu
剪秋罗属,jian'qiu'luo'shu
尖蕊花属,jian'rui'hua'shu
尖舌苣苔属,jian'she'ju'tai'shu
菅属,jian'shu
尖头花属,jian'tou'hua'shu
碱菀属,jian'wan'shu
见血飞属,jian'xue'fei'shu
见血封喉属,jian'xue'feng'hou'shu
尖药花属,jian'yao'hua'shu
尖药兰属,jian'yao'lan'shu
箭药藤属,jian'yao'teng'shu
尖叶木属,jian'ye'mu'shu
剑叶莎属,jian'ye'sha'shu
箭叶水苏属,jian'ye'shui'su'shu
箭竹属,jian'zhu'shu
尖子木属,jian'zi'mu'shu
尖子藤属,jian'zi'teng'shu
豇豆属,jiang'dou'shu
浆果楝属,jiang'guo'lian'shu
浆果苋属,jiang'guo'xian'shu
姜花属,jiang'hua'shu
姜黄属,jiang'huang'shu
疆堇属,jiang'jin'shu
疆菊属,jiang'ju'shu
姜科,jiang'ke
疆南星属,jiang'nan'xing'shu
姜属,jiang'shu
姜味草属,jiang'wei'cao'shu
绞股蓝属,jiao'gu'lan'shu
角果藜属,jiao'guo'li'shu
角果毛茛属,jiao'guo'mao'gen'shu
角果木属,jiao'guo'mu'shu
角果藻科,jiao'guo'zao'ke
角果藻属,jiao'guo'zao'shu
角蒿属,jiao'hao'shu
胶核木属,jiao'he'mu'shu
角花属,jiao'hua'shu
角茴香属,jiao'hui'xiang'shu
铰剪藤属,jiao'jian'teng'shu
胶木属,jiao'mu'shu
蕉木属,jiao'mu'shu
角盘兰属,jiao'pan'lan'shu
交让木科,jiao'rang'mu'ke
交让木属,jiao'rang'mu'shu
角柱花属,jiao'zhu'hua'shu
睫苞豆属,jie'bao'dou'shu
桔梗科,jie'geng'ke
桔梗属,jie'geng'shu
接骨木属,jie'gu'mu'shu
节节菜属,jie'jie'cai'shu
节节木属,jie'jie'mu'shu
结缕草属,jie'lv'cao'shu
节蒴木属,jie'shuo'mu'shu
结香属,jie'xiang'shu
堇菜科,jin'cai'ke
堇菜属,jin'cai'shu
荩草属,jin'cao'shu
金唇兰属,jin'chun'lan'shu
锦带花属,jin'dai'hua'shu
金发草属,jin'fa'cao'shu
金凤藤属,jin'feng'teng'shu
金佛山兰属,jin'fo'shan'lan'shu
金钩花属,jin'gou'hua'shu
筋骨草属,jin'gu'cao'shu
金瓜属,jin'gua'shu
金光菊属,jin'guang'ju'shu
金合欢属,jin'he'huan'shu
金虎尾科,jin'hu'wei'ke
金虎尾属,jin'hu'wei'shu
锦鸡儿属,jin'ji'er'shu
金鸡菊属,jin'ji'ju'shu
金鸡纳属,jin'ji'na'shu
金桔属,jin'jie'shu
金锦香属,jin'jin'xiang'shu
锦葵科,jin'kui'ke
锦葵属,jin'kui'shu
堇兰属,jin'lan'shu
金莲花科,jin'lian'hua'ke
金莲花属,jin'lian'hua'shu
金莲木科,jin'lian'mu'ke
金莲木属,jin'lian'mu'shu
金缕梅科,jin'lv'mei'ke
金缕梅属,jin'lv'mei'shu
金茅属,jin'mao'shu
金梅草属,jin'mei'cao'shu
金钮扣属,jin'niu'kou'shu
金平藤属,jin'ping'teng'shu
金钱豹属,jin'qian'bao'shu
金钱槭属,jin'qian'qi'shu
金钱松属,jin'qian'song'shu
金雀儿属,jin'qiao'er'shu
金石斛属,jin'shi'hu'shu
金丝桃科,jin'si'tao'ke
金丝桃属,jin'si'tao'shu
金松属,jin'song'shu
金粟兰科,jin'su'lan'ke
金粟兰属,jin'su'lan'shu
锦绦花属,jin'tao'hua'shu
金铁锁属,jin'tie'suo'shu
金线草属,jin'xian'cao'shu
锦香草属,jin'xiang'cao'shu
金须茅属,jin'xu'mao'shu
金腰箭属,jin'yao'jian'shu
堇叶芥属,jin'ye'jie'shu
金叶树属,jin'ye'shu'shu
金英属,jin'ying'shu
金罂粟属,jin'ying'su'shu
金鱼花属,jin'yu'hua'shu
金鱼藻科,jin'yu'zao'ke
金盏花属,jin'zhan'hua'shu
金盏苣苔属,jin'zhan'ju'tai'shu
颈果草属,jing'guo'cao'shu
荆芥属,jing'jie'shu
景天科,jing'tian'ke
景天属,jing'tian'shu
秔子梢属,jing'zi'shao'shu
酒饼簕属,jiu'bing'le'shu
九节属,jiu'jie'shu
九里香属,jiu'li'xiang'shu
九头狮子草属,jiu'tou'shi'zi'cao'shu
九子母科,jiu'zi'mu'ke
九子母属,jiu'zi'mu'shu
距瓣豆属,ju'ban'dou'shu
菊蒿属,ju'hao'shu
聚花草属,ju'hua'cao'shu
距花黍属,ju'hua'shu'shu
菊苣属,ju'ju'shu
菊科,ju'ke
巨盘木属,ju'pan'mu'shu
咀签属,ju'qian'shu
菊芹属,ju'qin'shu
蒟蒻薯科,ju'ruo'shu'ke
蒟蒻薯属,ju'ruo'shu'shu
巨杉属,ju'shan'shu
菊属,ju'shu
榉属,ju'shu
距药姜属,ju'yao'jiang'shu
卷瓣兰属,juan'ban'lan'shu
卷耳属,juan'er'shu
卷花丹属,juan'hua'dan'shu
绢毛苣属,juan'mao'ju'shu
爵床科,jue'chuang'ke
爵床属,jue'chuang'shu
决明属,jue'ming'shu
君子兰属,jun'zi'lan'shu
咖啡属,ka'fei'shu
喀什菊属,ka'shi'ju'shu
开唇兰属,kai'chun'lan'shu
开口箭属,kai'kou'jian'shu
铠兰属,kai'lan'shu
看麦娘属,kan'mai'niang'shu
可爱花属,ke'ai'hua'shu
壳菜果属,ke'cai'guo'shu
柯树属,ke'shu'shu
榼藤子属,ke'teng'zi'shu
棵柱花属,ke'zhu'hua'shu
铿木属,keng'mu'shu
孔唇兰属,kong'chun'lan'shu
空棱芹属,kong'leng'qin'shu
孔药花属,kong'yao'hua'shu
孔颖草属,kong'ying'cao'shu
空竹属,kong'zhu'shu
苦草属,ku'cao'shu
苦瓜属,ku'gua'shu
苦苣菜属,ku'ju'cai'shu
苦苣苔科,ku'ju'tai'ke
苦苣苔属,ku'ju'tai'shu
苦槛蓝科,ku'kan'lan'ke
苦槛蓝属,ku'kan'lan'shu
库林木属,ku'lin'mu'shu
苦马豆属,ku'ma'dou'shu
苦荬菜属,ku'mai'cai'shu
苦竹属,ku'zhu'shu
块茎芹属,kuai'jing'qin'shu
款冬属,kuan'dong'shu
宽萼苣苔属,kuan'e'ju'tai'shu
宽距兰属,kuan'ju'lan'shu
宽框荠属,kuan'kuang'ji'shu
昆栏树科,kun'lan'shu'ke
昆栏树属,kun'lan'shu'shu
阔带芹属,kuo'dai'qin'shu
阔蕊兰属,kuo'rui'lan'shu
喇叭茶属,la'ba'cha'shu
蜡瓣花属,la'ban'hua'shu
辣根属,la'gen'shu
蜡菊属,la'ju'shu
拉拉藤属,la'la'teng'shu
蜡梅科,la'mei'ke
蜡梅属,la'mei'shu
辣木科,la'mu'ke
辣木属,la'mu'shu
辣莸属,la'you'shu
蜡烛果属,la'zhu'guo'shu
辣子瓜属,la'zi'gua'shu
赖草属,lai'cao'shu
梾木属,lai'mu'shu
蓝刺头属,lan'ci'tou'shu
蓝耳草属,lan'er'cao'shu
兰花蕉科,lan'hua'jiao'ke
兰花蕉属,lan'hua'jiao'shu
蓝花参属,lan'hua'shen'shu
蓝花楹属,lan'hua'ying'shu
篮蓟属,lan'ji'shu
篮堇草属,lan'jin'cao'shu
兰科,lan'ke
榄李属,lan'li'shu
兰嵌马蓝属,lan'qian'ma'lan'shu
蓝雀花属,lan'que'hua'shu
榄仁树属,lan'ren'shu'shu
兰属,lan'shu
蓝雪科,lan'xue'ke
蓝雪属,lan'xue'shu
蓝钟花属,lan'zhong'hua'shu
郎德木属,lang'de'mu'shu
狼毒属,lang'du'shu
榔色木属,lang'se'mu'shu
狼尾草属,lang'wei'cao'shu
狼紫草属,lang'zi'cao'shu
老虎刺属,lao'hu'ci'shu
老颧草属,lao'quan'cao'shu
老鼠拉冬瓜属,lao'shu'la'dong'gua'shu
老鼠簕属,lao'shu'le'shu
老鸦咀属,lao'ya'ju'shu
乐东藤属,le'dong'teng'shu
雷公连属,lei'gong'lian'zhu
雷公藤属,lei'gong'teng'shu
擂鼓艻属,lei'gu'ji'shu
肋果蓟属,lei'guo'ji'shu
类芦属,lei'lu'shu
类雀稗属,lei'que'bai'shu
类蜀黍属,lei'shu'shu'shu
类叶升麻属,lei'ye'sheng'ma'shu
棱萼茜属,leng'e'qian'shu
棱果芥属,leng'guo'jie'shu
冷杉属,leng'shan'shu
冷水花属,leng'shui'hua'shu
棱子芹属,leng'zi'qin'shu
离瓣寄生属,li'ban'ji'sheng'shu
鳢肠属,li'chang'shu
黎豆属,li'dou'shu
丽豆属,li'dou'shu
栗豆藤属,li'dou'teng'shu
梨果寄生属,li'guo'ji'sheng'shu
栗寄生属,li'ji'sheng'shu
藜科,li'ke
李榄属,li'lan'shu
藜芦属,li'lu'shu
藜属,li'shu
栎属,li'shu
栗属,li'shu
梨属,li'shu
犁头尖属,li'tou'jian'shu
狸尾豆属,li'wei'dou'shu
丽薇属,li'wei'shu
狸藻科,li'zao'ke
狸藻属,li'zao'shu
荔枝属,li'zhi'shu
梨竹属,li'zhu'shu
离子芥属,li'zi'jie'shu
镰稃草属,lian'fu'cao'shu
莲桂属,lian'gui'shu
链荚豆属,lian'jia'dou'shu
链荚木属,lian'jia'mu'shu
楝科,lian'ke
连理藤属,lian'li'teng'shu
莲楠草属,lian'nan'cao'shu
连翘属,lian'qiao'shu
连蕊芥属,lian'rui'jie'shu
连蕊藤属,lian'rui'teng'shu
莲属,lian'shu
楝属,lian'shu
连香树科,lian'xiang'shu'ke
连香树属,lian'xiang'shu'shu
莲叶桐科,lian'ye'tong'ke
莲叶桐属,lian'ye'tong'shu
帘子藤属,lian'zi'teng'shu
凉粉草属,liang'fen'cao'shu
亮花木属,liang'hua'mu'shu
两节荠属,liang'jie'ji'shu
亮蛇床属,liang'she'chuang'shu
量天尺属,liang'tian'chi'shu
梁王茶属,liang'wang'cha'shu
两型豆属,liang'xing'dou'shu
蓼科,liao'ke
蓼属,liao'shu
蓼树属,liao'shu'shu
鬣刺属,lie'ci'shu
列当科,lie'dang'ke
列当属,lie'dang'shu
裂稃草属,lie'fu'cao'shu
裂稃茅属,lie'fu'mao'shu
裂瓜属,lie'gua'shu
裂果金花属,lie'guo'jin'hua'shu
裂叶荆芥属,lie'ye'jing'jie'shu
裂叶罂粟属,lie'ye'ying'su'shu
裂颖茅属,lie'ying'mao'shu
林地苋属,lin'di'xian'shu
鳞隔堇属,lin'ge'jin'shu
鳞果草属,lin'guo'cao'shu
鳞花草属,lin'hua'cao'shu
鳞花木属,lin'hua'mu'shu
鳞蕊藤属,lin'rui'teng'shu
林石草属,lin'shi'cao'shu
鳞叶寄生木属,lin'ye'ji'sheng'mu'shu
鳞子莎属,lin'zi'sha'shu
领春木科,ling'chun'mu'ke
领春木属,ling'chun'mu'shu
凌风草属,ling'feng'cao'shu
令箭荷花属,ling'jian'he'hua'shu
苓菊属,ling'ju'shu
菱科,ling'ke
铃兰属,ling'lan'shu
菱属,ling'shu
柃属,ling'shu
菱叶元宝草属,ling'ye'yuan'bao'cao'shu
铃子香属,ling'zi'xiang'shu
柳安属,liu'an'shu
六瓣景天属,liu'ban'jing'tian'shu
琉苞菊属,liu'bao'ju'shu
六翅木属,liu'chi'mu'shu
六道木属,liu'dao'mu'shu
留萼木属,liu'e'mu'shu
瘤果芹属,liu'guo'qin'shu
柳兰属,liu'lan'shu
六棱菊属,liu'leng'ju'shu
琉璃草属,liu'li'cao'shu
琉璃繁缕属,liu'li'fan'lv'shu
榴莲属,liu'lian'shu
柳杉属,liu'shan'shu
柳属,liu'shu
流苏树属,liu'su'shu'shu
流苏子属,liu'su'zi'shu
柳叶菜科,liu'ye'cai'ke
柳叶菜属,liu'ye'cai'shu
柳叶箬属,liu'ye'ruo'shu
六月雪属,liu'yue'xue'shu
瘤子草属,liu'zi'cao'shu
龙常草属,long'chang'cao'shu
龙船草属,long'chuan'cao'shu
龙船花属,long'chuan'hua'shu
龙胆科,long'dan'ke
龙胆木属,long'dan'mu'shu
龙胆属,long'dan'shu
龙老根属,long'lao'gen'shu
龙脑香科,long'nao'xiang'ke
龙脑香属,long'nao'xiang'shu
龙舌兰科,long'she'lan'ke
龙舌兰属,long'she'lan'shu
龙头草属,long'tou'cao'shu
龙须海棠属,long'xu'hai'tang'shu
龙血树属,long'xue'shu'shu
龙牙草属,long'ya'cao'shu
龙眼属,long'yan'shu
龙爪茅属,long'zhao'mao'shu
耧斗菜属,lou'dou'cai'shu
漏斗苣苔属,lou'dou'ju'tai'shu
楼梯草属,lou'ti'cao'shu
路边青属,lu'bian'qing'shu
露兜树科,lu'dou'shu'ke
露兜树属,lu'dou'shu'shu
颅果草属,lu'guo'cao'shu
芦荟属,lu'hui'shu
鹿霍属,lu'huo'shu
鹿角兰属,lu'jiao'lan'shu
鹿角藤属,lu'jiao'teng'shu
栌菊木属,lu'ju'mu'shu
陆均松属,lu'jun'song'shu
芦莉草属,lu'li'cao'shu
鹿茸木属,lu'rong'mu'shu
鹭鸶兰属,lu'si'lan'shu
鹿蹄草科,lu'ti'cao'ke
鹿蹄草属,lu'ti'cao'shu
芦苇属,lu'wei'shu
鹿药属,lu'yao'shu
露珠草属,lu'zhu'cao'shu
芦竹属,lu'zhu'shu
露籽草属,lu'zi'cao'shu
栾树属,luan'shu'shu
孪叶豆属,luan'ye'dou'shu
乱子草属,luan'zi'cao'shu
轮冠木属,lun'guan'mu'shu
轮环藤属,lun'huan'teng'shu
萝卜属,luo'bo'shu
罗布麻属,luo'bu'ma'shu
罗顿豆属,luo'dun'dou'shu
萝芙木属,luo'fu'mu'shu
裸果木属,luo'guo'mu'shu
罗汉柏属,luo'han'bai'shu
罗汉松属,luo'han'song'shu
裸花草属,luo'hua'cao'shu
落花生属,luo'hua'sheng'shu
螺喙荠属,luo'hui'ji'shu
落葵科,luo'kui'ke
落葵属,luo'kui'shu
落葵薯属,luo'kui'shu'shu
罗勒属,luo'le'shu
落芒草属,luo'mang'cao'shu
萝藦科,luo'mo'ke
萝藦属,luo'mo'shu
罗伞属,luo'san'shu
络石属,luo'shi'shu
骆驼刺属,luo'tuo'ci'shu
骆驼蓬属,luo'tuo'peng'shu
裸菀属,luo'wan'shu
落尾木属,luo'wei'mu'shu
螺序草属,luo'xu'cao'shu
落檐属,luo'yan'shu
落叶松属,luo'ye'song'shu
落羽松属,luo'yu'song'shu
裸芸香属,luo'yun'xiang'shu
罗志藤属,luo'zhi'teng'shu
裸柱菊属,luo'zhu'ju'shu
葎草属,lv'cao'shu
驴臭草属,lv'chou'cao'shu
驴豆属,lv'dou'shu
绿绒篙属,lv'rong'gao'shu
驴蹄草属,lv'ti'cao'shu
马鞍树属,ma'an'shu'shu
马鞭草科,ma'bian'cao'ke
马鞭草属,ma'bian'cao'shu
马贬儿属,ma'bian'er'shu
马齿苋科,ma'chi'xian'ke
马齿苋属,ma'chi'xian'shu
马蛋果属,ma'dan'guo'shu
马兜铃科,ma'dou'ling'ke
马兜铃属,ma'dou'ling'shu
麻疯树属,ma'feng'shu'shu
麻核藤属,ma'he'teng'shu
麻花头属,ma'hua'tou'shu
麻黄科,ma'huang'ke
