阿保之功,a'bao'zhi'gong
粉妆玉琢,fen'zhuang'yu'zhuo
粉装玉琢,fen'zhuang'yu'zhuo
丰标不凡,feng'biao'bu'fan
凤表龙姿,feng'biao'long'zi
凤泊鸾飘,feng'bo'luan'piao
锋不可当,feng'bu'ke'dang
风不鸣条,feng'bu'ming'tiao
凤采鸾章,feng'cai'luan'zhang
蜂虿有毒,feng'chai'you'du
逢场竿木,feng'chang'gan'mu
逢场作戏,feng'chang'zuo'xi
风掣雷行,feng'che'lei'xing
风车云马,feng'che'yun'ma
风尘肮脏,feng'chen'ang'zang
风尘碌碌,feng'chen'lu'lu
风尘仆仆,feng'chen'pu'pu
风驰电掣,feng'chi'dian'che
风驰电骋,feng'chi'dian'cheng
风驰电击,feng'chi'dian'ji
风驰电卷,feng'chi'dian'juan
风驰电逝,feng'chi'dian'shi
风驰云卷,feng'chi'yun'juan
风吹草动,feng'chui'cao'dong
风吹浪打,feng'chui'lang'da
风吹马耳,feng'chui'ma'er
风吹日晒,feng'chui'ri'shai
风吹云散,feng'chui'yun'san
奉辞伐罪,feng'ci'fa'zui
风刀霜剑,feng'dao'shuang'jian
讽德诵功,feng'de'song'gong
风度翩翩,feng'du'pian'pian
逢恶导非,feng'e'dao'fei
锋发韵流,feng'fa'yun'liu
葑菲之采,feng'fei'zhi'cai
风风火火,feng'feng'huo'huo
风风雨雨,feng'feng'yu'yu
风风韵韵,feng'feng'yun'yun
丰富多彩,feng'fu'duo'cai
蜂附云集,feng'fu'yun'ji
奉公不阿,feng'gong'bu'e
奉公守法,feng'gong'shou'fa
丰功硕德,feng'gong'shuo'de
丰功伟绩,feng'gong'wei'ji
烽鼓不息,feng'gu'bu'xi
凤骨龙姿,feng'gu'long'zi
风骨峭峻,feng'gu'qiao'jun
凤冠霞帔,feng'guan'xia'pei
封官许愿,feng'guan'xu'yuan
风光旖旎,feng'guang'yi'ni
风光月霁,feng'guang'yue'ji
风禾尽起,feng'he'jin'qi
风和日丽,feng'he'ri'li
风和日暖,feng'he'ri'nuan
风和日暄,feng'he'ri'xuan
丰亨豫大,feng'heng'yu'da
封胡羯末,feng'hu'jie'mo
风虎云龙,feng'hu'yun'long
风华绝代,feng'hua'jue'dai
风花雪夜,feng'hua'xue'ye
风花雪月,feng'hua'xue'yue
风华正茂,feng'hua'zheng'mao
风鬟雾鬓,feng'huan'wu'bin
风鬟雨鬓,feng'huan'yu'bin
凤凰来仪,feng'huang'lai'yi
峰回路转,feng'hui'lu'zhuan
烽火连年,feng'huo'lian'nian
烽火连天,feng'huo'lian'tian
烽火四起,feng'huo'si'qi
风激电飞,feng'ji'dian'fei
风急浪高,feng'ji'lang'gao
丰肌弱骨,feng'ji'ruo'gu
丰肌秀骨,feng'ji'xiu'gu
封金挂印,feng'jin'gua'yin
风景不殊,feng'jing'bu'shu
风举云飞,feng'ju'yun'fei
风举云摇,feng'ju'yun'yao
风卷残云,feng'juan'can'yun
风谲云诡,feng'jue'yun'gui
逢君之恶,feng'jun'zhi'e
风口浪尖,feng'kou'lang'jian
蜂狂蝶乱,feng'kuang'die'luan
奉令承教,feng'ling'cheng'jiao
风流千古,feng'liu'qian'gu
风流人物,feng'liu'ren'wu
风流儒雅,feng'liu'ru'ya
风流倜傥,feng'liu'ti'tang
风流潇洒,feng'liu'xiao'sa
风流蕴藉,feng'liu'yun'jie
风流云散,feng'liu'yun'san
风流韵事,feng'liu'yun'shi
风流罪过,feng'liu'zui'guo
风马不接,feng'ma'bu'jie
风马云车,feng'ma'yun'che
锋芒毕露,feng'mang'bi'lu
锋芒逼人,feng'mang'bi'ren
锋芒不露,feng'mang'bu'lu
锋芒所向,feng'mang'suo'xiang
凤毛鸡胆,feng'mao'ji'dan
凤毛济美,feng'mao'ji'mei
凤毛麟角,feng'mao'lin'jiao
蜂媒蝶使,feng'mei'die'shi
风门水口,feng'men'shui'kou
风靡一时,feng'mi'yi'shi
凤鸣鹤唳,feng'ming'he'li
凤鸣麟出,feng'ming'lin'chu
奉命唯谨,feng'ming'wei'jin
凤鸣朝阳,feng'ming'zhao'yang
蜂目豺声,feng'mu'chai'sheng
风木含悲,feng'mu'han'bei
风木之悲,feng'mu'zhi'bei
丰年稔岁,feng'nian'ren'sui
丰年玉荒年谷,feng'nian'yu'huang'nian'gu
风平浪静,feng'ping'lang'jing
风起水涌,feng'qi'shui'yong
封妻荫子,feng'qi'yin'zi
风起云涌,feng'qi'yun'yong
风前残烛,feng'qian'can'zhu
风前月下,feng'qian'yue'xia
风樯阵马,feng'qiang'zhen'ma
风清弊绝,feng'qing'bi'jue
风清月白,feng'qing'yue'bai
风清月皎,feng'qing'yue'jiao
风清月朗,feng'qing'yue'lang
风清月明,feng'qing'yue'ming
风情月意,feng'qing'yue'yi
风轻云淡,feng'qing'yun'dan
风轻云净,feng'qing'yun'jing
丰取刻与,feng'qu'ke'yu
逢人说项,feng'ren'shuo'xiang
奉若神明,feng'ruo'shen'ming
逢山开道,feng'shan'kai'dao
逢山开路,feng'shan'kai'lu
丰神绰约,feng'shen'chuo'yue
丰神异彩,feng'shen'yi'cai
风声鹤唳,feng'sheng'he'li
封豕长蛇,feng'shi'chang'she
风霜雨雪,feng'shuang'yu'xue
风俗人情,feng'su'ren'qing
风俗习惯,feng'su'xi'guan
冯唐易老,feng'tang'yi'lao
奉天承运,feng'tian'cheng'yun
风调雨顺,feng'tiao'yu'shun
奉头鼠窜,feng'tou'shu'cuan
风土人情,feng'tu'ren'qing
蜂屯蚁聚,feng'tun'yi'ju
奉为圭臬,feng'wei'gui'nie
奉为楷模,feng'wei'kai'mo
奉为至宝,feng'wei'zhi'bao
丰屋蔀家,feng'wu'bu'jia
凤舞龙飞,feng'wu'long'fei
凤舞鸾歌,feng'wu'luan'ge
凤枭同巢,feng'xiao'tong'chao
风潇雨晦,feng'xiao'yu'hui
风信年华,feng'xin'nian'hua
风行草偃,feng'xing'cao'yan
奉行故事,feng'xing'gu'shi
风行雷厉,feng'xing'lei'li
风行水上,feng'xing'shui'shang
风行一世,feng'xing'yi'shi
风行一时,feng'xing'yi'shi
逢凶化吉,feng'xiong'hua'ji
风旋电掣,feng'xuan'dian'che
风雪交加,feng'xue'jiao'jia
风言醋语,feng'yan'cu'yu
风言风语,feng'yan'feng'yu
讽一劝百,feng'yi'quan'bai
丰衣足食,feng'yi'zu'shi
凤引九雏,feng'yin'jiu'chu
风影敷衍,feng'ying'fu'yan
蜂拥而来,feng'yong'er'lai
蜂拥而上,feng'yong'er'shang
蜂拥而至,feng'yong'er'zhi
蜂拥蚁屯,feng'yong'yi'tun
风雨不改,feng'yu'bu'gai
风雨不透,feng'yu'bu'tou
风雨晦暝,feng'yu'hui'ming
风雨交加,feng'yu'jiao'jia
风雨飘零,feng'yu'piao'ling
风雨飘摇,feng'yu'piao'yao
风雨凄凄,feng'yu'qi'qi
风雨如晦,feng'yu'ru'hui
风雨如磐,feng'yu'ru'pan
风雨同舟,feng'yu'tong'zhou
风雨无阻,feng'yu'wu'zu
风月无涯,feng'yue'wu'ya
风云变态,feng'yun'bian'tai
风云不测,feng'yun'bu'ce
风云际会,feng'yun'ji'hui
风云人物,feng'yun'ren'wu
风云突变,feng'yun'tu'bian
风韵犹存,feng'yun'you'cun
风云月露,feng'yun'yue'lu
风云之志,feng'yun'zhi'zhi
风栉雨沐,feng'zhi'yu'mu
风中之烛,feng'zhong'zhi'zhu
风烛残年,feng'zhu'can'nian
凤翥龙翔,feng'zhu'long'xiang
凤翥龙骧,feng'zhu'long'xiang
凤翥鹏翔,feng'zhu'peng'xiang
风姿绰约,feng'zi'chuo'yue
凤子龙孙,feng'zi'long'sun
丰姿冶丽,feng'zi'ye'li
佛口蛇心,fo'kou'she'xin
佛头加秽,fo'tou'jia'hui
佛头着粪,fo'tou'zhuo'fen
佛性禅心,fo'xing'chan'xin
佛眼相看,fo'yan'xiang'kan
腹背受敌,fu'bei'shou'di
腹背之毛,fu'bei'zhi'mao
黼蔀黻纪,fu'bu'fu'ji
富不过三代,fu'bu'guo'san'dai
福不盈眦,fu'bu'ying'zi
夫唱妇随,fu'chang'fu'sui
覆巢毁卵,fu'chao'hui'luan
辅车相将,fu'che'xiang'jiang
辅车相依,fu'che'xiang'yi
覆车之鉴,fu'che'zhi'jian
覆车之戒,fu'che'zhi'jie
父慈子孝,fu'ci'zi'xiao
浮翠流丹,fu'cui'liu'dan
福地洞天,fu'di'dong'tian
覆地翻天,fu'di'fan'tian
釜底游鱼,fu'di'you'yu
伏低做小,fu'di'zuo'xiao
扶颠持危,fu'dian'chi'wei
附耳低言,fu'er'di'yan
伏法受诛,fu'fa'shou'zhu
腹诽心谤,fu'fei'xin'bang
腹非心谤,fu'fei'xin'bang
傅粉何郎,fu'fen'he'lang
傅粉施朱,fu'fen'shi'zhu
附凤攀龙,fu'feng'pan'long
黼黻文章,fu'fu'wen'zhang
妇姑勃溪,fu'gu'bo'xi
桴鼓相应,fu'gu'xiang'ying
浮瓜沉李,fu'gua'chen'li
浮光掠影,fu'guang'lue'ying
浮光跃金,fu'guang'yue'jin
富贵逼人来,fu'gui'bi'ren'lai
富贵不能淫,fu'gui'bu'neng'yin
富贵不淫,fu'gui'bu'yin
富贵浮云,fu'gui'fu'yun
富贵骄人,fu'gui'jiao'ren
富贵利达,fu'gui'li'da
夫贵妻荣,fu'gui'qi'rong
富贵荣华,fu'gui'rong'hua
富国安民,fu'guo'an'min
富国强兵,fu'guo'qiang'bing
富国裕民,fu'guo'yu'min
凫鹤从方,fu'he'cong'fang
伏虎降龙,fu'hu'xiang'long
浮花浪蕊,fu'hua'lang'rui
附骥攀鸿,fu'ji'pan'hong
缚鸡之力,fu'ji'zhi'li
浮家泛宅,fu'jia'fan'zhai
抚今思昔,fu'jin'si'xi
抚今痛昔,fu'jin'tong'xi
抚今追昔,fu'jin'zhui'xi
负荆请罪,fu'jing'qing'zui
抚景伤情,fu'jing'shang'qing
扶老携幼,fu'lao'xie'you
富丽堂皇,fu'li'tang'huang
富轹万古,fu'li'wan'gu
富埒王侯,fu'lie'wang'hou
伏龙凤雏,fu'long'feng'chu
福禄双全,fu'lu'shuang'quan
覆鹿寻蕉,fu'lu'xun'jiao
负芒披苇,fu'mang'pi'wei
浮名薄利,fu'ming'bo'li
肤末支离,fu'mo'zhi'li
父母恩勤,fu'mu'en'qin
父母之邦,fu'mu'zhi'bang
负驽前驱,fu'nu'qian'qu
覆盆之冤,fu'pen'zhi'yuan
浮皮潦草,fu'pi'liao'cao
扶墙摸壁,fu'qiang'mo'bi
扶倾济弱,fu'qing'ji'ruo
覆去翻来,fu'qu'fan'lai
负屈含冤,fu'qu'han'yuan
凫趋雀跃,fu'qu'que'yue
怫然不悦,fu'ran'bu'yue
怫然作色,fu'ran'zuo'se
夫人裙带,fu'ren'qun'dai
妇人之仁,fu'ren'zhi'ren
芙蓉并蒂,fu'rong'bing'di
芙蓉出水,fu'rong'chu'shui
夫荣妻贵,fu'rong'qi'gui
夫荣妻显,fu'rong'qi'xian
福如东海,fu'ru'dong'hai
妇孺皆知,fu'ru'jie'zhi
肤如凝脂,fu'ru'ning'zhi
扶弱抑强,fu'ruo'yi'qiang
福善祸淫,fu'shan'huo'yin
富商大贾,fu'shang'da'gu
富商巨贾,fu'shang'ju'gu
浮声切响,fu'sheng'qie'xiang
浮生若梦,fu'sheng'ruo'meng
辅世长民,fu'shi'chang'min
负石赴河,fu'shi'fu'he
俯拾即是,fu'shi'ji'shi
俯拾皆是,fu'shi'jie'shi
俯拾仰取,fu'shi'yang'qu
福寿康宁,fu'shou'kang'ning
福寿绵绵,fu'shou'mian'mian
福寿齐天,fu'shou'qi'tian
福寿双全,fu'shou'shuang'quan
伏首贴耳,fu'shou'tie'er
俯首帖耳,fu'shou'tie'er
俯首贴耳,fu'shou'tie'er
俯首听命,fu'shou'ting'ming
福寿无疆,fu'shou'wu'jiang
肤受之愬,fu'shou'zhi'shuo
肤受之诉,fu'shou'zhi'su
覆水难收,fu'shui'nan'shou
福孙荫子,fu'sun'yin'zi
赴汤蹈火,fu'tang'dao'huo
扶危持颠,fu'wei'chi'dian
扶危定倾,fu'wei'ding'qing
扶危救困,fu'wei'jiu'kun
父为子隐,fu'wei'zi'yin
福无双至,fu'wu'shuang'zhi
浮想联翩,fu'xiang'lian'pian
负心违愿,fu'xin'wei'yuan
腹心之患,fu'xin'zhi'huan
腹心之疾,fu'xin'zhi'ji
抚心自问,fu'xin'zi'wen
福星高照,fu'xing'gao'zhao
拂袖而归,fu'xiu'er'gui
拂袖而去,fu'xiu'er'qu
敷衍塞责,fu'yan'se'ze
敷衍搪塞,fu'yan'tang'se
父严子孝,fu'yan'zi'xiao
俯仰唯唯,fu'yang'wei'wei
俯仰无愧,fu'yang'wu'kui
俯仰由人,fu'yang'you'ren
俯仰之间,fu'yang'zhi'jian
扶摇万里,fu'yao'wan'li
扶摇直上,fu'yao'zhi'shang
浮一大白,fu'yi'da'bai
负义忘恩,fu'yi'wang'en
拊膺顿足,fu'ying'dun'zu
附庸风雅,fu'yong'feng'ya
蜉蝣撼大树,fu'you'han'da'shu
腹有鳞甲,fu'you'lin'jia
负隅顽抗,fu'yu'wan'kang
浮云蔽日,fu'yun'bi'ri
浮云富贵,fu'yun'fu'gui
浮云朝露,fu'yun'zhao'lu
富在知足,fu'zai'zhi'zu
浮湛连蹇,fu'zhan'lian'jian
抚掌大笑,fu'zhang'da'xiao
付之丙丁,fu'zhi'bing'ding
付之东流,fu'zhi'dong'liu
福至心灵,fu'zhi'xin'ling
付之一炬,fu'zhi'yi'ju
付之一笑,fu'zhi'yi'xiao
釜中生鱼,fu'zhong'sheng'yu
釜中游鱼,fu'zhong'you'yu
釜中之鱼,fu'zhong'zhi'yu
负重致远,fu'zhong'zhi'yuan
付诸东流,fu'zhu'dong'liu
付诸洪乔,fu'zhu'hong'qiao
付诸一炬,fu'zhu'yi'ju
付诸一笑,fu'zhu'yi'xiao
夫子自道,fu'zi'zi'dao
盖不由己,gai'bu'you'ji
改操易节,gai'cao'yi'jie
改恶向善,gai'e'xiang'shan
改恶行善,gai'e'xing'shan
盖棺定论,gai'guan'ding'lun
盖棺论定,gai'guan'lun'ding
盖棺事定,gai'guan'shi'ding
改过不吝,gai'guo'bu'lin
改过迁善,gai'guo'qian'shan
改过自新,gai'guo'zi'xin
改换门闾,gai'huan'men'lv
改换门楣,gai'huan'men'mei
改换门庭,gai'huan'men'ting
改名换姓,gai'ming'huan'xing
改名易姓,gai'ming'yi'xing
概莫能外,gai'mo'neng'wai
概日凌云,gai'ri'ling'yun
盖世无双,gai'shi'wu'shuang
盖世英雄,gai'shi'ying'xiong
盖世之才,gai'shi'zhi'cai
改头换面,gai'tou'huan'mian
改头换尾,gai'tou'huan'wei
改弦更张,gai'xian'geng'zhang
改弦易调,gai'xian'yi'diao
改弦易张,gai'xian'yi'zhang
改弦易辙,gai'xian'yi'zhe
改邪归正,gai'xie'gui'zheng
改辕易辙,gai'yuan'yi'zhe
干巴利落,gan'ba'li'luo
甘拜下风,gan'bai'xia'feng
干柴烈火,gan'chai'lie'huo
肝肠寸断,gan'chang'cun'duan
干城之将,gan'cheng'zhi'jiang
干脆利落,gan'cui'li'luo
干打雷不下雨,gan'da'lei'bu'xia'yu
感戴二天,gan'dai'er'tian
肝胆楚越,gan'dan'chu'yue
肝胆相照,gan'dan'xiang'zhao
肝胆欲碎,gan'dan'yu'sui
肝胆照人,gan'dan'zhao'ren
感恩戴德,gan'en'dai'de
感恩图报,gan'en'tu'bao
干父之蛊,gan'fu'zhi'gu
干干净净,gan'gan'jing'jing
甘瓜苦蒂,gan'gua'ku'di
感激不尽,gan'ji'bu'jin
感极涕零,gan'ji'ti'ling
感激涕零,gan'ji'ti'ling
感今怀昔,gan'jin'huai'xi
赶尽杀绝,gan'jin'sha'jue
干净利落,gan'jing'li'luo
干净利索,gan'jing'li'suo
甘井先竭,gan'jing'xian'jie
感旧之哀,gan'jiu'zhi'ai
甘居人后,gan'ju'ren'hou
感慨激昂,gan'kai'ji'ang
感慨万端,gan'kai'wan'duan
感慨万千,gan'kai'wan'qian
感慨系之,gan'kai'xi'zhi
甘苦与共,gan'ku'yu'gong
甘冒虎口,gan'mao'hu'kou
肝脑涂地,gan'nao'tu'di
敢怒敢言,gan'nu'gan'yan
甘贫乐道,gan'pin'le'dao
干卿底事,gan'qing'di'shi
感情用事,gan'qing'yong'shi
感人肺腑,gan'ren'fei'fu
感人肺肝,gan'ren'fei'gan
感人心脾,gan'ren'xin'pi
旰食宵衣,gan'shi'xiao'yi
甘死如饴,gan'si'ru'yi
甘棠遗爱,gan'tang'yi'ai
甘棠之爱,gan'tang'zhi'ai
甘棠之惠,gan'tang'zhi'hui
感天动地,gan'tian'dong'di
感同身受,gan'tong'shen'shou
竿头日进,gan'tou'ri'jin
竿头日上,gan'tou'ri'shang
竿头直上,gan'tou'zhi'shang
干霄凌云,gan'xiao'ling'yun
甘心瞑目,gan'xin'ming'mu
甘心情原,gan'xin'qing'yuan
甘心情愿,gan'xin'qing'yuan
甘心如荠,gan'xin'ru'ji
肝心若裂,gan'xin'ruo'lie
甘心首疾,gan'xin'shou'ji
甘言美语,gan'yan'mei'yu
感遇忘身,gan'yu'wang'shen
干云蔽日,gan'yun'bi'ri
甘之如饴,gan'zhi'ru'yi
甘之若素,gan'zhi'ruo'su
敢作敢当,gan'zuo'gan'dang
敢作敢为,gan'zuo'gan'wei
刚愎自用,gang'bi'zi'yong
刚肠嫉恶,gang'chang'ji'e
钢筋铁骨,gang'jin'tie'gu
纲举目张,gang'ju'mu'zhang
刚戾自用,gang'li'zi'yong
纲挈目张,gang'qie'mu'zhang
刚柔相济,gang'rou'xiang'ji
岗头泽底,gang'tou'ze'di
刚毅木讷,gang'yi'mu'ne
刚正不阿,gang'zheng'bu'e
刚直不阿,gang'zhi'bu'e
刚中柔外,gang'zhong'rou'wai
高岸深谷,gao'an'shen'gu
高傲自大,gao'ao'zi'da
高不可攀,gao'bu'ke'pan
高步云衢,gao'bu'yun'qu
高材疾足,gao'cai'ji'zu
高才捷足,gao'cai'jie'zu
高材捷足,gao'cai'jie'zu
高唱入云,gao'chang'ru'yun
高城深池,gao'cheng'shen'chi
高出一筹,gao'chu'yi'chou
高蹈远举,gao'dao'yuan'ju
高飞远遁,gao'fei'yuan'dun
高飞远举,gao'fei'yuan'ju
高飞远翔,gao'fei'yuan'xiang
高飞远走,gao'fei'yuan'zou
高风峻节,gao'feng'jun'jie
高风亮节,gao'feng'liang'jie
高凤自秽,gao'feng'zi'hui
高高在上,gao'gao'zai'shang
高歌猛进,gao'ge'meng'jin
高冠博带,gao'guan'bo'dai
高官厚禄,gao'guan'hou'lu
高官显爵,gao'guan'xian'jue
高官重禄,gao'guan'zhong'lu
高官尊爵,gao'guan'zun'jue
膏火自煎,gao'huo'zi'jian
高节清风,gao'jie'qing'feng
告老还家,gao'lao'huan'jia
告老还乡,gao'lao'huan'xiang
高楼大厦,gao'lou'da'sha
高门大户,gao'men'da'hu
高名大姓,gao'ming'da'xing
槁木死灰,gao'mu'si'hui
高睨大谈,gao'ni'da'tan
高朋满座,gao'peng'man'zuo
高情逸兴,gao'qing'yi'xing
高情远韵,gao'qing'yuan'yun
高情远致,gao'qing'yuan'zhi
高人雅士,gao'ren'ya'shi
高人一筹,gao'ren'yi'chou
高人一等,gao'ren'yi'deng
高山景行,gao'shan'jing'xing
高山峻岭,gao'shan'jun'ling
高山仰之,gao'shan'yang'zhi
高山仰止,gao'shan'yang'zhi
高深莫测,gao'shen'mo'ce
高视阔步,gao'shi'kuo'bu
高耸入云,gao'song'ru'yun
高抬贵手,gao'tai'gui'shou
高谈阔论,gao'tan'kuo'lun
高头大马,gao'tou'da'ma
高卧东山,gao'wo'dong'shan
高屋建瓴,gao'wu'jian'ling
高下在心,gao'xia'zai'xin
槁项黄馘,gao'xiang'huang'guo
高翔远引,gao'xiang'yuan'yin
高姓大名,gao'xing'da'ming
高悬秦镜,gao'xuan'qin'jing
高牙大纛,gao'ya'da'dao
高阳酒徒,gao'yang'jiu'tu
高义薄云天,gao'yi'bao'yun'tian
高义薄云,gao'yi'bo'yun
膏腴贵游,gao'yu'gui'you
膏腴之地,gao'yu'zhi'di
膏腴子弟,gao'yu'zi'di
高瞻远瞩,gao'zhan'yuan'zhu
高掌远跖,gao'zhang'yuan'zhi
高枕而卧,gao'zhen'er'wo
高枕无忧,gao'zhen'wu'you
缟纻之交,gao'zhu'zhi'jiao
高自标置,gao'zi'biao'zhi
高足弟子,gao'zu'di'zi
隔岸观火,ge'an'guan'huo
各奔前程,ge'ben'qian'cheng
各不相谋,ge'bu'xiang'mou
各不相让,ge'bu'xiang'rang
各持己见,ge'chi'ji'jian
各从其志,ge'cong'qi'zhi
各得其所,ge'de'qi'suo
各得其宜,ge'de'qi'yi
割地称臣,ge'di'cheng'chen
割地求和,ge'di'qiu'he
格格不入,ge'ge'bu'ru
各个击破,ge'ge'ji'po
歌功颂德,ge'gong'song'de
革故鼎新,ge'gu'ding'xin
革故立新,ge'gu'li'xin
格古通今,ge'gu'tong'jin
隔行如隔山,ge'hang'ru'ge'shan
各尽所能,ge'jin'suo'neng
革旧鼎新,ge'jiu'ding'xin
革旧图新,ge'jiu'tu'xin
葛屦履霜,ge'ju'lv'shuang
割据一方,ge'ju'yi'fang
歌楼舞榭,ge'lou'wu'xie
革面敛手,ge'mian'lian'shou
革面洗心,ge'mian'xi'xin
革命反正,ge'ming'fan'zheng
隔年皇历,ge'nian'huang'li
隔墙有耳,ge'qiang'you'er
各取所长,ge'qu'suo'chang
各取所需,ge'qu'suo'xu
割肉补疮,ge'rou'bu'chuang
各色各样,ge'se'ge'yang
各色人等,ge'se'ren'deng
格杀勿论,ge'sha'wu'lun
格杀无论,ge'sha'wu'lun
隔山买老牛,ge'shan'mai'lao'niu
歌声绕梁,ge'sheng'rao'liang
各式各样,ge'shi'ge'yang
隔世之感,ge'shi'zhi'gan
各抒己见,ge'shu'ji'jian
各抒所见,ge'shu'suo'jian
歌台舞榭,ge'tai'wu'xie
各为其主,ge'wei'qi'zhu
格物穷理,ge'wu'qiong'li
歌舞升平,ge'wu'sheng'ping
割席分坐,ge'xi'fen'zuo
各显神通,ge'xian'shen'tong
革新变旧,ge'xin'bian'jiu
割须弃袍,ge'xu'qi'pao
隔靴搔痒,ge'xue'sao'yang
隔靴抓痒,ge'xue'zhua'yang
歌莺舞燕,ge'ying'wu'yan
各有千秋,ge'you'qian'qiu
各有所短,ge'you'suo'duan
各有所好,ge'you'suo'hao
各有所职,ge'you'suo'zhi
各执己见,ge'zhi'ji'jian
各执一词,ge'zhi'yi'ci
个中滋味,ge'zhong'zi'wei
各自为政,ge'zi'wei'zheng
亘古不灭,gen'gu'bu'mie
亘古亘今,gen'gu'gen'jin
根孤伎薄,gen'gu'ji'bao
亘古奇闻,gen'gu'qi'wen
亘古通今,gen'gu'tong'jin
亘古未有,gen'gu'wei'you
亘古新闻,gen'gu'xin'wen
根据盘互,gen'ju'pan'hu
根盘蒂结,gen'pan'di'jie
根蟠节错,gen'pan'jie'cuo
根深本固,gen'shen'ben'gu
根深柢固,gen'shen'di'gu
根深蒂固,gen'shen'di'gu
根深叶茂,gen'shen'ye'mao
根牙盘错,gen'ya'pan'cuo
根株附丽,gen'zhu'fu'li
更唱叠和,geng'chang'die'he
更长梦短,geng'chang'meng'duan
耕当问奴,geng'dang'wen'nu
绠短汲深,geng'duan'ji'shen
耿耿于怀,geng'geng'yu'huai
耿耿于心,geng'geng'yu'xin
庚癸之呼,geng'gui'zhi'hu
梗迹蓬飘,geng'ji'peng'piao
更进一步,geng'jin'yi'bu
更进一竿,geng'jin'yi'gan
羹藜含糗,geng'li'han'qiu
更令明号,geng'ling'ming'hao
更名改姓,geng'ming'gai'xing
更仆难数,geng'pu'nan'shu
更深夜静,geng'shen'ye'jing
更弦易辙,geng'xian'yi'zhe
更新换代,geng'xin'huan'dai
更姓改物,geng'xing'gai'wu
耕耘树艺,geng'yun'shu'yi
功败垂成,gong'bai'chui'cheng
公报私仇,gong'bao'si'chou
功标青史,gong'biao'qing'shi
功薄蝉翼,gong'bo'chan'yi
供不应求,gong'bu'ying'qiu
公才公望,gong'cai'gong'wang
宫车晏驾,gong'che'yan'jia
功成弗居,gong'cheng'fu'ju
功成骨枯,gong'cheng'gu'ku
攻城掠地,gong'cheng'lue'di
攻城略地,gong'cheng'lue'di
功成名就,gong'cheng'ming'jiu
功成名遂,gong'cheng'ming'sui
功成身退,gong'cheng'shen'tui
攻城野战,gong'cheng'ye'zhan
觥筹交错,gong'chou'jiao'cuo
公道合理,gong'dao'he'li
功到自然成,gong'dao'zi'ran'cheng
功德无量,gong'de'wu'liang
功德圆满,gong'de'yuan'man
公尔忘私,gong'er'wang'si
公而忘私,gong'er'wang'si
恭而有礼,gong'er'you'li
恭逢其盛,gong'feng'qi'sheng
躬逢其盛,gong'feng'qi'sheng
功盖天下,gong'gai'tian'xia
功高不赏,gong'gao'bu'shang
功高盖世,gong'gao'gai'shi
功高震主,gong'gao'zhen'zhu
躬耕乐道,gong'geng'le'dao
共贯同条,gong'guan'tong'tiao
供过于求,gong'guo'yu'qiu
恭贺新禧,gong'he'xin'xi
躬擐甲胄,gong'huan'jia'zhou
攻疾防患,gong'ji'fang'huan
拱肩缩背,gong'jian'suo'bei
恭敬不如从命,gong'jing'bu'ru'cong'ming
恭敬桑梓,gong'jing'sang'zi
攻苦茹酸,gong'ku'ru'suan
攻苦食啖,gong'ku'shi'dan
攻苦食淡,gong'ku'shi'dan
功亏一篑,gong'kui'yi'kui
工力悉敌,gong'li'xi'di
宫邻金虎,gong'lin'jin'hu
公买公卖,gong'mai'gong'mai
公门桃李,gong'men'tao'li
功名富贵,gong'ming'fu'gui
功名利禄,gong'ming'li'lu
公明正大,gong'ming'zheng'da
恭默守静,gong'mo'shou'jing
公平合理,gong'ping'he'li
公平交易,gong'ping'jiao'yi
公平无私,gong'ping'wu'si
公平正直,gong'ping'zheng'zhi
攻其不备,gong'qi'bu'bei
攻其无备,gong'qi'wu'bei
供认不讳,gong'ren'bu'hui
共商国是,gong'shang'guo'shi
公事公办,gong'shi'gong'ban
公是公非,gong'shi'gong'fei
拱手让人,gong'shou'rang'ren
拱手听命,gong'shou'ting'ming
攻守同盟,gong'shou'tong'meng
公私兼顾,gong'si'jian'gu
公私两济,gong'si'liang'ji
公私两利,gong'si'liang'li
功遂身退,gong'sui'shen'tui
共挽鹿车,gong'wan'lu'che
攻无不克,gong'wu'bu'ke
攻瑕指失,gong'xia'zhi'shi
躬先士卒,gong'xian'shi'zu
攻心为上,gong'xin'wei'shang
躬行节俭,gong'xing'jie'jian
躬行实践,gong'xing'shi'jian
恭行天罚,gong'xing'tian'fa
功一美二,gong'yi'mei'er
拱揖指挥,gong'yi'zhi'hui
拱揖指麾,gong'yi'zhi'hui
贡禹弹冠,gong'yu'tan'guan
弓折刀尽,gong'zhe'dao'jin
公正廉洁,gong'zheng'lian'jie
公正廉明,gong'zheng'lian'ming
公正无私,gong'zheng'wu'si
共枝别干,gong'zhi'bie'gan
公忠体国,gong'zhong'ti'guo
公诸同好,gong'zhu'tong'hao
躬自菲薄,gong'zi'fei'bo
公子哥儿,gong'zi'ge'er
公子王孙,gong'zi'wang'sun
苟安一隅,gou'an'yi'yu
狗逮老鼠,gou'dai'lao'shu
狗盗鸡鸣,gou'dao'ji'ming
狗盗鸡啼,gou'dao'ji'ti
狗窦大开,gou'dou'da'kai
狗恶酒酸,gou'e'jiu'suan
狗吠不惊,gou'fei'bu'jing
狗吠非主,gou'fei'fei'zhu
狗肺狼心,gou'fei'lang'xin
狗吠之惊,gou'fei'zhi'jing
