阿鼻地狱,a'bi'di'yu
风吹雨打,feng'chui'yu'da
风吹云散,feng'chui'yun'san
奉辞伐罪,feng'ci'fa'zui
风从响应,feng'cong'xiang'ying
蜂攒蚁集,feng'cuan'yi'ji
封刀挂剑,feng'dao'gua'jian
风刀霜剑,feng'dao'shuang'jian
讽德诵功,feng'de'song'gong
锋镝余生,feng'di'yu'sheng
风度翩翩,feng'du'pian'pian
讽多要寡,feng'duo'yao'gua
逢恶导非,feng'e'dao'fei
锋发韵流,feng'fa'yun'liu
蜂房蚁穴,feng'fang'yi'xue
风飞云会,feng'fei'yun'hui
葑菲之采,feng'fei'zhi'cai
风风光光,feng'feng'guang'guang
风风火火,feng'feng'huo'huo
风风雨雨,feng'feng'yu'yu
风风韵韵,feng'feng'yun'yun
丰富多彩,feng'fu'duo'cai
丰富多采,feng'fu'duo'cai
凤附龙攀,feng'fu'long'pan
蜂附云集,feng'fu'yun'ji
凤歌鸾舞,feng'ge'luan'wu
奉公不阿,feng'gong'bu'e
丰功厚利,feng'gong'hou'li
奉公克己,feng'gong'ke'ji
丰功茂德,feng'gong'mao'de
奉公如法,feng'gong'ru'fa
丰功盛烈,feng'gong'sheng'lie
奉公守法,feng'gong'shou'fa
丰功硕德,feng'gong'shuo'de
丰功伟绩,feng'gong'wei'ji
丰功懿德,feng'gong'yi'de
奉公正己,feng'gong'zheng'ji
烽鼓不息,feng'gu'bu'xi
凤骨龙姿,feng'gu'long'zi
风骨峭峻,feng'gu'qiao'jun
凤管鸾笙,feng'guan'luan'sheng
凤管鸾箫,feng'guan'luan'xiao
凤冠霞帔,feng'guan'xia'pei
封官许原,feng'guan'xu'yuan
封官许愿,feng'guan'xu'yuan
风光旖旎,feng'guang'yi'ni
风光月霁,feng'guang'yue'ji
风禾尽起,feng'he'jin'qi
风和日丽,feng'he'ri'li
风和日美,feng'he'ri'mei
风和日暖,feng'he'ri'nuan
风和日暄,feng'he'ri'xuan
蜂合豕突,feng'he'shi'tu
丰亨豫大,feng'heng'yu'da
封胡遏末,feng'hu'e'mo
风虎云龙,feng'hu'yun'long
风华绝代,feng'hua'jue'dai
风花雪夜,feng'hua'xue'ye
风花雪月,feng'hua'xue'yue
风华正茂,feng'hua'zheng'mao
风华浊世,feng'hua'zhuo'shi
风鬟雾鬓,feng'huan'wu'bin
风鬟雨鬓,feng'huan'yu'bin
凤凰来仪,feng'huang'lai'yi
凤皇来仪,feng'huang'lai'yi
凤凰于飞,feng'huang'yu'fei
凤皇于蜚,feng'huang'yu'fei
凤皇于飞,feng'huang'yu'fei
凤凰在笯,feng'huang'zai'nu
风回电激,feng'hui'dian'ji
峰回路转,feng'hui'lu'zhuan
烽火连年,feng'huo'lian'nian
烽火连天,feng'huo'lian'tian
烽火四起,feng'huo'si'qi
风激电飞,feng'ji'dian'fei
风激电骇,feng'ji'dian'hai
逢吉丁辰,feng'ji'ding'chen
逢机遘会,feng'ji'gou'hui
风急浪高,feng'ji'lang'gao
逢机立断,feng'ji'li'duan
封己守残,feng'ji'shou'can
丰筋多力,feng'jin'duo'li
封金挂印,feng'jin'gua'yin
风景不殊,feng'jing'bu'shu
风举云飞,feng'ju'yun'fei
风举云摇,feng'ju'yun'yao
风谲云诡,feng'jue'yun'gui
逢君之恶,feng'jun'zhi'e
蜂窠蚁穴,feng'ke'yi'xue
风口浪尖,feng'kou'lang'jian
蜂狂蝶乱,feng'kuang'die'luan
凤狂龙躁,feng'kuang'long'zao
风雷火炮,feng'lei'huo'pao
风里杨花,feng'li'yang'hua
奉令承教,feng'ling'cheng'jiao
风流博浪,feng'liu'bo'lang
风流才子,feng'liu'cai'zi
风流跌宕,feng'liu'die'dang
风流千古,feng'liu'qian'gu
风流人物,feng'liu'ren'wu
风流儒雅,feng'liu'ru'ya
风流事过,feng'liu'shi'guo
风流倜傥,feng'liu'ti'tang
风流潇洒,feng'liu'xiao'sa
风流雨散,feng'liu'yu'san
风流冤孽,feng'liu'yuan'nie
风流缊藉,feng'liu'yun'jie
风流蕴藉,feng'liu'yun'jie
风流酝藉,feng'liu'yun'jie
风流云散,feng'liu'yun'san
风流韵事,feng'liu'yun'shi
风流罪犯,feng'liu'zui'fan
风流罪过,feng'liu'zui'guo
凤楼龙阙,feng'lou'long'que
风马不接,feng'ma'bu'jie
风马云车,feng'ma'yun'che
锋芒毕露,feng'mang'bi'lu
锋铓毕露,feng'mang'bi'lu
锋芒逼人,feng'mang'bi'ren
锋芒不露,feng'mang'bu'lu
锋芒所向,feng'mang'suo'xiang
凤毛鸡胆,feng'mao'ji'dan
凤毛济美,feng'mao'ji'mei
凤毛麟角,feng'mao'lin'jiao
凤毛龙甲,feng'mao'long'jia
蜂媒蝶使,feng'mei'die'shi
风门水口,feng'men'shui'kou
蜂迷蝶猜,feng'mi'die'cai
凤靡鸾吪,feng'mi'luan'e
风靡一时,feng'mi'yi'shi
风靡云蒸,feng'mi'yun'zheng
凤鸣鹤唳,feng'ming'he'li
凤鸣麟出,feng'ming'lin'chu
奉命唯谨,feng'ming'wei'jin
凤鸣朝阳,feng'ming'zhao'yang
蜂目豺声,feng'mu'chai'sheng
风木含悲,feng'mu'han'bei
风木之悲,feng'mu'zhi'bei
风木之思,feng'mu'zhi'si
丰年稔岁,feng'nian'ren'sui
风暖日丽,feng'nuan'ri'li
风平波息,feng'ping'bo'xi
风萍浪迹,feng'ping'lang'ji
风平浪静,feng'ping'lang'jing
风起潮涌,feng'qi'chao'yong
风起浪涌,feng'qi'lang'yong
风起泉涌,feng'qi'quan'yong
风起水涌,feng'qi'shui'yong
封妻荫子,feng'qi'yin'zi
风起云布,feng'qi'yun'bu
风起云飞,feng'qi'yun'fei
蜂起云涌,feng'qi'yun'yong
风起云涌,feng'qi'yun'yong
风起云蒸,feng'qi'yun'zheng
风前残烛,feng'qian'can'zhu
风前月下,feng'qian'yue'xia
丰墙硗下,feng'qiang'qiao'xia
丰墙峭址,feng'qiang'qiao'zhi
风樯阵马,feng'qiang'zhen'ma
风清弊绝,feng'qing'bi'jue
风清月白,feng'qing'yue'bai
风清月皎,feng'qing'yue'jiao
风清月朗,feng'qing'yue'lang
风清月明,feng'qing'yue'ming
风情月思,feng'qing'yue'si
风情月意,feng'qing'yue'yi
风情月债,feng'qing'yue'zhai
风轻云淡,feng'qing'yun'dan
风轻云净,feng'qing'yun'jing
风驱电击,feng'qu'dian'ji
风驱电扫,feng'qu'dian'sao
风趣横生,feng'qu'heng'sheng
丰取刻与,feng'qu'ke'yu
蜂趋蚁附,feng'qu'yi'fu
逢人说项,feng'ren'shuo'xiang
奉如神明,feng'ru'shen'ming
奉若神明,feng'ruo'shen'ming
逢山开道,feng'shan'kai'dao
逢山开路,feng'shan'kai'lu
蜂扇蚁聚,feng'shan'yi'ju
丰神绰约,feng'shen'chuo'yue
丰神异彩,feng'shen'yi'cai
风声鹤唳,feng'sheng'he'li
风声谈笑,feng'sheng'tan'xiao
封豕长蛇,feng'shi'chang'she
凤食鸾栖,feng'shi'luan'qi
蜂识莺猜,feng'shi'ying'cai
逢时遇节,feng'shi'yu'jie
风树之悲,feng'shu'zhi'bei
风霜雨雪,feng'shuang'yu'xue
风俗人情,feng'su'ren'qing
风宿水餐,feng'su'shui'can
凤髓龙肝,feng'sui'long'gan
凤叹虎视,feng'tan'hu'shi
奉天承运,feng'tian'cheng'yun
风恬浪静,feng'tian'lang'jing
风调雨顺,feng'tiao'yu'shun
风通道会,feng'tong'dao'hui
奉头鼠窜,feng'tou'shu'cuan
风土人情,feng'tu'ren'qing
蜂屯乌合,feng'tun'wu'he
蜂屯蚁附,feng'tun'yi'fu
蜂屯蚁聚,feng'tun'yi'ju
蜂屯蚁杂,feng'tun'yi'za
奉为圭臬,feng'wei'gui'nie
奉为楷模,feng'wei'kai'mo
奉为至宝,feng'wei'zhi'bao
凤舞龙飞,feng'wu'long'fei
凤舞龙蟠,feng'wu'long'pan
凤舞鸾歌,feng'wu'luan'ge
丰屋生灾,feng'wu'sheng'zai
丰屋延灾,feng'wu'yan'zai
封豨修蛇,feng'xi'xiu'she
凤箫龙管,feng'xiao'long'guan
凤箫鸾管,feng'xiao'luan'guan
凤枭同巢,feng'xiao'tong'chao
风潇雨晦,feng'xiao'yu'hui
凤协鸾和,feng'xie'luan'he
风信年华,feng'xin'nian'hua
风行草从,feng'xing'cao'cong
风行草偃,feng'xing'cao'yan
风行电掣,feng'xing'dian'che
风行电击,feng'xing'dian'ji
风行电扫,feng'xing'dian'sao
风行电照,feng'xing'dian'zhao
风行革偃,feng'xing'ge'yan
奉行故事,feng'xing'gu'shi
风行雷厉,feng'xing'lei'li
风行水上,feng'xing'shui'shang
风行一世,feng'xing'yi'shi
风行一时,feng'xing'yi'shi
风行雨散,feng'xing'yu'san
风行云蒸,feng'xing'yun'zheng
逢凶化吉,feng'xiong'hua'ji
风旋电掣,feng'xuan'dian'che
风雪交加,feng'xue'jiao'jia
风言醋语,feng'yan'cu'yu
风檐寸晷,feng'yan'cun'gui
风言风语,feng'yan'feng'yu
风檐刻烛,feng'yan'ke'zhu
风言雾语,feng'yan'wu'yu
风言影语,feng'yan'ying'yu
奉扬仁风,feng'yang'ren'feng
蜂腰削背,feng'yao'xue'bei
蜂腰猿背,feng'yao'yuan'bei
缝衣浅带,feng'yi'qian'dai
讽一劝百,feng'yi'quan'bai
凤仪兽舞,feng'yi'shou'wu
风移俗变,feng'yi'su'bian
风移俗改,feng'yi'su'gai
丰衣足食,feng'yi'zu'shi
凤引九雏,feng'yin'jiu'chu
凤吟鸾吹,feng'yin'luan'chui
风影敷衍,feng'ying'fu'yan
蜂营蚁队,feng'ying'yi'dui
蜂拥而来,feng'yong'er'lai
蜂拥而上,feng'yong'er'shang
蜂拥蚁聚,feng'yong'yi'ju
蜂拥蚁屯,feng'yong'yi'tun
蜂游蝶舞,feng'you'die'wu
凤友鸾交,feng'you'luan'jiao
凤友鸾谐,feng'you'luan'xie
风雨不测,feng'yu'bu'ce
风雨不改,feng'yu'bu'gai
风雨不透,feng'yu'bu'tou
风雨对床,feng'yu'dui'chuang
风雨共舟,feng'yu'gong'zhou
风雨晦冥,feng'yu'hui'ming
风雨晦暝,feng'yu'hui'ming
风雨交加,feng'yu'jiao'jia
风雨连床,feng'yu'lian'chuang
风雨飘零,feng'yu'piao'ling
风雨漂摇,feng'yu'piao'yao
风雨飘摇,feng'yu'piao'yao
风雨飘飖,feng'yu'piao'yao
风雨凄凄,feng'yu'qi'qi
风雨如晦,feng'yu'ru'hui
风雨如盘,feng'yu'ru'pan
风雨如磐,feng'yu'ru'pan
风雨时若,feng'yu'shi'ruo
风雨同舟,feng'yu'tong'zhou
风雨无阻,feng'yu'wu'zu
风雨萧条,feng'yu'xiao'tiao
风雨摇摆,feng'yu'yao'bai
风月无边,feng'yue'wu'bian
风月无涯,feng'yue'wu'ya
风云变幻,feng'yun'bian'huan
风云变色,feng'yun'bian'se
风云变态,feng'yun'bian'tai
风云不测,feng'yun'bu'ce
风云叱咤,feng'yun'chi'zha
风云际会,feng'yun'ji'hui
风云开阖,feng'yun'kai'he
风云人物,feng'yun'ren'wu
风云突变,feng'yun'tu'bian
风韵犹存,feng'yun'you'cun
风云月露,feng'yun'yue'lu
风云之志,feng'yun'zhi'zhi
风张风势,feng'zhang'feng'shi
凤只鸾孤,feng'zhi'luan'gu
风栉雨沐,feng'zhi'yu'mu
风中秉烛,feng'zhong'bing'zhu
风中之烛,feng'zhong'zhi'zhu
风烛残年,feng'zhu'can'nian
风烛草露,feng'zhu'cao'lu
凤翥龙蟠,feng'zhu'long'pan
凤翥龙翔,feng'zhu'long'xiang
凤翥龙骧,feng'zhu'long'xiang
凤翥鸾回,feng'zhu'luan'hui
凤翥鸾翔,feng'zhu'luan'xiang
凤翥鹏翔,feng'zhu'peng'xiang
风烛之年,feng'zhu'zhi'nian
风姿绰约,feng'zi'chuo'yue
凤子龙孙,feng'zi'long'sun
丰姿冶丽,feng'zi'ye'li
佛头加秽,fo'tou'jia'hui
佛头着粪,fo'tou'zhuo'fen
佛心蛇口,fo'xin'she'kou
佛性禅心,fo'xing'chan'xin
佛眼佛心,fo'yan'fo'xin
佛眼相看,fo'yan'xiang'kan
浮白载笔,fu'bai'zai'bi
夫倡夫随,fu'chang'fu'sui
夫唱妇随,fu'chang'fu'sui
浮翠流丹,fu'cui'liu'dan
肤寸而合,fu'cun'er'he
伏地圣人,fu'di'sheng'ren
伏低做小,fu'di'zuo'xiao
服低做小,fu'di'zuo'xiao
扶颠持危,fu'dian'chi'wei
凫短鹤长,fu'duan'he'chang
跗萼联芳,fu'e'lian'fang
跗萼载韡,fu'e'zai'wei
浮而不实,fu'er'bu'shi
伏而咶天,fu'er'shi'tian
伏法受诛,fu'fa'shou'zhu
夫负妻戴,fu'fu'qi'dai
浮瓜沉李,fu'gua'chen'li
浮光掠影,fu'guang'lue'ying
浮光略影,fu'guang'lue'ying
浮光跃金,fu'guang'yue'jin
夫贵妻荣,fu'gui'qi'rong
凫鹤从方,fu'he'cong'fang
伏虎降龙,fu'hu'xiang'long
浮花浪蕊,fu'hua'lang'rui
肤见谫识,fu'jian'jian'shi
凫胫鹤膝,fu'jing'he'xi
凫居雁聚,fu'ju'yan'ju
扶老携幼,fu'lao'xie'you
伏龙凤雏,fu'long'feng'chu
肤末支离,fu'mo'zhi'li
服牛乘马,fu'niu'cheng'ma
肤皮潦草,fu'pi'liao'cao
夫妻反目,fu'qi'fan'mu
扶墙摸壁,fu'qiang'mo'bi
扶倾济弱,fu'qing'ji'ruo
凫趋雀跃,fu'qu'que'yue
怫然不悦,fu'ran'bu'yue
怫然作色,fu'ran'zuo'se
夫人裙带,fu'ren'qun'dai
芙蓉并蒂,fu'rong'bing'di
芙蓉出水,fu'rong'chu'shui
夫荣妻贵,fu'rong'qi'gui
肤如凝脂,fu'ru'ning'zhi
扶弱抑强,fu'ruo'yi'qiang
扶善惩恶,fu'shan'cheng'e
伏首贴耳,fu'shou'tie'er
肤受之愬,fu'shou'zhi'shuo
肤受之诉,fu'shou'zhi'su
肤受之言,fu'shou'zhi'yan
肤粟股栗,fu'su'gu'li
服田力穑,fu'tian'li'se
扶危定乱,fu'wei'ding'luan
扶危定倾,fu'wei'ding'qing
扶危济急,fu'wei'ji'ji
扶危济困,fu'wei'ji'kun
扶危救困,fu'wei'jiu'kun
扶危翼倾,fu'wei'yi'qing
扶危拯溺,fu'wei'zheng'ni
拂袖而归,fu'xiu'er'gui
拂袖而去,fu'xiu'er'qu
敷衍了事,fu'yan'liao'shi
敷衍塞责,fu'yan'se'ze
敷衍搪塞,fu'yan'tang'se
扶摇万里,fu'yao'wan'li
扶摇直上,fu'yao'zhi'shang
孚尹明达,fu'yin'ming'da
孚尹旁达,fu'yin'pang'da
扶正黜邪,fu'zheng'chu'xie
扶正祛邪,fu'zheng'qu'xie
夫子自道,fu'zi'zi'dao
狗傍人势,gou'bang'ren'shi
狗逮老鼠,gou'dai'lao'shu
狗党狐朋,gou'dang'hu'peng
狗党狐群,gou'dang'hu'qun
狗盗鸡鸣,gou'dao'ji'ming
狗盗鸡啼,gou'dao'ji'ti
狗盗鼠窃,gou'dao'shu'qie
篝灯呵冻,gou'deng'he'dong
狗颠屁股,gou'dian'pi'gu
狗恶酒酸,gou'e'jiu'suan
勾魂摄魄,gou'hun'she'po
篝火狐鸣,gou'huo'hu'ming
钩金舆羽,gou'jin'yu'yu
佝偻成蜩,gou'lou'cheng'tiao
沟满壕平,gou'man'hao'ping
钩深极奥,gou'shen'ji'ao
钩深索隐,gou'shen'suo'yin
钩深图远,gou'shen'tu'yuan
钩深致远,gou'shen'zhi'yuan
勾心斗角,gou'xin'dou'jiao
钩心斗角,gou'xin'dou'jiao
钩玄猎祕,gou'xuan'lie'mi
钩玄猎秘,gou'xuan'lie'mi
钩玄提要,gou'xuan'ti'yao
钩元提要,gou'yuan'ti'yao
钩元摘秘,gou'yuan'zhai'mi
钩章棘句,gou'zhang'ji'ju
钩爪锯牙,gou'zhao'ju'ya
钩辀格磔,gou'zhou'ge'zhe
金石不渝,jin'shi'bu'yu
金石交情,jin'shi'jiao'qing
金石可开,jin'shi'ke'kai
金石良言,jin'shi'liang'yan
金石丝竹,jin'shi'si'zhu
金石为开,jin'shi'wei'kai
金石之策,jin'shi'zhi'ce
金石之功,jin'shi'zhi'gong
金石之计,jin'shi'zhi'ji
金石之坚,jin'shi'zhi'jian
金石之交,jin'shi'zhi'jiao
金石至交,jin'shi'zhi'jiao
金石之言,jin'shi'zhi'yan
金台市骏,jin'tai'shi'jun
金汤之固,jin'tang'zhi'gu
金淘沙拣,jin'tao'sha'jian
金题玉躞,jin'ti'yu'xie
金童玉女,jin'tong'yu'nv
金吾不禁,jin'wu'bu'jin
金屋藏娇,jin'wu'cang'jiao
金无赤足,jin'wu'chi'zu
金屋娇娘,jin'wu'jiao'niang
金镶玉裹,jin'xiang'yu'guo
金相玉式,jin'xiang'yu'shi
金相玉映,jin'xiang'yu'ying
金相玉质,jin'xiang'yu'zhi
金银财宝,jin'yin'cai'bao
金印紫绶,jin'yin'zi'shou
金友玉昆,jin'you'yu'kun
金玉锦绣,jin'yu'jin'xiu
金玉良言,jin'yu'liang'yan
金玉良缘,jin'yu'liang'yuan
金玉满堂,jin'yu'man'tang
金玉其质,jin'yu'qi'zhi
精兵简政,jing'bing'jian'zheng
精兵强将,jing'bing'qiang'jiang
精采修法,jing'cai'xiu'fa
精诚团结,jing'cheng'tuan'jie
精打细算,jing'da'xi'suan
精雕细刻,jing'diao'xi'ke
精雕细作,jing'diao'xi'zuo
精贯白日,jing'guan'bai'ri
精金百炼,jing'jin'bai'lian
精金良玉,jing'jin'liang'yu
精金美玉,jing'jin'mei'yu
精进勇猛,jing'jin'yong'meng
精力充沛,jing'li'chong'pei
精美绝伦,jing'mei'jue'lun
精妙绝伦,jing'miao'jue'lun
精明能干,jing'ming'neng'gan
精明强干,jing'ming'qiang'gan
精疲力竭,jing'pi'li'jie
精疲力尽,jing'pi'li'jin
精锐之师,jing'rui'zhi'shi
精神抖擞,jing'shen'dou'sou
精神焕发,jing'shen'huan'fa
精神恍惚,jing'shen'huang'hu
精神满腹,jing'shen'man'fu
精微入神,jing'wei'ru'shen
精卫填海,jing'wei'tian'hai
精益求精,jing'yi'qiu'jing
精义入神,jing'yi'ru'shen
精忠报国,jing'zhong'bao'guo
夸大其词,kua'da'qi'ci
夸大其辞,kua'da'qi'ci
夸多斗靡,kua'duo'dou'mi
跨凤乘鸾,kua'feng'cheng'luan
夸父逐日,kua'fu'zhu'ri
夸父追日,kua'fu'zhui'ri
夸夸而谈,kua'kua'er'tan
夸夸其谈,kua'kua'qi'tan
夸能斗智,kua'neng'dou'zhi
夸强道会,kua'qiang'dao'hui
跨山压海,kua'shan'ya'hai
胯下蒲伏,kua'xia'pu'fu
胯下之辱,kua'xia'zhi'ru
埒材角妙,lie'cai'jiao'miao
裂裳裹膝,lie'chang'guo'xi
裂裳裹足,lie'chang'guo'zu
裂地分茅,lie'di'fen'mao
列鼎而食,lie'ding'er'shi
裂鼎重裀,lie'ding'zhong'yin
列风淫雨,lie'feng'yin'yu
列功覆过,lie'gong'fu'guo
裂冠毁冕,lie'guan'hui'mian
烈火辨玉,lie'huo'bian'yu
烈火干柴,lie'huo'gan'chai
烈火轰雷,lie'huo'hong'lei
烈火烹油,lie'huo'peng'you
烈火真金,lie'huo'zhen'jin
劣迹昭著,lie'ji'zhao'zhu
烈烈轰轰,lie'lie'hong'hong
裂裳衣疮,lie'shang'yi'chuang
裂石穿云,lie'shi'chuan'yun
裂石流云,lie'shi'liu'yun
烈士徇名,lie'shi'xun'ming
捩手覆羹,lie'shou'fu'geng
列土分茅,lie'tu'fen'mao
裂土分茅,lie'tu'fen'mao
列土封疆,lie'tu'feng'jiang
裂眦嚼齿,lie'zi'jiao'chi
列祖列宗,lie'zu'lie'zong
掠地攻城,lue'di'gong'cheng
略高一筹,lue'gao'yi'chou
略迹原情,lue'ji'yuan'qing
略见一斑,lue'jian'yi'ban
掠人之美,lue'ren'zhi'mei
略胜一筹,lue'sheng'yi'chou
略识之无,lue'shi'zhi'wu
略逊一筹,lue'xun'yi'chou
掠影浮光,lue'ying'fu'guang
略知皮毛,lue'zhi'pi'mao
略知一二,lue'zhi'yi'er
绿暗红稀,lv'an'hong'xi
屡变星霜,lv'bian'xing'shuang
绿鬓红颜,lv'bin'hong'yan
绿鬓朱颜,lv'bin'zhu'yan
绿鬓硃颜,lv'bin'zhu'yan
履薄临深,lv'bo'lin'shen
绿惨红愁,lv'can'hong'chou
绿草如茵,lv'cao'ru'yin
履穿踵决,lv'chuan'zhong'jue
驴唇马嘴,lv'chun'ma'zui
屡次三番,lv'ci'san'fan
绿肥红瘦,lv'fei'hong'shou
履机乘变,lv'ji'cheng'bian
屡见不鲜,lv'jian'bu'xian
屡教不改,lv'jiao'bu'gai
旅进旅退,lv'jin'lv'tui
绿酒红灯,lv'jiu'hong'deng
驴鸣狗吠,lv'ming'gou'fei
驴鸣犬吠,lv'ming'quan'fei
驴年马月,lv'nian'ma'yue
绿女红男,lv'nv'hong'nan
驴前马后,lv'qian'ma'hou
驴生戟角,lv'sheng'ji'jiao
屡试不爽,lv'shi'bu'shuang
履霜坚冰,lv'shuang'jian'bing
履霜知冰,lv'shuang'zhi'bing
履霜之戒,lv'shuang'zhi'jie
绿水青山,lv'shui'qing'shan
履丝曳缟,lv'si'ye'gao
绿蓑青笠,lv'suo'qing'li
吕武操莽,lv'wu'cao'mang
履舄交错,lv'xi'jiao'cuo
履险蹈危,lv'xian'dao'wei
履险如夷,lv'xian'ru'yi
履险若夷,lv'xian'ruo'yi
驴心狗肺,lv'xin'gou'fei
履信思顺,lv'xin'si'shun
闾阎安堵,lv'yan'an'du
闾阎扑地,lv'yan'pu'di
绿叶成荫,lv'ye'cheng'yin
绿叶成阴,lv'ye'cheng'yin
绿衣黄里,lv'yi'huang'li
绿衣使者,lv'yi'shi'zhe
履盈蹈满,lv'ying'dao'man
屡战屡败,lv'zhan'lv'bai
虑周藻密,lv'zhou'zao'mi
绿珠坠楼,lv'zhu'zhui'lou
履足差肩,lv'zu'cha'jian
门不停宾,men'bu'ting'bin
门殚户尽,men'dan'hu'jin
门当户对,men'dang'hu'dui
门到户说,men'dao'hu'shuo
闷海愁山,men'hai'chou'shan
门户之见,men'hu'zhi'jian
门户之争,men'hu'zhi'zheng
门阶户席,men'jie'hu'xi
门禁森严,men'jin'sen'yan
门堪罗雀,men'kan'luo'que
门可罗雀,men'ke'luo'que
门可张罗,men'ke'zhang'luo
门闾之望,men'lv'zhi'wang
闷闷不乐,men'men'bu'le
门墙桃李,men'qiang'tao'li
扪参历井,men'shen'li'jing
门生故旧,men'sheng'gu'jiu
门生故吏,men'sheng'gu'li
扪虱而谈,men'shi'er'tan
门衰祚薄,men'shuai'zuo'bo
门庭赫奕,men'ting'he'yi
门庭如市,men'ting'ru'shi
门庭若市,men'ting'ruo'shi
门无杂宾,men'wu'za'bin
门无杂客,men'wu'za'ke
扪心无愧,men'xin'wu'kui
扪心自问,men'xin'zi'wen
密不通风,mi'bu'tong'feng
迷而不反,mi'er'bu'fan
迷而不返,mi'er'bu'fan
秘而不露,mi'er'bu'lu
秘而不宣,mi'er'bu'xuan
秘而不言,mi'er'bu'yan
迷而知反,mi'er'zhi'fan
迷而知返,mi'er'zhi'fan
麋沸蚁动,mi'fei'yi'dong
弥缝其阙,mi'feng'qi'que
迷花沾草,mi'hua'zhan'cao
迷魂夺魄,mi'hun'duo'po
迷魂淫魄,mi'hun'yin'po
迷惑视听,mi'huo'shi'ting
迷金醉纸,mi'jin'zui'zhi
蜜口剑腹,mi'kou'jian'fu
蜜里藏刀,mi'li'cang'dao
迷离徜恍,mi'li'chang'huang
迷离惝恍,mi'li'chang'huang
迷离恍惚,mi'li'huang'hu
迷离扑朔,mi'li'pu'shuo
蜜里调油,mi'li'tiao'you
迷恋骸骨,mi'lian'hai'gu
弥留之际,mi'liu'zhi'ji
密锣紧鼓,mi'luo'jin'gu
密密层层,mi'mi'ceng'ceng
密密麻麻,mi'mi'ma'ma
靡靡之声,mi'mi'zhi'sheng
靡靡之音,mi'mi'zhi'yin
靡靡之乐,mi'mi'zhi'yue
糜躯碎首,mi'qu'sui'shou
靡然成风,mi'ran'cheng'feng
靡然从风,mi'ran'cong'feng
靡然顺风,mi'ran'shun'feng
靡然乡风,mi'ran'xiang'feng
靡然向风,mi'ran'xiang'feng
迷人眼目,mi'ren'yan'mu
弥日累夜,mi'ri'lei'ye
弥山亘野,mi'shan'gen'ye
靡所底止,mi'suo'di'zhi
靡所适从,mi'suo'shi'cong
弥天大谎,mi'tian'da'huang
弥天大祸,mi'tian'da'huo
弥天大罪,mi'tian'da'zui
迷头认影,mi'tou'ren'ying
迷涂知反,mi'tu'zhi'fan
迷途知反,mi'tu'zhi'fan
迷途知返,mi'tu'zhi'fan
靡颜腻理,mi'yan'ni'li
米已成炊,mi'yi'cheng'chui
靡衣偷食,mi'yi'tou'shi
靡衣玉食,mi'yi'yu'shi
靡有孑遗,mi'you'jie'yi
蜜语甜言,mi'yu'tian'yan
密约偷期,mi'yue'tou'qi
密云不雨,mi'yun'bu'yu
靡知所措,mi'zhi'suo'cuo
米珠薪桂,mi'zhu'xin'gui
迷踪失路,mi'zong'shi'lu
磨杵成针,mo'chu'cheng'zhen
磨杵作针,mo'chu'zuo'zhen
磨穿铁鞋,mo'chuan'tie'xie
磨穿铁砚,mo'chuan'tie'yan
磨刀擦枪,mo'dao'ca'qiang
磨刀霍霍,mo'dao'huo'huo
磨砥刻厉,mo'di'ke'li
磨盾之暇,mo'dun'zhi'xia
磨而不磷,mo'er'bu'lin
磨厉以须,mo'li'yi'xu
磨砺以须,mo'li'yi'xu
磨礲淬励,mo'long'cui'li
磨砻底厉,mo'long'di'li
磨砻砥砺,mo'long'di'li
磨砻浸灌,mo'long'jin'guan
磨砻镌切,mo'long'juan'qie
磨盘两圆,mo'pan'liang'yuan
磨铅策蹇,mo'qian'ce'jian
摩拳擦掌,mo'quan'ca'zhang
磨形炼性,mo'xing'lian'xing
磨牙吮血,mo'ya'shun'xue
磨牙凿齿,mo'ya'zao'chi
磨踵灭顶,mo'zhong'mie'ding
磨砖成镜,mo'zhuan'cheng'jing
牛刀割鸡,niu'dao'ge'ji
牛刀小试,niu'dao'xiao'shi
牛鼎烹鸡,niu'ding'peng'ji
牛鬼蛇神,niu'gui'she'shen
牛黄狗宝,niu'huang'gou'bao
牛骥共牢,niu'ji'gong'lao
牛骥同槽,niu'ji'tong'cao
牛骥同皂,niu'ji'tong'zao
牛角挂书,niu'jiao'gua'shu
牛角书生,niu'jiao'shu'sheng
扭亏增盈,niu'kui'zeng'ying
牛郎织女,niu'lang'zhi'nv
牛马襟裾,niu'ma'jin'ju
牛毛细雨,niu'mao'xi'yu
牛眠吉地,niu'mian'ji'di
忸怩不安,niu'ni'bu'an
忸怩作态,niu'ni'zuo'tai
扭扭捏捏,niu'niu'nie'nie
扭曲作直,niu'qu'zuo'zhi
牛溲马勃,niu'sou'ma'bo
牛蹄之涔,niu'ti'zhi'cen
牛蹄之鱼,niu'ti'zhi'yu
牛蹄中鱼,niu'ti'zhong'yu
牛听弹琴,niu'ting'tan'qin
牛童马走,niu'tong'ma'zou
牛头别顶,niu'tou'bie'ding
牛头马面,niu'tou'ma'mian
牛饩退敌,niu'xi'tui'di
牛星织女,niu'xing'zhi'nv
牛羊勿践,niu'yang'wu'jian
牛衣病卧,niu'yi'bing'wo
牛衣对泣,niu'yi'dui'qi
牛衣岁月,niu'yi'sui'yue
牛衣夜哭,niu'yi'ye'ku
牛之一毛,niu'zhi'yi'mao
