阿伯,a'bo
丹阳庄,dan'yang'zhuang
淡政,dan'zheng
丹竹,dan'zhu
单竹,dan'zhu
丹竹坑,dan'zhu'keng
单竹坑,dan'zhu'keng
当铺,dang'pu
宕石风景区,dang'shi'feng'jing'qu
宕石岭顶,dang'shi'ling'ding
宕石轮渡,dang'shi'lun'du
当天腊烛,dang'tian'la'zhu
当宜排,dang'yi'pai
当宜坪,dang'yi'ping
倒背,dao'bei
到背,dao'bei
倒地旗水库,dao'di'qi'shui'ku
倒吊山,dao'diao'shan
倒角牛,dao'jiao'niu
刀截蕹菜,dao'jie'weng'cai
到流,dao'liu
到其龙,dao'qi'long
倒手边,dao'shou'bian
到水,dao'shui
倒水田,dao'shui'tian
刀围,dao'wei
道隐,dao'yin
德堡,de'bao
得道庵,de'dao'an
德光楼,de'guang'lou
德记岭,de'ji'ling
德马祭,de'ma'ji
得牛祭,de'niu'ji
得趣书屋,de'qu'shu'wu
德先楼,de'xian'lou
德裕楼,de'yu'lou
德章窝,de'zhang'wo
德朱寨,de'zhu'zhai
邓厝,deng'cuo
登岗,deng'gang
登岗镇,deng'gang'zhen
灯光寺,deng'guang'si
登皇吉,deng'huang'ji
灯火铺,deng'huo'pu
灯火仔,deng'huo'zai
灯笼石,deng'long'shi
灯笼溪尾,deng'long'xi'wei
灯畔,deng'pan
登山楼,deng'shan'lou
等下,deng'xia
灯心湖,deng'xin'hu
灯心山,deng'xin'shan
灯心塘,deng'xin'tang
登瀛坊,deng'ying'fang
灯盏湖,deng'zhan'hu
底边,di'bian
嘀嗒,di'da
低担,di'dan
地电,di'dian
地豆,di'dou
地都,di'dou
地都镇,di'dou'zhen
第二附属医院,di'er'fu'shu'yi'yuan
睇风水,di'feng'shui
低港,di'gang
地缸,di'gang
地个,di'ge
帝豪大酒店,di'hao'da'jiu'dian
帝豪酒店,di'hao'jiu'dian
地湖,di'hu
地块,di'kuai
地龙公,di'long'gong
睇日,di'ri
第三人民医院,di'san'ren'min'yi'yuan
滴水,di'shui
第四人民医院,di'si'ren'min'yi'yuan
滴汤,di'tang
地甜,di'tian
睇唔对个人影,di'wu'dui'ge'ren'ying
睇五行,di'wu'xing
滴硬大便,di'ying'da'bian
地珍时,di'zhen'shi
帝政仔,di'zheng'zai
地主爷,di'zhu'ye
地子窝,di'zi'wo
敌仔鱼,di'zi'yu
电大,dian'da
点搭二,dian'da'er
店里,dian'li
电毛,dian'mao
店排,dian'pai
电泡,dian'pao
店铺,dian'pu
电视,dian'shi
电视大学,dian'shi'da'xue
电视塔,dian'shi'ta
店下,dian'xia
吊贡,diao'gong
吊瓜,diao'gua
吊鬼岭,diao'gui'ling
吊江坜,diao'jiang'li
吊狸坳,diao'li'ao
钓妞,diao'niu
吊排,diao'pai
吊其垅,diao'qi'long
吊桥,diao'qiao
吊山东,diao'shan'dong
吊神岗,diao'shen'gang
吊思茅,diao'si'mao
吊丝畲,diao'si'she
吊望凸,diao'wang'tu
刁子洋,diao'zi'yang
叠金,die'jin
跌马祭,die'ma'ji
顶村,ding'cun
顶厝,ding'cuo
丁搭,ding'da
定家冲,ding'jia'chong
丁家田,ding'jia'tian
顶蕉园,ding'jiao'yuan
鼎柳,ding'liu
顶内,ding'nei
订你腰龟,ding'ni'yao'gui
顶埔边,ding'pu'bian
町前,ding'qian
顶前寮,ding'qian'liao
丁仁山,ding'ren'shan
订衫,ding'shan
丁山埔,ding'shan'pu
顶潭,ding'tan
顶涂楼,ding'tu'lou
顶涂楼新乡,ding'tu'lou'xin'xiang
顶乡,ding'xiang
丁心窝,ding'xin'wo
顶寨,ding'zhai
定壮,ding'zhuang
丁子岭,ding'zi'ling
东岸头,dong'an'tou
东北,dong'bei
东边陇,dong'bian'long
东边隆,dong'bian'long
东布,dong'bu
东布寨,dong'bu'zhai
东赤,dong'chi
东冲,dong'chong
东岱,dong'dai
东洞,dong'dong
东都,dong'du
东墩,dong'dun
东方村,dong'fang'cun
东方公园,dong'fang'gong'yuan
东方体育乐园,dong'fang'ti'yu'le'yuan
东方体育乐团,dong'fang'ti'yu'yue'tuan
东方塭,dong'fang'wen
东方温,dong'fang'wen
东方中学,dong'fang'zhong'xue
东风温,dong'feng'wen
东风印刷,dong'feng'yin'shua
东福,dong'fu
东港,dong'gang
东港村,dong'gang'cun
东港镇,dong'gang'zhen
东阁,dong'ge
东格笏,dong'ge'hu
东宫,dong'gong
东古,dong'gu
东瓜牵山,dong'gua'qian'shan
东关,dong'guan
东莞塘,dong'guan'tang
东莞围,dong'guan'wei
东海,dong'hai
东海岸林场,dong'hai'an'lin'chang
东海道班,dong'hai'dao'ban
东海经济开发试验区,dong'hai'jing'ji'kai'fa'shi'yan'qu
东海经济试验区,dong'hai'jing'ji'shi'yan'qu
东海湾,dong'hai'wan
东海中学,dong'hai'zhong'xue
东河,dong'he
东湖,dong'hu
东湖村,dong'hu'cun
东湖游乐场,dong'hu'you'le'chang
东环路,dong'huan'lu
东岌,dong'ji
东家冲,dong'jia'chong
东加厝,dong'jia'cuo
东家堂,dong'jia'tang
东家亚,dong'jia'ya
动角,dong'jiao
冬节,dong'jie
东井,dong'jing
东径,dong'jing
东坑,dong'keng
洞坑,dong'keng
东坑坪,dong'keng'ping
东坑子,dong'keng'zi
东里,dong'li
东里交管所,dong'li'jiao'guan'suo
东里桥头,dong'li'qiao'tou
东联,dong'lian
东寮,dong'liao
东寮村,dong'liao'cun
东林,dong'lin
东流,dong'liu
东陇,dong'long
东陇镇,dong'long'zhen
东螺嶂,dong'luo'zhang
东玫坑,dong'mei'keng
东门,dong'men
东门江,dong'men'jiang
东门排,dong'men'pai
东坡场,dong'po'chang
东坡尾,dong'po'wei
东埔,dong'pu
东埔场,dong'pu'chang
东埔后,dong'pu'hou
东埔寮,dong'pu'liao
东埔路,dong'pu'lu
东埔前,dong'pu'qian
东桥,dong'qiao
东厦北路,dong'sha'bei'lu
东厦北路口,dong'sha'bei'lu'kou
东厦北路中,dong'sha'bei'lu'zhong
东厦路南,dong'sha'lu'nan
东厦南,dong'sha'nan
东厦南路口,dong'sha'nan'lu'kou
东厦南路中,dong'sha'nan'lu'zhong
东厦中学,dong'sha'zhong'xue
东山,dong'shan
东山岭,dong'shan'ling
东山陇,dong'shan'long
东山农场,dong'shan'nong'chang
东山区,dong'shan'qu
东山区管理委员会,dong'shan'qu'guan'li'wei'yuan'hui
东山区管委会,dong'shan'qu'guan'wei'hui
东山寺,dong'shan'si
东山新乡,dong'shan'xin'xiang
东山仔,dong'shan'zai
东山寨,dong'shan'zhai
东深河,dong'shen'he
东升,dong'sheng
东升街,dong'sheng'jie
东升街道,dong'sheng'jie'dao
东施头,dong'shi'tou
东树坑,dong'shu'keng
董树下,dong'shu'xia
东司头老石部,dong'si'tou'lao'shi'bu
东头村,dong'tou'cun
洞头坑,dong'tou'keng
东屯,dong'tun
东完,dong'wan
东围,dong'wei
洞尾,dong'wei
洞尾头,dong'wei'tou
东沃,dong'wo
东吴,dong'wu
东溪口,dong'xi'kou
东溪田,dong'xi'tian
东心坑,dong'xin'keng
东心陇,dong'xin'long
东心塘,dong'xin'tang
东兴,dong'xing
东兴街,dong'xing'jie
东兴街道,dong'xing'jie'dao
东燕潭,dong'yan'tan
东洋,dong'yang
东阳,dong'yang
东阳街,dong'yang'jie
东阳街道,dong'yang'jie'dao
东窑,dong'yao
东涌,dong'yong
东涌中学,dong'yong'zhong'xue
东园,dong'yuan
东园镇,dong'yuan'zhen
东寨,dong'zhai
东洲,dong'zhou
东洲坑,dong'zhou'keng
懂子脑,dong'zi'nao
豆腐石,dou'fu'shi
豆干,dou'gan
豆油,dou'you
笃厝围,du'cuo'wei
堵到,du'dao
读光,du'guang
肚河石,du'he'shi
肚困,du'kun
独岭下,du'ling'xia
独目,du'mu
独丘田,du'qiu'tian
独山,du'shan
读书山,du'shu'shan
肚痛,du'tong
渡头,du'tou
渡头村,du'tou'cun
渡头山,du'tou'shan
渡头围,du'tou'wei
渡头溪,du'tou'xi
堵吾兑,du'wu'dui
肚腰,du'yao
赌银,du'yin
渡仔,du'zai
渡仔头,du'zai'tou
笃志新村,du'zhi'xin'cun
肚肿,du'zhong
杜子岭,du'zi'ling
短目子,duan'mu'zi
椴心,duan'xin
堆北,dui'bei
对臼,dui'jiu
对坑角,dui'keng'jiao
对门岭,dui'men'ling
对门排,dui'men'pai
对门山,dui'men'shan
对门仔,dui'men'zai
对面铺,dui'mian'pu
对面仔,dui'mian'zai
堆南,dui'nan
对岁,dui'sui
堆头,dui'tou
碓子下,dui'zi'xia
墩背,dun'bei
墩脚,dun'jiao
敦仁楼,dun'ren'lou
墩上,dun'shang
墩头,dun'tou
墩下,dun'xia
墩下楼,dun'xia'lou
墩下山,dun'xia'shan
墩子背,dun'zi'bei
墩子寨,dun'zi'zhai
多地块,duo'di'kuai
多地仔,duo'di'zai
剁鸡,duo'ji
鹅埠,e'bu
鹅池工区,e'chi'gong'qu
鹅池山,e'chi'shan
鹅公塘,e'gong'tang
鹅公田,e'gong'tian
鹅卵,e'luan
峨眉嶂,e'mei'zhang
鹅塘,e'tang
鹅尾,e'wei
恶性,e'xing
鹅子石,e'zi'shi
二港,er'gang
耳勾,er'gou
二行,er'hang
二马路,er'ma'lu
二马路东,er'ma'lu'dong
二马路西,er'ma'lu'xi
二马路中,er'ma'lu'zhong
二轻朔料,er'qing'shuo'liao
二医院,er'yi'yuan
法留山,fa'liu'shan
阀门厂,fa'men'chang
饭床,fan'chuang
番葱,fan'cong
范厝寮,fan'cuo'liao
番葛,fan'ge
番瓜,fan'gua
番梨,fan'li
番流车,fan'liu'che
饭楼凸,fan'lou'tu
番茄,fan'qie
番薯岗尾,fan'shu'gang'wei
范屋凹,fan'wu'ao
翻新,fan'xin
范袁,fan'yuan
房厝,fang'cuo
方厝,fang'cuo
方饭亭,fang'fan'ting
防护林,fang'hu'lin
房内,fang'nei
放尿,fang'niao
放尿放屎,fang'niao'fang'shi
放屎,fang'shi
芳水田,fang'shui'tian
坊塘,fang'tang
房田,fang'tian
方田尾,fang'tian'wei
方田仔,fang'tian'zai
放寨,fang'zhai
飞达仕网吧,fei'da'shi'wang'ba
飞鹅岗,fei'e'gang
飞鹅行,fei'e'xing
飞龙,fei'long
飞厦,fei'sha
飞厦南,fei'sha'nan
飞厦西,fei'sha'xi
飞厦西汕头市交警支队,fei'sha'xi'shan'tou'shi'jiao'jing'zhi'dui
飞天马,fei'tian'ma
飞翔网吧,fei'xiang'wang'ba
粉豆,fen'dou
汾河,fen'he
粪鸡排,fen'ji'pai
粉鸟,fen'niao
分水凹,fen'shui'ao
分水坳,fen'shui'ao
分水埔,fen'shui'pu
粉塘,fen'tang
粉围,fen'wei
坟下,fen'xia
丰巢,feng'chao
风车半嶂,feng'che'ban'zhang
风吹笏,feng'chui'hu
风吹坯,feng'chui'pi
封厝村,feng'cuo'cun
凤地,feng'di
凤地山,feng'di'shan
凤飞山,feng'fei'shan
凤冈,feng'gang
风和阁,feng'he'ge
风和岭,feng'he'ling
丰禾田,feng'he'tian
蜂湖,feng'hu
凤凰山,feng'huang'shan
凤家寮,feng'jia'liao
凤江,feng'jiang
凤江镇,feng'jiang'zhen
凤来,feng'lai
枫林,feng'lin
枫林口,feng'lin'kou
风门凹,feng'men'ao
风门坳,feng'men'ao
丰坪,feng'ping
凤歧,feng'qi
凤岐山,feng'qi'shan
凤山,feng'shan
峰山,feng'shan
风山,feng'shan
凤山公园,feng'shan'gong'yuan
凤山湖,feng'shan'hu
凤山街道,feng'shan'jie'dao
凤山妈祖,feng'shan'ma'zu
凤山头,feng'shan'tou
凤山祖庙旅游区,feng'shan'zu'miao'lv'you'qu
风盛,feng'sheng
风时雨,feng'shi'yu
枫树角,feng'shu'jiao
枫树浪,feng'shu'lang
枫树囊,feng'shu'nang
枫树排,feng'shu'pai
枫树坪,feng'shu'ping
枫树山,feng'shu'shan
枫树窝,feng'shu'wo
枫树下,feng'shu'xia
枫树椰,feng'shu'ye
丰树园,feng'shu'yuan
丰太,feng'tai
风台,feng'tai
蜂塘,feng'tang
丰田,feng'tian
丰田莨,feng'tian'lang
丰田良,feng'tian'liang
风尾雷,feng'wei'lei
冯屋,feng'wu
蜂星,feng'xing
凤仪牙,feng'yi'ya
风涌,feng'yong
凤苑,feng'yuan
风云凹,feng'yun'ao
峰仔岩,feng'zai'yan
丰泽花园,feng'ze'hua'yuan
丰泽庄南,feng'ze'zhuang'nan
凤照街,feng'zhao'jie
佛兰,fo'lan
佛祖签诗落底利知,fo'zu'qian'shi'luo'di'li'zhi
缶开嘴大富贵,fou'kai'zui'da'fu'gui
缶窑,fou'yao
附城,fu'cheng
傅厝寮,fu'cuo'liao
富地坑,fu'di'keng
浮东,fu'dong
浮东金棕苑,fu'dong'jin'zong'yuan
浮墩,fu'dun
附二,fu'er
父二母仔,fu'er'mu'zai
浮风,fu'feng
富各,fu'ge
浮沽山,fu'gu'shan
福光,fu'guang
扶桂塘,fu'gui'tang
富家楼,fu'jia'lou
浮景,fu'jing
付坑,fu'keng
富坑,fu'keng
富口,fu'kou
福佬话,fu'lao'hua
福佬人,fu'lao'ren
福燎,fu'liao
付隆,fu'long
浮陇,fu'long
父母斗咬奴囝相捞,fu'mu'dou'yao'nu'nan'xiang'lao
富坪,fu'ping
福平路,fu'ping'lu
浮埔洋,fu'pu'yang
芙蓉,fu'rong
芙蓉园,fu'rong'yuan
浮山,fu'shan
浮潭,fu'tan
福田,fu'tian
付田岭,fu'tian'ling
浮头,fu'tou
富万塘,fu'wan'tang
傅围,fu'wei
浮西,fu'xi
复兴,fu'xing
福星垒塔,fu'xing'lei'ta
附一,fu'yi
妇幼活动中心,fu'you'huo'dong'zhong'xin
福宇山,fu'yu'shan
福钟墩,fu'zhong'dun
浮洲,fu'zhou
服装城,fu'zhuang'cheng
富足坑,fu'zu'keng
富足坪,fu'zu'ping
富足园,fu'zu'yuan
嘎嘎输,ga'ga'shu
嘎勒浪代,ga'le'lang'dai
敢敢做你来,gan'gan'zuo'ni'lai
甘坑,gan'keng
柑树坪,gan'shu'ping
柑树下,gan'shu'xia
甘树下,gan'shu'xia
干水塘,gan'shui'tang
敢头,gan'tou
泔溪,gan'xi
甘溪口,gan'xi'kou
甘下,gan'xia
敢下段,gan'xia'duan
柑元,gan'yuan
柑园,gan'yuan
甘园,gan'yuan
柑园前,gan'yuan'qian
柑元新村,gan'yuan'xin'cun
柑仔坑,gan'zai'keng
柑仔园,gan'zai'yuan
甘仔园,gan'zai'yuan
甘洲坑,gan'zhou'keng
柑子坑,gan'zi'keng
柑子窝,gan'zi'wo
岗背,gang'bei
钢笔水,gang'bi'shui
岗顶,gang'ding
港口,gang'kou
港美站,gang'mei'zhan
港乾,gang'qian
岗头,gang'tou
港头,gang'tou
港尾,gang'wei
港尾胡,gang'wei'hu
港尾寮,gang'wei'liao
岗西坑,gang'xi'keng
岗下,gang'xia
岗仔背,gang'zai'bei
岗仔岭,gang'zai'ling
岗子背,gang'zi'bei
岗子里,gang'zi'li
篙杯石,gao'bei'shi
膏笔,gao'bi
高布子,gao'bu'zi
高厝,gao'cuo
高厝村,gao'cuo'cun
高厝乡,gao'cuo'xiang
高顶山,gao'ding'shan
高段上,gao'duan'shang
高墩,gao'dun
高墩下,gao'dun'xia
高墩子,gao'dun'zi
高方,gao'fang
高飞岭,gao'fei'ling
高峰岭,gao'feng'ling
诰丰山,gao'feng'shan
高岗,gao'gang
高岗下,gao'gang'xia
高湖,gao'hu
高祭下,gao'ji'xia
高寮岽,gao'liao'dong
高寮子,gao'liao'zi
高烈,gao'lie
吿岭,gao'ling
高岭,gao'ling
高陵村,gao'ling'cun
高溜,gao'liu
高溜下,gao'liu'xia
高龙楼,gao'long'lou
高楼,gao'lou
高路,gao'lu
高螺,gao'luo
高美,gao'mei
高美埔,gao'mei'pu
高排,gao'pai
高排凸,gao'pai'tu
高棚,gao'peng
高棚顶,gao'peng'ding
高棚窝,gao'peng'wo
高坪,gao'ping
高坡,gao'po
高埔,gao'pu
高埔上,gao'pu'shang
高埔仔,gao'pu'zai
高埔镇,gao'pu'zhen
高桥坑,gao'qiao'keng
高厦,gao'sha
高沙,gao'sha
高砂田,gao'sha'tian
高山寨,gao'shan'zhai
高仕洋,gao'shi'yang
高潭,gao'tan
高塘,gao'tang
高塘凹,gao'tang'ao
高塘寨,gao'tang'zhai
高梯仔,gao'ti'zai
高田,gao'tian
高田面,gao'tian'mian
高田埔,gao'tian'pu
高田仔,gao'tian'zai
高屋寨,gao'wu'zhai
高翔,gao'xiang
高新电脑中心,gao'xin'dian'nao'zhong'xin
高椅山,gao'yi'shan
高英,gao'ying
高营,gao'ying
高园里,gao'yuan'li
高再肚,gao'zai'du
高再坑,gao'zai'keng
高寨,gao'zhai
高寨子,gao'zhai'zi
高圳,gao'zhen
高梓田,gao'zi'tian
哥凹,ge'ao
葛陈,ge'chen
格尺,ge'chi
咯抽,ge'chou
蛤古,ge'gu
蛤蛄围,ge'gu'wei
割鸡坑,ge'ji'keng
个镜,ge'jing
割茅窝,ge'mao'wo
格坡,ge'po
蛤婆,ge'po
格塘,ge'tang
隔塘,ge'tang
格田,ge'tian
葛田坑,ge'tian'keng
割田坪,ge'tian'ping
割尾,ge'wei
个物,ge'wu
隔下,ge'xia
革新,ge'xin
葛秀,ge'xiu
葛鱼塘,ge'yu'tang
个元两粒,ge'yuan'liang'li
隔仔里,ge'zai'li
割粙,ge'zhou
葛朱,ge'zhu
割猪肉,ge'zhu'rou
格子里,ge'zi'li
隔子里,ge'zi'li
耕公田,geng'gong'tian
梗着,geng'zhe
宫背,gong'bei
龚厝,gong'cuo
恭过水蚊,gong'guo'shui'wen
恭过只鸭,gong'guo'zhi'ya
共和路,gong'he'lu
共和路口,gong'he'lu'kou
贡话,gong'hua
公祭,gong'ji
宫角,gong'jiao
弓蕉,gong'jiao
宫脚下,gong'jiao'xia
工课,gong'ke
宫口笏,gong'kou'hu
公路顶,gong'lu'ding
龚米鸡,gong'mi'ji
宫排,gong'pai
宫排上,gong'pai'shang
公平水库,gong'ping'shui'ku
拱桥店,gong'qiao'dian
工人文化宫,gong'ren'wen'hua'gong
公山,gong'shan
公窝,gong'wo
龚屋,gong'wu
宫下,gong'xia
宫下山,gong'xia'shan
宫乡,gong'xiang
工业大厦,gong'ye'da'sha
工业区,gong'ye'qu
公元厂,gong'yuan'chang
公园里,gong'yuan'li
公园路,gong'yuan'lu
公园路头,gong'yuan'lu'tou
公园头,gong'yuan'tou
公仔山,gong'zai'shan
宫招,gong'zhao
贡子客,gong'zi'ke
狗地山,gou'di'shan
狗肚里,gou'du'li
狗吠祭,gou'fei'ji
够旰,gou'gan
沟橄,gou'gan
够挂,gou'gua
狗眠窝,gou'mian'wo
狗爬沥,gou'pa'li
够日,gou'ri
够市,gou'shi
购书中心,gou'shu'zhong'xin
沟头,gou'tou
狗尾头,gou'wei'tou
狗蚁,gou'yi
够硬,gou'ying
够月,gou'yue
狗子石凸,gou'zi'shi'tu
谷兜,gu'dou
古港,gu'gang
古古山,gu'gu'shan
古居寮,gu'ju'liao
古坑,gu'keng
古来脚,gu'lai'jiao
顾莲峙,gu'lian'zhi
罟寮,gu'liao
古岭,gu'ling
古岭下,gu'ling'xia
古塘,gu'tang
谷塘,gu'tang
古塘角,gu'tang'jiao
古屋,gu'wu
古烟墩,gu'yan'dun
古寨,gu'zhai
古住,gu'zhu
寡年,gua'nian
瓜棚,gua'peng
拐脚,guai'jiao
怪浪,guai'lang
官陂塘,guan'bei'tang
官陂塘新村,guan'bei'tang'xin'cun
官背洋,guan'bei'yang
官仓寨,guan'cang'zhai
棺柴,guan'chai
关厝围,guan'cuo'wei
官埭新乡,guan'dai'xin'xiang
关刀石,guan'dao'shi
官棣新乡,guan'di'xin'xiang
官兜,guan'dou
官鼓岭,guan'gu'ling
关后,guan'hou
观间座莲,guan'jian'zuo'lian
官坑,guan'keng
观澜沟,guan'lan'gou
官路,guan'lu
官路厂,guan'lu'chang
观三姑,guan'san'gu
官山围,guan'shan'wei
官田,guan'tian
官田尾,guan'tian'wei
官田仔,guan'tian'zai
官田寨,guan'tian'zhai
观天嶂,guan'tian'zhang
管屋寮,guan'wu'liao
官爷田,guan'ye'tian
观音岭,guan'yin'ling
观音妈山,guan'yin'ma'shan
观音庙,guan'yin'miao
观音山,guan'yin'shan
观音坐莲,guan'yin'zuo'lian
观音座莲,guan'yin'zuo'lian
冠园,guan'yuan
官元寨,guan'yuan'zhai
官着,guan'zhe
广播电视大学,guang'bo'dian'shi'da'xue
广场轮渡,guang'chang'lun'du
广达路,guang'da'lu
光华路东,guang'hua'lu'dong
光华路西,guang'hua'lu'xi
光华路中,guang'hua'lu'zhong
广居第,guang'ju'di
广隆,guang'long
广厦新城,guang'sha'xin'cheng
广汕公路,guang'shan'gong'lu
广太,guang'tai
广太镇,guang'tai'zhen
广兴村,guang'xing'cun
广兴村北,guang'xing'cun'bei
广兴村南,guang'xing'cun'nan
广益路口,guang'yi'lu'kou
广州酒家,guang'zhou'jiu'jia
广子福,guang'zi'fu
桂东,gui'dong
鬼噶马到好,gui'ga'ma'dao'hao
桂花小学,gui'hua'xiao'xue
桂花小学东厦花园,gui'hua'xiao'xue'dong'sha'hua'yuan
鬼甲马到吼,gui'jia'ma'dao'hou
鬼叫窝,gui'jiao'wo
桂林,gui'lin
桂岭,gui'ling
桂岭镇,gui'ling'zhen
桂皮坑,gui'pi'keng
桂埔,gui'pu
龟埔,gui'pu
鬼桥路北,gui'qiao'lu'bei
桂仁帐,gui'ren'zhang
鬼日,gui'ri
龟山,gui'shan
桂树港,gui'shu'gang
鬼头山,gui'tou'shan
桂望,gui'wang
桂西,gui'xi
桂竹车,gui'zhu'che
桂竹岭,gui'zhu'ling
桂竹园,gui'zhu'yuan
贵子埔,gui'zi'pu
鬼子窝,gui'zi'wo
滚地金龙,gun'di'jin'long
滚水,gun'shui
郭厝寮,guo'cuo'liao
郭厝埔,guo'cuo'pu
郭厝栅,guo'cuo'shan
郭厝寨,guo'cuo'zhai
锅底,guo'di
国防基地,guo'fang'ji'di
锅盖梁山,guo'gai'liang'shan
锅盖山,guo'gai'shan
锅盖山护林点,guo'gai'shan'hu'lin'dian
郭公,guo'gong
国际大酒店,guo'ji'da'jiu'dian
过简,guo'jian
郭陇,guo'long
过龙凹,guo'long'ao
过路塘,guo'lu'tang
过路溪,guo'lu'xi
锅炉下,guo'lu'xia
过年,guo'nian
过牛坑,guo'niu'keng
过铺寮,guo'pu'liao
过气,guo'qi
过如,guo'ru
过山沟,guo'shan'gou
过山坡,guo'shan'po
过身,guo'shen
郭屋,guo'wu
国新花园,guo'xin'hua'yuan
过洋埔,guo'yang'pu
过纸,guo'zhi
锅子嶂,guo'zi'zhang
海滨花园,hai'bin'hua'yuan
海滨路,hai'bin'lu
海滨泳场,hai'bin'yong'chang
海城,hai'cheng
孩儿坐栏,hai'er'zuo'lan
海丰,hai'feng
海丰县,hai'feng'xian
海丰县水泥厂,hai'feng'xian'shui'ni'chang
海丰县糖厂,hai'feng'xian'tang'chang
海甲岭,hai'jia'ling
海甲山,hai'jia'shan
海军基地,hai'jun'ji'di
海口新乡,hai'kou'xin'xiang
海陆丰,hai'lu'feng
海罗角,hai'luo'jiao
海旁路,hai'pang'lu
海旁路中,hai'pang'lu'zhong
海平路,hai'ping'lu
海汕公路,hai'shan'gong'lu
海是,hai'shi
海石摩崖刻,hai'shi'mo'ya'ke
海是作泥,hai'shi'zuo'ni
海是做泥,hai'shi'zuo'ni
海棠园,hai'tang'yuan
海头,hai'tou
海湾大桥,hai'wan'da'qiao
海星,hai'xing
海银公路,hai'yin'gong'lu
海张,hai'zhang
海做照生,hai'zuo'zhao'sheng
旱凹,han'ao
函盖弄欣,han'gai'nong'xin
旱坑角,han'keng'jiao
旱坑里,han'keng'li
颔领,han'ling
旱龙仔,han'long'zai
旱滩,han'tan
旱塘,han'tang
汉塘,han'tang
旱塘下,han'tang'xia
旱塘仔,han'tang'zai
汉塘仔,han'tang'zai
旱田,han'tian
旱田排,han'tian'pai
含头岭,han'tou'ling
旱窝,han'wo
旱窝坪,han'wo'ping
旱窝仔,han'wo'zai
旱窝子,han'wo'zi
旱屋,han'wu
旱屋口,han'wu'kou
濠城海马池,hao'cheng'hai'ma'chi
濠城邮电局,hao'cheng'you'dian'ju
蠔粿,hao'hua
濠江区,hao'jiang'qu
好静呕,hao'jing'ou
蚝烙,hao'lao
好孬,hao'nao
好扑母个,hao'pu'mu'ge
豪神虎,hao'shen'hu
濠头,hao'tou
濠头小学,hao'tou'xiao'xue
好仔,hao'zai
好招石,hao'zhao'shi
和安洞,he'an'dong
何白涛,he'bai'tao
河背,he'bei
禾车,he'che
河唇,he'chun
河唇楼,he'chun'lou
河厝溪,he'cuo'xi
禾町背,he'ding'bei
禾町墩,he'ding'dun
禾町头,he'ding'tou
河东角,he'dong'jiao
河东水库,he'dong'shui'ku
和发,he'fa
合港,he'gang
禾割坪,he'ge'ping
何公岭,he'gong'ling
河沟寮,he'gou'liao
河沟尾,he'gou'wei
荷花园,he'hua'yuan
何坑,he'keng
河坑,he'keng
何坑子,he'keng'zi
河口,he'kou
河口粮库,he'kou'liang'ku
河口屯,he'kou'tun
河口中学,he'kou'zhong'xue
荷兰豆,he'lan'dou
荷兰薯,he'lan'shu
鹤老山,he'lao'shan
禾寮排,he'liao'pai
禾龙角,he'long'jiao
禾路,he'lu
河洛话,he'luo'hua
禾芒肚,he'mang'du
合门,he'men
河木滩,he'mu'tan
和平,he'ping
和平村,he'ping'cun
河婆,he'po
河婆街,he'po'jie
河婆街道,he'po'jie'dao
河浦,he'pu
鹤然,he'ran
和蓉,he'rong
合山门水库,he'shan'men'shui'ku
和尚塘,he'shang'tang
禾上田,he'shang'tian
合石,he'shi
河树凹,he'shu'ao
何树背,he'shu'bei
荷树肚,he'shu'du
荷树江,he'shu'jiang
河树角,he'shu'jiao
荷树角,he'shu'jiao
河树崀,he'shu'lang
河树沥,he'shu'li
荷树排,he'shu'pai
荷树坪,he'shu'ping
荷树下,he'shu'xia
合水潭,he'shui'tan
和顺路,he'shun'lu
和顺上村,he'shun'shang'cun
河顺田,he'shun'tian
和顺下村,he'shun'xia'cun
禾潭,he'tan
河塘径,he'tang'jing
河田,he'tian
鹤田,he'tian
河田墟,he'tian'xu
河田中学,he'tian'zhong'xue
禾头村,he'tou'cun
河头岭,he'tou'ling
禾头排,he'tou'pai
荷屋,he'wu
何屋段,he'wu'duan
河西,he'xi
河西坑,he'xi'keng
河西洋,he'xi'yang
合信华美花园,he'xin'hua'mei'hua'yuan
何兴围,he'xing'wei
禾鸭车,he'ya'che
河洋,he'yang
禾珠照,he'zhu'zhao
黑碧新村,hei'bi'xin'cun
横背岭,heng'bei'ling
哼鼻,heng'bi
横东岭,heng'dong'ling
横岗,heng'gang
横港,heng'gang
横岗背,heng'gang'bei
横沟,heng'gou
横河,heng'he
横江背,heng'jiang'bei
横江子,heng'jiang'zi
横径,heng'jing
横坑,heng'keng
恒利电子工业城,heng'li'dian'zi'gong'ye'cheng
横坜江,heng'li'jiang
横令,heng'ling
横岭,heng'ling
横岭背,heng'ling'bei
横岭各,heng'ling'ge
横岭山,heng'ling'shan
横岭下,heng'ling'xia
横隆,heng'long
横龙寮,heng'long'liao
横楼,heng'lou
横美,heng'mei
横排,heng'pai
横平岗,heng'ping'gang
横屏岭,heng'ping'ling
横山,heng'shan
衡山北路,heng'shan'bei'lu
衡山路花木市场,heng'shan'lu'hua'mu'shi'chang
横山尾,heng'shan'wei
横山下,heng'shan'xia
横山新乡,heng'shan'xin'xiang
横山仔,heng'shan'zai
横石,heng'shi
横塘,heng'tang
横窝,heng'wo
横屋车,heng'wu'che
