阿阳宾馆,a'yang'bin'guan
南李,nan'li
南坪,nan'ping
南坪寺门村,nan'ping'si'men'cun
南坡村,nan'po'cun
南台,nan'tai
南头湾,nan'tou'wan
南裕,nan'yu
农牧局,nong'mu'ju
农校,nong'xiao
磐安街道,pan'an'jie'dao
盘安新建,pan'an'xin'jian
盘龙村,pan'long'cun
皮毛市场,pi'mao'shi'chang
平凉宾馆,ping'liang'bin'guan
平凉宾馆贵宾楼,ping'liang'bin'guan'gui'bin'lou
平凉宾馆迎宾楼,ping'liang'bin'guan'ying'bin'lou
平凉家具城,ping'liang'jia'ju'cheng
平凉崆峒区大潘,ping'liang'kong'tong'qu'da'pan
平凉崆峒区高堡村,ping'liang'kong'tong'qu'gao'bao'cun
平凉崆峒区南山公园,ping'liang'kong'tong'qu'nan'shan'gong'yuan
平凉马家,ping'liang'ma'jia
平凉区大潘,ping'liang'qu'da'pan
平凉区高堡村,ping'liang'qu'gao'bao'cun
平凉区南山公园,ping'liang'qu'nan'shan'gong'yuan
平凉信息工程学校,ping'liang'xin'xi'gong'cheng'xue'xiao
平凉医专,ping'liang'yi'zhuan
平凉职中,ping'liang'zhi'zhong
平凉庄浪马家,ping'liang'zhuang'lang'ma'jia
蒲窝,pu'wo
汽车南站,qi'che'nan'zhan
七府,qi'fu
祁家沟,qi'jia'gou
七里店,qi'li'dian
汽配城,qi'pei'cheng
气象局,qi'xiang'ju
千元宾馆,qian'yuan'bin'guan
荞家湾,qiao'jia'wan
秦家梁,qin'jia'liang
清街村,qing'jie'cun
青林,qing'lin
青山,qing'shan
清水沟,qing'shui'gou
清水岭,qing'shui'ling
丘池沟湫池,qiu'chi'gou'qiu'chi
湫池沟小学,qiu'chi'gou'xiao'xue
区古镇,qu'gu'zhen
区兽医站,qu'shou'yi'zhan
区西寺街,qu'xi'si'jie
区辛家河滩,qu'xin'jia'he'tan
区血站二,qu'xue'zhan'er
区血站一,qu'xue'zhan'yi
区医专对面,qu'yi'zhuan'dui'mian
区政府,qu'zheng'fu
仁大,ren'da
仁大堡湾,ren'da'bao'wan
仁大高沟,ren'da'gao'gou
仁大街道,ren'da'jie'dao
仁大乡政府,ren'da'xiang'zheng'fu
人民检察院,ren'min'jian'cha'yuan
人行,ren'xing
荣康实业,rong'kang'shi'ye
如家宾馆,ru'jia'bin'guan
汝林村,ru'lin'cun
汭丰,rui'feng
汭丰街道,rui'feng'jie'dao
芮谷酒店,rui'gu'jiu'dian
三合新建,san'he'xin'jian
三里塬,san'li'yuan
三十里铺,san'shi'li'pu
三十梁,san'shi'liang
三十梁城南村,san'shi'liang'cheng'nan'cun
三天门,san'tian'men
三友电器,san'you'dian'qi
三中,san'zhong
砂石厂,sha'shi'chang
山底下,shan'di'xia
山寨,shan'zhai
山寨北羊洼,shan'zhai'bei'yang'wa
山寨煤矿阴湾,shan'zhai'mei'kuang'yin'wan
山中台,shan'zhong'tai
上店子,shang'dian'zi
上关新建,shang'guan'xin'jian
上李村,shang'li'cun
上良,shang'liang
上芦,shang'lu
上马村,shang'ma'cun
商贸城,shang'mao'cheng
上寺台小学,shang'si'tai'xiao'xue
商务局,shang'wu'ju
上扬小学,shang'yang'xiao'xue
上杨新农村,shang'yang'xin'nong'cun
商业局,shang'ye'ju
上塬村,shang'yuan'cun
上寨,shang'zhai
邵寨,shao'zhai
邵寨东坪,shao'zhai'dong'ping
邵寨煤矿,shao'zhai'mei'kuang
邵寨乡政府,shao'zhai'xiang'zheng'fu
社保局,she'bao'ju
沈岔,shen'cha
深沟,shen'gou
深沟街道,shen'gou'jie'dao
什民,shen'min
神峪陶家塬,shen'yu'tao'jia'yuan
神峪乡政府,shen'yu'xiang'zheng'fu
什字,shen'zi
什字北门,shen'zi'bei'men
什字敬老院,shen'zi'jing'lao'yuan
石堡子管委会,shi'bao'zi'guan'wei'hui
石堡子开发区,shi'bao'zi'kai'fa'qu
石堡子新建,shi'bao'zi'xin'jian
石堡子新建汽车站,shi'bao'zi'xin'jian'qi'che'zhan
史川,shi'chuan
市二院,shi'er'yuan
石坊村,shi'fang'cun
市疾控,shi'ji'kong
史家村,shi'jia'cun
史家沟,shi'jia'gou
史家梁,shi'jia'liang
史家山,shi'jia'shan
市监狱,shi'jian'yu
石咀,shi'ju
十里铺,shi'li'pu
石桥,shi'qiao
市委,shi'wei
石峡,shi'xia
市幼保健院,shi'you'bao'jian'yuan
试雨,shi'yu
十字街营业厅,shi'zi'jie'ying'ye'ting
石嘴河,shi'zui'he
双凤山,shuang'feng'shan
双庙,shuang'miao
双岘上海,shuang'xian'shang'hai
双岘新建,shuang'xian'xin'jian
水岸新城,shui'an'xin'cheng
水产市场,shui'chan'shi'chang
水沟,shui'gou
水股,shui'gu
水晶,shui'jing
水利局,shui'li'ju
水利物资局,shui'li'wu'zi'ju
水磨湾,shui'mo'wan
水泥厂,shui'ni'chang
水畔华城,shui'pan'hua'cheng
水泉寺,shui'quan'si
水上公园,shui'shang'gong'yuan
水务局,shui'wu'ju
顺达汽修,shun'da'qi'xiu
四沟寺沟,si'gou'si'gou
四河,si'he
四河新建,si'he'xin'jian
司家桥,si'jia'qiao
四郎店,si'lang'dian
饲料厂,si'liao'chang
四坡,si'po
司桥牟沟,si'qiao'mou'gou
司桥酸刺,si'qiao'suan'ci
司桥新建,si'qiao'xin'jian
四十里铺,si'shi'li'pu
四十里铺二,si'shi'li'pu'er
四十里铺营房,si'shi'li'pu'ying'fang
四中,si'zhong
四中巷,si'zhong'xiang
苏家河湾,su'jia'he'wan
酸刺,suan'ci
算李子,suan'li'zi
索罗,suo'luo
泰安路,tai'an'lu
太平新建,tai'ping'xin'jian
太统新村,tai'tong'xin'cun
太阳墩,tai'yang'dun
碳纤维厂,tan'xian'wei'chang
唐岔,tang'cha
唐家,tang'jia
唐家高庒,tang'jia'gao'zhuang
唐山,tang'shan
唐庄,tang'zhuang
陶坡,tao'po
陶然宾馆,tao'ran'bin'guan
田堡,tian'bao
田堡上芦,tian'bao'shang'lu
田堡上寨,tian'bao'shang'zhai
田岔,tian'cha
天禾健身会所,tian'he'jian'shen'hui'suo
天和健身娱乐会所,tian'he'jian'shen'yu'le'hui'suo
田家沟,tian'jia'gou
天门,tian'men
田坪,tian'ping
天苑宾馆,tian'yuan'bin'guan
田赵,tian'zhao
铁佛,tie'fo
铁通红旗街店,tie'tong'hong'qi'jie'dian
铁通西郊店,tie'tong'xi'jiao'dian
统办大楼,tong'ban'da'lou
铜城,tong'cheng
铜城电厂,tong'cheng'dian'chang
同福宾馆,tong'fu'bin'guan
通化,tong'hua
通化新建,tong'hua'xin'jian
童咀,tong'ju
同心,tong'xin
土坝,tu'ba
土坝村委会,tu'ba'cun'wei'hui
图书馆,tu'shu'guan
团庄,tuan'zhuang
托神,tuo'shen
瓦峪,wa'yu
瓦赵村,wa'zhao'cun
湾口,wan'kou
湾里陶,wan'li'tao
万泉,wan'quan
万泉街道,wan'quan'jie'dao
挽头坪,wan'tou'ping
完颜洼,wan'yan'wa
王村,wang'cun
王村新建,wang'cun'xin'jian
汪家,wang'jia
王家堡子,wang'jia'bu'zi
王家沟,wang'jia'gou
望台,wang'tai
王峡口,wang'xia'kou
王寨,wang'zhai
魏家大庄,wei'jia'da'zhuang
威戎,wei'rong
威戎北关,wei'rong'bei'guan
威戎二,wei'rong'er
威戎南关,wei'rong'nan'guan
威戎三,wei'rong'san
威戎新华,wei'rong'xin'hua
问城,wen'cheng
文家湾,wen'jia'wan
温州商城,wen'zhou'shang'cheng
我爱我家宾馆,wo'ai'wo'jia'bin'guan
卧龙,wo'long
卧龙新建,wo'long'xin'jian
武警医院,wu'jing'yi'yuan
武警支队,wu'jing'zhi'dui
五里墩苏家河湾,wu'li'dun'su'jia'he'wan
五里铺,wu'li'pu
吴庙,wu'miao
污水厂,wu'shui'chang
吴岳,wu'yue
五中,wu'zhong
物资局,wu'zi'ju
西城区,xi'cheng'qu
西翠肥牛阁,xi'cui'fei'niu'ge
西大街营业点,xi'da'jie'ying'ye'dian
西沟门煤矿,xi'gou'men'mei'kuang
西关,xi'guan
西关村,xi'guan'cun
西河小区,xi'he'xiao'qu
西华电厂,xi'hua'dian'chang
西华电厂共享联通,xi'hua'dian'chang'gong'xiang'lian'tong
西华新建,xi'hua'xin'jian
西华新庄,xi'hua'xin'zhuang
西岭公园,xi'ling'gong'yuan
西坡杜家,xi'po'du'jia
西屯,xi'tun
西屯供销社,xi'tun'gong'xiao'she
西拓,xi'tuo
细巷,xi'xiang
细巷新建,xi'xiang'xin'jian
西阳,xi'yang
下坳,xia'ao
下沟村,xia'gou'cun
峡门村,xia'men'cun
峡门乡政府,xia'men'xiang'zheng'fu
县公司,xian'gong'si
县公司室分,xian'gong'si'shi'fen
县移动公司,xian'yi'dong'gong'si
县医院,xian'yi'yuan
县政府,xian'zheng'fu
响河,xiang'he
香莲,xiang'lian
乡企局,xiang'qi'ju
小陈村,xiao'chen'cun
消防支队,xiao'fang'zhi'dui
小河,xiao'he
小湾,xiao'wan
谢吕,xie'lv
新柏煤矿,xin'bai'mei'kuang
新城开发区,xin'cheng'kai'fa'qu
新城润园,xin'cheng'run'yuan
新店新建,xin'dian'xin'jian
新光村,xin'guang'cun
新湖超市,xin'hu'chao'shi
新华书店,xin'hua'shu'dian
信家庄,xin'jia'zhuang
新建街营业厅,xin'jian'jie'ying'ye'ting
新开,xin'kai
新李,xin'li
新民超市,xin'min'chao'shi
新胜家园,xin'sheng'jia'yuan
新世纪购物广场,xin'shi'ji'gou'wu'guang'chang
新世纪商厦,xin'shi'ji'shang'sha
信息工程学校,xin'xi'gong'cheng'xue'xiao
新窑街道,xin'yao'jie'dao
新窑矿,xin'yao'kuang
新窑煤矿宿舍楼,xin'yao'mei'kuang'su'she'lou
新裕宾馆,xin'yu'bin'guan
新峪花园北,xin'yu'hua'yuan'bei
新寨,xin'zhai
新庄,xin'zhuang
星辰大厦,xing'chen'da'sha
兴合庄小学,xing'he'zhuang'xiao'xue
星火,xing'huo
刑警队,xing'jing'dui
杏树村,xing'shu'cun
休闲广场共联通,xiu'xian'guang'chang'gong'lian'tong
徐城,xu'cheng
许家沟,xu'jia'gou
许家坡,xu'jia'po
许家庄长沟,xu'jia'zhuang'chang'gou
徐王,xu'wang
旋风沟,xuan'feng'gou
炫风沟,xuan'feng'gou
玄鹤新城,xuan'he'xin'cheng
血站,xue'zhan
崖窑,ya'yao
砚北煤矿,yan'bei'mei'kuang
燕雷,yan'lei
阎庙村,yan'miao'cun
演武村,yan'wu'cun
砚峡,yan'xia
砚峡新村,yan'xia'xin'cun
阳川街道,yang'chuan'jie'dao
阳川新建,yang'chuan'xin'jian
杨村,yang'cun
杨河,yang'he
杨河新建,yang'he'xin'jian
杨涝池,yang'lao'chi
杨庄,yang'zhuang
养子寨,yang'zi'zhai
窑店,yao'dian
窑店邮政支局,yao'dian'you'zheng'zhi'ju
窑店镇邮政支局,yao'dian'zhen'you'zheng'zhi'ju
窑凤头,yao'feng'tou
姚家沟,yao'jia'gou
姚李,yao'li
姚柳,yao'liu
姚湾,yao'wan
野赵,ye'zhao
移动办公楼,yi'dong'ban'gong'lou
移动二枢纽,yi'dong'er'shu'niu
移动公司,yi'dong'gong'si
移动家属楼,yi'dong'jia'shu'lou
一小,yi'xiao
一中,yi'zhong
一中二部,yi'zhong'er'bu
医专对面一期规划铁,yi'zhuan'dui'mian'yi'qi'gui'hua'tie
医专附属医院,yi'zhuan'fu'shu'yi'yuan
医专营业厅,yi'zhuan'ying'ye'ting
银星幼儿园,yin'xing'you'er'yuan
永安保险,yong'an'bao'xian
永丰,yong'feng
永宁,yong'ning
永宁街道,yong'ning'jie'dao
永宁新建,yong'ning'xin'jian
油坊村,you'fang'cun
右集,you'ji
邮政,you'zheng
邮政局,you'zheng'ju
玉都,yu'dou
玉都街道,yu'dou'jie'dao
玉都新建,yu'dou'xin'jian
鱼儿咀,yu'er'ju
玉皇殿,yu'huang'dian
榆树村,yu'shu'cun
余湾,yu'wan
余湾新建,yu'wan'xin'jian
余寨,yu'zhai
原安水股,yuan'an'shui'gu
原安新建,yuan'an'xin'jian
塬边,yuan'bian
原董,yuan'dong
袁口,yuan'kou
岳堡街道岳堡二,yue'bao'jie'dao'yue'bao'er
岳堡新建,yue'bao'xin'jian
造纸厂,zao'zhi'chang
寨河,zhai'he
张观察,zhang'guan'cha
张家大庄,zhang'jia'da'zhuang
张家磨,zhang'jia'mo
张家湾,zhang'jia'wan
张家西,zhang'jia'xi
张寨,zhang'zhai
张庄,zhang'zhuang
赵墩街道,zhao'dun'jie'dao
赵沟,zhao'gou
赵湾,zhao'wan
赵寨,zhao'zhai
正沟,zheng'gou
郑河,zheng'he
郑河街道,zheng'he'jie'dao
郑家沟,zheng'jia'gou
郑家什字,zheng'jia'shi'zi
正宇宾馆,zheng'yu'bin'guan
正宇混凝土厂,zheng'yu'hun'ning'tu'chang
正元小区,zheng'yuan'xiao'qu
正圆小区,zheng'yuan'xiao'qu
纸坊沟,zhi'fang'gou
职教中心,zhi'jiao'zhong'xin
治平新建,zhi'ping'xin'jian
职中,zhi'zhong
中街办,zhong'jie'ban
中天花园,zhong'tian'hua'yuan
中文小区名,zhong'wen'xiao'qu'ming
中医院,zhong'yi'yuan
中医院东街,zhong'yi'yuan'dong'jie
中银酒店,zhong'yin'jiu'dian
中塬村,zhong'yuan'cun
中庄,zhong'zhuang
周家阳坡,zhou'jia'yang'po
朱店,zhu'dian
朱店城北村,zhu'dian'cheng'bei'cun
朱河,zhu'he
朱山,zhu'shan
专院,zhuan'yuan
庄浪白堡,zhuang'lang'bai'bao
庄浪北桥头,zhuang'lang'bei'qiao'tou
庄浪曹家坪,zhuang'lang'cao'jia'ping
庄浪曹湾,zhuang'lang'cao'wan
庄浪岔李,zhuang'lang'cha'li
庄浪陈庙,zhuang'lang'chen'miao
庄浪陈山,zhuang'lang'chen'shan
庄浪川边,zhuang'lang'chuan'bian
庄浪催家,zhuang'lang'cui'jia
庄浪大曹,zhuang'lang'da'cao
庄浪大房李家,zhuang'lang'da'fang'li'jia
庄浪大庄,zhuang'lang'da'zhuang
庄浪电信局,zhuang'lang'dian'xin'ju
庄浪丁山,zhuang'lang'ding'shan
庄浪董家台子,zhuang'lang'dong'jia'tai'zi
庄浪二房李家,zhuang'lang'er'fang'li'jia
庄浪高涯韩,zhuang'lang'gao'ya'han
庄浪埂楞,zhuang'lang'geng'leng
庄浪关山二,zhuang'lang'guan'shan'er
庄浪郭堡,zhuang'lang'guo'bao
庄浪国税局,zhuang'lang'guo'shui'ju
庄浪韩店新村,zhuang'lang'han'dian'xin'cun
庄浪壑沟,zhuang'lang'he'gou
庄浪建设局,zhuang'lang'jian'she'ju
庄浪客都超市,zhuang'lang'ke'dou'chao'shi
庄浪孔家沟,zhuang'lang'kong'jia'gou
庄浪老山沟,zhuang'lang'lao'shan'gou
庄浪李咀,zhuang'lang'li'ju
庄浪李山,zhuang'lang'li'shan
庄浪梨湾,zhuang'lang'li'wan
庄浪李庄,zhuang'lang'li'zhuang
庄浪柳咀,zhuang'lang'liu'ju
庄浪柳梁阳洼,zhuang'lang'liu'liang'yang'wa
庄浪刘善,zhuang'lang'liu'shan
庄浪刘庄,zhuang'lang'liu'zhuang
庄浪逯岔,zhuang'lang'lu'cha
庄浪马寺,zhuang'lang'ma'si
庄浪毛桃杜家,zhuang'lang'mao'tao'du'jia
庄浪梅堡,zhuang'lang'mei'bao
庄浪庙川,zhuang'lang'miao'chuan
庄浪庙湾,zhuang'lang'miao'wan
庄浪牡丹咀,zhuang'lang'mu'dan'ju
庄浪南湖李庄,zhuang'lang'nan'hu'li'zhuang
庄浪南湖寺门,zhuang'lang'nan'hu'si'men
庄浪南坪寺门村,zhuang'lang'nan'ping'si'men'cun
庄浪磐安街道,zhuang'lang'pan'an'jie'dao
庄浪汽车南站,zhuang'lang'qi'che'nan'zhan
庄浪荞家湾,zhuang'lang'qiao'jia'wan
庄浪秦家梁,zhuang'lang'qin'jia'liang
庄浪清水沟,zhuang'lang'qing'shui'gou
庄浪商务局,zhuang'lang'shang'wu'ju
庄浪沈岔,zhuang'lang'shen'cha
庄浪史川,zhuang'lang'shi'chuan
庄浪史家梁,zhuang'lang'shi'jia'liang
庄浪石桥,zhuang'lang'shi'qiao
庄浪石峡,zhuang'lang'shi'xia
庄浪试雨,zhuang'lang'shi'yu
庄浪水上公园,zhuang'lang'shui'shang'gong'yuan
庄浪饲料厂,zhuang'lang'si'liao'chang
庄浪苏家河湾,zhuang'lang'su'jia'he'wan
庄浪唐家高庒,zhuang'lang'tang'jia'gao'zhuang
庄浪托神,zhuang'lang'tuo'shen
庄浪汪家,zhuang'lang'wang'jia
庄浪魏家大庄,zhuang'lang'wei'jia'da'zhuang
庄浪文家湾,zhuang'lang'wen'jia'wan
庄浪西关,zhuang'lang'xi'guan
庄浪西坡杜家,zhuang'lang'xi'po'du'jia
庄浪新光村,zhuang'lang'xin'guang'cun
庄浪阳川新建,zhuang'lang'yang'chuan'xin'jian
庄浪杨河,zhuang'lang'yang'he
庄浪野赵,zhuang'lang'ye'zhao
庄浪一小,zhuang'lang'yi'xiao
庄浪鱼儿咀,zhuang'lang'yu'er'ju
庄浪张家大庄,zhuang'lang'zhang'jia'da'zhuang
庄浪张家湾,zhuang'lang'zhang'jia'wan
庄浪赵沟,zhuang'lang'zhao'gou
庄浪中天花园,zhuang'lang'zhong'tian'hua'yuan
庄浪中庄,zhuang'lang'zhong'zhuang
庄浪周家阳坡,zhuang'lang'zhou'jia'yang'po
紫荆中学中川李家,zi'jing'zhong'xue'zhong'chuan'li'jia
