阿尔泰雪鸡,a'er'tai'xue'ji
长嘴百灵,zhang'zui'bai'ling
长嘴捕蛛鸟,zhang'zui'bu'zhu'niao
长嘴地鸫,zhang'zui'di'dong
长嘴钩嘴鹛,zhang'zui'gou'zui'mei
长嘴剑鸻,zhang'zui'jian'heng
长嘴鹩鹛,zhang'zui'liao'mei
长嘴鹬,zhang'zui'yu
爪哇池鹭,zhao'wa'chi'lu
沼泽大尾莺,zhao'ze'da'wei'ying
沼泽山雀,zhao'ze'shan'que
赭红尾鸲,zhe'hong'wei'qu
震旦鸦雀,zhen'dan'ya'que
针尾绿鸠,zhen'wei'lv'jiu
针尾沙锥,zhen'wei'sha'zhui
针尾鸭,zhen'wei'ya
雉鹑,zhi'chun
雉鸡,zhi'ji
雉科,zhi'ke
织雀科,zhi'que'ke
中白鹭,zhong'bai'lu
中杓鹬,zhong'biao'yu
中杜鹃,zhong'du'juan
中华短翅莺,zhong'hua'duan'chi'ying
中华凤头燕鸥,zhong'hua'feng'tou'yan'ou
中华攀雀,zhong'hua'pan'que
中华秋沙鸭,zhong'hua'qiu'sha'ya
中华仙鹟,zhong'hua'xian'weng
中华鹧鸪,zhong'hua'zhe'gu
中亚鸽,zhong'ya'ge
中亚夜鹰,zhong'ya'ye'ying
中贼鸥,zhong'zei'ou
朱背啄花鸟,zhu'bei'zhuo'hua'niao
朱鹮,zhu'huan
珠颈斑鸠,zhu'jing'ban'jiu
侏蓝仙鹟,zhu'lan'xian'weng
朱鹂,zhu'li
朱鹀,zhu'wu
朱鹀科,zhu'wu'ke
竹啄木鸟,zhu'zhuo'mu'niao
啄花鸟科,zhuo'hua'niao'ke
啄木鸟科,zhuo'mu'niao'ke
紫背椋鸟,zi'bei'liang'niao
紫翅椋鸟,zi'chi'liang'niao
紫颊直嘴太阳鸟,zi'jia'zhi'zui'tai'yang'niao
紫金鹃,zi'jin'juan
紫宽嘴鸫,zi'kuan'zui'dong
紫林鸽,zi'lin'ge
紫色花蜜鸟,zi'se'hua'mi'niao
紫寿带,zi'shou'dai
紫水鸡,zi'shui'ji
紫啸鸫,zi'xiao'dong
棕斑鸠,zong'ban'jiu
棕背伯劳,zong'bei'bo'lao
棕背黑头鸫,zong'bei'hei'tou'dong
棕背田鸡,zong'bei'tian'ji
棕背雪雀,zong'bei'xue'que
棕草鹛,zong'cao'mei
棕翅鵟鹰,zong'chi'kuang'ying
棕顶树莺,zong'ding'shu'ying
棕额长尾山雀,zong'e'chang'wei'shan'que
棕腹大仙鹟,zong'fu'da'xian'weng
棕腹鵙鹛,zong'fu'ju'mei
棕腹蓝仙鹟,zong'fu'lan'xian'weng
棕腹林鸲,zong'fu'lin'qu
棕腹柳莺,zong'fu'liu'ying
棕腹树鹊,zong'fu'shu'que
棕腹隼雕,zong'fu'sun'diao
棕腹仙鹟,zong'fu'xian'weng
棕腹啄木鸟,zong'fu'zhuo'mu'niao
棕褐短翅莺,zong'he'duan'chi'ying
棕喉雀鹛,zong'hou'que'mei
棕颈钩嘴鹛,zong'jing'gou'zui'mei
棕颈犀鸟,zong'jing'xi'niao
棕颈雪雀,zong'jing'xue'que
棕颈鸭,zong'jing'ya
棕颏噪鹛,zong'ke'zao'mei
棕脸鹟莺,zong'lian'weng'ying
棕眉柳莺,zong'mei'liu'ying
棕眉山岩鹨,zong'mei'shan'yan'liu
棕三趾鹑,zong'san'zhi'chun
棕扇尾莺,zong'shan'wei'ying
棕薮鸲,zong'sou'qu
棕头歌鸲,zong'tou'ge'qu
棕头钩嘴鹛,zong'tou'gou'zui'mei
棕头鸥,zong'tou'ou
棕头雀鹛,zong'tou'que'mei
棕头鸦雀,zong'tou'ya'que
棕头幽鹛,zong'tou'you'mei
棕臀凤鹛,zong'tun'feng'mei
棕臀噪鹛,zong'tun'zao'mei
棕尾伯劳,zong'wei'bo'lao
棕尾褐鹟,zong'wei'he'weng
棕尾虹雉,zong'wei'hong'zhi
棕尾鵟,zong'wei'kuang
纵纹腹小鸮,zong'wen'fu'xiao'xiao
纵纹角鸮,zong'wen'jiao'xiao
纵纹绿鹎,zong'wen'lv'bei
棕胸佛法僧,zong'xiong'fo'fa'seng
棕胸蓝姬鹟,zong'xiong'lan'ji'weng
棕胸雅鹛,zong'xiong'ya'mei
棕胸岩鹨,zong'xiong'yan'liu
棕胸竹鸡,zong'xiong'zhu'ji
棕夜鹭,zong'ye'lu
棕雨燕,zong'yu'yan
棕噪鹛,zong'zao'mei
棕枕山雀,zong'zhen'shan'que
棕朱雀,zong'zhu'que
