安节,an'jie
有疾厉,you'ji'li
有嘉折首,you'jia'zhe'shou
有厉利已,you'li'li'yi
有命,you'ming
有庆誉,you'qing'yu
幽人贞吉,you'ren'zhen'ji
有它不燕,you'ta'bu'yan
有它吝,you'ta'lin
有凶,you'xiong
有言,you'yan
有言不信,you'yan'bu'xin
由颐,you'yi
有攸往,you'you'wang
由豫,you'yu
有陨自天,you'yun'zi'tian
有灾眚,you'zai'sheng
有终,you'zhong
于出门庭,yu'chu'men'ting
遇毒,yu'du
裕父之蛊往见吝,yu'fu'zhi'gu'wang'jian'lin
豫卦,yu'gua
虞吉,yu'ji
于臲靰,yu'nie'wu
遇其妣,yu'qi'bi
遇其臣,yu'qi'chen
遇其配主,yu'qi'pei'zhu
于其王母,yu'qi'wang'mu
遇其夷主,yu'qi'yi'zhu
于食有福,yu'shi'you'fu
舆说輹,yu'shuo'fu
舆说辐,yu'shuo'fu
裕无咎,yu'wu'jiu
遇元夫,yu'yuan'fu
遇主于巷,yu'zhu'yu'xiang
元亨利牝马之贞,yuan'heng'li'pin'ma'zhi'zhen
元亨利贞,yuan'heng'li'zhen
元吉,yuan'ji
远取诸物,yuan'qu'zhu'wu
原筮,yuan'shi
元永贞,yuan'yong'zhen
曰动悔,yue'dong'hui
月几望,yue'ji'wang
曰闲舆卫,yue'xian'yu'wei
允升,yun'sheng
载鬼一车,zai'gui'yi'che
再三渎,zai'san'du
在师中,zai'shi'zhong
在中馈,zai'zhong'kui
则大耋之嗟,ze'da'die'zhi'jie
则嗟若,ze'jie'ruo
则利有攸往,ze'li'you'you'wang
丈人吉,zhang'ren'ji
长子帅师,zhang'zi'shuai'shi
折其右肱,zhe'qi'you'gong
震不于其躬于其邻,zhen'bu'yu'qi'gong'yu'qi'lin
震卦,zhen'gua
振恒,zhen'heng
贞吉,zhen'ji
贞疾,zhen'ji
震惊百里,zhen'jing'bai'li
震来厉,zhen'lai'li
震来虩虩,zhen'lai'xi'xi
贞厉,zhen'li
贞吝,zhen'lin
震苏苏,zhen'su'su
震遂泥,zhen'sui'ni
震索索,zhen'suo'suo
震往来厉,zhen'wang'lai'li
震行无眚,zhen'xing'wu'sheng
贞凶,zhen'xiong
震用伐鬼方,zhen'yong'fa'gui'fang
征吉,zheng'ji
征凶,zheng'xiong
征邑国,zheng'yi'guo
直方大不习无不利,zhi'fang'da'bu'xi'wu'bu'li
雉膏不食,zhi'gao'bu'shi
祗既平,zhi'ji'ping
致寇至,zhi'kou'zhi
知临,zhi'lin
至临,zhi'lin
执其随,zhi'qi'sui
窒惕,zhi'ti
至于八月有凶,zhi'yu'ba'yue'you'xiong
置于丛棘,zhi'yu'cong'ji
至于十年不克征,zhi'yu'shi'nian'bu'ke'zheng
执之用黄牛之革,zhi'zhi'yong'huang'niu'zhi'ge
终朝三褫之,zhong'chao'san'chi'zhi
中孚卦,zhong'fu'gua
中行,zhong'hang
中行独复,zhong'hang'du'fu
中吉,zhong'ji
终吉,zhong'ji
终来有它,zhong'lai'you'ta
终吝,zhong'lin
终莫之胜,zhong'mo'zhi'sheng
终日戒,zhong'ri'jie
终凶,zhong'xiong
终以誉命,zhong'yi'yu'ming
终有大败,zhong'you'da'bai
终有凶,zhong'you'xiong
众允悔亡,zhong'yun'hui'wang
昼日三接,zhou'ri'san'jie
朱绂方来,zhu'fu'fang'lai
主人有言,zhu'ren'you'yan
壮于大舆之輹,zhuang'yu'da'yu'zhi'fu
壮于前趾,zhuang'yu'qian'zhi
壮于頄,zhuang'yu'qiu
壮于趾,zhuang'yu'zhi
酌损之,zhuo'sun'zhi
自复,zi'fu
子克家,zi'ke'jia
自求口实,zi'qiu'kou'shi
自天佑之,zi'tian'you'zhi
自我西郊,zi'wo'xi'jiao
自邑告命,zi'yi'gao'ming
樽酒簋贰,zun'jiu'gui'er
